"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRX0",220579,231422,248294,276854,304354,314056,330059,353281,362571,367452,364927,351221,358038,306472,286162,293589
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",263851,288277,314591,356734,412611,465043,491266,536483,586080,651073,715160,780211,831868,827543,788608,863391
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",547873,553425,558319,564998,586848,600123,607183,608566,616203,623541,644150,662571,672852,665669,656969,672789
"384","373","  Market-based PCE clothing and footwear","DCLMRX0",200807,210560,217470,230753,245939,257825,260245,268184,282117,295653,313638,328236,339718,337705,321932,340621
"385","374","  Market-based PCE gasoline and other energy goods","DGOERX0",264298,268478,273896,283738,292425,287095,289167,293952,301933,305870,303787,296867,294404,280601,281104,281253
"386","375","  Market-based PCE other nondurable goods","DNDXRX0",440762,460118,483604,509470,541435,568750,587127,606285,636226,662747,686054,712446,732771,734912,719509,745359
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRX0",3487331,3588401,3709100,3857004,4003798,4183706,4283219,4363438,4443961,4560881,4708313,4808890,4902371,4925291,4890406,4945886
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRX0",1005835,1025575,1054144,1088348,1126064,1159404,1199080,1204732,1218098,1246962,1310068,1348286,1356000,1371431,1387368,1394457
"391","378","    Market-based PCE household utilities","DUTLRX0",218559,225695,225320,229992,233632,239997,237648,242827,247570,248841,253680,249965,253604,250400,251698,258761
"392","379","    Market-based PCE health care","DHLCRX0",947595,967189,997218,1029614,1045699,1081640,1135567,1202448,1228331,1267439,1308891,1332957,1364035,1396473,1423143,1442852
"393","380","    Market-based PCE transportation services","DTRSRX0",213861,231388,248842,259199,273516,286252,283615,275869,276885,283763,285961,285456,287898,272000,248096,250182
"394","381","    Market-based PCE recreation services","DRCMRX0",187729,194152,198342,206572,213684,218694,217759,216384,220530,230058,235300,242060,253748,254531,245776,252394
"395","382","    Market-based PCE food services and accommodations","DFSMRX0",406207,408922,418183,429281,440011,460396,459608,466838,484303,504140,522120,538646,545898,540995,521390,538997
"396","383","    Market-based PCE financial services and insurance","DFIMRX0",46803,52694,56572,68069,87404,111119,109017,112959,116123,115605,119817,126224,132097,128252,125222,117076
"397","384","    Market-based PCE other services","DOTMRX0",481664,500409,526173,556747,587238,624396,639999,641534,652495,664262,672476,685571,709616,712152,689197,691544
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRX0",89354,97491,107522,117712,132860,152989,163216,167472,171428,179060,184398,195167,212098,218152,213386,220921
"400","386","      Market-based PCE education","DTEDRX0",152989,157387,161760,166501,170368,176334,179591,175546,174216,170577,170343,171513,174170,176104,176826,179800
"401","387","      Market-based PCE professional services","DPRMRX0",113564,115852,117781,122604,126330,127684,131362,131722,136689,136972,137889,137448,139477,137256,128849,125138
"402","388","      Market-based PCE personal care and clothing services","DPERRX0",74798,76953,80711,85257,89175,93438,92818,94608,96429,100456,102485,103670,103582,101183,95795,94576
"403","389","      Market-based PCE child care","DCHCRX0",22499,21742,21977,21869,22629,22957,23715,23836,23996,24183,23934,24263,25719,25574,25156,24658
"404","390","      Market-based PCE household maintenance","DHMMRX0",46000,46314,49166,53596,53243,54656,51772,49682,50569,53129,53427,53677,55452,55291,50309,48244
"405","391","Market-based PCE food and energy","DPMFRX0",975968,990661,998485,1016650,1049605,1066287,1072811,1082517,1101021,1114024,1137893,1142981,1153475,1127484,1121716,1145551
"406","392","Market-based PCE excluding food","DMXFRX0",4770611,4952295,5161978,5446918,5754681,6046561,6216844,6407590,6605375,6841426,7091879,7276127,7453255,7407896,7291754,7459720
"407","393","Market-based PCE excluding energy","DPMERX0",4912150,5088946,5297772,5574590,5890315,6188352,6364163,6545836,6739047,6974940,7242287,7458723,7646782,7614873,7486092,7662053
"408","394","Market-based PCE excluding food and energy","DPCXRX0",4367869,4538497,4741765,5011086,5304647,5588921,5757460,5937485,6122915,6351397,6598137,6796150,6973949,6949362,6829155,6989281
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas srvices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
