"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"129","121","          Prescription drugs","DRXDRX0",90561,92417,94296,96208,98105,100231,102542,105092,107249,110795,115219,120591,124167,128729,132702,136958,142681,145360,145142,158353,149978,163312,167330,173530,171595,175001,183815,188238,190086,187273,189738,192789,199505,200874,206468,211440,208483,214615,217443,218870,218921,219345,218646,218649,221104,226574,227777,233086,235053,236884,235249,233659,234715,236435,238810,241210,241876,242839,243735,242282,238970,239521
"130","122","          Nonprescription drugs","DNRDRX0",19802,20258,20124,20423,20207,20549,20670,20914,20874,20720,21009,20909,21137,21271,21474,21944,22819,22888,22542,23303,22722,23426,23798,24474,23824,23792,24088,24738,25786,26053,25744,25905,26177,25533,25782,25880,24622,24230,24115,24485,25639,25908,25991,25790,26590,26507,27050,27663,28010,27992,28380,28705,28856,29267,29297,28738,28558,28555,28993,29432,29216,29286
"131","123","        Other medical products","DOMPRX0",1463,1457,1456,1423,1402,1404,1387,1397,1387,1377,1390,1381,1442,1549,1648,1690,1704,1746,1764,1880,1889,1947,2011,2061,2055,2079,2077,2133,2138,2203,2227,2243,2212,2257,2333,2357,2371,2426,2449,2461,2497,2507,2547,2633,2689,2665,2711,2773,2825,2861,2894,2910,2920,2998,2995,2918,2914,2909,2939,2994,3090,3134
"132","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",57563,58924,59240,59614,60250,60596,61808,63706,63274,64049,65920,66399,67075,69351,71578,74361,75752,76762,79193,83267,84439,83847,86124,87804,88317,89272,89427,91149,93043,94918,96509,98379,98599,99757,102161,103239,104034,103822,106703,108787,111184,113832,114291,116806,119862,119724,120693,123071,125646,127026,129208,130368,129084,131025,130873,126923,127638,127652,128950,132854,136032,139991
"133","125","        Games, toys, and hobbies","DDOLRX0",17166,17734,18100,18511,18315,18085,18955,19843,19569,19963,20147,20410,21371,22281,22811,23629,24888,25353,26081,27201,27964,28891,29660,29939,30522,30779,31258,32656,32660,33944,35369,37136,36647,37247,38497,39360,40288,40138,41783,43155,44464,46095,46541,47582,49687,50373,51116,52011,53632,54565,56669,57975,57630,59423,60004,59913,61337,61220,62964,66185,68375,69125
"134","126","        Pets and related products","DPRPRX0",21938,22324,22337,21925,22304,23009,22587,22688,22806,23258,23985,23961,23701,24088,24927,25669,25193,25532,25951,28175,27951,27669,27682,28168,28399,28890,29266,29477,30191,30325,30344,30612,30850,31264,31718,31740,32059,31635,32292,32812,33118,33441,33718,34237,34447,34022,34316,35048,35492,36272,36271,36098,35823,36180,35460,33999,33921,33764,33940,34693,35448,36352
"135","127","        Flowers, seeds, and potted plants","DFLORX0",17779,18181,18014,18183,19000,19202,19636,20450,20344,20285,21606,21842,21197,22085,23056,24323,24395,24514,25945,26693,27248,25389,26860,27735,27439,27831,27054,26997,28326,28540,28434,28083,28651,28699,29220,29288,28771,29064,29610,29756,30493,31106,30841,31778,32383,32082,31965,32596,33065,32802,32980,33036,32399,32385,32686,30855,30610,30992,30733,31092,31496,33536
"136","128","        Film and photographic supplies","DFLMRX0",2807,2755,2686,2647,2609,2585,2547,2480,2425,2351,2375,2326,2387,2416,2484,2564,2618,2644,2618,2755,2682,2743,2774,2938,2813,2689,2639,2570,2620,2681,2730,2719,2739,2817,2944,3006,3000,3069,3064,3082,3114,3187,3190,3208,3375,3318,3386,3498,3584,3522,3575,3678,3675,3646,3510,3315,3204,3107,3027,3015,3063,3108
"137","129","      Household supplies (parts of 32 and 36)","DHOURX0",72094,72573,72860,73475,73893,75481,76711,78022,78598,78866,79998,80916,80794,80711,80710,82105,83845,84022,84474,86104,86121,85472,84787,85113,85534,85954,85800,86276,87215,87057,87595,89708,91546,92327,94678,96334,97303,98048,99190,99802,100424,102284,103684,105427,107234,106589,106961,108894,110052,110407,111842,112128,110826,111175,110434,106615,105079,104327,104554,106281,108037,109533
"138","130","        Household cleaning products","DCLERX0",27225,27534,27945,28128,28316,28898,29070,29326,29704,29731,30038,30126,29955,30007,29949,30048,30598,30507,30489,30987,30503,30637,30468,30558,30232,30353,30492,30669,30500,30529,30507,30955,31215,31511,32612,32671,32851,33022,33357,33956,34190,34465,34587,34598,35030,35175,35160,35602,35783,35899,36265,36692,36334,36342,36149,34595,34234,34008,34024,34318,35069,35468
"139","131","        Household paper products","DPAPRX0",25217,25025,24367,24041,24016,24422,25014,25241,25469,25498,25931,25867,25833,25982,26188,27052,27491,27851,27587,28079,27837,27382,26928,27013,27506,27777,27669,28420,28633,28560,28970,29206,29870,29742,30125,30343,30252,30359,29911,30028,29985,30566,30927,31491,31296,30705,30929,31257,31310,31411,31728,31638,31086,30782,30380,28822,28401,28277,28401,28873,29247,29191
"140","132","        Household linens","DLINRX0",14148,14498,14757,15149,15313,15722,16077,16642,16602,16728,17016,17640,17758,17591,17526,17876,18411,18300,18810,19290,19780,19637,19674,19910,19998,20036,20078,19865,20652,20510,20591,21819,22695,22944,23396,24521,25103,25117,26197,26086,26240,26958,27824,28760,29790,30297,30827,32098,33075,33388,34369,34537,34514,35180,35368,35724,35403,35021,35214,36399,37014,38024
"141","133","        Sewing items","DSEWRX0",799,797,801,823,841,840,854,907,926,946,977,997,1017,1048,1033,1070,1125,1134,1161,1175,1205,1248,1209,1191,1213,1213,1229,1291,1298,1296,1311,1372,1335,1398,1426,1406,1461,1441,1473,1480,1510,1512,1540,1601,1648,1606,1636,1630,1682,1772,1747,1755,1705,1758,1730,1705,1674,1636,1614,1654,1662,1635
"142","134","        Miscellaneous household products","DMHPRX0",6316,6153,6207,6350,6373,6543,6634,6697,6763,6790,6861,6907,6802,6727,6710,6795,6896,6990,7005,7122,7180,6926,6802,6703,6878,6893,6630,6418,6421,6464,6539,6558,6607,6879,7260,7467,7675,8153,8248,8255,8504,8778,8800,8983,9496,8892,8539,8534,8537,8319,8214,8011,7758,7828,7631,7040,6684,6648,6595,6536,6579,6979
"143","135","      Personal care products (part of 118)","DOPCRX0",51803,52532,53108,53294,54130,55706,56126,57847,58440,58415,59792,59016,59595,60894,62369,63747,64657,64742,65025,67092,67158,68278,69014,69916,69299,70243,70313,71924,72671,72636,72374,73023,73477,73863,75959,76081,75657,75981,77021,77537,78750,79194,79097,80899,82192,82414,82913,83617,84169,83971,85317,85680,85727,86643,86354,84239,83131,82548,83143,84580,87611,88005
"144","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",25240,25886,26295,26617,27141,28159,28579,29903,30693,30643,31368,31116,31667,32541,33444,34412,35053,35164,35532,37002,36562,37482,37758,38106,37996,38747,39090,40357,40545,40314,40025,40396,41021,41311,42605,42677,42473,43035,43664,43989,44678,44914,45023,46259,47125,47254,47666,48205,48854,48915,49858,50130,50242,50792,50820,49945,49711,49060,49588,50554,52069,52363
"145","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRX0",25298,25303,25432,25248,25519,25990,25941,26212,25922,25947,26554,26028,25936,26225,26694,26982,27145,27077,26902,27372,27853,27934,28335,28824,28264,28367,27999,28194,28670,28790,28805,29016,28802,28861,29542,29586,29362,29070,29406,29551,30010,30165,29967,30424,30761,30870,30938,31069,30903,30667,31005,31081,31035,31334,31043,29924,29102,29217,29236,29620,31058,31116
"146","138","        Electric appliances for personal care","DEAPRX0",1646,1686,1711,1730,1761,1826,1851,1934,1987,1988,2038,2023,2122,2243,2340,2450,2547,2583,2663,2783,2821,2928,2991,3062,3102,3180,3257,3389,3479,3560,3579,3644,3670,3704,3823,3829,3830,3877,3952,3997,4061,4115,4106,4216,4307,4290,4309,4343,4416,4394,4464,4478,4461,4528,4504,4389,4350,4294,4348,4441,4507,4551
"147","139","      Tobacco (127)","DTOBRX0",89447,89792,90149,90505,90870,91166,91399,91547,91475,91376,91452,91703,90737,89038,87334,85667,83889,82603,81637,81019,80753,80493,80206,79854,79696,79187,78610,77961,77008,76340,75734,75212,74900,74780,74674,74557,74773,74449,73942,73258,71974,71256,70693,70298,71256,69505,67984,70833,67519,66660,66849,66405,63582,65358,65430,64229,64645,60135,59468,58548,59195,59664
"148","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",54074,54208,53149,53811,52369,53825,54477,54926,55216,54380,54722,55524,55218,55132,55892,55967,56975,57376,57108,58561,58724,59811,59810,60158,58455,57871,56768,56152,56272,56352,56243,56634,56703,56843,58246,58829,60263,60600,60946,61149,62002,62333,63678,64903,65339,65345,65715,66967,67588,67545,68203,68767,67903,69173,68507,65589,65392,64723,64784,65445,66289,67024
"149","141","        Newspapers and periodicals","DMAGRX0",34714,34788,33842,34422,34083,35198,35670,36175,36691,36536,36991,37752,37010,36759,37140,36901,37265,37576,37259,38071,37728,38526,38404,39067,38311,38027,37181,36694,36800,37165,37011,37331,37476,37158,37818,37982,38902,39075,39327,39364,39814,39818,40917,41665,41727,41884,42023,42744,43306,43275,43762,44216,43684,44540,44184,42314,41714,41219,41067,41496,42041,42125
"150","142","        Stationery and miscellaneous printed materials","DSTYRX0",19300,19360,19204,19314,18308,18677,18866,18847,18678,18068,18001,18091,18419,18546,18903,19161,19749,19849,19874,20494,20929,21233,21335,21081,20183,19895,19622,19482,19501,19255,19289,19366,19296,19712,20434,20842,21361,21527,21623,21788,22189,22514,22761,23238,23612,23461,23692,24223,24282,24270,24441,24552,24221,24634,24323,23273,23691,23520,23745,23976,24276,24956
"151","143","      Net expenditures abroad by U.S. residents (131)","DNFRRX0",2218,1821,1661,1749,2087,2108,2265,2043,3305,4044,4811,4639,4976,4381,4668,4475,4416,4228,4792,4518,4785,5548,5479,5134,5300,5676,5644,5712,6436,6292,5980,5451,6197,6148,5760,5195,5437,5759,5468,5014,4712,4891,5183,5306,5716,4459,5199,4214,4033,5385,4552,4911,4835,3972,3995,5512,5949,6084,6027,5579,5865,6129
"152","144","        Expenditures abroad by U.S. residents","DABDRX0",3657,3281,3231,3347,3537,3481,3498,3241,4613,5246,6110,5863,6118,5707,5897,5891,5763,5976,6141,5930,6288,6855,7055,6612,6913,7455,7253,7184,8079,7755,7566,7254,7756,7961,7912,7177,7431,7760,7458,7144,6887,7138,7426,7648,7834,7313,7477,7406,7760,7825,7727,7331,7447,7267,7528,9203,9313,8948,8939,8443,8759,9004
"153","145","          Government employees' expenditures abroad","DARTRX0",3497,3139,3093,3205,3390,3337,3355,3110,4429,5038,5870,5633,5877,5482,5664,5658,5535,5740,5898,5696,6039,6584,6778,6351,6640,7160,6967,6900,7761,7449,7269,6968,7450,7646,7601,6894,7137,7454,7164,6861,6615,6856,7133,7347,7525,7025,7182,7113,7454,7517,7422,7041,7152,6977,7225,8853,8945,8594,8593,8106,8409,8644
"154","146","          Private employees' expenditures abroad","DARSRX0",160,142,138,141,148,144,143,131,185,208,240,230,241,225,233,233,228,236,242,234,249,271,278,261,273,295,286,284,318,307,298,287,306,315,312,283,293,306,294,282,272,282,293,300,309,289,295,292,306,308,305,290,295,290,303,351,368,354,347,337,350,360
"155","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1439,1460,1570,1598,1451,1373,1233,1199,1308,1201,1299,1224,1142,1326,1230,1416,1348,1748,1349,1412,1503,1308,1576,1479,1612,1779,1609,1472,1644,1464,1586,1803,1560,1813,2153,1982,1994,2001,1991,2129,2175,2247,2243,2342,2118,2854,2278,3192,3727,2440,3175,2420,2613,3295,3533,3691,3364,2864,2912,2864,2894,2874
"156","148","Services","DSERRX0",4159078,4196680,4226589,4250476,4292089,4320635,4343731,4369278,4404824,4434714,4487445,4533125,4583542,4639433,4695808,4728508,4768458,4822355,4880272,4940089,5014818,5073095,5120121,5165054,5189338,5211370,5225401,5248639,5282654,5310536,5329179,5350101,5371800,5398686,5435671,5467466,5518285,5551657,5589600,5650789,5686394,5727869,5767133,5798930,5841003,5884155,5914292,5959424,5994433,6018302,6038655,6061742,6090605,6090165,6069953,6078490,6053575,6027709,6020685,6028663,6029578,6040994
"157","149","  Household consumption expenditures (for services)","DHCERX0",4021404,4057729,4087029,4108096,4144878,4171621,4193570,4222969,4266660,4297578,4350491,4394203,4440021,4491227,4542026,4569212,4608022,4660761,4717478,4775319,4844563,4902226,4942497,4981966,5005271,5023261,5033927,5052900,5083183,5106094,5116358,5131755,5154058,5178049,5215609,5248249,5298271,5333604,5372649,5432666,5472950,5514202,5554371,5582499,5618225,5652112,5671356,5716036,5753672,5780794,5792388,5805887,5830237,5828546,5802073,5803619,5793526,5778438,5766451,5769694,5769918,5779085
"158","150","    Housing and utilities","DHUTRX0",1217392,1232075,1244330,1245685,1258351,1260797,1258171,1269436,1273687,1284918,1292791,1310215,1312299,1328557,1339298,1338877,1354235,1368196,1382573,1382096,1388134,1406273,1418621,1441671,1449479,1448343,1454553,1453623,1453722,1460036,1462640,1471609,1475503,1478436,1478498,1488364,1496417,1504493,1512700,1537448,1556600,1577724,1594259,1602782,1598937,1617838,1627553,1622547,1625786,1624797,1628587,1626248,1636329,1637559,1630855,1649737,1650125,1651961,1659366,1666335,1664307,1661448
"159","151","      Housing","DHSGRX0",1008376,1015064,1020478,1025475,1029749,1034333,1039383,1045049,1053041,1061765,1070406,1078973,1087143,1095639,1104958,1114753,1124938,1134653,1143545,1151612,1159374,1168397,1178589,1190297,1202953,1213300,1218765,1219941,1218535,1217934,1219048,1221887,1226112,1230223,1235217,1240615,1246278,1255583,1268807,1285890,1306057,1324006,1337812,1347710,1357401,1365832,1371270,1373806,1372312,1371166,1372570,1376227,1381714,1386720,1392504,1398373,1403208,1407407,1409790,1410967,1412715,1415112
"160","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",251752,253325,254384,254705,253859,253582,253621,253982,255349,256778,258074,259163,260123,261103,262289,263599,264980,266068,266735,266971,266952,267313,268102,269410,271127,272610,273312,273389,273014,271851,269869,267058,263684,261037,259668,259477,260149,260985,261724,262336,262952,263909,265147,266739,268819,271571,275026,279236,284119,287861,290080,290686,290076,290201,291860,294930,298867,302201,304335,305396,306994,309177
"161","153","          Tenant-occupied mobile homes","DTMHRX0",8087,8196,8254,8258,8206,8138,8053,7963,7945,7944,7911,7841,7747,7632,7496,7342,7187,7091,7066,7112,7230,7394,7612,7881,8184,8455,8673,8833,8935,9014,9082,9132,9164,9187,9205,9213,9215,9218,9221,9224,9219,9160,9034,8859,8628,8382,8128,7871,7641,7457,7325,7238,7191,7169,7171,7194,7229,7250,7252,7235,7217,7207
"162","154","          Tenant-occupied stationary homes","DTSPRX0",239752,241130,242050,242291,241425,241149,241199,241573,242889,244256,245524,246622,247620,248658,249919,251323,252798,253911,254527,254634,254406,254512,254995,255949,257279,258416,258842,258715,258201,256920,254823,251909,248446,245716,244259,243981,244569,245324,245992,246541,247107,248062,249359,251054,253278,256195,259843,264269,269388,273327,275671,276340,275741,275866,277512,280561,284480,287806,289948,291029,292633,294806
"163","155","          Tenant landlord durables","DTLDRX0",4347,4415,4476,4529,4572,4616,4667,4722,4779,4833,4884,4934,4981,5029,5079,5131,5186,5244,5307,5375,5447,5521,5596,5672,5748,5817,5869,5906,5937,5968,6005,6045,6090,6142,6207,6283,6364,6442,6511,6571,6626,6687,6753,6825,6913,6994,7055,7096,7088,7075,7081,7105,7141,7164,7174,7170,7148,7132,7119,7113,7123,7139
"164","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",744782,749895,754242,758886,763971,768761,773697,778914,785429,792683,799892,807161,814214,821625,829712,838219,847072,855561,863406,870603,877549,885549,894583,904946,916130,925208,930094,931234,930180,930721,933804,939449,947037,953642,959653,964689,968985,976776,988676,1004674,1023870,1040535,1052788,1060794,1068575,1074565,1076723,1075077,1069370,1065223,1064798,1067921,1073835,1078546,1082569,1085341,1086275,1087171,1087420,1087513,1087546,1087600
"165","157","          Owner-occupied mobile homes","DOMHRX0",29275,29303,29342,29446,29689,29896,30091,30293,30500,30690,30818,30882,30906,30942,30988,31049,31135,31208,31264,31310,31423,31873,32783,34153,35865,37195,37914,37964,37434,36895,36481,36157,35903,35646,35387,35106,34818,34564,34341,34150,33954,33547,32878,32021,30973,29884,28768,27646,26638,25883,25410,25196,25195,25256,25344,25454,25565,25622,25618,25552,25553,25611
"166","158","          Owner-occupied stationary homes","DOSTRX0",715508,720594,724901,729441,734284,738866,743607,748622,754930,761994,769075,776281,783310,790684,798725,807171,815938,824354,832143,839295,846128,853677,861801,870794,880266,888013,892180,893271,892746,893826,897324,903293,911135,917997,924266,929583,934167,942212,954336,970524,989916,1006989,1019910,1028774,1037601,1044680,1047954,1047429,1042731,1039340,1039387,1042724,1048639,1053289,1057225,1059887,1060710,1061549,1061802,1061961,1061992,1061988
"167","159","        Rental value of farm dwellings (22)","DFARRX0",11505,11505,11503,11510,11495,11526,11577,11654,11772,11816,11937,12117,12234,12303,12319,12276,12212,12332,12688,13295,14100,14741,15092,15119,14873,14668,14564,14550,14607,14640,14640,14603,14556,14672,15007,15555,16259,16940,17523,17992,18346,18676,18996,19298,19126,18826,18663,18631,17976,17234,16832,16763,16969,17148,17241,17239,17153,17079,17047,17051,17125,17226
"168","160","        Group housing (23)","DGRHRX0",967,981,1000,1020,1048,1069,1076,1068,1049,1039,1041,1054,1077,1096,1107,1111,1108,1105,1103,1102,1102,1100,1096,1091,1082,1067,1044,1014,980,955,943,943,951,956,955,948,934,922,911,901,892,885,881,879,880,883,890,899,909,918,924,928,929,930,932,935,938,940,943,946,948,949
"169","161","      Household utilities","DUTLRX0",210031,218150,225143,221360,230012,227792,219860,225581,221676,224199,223351,232516,226089,234278,235679,224396,229829,234298,240183,230698,228756,238593,240669,252461,247103,235096,235641,233240,234828,242392,243949,250638,250145,248780,243443,248116,250577,249170,243776,251692,250570,253753,256433,255024,242162,252111,256225,248865,253550,253738,256061,250254,254659,251108,239731,251715,247609,245381,250258,255861,252270,247308
"170","162","        Water supply and sanitation (25)","DWRSRX0",54889,55273,55610,55952,56455,57024,57515,57942,58146,58368,58613,58857,59025,59234,59545,59937,60727,61223,61582,61769,61839,61851,61952,62130,62267,62442,62611,62765,62818,62988,63235,63543,64148,64234,63931,63358,63296,63232,63432,63475,63412,63282,63491,64129,64924,65602,65838,65979,65902,65846,65805,65573,65475,65642,65600,65473,65035,64532,64226,64293,64431,64437
"171","163","          Water supply and sewage maintenance","DWSMRX0",45894,46123,46274,46398,46674,47037,47321,47534,47628,47670,47683,47644,47550,47562,47730,48035,48419,48731,48957,49067,49064,49094,49199,49366,49566,49787,50036,50303,50575,50812,51038,51238,51360,51352,51269,51040,50604,50313,50147,50097,50127,50224,50391,50609,50989,51391,51745,52032,52088,52040,52003,51958,51882,51763,51625,51445,51226,51062,51003,51034,51028,50984
"172","164","          Garbage and trash collection","DREFRX0",9167,9313,9486,9687,9903,10101,10299,10501,10606,10776,10994,11261,11508,11695,11833,11919,12310,12488,12617,12692,12761,12744,12742,12755,12697,12656,12582,12477,12270,12209,12231,12338,12804,12893,12681,12345,12703,12921,13281,13374,13284,13058,13101,13520,13934,14211,14092,13947,13815,13806,13801,13613,13591,13878,13976,14031,13812,13466,13213,13250,13403,13456
"173","165","        Electricity and gas","DELGRX0",155107,162785,169408,165313,173453,170677,162275,167546,163454,165742,164654,173595,166978,175054,176151,164225,168904,172935,178580,168707,166691,176723,178685,190311,184738,172626,172932,170323,171852,179333,180633,187099,185951,184481,179428,184724,187278,185923,180255,188223,187161,190499,192942,190864,177427,186542,190367,182908,187675,187934,190295,184720,189196,185490,174323,186252,182563,180814,186121,191797,187950,182820
"174","166","          Electricity (27)","DELCRX0",97213,101379,106384,102477,105426,105030,100479,103190,102077,100120,101846,108848,106879,113559,114998,106864,109344,111395,116195,109672,109976,117096,115516,119360,118657,113629,109936,111116,113688,119039,120700,120911,121601,119921,119034,121974,124292,123701,118745,125435,124584,126192,134160,129944,121059,128176,128564,125322,126104,126308,129855,127435,129892,127182,119848,125450,124014,119349,122048,127828,128475,125364
"175","167","          Natural gas (28)","DGHERX0",60581,64702,65716,66539,73613,70073,65520,68609,64618,71183,66700,67910,61786,62314,61492,57843,60338,62705,63002,59867,56899,59674,64309,72963,67239,59590,64478,59597,58087,60209,59546,67414,64908,65128,60460,62914,63086,62303,61764,62916,62696,64481,58712,60696,56236,58228,61962,57488,61780,61814,60384,57026,59176,58213,54389,60874,58343,62489,65463,64456,58595,56436
"176","168","    Health care","DHLCRX0",940271,944618,950302,954786,955212,964612,968194,980327,985602,990926,1001207,1010711,1023330,1028197,1032908,1033582,1035805,1039915,1048352,1058277,1064448,1078508,1085846,1097297,1113123,1125738,1142340,1160584,1183462,1200320,1209591,1215908,1221576,1224842,1232232,1239023,1247420,1260890,1277597,1288676,1304449,1311084,1321320,1326953,1337317,1339244,1335776,1347689,1362929,1368234,1372881,1382252,1401504,1411002,1410120,1417435,1430028,1442058,1441585,1447916,1446655,1449040
"177","169","      Outpatient services","DOUTRX0",418798,421628,424755,426998,430965,433737,435950,438113,439572,442307,446409,451578,455868,458609,460883,461625,462453,465422,469776,474900,480606,487462,492932,499925,506297,513632,521841,530177,539997,548813,556897,563886,569969,576593,584044,590593,597448,604556,612829,619261,627614,634272,639963,644011,646964,651148,654802,658486,660237,664795,670783,677189,683343,689172,692845,695051,694335,697190,700542,704663,704955,705793
"178","170","        Physician services (44)","DPHYRX0",208162,208752,209466,210212,213261,213979,214536,214944,216404,218746,221126,223507,225564,227339,228822,229909,230688,232235,234884,238537,242899,247034,250778,254043,256886,260349,264712,269909,275840,281516,286949,292037,296587,300677,304756,308413,311170,314680,318715,323207,327753,331518,334321,336020,339486,343070,345351,346156,344848,345006,347230,351582,355530,359415,362086,363588,362679,362786,364488,367164,365258,365312
"179","171","        Dental services (45)","DDENRX0",71071,71257,71079,70763,70942,71397,71707,72017,72221,72520,72970,73590,74160,74721,75212,75601,75884,76272,76845,77561,78368,79211,80095,80996,81891,82874,83986,85207,86441,87231,87528,87296,86611,86204,86347,86940,87720,88475,88991,89241,89201,89085,88950,88759,88666,88735,88953,89289,89626,89887,90100,90237,90178,89969,89683,89296,88516,87739,87249,86953,87417,87666
"180","172","        Paramedical services (46)","DPMSRX0",140825,142893,145430,147158,147742,149399,150777,152258,151999,152021,153249,155401,157061,157476,157782,157052,156819,157842,158942,159638,160103,161935,162746,165572,168220,171110,173825,175704,178307,180594,182864,184892,187000,189857,193036,195317,198636,201470,205172,206841,210664,213663,216688,219237,218838,219397,220563,223098,225808,229975,233561,235516,237843,240079,241440,242593,243622,247242,249472,251300,252987,253506
"181","173","          Home health care","DHHCRX0",50240,51323,52965,53721,54019,54499,54959,55074,53996,53117,53143,53540,53385,52146,51093,49876,49239,49030,48866,48023,46741,47002,46246,46502,47332,48292,48880,48359,48471,48540,48620,49639,50145,51374,52748,53345,54692,56042,57698,58440,59192,60342,62047,63282,63299,63228,63500,64575,66087,67982,69525,70060,70629,71607,72785,73688,74348,76280,77839,78792,79214,79245
"182","174","          Medical laboratories","DMLBRX0",11210,11004,10752,10924,11055,11501,11878,11979,12317,12744,13227,13763,14325,14835,15277,15642,15944,16303,16754,17287,17888,18524,19193,19887,20576,21135,21537,21776,21885,22058,22351,22758,23247,23738,24248,24745,25173,25571,25900,26154,26334,26545,26812,27125,27592,27983,28195,28213,27909,27890,28210,28845,29588,30271,30823,31176,31388,31816,32333,32764,33035,33133
"183","175","          Other professional medical services","DOMDRX0",79114,80325,81498,82285,82427,83121,83630,84908,85395,85874,86578,87782,89039,90230,91185,91337,91452,92333,93152,94189,95395,96327,97263,99156,100266,101622,103352,105565,107985,110059,111981,112557,113663,114783,116071,117258,118795,119872,121579,122248,125138,126773,127829,128834,127960,128204,128887,130329,131833,134130,135864,136654,137681,138290,137987,137930,138112,139421,139643,140127,141121,141507
"184","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",58938,59784,60645,61273,61430,61923,61323,59489,58724,58741,58926,59520,60119,60684,61057,60694,60358,60735,60958,61311,61780,62038,62391,63810,64524,65302,66187,67260,68284,69110,70045,69954,70704,71505,72407,73205,74392,74843,75642,75125,76689,77432,78182,79503,79857,81028,81920,82879,83589,85043,86004,86201,87054,87708,87566,87708,87875,89002,88936,89032,89974,90285
"185","177","            All other professional medical services","DOMORX0",20179,20544,20856,21015,21000,21202,22310,25421,26673,27134,27652,28262,28921,29547,30128,30644,31095,31598,32195,32878,33615,34290,34871,35346,35742,36320,37165,38306,39702,40949,41936,42603,42958,43279,43664,44053,44403,45030,45936,47124,48449,49341,49646,49331,48102,47176,46967,47450,48244,49088,49861,50453,50626,50582,50421,50222,50237,50418,50707,51095,51147,51222
"186","178","      Hospital and nursing home services","DHPNRX0",523511,524955,527471,529701,525853,532608,533941,544195,548102,550677,556923,561191,569676,571753,574183,574070,575486,576519,580559,585310,585485,592661,594335,598648,608199,613342,621694,631614,644740,652701,653618,652696,652100,648539,648346,648499,649999,656366,664808,669445,676855,676810,681348,682934,690315,688115,681113,689290,702661,703448,702189,705207,718216,721925,717494,722558,735643,744707,741013,743262,741749,743280
"187","179","        Hospitals (51)","DHSPRX0",424031,424487,425869,426997,423039,429254,429839,439815,442551,443907,449009,452103,460116,461204,463984,464124,466637,468483,472274,476998,477495,483555,485921,490362,499399,504644,513500,522685,535109,543280,543755,541473,540235,536235,536373,537405,539364,545291,552740,558284,565365,564561,568370,569731,577449,576195,570586,579015,590895,591023,589067,591569,603776,606345,603859,609134,623115,630287,626709,627840,626929,628960
"188","180","          Nonprofit hospitals' services to households","DNPHRX0",283249,282712,283086,283371,280452,284222,284599,291758,294164,296356,300942,303027,308934,308960,311205,311845,314512,316475,319612,322988,322286,325985,326238,327933,332642,334577,340454,347112,356303,362640,362571,360468,359898,357090,357622,358877,361469,367071,373859,379022,383600,382682,385642,386961,391893,391273,385886,390382,401691,403703,397402,396146,402332,403295,399495,402601,413864,420583,415542,413773,410436,411073
"189","181","          Proprietary hospitals","DFPHRX0",46185,46738,47478,48363,49030,50463,50964,52168,52287,52327,52955,53357,54349,54450,54311,53477,53277,52882,52872,53221,53114,53812,53870,54170,55848,56933,58235,59677,62428,64338,65436,66344,67234,67336,67671,67746,67240,67396,67781,67802,69980,69989,70985,71471,73687,72098,71170,74700,74790,72090,75296,77634,82086,82442,82869,84563,87194,87590,88895,91568,93394,94000
"190","182","          Government hospitals","DGVHRX0",94601,95040,95307,95267,93561,94571,94279,95892,96103,95226,95114,95721,96836,97797,98470,98805,98851,99128,99792,100792,102097,103760,105816,108261,110912,113137,114813,115897,116379,116304,115749,114662,113104,111810,111080,110783,110656,110824,111100,111460,111785,111889,111743,111299,111869,112824,113529,113933,114414,115231,116369,117789,119358,120607,121494,121968,122056,122112,122271,122500,123099,123886
"191","183","        Nursing homes (52)","DNRSRX0",99243,100352,101585,102782,103003,103433,104241,104325,105554,106852,107994,109193,109578,110598,110201,109934,108781,107930,108163,108168,107843,108956,108258,108133,108658,108573,108124,108886,109638,109481,109908,111229,111860,112289,111960,111087,110633,111075,112067,111163,111491,112248,112977,113204,112858,111908,110514,110244,111735,112400,113098,113614,114417,115552,113612,113407,112547,114430,114307,115418,114818,114319
"192","184","          Nonprofit nursing homes' services to households","DNPNRX0",33354,33457,33693,34027,33973,34214,34572,34614,35518,36279,36883,37389,37481,38267,38293,38225,38207,37987,38184,38312,37986,38447,38271,38335,38797,38885,38817,39156,39379,39339,39498,39991,40221,40316,40100,39721,39409,39471,39684,39714,39952,40323,40646,40131,40045,39526,39237,39319,39414,39689,39227,39540,38889,39469,38584,38556,38234,39870,39390,40159,39797,39564
