"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"135","127","Q1OPH1 D       Other personal hygiene goods","Q1OPH10",19657,19784,20377,20610,20945,21187,21284,21594,21625,21791,21924,22407,23201,23601,24177,25002,25370,25949,26586,26919,27521,28239,28695,29058,29634,30757,31233,32697,33635,33649,34487,34225,33952,33991,34483,34842,34812,34549,34388,35537,34628,35010,34820,34798,33846,33700,33606,34240,34318,34178,33586,33181,33368,33388,34317,33819,34214
"136","128","Q1SDH1 C     Semidurable house furnishings (33)","Q1SDH10",19710,19995,20298,20255,20524,20633,21041,20985,21832,22266,22835,23722,23404,23689,23869,24178,24538,25103,25192,26154,25863,26325,26617,27143,27259,27804,28249,29055,28861,29079,29582,30666,31171,31319,31535,32407,33318,33406,34425,35461,36333,36198,36417,36912,37120,37145,37758,37312,39015,38842,39097,40823,42521,42635,43272,45306,46751
"137","129","Q1CLP1 C     Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","Q1CLP10",46322,46159,46382,45900,45483,46110,45995,45852,47293,46924,47234,47864,48800,49517,50839,51335,52027,53114,54033,54550,54546,54540,54430,54501,54695,55786,56540,57030,57709,57773,58506,58594,58705,59087,59530,60381,61225,61693,61565,62636,62085,61700,61259,61305,61418,61690,62018,62850,63241,63696,64164,64926,65827,66794,68665,69480,70252
"138","130","Q1CLE1 D       Cleaning preparations","Q1CLE10",23650,23604,23673,23222,22787,22835,22595,22401,22965,22723,22730,22945,23568,24062,24764,25266,25600,26023,26477,26712,26868,27178,27564,27756,27951,28532,28712,28967,29368,29389,29691,29782,29896,30237,30459,30603,31076,31139,31201,31714,31310,31591,31533,31669,31256,31323,31822,32027,32065,32323,32376,32715,32953,33362,34507,34643,34969
"139","131","Q1LIG1 D       Lighting supplies","Q1LIG10",5112,5012,4996,4897,4783,4916,4934,4928,5259,5250,5303,5384,5472,5511,5624,5687,5806,5970,6029,6186,6092,5920,5958,6086,6096,6249,6324,6368,6428,6455,6521,6564,6631,6685,6792,6940,7114,7216,7320,7538,7669,7483,7495,7500,7678,7771,7667,7712,7827,7976,8008,8189,8062,8471,8770,9038,9410
"140","132","Q1PAP1 D       Paper products","Q1PAP10",17562,17553,17734,17832,18002,18477,18608,18683,19232,19118,19387,19736,19940,20110,20617,20511,20747,21259,21674,21784,21707,21546,20959,20688,20675,21030,21544,21737,21952,21967,22339,22286,22207,22187,22296,22868,23054,23365,23056,23394,23110,22624,22230,22137,22485,22600,22532,23110,23349,23400,23781,24025,24813,24966,25395,25806,25885
"141","133","Q1DRG1 C     Drug preparations and sundries (45)","Q1DRG10",89023,89411,90859,91025,91467,91806,91479,91911,92455,92064,92075,92496,93905,94618,95354,96727,97173,98417,99763,101429,102919,104981,106370,108163,109447,111676,113647,116168,117872,120435,124396,128499,132301,136177,139833,144120,149081,152434,152005,163581,156840,169222,172876,178709,175972,180322,187737,192608,194166,193980,195176,198881,203738,207210,211399,216876,216144
"142","134","Q1RXD1 D       Prescription drugs","Q1RXD10",58135,58896,60157,60824,61003,61332,61568,62367,63380,63554,63652,63570,65426,66253,67105,67987,68774,69836,71045,72401,74089,75607,77145,78709,80261,82000,83891,85977,87742,90643,94262,98657,101859,105771,109150,113260,117512,120728,120488,131002,124392,136267,139341,144893,142604,147089,154221,158218,158918,158337,160023,163596,168077,171516,174855,180021,178328
"143","135","Q1NRX1 D       Nonprescription drugs","Q1NRX10",21057,20862,21038,20693,20956,21035,20673,20468,20179,19727,19691,20097,19728,19697,19551,19906,19639,19734,19953,20269,20126,20589,20453,20757,20536,20882,21006,21252,21210,21053,21346,21244,21882,21872,22052,22260,22997,23160,23058,23890,23951,24354,24938,25212,24960,24870,25071,25850,26668,27122,26696,26907,27225,27182,27851,28213,29194
"144","136","Q1MDS1 D       Medical supplies","Q1MDS10",4950,4872,4839,4771,4709,4631,4508,4381,4284,4240,4222,4241,4256,4223,4284,4349,4351,4442,4359,4387,4387,4434,4490,4456,4459,4539,4552,4660,4682,4646,4688,4656,4629,4663,4736,4712,4711,4738,4671,4806,4703,4778,4795,4798,4704,4644,4685,4704,4769,4761,4685,4588,4562,4562,4650,4560,4644
"145","137","Q1GYN1 D       Gynecological goods","Q1GYN10",3422,3417,3492,3504,3531,3546,3539,3568,3562,3558,3539,3564,3568,3555,3568,3615,3595,3604,3620,3593,3602,3624,3613,3589,3599,3662,3643,3736,3742,3687,3743,3700,3701,3714,3775,3819,3807,3778,3760,3886,3786,3828,3807,3805,3701,3685,3675,3744,3752,3737,3672,3628,3649,3651,3752,3698,3741
"146","138","Q1TOY1 C     Nondurable toys and sport supplies (89)","Q1TOY10",29008,27895,28067,28158,28992,29090,29869,30346,30364,30647,30859,31488,31544,32533,33132,33314,33974,34530,35284,36243,36217,37207,37914,38446,38115,38036,39407,40710,40175,40839,41307,41811,43431,45111,46105,47559,49890,50794,51899,53946,55023,56032,57497,57892,59228,59589,60589,62382,62713,64708,67097,69068,69416,70679,72747,73963,76423
"147","139","Q1DOL1 D       Toys, dolls, and games","Q1DOL10",18494,17769,18089,18242,19270,19409,20195,20985,20898,21293,21292,21765,21744,22598,23098,23156,23756,24194,24811,25424,25689,26517,27060,27667,27354,26995,28299,29632,29185,29772,30050,30449,31902,33076,33772,34837,36809,37383,38164,39397,40112,41150,42303,42474,43937,44035,45030,46370,46398,48019,50395,52370,52746,53591,55310,56381,58367
"148","140","Q1AMM1 D       Sport supplies, including ammo","Q1AMM10",7074,6743,6627,6577,6382,6373,6397,6140,6249,6174,6360,6480,6712,6856,6944,7106,7197,7303,7449,7796,7559,7763,7995,7945,7973,8301,8379,8379,8356,8500,8671,8824,8873,9314,9508,9745,10062,10344,10692,11289,11762,11631,11895,11884,11961,12301,12300,12698,12880,13106,13118,13127,13127,13410,13608,13692,14077
"149","141","Q1FLM1 D       Film and photo supplies","Q1FLM10",3754,3689,3635,3614,3578,3539,3489,3406,3405,3353,3391,3426,3268,3246,3251,3218,3173,3181,3162,3163,3083,3026,2951,2908,2866,2840,2798,2724,2664,2582,2608,2555,2657,2724,2830,2985,3014,3067,3041,3265,3152,3251,3298,3531,3339,3258,3271,3327,3432,3583,3622,3657,3643,3767,3937,4021,4130
"150","142","Q1STY1 C     Stationery and writing supplies (35)","Q1STY10",17456,16977,17042,17186,17585,17564,17583,17283,17451,17620,17858,18322,18029,18109,18113,17957,18055,18271,18708,18414,17824,17896,17747,17888,16919,17296,17498,17478,17339,16764,16713,16798,17117,17162,17329,17427,18013,18052,18014,18673,18780,18963,19071,19113,18515,18436,18125,18024,18352,18276,18382,17994,17891,18249,18673,18790,19353
"151","143","Q1STS1 D       Stationery and school supplies","Q1STS10",7560,7288,7157,7135,7131,7152,7098,6868,6823,6782,6824,6897,6905,6982,6968,7092,7053,7112,7191,7105,6919,6876,6821,6733,6471,6488,6463,6450,6344,6171,6124,6151,6333,6446,6586,6743,6960,7086,7131,7370,7601,7798,7853,7836,7536,7470,7442,7453,7597,7617,7664,7623,7577,7729,7948,8084,8349
"152","144","Q1GRE1 D       Greeting cards","Q1GRE10",9890,9684,9880,10048,10452,10409,10483,10414,10627,10838,11035,11427,11125,11127,11145,10864,11001,11159,11517,11309,10905,11019,10926,11155,10448,10808,11035,11028,10995,10593,10589,10647,10783,10715,10742,10684,11053,10965,10882,11302,11179,11165,11218,11276,10979,10965,10682,10571,10754,10659,10718,10370,10314,10519,10724,10706,11004
"153","145","Q1NFR1 C     Net foreign remittances (111 less 113)","Q1NFR10",2926,2841,1920,1808,2646,2042,1684,1759,972,713,114,161,726,749,833,667,1084,931,876,870,1172,894,757,810,1079,1112,1255,1110,1950,2484,2987,2887,3132,2695,2906,2726,2753,2480,2946,2731,2977,3501,3365,3037,3449,3618,3597,3696,4253,4129,3818,3384,4032,3728,3752,3572,3503
"154","146","Q1ABD1 C       Expenditures abroad by U S  residents","Q1ABD10",4154,3882,3198,3042,3848,3268,2956,3080,2634,2435,1939,2063,2492,2472,2480,2407,2818,2522,2522,2132,2512,2253,2219,2299,2430,2391,2403,2226,3169,3603,4197,4027,4197,3923,4054,4047,4003,4100,4210,4049,4371,4705,4850,4414,4942,5252,5120,5072,5766,5467,5309,5091,5469,5396,5418,5199,5156
"155","147","Q1ART1 D         Government expenditures abroad","Q1ART10",4018,3748,3082,2926,3696,3131,2826,2938,2505,2312,1840,1957,2371,2354,2364,2295,2689,2408,2409,2037,2402,2156,2124,2202,2328,2292,2305,2136,3042,3460,4032,3869,4032,3769,3894,3887,3845,3938,4044,3889,4198,4519,4658,4240,4746,5044,4918,4871,5538,5251,5099,4889,5253,5183,5204,4994,4953
"156","148","Q1ARS1 D         Other private services","Q1ARS10",136,134,116,116,152,136,130,142,129,122,99,105,121,118,117,111,129,114,113,94,110,97,95,97,102,99,98,90,127,143,165,158,165,155,160,160,158,162,166,160,173,186,192,174,195,208,202,200,228,216,210,201,216,213,214,205,204
"157","149","Q1REM1 C       Less: Personal remittances in kind to nonresidents","Q1REM10",1228,1042,1278,1234,1203,1225,1272,1321,1662,1722,1824,1901,1765,1723,1647,1739,1734,1591,1646,1262,1340,1359,1462,1488,1351,1278,1148,1116,1218,1119,1210,1140,1065,1229,1148,1321,1251,1620,1265,1318,1394,1204,1485,1377,1492,1634,1523,1376,1513,1338,1491,1706,1437,1668,1666,1628,1654
"158","150","Q1MAG1 C     Magazines, newspapers, and sheet music (88)","Q1MAG10",28519,29024,29543,29936,28902,28516,28162,27313,27271,26692,27239,26992,27601,27789,28023,28526,28965,29450,30024,30331,30757,31113,30325,30971,30697,31654,31941,32427,32920,32850,33078,33759,33220,33227,33671,33424,33548,34170,33842,34708,34465,35255,35031,35441,34785,34359,33546,32754,32845,33039,32842,32882,33405,33133,33665,33552,34224
"159","151","Q1MGZ1 D       Magazines and sheet music","Q1MGZ10",13749,13981,14271,14585,14252,14186,14060,13772,13864,13576,13890,13802,14003,14176,14294,14553,14780,15053,15343,15608,15856,16157,15754,16130,15983,16434,16494,16736,16973,16951,16969,17313,17052,17058,17289,17164,17224,17544,17376,17820,17695,18101,17986,18197,17860,17641,17224,16817,16864,16964,16862,16883,17151,17012,17285,17227,17572
"160","152","Q1NWP1 D       Newspapers","Q1NWP10",14871,15148,15372,15433,14706,14370,14137,13561,13416,13126,13357,13194,13610,13619,13736,13980,14191,14402,14687,14724,14903,14957,14572,14843,14716,15220,15448,15692,15948,15899,16109,16446,16168,16168,16381,16260,16323,16626,16466,16888,16769,17154,17045,17244,16925,16718,16322,15937,15981,16076,15980,15999,16254,16122,16380,16325,16652
"161","153","Q1FLO1 C     Flowers, seeds, and potted plants (95)","Q1FLO10",11311,11710,11571,11368,11435,10952,10976,11137,11085,10930,11465,13269,12496,12286,12765,12857,13157,13503,13342,13304,13271,13658,13539,13696,14446,14752,15048,15701,15735,15677,16696,16878,16127,16374,16939,17434,17535,17451,18235,18380,18263,17319,18024,18288,17459,17496,17513,17342,17395,17503,17631,17783,17849,18219,18837,19175,18012
"162","154","Q1TSS1 A Services","Q1TSS10",2813518,2849506,2872372,2871272,2868325,2896809,2908832,2925804,2960574,2987880,3016089,3038680,3053884,3065435,3099930,3123464,3151948,3167860,3185815,3200901,3221331,3251190,3273624,3293425,3326231,3345365,3366541,3385871,3417773,3446886,3485545,3521612,3562001,3601957,3642070,3653739,3696367,3738484,3782251,3815018,3871082,3908170,3949305,3986786,3989615,4013306,4029336,4057427,4095261,4136986,4159419,4175410,4190654,4208373,4237210,4266362,4311112
"163","155","Q1HOS1 B   Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024965,1031376,1036539,1042688,1051102,1059023,1065696,1071745,1077975,1082755,1088714,1092810,1098396
"164","156","Q1OWN1 C     Owner-occupied nonfarm dwellings--space rent (24)","Q1OWN10",547047,549768,553179,556427,561171,565359,570216,572716,573208,574304,576163,578150,579212,581028,585173,590201,597993,602502,607530,611042,612409,614937,616910,619211,621981,624816,628107,631981,635948,640329,644502,648847,654994,660884,666717,672102,680385,685577,690912,696033,703141,708661,715042,722100,729714,737250,744173,750362,752606,757563,762669,767911,772570,776943,781323,785789,790283
"165","157","Q1OMH1 D       Owner occupied mobile homes","Q1OMH10",23416,23442,23516,23670,24401,24992,25447,25621,25699,25743,25740,25690,25448,25310,25247,25231,25443,25462,25529,25555,25490,25533,25582,25684,25903,26089,26264,26441,26559,26749,26926,27090,27163,27175,27201,27242,27151,27191,27273,27398,27387,27814,28542,29524,30904,32118,33269,34226,33571,33949,34329,34707,35091,35477,35867,36256,36645
"166","158","Q1OST1 D       Owner occupied stationary homes","Q1OST10",523631,526326,529666,532755,536772,540364,544771,547098,547507,548563,550423,552461,553764,555721,559927,564970,572549,577042,581999,585486,586920,589405,591330,593524,596080,598726,601844,605538,609391,613578,617577,621757,627834,633706,639517,644858,653231,658386,663638,668638,675753,680845,686501,692577,698810,705132,710904,716134,719033,723614,728341,733203,737479,741464,745455,749529,753639
"167","159","Q1TEN1 C     Tenant-occupied nonfarm dwellings--rent (25)","Q1TEN10",198029,199465,200723,201344,200983,201497,202043,202325,203165,203436,203802,204642,204043,204387,205006,206091,207554,208860,210801,212476,214799,216213,217211,217603,217009,216886,216995,217346,217801,218304,219011,219978,221508,222516,223364,223963,225549,226580,227103,227374,226807,227212,227745,228432,229319,230368,231542,232969,235923,237993,240155,242406,243512,244028,244540,245073,245610
"168","160","Q1TMH1 D       Tenant occupied mobile homes","Q1TMH10",4785,4979,5105,5153,5317,5409,5476,5493,5497,5488,5480,5503,5497,5538,5598,5685,5836,5947,6069,6169,6248,6307,6338,6339,6307,6262,6202,6135,5987,5979,5991,6031,5804,5692,5578,5466,5233,5172,5107,5047,4978,4959,4953,4962,4986,5053,5171,5354,5801,6094,6399,6716,6874,6950,7026,7102,7179
"169","161","Q1TSP1 D       Tenant occupied stationary homes","Q1TSP10",189322,190590,191752,192321,191750,192178,192577,192833,193626,193914,194198,195023,194426,194704,195270,196235,197580,198743,200523,202038,204147,205423,206318,206644,206029,205891,205998,206351,206882,207332,207972,208847,210525,211612,212532,213194,214931,215962,216487,216750,216150,216512,216984,217592,218381,219290,220274,221454,223909,225623,227414,229281,230165,230545,230921,231316,231716
"170","162","Q1TLD1 D       Tenant landlord durables","Q1TLD10",4054,4041,4022,4029,4065,4061,4129,4137,4175,4169,4243,4240,4242,4262,4259,4291,4272,4303,4344,4400,4517,4588,4651,4707,4748,4798,4851,4906,4969,5023,5074,5123,5197,5230,5269,5315,5393,5452,5513,5580,5679,5739,5807,5879,5953,6029,6101,6170,6219,6283,6349,6418,6485,6552,6620,6689,6758
"171","163","Q1FAR1 C     Rental value of farm dwellings (26)","Q1FAR10",9610,9619,9621,9614,9581,9619,9648,9629,9607,9609,9607,9601,9582,9565,9570,9572,9598,9595,9624,9644,9625,9625,9624,9629,9616,9643,9685,9750,9869,9968,10045,10094,10132,10178,10229,10279,10392,10430,10479,10526,10593,10638,10679,10714,10694,10741,10800,10859,10771,10775,10760,10720,10669,10632,10597,10557,10516
"172","164","Q1OHO1 C     Other (27)","Q1OHO10",41269,41083,40658,40646,39564,41224,41587,42307,43660,43994,44029,43714,44090,42809,43238,43048,44624,44418,45161,45648,45914,44989,45139,46054,46527,47231,48018,48850,50342,50792,51937,52379,52798,52227,52135,51480,53066,52582,53295,53953,55200,56796,56429,55638,55251,53006,49942,48323,51740,52638,51983,50452,50970,50882,52037,51105,51718
"173","165","Q1HOT1 D       Hotels and motels","Q1HOT10",32046,31870,31435,31398,30246,31811,32137,32831,34223,34573,34643,34348,34399,33030,33385,33191,34835,34652,35406,35896,36144,35181,35280,36120,36441,37072,37836,38665,40228,40663,41774,42151,42541,41949,41821,41124,42646,42100,42735,43312,44403,45975,45622,44883,44623,42487,39539,38048,41616,42678,42176,40795,41376,41258,42419,41431,42042
"174","166","Q1HFR1 D       Clubs and fraternity housing","Q1HFR10",397,398,402,409,422,430,436,438,433,432,429,431,437,439,441,442,443,443,445,447,446,451,459,469,492,500,503,502,480,480,487,500,516,524,536,549,568,583,600,619,657,667,672,672,662,655,647,640,647,645,643,641,640,640,640,640,640
"175","167","Q1HHE1 D       Higher education housing","Q1HHE10",8205,8212,8239,8256,8321,8369,8412,8444,8460,8473,8467,8456,8742,8826,8890,8895,8838,8819,8802,8794,8799,8824,8858,8913,9037,9097,9113,9115,9071,9085,9113,9166,9187,9196,9214,9233,9251,9290,9346,9403,9524,9538,9519,9465,9351,9239,9112,8977,8892,8763,8622,8470,8431,8452,8476,8495,8514
"176","168","Q1HES1 D       Elementary and secondary education housing","Q1HES10",156,155,159,159,156,155,154,152,155,158,157,155,156,156,157,157,157,158,159,159,160,161,163,164,166,167,167,166,165,164,164,164,165,165,165,165,165,165,165,166,165,166,166,166,166,165,165,164,162,161,159,157,157,157,158,158,158
"177","169","Q1TGR1 D       Tenant group room and board","Q1TGR10",431,415,406,409,425,435,429,415,351,320,296,291,328,337,343,342,324,319,319,320,332,339,346,352,356,359,361,361,353,352,351,348,338,341,347,357,381,389,394,397,392,392,394,396,401,403,402,399,379,369,358,347,343,344,345,346,347
"178","170","Q1TGL1 D       Tenant group employee lodging","Q1TGL10",37,42,36,35,35,40,35,34,37,39,38,37,38,39,40,40,40,40,41,41,42,42,43,43,43,44,45,46,48,48,49,49,51,51,52,53,54,54,55,55,56,57,58,58,59,59,60,61,62,62,63,64,65,66,67,68,69
"179","171","Q1HOP1 B   Household operation","Q1HOP10",258725,267670,271029,268048,263593,273389,272562,269866,269941,276686,279104,283895,285416,286169,295590,297100,300541,305499,303818,303408,302628,310945,319348,318607,326971,328051,323616,330447,331160,336372,341120,352792,350229,358538,363489,356089,362787,371092,379932,373702,376339,388561,392540,402995,397081,389946,389006,384918,389232,398287,394713,395642,396644,393379,396808,398025,403686
"180","172","Q1GEL1 B     Electricity and gas","Q1GEL10",111294,118519,120481,119310,117267,125481,122610,118981,116742,120554,120285,124112,125052,123171,129512,129398,129880,132591,127745,124870,123602,129801,135201,132009,138593,136480,129820,134057,130912,132808,132014,139184,133822,140242,141100,131549,135476,138515,143167,135416,133910,141959,143767,153563,150409,139693,138796,135778,140362,146986,145720,147883,148032,143074,144531,144928,148679
"181","173","Q1ELC1 C       Electricity (37)","Q1ELC10",77499,81568,83227,82213,81237,87485,83182,81967,80784,81120,81248,84949,85125,85613,89333,87340,88317,92395,87613,86914,85988,89711,94183,90770,93429,93116,89104,91521,90613,88944,90485,96647,94778,100608,101828,94613,96776,98531,102813,97066,97361,103683,102362,105984,105808,101198,97590,96264,100943,105836,106297,106910,108530,105485,106699,107233,109780
"182","174","Q1NGS1 C       Gas (38)","Q1NGS10",34010,37414,37641,37530,36346,38177,40255,37452,36266,40435,39944,39806,40702,37883,40678,42963,42326,40546,40745,38254,37921,40561,41264,41850,46373,44203,41359,43324,40841,45032,42233,43045,39208,39579,39102,36823,38638,40019,40294,38398,36633,38352,41492,47334,44375,38770,41123,39417,39398,41191,39454,41053,39663,37821,38088,37984,39163
"183","175","Q1HLU1 B     Other household operation","Q1HLU10",147910,149574,150966,149152,146750,148300,150361,151306,153629,156578,159273,160233,160811,163474,166537,168181,171167,173433,176555,178971,179420,181612,184670,187039,188910,192045,194167,196788,200614,203931,209435,213986,216683,218722,222770,224512,227343,232622,236929,238232,242440,246750,248855,249191,246209,250610,250457,249359,248954,251237,248895,247621,248482,250469,252421,253248,255006
"184","176","Q1WAT1 C       Water and other sanitary services (39)","Q1WAT10",41192,41173,41064,40957,40738,40563,40412,40300,39782,39653,39627,39905,40848,41380,41930,42427,42723,43213,43763,44403,44714,45027,45301,45579,45975,46473,46815,47232,47385,47524,47723,47975,48041,48270,48488,48741,49524,49903,50193,50450,50699,50804,50870,50891,50840,50786,50704,50599,50460,50328,50185,50040,49905,49777,49665,49523,49384
"185","177","Q1WSM1 D         Water and sewerage maintenance","Q1WSM10",34542,34453,34335,34260,34196,34143,34036,33905,33440,33314,33245,33405,34035,34403,34778,35125,35315,35675,36101,36604,36862,37045,37167,37267,37473,37800,37971,38211,38262,38252,38274,38322,38216,38315,38436,38624,39075,39280,39417,39543,39642,39703,39744,39762,39737,39728,39715,39700,39692,39672,39642,39605,39578,39559,39551,39520,39489
"186","178","Q1REF1 D         Refuse collection","Q1REF10",6698,6769,6778,6744,6590,6468,6424,6443,6389,6385,6427,6542,6850,7012,7184,7331,7435,7565,7688,7823,7878,8004,8152,8325,8511,8681,8852,9025,9127,9273,9449,9653,9826,9955,10053,10116,10449,10623,10776,10907,11056,11100,11126,11130,11103,11057,10988,10898,10766,10652,10538,10428,10319,10208,10102,9990,9879
"187","179","Q1TEL1 C       Telephone and telegraph (41)","Q1TEL10",57297,58077,59422,58506,58459,60280,62099,63031,64715,66895,69029,69449,68847,70458,72377,72777,74135,74848,76189,76946,76934,78271,80371,82248,83714,85802,87189,89285,91996,94279,98272,101059,101847,102442,105316,106206,108459,113473,117385,118072,120372,124720,127220,127960,127120,132327,133080,133029,132358,134247,132318,130850,131572,133224,134962,135430,137004
"188","180","Q1LOC1 D         Local and cellular telephone","Q1LOC10",29927,30604,31247,30880,30628,31592,32091,32337,32961,34272,35086,35423,35200,36674,37850,38400,38904,39943,41122,41757,41760,43158,44656,45540,46805,48964,49726,50814,51283,52251,53737,55044,56643,58333,60031,61977,64132,67617,69771,72338,74921,78448,80110,82841,85238,89477,89772,92342,92525,94637,92345,92509,93379,93619,93475,93563,95591
"189","181","Q1CEL1 D           Cellular telephone","Q1CEL10",1143,1270,1411,1517,1582,1714,1866,2108,2466,2783,3086,3316,3372,3811,4310,4401,4633,5093,5657,6057,6237,6834,7642,8201,8768,9468,10155,10607,10793,11106,11678,12546,13541,14322,15492,16982,18806,20515,22522,24735,26635,28849,31441,33823,36822,39644,42681,45600,47018,48075,48492,49994,51437,52601,53767,54917,56500
"190","182","Q1OLC1 D           Local telephone","Q1OLC10",33925,34493,34991,34337,33906,34814,35121,34951,35019,35998,36406,36381,36010,36973,37473,37968,38151,38568,38974,39021,38712,39333,39719,39825,40389,41793,41618,42186,42441,43079,43927,44146,44533,45345,45665,45859,45896,47557,47513,47718,48323,49579,48633,49035,48586,50119,47785,47727,46743,47831,45400,44358,44007,43311,42286,41492,42094
"191","183","Q1LDT1 D         Long distance telephone","Q1LDT10",27223,27333,28030,27482,27684,28533,29857,30545,31612,32471,33797,33875,33494,33605,34338,34180,35029,34711,34879,35007,34995,34919,35510,36500,36697,36652,37274,38275,40459,41755,44221,45691,44919,43884,45060,44076,44210,45755,47491,45708,45461,46291,47124,45076,41812,42776,43244,40520,39603,39313,39759,37974,37772,39344,41532,41973,41252
"192","184","Q1INC1 D           Intrastate toll calls","Q1INC10",9965,10098,10287,10104,10155,10701,11406,11856,11659,11802,11822,12139,11908,12172,12421,12644,12945,12916,13185,13798,13677,13660,14036,14520,14895,14933,14360,14234,14685,14399,14879,15285,15307,14624,15064,14532,14854,14475,14521,13798,14100,13930,14506,13975,13274,12924,13428,13252,13478,13634,14675,13843,13769,14520,16115,16913,16719
"193","185","Q1ITC1 D           Interstate toll calls","Q1ITC10",17388,17358,17875,17504,17656,17948,18561,18795,20092,20820,22147,21899,21746,21591,22076,21697,22246,21963,21881,21448,21548,21492,21730,22255,22112,22038,23133,24207,25913,27419,29379,30444,29669,29298,30037,29574,29392,31285,32963,31897,31362,32360,32617,31099,28535,29855,29817,27261,26112,25661,25043,24095,23967,24785,25365,24994,24465
"194","186","Q1DMS1 C       Domestic service (42)","Q1DMS10",14084,14775,14314,14089,13162,13299,13321,13435,13870,14312,14425,14709,14911,14900,14897,14955,15103,15297,15500,15772,15934,16078,16116,16069,15999,15829,15545,15249,15639,15966,16395,16902,17732,18429,18651,18469,17587,16754,16404,16414,17603,17524,17315,16958,15946,15659,15167,14545,15034,15676,16148,16484,16946,17622,18347,19102,19927
"195","187","Q1DMC1 D         Domestic service, cash","Q1DMC10",12961,13637,13241,13023,12102,12203,12190,12274,12679,13080,13192,13461,13705,13707,13694,13730,13805,13957,14142,14388,14562,14696,14721,14659,14567,14402,14147,13886,14241,14562,14995,15494,16288,16919,17107,16924,16073,15302,14989,15012,16154,16071,15868,15514,14522,14267,13828,13280,13749,14351,14793,15124,15568,16207,16898,17627,18406
"196","188","Q1DMI1 D         Domestic service, in kind","Q1DMI10",1131,1151,1089,1081,1065,1098,1131,1158,1190,1231,1232,1248,1209,1197,1207,1227,1297,1337,1354,1381,1371,1380,1393,1407,1428,1422,1393,1359,1394,1401,1399,1409,1445,1511,1545,1545,1514,1451,1414,1401,1449,1452,1447,1444,1425,1392,1338,1265,1284,1324,1353,1358,1374,1410,1444,1469,1513
"197","189","Q1OPO1 C       Other (43)","Q1OPO10",39549,39694,39948,39445,37819,37108,37108,36920,37376,37513,37679,37672,37992,38415,38870,39670,40870,41841,42905,43756,43784,44102,44588,44673,44630,45226,45829,46066,46472,46917,47579,48513,49634,50219,50839,51611,52158,52654,52979,53322,53802,53689,53437,53376,52304,51982,51698,51418,51322,51271,50480,50408,50255,50127,49841,49609,49232
"198","190","Q1MSE1 D         Moving and storage","Q1MSE10",8890,8744,8638,8390,7936,7699,7694,7693,7854,7916,7948,7846,8054,8192,8360,8584,8933,9286,9676,9946,10198,10371,10615,10612,10464,10747,11072,11304,11885,12126,12345,12524,12546,12680,12881,13013,13303,13467,13640,13681,13802,13716,13526,13234,12616,12298,12082,11989,12209,12267,12321,12360,12419,12509,12604,12691,12780
"199","191","Q1FIN1 D         Household insurance","Q1FIN10",4057,4036,4014,3990,3972,3940,3903,3861,3809,3765,3726,3692,3654,3642,3644,3657,3713,3722,3715,3693,3611,3592,3591,3605,3703,3697,3658,3590,3393,3356,3375,3452,3683,3788,3862,3900,3851,3847,3842,3838,3830,3832,3838,3842,3853,3834,3794,3727,3542,3444,3350,3264,3136,2969,2781,2640,2398
"200","192","Q1FIP1 D           Household insurance premiums","Q1FIP10",7438,7499,7542,7566,7526,7544,7578,7629,7724,7797,7871,7945,8010,8082,8155,8229,8303,8376,8448,8519,8588,8653,8716,8774,8836,8883,8922,8955,8961,9004,9064,9141,9259,9353,9445,9533,9609,9696,9788,9885,10000,10104,10212,10328,10447,10607,10805,11051,11503,11829,12166,12515,12897,13301,13722,14531,14982
"201","193","Q1FIB1 D           Less: Household insurance benefits paid","Q1FIB10",3382,3463,3528,3576,3554,3604,3675,3768,3915,4032,4146,4253,4355,4440,4512,4572,4590,4654,4733,4826,4977,5061,5125,5169,5133,5186,5264,5365,5568,5648,5688,5689,5576,5565,5582,5633,5758,5849,5946,6046,6170,6272,6374,6485,6594,6773,7011,7324,7961,8385,8816,9251,9761,10332,10941,11891,12584
"202","194","Q1RCL1 D         Rug and furniture cleaning","Q1RCL10",1054,1087,1107,1114,1100,1104,1112,1126,1157,1176,1192,1195,1277,1323,1371,1421,1468,1518,1574,1633,1698,1758,1818,1878,1939,1996,2052,2107,2169,2210,2242,2263,2323,2355,2389,2426,2495,2522,2554,2589,2639,2668,2701,2737,2784,2820,2851,2877,2887,2908,2931,2957,2983,3005,3028,3050,3072
