"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1","21.0","20.0","20.0","20.0","18.0","16.0","20.0","18.0","17.0","17.0","20.0","20.0","25.0","153.0","273.0","632.0","1,128.0","-144.0","-151.0","-12.0","226.0","216.0","501.0","725.0","1,005.0","981.0","993.0","1,004.0","997.0","1,001.0","959.0","918.0","856.0","905.0","881.0","983.0","1,072.0","1,291.0","1,379.0","1,496.0","1,654.0","1,763.0","1,866.0","1,700.0","1,351.0","1,208.0","1,058.0","918.0","1,008.0","1,238.0","1,414.0","1,794.0","2,052.0","2,664.0","2,705.0","2,821.0","3,160.0","2,978.0","3,075.0","2,499.0","2,700.0","2,592.0","2,349.0","960.0","1,116.0","1,335.0","1,554.0","1,704.0","2,958.0","3,241.0","3,129.0","3,219.0","3,403.0","4,034.0","4,783.0","5,043.0","5,023.0","5,282.0","6,056.0","6,277.0"
"65","47","Services","DSERRC1","33,619.0","31,974.0","28,965.0","24,587.0","22,187.0","22,975.0","24,299.0","26,213.0","28,460.0","28,259.0","29,284.0","30,654.0","33,620.0","37,978.0","43,571.0","48,120.0","52,360.0","58,067.0","62,562.0","67,606.0","70,416.0","75,399.0","83,782.0","90,742.0","98,244.0","104,236.0","111,366.0","119,518.0","127,258.0","134,618.0","145,097.0","154,780.0","163,376.0","174,367.0","184,559.0","199,200.0","214,135.0","231,273.0","248,792.0","273,386.0","300,447.0","329,507.0","359,497.0","396,415.0","435,377.0","481,393.0","542,454.0","604,949.0","677,440.0","764,054.0","853,229.0","956,034.0","1,070,133.0","1,176,203.0","1,314,796.0","1,437,383.0","1,580,002.0","1,701,117.0","1,840,664.0","2,012,748.0","2,170,687.0","2,344,151.0","2,482,638.0","2,673,622.0","2,841,247.0","3,004,252.0","3,171,748.0","3,355,935.0","3,563,862.0","3,808,467.0","4,052,790.0","4,371,239.0","4,614,801.0","4,829,234.0","5,076,607.0","5,392,826.0","5,745,084.0","6,100,939.0","6,461,445.0","6,726,767.0"
"66","48","  Household consumption expenditures (for services)","DHCERC1","32,336.0","30,681.0","27,756.0","23,550.0","21,276.0","22,070.0","23,400.0","25,276.0","27,505.0","27,281.0","28,293.0","29,598.0","32,505.0","36,715.0","42,090.0","46,451.0","50,623.0","56,089.0","60,438.0","65,287.0","68,061.0","72,924.0","81,137.0","87,795.0","95,153.0","100,929.0","107,902.0","115,621.0","123,103.0","130,126.0","140,037.0","149,504.0","157,911.0","168,660.0","178,559.0","192,506.0","206,943.0","223,522.0","240,371.0","264,040.0","290,365.0","318,418.0","347,168.0","382,800.0","420,748.0","464,960.0","524,404.0","584,880.0","655,649.0","739,581.0","825,430.0","924,146.0","1,033,869.0","1,136,113.0","1,271,888.0","1,389,792.0","1,529,656.0","1,645,750.0","1,782,132.0","1,945,987.0","2,098,971.0","2,264,537.0","2,398,393.0","2,581,279.0","2,746,625.0","2,901,883.0","3,064,578.0","3,240,220.0","3,451,614.0","3,677,472.0","3,907,383.0","4,205,871.0","4,428,597.0","4,624,229.0","4,864,792.0","5,182,813.0","5,531,009.0","5,860,589.0","6,207,947.0","6,448,046.0"
"67","49","    Housing and utilities","DHUTRC1","12,876.0","12,499.0","11,782.0","10,499.0","9,357.0","9,106.0","9,248.0","9,604.0","10,172.0","10,614.0","10,888.0","11,306.0","12,082.0","12,990.0","13,535.0","14,189.0","14,713.0","16,312.0","18,276.0","20,536.0","22,591.0","25,088.0","28,102.0","31,175.0","34,470.0","37,367.0","40,033.0","42,898.0","45,934.0","49,187.0","52,849.0","56,720.0","60,301.0","64,476.0","68,208.0","72,148.0","76,618.0","81,226.0","86,344.0","92,748.0","100,982.0","109,421.0","119,981.0","131,185.0","143,486.0","158,579.0","176,527.0","194,663.0","217,806.0","244,279.0","273,403.0","311,818.0","351,952.0","386,968.0","421,162.0","458,269.0","500,668.0","535,685.0","571,808.0","614,452.0","655,601.0","696,356.0","735,540.0","771,188.0","814,503.0","866,466.0","913,779.0","961,246.0","1,009,908.0","1,065,238.0","1,125,044.0","1,198,555.0","1,287,742.0","1,334,765.0","1,393,820.0","1,462,240.0","1,582,842.0","1,685,953.0","1,763,112.0","1,843,694.0"
"68","50","      Housing","DHSGRC1","11,418.0","10,961.0","10,237.0","9,005.0","7,932.0","7,623.0","7,720.0","8,018.0","8,529.0","8,937.0","9,140.0","9,444.0","10,153.0","10,943.0","11,427.0","11,966.0","12,368.0","13,743.0","15,411.0","17,340.0","19,087.0","21,127.0","23,678.0","26,298.0","29,133.0","31,483.0","33,553.0","35,817.0","38,344.0","41,009.0","43,954.0","46,976.0","49,955.0","53,381.0","56,469.0","59,764.0","63,627.0","67,511.0","71,866.0","77,316.0","84,207.0","91,040.0","99,725.0","108,730.0","118,990.0","130,045.0","142,420.0","156,034.0","173,353.0","194,495.0","218,026.0","245,916.0","277,830.0","302,480.0","327,163.0","358,441.0","394,682.0","429,228.0","461,750.0","497,345.0","531,470.0","570,438.0","601,788.0","634,533.0","665,948.0","712,583.0","756,172.0","794,234.0","839,282.0","893,933.0","950,490.0","1,010,486.0","1,085,759.0","1,134,517.0","1,176,116.0","1,233,890.0","1,328,897.0","1,416,275.0","1,480,012.0","1,543,115.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1","4,542.0","4,454.0","4,280.0","3,858.0","3,415.0","3,277.0","3,323.0","3,490.0","3,763.0","4,003.0","4,132.0","4,298.0","4,580.0","4,827.0","4,837.0","4,816.0","4,670.0","4,918.0","5,290.0","5,895.0","6,505.0","7,058.0","7,745.0","8,406.0","9,194.0","9,756.0","10,094.0","10,514.0","11,151.0","11,822.0","12,532.0","13,279.0","14,150.0","15,115.0","16,045.0","17,034.0","18,156.0","19,238.0","20,390.0","22,168.0","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","61,835.0","70,950.0","78,614.0","85,536.0","94,646.0","108,307.0","119,301.0","126,824.0","133,753.0","140,127.0","150,669.0","157,633.0","163,882.0","168,752.0","176,679.0","186,233.0","191,213.0","199,384.0","208,990.0","218,730.0","227,926.0","241,929.0","249,150.0","247,106.0","253,681.0","264,687.0","283,410.0","311,941.0","330,328.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1","5,868.0","5,552.0","5,101.0","4,416.0","3,844.0","3,643.0","3,646.0","3,759.0","3,950.0","4,104.0","4,179.0","4,310.0","4,706.0","5,192.0","5,588.0","6,060.0","6,496.0","7,356.0","8,456.0","9,731.0","10,968.0","12,391.0","14,089.0","15,901.0","17,899.0","19,724.0","21,407.0","23,233.0","25,036.0","26,953.0","29,047.0","31,273.0","33,285.0","35,714.0","37,787.0","39,991.0","42,668.0","45,338.0","48,329.0","51,883.0","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,385.0","201,023.0","218,189.0","235,996.0","258,101.0","280,785.0","304,497.0","329,438.0","357,613.0","384,868.0","412,788.0","436,687.0","462,819.0","488,461.0","526,209.0","559,814.0","592,467.0","629,459.0","674,050.0","720,267.0","768,886.0","829,759.0","870,850.0","913,823.0","962,526.0","1,044,497.0","1,111,028.0","1,143,454.0","1,186,830.0"
"71","53","        Rental value of farm dwellings (22)","DFARRC1","913.0","865.0","775.0","664.0","614.0","640.0","683.0","693.0","733.0","745.0","741.0","744.0","767.0","821.0","879.0","955.0","1,052.0","1,303.0","1,447.0","1,505.0","1,408.0","1,464.0","1,607.0","1,736.0","1,765.0","1,711.0","1,741.0","1,734.0","1,787.0","1,861.0","2,031.0","2,098.0","2,202.0","2,258.0","2,360.0","2,443.0","2,481.0","2,599.0","2,747.0","2,838.0","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","20,917.0","23,624.0","24,916.0"
"72","54","        Group housing (23)","DGRHRC1","95.0","90.0","81.0","67.0","59.0","63.0","68.0","76.0","83.0","85.0","88.0","92.0","100.0","103.0","123.0","135.0","150.0","166.0","218.0","209.0","206.0","214.0","237.0","255.0","275.0","292.0","311.0","336.0","370.0","373.0","344.0","326.0","318.0","294.0","277.0","296.0","322.0","336.0","400.0","427.0","492.0","510.0","511.0","510.0","530.0","590.0","661.0","680.0","632.0","571.0","555.0","526.0","512.0","529.0","460.0","493.0","476.0","447.0","447.0","505.0","568.0","640.0","694.0","625.0","668.0","674.0","721.0","795.0","803.0","870.0","902.0","928.0","929.0","877.0","901.0","890.0","884.0","920.0","993.0","1,041.0"
"73","55","      Household utilities","DUTLRC1","1,458.0","1,538.0","1,545.0","1,494.0","1,425.0","1,483.0","1,528.0","1,586.0","1,643.0","1,677.0","1,748.0","1,862.0","1,929.0","2,047.0","2,108.0","2,223.0","2,345.0","2,569.0","2,865.0","3,196.0","3,504.0","3,961.0","4,424.0","4,877.0","5,337.0","5,884.0","6,480.0","7,081.0","7,590.0","8,178.0","8,895.0","9,744.0","10,346.0","11,095.0","11,739.0","12,384.0","12,991.0","13,715.0","14,478.0","15,432.0","16,775.0","18,381.0","20,256.0","22,455.0","24,496.0","28,534.0","34,107.0","38,629.0","44,453.0","49,784.0","55,377.0","65,902.0","74,122.0","84,488.0","93,999.0","99,828.0","105,986.0","106,457.0","110,058.0","117,107.0","124,131.0","125,918.0","133,752.0","136,655.0","148,555.0","153,883.0","157,607.0","167,012.0","170,626.0","171,305.0","174,554.0","188,069.0","201,983.0","200,248.0","217,704.0","228,350.0","253,945.0","269,678.0","283,100.0","300,579.0"
"74","56","        Water supply and sanitation (25)","DWRSRC1","285.0","303.0","303.0","284.0","274.0","306.0","316.0","331.0","336.0","332.0","348.0","364.0","373.0","389.0","396.0","412.0","425.0","463.0","499.0","532.0","558.0","606.0","651.0","723.0","783.0","838.0","921.0","983.0","1,051.0","1,072.0","1,214.0","1,375.0","1,478.0","1,615.0","1,821.0","1,929.0","2,062.0","2,161.0","2,225.0","2,416.0","2,758.0","3,162.0","3,559.0","4,011.0","4,438.0","4,920.0","5,460.0","6,005.0","6,669.0","7,531.0","8,409.0","9,398.0","10,476.0","11,657.0","13,107.0","14,938.0","16,978.0","19,078.0","21,074.0","22,881.0","25,260.0","27,149.0","28,819.0","30,294.0","33,498.0","36,733.0","39,337.0","42,069.0","44,058.0","46,214.0","48,740.0","50,440.0","52,379.0","54,609.0","57,309.0","60,194.0","63,579.0","68,822.0","72,883.0","77,054.0"
"75","57","        Electricity and gas","DELGRC1","1,173.0","1,235.0","1,242.0","1,210.0","1,151.0","1,177.0","1,212.0","1,255.0","1,307.0","1,345.0","1,400.0","1,498.0","1,556.0","1,658.0","1,712.0","1,811.0","1,920.0","2,106.0","2,366.0","2,664.0","2,946.0","3,355.0","3,773.0","4,154.0","4,554.0","5,046.0","5,559.0","6,098.0","6,539.0","7,106.0","7,681.0","8,369.0","8,868.0","9,480.0","9,918.0","10,455.0","10,929.0","11,554.0","12,253.0","13,016.0","14,017.0","15,219.0","16,697.0","18,444.0","20,058.0","23,614.0","28,647.0","32,624.0","37,784.0","42,253.0","46,968.0","56,504.0","63,646.0","72,831.0","80,892.0","84,890.0","89,008.0","87,379.0","88,984.0","94,226.0","98,871.0","98,769.0","104,933.0","106,361.0","115,057.0","117,150.0","118,270.0","124,943.0","126,568.0","125,091.0","125,814.0","137,629.0","149,604.0","145,639.0","160,395.0","168,156.0","190,366.0","200,856.0","210,217.0","223,525.0"
"76","58","          Electricity (27)","DELCRC1","616.0","660.0","674.0","662.0","645.0","671.0","697.0","726.0","766.0","810.0","849.0","910.0","965.0","1,017.0","1,045.0","1,125.0","1,194.0","1,328.0","1,473.0","1,668.0","1,879.0","2,138.0","2,395.0","2,652.0","2,932.0","3,213.0","3,496.0","3,802.0","4,097.0","4,381.0","4,714.0","5,061.0","5,327.0","5,678.0","5,950.0","6,294.0","6,607.0","7,043.0","7,527.0","8,093.0","8,772.0","9,604.0","10,622.0","11,803.0","13,303.0","16,101.0","19,388.0","21,633.0","25,174.0","28,042.0","30,741.0","37,187.0","42,472.0","47,018.0","51,576.0","55,321.0","59,254.0","60,621.0","63,253.0","66,834.0","69,681.0","71,809.0","76,636.0","76,774.0","82,749.0","84,505.0","87,581.0","90,491.0","90,704.0","93,408.0","93,578.0","98,359.0","103,368.0","107,106.0","111,532.0","115,871.0","128,720.0","140,940.0","148,673.0","157,032.0"
"77","59","          Natural gas (28)","DGHERC1","557.0","575.0","568.0","548.0","506.0","506.0","515.0","529.0","541.0","535.0","551.0","588.0","591.0","641.0","667.0","686.0","726.0","778.0","893.0","996.0","1,067.0","1,217.0","1,378.0","1,502.0","1,622.0","1,833.0","2,063.0","2,296.0","2,442.0","2,725.0","2,967.0","3,308.0","3,541.0","3,802.0","3,968.0","4,161.0","4,322.0","4,511.0","4,726.0","4,923.0","5,245.0","5,615.0","6,075.0","6,641.0","6,755.0","7,513.0","9,259.0","10,991.0","12,610.0","14,211.0","16,227.0","19,317.0","21,174.0","25,813.0","29,316.0","29,569.0","29,754.0","26,758.0","25,731.0","27,392.0","29,190.0","26,960.0","28,297.0","29,587.0","32,308.0","32,645.0","30,689.0","34,452.0","35,864.0","31,683.0","32,236.0","39,270.0","46,236.0","38,533.0","48,863.0","52,285.0","61,646.0","59,916.0","61,544.0","66,493.0"
"78","60","    Health care","DHLCRC1","2,251.0","2,205.0","2,012.0","1,676.0","1,530.0","1,629.0","1,733.0","1,883.0","1,981.0","1,979.0","2,069.0","2,192.0","2,319.0","2,580.0","2,779.0","3,185.0","3,396.0","4,320.0","5,005.0","5,762.0","5,973.0","6,389.0","6,874.0","7,605.0","8,359.0","9,287.0","9,904.0","10,881.0","11,966.0","13,405.0","14,831.0","16,030.0","17,120.0","19,135.0","20,978.0","24,150.0","26,038.0","28,678.0","31,929.0","36,576.0","42,059.0","47,663.0","53,725.0","59,842.0","67,175.0","76,083.0","89,000.0","101,849.0","115,691.0","131,202.0","148,840.0","171,661.0","201,914.0","225,182.0","253,125.0","276,478.0","302,195.0","330,160.0","366,011.0","410,051.0","451,209.0","506,202.0","555,759.0","612,785.0","648,809.0","680,461.0","719,886.0","752,067.0","790,949.0","832,046.0","863,590.0","918,425.0","996,565.0","1,082,873.0","1,149,269.0","1,229,730.0","1,315,952.0","1,380,732.0","1,469,561.0","1,554,197.0"
"79","61","      Outpatient services","DOUTRC1","1,679.0","1,608.0","1,418.0","1,120.0","1,025.0","1,111.0","1,177.0","1,308.0","1,364.0","1,344.0","1,411.0","1,497.0","1,587.0","1,740.0","1,827.0","2,128.0","2,243.0","2,900.0","3,277.0","3,778.0","3,815.0","3,980.0","4,219.0","4,604.0","5,066.0","5,697.0","5,961.0","6,514.0","7,101.0","7,872.0","8,653.0","9,155.0","9,618.0","10,712.0","11,506.0","13,528.0","14,450.0","15,395.0","16,279.0","17,813.0","19,946.0","22,305.0","24,093.0","26,305.0","29,855.0","33,157.0","38,494.0","43,353.0","49,497.0","54,731.0","61,534.0","70,635.0","83,585.0","90,693.0","103,303.0","115,770.0","129,444.0","143,356.0","164,431.0","186,187.0","204,641.0","232,126.0","253,768.0","282,638.0","297,450.0","314,563.0","336,597.0","351,312.0","369,147.0","390,430.0","407,136.0","436,625.0","475,797.0","514,722.0","552,062.0","593,685.0","636,465.0","665,008.0","707,258.0","747,172.0"
"80","62","        Physician services (44)","DPHYRC1","962.0","926.0","821.0","663.0","619.0","680.0","733.0","822.0","856.0","835.0","868.0","915.0","960.0","1,051.0","1,095.0","1,325.0","1,374.0","1,811.0","2,124.0","2,446.0","2,470.0","2,575.0","2,752.0","3,001.0","3,285.0","3,680.0","3,819.0","4,190.0","4,580.0","5,131.0","5,533.0","5,768.0","5,945.0","6,529.0","6,954.0","8,193.0","8,559.0","9,095.0","10,067.0","10,948.0","12,431.0","14,012.0","15,344.0","16,657.0","18,452.0","20,398.0","23,571.0","25,893.0","29,728.0","32,714.0","37,171.0","43,271.0","50,993.0","55,822.0","62,858.0","69,928.0","77,489.0","85,370.0","99,137.0","112,466.0","121,895.0","134,774.0","144,894.0","158,661.0","162,051.0","168,259.0","177,849.0","183,405.0","190,873.0","202,021.0","212,102.0","229,244.0","249,300.0","269,306.0","291,331.0","311,360.0","332,403.0","346,793.0","365,612.0","381,814.0"
"81","63","        Dental services (45)","DDENRC1","482.0","463.0","408.0","312.0","276.0","295.0","302.0","331.0","350.0","356.0","386.0","419.0","459.0","505.0","539.0","573.0","620.0","772.0","785.0","910.0","920.0","962.0","1,003.0","1,110.0","1,247.0","1,428.0","1,532.0","1,654.0","1,781.0","1,897.0","1,950.0","2,028.0","2,115.0","2,272.0","2,307.0","2,685.0","2,849.0","3,002.0","3,387.0","3,719.0","4,326.0","4,872.0","5,139.0","5,644.0","6,592.0","7,253.0","8,218.0","9,250.0","10,274.0","11,335.0","12,281.0","13,730.0","16,121.0","17,370.0","18,868.0","20,601.0","22,569.0","24,217.0","26,767.0","28,414.0","30,328.0","32,421.0","34,082.0","37,636.0","39,573.0","42,224.0","45,389.0","47,800.0","50,931.0","54,627.0","58,491.0","63,573.0","69,324.0","75,568.0","78,123.0","83,943.0","88,999.0","93,542.0","99,329.0","103,493.0"
"82","64","        Paramedical services (46)","DPMSRC1","235.0","219.0","189.0","145.0","130.0","136.0","142.0","155.0","158.0","153.0","157.0","163.0","168.0","184.0","193.0","230.0","249.0","317.0","368.0","422.0","425.0","443.0","464.0","493.0","534.0","589.0","610.0","670.0","740.0","844.0","1,170.0","1,359.0","1,558.0","1,911.0","2,245.0","2,650.0","3,042.0","3,298.0","2,825.0","3,146.0","3,189.0","3,421.0","3,610.0","4,004.0","4,811.0","5,506.0","6,705.0","8,210.0","9,495.0","10,682.0","12,082.0","13,634.0","16,471.0","17,501.0","21,577.0","25,241.0","29,386.0","33,769.0","38,527.0","45,307.0","52,418.0","64,931.0","74,792.0","86,341.0","95,826.0","104,080.0","113,359.0","120,107.0","127,343.0","133,782.0","136,543.0","143,808.0","157,173.0","169,848.0","182,608.0","198,382.0","215,063.0","224,673.0","242,317.0","261,865.0"
"83","65","      Hospital and nursing home services","DHPNRC1","572.0","597.0","594.0","556.0","505.0","518.0","556.0","575.0","617.0","635.0","658.0","695.0","732.0","840.0","952.0","1,057.0","1,153.0","1,420.0","1,728.0","1,984.0","2,158.0","2,409.0","2,655.0","3,001.0","3,293.0","3,590.0","3,943.0","4,367.0","4,865.0","5,533.0","6,178.0","6,875.0","7,502.0","8,423.0","9,472.0","10,622.0","11,588.0","13,283.0","15,650.0","18,763.0","22,113.0","25,358.0","29,632.0","33,537.0","37,320.0","42,926.0","50,506.0","58,496.0","66,194.0","76,471.0","87,306.0","101,026.0","118,329.0","134,489.0","149,822.0","160,708.0","172,751.0","186,804.0","201,580.0","223,864.0","246,568.0","274,076.0","301,991.0","330,147.0","351,359.0","365,898.0","383,289.0","400,755.0","421,802.0","441,616.0","456,454.0","481,800.0","520,768.0","568,151.0","597,207.0","636,045.0","679,487.0","715,724.0","762,303.0","807,025.0"
"84","66","        Hospitals (51)","DHSPRC1","543.0","567.0","564.0","528.0","480.0","492.0","528.0","546.0","586.0","603.0","625.0","660.0","695.0","798.0","904.0","1,004.0","1,095.0","1,349.0","1,641.0","1,884.0","2,049.0","2,288.0","2,521.0","2,850.0","3,127.0","3,409.0","3,745.0","4,147.0","4,620.0","5,255.0","5,863.0","6,303.0","6,770.0","7,545.0","8,341.0","9,080.0","9,996.0","11,330.0","13,234.0","15,736.0","18,303.0","20,901.0","24,314.0","27,580.0","30,628.0","35,260.0","41,685.0","48,625.0","55,141.0","63,623.0","72,948.0","84,662.0","100,035.0","115,176.0","127,394.0","135,803.0","145,777.0","157,413.0","170,922.0","188,785.0","207,699.0","228,784.0","253,293.0","277,619.0","295,473.0","307,246.0","318,444.0","330,073.0","345,494.0","360,080.0","373,236.0","393,892.0","427,107.0","469,536.0","493,772.0","528,821.0","567,007.0","601,015.0","639,719.0","680,020.0"
"85","67","        Nursing homes (52)","DNRSRC1","29.0","30.0","30.0","28.0","25.0","26.0","28.0","29.0","31.0","32.0","33.0","35.0","37.0","42.0","48.0","53.0","58.0","71.0","87.0","100.0","109.0","121.0","134.0","151.0","166.0","181.0","198.0","220.0","245.0","278.0","315.0","572.0","732.0","878.0","1,131.0","1,542.0","1,592.0","1,953.0","2,416.0","3,027.0","3,810.0","4,457.0","5,318.0","5,957.0","6,692.0","7,666.0","8,821.0","9,871.0","11,053.0","12,848.0","14,358.0","16,364.0","18,294.0","19,313.0","22,428.0","24,905.0","26,974.0","29,391.0","30,658.0","35,079.0","38,869.0","45,292.0","48,698.0","52,528.0","55,886.0","58,652.0","64,845.0","70,682.0","76,308.0","81,536.0","83,218.0","87,908.0","93,661.0","98,615.0","103,435.0","107,224.0","112,480.0","114,709.0","122,584.0","127,005.0"
"86","68","    Transportation services","DTRSRC1","2,399.0","2,098.0","1,760.0","1,421.0","1,343.0","1,453.0","1,520.0","1,691.0","1,772.0","1,701.0","1,841.0","1,930.0","2,191.0","2,562.0","3,249.0","3,511.0","3,823.0","4,662.0","4,902.0","5,236.0","5,326.0","5,403.0","5,993.0","6,291.0","6,753.0","6,761.0","7,148.0","7,594.0","8,019.0","8,128.0","8,696.0","9,180.0","9,562.0","10,133.0","10,621.0","11,350.0","12,133.0","13,067.0","14,275.0","15,872.0","17,977.0","20,043.0","22,359.0","24,544.0","26,078.0","28,472.0","32,045.0","36,155.0","41,395.0","45,200.0","50,705.0","55,366.0","59,790.0","61,729.0","68,899.0","80,016.0","90,145.0","95,009.0","103,098.0","114,150.0","121,848.0","126,372.0","123,674.0","133,622.0","146,099.0","161,896.0","177,946.0","194,955.0","214,308.0","227,160.0","243,284.0","262,252.0","262,724.0","256,730.0","263,091.0","273,199.0","285,900.0","296,998.0","307,432.0","307,752.0"
"87","69","      Motor vehicle services","DMVSRC1","795.0","643.0","528.0","403.0","411.0","464.0","478.0","542.0","568.0","542.0","625.0","678.0","806.0","628.0","587.0","726.0","991.0","1,749.0","2,015.0","2,261.0","2,454.0","2,605.0","3,040.0","3,237.0","3,668.0","3,802.0","4,167.0","4,512.0","4,866.0","5,064.0","5,467.0","5,829.0","6,169.0","6,566.0","7,023.0","7,516.0","8,029.0","8,628.0","9,351.0","10,301.0","11,487.0","12,981.0","14,565.0","15,831.0","16,645.0","17,745.0","20,624.0","23,000.0","26,637.0","29,487.0","33,200.0","35,126.0","38,409.0","39,809.0","45,019.0","52,972.0","62,038.0","65,799.0","71,804.0","79,521.0","84,778.0","87,203.0","84,378.0","93,132.0","102,619.0","115,903.0","129,137.0","142,756.0","157,235.0","165,235.0","177,651.0","189,290.0","194,784.0","191,783.0","194,012.0","199,267.0","209,118.0","216,409.0","224,121.0","221,519.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRC1","721.0","580.0","473.0","358.0","364.0","413.0","424.0","483.0","504.0","480.0","554.0","601.0","717.0","552.0","518.0","646.0","889.0","1,583.0","1,822.0","2,038.0","2,204.0","2,331.0","2,672.0","2,835.0","3,211.0","3,320.0","3,643.0","3,951.0","4,269.0","4,441.0","4,814.0","5,136.0","5,433.0","5,779.0","6,183.0","6,602.0","7,041.0","7,568.0","8,221.0","9,055.0","10,110.0","11,449.0","12,862.0","13,975.0","14,685.0","15,710.0","18,327.0","20,468.0","23,785.0","26,438.0","29,818.0","31,190.0","33,861.0","35,109.0","39,861.0","45,869.0","53,365.0","56,247.0","61,515.0","68,261.0","72,452.0","73,905.0","69,368.0","73,722.0","78,866.0","86,470.0","93,475.0","100,134.0","106,305.0","112,771.0","119,890.0","127,418.0","133,841.0","136,837.0","143,403.0","148,336.0","154,903.0","156,894.0","162,044.0","158,510.0"
"89","71","        Other motor vehicle services (61)","DOVSRC1","74.0","63.0","55.0","45.0","47.0","51.0","54.0","59.0","64.0","62.0","71.0","77.0","89.0","76.0","69.0","80.0","102.0","166.0","193.0","223.0","250.0","274.0","368.0","402.0","457.0","482.0","524.0","561.0","597.0","623.0","653.0","693.0","736.0","787.0","840.0","914.0","988.0","1,060.0","1,130.0","1,246.0","1,377.0","1,532.0","1,703.0","1,856.0","1,960.0","2,035.0","2,297.0","2,532.0","2,852.0","3,049.0","3,382.0","3,936.0","4,548.0","4,700.0","5,158.0","7,103.0","8,673.0","9,552.0","10,289.0","11,260.0","12,326.0","13,298.0","15,010.0","19,410.0","23,753.0","29,433.0","35,662.0","42,622.0","50,930.0","52,464.0","57,761.0","61,872.0","60,943.0","54,946.0","50,609.0","50,931.0","54,215.0","59,515.0","62,077.0","63,009.0"
"90","72","      Public transportation","DPUBRC1","1,604.0","1,455.0","1,232.0","1,018.0","932.0","989.0","1,042.0","1,149.0","1,204.0","1,159.0","1,216.0","1,252.0","1,385.0","1,934.0","2,662.0","2,785.0","2,832.0","2,913.0","2,887.0","2,975.0","2,872.0","2,798.0","2,953.0","3,054.0","3,085.0","2,959.0","2,981.0","3,082.0","3,153.0","3,064.0","3,229.0","3,351.0","3,393.0","3,567.0","3,598.0","3,834.0","4,104.0","4,439.0","4,924.0","5,571.0","6,490.0","7,062.0","7,794.0","8,713.0","9,433.0","10,727.0","11,421.0","13,155.0","14,758.0","15,713.0","17,505.0","20,240.0","21,381.0","21,920.0","23,880.0","27,044.0","28,107.0","29,210.0","31,294.0","34,629.0","37,070.0","39,169.0","39,296.0","40,490.0","43,480.0","45,993.0","48,809.0","52,199.0","57,073.0","61,925.0","65,633.0","72,962.0","67,940.0","64,947.0","69,079.0","73,932.0","76,782.0","80,589.0","83,311.0","86,233.0"
"91","73","        Ground transportation (63)","DGRDRC1","1,599.0","1,452.0","1,229.0","1,014.0","928.0","984.0","1,035.0","1,140.0","1,195.0","1,150.0","1,203.0","1,233.0","1,361.0","1,910.0","2,637.0","2,751.0","2,776.0","2,830.0","2,794.0","2,872.0","2,754.0","2,655.0","2,763.0","2,826.0","2,817.0","2,659.0","2,630.0","2,686.0","2,706.0","2,583.0","2,637.0","2,672.0","2,630.0","2,682.0","2,670.0","2,749.0","2,823.0","2,962.0","3,109.0","3,331.0","3,639.0","3,982.0","4,308.0","4,578.0","4,712.0","5,173.0","5,519.0","6,013.0","6,450.0","6,598.0","7,098.0","7,445.0","7,973.0","8,405.0","8,743.0","9,349.0","9,777.0","9,874.0","9,969.0","11,191.0","11,796.0","12,938.0","14,015.0","14,764.0","15,435.0","16,135.0","16,679.0","17,436.0","18,050.0","19,655.0","20,507.0","21,578.0","22,766.0","23,133.0","23,326.0","25,182.0","26,405.0","28,414.0","28,589.0","30,985.0"
