"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"82","61","        Persons","A1147C1","2,089.0","2,444.0","2,412.0","2,521.0","2,834.0","2,989.0","3,259.0","3,896.0","4,217.0","4,809.0","5,331.0","5,680.0","5,951.0","6,467.0","7,170.0","7,732.0","8,218.0","8,513.0","9,545.0","10,180.0","10,993.0","12,017.0","12,865.0","15,677.0","18,147.0","20,116.0","21,869.0","23,739.0","28,231.0","37,353.0","37,412.0","42,224.0","48,971.0","48,857.0","55,937.0","60,783.0","73,861.0","105,280.0","111,143.0","133,105.0","149,444.0","164,168.0","168,400.0","176,538.0","193,720.0","214,121.0","231,088.0","239,627.0","232,343.0","250,395.0","264,917.0","302,937.0","319,550.0","341,892.0","373,489.0","358,914.0","340,247.0","331,133.0","352,127.0","374,276.0","402,900.0","457,895.0","486,167.0"
"83","62","          From banks credit agencies, and investment companies","B1611C1","987.0","1,055.0","1,071.0","1,086.0","1,185.0","1,244.0","1,340.0","1,764.0","1,947.0","2,285.0","2,551.0","2,571.0","2,547.0","2,782.0","3,075.0","3,249.0","3,360.0","3,219.0","3,807.0","3,993.0","4,373.0","4,910.0","5,226.0","7,169.0","9,016.0","10,086.0","11,136.0","11,757.0","14,432.0","21,592.0","19,893.0","21,514.0","24,967.0","24,313.0","22,899.0","20,990.0","27,725.0","51,733.0","48,440.0","60,209.0","65,999.0","70,100.0","67,993.0","63,689.0","71,444.0","85,598.0","100,140.0","99,227.0","99,585.0","96,269.0","106,106.0","117,809.0","128,839.0","140,919.0","148,242.0","150,271.0","155,662.0","147,800.0","162,584.0","166,009.0","163,318.0","191,435.0","209,976.0"
"84","63","          From life insurance carriers","B1612C1","1,068.0","1,347.0","1,293.0","1,384.0","1,596.0","1,681.0","1,842.0","2,039.0","2,170.0","2,418.0","2,665.0","2,979.0","3,258.0","3,523.0","3,916.0","4,290.0","4,653.0","5,071.0","5,494.0","5,917.0","6,308.0","6,754.0","7,246.0","8,067.0","8,614.0","9,379.0","10,015.0","11,192.0","12,931.0","14,730.0","16,261.0","19,162.0","22,196.0","22,458.0","30,606.0","37,013.0","42,994.0","49,796.0","58,270.0","67,511.0","76,773.0","86,278.0","91,871.0","103,641.0","112,313.0","118,134.0","120,313.0","128,852.0","121,229.0","143,099.0","147,543.0","173,710.0","178,990.0","189,541.0","212,711.0","195,582.0","172,500.0","171,439.0","177,565.0","196,200.0","227,531.0","255,427.0","265,396.0"
"85","64","          From property and casualty insurance companies","W356RC1","34.0","42.0","48.0","51.0","53.0","64.0","77.0","93.0","100.0","106.0","115.0","130.0","146.0","162.0","179.0","193.0","205.0","223.0","244.0","270.0","313.0","353.0","393.0","442.0","517.0","650.0","718.0","791.0","868.0","1,031.0","1,258.0","1,548.0","1,808.0","2,086.0","2,432.0","2,780.0","3,142.0","3,751.0","4,434.0","5,385.0","6,672.0","7,790.0","8,536.0","9,208.0","9,963.0","10,389.0","10,635.0","11,548.0","11,529.0","11,027.0","11,268.0","11,417.0","11,722.0","11,432.0","12,535.0","13,061.0","12,085.0","11,894.0","11,978.0","12,067.0","12,051.0","11,033.0","10,795.0"
"86","65","      Nonprofit institutions","W317RC1","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","5.0","5.0","5.0","6.0","6.0","7.0","7.0","7.0","7.0","8.0","9.0","10.0","11.0","13.0","17.0","19.0","20.0","21.0","27.0","34.0","124.0","129.0","137.0","155.0","190.0","233.0","295.0","377.0","586.0","831.0","926.0","892.0","959.0","886.0","919.0","957.0","1,099.0","1,248.0","1,179.0","1,161.0","1,162.0","1,193.0","1,174.0","1,195.0","1,217.0","1,334.0","1,379.0","1,287.0","1,286.0","1,249.0","1,139.0","1,051.0"
"87","66","    Government","A2079C1","380.0","237.0","293.0","290.0","275.0","286.0","323.0","358.0","394.0","421.0","456.0","503.0","527.0","557.0","640.0","653.0","675.0","764.0","870.0","852.0","843.0","982.0","1,092.0","1,414.0","1,860.0","2,301.0","2,424.0","2,314.0","2,451.0","3,251.0","3,069.0","3,276.0","2,590.0","1,848.0","1,320.0","892.0","2,353.0","3,366.0","2,820.0","4,831.0","5,388.0","4,171.0","3,588.0","3,302.0","3,829.0","5,060.0","4,817.0","4,224.0","4,109.0","4,059.0","4,497.0","5,000.0","5,201.0","6,323.0","6,295.0","5,610.0","6,179.0","5,517.0","5,729.0","5,391.0","5,430.0","6,929.0","8,385.0"
"88","67","      Federal","B1148C1","285.0","130.0","174.0","164.0","141.0","143.0","159.0","172.0","196.0","201.0","212.0","245.0","276.0","258.0","303.0","317.0","347.0","423.0","478.0","442.0","387.0","464.0","510.0","624.0","838.0","1,127.0","1,250.0","1,253.0","1,204.0","1,371.0","1,670.0","1,656.0","1,213.0","800.0","508.0","406.0","888.0","800.0","511.0","1,195.0","1,787.0","937.0","734.0","788.0","920.0","1,651.0","1,131.0","845.0","657.0","596.0","580.0","643.0","468.0","1,091.0","1,081.0","273.0","599.0","357.0","162.0","161.0","147.0","526.0","563.0"
"89","68","      State and local","B1149C1","95.0","107.0","119.0","126.0","134.0","143.0","164.0","186.0","198.0","220.0","244.0","258.0","251.0","299.0","337.0","336.0","328.0","341.0","392.0","410.0","456.0","518.0","582.0","790.0","1,022.0","1,174.0","1,174.0","1,061.0","1,247.0","1,880.0","1,399.0","1,620.0","1,377.0","1,048.0","812.0","486.0","1,465.0","2,566.0","2,309.0","3,636.0","3,601.0","3,234.0","2,854.0","2,514.0","2,909.0","3,409.0","3,686.0","3,379.0","3,452.0","3,463.0","3,917.0","4,357.0","4,733.0","5,232.0","5,214.0","5,337.0","5,580.0","5,160.0","5,567.0","5,230.0","5,283.0","6,403.0","7,822.0"
"90","69","    Rest of the world","W357RC1","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","4,782.0","4,431.0","3,881.0","3,324.0","4,381.0","5,771.0","7,056.0","7,082.0","7,227.0","6,291.0","6,490.0","6,916.0","6,659.0","6,546.0","6,519.0","6,131.0","6,278.0","5,705.0","6,357.0","5,379.0","5,948.0","7,392.0","9,941.0"
"91",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","70","  Imputed interest paid","W358RC1","-590.0","-814.0","-1,033.0","-1,137.0","-1,304.0","-1,588.0","-1,737.0","-1,915.0","-1,950.0","-2,134.0","-2,467.0","-2,669.0","-2,768.0","-3,054.0","-3,372.0","-3,438.0","-3,706.0","-3,908.0","-4,182.0","-4,789.0","-5,634.0","-5,917.0","-6,978.0","-7,769.0","-7,146.0","-5,549.0","-6,368.0","-11,172.0","-13,597.0","-3,653.0","-11,202.0","-14,621.0","-22,449.0","-34,647.0","-43,613.0","-53,585.0","-37,416.0","-15,598.0","-31,648.0","-26,050.0","-38,576.0","-49,033.0","-61,149.0","-70,455.0","-60,306.0","-46,952.0","-46,936.0","-61,291.0","-72,003.0","-82,993.0","-78,241.0","-80,724.0","-84,329.0","-86,059.0","-105,271.0","-99,179.0","-103,718.0","-129,089.0","-135,785.0","-164,134.0","-200,302.0","-184,112.0","-154,276.0"
"93","71","    Domestic business \1\","W296RC1","-386.0","-540.0","-683.0","-741.0","-839.0","-1,038.0","-1,124.0","-1,214.0","-1,206.0","-1,296.0","-1,515.0","-1,635.0","-1,687.0","-1,863.0","-2,049.0","-2,052.0","-2,187.0","-2,334.0","-2,466.0","-2,827.0","-3,392.0","-3,582.0","-4,255.0","-4,557.0","-4,353.0","-3,518.0","-3,938.0","-6,962.0","-8,555.0","-2,250.0","-6,593.0","-8,427.0","-12,672.0","-19,278.0","-24,453.0","-30,642.0","-22,683.0","-9,581.0","-19,743.0","-14,523.0","-17,836.0","-27,718.0","-35,415.0","-41,788.0","-35,676.0","-27,120.0","-26,141.0","-33,495.0","-39,663.0","-44,676.0","-41,758.0","-43,846.0","-46,816.0","-48,531.0","-59,717.0","-57,013.0","-57,001.0","-67,901.0","-69,771.0","-84,263.0","-104,654.0","-96,570.0","-83,844.0"
"94","72","      Corporate business","W297RC1","-318.0","-445.0","-563.0","-611.0","-692.0","-856.0","-927.0","-1,008.0","-1,003.0","-1,076.0","-1,263.0","-1,369.0","-1,405.0","-1,545.0","-1,700.0","-1,697.0","-1,806.0","-1,929.0","-2,039.0","-2,356.0","-2,835.0","-2,988.0","-3,553.0","-3,821.0","-3,671.0","-2,967.0","-3,319.0","-5,752.0","-6,853.0","-1,766.0","-5,049.0","-6,411.0","-9,572.0","-14,371.0","-18,249.0","-23,188.0","-17,690.0","-7,660.0","-15,891.0","-11,742.0","-14,571.0","-23,198.0","-29,719.0","-34,766.0","-29,565.0","-22,167.0","-21,377.0","-27,538.0","-32,643.0","-36,737.0","-34,114.0","-35,365.0","-37,767.0","-38,919.0","-47,316.0","-44,600.0","-43,596.0","-51,646.0","-52,924.0","-62,694.0","-75,858.0","-69,044.0","-60,018.0"
"95","73","        Financial","W298RC1","-60.0","-85.0","-108.0","-118.0","-134.0","-167.0","-181.0","-214.0","-229.0","-263.0","-286.0","-275.0","-296.0","-335.0","-357.0","-325.0","-352.0","-399.0","-431.0","-471.0","-535.0","-511.0","-591.0","-611.0","-567.0","-497.0","-614.0","-1,088.0","-1,230.0","-266.0","-688.0","-915.0","-1,328.0","-1,950.0","-2,217.0","-2,867.0","-2,005.0","-856.0","-1,802.0","-1,375.0","-1,896.0","-2,297.0","-2,491.0","-3,049.0","-2,822.0","-2,428.0","-3,100.0","-3,955.0","-4,154.0","-4,339.0","-4,136.0","-4,735.0","-5,827.0","-5,700.0","-6,620.0","-5,549.0","-5,823.0","-7,481.0","-8,469.0","-10,324.0","-17,621.0","-15,475.0","-11,750.0"
"96","74","        Nonfinancial","W300RC1","-258.0","-360.0","-455.0","-493.0","-558.0","-689.0","-746.0","-794.0","-774.0","-813.0","-977.0","-1,094.0","-1,109.0","-1,210.0","-1,343.0","-1,372.0","-1,454.0","-1,530.0","-1,608.0","-1,885.0","-2,300.0","-2,477.0","-2,962.0","-3,210.0","-3,104.0","-2,470.0","-2,705.0","-4,664.0","-5,623.0","-1,500.0","-4,361.0","-5,496.0","-8,244.0","-12,421.0","-16,032.0","-20,321.0","-15,685.0","-6,804.0","-14,089.0","-10,367.0","-12,675.0","-20,901.0","-27,228.0","-31,717.0","-26,743.0","-19,739.0","-18,277.0","-23,583.0","-28,489.0","-32,398.0","-29,978.0","-30,630.0","-31,940.0","-33,219.0","-40,696.0","-39,051.0","-37,773.0","-44,165.0","-44,455.0","-52,370.0","-58,237.0","-53,569.0","-48,268.0"
"97","75","      Sole proprietorships and partnerships","W301RC1","-47.0","-66.0","-83.0","-90.0","-102.0","-126.0","-136.0","-141.0","-135.0","-146.0","-175.0","-187.0","-201.0","-230.0","-257.0","-264.0","-284.0","-300.0","-315.0","-346.0","-412.0","-446.0","-525.0","-555.0","-519.0","-417.0","-461.0","-933.0","-1,363.0","-391.0","-1,255.0","-1,638.0","-2,527.0","-4,050.0","-5,157.0","-6,259.0","-4,215.0","-1,617.0","-3,232.0","-2,314.0","-2,654.0","-3,588.0","-4,403.0","-5,333.0","-4,550.0","-3,623.0","-3,530.0","-4,448.0","-5,299.0","-6,045.0","-5,957.0","-6,818.0","-7,409.0","-7,996.0","-10,383.0","-10,571.0","-11,401.0","-13,537.0","-13,828.0","-17,860.0","-24,323.0","-23,305.0","-20,310.0"
"98","76","        Farm","W302RC1","-32.0","-45.0","-57.0","-62.0","-70.0","-87.0","-94.0","-92.0","-86.0","-90.0","-100.0","-101.0","-114.0","-133.0","-147.0","-149.0","-160.0","-172.0","-178.0","-189.0","-219.0","-234.0","-271.0","-269.0","-251.0","-208.0","-233.0","-402.0","-484.0","-133.0","-452.0","-603.0","-853.0","-1,247.0","-1,527.0","-1,803.0","-1,277.0","-543.0","-1,055.0","-669.0","-666.0","-778.0","-884.0","-1,016.0","-858.0","-725.0","-720.0","-910.0","-1,096.0","-1,193.0","-1,091.0","-1,101.0","-1,135.0","-1,076.0","-1,218.0","-1,146.0","-1,131.0","-1,263.0","-1,261.0","-1,428.0","-1,702.0","-1,505.0","-1,168.0"
"99","77","        Nonfarm","W303RC1","-15.0","-21.0","-26.0","-28.0","-32.0","-39.0","-42.0","-49.0","-49.0","-56.0","-75.0","-86.0","-87.0","-97.0","-110.0","-115.0","-124.0","-128.0","-137.0","-157.0","-193.0","-212.0","-254.0","-286.0","-268.0","-209.0","-228.0","-531.0","-879.0","-258.0","-803.0","-1,035.0","-1,674.0","-2,803.0","-3,630.0","-4,456.0","-2,938.0","-1,074.0","-2,177.0","-1,645.0","-1,988.0","-2,810.0","-3,519.0","-4,317.0","-3,692.0","-2,898.0","-2,810.0","-3,538.0","-4,203.0","-4,852.0","-4,866.0","-5,717.0","-6,274.0","-6,920.0","-9,165.0","-9,425.0","-10,270.0","-12,274.0","-12,567.0","-16,432.0","-22,621.0","-21,800.0","-19,142.0"
"100","78","      Other private business","W304RC1","-21.0","-29.0","-37.0","-40.0","-45.0","-56.0","-61.0","-65.0","-68.0","-74.0","-77.0","-79.0","-81.0","-88.0","-92.0","-91.0","-97.0","-105.0","-112.0","-125.0","-145.0","-148.0","-177.0","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-467.0","-611.0","-932.0","-1,293.0","-1,689.0","-1,561.0","-1,330.0","-1,234.0","-1,509.0","-1,721.0","-1,894.0","-1,687.0","-1,663.0","-1,640.0","-1,616.0","-2,018.0","-1,842.0","-2,004.0","-2,718.0","-3,019.0","-3,709.0","-4,473.0","-4,221.0","-3,516.0"
"101","79","        Rental income of persons and proprietors' income","W359RC1","-21.0","-29.0","-37.0","-40.0","-45.0","-56.0","-61.0","-65.0","-68.0","-74.0","-77.0","-79.0","-81.0","-88.0","-92.0","-91.0","-97.0","-105.0","-112.0","-125.0","-145.0","-148.0","-177.0","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-467.0","-611.0","-932.0","-1,293.0","-1,689.0","-1,561.0","-1,330.0","-1,234.0","-1,509.0","-1,721.0","-1,894.0","-1,687.0","-1,663.0","-1,640.0","-1,616.0","-2,018.0","-1,842.0","-2,004.0","-2,718.0","-3,019.0","-3,709.0","-4,473.0","-4,221.0","-3,516.0"
"102","80","    Households and nonprofit institutions","W305RC1","-141.0","-222.0","-298.0","-346.0","-416.0","-505.0","-553.0","-655.0","-692.0","-788.0","-906.0","-981.0","-986.0","-1,115.0","-1,242.0","-1,287.0","-1,373.0","-1,462.0","-1,578.0","-1,782.0","-2,048.0","-2,108.0","-2,508.0","-2,591.0","-2,354.0","-1,924.0","-2,250.0","-3,911.0","-4,608.0","-1,272.0","-4,114.0","-5,528.0","-8,617.0","-13,244.0","-16,451.0","-19,325.0","-13,305.0","-5,479.0","-10,992.0","-8,310.0","-10,423.0","-14,928.0","-19,092.0","-23,536.0","-20,470.0","-16,539.0","-16,299.0","-21,791.0","-27,260.0","-32,981.0","-31,866.0","-32,556.0","-32,449.0","-31,966.0","-39,496.0","-37,572.0","-40,097.0","-52,500.0","-57,459.0","-69,878.0","-85,110.0","-78,570.0","-62,401.0"
"103","81","      Households","W306RC1","-137.0","-216.0","-290.0","-337.0","-406.0","-493.0","-540.0","-642.0","-678.0","-772.0","-888.0","-962.0","-965.0","-1,091.0","-1,215.0","-1,259.0","-1,341.0","-1,427.0","-1,539.0","-1,737.0","-1,994.0","-2,051.0","-2,438.0","-2,518.0","-2,286.0","-1,868.0","-2,183.0","-3,792.0","-4,462.0","-1,232.0","-3,985.0","-5,362.0","-8,363.0","-12,863.0","-15,960.0","-18,717.0","-12,855.0","-5,278.0","-10,549.0","-7,961.0","-9,946.0","-14,159.0","-18,096.0","-22,275.0","-19,365.0","-15,627.0","-15,424.0","-20,718.0","-26,073.0","-31,678.0","-30,638.0","-31,293.0","-31,156.0","-30,582.0","-37,719.0","-35,799.0","-38,140.0","-50,060.0","-54,832.0","-66,613.0","-80,956.0","-74,750.0","-59,258.0"
"104","82","        Owner-occupied housing","W307RC1","-77.0","-108.0","-137.0","-149.0","-169.0","-208.0","-226.0","-253.0","-273.0","-307.0","-348.0","-365.0","-378.0","-422.0","-443.0","-432.0","-455.0","-485.0","-508.0","-558.0","-640.0","-661.0","-775.0","-795.0","-716.0","-578.0","-674.0","-1,170.0","-1,414.0","-388.0","-1,246.0","-1,716.0","-2,784.0","-4,530.0","-5,878.0","-7,141.0","-4,950.0","-2,000.0","-3,885.0","-2,753.0","-3,401.0","-5,088.0","-6,989.0","-9,133.0","-8,712.0","-7,460.0","-7,761.0","-10,610.0","-13,170.0","-15,918.0","-15,276.0","-16,121.0","-16,726.0","-16,967.0","-21,912.0","-21,038.0","-23,302.0","-32,051.0","-35,147.0","-44,637.0","-55,338.0","-51,384.0","-39,883.0"
"105","83","        Persons","W308RC1","-60.0","-108.0","-153.0","-188.0","-237.0","-285.0","-314.0","-389.0","-405.0","-465.0","-540.0","-597.0","-587.0","-669.0","-772.0","-827.0","-886.0","-942.0","-1,031.0","-1,179.0","-1,354.0","-1,390.0","-1,663.0","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-5,207.0","-6,536.0","-9,071.0","-11,107.0","-13,142.0","-10,653.0","-8,167.0","-7,663.0","-10,108.0","-12,903.0","-15,760.0","-15,362.0","-15,172.0","-14,430.0","-13,615.0","-15,807.0","-14,761.0","-14,838.0","-18,009.0","-19,685.0","-21,976.0","-25,618.0","-23,366.0","-19,375.0"
"106","84","      Nonprofit institutions","W309RC1","-4.0","-6.0","-8.0","-9.0","-10.0","-12.0","-13.0","-13.0","-14.0","-16.0","-18.0","-19.0","-21.0","-24.0","-27.0","-28.0","-32.0","-35.0","-39.0","-45.0","-54.0","-57.0","-70.0","-73.0","-68.0","-56.0","-67.0","-119.0","-146.0","-40.0","-129.0","-166.0","-254.0","-381.0","-491.0","-608.0","-450.0","-201.0","-443.0","-349.0","-477.0","-769.0","-996.0","-1,261.0","-1,105.0","-912.0","-875.0","-1,073.0","-1,187.0","-1,303.0","-1,228.0","-1,263.0","-1,293.0","-1,384.0","-1,777.0","-1,773.0","-1,957.0","-2,440.0","-2,627.0","-3,265.0","-4,154.0","-3,820.0","-3,143.0"
"107","85","    Government","W310RC1","-63.0","-52.0","-52.0","-50.0","-49.0","-45.0","-36.0","-25.0","-29.0","-16.0","-4.0","0.0","-28.0","0.0","0.0","-9.0","-33.0","-1.0","0.0","-1.0","-11.0","-53.0","-36.0","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2,720.0","-9,778.0","-5,734.0","-5,969.0","-4,398.0","-3,630.0","-2,864.0","-3,997.0","-5,355.0","-4,343.0","-4,430.0","-3,539.0","-3,095.0","-3,671.0","-4,123.0","-4,298.0","-2,913.0","-4,935.0","-6,792.0","-6,732.0","-7,754.0","-7,519.0","-6,516.0","-5,740.0"
"108","86","      Federal","W311RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","87","      State and local","W312RC1","-63.0","-52.0","-52.0","-50.0","-49.0","-45.0","-36.0","-25.0","-29.0","-16.0","-4.0","0.0","-28.0","0.0","0.0","-9.0","-33.0","-1.0","0.0","-1.0","-11.0","-53.0","-36.0","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2,720.0","-9,774.0","-5,734.0","-5,969.0","-4,398.0","-3,630.0","-2,864.0","-3,997.0","-5,355.0","-4,343.0","-4,430.0","-3,539.0","-3,095.0","-3,671.0","-4,123.0","-4,298.0","-2,913.0","-4,935.0","-6,792.0","-6,732.0","-7,754.0","-7,519.0","-6,516.0","-5,740.0"
"110","88","    Rest of the world","W313RC1","0.0","0.0","0.0","0.0","0.0","0.0","-24.0","-21.0","-23.0","-34.0","-42.0","-53.0","-67.0","-76.0","-81.0","-90.0","-113.0","-111.0","-138.0","-179.0","-183.0","-174.0","-179.0","-159.0","-136.0","-107.0","-147.0","-299.0","-434.0","-131.0","-495.0","-666.0","-1,160.0","-2,125.0","-2,709.0","-3,618.0","-1,428.0","-538.0","-913.0","-497.0","-538.0","-653.0","-673.0","-733.0","-530.0","-429.0","-499.0","-650.0","-737.0","-906.0","-1,078.0","-1,227.0","-1,393.0","-1,439.0","-1,760.0","-1,681.0","-1,685.0","-1,896.0","-1,823.0","-2,239.0","-3,019.0","-2,456.0","-2,291.0"
"111","89","  Imputed interest received","W360RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,113.0","-154,278.0"
"112","90","    Domestic corporate business, financial","W361RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,113.0","-154,278.0"
"113","91","      Banks, credit agencies, and investment companies","W362RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,113.0","-154,278.0"
"114",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","92","  Net interest (93+97+98+99)","B060RC1","1,794.0","2,329.0","2,442.0","2,687.0","2,968.0","3,436.0","3,821.0","4,465.0","5,306.0","5,927.0","6,540.0","7,677.0","9,165.0","9,303.0","10,244.0","12,036.0","13,728.0","14,682.0","16,891.0","19,081.0","21,740.0","24,714.0","26,168.0","31,759.0","38,067.0","42,621.0","46,552.0","53,668.0","68,963.0","79,674.0","83,485.0","98,899.0","112,603.0","135,434.0","176,368.0","225,546.0","263,800.0","277,581.0","318,283.0","332,659.0","358,417.0","358,977.0","378,873.0","427,873.0","437,457.0","410,932.0","380,406.0","357,367.0","354,970.0","351,313.0","362,470.0","398,306.0","470,782.0","472,741.0","527,858.0","531,421.0","494,940.0","490,077.0","446,317.0","526,244.0","634,281.0","721,404.0","794,152.0"
"116","93","    Domestic business (2+44+71-26-50-90)","A1626C1","823.0","1,146.0","1,014.0","1,109.0","1,190.0","1,328.0","1,451.0","1,795.0","2,155.0","2,393.0","2,502.0","2,984.0","3,670.0","3,205.0","3,448.0","4,331.0","5,044.0","5,254.0","6,450.0","7,618.0","9,451.0","11,581.0","12,139.0","17,178.0","22,170.0","23,952.0","25,702.0","30,966.0","42,273.0","47,814.0","45,639.0","53,527.0","61,593.0","75,504.0","103,063.0","135,121.0","155,617.0","156,735.0","185,070.0","194,273.0","213,312.0","213,336.0","225,729.0","267,242.0","261,006.0","231,392.0","195,821.0","181,309.0","187,261.0","175,205.0","182,847.0","216,627.0","278,343.0","269,280.0","312,006.0","303,238.0","241,723.0","219,036.0","168,665.0","225,999.0","309,759.0","393,135.0","452,438.0"
"117","94","      Corporate (3+44+72-27-51-90)","W499RC1","-27.0","190.0","-127.0","-208.0","-325.0","-442.0","-487.0","-289.0","-134.0","-145.0","-287.0","-168.0","179.0","-512.0","-529.0","-9.0","238.0","-113.0","269.0","677.0","1,658.0","3,219.0","2,991.0","6,799.0","10,207.0","10,206.0","9,965.0","11,478.0","18,902.0","21,458.0","16,746.0","21,151.0","25,095.0","31,454.0","50,475.0","70,960.0","82,705.0","78,867.0","90,047.0","88,050.0","97,653.0","99,975.0","101,359.0","123,752.0","119,013.0","95,350.0","73,274.0","66,234.0","67,773.0","57,677.0","60,653.0","85,579.0","133,639.0","130,352.0","155,227.0","141,247.0","104,739.0","85,356.0","33,288.0","44,811.0","102,473.0","157,050.0","313,069.0"
