"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"138","115","  Income payments to the rest of the world","A655RC1","374.0","332.0","252.0","164.0","138.0","159.0","181.0","308.0","359.0","261.0","310.0","330.0","315.0","297.0","368.0","434.0","491.0","440.0","487.0","575.0","664.0","746.0","864.0","872.0","944.0","944.0","1,058.0","1,137.0","1,213.0","1,241.0","1,508.0","1,775.0","1,788.0","1,847.0","2,053.0","2,319.0","2,602.0","3,001.0","3,289.0","4,017.0","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","85,895.0","93,385.0","105,159.0","128,260.0","151,246.0","154,087.0","138,231.0","122,657.0","124,032.0","160,020.0","199,611.0","214,161.0","256,052.0","268,909.0","291,665.0","342,756.0","271,116.0","264,396.0","284,627.0","357,359.0","475,889.0","648,636.0","746,047.0","667,304.0"
"139","116","    Imputations(150+165)","W532RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","4,782.0","4,431.0","3,881.0","3,324.0","4,381.0","5,771.0","7,056.0","7,082.0","7,227.0","6,291.0","6,490.0","6,916.0","6,659.0","6,546.0","6,519.0","6,131.0","6,278.0","5,705.0","6,357.0","5,379.0","5,948.0","7,392.0","9,941.0"
"140","117","    Excluding imputations (115-116)","W533RC1","330.0","295.0","220.0","135.0","115.0","135.0","155.0","270.0","295.0","200.0","230.0","221.0","208.0","189.0","227.0","267.0","348.0","306.0","374.0","460.0","531.0","599.0","692.0","683.0","759.0","772.0","881.0","955.0","1,015.0","1,043.0","1,300.0","1,576.0","1,590.0","1,641.0","1,861.0","2,101.0","2,379.0","2,768.0","3,044.0","3,742.0","5,280.0","5,954.0","5,907.0","7,149.0","10,282.0","13,347.0","13,434.0","14,315.0","15,691.0","23,514.0","35,430.0","44,131.0","58,611.0","62,992.0","61,287.0","82,420.0","81,380.0","88,603.0","100,728.0","124,379.0","147,922.0","149,706.0","132,460.0","115,601.0","116,950.0","152,793.0","193,320.0","207,671.0","249,136.0","262,250.0","285,119.0","336,237.0","264,985.0","258,118.0","278,922.0","351,002.0","470,510.0","642,688.0","738,655.0","657,363.0"
"141",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","118","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1","20,085.0","14,617.0","9,115.0","3,584.0","3,818.0","6,781.0","9,423.0","12,678.0","16,157.0","12,433.0","14,861.0","19,556.0","30,194.0","38,928.0","43,089.0","42,477.0","33,630.0","39,552.0","48,842.0","57,533.0","47,437.0","62,013.0","78,656.0","76,918.0","79,100.0","76,494.0","90,376.0","97,608.0","99,541.0","91,760.0","106,562.0","110,330.0","113,703.0","125,220.0","132,344.0","144,150.0","159,953.0","174,901.0","175,059.0","186,350.0","201,317.0","199,680.0","220,238.0","246,208.0","300,196.0","311,645.0","313,159.0","365,449.0","417,930.0","502,393.0","580,183.0","588,016.0","682,635.0","626,240.0","652,090.0","784,891.0","780,669.0","777,060.0","815,125.0","891,984.0","980,252.0","1,001,799.0","1,031,049.0","1,042,287.0","1,094,214.0","1,203,477.0","1,271,558.0","1,370,273.0","1,511,691.0","1,569,094.0","1,636,962.0","1,666,170.0","1,592,317.0","1,538,852.0","1,569,361.0","1,716,322.0","1,823,705.0","1,953,828.0","2,025,376.0","1,925,150.0"
"143","119","  Imputations (176+182)","W558RC1","5,432.0","5,034.0","4,369.0","2,800.0","2,399.0","3,346.0","3,703.0","5,348.0","5,246.0","5,708.0","6,515.0","6,769.0","13,750.0","30,195.0","40,205.0","37,789.0","25,750.0","10,628.0","15,444.0","21,295.0","23,349.0","29,042.0","35,430.0","40,170.0","42,578.0","42,964.0","44,965.0","45,814.0","46,006.0","47,553.0","55,530.0","53,163.0","55,481.0","58,851.0","61,330.0","63,940.0","66,054.0","69,184.0","72,875.0","77,377.0","79,337.0","78,488.0","87,523.0","99,506.0","110,177.0","114,122.0","122,813.0","145,014.0","171,470.0","197,257.0","211,782.0","209,684.0","216,146.0","214,943.0","266,191.0","306,871.0","331,455.0","373,287.0","402,672.0","416,615.0","429,870.0","436,822.0","432,966.0","468,655.0","488,257.0","524,309.0","527,809.0","572,756.0","604,576.0","660,144.0","716,307.0","757,873.0","803,933.0","860,830.0","937,153.0","1,056,099.0","1,165,880.0","1,192,356.0","1,106,830.0","1,004,834.0"
"144","120","  Excluding imputations (118-119)","W559RC1","14,653.0","9,583.0","4,746.0","784.0","1,419.0","3,435.0","5,720.0","7,330.0","10,911.0","6,725.0","8,346.0","12,787.0","16,444.0","8,733.0","2,884.0","4,688.0","7,880.0","28,924.0","33,398.0","36,238.0","24,088.0","32,971.0","43,226.0","36,748.0","36,522.0","33,530.0","45,411.0","51,794.0","53,535.0","44,207.0","51,032.0","57,167.0","58,222.0","66,369.0","71,014.0","80,210.0","93,899.0","105,717.0","102,184.0","108,973.0","121,980.0","121,192.0","132,715.0","146,702.0","190,019.0","197,523.0","190,346.0","220,435.0","246,460.0","305,136.0","368,401.0","378,332.0","466,489.0","411,297.0","385,899.0","478,020.0","449,214.0","403,773.0","412,453.0","475,369.0","550,382.0","564,977.0","598,083.0","573,632.0","605,957.0","679,168.0","743,749.0","797,517.0","907,115.0","908,950.0","920,655.0","908,297.0","788,384.0","678,022.0","632,208.0","660,223.0","657,825.0","761,472.0","918,546.0","920,316.0"
"145","121","Net saving","W201RC1","9,653.0","5,580.0","-450.0","-4,403.0","-4,131.0","-1,392.0","1,821.0","3,392.0","7,211.0","2,515.0","4,301.0","8,788.0","18,805.0","26,122.0","28,387.0","20,354.0","8,656.0","15,285.0","19,925.0","29,560.0","16,436.0","30,697.0","41,288.0","37,885.0","36,498.0","32,784.0","45,209.0","52,271.0","48,772.0","37,548.0","50,669.0","54,698.0","56,110.0","64,344.0","69,836.0","77,011.0","87,735.0","92,274.0","87,618.0","91,618.0","99,254.0","84,490.0","91,451.0","110,111.0","151,395.0","138,145.0","106,474.0","133,809.0","164,941.0","214,924.0","234,308.0","198,639.0","252,711.0","187,948.0","151,291.0","279,006.0","232,924.0","170,842.0","211,160.0","290,504.0","272,695.0","226,399.0","226,953.0","187,944.0","180,404.0","275,501.0","349,576.0","431,836.0","561,860.0","633,863.0","613,640.0","615,825.0","439,449.0","255,945.0","198,698.0","291,406.0","361,991.0","513,724.0","280,187.0","-22,972.0"
"146","122","  Imputations (176+182-140-144-181)","W534RC1","3,560.0","3,182.0","2,644.0","1,330.0","865.0","1,602.0","1,932.0","3,418.0","3,140.0","3,512.0","4,252.0","4,368.0","10,756.0","25,611.0","32,810.0","27,647.0","14,323.0","-1,702.0","2,809.0","9,314.0","12,112.0","18,317.0","23,553.0","27,105.0","28,406.0","27,881.0","28,946.0","28,369.0","27,456.0","28,525.0","35,634.0","32,504.0","34,099.0","36,370.0","37,610.0","39,231.0","40,051.0","41,536.0","43,244.0","45,383.0","44,690.0","41,236.0","47,613.0","57,165.0","64,104.0","61,468.0","64,006.0","81,630.0","102,048.0","119,927.0","125,106.0","111,047.0","105,366.0","94,436.0","139,525.0","172,255.0","188,603.0","220,259.0","238,441.0","240,842.0","241,635.0","235,473.0","220,218.0","247,184.0","254,719.0","279,167.0","270,183.0","306,328.0","327,544.0","371,211.0","409,935.0","431,200.0","459,179.0","500,907.0","556,957.0","643,828.0","715,687.0","703,448.0","587,415.0","465,416.0"
"147","123","  Excluding imputations (121-122)","W535RC1","6,093.0","2,398.0","-3,094.0","-5,733.0","-4,996.0","-2,994.0","-111.0","-26.0","4,071.0","-997.0","49.0","4,420.0","8,049.0","511.0","-4,423.0","-7,293.0","-5,667.0","16,987.0","17,116.0","20,246.0","4,324.0","12,380.0","17,735.0","10,780.0","8,092.0","4,903.0","16,263.0","23,902.0","21,316.0","9,023.0","15,035.0","22,194.0","22,011.0","27,974.0","32,226.0","37,780.0","47,684.0","50,738.0","44,374.0","46,235.0","54,564.0","43,254.0","43,838.0","52,946.0","87,291.0","76,677.0","42,468.0","52,179.0","62,893.0","94,997.0","109,202.0","87,592.0","147,345.0","93,512.0","11,766.0","106,751.0","44,321.0","-49,417.0","-27,281.0","49,662.0","31,060.0","-9,074.0","6,735.0","-59,240.0","-74,315.0","-3,666.0","79,393.0","125,508.0","234,316.0","262,652.0","203,705.0","184,625.0","-19,730.0","-244,962.0","-358,259.0","-352,422.0","-353,696.0","-189,724.0","-307,228.0","-488,388.0"
"148","124","  Personal saving","A071RC1","3,611.0","2,948.0","2,391.0","-528.0","-776.0","495.0","2,509.0","4,196.0","4,273.0","1,271.0","3,163.0","4,348.0","11,431.0","28,554.0","34,575.0","38,618.0","31,038.0","15,530.0","7,267.0","13,224.0","9,353.0","14,924.0","19,344.0","20,349.0","21,268.0","19,812.0","19,541.0","25,649.0","26,855.0","28,185.0","26,099.0","26,329.0","31,880.0","33,462.0","33,117.0","40,545.0","42,703.0","44,268.0","54,176.0","52,477.0","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,755.0","303,731.0","127,692.0","234,952.0","178,873.0","286,429.0"
"149","125","    Imputations (176-140-144)","A2121C1","1,556.0","829.0","433.0","-126.0","-290.0","-159.0","88.0","330.0","456.0","479.0","966.0","1,281.0","1,716.0","303.0","-319.0","-424.0","-34.0","5,245.0","8,404.0","11,443.0","10,610.0","15,921.0","13,969.0","13,695.0","14,159.0","15,776.0","18,935.0","17,364.0","15,737.0","14,922.0","19,759.0","18,147.0","17,165.0","18,325.0","20,114.0","21,279.0","21,854.0","20,086.0","19,865.0","22,781.0","23,923.0","21,799.0","31,313.0","40,847.0","45,076.0","36,801.0","35,766.0","52,338.0","74,166.0","85,655.0","83,491.0","63,803.0","58,597.0","48,358.0","86,757.0","107,616.0","109,540.0","132,675.0","146,151.0","152,971.0","149,090.0","132,641.0","120,012.0","148,744.0","165,801.0","194,078.0","178,808.0","206,626.0","223,321.0","260,242.0","281,081.0","293,693.0","309,641.0","334,730.0","383,926.0","464,878.0","532,362.0","503,072.0","368,212.0","228,615.0"
"150","126","    Excluding imputations (124-125)","A2122C1","2,055.0","2,119.0","1,958.0","-402.0","-486.0","654.0","2,421.0","3,866.0","3,817.0","792.0","2,197.0","3,067.0","9,715.0","28,251.0","34,894.0","39,042.0","31,072.0","10,285.0","-1,137.0","1,781.0","-1,257.0","-997.0","5,375.0","6,654.0","7,109.0","4,036.0","606.0","8,285.0","11,118.0","13,263.0","6,340.0","8,182.0","14,715.0","15,137.0","13,003.0","19,266.0","20,849.0","24,182.0","34,311.0","29,696.0","28,541.0","47,629.0","49,109.0","36,615.0","57,855.0","77,380.0","90,177.0","70,457.0","51,136.0","56,720.0","73,960.0","132,506.0","178,143.0","215,555.0","140,169.0","188,648.0","144,059.0","113,778.0","77,287.0","103,646.0","115,891.0","144,051.0","193,182.0","199,323.0","119,585.0","76,605.0","107,449.0","74,515.0","57,103.0","81,236.0","-73,301.0","-80,597.0","-104,725.0","-52,530.0","-94,171.0","-161,147.0","-404,670.0","-268,120.0","-189,339.0","57,814.0"
"151","127","  Net government saving","A922RC1","2,556.0","1,584.0","-1,111.0","-676.0","-524.0","-958.0","-751.0","-916.0","2,246.0","637.0","-55.0","1,642.0","4,138.0","-7,197.0","-12,621.0","-25,288.0","-27,299.0","-3,477.0","6,745.0","4,883.0","-4,140.0","6,877.0","12,242.0","6,710.0","5,286.0","1,544.0","9,188.0","11,910.0","7,443.0","-2,565.0","7,041.0","11,421.0","6,834.0","7,659.0","10,991.0","7,291.0","9,773.0","10,011.0","-2,324.0","5,053.0","16,535.0","-8,380.0","-22,226.0","-9,271.0","3,883.0","-5,158.0","-68,173.0","-46,289.0","-32,994.0","-10,227.0","-961.0","-47,833.0","-49,202.0","-137,468.0","-171,354.0","-147,527.0","-156,262.0","-173,882.0","-137,367.0","-121,182.0","-113,806.0","-170,256.0","-224,242.0","-303,879.0","-281,169.0","-212,163.0","-196,993.0","-125,263.0","-23,838.0","80,489.0","140,618.0","226,472.0","24,581.0","-306,855.0","-415,213.0","-387,828.0","-257,082.0","-152,745.0","-214,805.0","-682,736.0"
"152","128","    Imputations (182-181)","A2010C1","2,004.0","2,353.0","2,211.0","1,456.0","1,155.0","1,761.0","1,844.0","3,088.0","2,684.0","3,033.0","3,286.0","3,087.0","9,040.0","25,308.0","33,129.0","28,071.0","14,357.0","-6,947.0","-5,595.0","-2,129.0","1,502.0","2,396.0","9,584.0","13,410.0","14,247.0","12,105.0","10,011.0","11,005.0","11,719.0","13,603.0","15,875.0","14,357.0","16,934.0","18,045.0","17,496.0","17,952.0","18,197.0","21,450.0","23,379.0","22,602.0","20,767.0","19,437.0","16,300.0","16,318.0","19,028.0","24,667.0","28,240.0","29,292.0","27,882.0","34,272.0","41,615.0","47,244.0","46,769.0","46,078.0","52,768.0","64,639.0","79,063.0","87,584.0","92,290.0","87,871.0","92,545.0","102,832.0","100,206.0","98,440.0","88,918.0","85,089.0","91,375.0","99,702.0","104,223.0","110,969.0","128,854.0","137,507.0","149,538.0","166,177.0","173,031.0","178,950.0","183,325.0","200,376.0","219,203.0","236,801.0"
"153","129","    Excluding imputations (127-128)","A2011C1","552.0","-769.0","-3,322.0","-2,132.0","-1,679.0","-2,719.0","-2,595.0","-4,004.0","-438.0","-2,396.0","-3,341.0","-1,445.0","-4,902.0","-32,505.0","-45,750.0","-53,359.0","-41,656.0","3,470.0","12,340.0","7,012.0","-5,642.0","4,481.0","2,658.0","-6,700.0","-8,961.0","-10,561.0","-823.0","905.0","-4,276.0","-16,168.0","-8,834.0","-2,936.0","-10,100.0","-10,386.0","-6,505.0","-10,661.0","-8,424.0","-11,439.0","-25,703.0","-17,549.0","-4,232.0","-27,817.0","-38,526.0","-25,589.0","-15,145.0","-29,825.0","-96,413.0","-75,581.0","-60,876.0","-44,499.0","-42,576.0","-95,077.0","-95,971.0","-183,546.0","-224,122.0","-212,166.0","-235,325.0","-261,466.0","-229,657.0","-209,053.0","-206,351.0","-273,088.0","-324,448.0","-402,319.0","-370,087.0","-297,252.0","-288,368.0","-224,965.0","-128,061.0","-30,480.0","11,764.0","88,965.0","-124,957.0","-473,032.0","-588,244.0","-566,778.0","-440,407.0","-353,121.0","-434,008.0","-919,537.0"
"154","130","Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,760,018.0","1,847,086.0"
"155","131","  Imputations (140+144+181)","A2092C1","1,872.0","1,852.0","1,725.0","1,470.0","1,534.0","1,744.0","1,771.0","1,930.0","2,106.0","2,196.0","2,263.0","2,401.0","2,994.0","4,584.0","7,395.0","10,142.0","11,427.0","12,330.0","12,635.0","11,981.0","11,237.0","10,725.0","11,877.0","13,065.0","14,172.0","15,083.0","16,019.0","17,445.0","18,550.0","19,028.0","19,896.0","20,659.0","21,382.0","22,481.0","23,720.0","24,709.0","26,003.0","27,648.0","29,631.0","31,994.0","34,647.0","37,252.0","39,910.0","42,341.0","46,073.0","52,654.0","58,807.0","63,384.0","69,422.0","77,330.0","86,676.0","98,637.0","110,780.0","120,507.0","126,666.0","134,616.0","142,852.0","153,028.0","164,231.0","175,773.0","188,235.0","201,349.0","212,748.0","221,471.0","233,538.0","245,142.0","257,626.0","266,428.0","277,032.0","288,933.0","306,372.0","326,673.0","344,754.0","359,923.0","380,196.0","412,271.0","450,193.0","488,908.0","519,415.0","539,418.0"
"156","132","  Excluding imputations (130-131)","A2093C1","7,795.0","7,599.0","7,070.0","6,216.0","5,871.0","6,030.0","6,041.0","6,156.0","6,870.0","7,037.0","6,997.0","7,279.0","8,056.0","9,097.0","9,104.0","9,402.0","9,682.0","10,766.0","14,014.0","16,484.0","17,943.0","19,217.0","21,915.0","23,220.0","24,465.0","25,513.0","26,767.0","29,659.0","32,294.0","34,227.0","35,517.0","35,925.0","36,800.0","38,077.0","39,612.0","41,657.0","44,716.0","48,806.0","53,304.0","58,424.0","64,544.0","71,061.0","77,863.0","84,810.0","94,709.0","111,032.0","131,572.0","144,786.0","162,354.0","184,084.0","212,225.0","245,448.0","282,562.0","313,035.0","324,439.0","339,731.0","362,591.0","385,447.0","406,863.0","435,241.0","463,217.0","489,853.0","511,612.0","522,880.0","544,477.0","574,025.0","611,834.0","646,089.0","686,773.0","731,614.0","788,018.0","857,651.0","911,467.0","945,056.0","973,856.0","1,020,494.0","1,091,182.0","1,171,769.0","1,240,603.0","1,307,668.0"
"157",NA,"          Specific imputations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","133","  Imputed rental of owner-occupied housing","A2013C1","6,556.0","6,203.0","5,685.0","4,916.0","4,307.0","4,126.0","4,161.0","4,282.0","4,504.0","4,667.0","4,739.0","4,873.0","5,287.0","5,814.0","6,254.0","6,784.0","7,294.0","8,333.0","9,542.0","10,862.0","12,028.0","13,494.0","15,301.0","17,211.0","19,232.0","21,018.0","22,725.0","24,547.0","26,391.0","28,366.0","30,592.0","32,871.0","34,965.0","37,440.0","39,594.0","41,865.0","44,572.0","47,334.0","50,418.0","54,044.0","58,951.0","63,798.0","70,003.0","76,655.0","83,958.0","92,781.0","101,895.0","111,861.0","124,706.0","141,759.0","160,718.0","182,451.0","205,257.0","222,295.0","240,080.0","262,165.0","284,738.0","308,306.0","333,248.0","361,744.0","389,319.0","417,558.0","441,777.0","468,225.0","494,446.0","532,826.0","566,646.0","599,489.0","636,326.0","681,131.0","727,681.0","777,728.0","838,788.0","880,122.0","923,437.0","973,701.0","1,057,022.0","1,124,776.0","1,158,796.0","1,202,844.0"
"160","134","  Intermediate inputs","A2014C1","826.0","753.0","689.0","573.0","529.0","559.0","579.0","639.0","677.0","644.0","681.0","728.0","809.0","842.0","799.0","823.0","888.0","1,643.0","2,189.0","2,595.0","2,809.0","3,084.0","3,332.0","3,428.0","3,602.0","3,595.0","3,747.0","3,917.0","3,950.0","4,041.0","4,090.0","4,113.0","4,116.0","4,210.0","4,340.0","4,614.0","4,915.0","5,110.0","5,496.0","6,507.0","7,430.0","8,474.0","9,009.0","10,480.0","12,302.0","14,366.0","15,773.0","18,621.0","22,748.0","26,993.0","31,143.0","32,005.0","33,605.0","31,878.0","33,841.0","38,458.0","41,768.0","48,081.0","52,949.0","57,013.0","61,062.0","63,648.0","67,258.0","73,173.0","77,029.0","82,763.0","86,464.0","91,880.0","97,611.0","111,405.0","112,151.0","117,996.0","132,302.0","146,946.0","174,979.0","182,815.0","207,972.0","216,466.0","203,142.0","173,135.0"
"161","135","  Taxes on production and imports","A2016C1","1,085.0","1,117.0","1,104.0","1,041.0","921.0","930.0","947.0","930.0","938.0","953.0","929.0","955.0","962.0","1,008.0","1,057.0","1,126.0","1,197.0","1,181.0","1,293.0","1,426.0","1,633.0","1,758.0","1,972.0","2,221.0","2,456.0","2,714.0","3,112.0","3,563.0","4,020.0","4,494.0","4,837.0","5,303.0","5,868.0","6,373.0","7,019.0","7,659.0","8,343.0","8,999.0","10,071.0","11,363.0","12,702.0","14,426.0","15,842.0","17,092.0","18,471.0","19,781.0","21,758.0","24,064.0","26,596.0","27,221.0","28,055.0","30,579.0","33,868.0","36,961.0","39,520.0","42,525.0","45,218.0","47,942.0","52,370.0","55,783.0","60,320.0","64,022.0","68,598.0","70,911.0","70,875.0","74,263.0","74,370.0","76,794.0","79,487.0","81,083.0","83,909.0","86,568.0","91,489.0","98,740.0","104,731.0","111,574.0","118,715.0","125,997.0","134,011.0","138,202.0"
"162","136","  Subsidies","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","105.0","99.0","131.0","223.0","253.0","288.0","270.0","276.0","180.0","172.0","159.0","181.0","208.0","216.0","298.0","309.0","500.0","261.0","265.0","309.0","338.0","463.0","417.0","533.0","256.0","582.0","1,387.0","4,041.0","2,083.0","7,940.0","3,603.0"
"163","137","  Net interest (186-156-164)","A2015C1","917.0","928.0","917.0","873.0","829.0","786.0","762.0","742.0","712.0","672.0","646.0","643.0","674.0","709.0","734.0","761.0","812.0","915.0","1,071.0","1,262.0","1,419.0","1,620.0","1,909.0","2,206.0","2,491.0","2,886.0","3,293.0","3,904.0","4,573.0","5,238.0","5,887.0","6,568.0","7,246.0","8,141.0","8,830.0","9,752.0","10,664.0","11,468.0","12,154.0","13,122.0","14,515.0","15,944.0","18,181.0","20,978.0","24,021.0","27,512.0","32,055.0","36,082.0","42,616.0","50,308.0","60,191.0","71,539.0","83,270.0","99,280.0","112,734.0","125,568.0","142,241.0","156,564.0","165,931.0","176,170.0","190,150.0","205,045.0","211,933.0","213,628.0","204,712.0","204,917.0","221,901.0","231,330.0","246,223.0","257,675.0","276,056.0","303,248.0","324,928.0","341,164.0","348,211.0","371,936.0","423,854.0","491,151.0","541,775.0","557,921.0"
"164","138","  Current transfer payments","W536RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-5.0","-34.0","-57.0","-57.0","-80.0","-106.0","-76.0","29.0","-37.0","-33.0","-27.0","-19.0","71.0","173.0","104.0","-286.0","-221.0","136.0","423.0","501.0","-70.0","-324.0","187.0","39.0","-120.0","-144.0","-297.0","953.0","1,567.0","669.0","-899.0","-756.0","-568.0","-1,433.0","1,530.0","1,772.0","1,662.0","-668.0","4,552.0","1,767.0","2,006.0","829.0","-991.0","2,594.0","4,356.0","5,773.0","11,252.0","10,675.0","8,802.0","6,467.0"
"165","139","  Rental income of persons with capital consumption adjustment (133-134-135+136-137-138-140)","B1156C1","2,851.0","2,532.0","2,177.0","1,783.0","1,393.0","1,146.0","1,174.0","1,234.0","1,353.0","1,540.0","1,607.0","1,623.0","1,813.0","2,140.0","2,456.0","2,759.0","2,986.0","3,017.0","2,972.0","3,238.0","3,639.0","4,264.0","4,922.0","5,917.0","7,029.0","7,959.0","8,394.0","8,617.0","9,059.0","9,599.0","10,537.0","11,469.0","12,174.0","13,001.0","13,481.0","13,605.0","13,926.0","14,443.0","14,910.0","14,542.0","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","71,146.0","123,913.0"
"166","140","  Consumption of fixed capital","B2607C1","877.0","873.0","798.0","646.0","635.0","705.0","699.0","737.0","824.0","858.0","876.0","924.0","1,029.0","1,115.0","1,208.0","1,315.0","1,411.0","1,577.0","2,017.0","2,341.0","2,528.0","2,768.0","3,166.0","3,439.0","3,654.0","3,864.0","4,179.0","4,546.0","4,789.0","4,994.0","5,246.0","5,452.0","5,618.0","5,772.0","6,004.0","6,341.0","6,800.0","7,285.0","7,824.0","8,543.0","9,460.0","10,134.0","11,133.0","12,274.0","13,948.0","15,950.0","17,922.0","19,677.0","22,516.0","26,320.0","30,510.0","35,025.0","38,828.0","41,412.0","42,998.0","45,478.0","47,888.0","51,214.0","54,923.0","58,866.0","62,867.0","66,381.0","68,851.0","71,307.0","75,820.0","80,855.0","86,622.0","91,192.0","96,644.0","102,267.0","110,038.0","118,546.0","127,688.0","134,972.0","146,222.0","163,454.0","181,416.0","199,185.0","207,860.0","206,809.0"
