"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"122","115","      Fuel oil and other fuels (29)","DFULRG3",6.473,6.378,6.614,6.622,6.747,6.624,6.769,6.947,7.163,7.391,7.547,7.838,8.336,8.388,9.614,15.278,16.578,17.782,20.121,21.275,29.331,41.187,50.389,49.415,45.558,46.572,44.756,35.044,35.954,35.938,38.077,45.856,43.658,41.881,41.592,40.836,40.455,45.851,45.926,40.699,41.395,60.692,59.506,53.051,64.182,74.736,100,114.09,121.874,166.173,111.415
"123","116","        Fuel oil","DOILRG3",6.344,6.236,6.494,6.495,6.619,6.48,6.618,6.796,7.006,7.232,7.381,7.657,8.135,8.181,9.381,14.925,16.153,17.342,19.635,20.786,28.832,40.562,49.679,48.628,44.627,45.615,43.784,34.041,35.135,35.091,37.326,45.04,42.672,40.855,40.524,39.761,39.359,44.905,44.829,39.275,40.012,60.3,58.287,51.749,62.87,73.637,100,114.145,122.033,168.648,110.852
"124","117","        Other fuels","DLPFRG3",7.533,7.685,7.503,7.625,7.751,7.939,8.165,8.323,8.604,8.814,9.082,9.596,10.351,10.504,11.966,18.711,21.071,22.27,24.942,25.823,31.822,43.109,51.702,52.367,52.004,53.271,52.112,45.096,42.63,43.061,43.637,51.469,51.298,50.042,50.213,49.545,49.374,53.392,54.772,52.76,53.076,64.438,70.111,64.441,75.538,84.067,100,113.636,120.539,145.509,123.446
"125","118","    Other nondurable goods","DONGRG3",19.057,19.353,19.4,19.464,19.734,20.027,20.305,20.71,21.217,22.03,22.845,23.911,24.827,25.445,26.139,28.711,32.008,33.664,35.615,37.552,40.007,43.661,47.362,51.028,54.542,56.564,58.752,61.092,63.552,66.397,70.065,73.61,77.532,80.45,81.807,82.38,83.839,85.425,86.318,87.942,91.377,93.38,95.548,97.125,97.307,98.479,100,102.161,103.539,106.098,111.02
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRG3",19.178,19.136,18.665,18.122,17.808,17.719,17.655,17.693,17.565,17.545,17.741,18.104,18.335,18.349,18.369,18.94,20.405,21.603,22.965,24.61,26.286,28.609,31.749,35.089,38.183,41.027,43.942,46.712,49.44,52.331,55.866,60.139,64.768,68.466,70.499,72.153,72.691,74.395,75.594,77.485,80.83,83.871,87.838,91.689,94.305,97.049,100,104.027,105.52,107.956,111.453
"127","120","        Pharmaceutical products","DPNPRG3",19.055,19.012,18.535,17.986,17.67,17.581,17.516,17.554,17.426,17.404,17.599,17.958,18.185,18.198,18.217,18.78,20.229,21.416,22.765,24.402,26.07,28.38,31.507,34.83,37.921,40.77,43.691,46.46,49.195,52.1,55.636,59.925,64.581,68.295,70.317,71.973,72.479,74.187,75.387,77.285,80.655,83.72,87.728,91.622,94.261,97.024,100,104.054,105.552,108.013,111.535
"128","121","          Prescription drugs","DRXDRG3",19.415,19.32,18.658,17.93,17.508,17.3,17.112,17.056,16.755,16.478,16.686,16.964,16.968,16.903,16.847,17.256,18.321,19.32,20.471,21.946,23.388,25.284,27.884,30.781,33.763,36.556,39.533,42.34,44.993,47.799,51.259,55.863,60.949,65.008,66.916,68.762,69.343,71.111,72.338,74.457,78.373,81.819,86.242,90.677,93.491,96.599,100,104.289,105.766,108.381,112.05
"129","122","          Nonprescription drugs","DNRDRG3",23.05,23.084,22.819,22.461,22.262,22.378,22.547,22.792,23.02,23.608,23.815,24.467,25.383,25.637,25.892,27.047,29.979,31.979,34.204,36.656,39.339,43.352,48.688,53.955,57.986,61.558,64.878,68.068,71.587,75.344,79.738,83.625,87.434,90.346,93.088,94.121,94.345,95.926,97.084,97.813,97.886,98.474,99.556,99.49,100.81,100.693,100,102.067,103.741,105,107.378
"130","123","        Other medical products","DOMPRG3",29.395,29.446,29.083,28.647,28.358,28.287,28.213,28.288,28.181,28.235,28.522,29.188,29.668,29.737,29.837,30.898,33.464,35.486,37.795,40.165,42.577,45.97,50.199,54.945,58.368,61.068,63.732,66.834,69.34,71.599,75.462,79.109,82.608,85.693,88.562,90.232,93.166,94.627,95.723,96.965,97.847,98.621,98.662,98.288,98.639,99.522,100,101.45,102.469,102.781,104.2
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRG3",41.164,41.912,42.584,43.29,43.915,44.833,44.883,45.216,46.222,48.352,50.644,52.533,54.56,55.939,56.935,59.792,63.71,65.813,67.535,70.274,74.664,82.188,89.041,93.33,94.908,96.137,97.622,98.815,101.642,105.334,109.256,112.014,114.459,115.883,115.737,116.611,117.1,118.255,117.62,115.326,111.486,109.573,108.72,106.342,103.197,102.695,100,99.365,98.638,100.17,100.039
"132","125","        Games, toys, and hobbies","DDOLRG3",68.093,69.373,70.535,71.76,72.672,72.281,71.737,71.578,73.109,77.199,82.781,86.625,90.646,92.102,92.693,96.921,104.212,106.734,108.002,112.748,118.405,127.517,136.564,143.548,145.028,145.629,145.03,145.592,147.925,154.882,160.109,161.789,161.974,163.987,165.368,166.786,164.25,165.948,164.163,155.271,145.194,135.963,129.216,120.853,112.687,107.25,100,95.478,90.967,86.195,81.568
"133","126","        Pets and related products","DPRPRG3",21.833,22.149,22.397,22.736,23.002,23.701,24.485,25.517,26.65,28.606,30.074,31.717,33.376,34.232,35.297,37.375,39.761,41.444,43.185,44.533,47.93,53.472,58.996,62.117,64.174,66.296,68.285,69.741,71.238,73.477,77.495,79.936,82.833,82.202,82.675,84.049,84.896,89.235,91.605,92.089,92.725,92.624,94.144,96.053,96.445,99.135,100,103.742,106.907,116.65,125.105
"134","127","        Flowers, seeds, and potted plants","DFLORG3",27.708,28.391,29.054,29.655,30.161,30.879,31.169,31.687,32.487,34.023,35.295,36.861,38.775,39.915,40.93,43.436,46.926,49.151,51.29,53.899,58.259,65.31,71.884,75.204,75.936,76.096,78.494,78.899,82.278,84.223,86.178,89.867,93.59,96.57,94.228,94.455,97.334,94.221,91.23,92.424,90.334,94.337,97.567,97.785,97.242,100.242,100,100.829,102.018,105.819,105.134
"135","128","        Film and photographic supplies","DFLMRG3",67.557,68.238,68.79,69.351,70.801,78.867,75.833,72.925,71.279,68.397,67.098,65.25,63.777,66.288,67.072,69.056,70.505,71.58,71.938,74.472,77.231,85.556,88.562,90.95,91.872,92.975,94.01,97.241,103.248,107.682,112.21,114.493,116.155,117.849,118.697,116.47,116.944,116.848,117.045,115.333,111.791,109.821,109.226,106.638,103.363,100.15,100,97.196,97.069,98.385,100.336
"136","129","      Household supplies (parts of 32 and 36)","DHOURG3",26.009,26.289,26.224,26.143,26.247,26.239,26.343,26.741,27.445,28.237,28.862,29.983,31.101,31.624,32.378,37.882,45.503,48.722,52.496,55.5,59.398,64.956,70.244,74.78,77.583,79.254,81.566,82.947,85.135,87.198,90.509,92.804,94.741,95.004,94.936,95.061,96.772,97.823,97.828,98.278,99.166,101.556,103.566,103.269,99.991,99.21,100,101.127,100.395,102.712,105.3
"137","130","        Household cleaning products","DCLERG3",24.177,24.065,23.792,23.739,23.947,23.864,23.97,24.298,24.812,25.078,25.391,26.31,27.233,27.573,28.139,32.939,40.162,43.363,46.1,48.768,51.908,57.173,62.609,66.565,69.226,70.268,72.382,74.486,77.011,78.645,82.741,85.221,89.035,89.264,88.98,88.858,90.224,91.147,92.624,93.33,94.937,97.434,101.076,101.897,100.309,99.149,100,103.386,104.038,107.377,112.553
"138","131","        Household paper products","DPAPRG3",15.523,15.743,15.721,15.713,15.727,15.717,15.728,16.049,16.619,17.417,18.094,19.227,20.094,20.425,21.035,25.975,33.966,37.542,41.486,44.518,47.761,51.852,55.52,58.491,59.595,60.839,62.824,62.733,63.484,65.037,68.509,71.119,71.92,71.955,71.81,72.019,76.054,79.938,80.002,82.258,84.114,90.74,94.649,95.072,93.508,96.312,100,105.238,108.11,117.01,124.468
"139","132","        Household linens","DLINRG3",45.842,46.423,46.79,46.674,46.694,46.869,47.231,47.855,49.175,51.054,52.585,53.674,54.92,55.923,57.175,64.517,69.36,72.703,76.44,81.103,87.564,95.059,101.33,110.305,117.611,121.95,125.351,127.933,131.767,135.514,136.048,136.939,136.962,137.972,137.944,137.976,135.769,132.763,129.949,127.076,125.646,122.279,119.445,115.925,107.311,102.545,100,93.204,86.771,82.135,78.506
"140","133","        Sewing items","DSEWRG3",49.693,49.97,50.165,50.082,50.455,50.744,51.15,52.192,54.57,57.727,60.888,63.296,65.505,67.111,69.415,73.61,75.355,77.472,79.9,79.485,82.136,88.191,93.643,96.649,98.141,98.692,99.92,101.929,101.647,107.541,108.969,114.641,115.643,116.732,115.931,115.025,120.299,120.832,113.308,107.191,104.134,104.005,103.935,103.533,101.291,101.848,100,99.151,95.369,95.696,98.546
"141","134","        Miscellaneous household products","DMHPRG3",24.579,26.894,26.719,26.122,26.138,26.111,25.879,26.228,26.586,27.165,26.609,28.301,30.989,32.311,33.369,38.292,47.9,47.375,54.458,54.607,58.455,64.868,71.425,75.143,76.414,77.559,79.065,79.412,81.541,83.212,86.112,87.71,88.853,88.432,89.649,90.787,92.764,93.024,94.3,96.127,96.717,98.052,99.486,100.938,99.714,98.952,100,104.272,106.72,109.249,109.795
"142","135","      Personal care products (part of 118)","DOPCRG3",27.611,27.59,27.527,27.783,27.873,27.908,27.799,27.45,27.929,28.778,30.076,30.829,31.832,32.674,33.535,37.234,41.925,44.334,46.822,49.151,52.321,56.657,61.818,66.688,70.364,72.563,74.664,76.897,78.387,80.846,83.883,86.939,89.8,91.839,93.21,94.53,95.234,95.526,95.74,97.18,98.577,99.878,100.847,100.664,99.681,99.798,100,100.876,102.373,103.021,104.863
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRG3",28.878,28.855,28.788,29.062,29.158,29.195,29.075,28.706,29.205,30.082,31.471,32.253,33.302,34.198,35.068,38.933,43.838,46.395,48.973,51.644,54.941,59.97,66.321,71.474,75.28,77.422,79.586,81.837,83.41,86.241,89.872,92.643,94.696,98.028,98.497,99.102,100.365,99.781,98.711,99.422,99.86,101.466,102.557,102.624,100.693,100.327,100,100.772,101.818,102.498,103.551
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRG3",25.685,25.667,25.61,25.843,25.925,25.957,25.86,25.54,25.987,26.787,27.967,28.672,29.606,30.376,31.201,34.644,39.008,41.225,43.556,45.566,48.528,52.229,56.393,60.882,64.327,66.476,68.452,70.585,71.959,74.076,76.588,79.755,83.199,84.039,86.23,88.249,88.346,89.624,91.396,93.776,96.484,97.346,98.137,97.576,98.057,98.941,100,101.048,103.312,103.905,107.188
"145","138","        Electric appliances for personal care","DEAPRG3",28.891,28.849,28.786,29.066,29.164,29.193,29.076,28.707,29.199,30.081,31.47,32.251,33.297,34.198,35.069,38.928,43.832,46.388,48.966,51.645,54.937,59.967,66.318,71.472,75.285,77.424,79.589,81.838,83.411,86.245,89.874,92.644,94.697,98.029,98.497,99.101,100.365,99.782,98.711,99.415,99.864,101.476,102.559,102.618,100.693,100.324,100,100.777,101.824,102.502,103.558
"146","139","      Tobacco (127)","DTOBRG3",7.023,7.257,7.315,7.373,7.597,7.777,8.107,8.545,8.865,9.423,9.926,10.756,11.211,11.824,12.151,12.743,13.651,14.23,14.915,15.739,16.651,17.92,19.326,21.45,25.6,27.239,28.801,30.73,32.856,35.78,40.299,44.39,49.499,53.681,55.606,53.37,54.689,56.353,58.85,63.968,79.644,85.268,88.387,92.202,93.282,95.065,100,103.414,110.241,117.104,145.292
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRG3",15.237,15.495,15.727,15.987,16.671,17.578,18.112,18.742,19.476,20.524,21.345,22.682,24.111,24.549,25.399,29.55,33.074,34.537,36.489,37.93,40.249,44.122,48.115,51.625,54.508,56.248,58.167,59.769,61.447,63.451,65.917,68.219,72.517,76.286,78.614,81.156,85.593,89.412,91.348,93.405,94.447,94.87,96.041,97.208,97.668,98.261,100,101.472,102.807,105.021,109.528
"148","141","        Newspapers and periodicals","DMAGRG3",11.81,12.045,12.33,12.577,13.368,14.391,14.852,15.345,15.911,16.952,17.762,19.027,20.666,21.098,21.657,24.71,27.843,29.05,30.668,32.053,34.026,37.728,41.421,44.544,47.299,48.955,50.855,52.654,54.623,56.778,59.01,61.164,66.216,69.879,72.515,75.505,79.918,83.549,84.213,85.893,87.848,89.464,91.194,92.873,94.706,97.512,100,101.589,102.656,105.384,112.148
"149","142","        Stationery and miscellaneous printed materials","DSTYRG3",22.937,23.209,23.236,23.493,23.752,24.25,24.927,25.853,26.951,27.954,28.771,30.229,31.065,31.489,33.01,39.723,43.931,45.943,48.614,50.027,53.048,56.861,61.198,65.378,68.289,70.085,71.908,72.964,73.935,75.565,78.449,81.011,83.897,87.88,89.73,91.545,96.052,100.219,104.632,107.418,106.702,104.919,105.053,105.242,103.098,99.612,100,101.264,103.078,104.368,104.93
"150","143","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","144","        Expenditures abroad by U.S. residents","DABDRG3",6.624,6.747,6.877,7.045,7.235,7.403,7.631,7.884,8.106,8.426,8.829,9.311,9.804,9.973,12.217,15.462,19.19,20.391,26.6,32.186,36.899,43.782,39.736,40.905,39.399,38.399,39.39,51.041,58.954,62.335,61.455,70.081,72.582,77.853,75.035,76.295,85.21,83.55,74.874,74.176,74.74,68.4,68.387,72.445,85.096,94.025,100,105.92,118.091,133.877,147.429
"152","145","          Government employees' expenditures abroad","DARTRG3",6.624,6.747,6.876,7.045,7.235,7.403,7.631,7.884,8.105,8.426,8.829,9.311,9.804,9.972,12.215,15.463,19.19,20.39,26.6,32.188,36.896,43.779,39.735,40.902,39.397,38.397,39.388,51.038,58.953,62.331,61.448,70.07,72.584,77.851,75.035,76.297,85.211,83.55,74.874,74.171,74.741,68.401,68.389,72.445,85.099,94.025,100,105.921,118.091,133.878,147.461
"153","146","          Private employees' expenditures abroad","DARSRG3",6.625,6.748,6.877,7.045,7.236,7.403,7.628,7.88,8.105,8.422,8.821,9.313,9.8,9.973,12.266,15.421,19.173,20.396,26.578,32.118,36.945,43.798,39.707,40.965,39.414,38.396,39.383,51.081,58.861,62.354,61.607,70.36,72.542,77.893,75.031,76.247,85.19,83.558,74.884,74.278,74.715,68.393,68.327,72.444,85.025,94.023,100,105.904,118.072,133.856,147.438
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRG3",24.146,24.354,24.499,24.692,24.907,25.172,25.493,26.121,26.603,27.602,28.905,30.195,31.232,32.203,34.632,38.736,42.15,43.909,46.511,49.759,54.875,61.312,66.562,68.635,69.937,71.856,72.856,71.214,73.164,75.1,78.106,81.757,83.442,84.361,85.268,86.054,87.359,89.02,89.737,88.971,90.151,93.116,94.049,93.471,94.38,96.629,100,102.279,104.313,108.976,105.802
"155","148","Services","DSERRG3",13.23,13.581,13.827,14.09,14.306,14.573,14.846,15.277,15.786,16.468,17.326,18.287,19.285,20.103,21.078,22.868,24.836,26.558,28.56,30.779,33.353,36.805,40.558,43.712,46.433,48.85,51.053,53.378,55.413,58.127,60.844,63.812,66.586,69.24,71.299,73.205,75.37,77.479,79.817,81.695,83.515,85.824,88.428,90.807,93.692,96.687,100,103.411,106.964,110.582,112.252
"156","149","  Household consumption expenditures (for services)","DHCERG3",12.636,13.014,13.252,13.507,13.714,13.977,14.234,14.643,15.131,15.788,16.604,17.533,18.489,19.275,20.199,21.873,23.751,25.411,27.332,29.467,31.916,35.229,38.882,42.086,44.908,47.392,49.635,52.025,54.106,56.862,59.738,62.93,65.93,68.869,71.116,73.087,75.323,77.457,79.765,81.529,83.306,85.523,88.064,90.505,93.572,96.707,100,103.463,107.105,110.838,112.643
"157","150","    Housing and utilities","DHUTRG3",15.565,15.859,16.07,16.243,16.416,16.562,16.703,16.934,17.225,17.619,18.184,18.975,19.947,20.703,21.632,22.829,24.624,26.406,28.746,30.775,33.263,36.746,40.8,44.563,47.446,49.86,52.486,54.983,56.96,59.215,61.601,64.277,66.41,68.263,70.236,72.049,73.998,76.187,78.263,80.108,82.014,84.783,88.718,91.297,94.164,96.66,100,104.282,108.047,111.926,113.31
"158","151","      Housing","DHSGRG3",16.252,16.511,16.739,16.944,17.152,17.327,17.499,17.764,18.105,18.549,19.162,19.981,20.909,21.663,22.584,23.43,24.947,26.579,28.819,30.796,33.173,36.22,39.909,43.193,45.79,48.175,51.051,54.074,56.532,59.069,61.522,64.414,66.449,68.268,70.129,72.101,74.328,76.58,78.728,81.221,83.472,86.06,89.456,93.043,95.383,97.607,100,103.599,107.438,110.443,112.428
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRG3",16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882,19.675,20.571,21.29,22.225,23.047,24.589,26.232,28.46,30.408,32.773,35.816,39.53,42.815,45.475,48.052,51.218,54.415,56.863,59.18,61.539,64.216,66.589,68.388,70.065,71.745,73.453,75.352,77.479,79.835,82.171,85.065,88.746,92.125,94.689,97.085,100,103.562,107.957,111.841,114.351
"160","153","          Tenant-occupied mobile homes","DTMHRG3",15.99,16.183,16.575,16.633,16.836,16.972,17.18,17.356,17.681,18.113,18.711,19.476,20.378,21.104,22.019,22.854,24.361,25.965,28.206,30.13,32.477,35.499,39.178,42.37,44.986,47.514,50.656,53.833,56.254,58.546,60.886,63.535,65.88,67.653,69.305,70.965,72.709,74.625,76.804,79.221,81.66,84.662,88.431,91.88,94.567,97.097,100,103.54,107.978,111.951,114.518
"161","154","          Tenant-occupied stationary homes","DTSPRG3",15.965,16.202,16.41,16.614,16.8,16.947,17.121,17.364,17.664,18.1,18.676,19.46,20.347,21.058,21.983,22.795,24.321,25.947,28.149,30.077,32.415,35.424,39.098,42.353,44.984,47.534,50.665,53.826,56.247,58.54,60.872,63.518,65.864,67.643,69.299,70.956,72.704,74.628,76.809,79.238,81.661,84.629,88.395,91.863,94.557,97.095,100,103.58,107.987,111.929,114.487
"162","155","          Tenant landlord durables","DTLDRG3",24.519,24.883,25.218,25.517,25.776,26.026,26.287,26.661,27.153,27.792,28.673,29.869,31.243,32.345,33.752,35.019,37.339,39.823,43.225,46.182,49.783,54.42,60.059,64.89,68.925,72.854,77.648,82.545,86.272,89.761,93.438,97.584,101.281,104.026,106.705,109.553,108.785,109.167,108.347,106.845,104.736,103.907,103.595,102.992,99.992,96.684,100,102.924,106.817,108.376,108.933
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRG3",16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039,19.832,20.746,21.474,22.401,23.246,24.792,26.442,28.697,30.671,33.058,36.129,39.855,43.243,45.862,48.216,51.051,54.085,56.586,59.175,61.638,64.595,66.474,68.264,70.09,72.063,74.448,76.811,79.049,81.61,83.834,86.328,89.639,93.285,95.563,97.74,100,103.473,106.976,109.668,111.496
"164","157","          Owner-occupied mobile homes","DOMHRG3",16.275,16.526,16.733,16.931,17.111,17.293,17.458,17.687,18.013,18.461,19.045,19.837,20.741,21.457,22.402,23.251,24.801,26.438,28.703,30.677,33.072,36.138,39.861,43.237,45.87,48.215,51.056,54.082,56.585,59.174,61.64,64.595,66.48,68.264,70.087,72.06,74.448,76.815,79.049,81.607,83.833,86.348,89.661,93.275,95.56,97.732,100,103.448,106.995,109.703,111.531
"165","158","          Owner-occupied stationary homes","DOSTRG3",16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039,19.832,20.746,21.475,22.401,23.246,24.792,26.442,28.697,30.671,33.057,36.129,39.854,43.243,45.862,48.215,51.05,54.085,56.586,59.175,61.638,64.595,66.473,68.264,70.09,72.063,74.448,76.81,79.049,81.61,83.834,86.327,89.638,93.285,95.563,97.741,100,103.474,106.976,109.667,111.492
"166","159","        Rental value of farm dwellings (22)","DFARRG3",19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409,29.339,31.124,33.116,33.728,34.885,35.018,35.871,37.681,40.083,42.187,44.134,45.743,44.312,44.723,45.157,44.586,43.549,43.964,47.95,51.618,55.163,58.912,62.766,70.504,78.489,81.732,84.399,80.904,81.601,83.846,86.338,89.621,93.281,95.572,97.756,100,111.192,125.862,133.103,135.86
"167","160","        Group housing (23)","DGRHRG3",16.17,16.418,16.531,16.712,16.952,17.108,17.361,17.615,17.888,18.184,18.924,19.655,20.509,21.194,22.061,23.179,24.722,26.289,28.408,30.466,32.828,35.87,39.166,42.324,44.959,47.514,50.615,53.795,56.25,58.542,60.898,63.511,65.865,67.631,69.304,70.955,72.714,74.634,76.808,79.245,81.66,84.625,88.365,91.861,94.563,97.083,100,103.584,107.998,111.945,114.504
"168","161","      Household utilities","DUTLRG3",12.903,13.33,13.478,13.527,13.563,13.596,13.622,13.724,13.823,14.025,14.407,15.091,16.223,16.986,17.944,20.518,23.419,25.796,28.528,30.765,33.695,38.931,44.485,50.239,54.31,56.842,58.398,58.614,58.48,59.51,61.593,63.311,65.867,67.865,70.337,71.425,72.075,73.961,75.687,74.445,74.675,78.323,84.949,82.423,87.918,91.779,100,107.94,111.295,119.972,117.951
"169","162","        Water supply and sanitation (25)","DWRSRG3",7.988,8.241,8.458,8.675,8.94,9.073,9.296,9.64,9.863,10.334,11.032,11.907,13.173,13.661,14.396,15.271,16.753,18.629,20.646,23.044,24.128,25.789,28.905,32.38,35.114,37.48,39.788,42.097,44.589,47.232,50.267,53.815,57.963,62.096,65.524,68.748,70.966,73.504,75.318,77.756,79.478,81.429,83.779,86.48,89.661,95.006,100,104.934,110.244,116.733,123.945
"170","163","          Water supply and sewage maintenance","DWSMRG3",8.032,8.29,8.513,8.728,8.992,9.124,9.347,9.695,9.917,10.397,11.1,11.976,13.248,13.735,14.479,15.356,16.851,18.735,20.765,23.189,24.284,25.961,29.101,32.607,35.367,37.727,40.036,42.228,44.5,46.926,49.759,53.056,56.934,60.783,64.092,67.303,69.379,72.191,74.127,76.712,78.321,80.281,82.766,85.545,88.811,94.582,100,104.878,110.296,116.888,125.002
"171","164","          Garbage and trash collection","DREFRG3",7.426,7.639,7.813,8.035,8.293,8.424,8.647,8.955,9.17,9.566,10.217,11.049,12.229,12.709,13.36,14.192,15.545,17.295,19.163,21.309,22.287,23.789,26.646,29.81,32.278,34.603,36.826,39.781,43.527,47.392,51.543,56.397,61.915,67.502,71.482,74.706,77.591,78.786,80.039,81.847,84.019,85.933,87.758,90.14,92.962,96.625,100,105.143,110.049,116.147,119.875
"172","165","        Electricity and gas","DELGRG3",14.498,14.982,15.111,15.111,15.077,15.08,15.046,15.076,15.142,15.273,15.573,16.214,17.326,18.177,19.214,22.327,25.685,28.242,31.221,33.465,36.948,43.267,49.597,56.087,60.601,63.216,64.557,64.102,63.092,63.588,65.359,66.461,68.489,69.8,71.97,72.364,72.49,74.156,75.852,73.323,73.028,77.275,85.413,81.032,87.34,90.689,100,108.977,111.64,121.09,115.736
"173","166","          Electricity (27)","DELCRG3",19.572,19.862,19.936,19.936,19.862,19.795,19.721,19.721,19.862,20.011,20.449,21.111,22.507,23.607,25.071,29.619,33.431,35.63,37.995,40.372,43.449,50.33,57.864,63.6,65.682,69.878,72.383,73.326,73.108,74.108,76.186,77.958,80.865,82.435,84.051,84.083,85.979,87.405,87.872,84.474,83.813,85.169,91.206,90.321,92.456,94.171,100,112.053,116.458,123.909,127.718
"174","167","          Natural gas (28)","DGHERG3",7.715,8.202,8.333,8.333,8.332,8.379,8.379,8.421,8.421,8.51,8.646,9.132,9.796,10.282,10.774,12.101,14.495,16.978,20.158,21.983,25.5,30.488,34.748,41.49,48.605,48.924,48.61,46.257,44.163,43.888,45.091,45.131,45.697,46.54,49.392,50.316,47.665,49.604,53.051,52.06,52.435,61.879,73.711,62.845,77.129,83.633,100,102.459,101.417,115.174,89.877
"175","168","    Health care","DHLCRG3",7.035,7.508,7.678,7.872,8.095,8.371,8.631,9.016,9.59,10.195,10.914,11.738,12.343,12.867,13.475,14.755,16.414,17.996,19.496,21.142,23.202,26.012,29.188,32.474,35.444,38.097,40.408,42.81,45.564,49.116,53.435,57.995,62.476,66.868,70.442,73.304,75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.84,109.726,112.447
"176","169","      Outpatient services","DOUTRG3",9.161,9.377,9.56,9.84,10.074,10.34,10.677,11.283,12.008,12.677,13.589,14.539,15.503,16.024,16.546,18.011,20.145,22.22,24.187,26.083,28.33,31.439,34.697,37.659,40.395,43.072,45.724,48.713,51.76,55.251,58.926,62.801,66.475,70.215,73.535,76.93,79.565,80.819,82.96,85.015,86.969,89.065,91.855,93.179,95.134,97.562,100,101.862,105.621,108.002,110.271
"177","170","        Physician services (44)","DPHYRG3",8.717,8.929,9.139,9.404,9.617,9.883,10.2,10.843,11.579,12.222,13.122,14.08,15.027,15.507,15.994,17.483,19.61,21.839,23.855,25.81,28.205,31.189,34.599,37.849,40.812,43.648,46.184,49.541,53.189,56.997,61.177,65.578,69.442,73.804,77.913,81.817,85.035,85.631,86.782,88.641,90.609,92.181,94.804,94.797,96.273,98.238,100,100.954,105.098,106.21,108.381
"178","171","        Dental services (45)","DDENRG3",8.208,8.371,8.417,8.659,8.894,9.136,9.434,9.74,10.229,10.784,11.551,12.196,12.982,13.508,13.95,14.987,16.552,17.637,18.94,20.255,21.956,24.571,26.915,28.999,30.942,33.453,35.568,37.541,40.089,42.778,45.399,48.361,51.927,55.369,58.222,60.953,63.89,66.839,69.935,72.911,76.319,79.798,83.032,86.737,90.289,94.737,100,105.208,110.624,116.313,119.797
"179","172","        Paramedical services (46)","DPMSRG3",10.641,10.915,11.18,11.523,11.796,12.057,12.467,13.242,14.133,14.958,15.957,17.184,18.305,18.872,19.564,21.338,24.009,26.706,29.189,31.439,33.582,37.368,40.877,43.602,46.256,48.331,51.698,54.492,56.189,59.407,62.581,65.871,69.199,71.939,74.162,77.083,78.68,80.048,83.139,85.026,86.25,88.449,91.266,93.495,95.455,97.711,100,101.904,104.419,107.442,109.415
"180","173","          Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.137,60.42,63.709,67.105,70.351,73.191,75.498,78.525,79.92,81.354,85.44,87.753,88.497,91.803,94.211,96.342,96.693,98.971,100,100.65,102.474,104.162,105.87
"181","174","          Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.417,62.841,66.214,69.7,73.141,76.068,78.457,81.619,86.151,87.276,87.948,88.201,87.749,89.599,92.887,94.434,95.823,96.433,100,100.302,103.001,103.215,104.34
"182","175","          Other professional medical services","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.304,58.463,61.56,64.776,68.126,70.792,72.949,75.782,77.097,78.459,81.279,83.177,84.956,86.667,89.585,91.998,94.791,97.381,100,102.858,105.681,109.997,112.289
