"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139"
"52","        Taxes received from the rest of the world \5\","42","B1068C1B",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.8,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1.2,1.2,1.3,1.5,1.2,1.2,1.2,1.4,1.2,1.2,1.3,2,1.3,1.4,1.5,1.6,1.7,1.7,1.7,2,1.9,1.6,1.7,1.7
"53","        Other \6\","43","M318431B",-0.6,-0.5,-0.5,-0.5,-0.9,-0.5,-0.5,-0.5,-0.9,-0.9,-0.5,-0.6,-0.9,-0.7,-0.7,-0.7,-0.8,-1.1,-0.7,-0.6,-1,-1.1,-0.7,-0.6,-1.1,-0.9,-0.8,-0.8,-1,-1.6,-1.1,-1.1,-1.3,-1.3,-1.3,-1.1,-1.9,-1.6,-1.4,-1.2,-1.3,-1.2,-1.2,-1.2,-1.5,-1.4,-1.4,-1.5,-1.6,-1.4,-1.5,-1.7,-2.2,-1.9,-1.7,-2.1,-2.5,-2.4,-2.1,-2.1,-2.3,-2.5,-2.2,-2.4,-3.2,-2.8,-2.7,-3.1,-2.8,-4.4,-3.2,-2.7,-3,-2.8,-2.8,-2.7,-2.7,-2.7,-2.9,-3.2,-3.2,-3.5,-2.6,-2.4,-3.4,-3,-3.1,-3.1,-3.7,-3.9,-3.7,-4.1,-4.3,-4.5,-5,-5,-5.7,-5.5,-5.8,-6,-6.4,-6.1,-6.4,-6,-6.3,-6,-6.2,-4.9,-5.5,-5.2,-5.2,-4.6,-5.2,-5.4,-6.5,-9.4,-5.6,-5.3,-6,-5.9,-6.4,-5.9,-7.8,-5.5,-6.4,-6.2,-8.2,-6.7,-7.5,-7.1,-8.9,-7.1,-8.7,-8.5,-9.1,-6.8
"54","Plus: Timing differences","44","M318441B",-1.2,0.4,-0.4,0.3,-1.1,0.2,-0.9,-0.2,-1.2,1.7,-1.4,1.4,-0.7,0.5,-0.2,1.1,-0.8,-0.9,1,2,-1.4,0.5,0.2,-0.2,0.3,-0.1,1.6,-0.3,-1.2,-0.5,0.1,-0.9,1.7,-0.2,1.6,1.9,-0.3,-0.3,0.1,-1.2,0.5,-0.5,1.9,0.4,0.3,-0.2,1.9,-2.5,1.1,-0.1,-1,-1.4,0.6,-1.2,0.3,-15.9,14.2,-0.3,-0.7,-2.5,1.4,0,0.1,-1.2,0.1,-0.3,3.4,-2.3,2.1,-1.1,0,-2.6,1.5,-0.8,0.9,-1.4,3.6,1.6,6.6,-22.3,22.2,0.6,0.2,-4.7,-0.8,1.3,0,2.4,-0.7,2.7,7.1,-6.6,6.6,1.2,-1.2,-5.9,4.5,-0.9,-0.1,-29.9,31,1.3,-0.8,-3.9,4.8,0.8,-6.1,-1.6,1.3,1.9,0.5,2.8,9.1,1.1,1.4,-6.6,6.2,-1.4,-1.5,-5.4,7.1,-1.4,-2.5,-34.3,38.4,0,-1.7,-9.6,1.7,-0.7,-5,1.8,0,0.8,6.8,-10.5
"55","        Purchases (increase in payables net of advances)","45","M318451B",-0.6,-0.7,-0.2,0.3,-1,-0.4,-0.2,-0.2,-0.4,0.2,-0.4,0.6,0.2,-0.7,0.8,0.3,0.2,-2.4,1.9,0.4,0.1,-0.4,0.6,-0.1,-0.1,-0.5,1,-0.9,0.3,-0.8,0.3,-0.5,1.2,-0.2,1.3,0.8,0.5,0.4,-0.2,0.2,0.5,-0.3,0.3,1.2,-0.1,0.5,0.2,-0.8,-0.3,0.1,-0.9,0.8,-0.7,-0.7,0.2,-0.8,-0.1,-0.3,-0.7,-0.5,-0.4,-0.2,0.1,0,-0.1,-0.3,0.2,0.2,-0.5,-0.1,-0.8,-0.6,-0.3,-0.2,0.9,0.4,0.9,0.8,3.6,-2.5,3.1,0.7,2.4,-4.8,-0.4,0.1,0.5,0.6,-0.4,1.7,3.8,-2.2,4.1,-0.2,0.7,-4.2,1.4,0.7,1.3,-2,2.4,-0.7,1.2,-1.8,2,0,-0.1,-0.4,-0.7,1.7,0.6,1.6,3.5,0.5,2.1,-2.3,2,-0.1,-0.4,-2.3,2.5,0,0.6,-2.1,4.3,1.1,1.8,-5.5,1.4,-0.9,-0.4,-1,0.7,0.2,5.8,-6.1
"56","        Interest","46","M318461B",-0.6,1.2,-0.2,0.1,-0.2,0.5,-0.8,0.2,-0.7,1.4,-0.9,1,-1,1,-1.1,1,-1.1,1.1,-1.1,1.2,-1.2,1.2,0,0,-0.2,0.1,0,0,-0.1,0.1,0,0,-0.1,-0.1,-0.1,-0.2,0.2,-0.1,-0.1,-0.1,0,-0.2,0,-0.1,-0.3,-0.2,0.1,-0.2,-0.2,-0.1,-0.3,-0.2,0,-0.4,-0.3,-0.5,-0.3,-0.2,-0.2,0,-0.3,0,-0.4,0,-0.8,-0.5,-0.1,-0.2,-0.4,-0.3,-0.3,-0.3,-0.7,-0.3,-0.3,-0.2,0.2,0.6,0.3,-0.2,-0.5,0.1,-1.1,-0.1,-0.5,0.3,-0.4,-0.3,-0.5,0.2,-0.7,-2.6,-0.5,-0.2,-1.1,-0.2,-0.2,-0.9,-0.2,0.4,0.4,0.5,-0.1,1.5,0.2,0.2,-0.8,-0.1,-0.2,0.2,0.1,1.4,0.6,1,-0.4,0.4,-0.4,-0.4,-0.7,0,-0.2,0.2,-2.7,1.9,-0.7,0.5,-3.2,0.3,-0.1,0.4,-3.3,1.9,-0.7,1.1,-3.9,1.1
"57","        Transfer payments","47","M318471B",0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.1,-0.2,0.1,-0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,-0.2,-0.4,-0.1,-0.2,0.1,0.1,0,0,0.2,0,0,-0.8,-0.4,0.2,1.1,-0.9,0.1,0,1.7,-1.4,1.5,0,-0.1,-1.7,1.7,-0.1,0.2,-13.8,14.1,0,0.1,-2,1.9,0.1,0.2,-1.9,0.2,-0.2,3,-2.8,2.2,-0.4,0.7,-1.9,2.2,0,0.1,-1.8,2.2,0.3,2.1,-19.3,19.8,-0.1,-1.2,-0.6,0.1,-0.1,0.3,0.7,0.2,-0.3,2.8,-2,2.6,-0.1,0,-2.3,3.3,0,0.4,-27.1,27.2,-0.2,0,-3.4,2.8,-0.2,-3.7,0,-0.2,-0.1,-0.2,0.4,3.3,-0.2,-0.3,-3.8,3.6,-0.3,-0.3,-3.7,3.9,-0.3,-0.5,-33.7,33.5,-0.4,-0.6,-4.4,0,-0.4,-0.4,-0.1,-0.5,-0.6,3.9,-4.5
"58","        Subsidies less current surplus of government enterprises","48","M318481B",0,0,0,0,0.1,0.2,0,-0.2,0,0.1,-0.1,-0.2,0.1,0.3,0.1,-0.4,0,0.5,0.1,0.5,-0.4,-0.4,-0.5,-0.2,0.5,0.2,0.5,0.5,-1.2,0.6,-0.1,-0.3,0.5,-0.1,0.4,1.3,-1.2,-0.5,0.3,-0.4,0.4,-0.2,0.5,0.1,0.7,-0.5,0,-0.1,0,-0.1,0.3,-0.4,-0.4,0.1,0.2,-0.8,0.4,0.1,0.1,0,0.2,0.2,0.3,0.6,0.8,0.7,0.2,0.6,0.7,-0.3,0.4,0.2,0.3,-0.3,0.2,0.2,0.3,-0.1,0.6,-0.3,-0.3,-0.2,0.1,0.8,0,1,-0.4,1.4,0,1.1,1.2,0.2,0.5,1.7,-0.7,0.8,0.2,-0.7,-1.7,-1.2,1,1.8,-1.9,-0.1,-0.1,0.8,-1.5,-1,2.4,0.1,0,-0.6,1.8,-0.3,0,-0.8,1.1,-0.6,-0.1,0.6,0.8,-1.2,0.1,-0.4,1.4,-1.2,0.3,-0.1,0.4,0.2,-1,1,0.6,0,1,-1
"59","Equals: Federal Government current expenditures, national income and product accounts","49","M318491B",39.8,43.3,43.1,43.6,42.2,45.7,47.2,45.4,45.1,51.5,51.8,50.2,51,55.8,55.3,54.5,56.6,61.3,59.6,62.5,62.9,66.5,65.2,65.1,68.1,74.1,72.4,76.5,81,90.7,84.8,88.9,90.3,95.7,90.9,95,95.9,98.6,106.4,104.1,106,108.7,116,113.5,114.8,119.1,129.1,126.7,133,139.1,153.6,150.8,156.6,159.8,174.1,168.9,170.9,176.8,192.5,191.9,189.6,197.9,208.3,202,202.3,206.7,218.3,228.8,217.8,226.7,236.1,244,227.4,244.4,251.6,255.2,241.8,250.1,255.4,271.1,252.5,263.3,264.1,286.3,269.2,283.4,282.9,304.9,292.7,306.4,308.9,320.7,289.2,321.6,324.8,351.9,335.3,351.2,355.7,376.7,350.2,366.6,366.2,388.4,361,369.5,377.1,398.4,377.9,398.6,393.7,405.5,393.4,404.9,407.8,429.8,403.2,415.1,414.8,445.7,409.7,421,420.8,454.4,420.7,431,429.3,474.3,442.2,454.1,446.9,483.9,469.3,479.5,477.5,510.1
"60","      Surplus or deficit (-)",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Budget surplus or deficit (-) (1-19)","50","M318501B",-8.7,2.9,-3.2,-7.1,-2,15.5,-2.5,-5.6,-3.5,8.7,-7.8,-8.9,-8.2,1.8,-7.8,-10.6,-10.5,5.6,-2,-10.5,-9.5,7.7,-1.1,-5,-7.1,9.7,-1.6,-12,-18,-12,-18.5,-26.6,-22.7,2.2,-12.7,-22.8,-18.7,8.6,-12.2,-28.8,-25.8,14,-8.1,-23.8,-20.4,21.4,-4.5,-24.5,-26.9,8.1,-15.7,-33.6,-32.1,16.2,-8.6,-48.2,-23.7,-2.5,-36.2,-68.3,-61,-29.2,-37,-63.3,-55.3,-25.6,-34,-73.3,-54.8,-27.8,-47.3,-76,-60.4,-30.8,-53.9,-64.4,-57.6,2.1,-28.6,-80.4,-37.6,0.7,-36.9,-67.4,-61.1,22.7,-47.5,-69.8,-80.9,-12.5,-57.2,-83.2,-65,-26.1,-95.1,-83.6,-114.1,-30,-62.6,-120.4,-62.9,-17.8,-54.3,-91.2,-59.5,0.6,-52.9,-74.5,-72,23.3,-40.7,-56.1,-72.4,53.2,-32.2,-58.5,-52.4,100.8,-12.4,-39.4,-30.2,136.9,3,-55,5.1,144.2,30.2,-20.6,-14.9,211.8,60.6,-2.3,-22.5,193.7,-41.9,-33.7
"62","Plus: Net investment (29)","51","M318511B",0.6,0.5,0.4,0.3,0.5,0,0.1,-0.3,-0.1,-0.1,-0.3,-0.2,-0.8,-0.9,-0.9,-1,-0.7,-0.4,-0.9,-1,-0.6,-0.6,-1.1,-0.9,-1,-0.3,-0.7,-0.4,-0.3,-0.1,-0.2,-0.1,-0.2,-0.2,-0.1,-0.2,-0.1,0.2,0.4,-0.4,-0.5,0.2,0.8,0.7,0.3,0.5,1.9,0.9,1.4,1.2,1.5,1.2,1.1,1.7,2.6,1.9,1.1,2.2,2.4,2.3,2.6,3,4.4,4,3.9,4.1,4.4,5.5,4.7,5.8,8,6.7,5.4,6.1,8.7,7.3,6.2,7.4,8.6,7.3,4.6,4.8,5.2,5,4.2,4.5,5.9,4,4.4,5.3,6.1,4.1,3.2,4.9,4.8,2.3,2.5,3.4,4.5,3.1,1.5,1.7,2,0.7,-1.1,-0.5,2.2,-0.7,0.1,-0.3,0.4,-1.9,0.7,0.5,1.2,-1.4,-3,-1.6,0.5,-1.3,-2.4,-0.9,1.8,-0.6,-1.9,0.6,1.7,1.5,-1.1,0.2,0.5,0.4,-1.4,0.1,0.8,1.4
"63","Less: Net capital transfers received (5-30)","52","M318521B",-0.6,-0.2,-1.1,-1.1,-0.5,0,-0.8,-1,-0.3,0.1,-0.6,-0.7,-0.3,-0.1,-0.7,-0.2,0.6,0,-0.8,-0.4,0.2,-0.4,-0.2,-0.5,-0.4,-0.9,-0.5,-1.3,-1,-0.9,-1.2,-1.6,-0.8,-1,-1.4,-1.7,0.7,-1.2,-1.8,-1.7,-1.1,-1.4,-1.9,-2.3,-1.5,-1.7,-2.6,-3.1,-1.8,-2.2,-2.6,-3.4,-1.9,-2.2,-2.2,-2.4,-0.8,-1.7,-2.1,-2.5,-1.9,-2,-2.9,-2.9,-1.8,-2.6,-3.7,-3.6,-1.8,-3,-4.1,-4.1,-2.3,-3.1,-4.4,-3.2,-2.1,-2.7,-3.6,-3.3,-2.2,-2.6,-4,-3.1,-2.3,-2.1,-3.4,-3.2,-2.3,-0.6,-3.2,-3.1,-2.1,-2.1,-3.2,-2.9,-2,-2.3,-3.6,-3.2,-2,-1.5,-4.1,-3.3,-1.6,-0.9,-3.8,-3.4,-2.9,-2.4,-3.9,-3.1,-2.8,-1.4,-3.3,-3.2,-1.9,-0.8,-3.3,-2.3,-0.7,1.2,-2.5,-1.6,0.1,1.2,-3.4,-1.1,-1.3,0.2,-3.9,-2.9,-1.8,-1,-5.8,-4.3
"64","      Federal employee retirement plans (4-22)","53","M318531B",-0.4,-0.1,-0.4,0,-0.5,-0.3,-0.4,-0.2,-0.6,0.3,-0.7,-0.3,-0.5,0.5,-0.4,-0.3,-0.8,0.5,-0.5,-0.5,-1.1,0.7,-1.4,-0.7,-1.5,1.7,-1.8,-1.1,-1.9,2.8,-2.3,-1.4,-2.4,3.5,-2.8,-1.5,-2.8,-1.5,4.5,-1.8,-3.3,-2.1,4.5,-2.1,-3.9,-2.2,5.4,-2.4,-4.6,-2.7,7,-3.1,-5.6,-3.4,8.4,-2.8,-6.2,-3.1,8.8,-2.6,-6.7,-2.5,9.3,-2.1,-7.4,-1.9,9.1,14.4,-3.6,3.7,14.3,15.4,-3.5,4.7,14.2,15.8,-2.5,5,13.3,16.7,-4.6,6.6,13.2,17.2,-5,7.6,13.2,18,-6.4,7.2,14.3,19.2,-7.2,9.1,14.3,20.4,-7,9,15,21.6,-8.7,9.1,14.4,21.1,-8.7,8.9,13.5,21.1,-9.8,9.2,13.1,19.5,-10.2,9,13.1,24.3,-10.8,8.6,14.1,24.4,-11.2,8.9,13.8,25.8,-11.4,8.8,13.4,25.1,-11.4,9.4,13.1,26.5,-12.5,9.7,12.8,27.1
"65","      Other coverage differences (3+6+7-21-27-28-31-36-39)","54","M318541B",-1.7,-2.8,-0.8,-1.1,-0.7,1.6,-0.1,-1.3,-0.2,0.4,0.8,0.5,0.1,0.4,0.3,-0.9,0.2,0.6,2.5,0.9,1.2,2.5,1.2,2.2,2.1,3.8,-0.8,1,2.7,1.7,-1.4,-1.1,2.6,4.5,0.4,-1.4,2.9,0.8,1.8,-3.7,-0.6,2.9,-1.3,-3.5,-1.2,2,3.3,-1.8,-0.4,-1.1,2.9,0.9,-1.6,2.7,6.3,-2.2,-1.5,2.8,4.1,-3.6,-1.8,8.9,11.9,-1.4,5.1,2.9,4.6,-13.8,-5,-3.2,-1.3,-10.9,-4.4,4.2,-2.1,-3.6,-3.2,2.6,1.3,0.6,-3.9,-6.2,-5.8,-8,-1.4,-5.8,-11.5,-8.6,-6.3,-29.4,-15.7,-19.5,-5.6,-17.2,-42.9,1.1,-14.8,-5.9,6.3,0.5,2.1,6.2,5.2,-7.5,12,-5.5,-0.1,-4.2,5.4,5.7,7,1.2,0.5,2.5,0.5,2.7,2,10.5,3.2,-0.6,-1.8,4.2,3,-5.3,-5,3.2,0.8,-2.7,1.5,2.3,8.8,-6.1,-3,3.1,9.4,-5.8
"66","      Timing differences (44-12)","55","M318551B",-4.6,3.5,-0.5,-1.2,-3.6,5.6,-1,-0.8,-3.1,7.2,-1.7,1.1,-3.3,3.9,-0.8,1,-6,4.7,0.7,0.6,-7.7,6,-1,-1.1,-4.2,5.3,-0.5,-0.4,-2.6,6.7,-2.5,-2.3,-5.5,4.6,-1.3,0.6,-5.6,8.8,-2.9,-2.2,-8.2,7.6,0.1,-2.7,-9.2,10.6,-0.3,-4.6,-7.9,14.7,0.1,-4.7,-7.1,13.1,3.9,-14.6,10.8,11.8,-2.5,-1.8,-9.5,4.5,-1.6,-1.8,-15.4,6.8,5.1,0.1,-8.3,9.7,-1.5,0.1,-9.8,5.9,0.1,1.6,-5.7,6.1,8.5,-18,6,14.6,0.1,-1.5,-21.9,16.9,-1.5,3.8,-16.4,18.4,3.2,-0.3,-7.8,9.6,-3,0.2,-16.9,13,2.4,-28.2,7.4,21.2,-1.5,-4.2,-17.8,24.3,-7.9,0,-27.6,29.9,-4,7.4,-22.2,25.4,-0.2,-6.9,-23.4,30.3,-9.5,3.9,-22,29.6,-13.8,-18.6,5.4,21.8,-1.6,-5.8,-29.9,32,-0.3,10.3,-26.1,25,-16.5,14.4
"67","Equals: Federal Government current surplus or deficit (-), national income and product accounts (18-49)","56","M318561B",-0.8,3,0,-3.5,3.8,8.5,0.1,-2.8,0.5,0.6,-5.9,-9.6,-4.9,-3.7,-7,-11.2,-5.2,-0.5,-4.8,-12,-2.8,-1.8,-0.9,-5.7,-4.2,-0.3,1.3,-10.6,-15.5,-22.3,-11.2,-20.2,-16.8,-9.7,-7.7,-18.9,-13.9,1.9,-13.3,-19.8,-13.1,7.3,-8.7,-12.3,-4.3,13.2,-8.4,-11.9,-10.7,0.6,-21.5,-22.1,-14.7,7.7,-22.4,-24.3,-24.9,-10.2,-42.1,-55.4,-38.5,-35.1,-49.2,-51.1,-31.9,-26.8,-44.6,-64.9,-31.5,-29,-46.8,-69.9,-34.9,-36.4,-53,-67.8,-37.9,-1.4,-39.5,-69.1,-28.3,-6.8,-35.3,-67.1,-26.2,10.6,-38.5,-75.9,-45.1,-2.8,-49.7,-75.4,-39.1,-20.6,-55.6,-100,-71,-40.5,-78.2,-107.9,-60.1,-51.1,-66.3,-96.6,-44.5,-26.8,-52.4,-88.7,-37,-19.3,-52.6,-83.1,-37.1,18.2,-41,-76.9,-21.4,50.6,-16.4,-66.2,3.2,92.3,4.3,-55.9,14.2,109.7,22.5,-34.5,25,168.1,43.4,-29.6,19.6,157.1,-41,-63.6
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69"," 1. Consists largely of contributions for social insurance by residents of U.S. territories and Puerto Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70"," 2. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71"," 3. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72"," 4. Consists largely of U.S. Treasury receipts from sales of foreign currencies to Government agencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73"," 5. Taxes received from the rest of the world are included in receipts in the budget and netted against expenditures (transfer ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","payments) in the NIPA's.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75"," 6. Includes proprietary receipts that are netted against outlays in the budget and classified as receipts in the NIPA's.  Also ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
