"","Table 7#13# Chain-Type Quantity and Price Indexes for Gross Gove","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"94","      Net purchases of used structures","84"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","  State and local","85","B842RG",8.5,7.97,7.12,5.68,6.61,7.8,7.49,8.15,8.28,8.23,8.02,7.99,8.87,10.43,11.23,10.96,10.84,11.85,13.83,15.49,15.2,14.62,16.85,17.33,17.22,16.69,16.66,18.33,19.13,18.8,18.86,18.59,18.63,19.01,19.3,19.53,20.07,20.91,21.57,22.6,24.19,26.36,28.51,30.18,32.71,39.09,43.27,44.01,45.56,48.03,52.69,59.43,66.32,70.82,71.68,72.07,73.37,75.91,78.91,81.26,83.29,86.04,87.24,87.78,90.01,92.98,97.02,100,103.42,106.29,110.13,115.26,119.49
"96","    New","86","B843RG",8.53,7.99,7.14,5.69,6.67,7.87,7.55,8.22,8.34,8.29,8.08,8.03,8.92,10.51,11.31,11.02,10.85,11.85,13.81,15.48,15.19,14.59,16.83,17.31,17.19,16.65,16.61,18.31,19.13,18.79,18.85,18.57,18.62,19,19.3,19.52,20.06,20.9,21.57,22.58,24.18,26.4,28.58,30.24,32.76,39.25,43.46,44.16,45.65,48.07,52.71,59.47,66.4,70.94,71.79,72.14,73.43,75.96,78.96,81.3,83.31,86.07,87.27,87.81,90,92.94,96.99,100,103.43,106.29,110.1,115.24,119.45
"97","      Buildings","87","B844RG",6.81,6.31,5.47,4.54,4.46,5.13,5.05,5.3,6.14,6.31,6.22,6.43,7.01,7.45,7.96,8.31,8.83,10.18,12.7,14.04,13.74,13.72,15.42,15.82,15.9,15.57,15.84,17.13,17.77,17.31,18.18,18.32,18.32,18.52,18.6,18.83,19.28,19.91,20.45,21.35,23.24,24.93,27.05,28.9,31.32,34.98,38.42,39.58,42.12,45.99,51.01,56.72,62.06,66.03,67.91,70.27,72.32,74.78,77.48,80.38,83.26,86.05,87.4,87.89,90.65,93.87,97.64,100,103.32,107.11,111.68,116.59,121.11
"98","        Residential","88","B845RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11,7.63,7.7,8.39,9.08,9.68,10.67,11.45,12.44,14.04,15.25,15.47,15.87,16.97,17.47,17.58,17.69,18.14,18.63,18.72,18.73,18.86,18.9,18.88,19.01,18.85,18.9,19.24,19.9,20.33,21.33,23.4,24.11,25.42,27.02,29.7,32.83,35.84,38.07,42.12,48.04,53.7,59.57,64.32,66.88,67.39,69.23,70.58,73.52,76.58,79.43,82.37,84.58,84.98,85.85,89.83,94.4,98.19,100,102.91,105.5,110.28,115.59,120.54
"99","        Industrial","89"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","        Educational","90","B847RG",6.26,5.8,5.03,4.18,4.1,4.72,4.64,4.88,5.65,5.81,5.73,5.96,6.5,6.81,7.27,7.49,7.97,9.36,12.33,13.71,13.35,13.25,15.05,15.44,15.51,15.12,15.37,16.68,17.36,16.86,17.79,17.93,17.93,18.13,18.21,18.44,18.88,19.51,20.03,20.89,22.76,24.47,26.56,28.33,30.72,34.27,37.67,38.93,41.6,45.63,50.61,56.31,61.4,65.33,67.4,70.06,72.31,74.9,77.57,80.45,83.29,85.93,87.15,87.69,90.57,94.13,97.83,100,103.23,106.96,111.59,116.47,121.1
"101","        Hospital","91","B848RG",5.87,5.44,4.71,3.91,3.84,4.42,4.35,4.57,5.29,5.44,5.37,5.58,6.09,6.38,6.81,7.02,7.46,8.75,11.56,12.84,12.5,12.4,14.08,14.43,14.5,14.15,14.37,15.6,16.23,15.76,16.73,16.91,16.93,17.14,17.55,17.96,18.46,19.06,19.76,20.52,22.48,24.66,27.55,29.93,31.85,35.83,39.55,39.9,41.13,43.45,47.8,53.09,58.55,63.75,67.45,70.9,74.06,76.12,78.62,81.46,84.3,87.27,89.36,89.53,91.21,93.71,97.39,100,103.45,108.49,112.68,117.43,121.7
"102","        Other \4\","92","B849RG",6.5,6.01,5.21,4.33,4.25,4.89,4.81,5.05,5.85,6.01,5.93,6.17,6.73,7.04,7.69,8.31,8.93,9.71,12.8,14.23,13.84,13.75,15.62,16.01,16.1,15.7,15.95,17.32,18.02,17.5,18.47,18.61,18.61,18.82,18.91,19.14,19.61,20.23,20.8,21.77,23.55,25.38,27.57,29.42,31.92,35.76,39.2,40.2,42.65,46.25,51.33,57.09,62.81,66.9,68.57,70.57,72.44,74.73,77.4,80.34,83.25,86.27,87.85,88.25,90.78,93.46,97.33,100,103.48,107.38,111.88,116.83,121.12
"103","      Highways and streets","93","B851RG",10.6,9.85,8.76,6.68,8.34,9.67,9.34,10.26,9.5,9.17,8.92,8.66,9.91,12.91,14.58,13.32,12.74,13.65,15.56,17.43,16.83,15.18,18.59,19.12,18.4,17.37,16.88,19.09,19.91,19.45,19.35,18.61,18.7,19.3,19.81,20.03,20.7,21.83,22.62,23.83,25.22,28.18,30.35,31.48,34.27,44.94,48.91,47.67,47.08,47.45,51.3,59.55,69.79,76.6,75.23,72.44,72.97,76.43,81.1,82.47,83.03,86.08,87.61,87.66,88.57,90.93,95.88,100,103.93,105.91,109.56,115.09,119.31
"104","      Conservation and development","94","B857RG",8.9,8.64,7.96,6.75,8.02,9.15,9.14,9.41,10.1,10.11,10.09,10,10.17,10.61,11.22,12,12.69,13.25,15.06,16.87,17.4,16.41,17.43,18.51,19.03,18.76,18.38,19.79,21.27,21.19,20.8,20.66,20.93,21.2,21.54,21.83,22.37,23.09,23.97,25.02,26.43,28.17,30.42,32.75,34.8,39.11,46.65,49.95,53.09,50.42,55.31,60.9,66.86,71.74,73.17,74.07,75.35,76.38,77.32,79.24,82.48,85.44,88.11,89.58,91.08,93.97,97.15,100,102.92,104.94,106.36,109.83,112.05
"105","      Sewer systems","95","B858RG",6.65,6.57,6.05,5.12,5.28,6.39,6.22,6.99,7.42,7.76,7.5,7.59,8.01,8.26,8.19,9.63,9.37,9.89,11.3,12.95,13.31,14.02,14.94,15.38,16.23,16.57,17.16,18.41,19.58,20.15,17.14,17.17,17.34,17.84,18.21,18.54,18.79,19.42,20.04,20.9,22.31,24.14,26.85,29.86,32.13,36.69,41.43,44.18,47.48,52.13,57.39,63.78,68.05,69.81,72.18,74.59,76.38,77.88,79.05,81.56,84.02,85.61,85.27,86.82,90.81,95.31,97.88,100,102.32,104.17,106.43,112.25,116.49
"106","      Water systems","96","B859RG",6.88,6.79,6.26,5.29,5.47,6.61,6.44,7.23,7.67,8.02,7.75,7.85,8.29,8.55,8.46,9.96,9.69,10.22,11.66,13.37,13.75,14.49,15.45,15.9,16.79,17.14,17.76,19.05,20.26,20.85,20.42,20.61,20.72,20.59,20.53,20.33,20.91,21.43,21.77,22.69,23.6,25.01,27.13,29.25,31.38,36.42,43.46,45.76,47.48,52.18,57.53,63.72,68.05,69.83,72.19,74.72,76.38,77.88,79.09,81.56,83.98,85.62,85.27,86.72,90.9,95.34,97.88,100,102.31,104.21,106.42,112.24,116.53
"107","      Other \5\","97","B860RG",8.57,8.17,7.84,7.03,7.85,11.53,9.48,10.46,11.35,11.35,10.95,10.7,11.44,12.16,10.87,10.37,11.01,12.74,14.6,16.43,16.37,15.02,17.22,18.05,17.89,17.28,16.83,18.59,19.64,19.4,19.44,19.23,19.07,19.31,19.61,20.06,20.53,21.41,22.36,23.27,24.9,27.44,29.43,30.94,33.12,41.03,46.75,47.75,48.92,49.86,54.71,61.05,67.81,72.16,73.23,73.35,73.99,75.43,77.39,80.84,83.34,87.03,88.95,89.6,90.8,92.44,96.54,100,103.77,106.45,108.85,113.42,116.08
"108","    Net purchases of used structures","98","B870RG",7.06,6.78,5.99,5.02,4.84,5.48,5.47,5.74,6.46,6.54,6.48,6.75,7.42,8.24,8.95,9.12,9.69,11.02,13.67,14.86,14.8,14.97,16.44,16.9,17.03,16.99,17.3,18.24,18.57,18.43,18.43,18.45,18.34,18.43,18.68,18.98,19.51,20.28,20.93,22.08,23.51,24.3,25.77,27.63,30.21,33.41,36.66,38.74,42.16,47.23,52.73,58.66,63.57,66.68,67.51,69.68,71.41,74.19,77.12,79.98,82.89,85.28,86.06,86.73,90.3,94.14,98.02,100,103.04,106.24,110.95,115.97,120.98
"109","Equipment and software \2\","99","B871RG",27.61,26.95,25.37,24.84,24.04,24.94,27.83,26.33,26.88,26.12,25.99,26.75,29.78,26.2,25.46,23.6,21.74,24.13,26.89,28.64,29.38,30.3,32.65,32.66,32.06,32.8,34.1,36.91,38.59,38.89,39.09,39.15,39.39,40.21,40.92,41.31,40.88,41.44,42.73,44.59,46.26,48.98,51.38,53.83,55.03,58.41,63.23,67.62,71.99,76.74,80.17,85.04,91.78,97.33,99.52,100.79,99.45,96.31,93.69,93.67,95.02,96.45,98.3,98.18,99.34,100.43,101.3,100,97.23,94.31,93.43,93.29,92.45
"110","  Federal","100","B872RG",28.59,27.14,26.61,25.9,24.67,25.83,30.6,28.35,27.52,26.41,26.43,27.27,30.65,26.84,26.08,24.17,22.26,24.72,27.19,28.82,29.69,30.61,32.87,32.87,32.24,32.98,34.14,37.08,39.12,39.51,39.89,39.95,40.22,41.15,41.96,42.39,41.84,42.39,43.75,45.72,47.49,50.47,53.08,56.1,57.17,59.81,63.61,68.23,72.89,77.65,80.4,84.99,91.79,97.74,100.14,101.62,99.72,95.47,91.87,91.49,92.69,94.2,96.09,96.11,97.68,99.27,100.89,100,97.57,95.28,95.4,95.48,94.94
"111","    National defense","101","B873RG",24.75,22.57,21.84,21.04,19.51,21.33,22.63,22.44,25.12,25.43,25.59,24.93,28.22,23.85,23.26,21.5,19.83,22.49,25.56,27.34,28.22,29.11,31.41,31.34,30.73,31.53,32.67,35.58,37.56,37.9,38.15,38.12,38.41,39.28,39.98,40.01,40.02,40.57,41.78,43.6,45.34,47.81,50.3,53.69,54.64,56.85,60.25,65.11,69.91,75.35,77.91,82.61,89.65,96.02,99.01,100.81,98.56,93.65,89.51,88.76,89.88,91.41,93.41,93.92,95.9,98.13,100.15,100,97.86,95.75,95.96,95.67,94.4
"112","      Aircraft","102","B874RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.96,65.99,64.69,66.29,67.27,70.44,73.65,77.2,82.15,86.53,97.06,103.28,106.63,96.75,84.99,72.67,68.06,67.71,72.32,77.33,79.9,83.05,92.71,97.36,100,94.16,90.66,98.34,93.11,86.73
"113","      Missiles","103","B875RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.1,100.48,100.35,103.27,133.86,152.19,163.19,133.53,118.73,124.78,120.96,127.15,132.47,133.93,126.01,122.28,120.53,118.69,114.16,110.62,108.15,111.21,107.58,103.08,100,95.11,95.8,93.92,95.48,93.45
"114","      Ships","104","B876RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1,29.9,32.89,36.39,38.67,43.08,48.22,51.78,57.01,61.89,64.43,66.55,70.82,71.97,73.63,75.07,77.52,80.91,83.02,87.39,89.41,91.21,93.66,99.96,100,101.74,99.79,98.75,101.25,101.01
"115","      Vehicles","105","B877RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.58,31.43,31,33.31,40.05,43.53,46.46,48.16,55.4,75.22,92.17,90.52,82.09,81.58,76.06,82.38,82.87,84.22,85.21,87.45,90.5,94.4,97.73,98.66,100,100.41,98.44,99.22,97.35,95.72
"116","      Electronics and software","106","B878RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.72,86.27,94,99.64,102.25,106.89,109.59,115.62,118.99,124.41,126.76,125.05,122.23,119.41,115.68,113.2,112.97,112.4,111.72,111.71,107.16,106.27,104.6,103.87,100,95.92,91.52,89.71,89.71,89.12
"117","      Other equipment","107","B879RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.78,36.39,38.99,41.86,44.92,47.41,52.09,55.94,61.54,68.39,74.12,75.69,77.49,78.51,79.64,80.78,83.57,86.95,89.27,91.07,93.19,95.34,96.56,98.49,100,100.25,100.3,100.18,100.78,101.56
"118","    Nondefense","108","B880RG",28.78,28.4,28.38,28.09,27.79,28.36,34.21,31.15,28.29,26.39,26.32,28.41,31.69,36.54,30.55,36.22,29.56,29.24,30,31.05,31.72,32.58,33.83,35.19,34.56,32.4,32.43,32.12,33.46,34.74,40.88,44.66,43.91,45.48,47.41,51.43,47.25,47.73,49.98,52.65,54.28,60.61,63.64,64.15,65.83,70.88,76.69,79.02,82.28,83.36,86.97,90.59,95.74,98.96,98.18,98.04,98.1,98.18,98.34,100.1,101.62,102.96,104.29,102.36,102.53,102.19,102.67,100,96.97,94.38,94.34,95,95.58
"119","  State and local","109","B881RG",18.18,17.83,16.63,16.3,15.88,16.4,16.19,16.05,17.79,17.61,17.36,17.81,18.96,20.51,20.05,20.23,21.06,23.04,27.69,30.08,30.21,31.19,34.52,34.67,34.7,35.34,38.73,40.51,39.19,38.78,37.35,37.43,37.47,37.37,37.42,37.59,37.84,38.45,39.4,40.73,42.02,43.79,45.51,46.38,47.83,52.67,59.69,63.32,66.76,71.27,76.47,81.92,88.23,92.33,93.72,94.24,94.9,95.83,96.87,98.09,99.86,101.04,102.76,102.25,102.43,102.46,102,100,96.72,92.89,90.63,90.2,88.96
"120","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","  Government enterprise gross fixed investment","110","B882RG",7.49,7.29,6.74,5.8,6.14,7.56,7.03,7.72,8.26,8.4,8.16,8.2,8.89,7.67,7.52,7.67,9.55,10.42,11.91,13.27,13.46,13.56,14.71,15.17,15.41,15.38,15.65,16.86,17.64,17.7,17.41,17.4,17.41,22.65,22.91,23.27,20.09,23.32,24.05,24.17,25.71,27.68,29.77,31.67,33.89,39.28,44.67,46.87,49.38,52.95,58.07,64.45,70.21,73.6,74.73,76.01,77.32,79.02,80.8,83.48,86.17,88.8,89.93,90.68,92.99,95.57,98.51,100,101.94,103.21,105.12,108.77,111.07
"122","    Federal","111","B883RG",18.45,16.88,14.86,12.66,12.42,14.12,14.16,14.87,16.48,16.51,16.35,16.4,18.4,13.06,12.72,12.88,17.19,19.33,22.22,23.38,23.78,23.6,24.51,25.38,24.98,24,22.99,24.84,26.52,25.75,27.25,27.65,27.48,27.8,28.57,30.18,29.66,30.53,31.55,32.95,34.89,37.9,39.82,40.78,42.72,46.79,53.05,56.14,59.18,62.53,67.22,73.6,80.04,84.4,85.26,85.86,86.89,87.88,88.98,91.11,94.06,96.92,98.57,97.41,97.73,98.65,100.35,100,98.69,96.67,96.47,97.54,97.68
"123","      Structures","112","B884RG",9.16,8.37,7.34,6.14,6.02,6.87,6.88,7.23,8.01,8.03,7.95,7.98,8.44,8.62,8.83,9.62,9.57,11.21,13.79,15.03,15.12,14.56,15.87,16.78,17.16,16.87,16.61,18.02,19.14,18.71,18.91,18.87,18.97,19.25,19.45,19.73,20.17,20.82,21.63,22.55,24.04,25.61,27.69,29.77,31.65,34.72,40.65,43.73,46.48,49.48,54.04,60.02,65.83,70.42,71.94,73.16,74.69,76.04,77.39,80.03,83.17,86.15,88.16,89.17,91.04,94.21,97.43,100,103.14,106.12,109.57,113.91,117.14
"124","      Equipment and software","113","B885RG",31.58,29.95,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,38.28,22.86,22.22,22.48,35.85,36.58,36.28,35.48,37.06,38.8,38.33,39.21,37.76,35.38,32.59,34.97,37.67,36.18,41.24,42.9,41.99,42.25,45.76,55.78,46.77,47.67,48.6,50.94,53.36,59.53,60.21,58.25,60.01,65.62,72.04,74.72,77.89,81.4,85.36,91.26,97.73,100.67,99.94,99.04,98.94,99.12,99.36,100.32,102.96,105.58,106.78,103.67,102.89,102.11,102.44,100,96.29,91.94,90.19,90.01,89.22
"125","    State and local","114","B886RG",6.32,6.16,5.71,4.92,5.27,6.54,6.05,6.66,7.11,7.24,7.02,7.06,7.62,8.16,8.19,8.78,8.82,9.58,10.94,12.25,12.42,12.55,13.7,14.12,14.41,14.44,14.75,15.9,16.6,16.71,16.32,16.28,16.3,21.77,21.97,22.2,18.89,22.24,22.93,22.95,24.43,26.27,28.35,30.35,32.59,38.14,43.41,45.47,47.9,51.51,56.68,63.03,68.69,71.93,73.1,74.47,75.81,77.59,79.46,82.2,84.85,87.44,88.49,89.57,92.24,95.09,98.23,100,102.44,104.26,106.58,110.75,113.48
"126","      Structures","115","B887RG",7.24,7.05,6.53,5.57,6.04,7.64,7.05,7.77,8.28,8.45,8.17,8.22,8.86,9.51,9.56,10.33,10.31,11.13,12.67,14.26,14.42,14.56,15.91,16.4,16.75,16.79,17.1,18.44,19.34,19.48,19.02,18.98,19.01,19.26,19.45,19.65,20.09,20.8,21.44,22.38,23.85,25.67,27.77,29.84,32.17,37.85,42.92,44.82,47.16,50.72,55.87,62.19,67.72,70.85,71.9,73.2,74.45,76.2,78.1,80.94,83.5,86.08,86.83,87.8,90.6,93.63,97.16,100,103.17,105.74,108.72,113.92,117.55
"127","      Equipment and software","116","B888RG",6.02,6.05,5.6,5.7,5.28,4.98,4.93,5.07,5.92,5.65,5.95,5.8,6.57,6.61,6.5,6.16,6.67,8.05,9.73,9.92,10.58,10.76,11.65,11.8,11.95,11.96,13,13.78,13.31,13.22,12.8,12.76,12.81,50.66,50.95,51.21,15.46,44.65,46.03,28.09,29.25,30.87,32.13,32.99,34.02,37.36,44.46,48.25,51.48,55.39,60.04,66.06,72.7,76.81,79.01,80.84,82.85,84.79,86.33,88.08,91.34,93.95,97.13,98.98,100.69,102.44,103.4,100,98.86,97.45,97.16,97.41,96.85
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129"," 1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130"," 2. Structures and software include compensation of government employees engaged in new own-account investment and related ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132"," 3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133"," 4. Consists primarily of general office buildings, police and fire stations, courthouses, auditoriums, garages, and passenger ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135"," 5. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
