"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRC1","125.0","132.0","147.0","125.0","97.0","96.0","96.0","110.0","135.0","150.0","153.0","157.0","165.0","177.0","191.0","212.0","239.0","220.0","265.0","311.0","332.0","362.0","406.0","443.0","482.0","523.0","575.0","640.0","717.0","794.0","886.0","989.0","1,118.0","1,242.0","1,352.0","1,449.0","1,565.0","1,693.0","1,820.0","1,993.0","2,193.0"
"121","103","        Commercial and vocational schools (99)","DVEDRC1","180.0","172.0","146.0","118.0","99.0","95.0","100.0","104.0","113.0","109.0","106.0","104.0","131.0","178.0","224.0","192.0","165.0","198.0","218.0","243.0","265.0","288.0","317.0","340.0","363.0","380.0","423.0","469.0","510.0","548.0","572.0","589.0","545.0","574.0","634.0","674.0","756.0","929.0","1,123.0","1,287.0","1,419.0"
"122","104","      Professional and other services (121)","DPRSRC1","1,166.0","1,081.0","1,007.0","846.0","807.0","899.0","952.0","1,020.0","1,144.0","1,126.0","1,171.0","1,213.0","1,321.0","1,397.0","1,552.0","1,641.0","1,721.0","1,824.0","2,004.0","2,147.0","2,247.0","2,326.0","2,588.0","2,687.0","2,859.0","3,012.0","3,201.0","3,350.0","3,705.0","4,001.0","4,323.0","4,535.0","4,854.0","5,131.0","5,483.0","5,785.0","6,230.0","6,855.0","7,274.0","7,842.0","8,620.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC1","1,789.0","1,679.0","1,435.0","1,133.0","977.0","1,083.0","1,183.0","1,305.0","1,454.0","1,411.0","1,434.0","1,522.0","1,717.0","1,978.0","2,411.0","2,658.0","2,899.0","3,349.0","3,614.0","3,757.0","3,756.0","3,828.0","4,069.0","4,316.0","4,584.0","4,843.0","5,055.0","5,417.0","5,732.0","5,839.0","6,201.0","6,439.0","6,746.0","7,063.0","7,234.0","7,690.0","8,188.0","8,907.0","9,516.0","10,101.0","10,301.0"
"124","106","      Social services and religious activities (120)","DSOCRC1","356.0","356.0","327.0","278.0","250.0","258.0","263.0","284.0","299.0","296.0","303.0","326.0","348.0","394.0","455.0","523.0","548.0","617.0","649.0","699.0","700.0","739.0","798.0","901.0","965.0","1,039.0","1,097.0","1,231.0","1,310.0","1,411.0","1,570.0","1,617.0","1,683.0","1,676.0","1,796.0","2,099.0","2,350.0","2,685.0","3,048.0","3,292.0","3,602.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRC1","1,885.0","1,647.0","1,301.0","971.0","860.0","987.0","1,059.0","1,176.0","1,363.0","1,204.0","1,315.0","1,410.0","1,457.0","1,734.0","1,905.0","2,256.0","2,557.0","2,556.0","2,831.0","2,892.0","2,890.0","3,152.0","3,306.0","3,315.0","3,453.0","3,370.0","3,914.0","4,195.0","4,303.0","4,535.0","4,707.0","4,995.0","4,931.0","5,023.0","5,055.0","5,256.0","5,480.0","5,737.0","6,060.0","6,458.0","6,769.0"
"126","108","      Net foreign travel","DFORRC1","490.0","479.0","347.0","265.0","188.0","191.0","197.0","246.0","293.0","244.0","189.0","67.0","95.0","6.0","3.0","6.0","64.0","90.0","179.0","328.0","399.0","439.0","356.0","407.0","471.0","528.0","626.0","704.0","741.0","854.0","1,060.0","1,203.0","1,191.0","1,437.0","1,636.0","1,585.0","1,786.0","1,841.0","2,409.0","2,188.0","2,390.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRC1","632.0","611.0","445.0","334.0","258.0","276.0","303.0","368.0","433.0","379.0","333.0","172.0","189.0","128.0","143.0","175.0","267.0","450.0","597.0","727.0","850.0","920.0","924.0","1,044.0","1,174.0","1,263.0","1,456.0","1,624.0","1,738.0","1,900.0","2,111.0","2,313.0","2,340.0","2,583.0","2,840.0","2,988.0","3,346.0","3,606.0","4,249.0","4,200.0","4,717.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC1","142.0","132.0","98.0","69.0","70.0","85.0","106.0","122.0","140.0","135.0","144.0","105.0","94.0","122.0","140.0","169.0","203.0","360.0","418.0","399.0","451.0","481.0","568.0","637.0","703.0","735.0","830.0","920.0","997.0","1,046.0","1,051.0","1,110.0","1,149.0","1,146.0","1,204.0","1,403.0","1,560.0","1,765.0","1,840.0","2,012.0","2,327.0"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","1,283.0","1,293.0","1,209.0","1,037.0","911.0","905.0","899.0","937.0","955.0","978.0","991.0","1,056.0","1,115.0","1,263.0","1,481.0","1,669.0","1,737.0","1,978.0","2,124.0","2,319.0","2,355.0","2,475.0","2,645.0","2,947.0","3,091.0","3,307.0","3,464.0","3,897.0","4,155.0","4,492.0","5,060.0","5,276.0","5,465.0","5,707.0","6,000.0","6,694.0","7,192.0","7,751.0","8,421.0","9,346.0","10,082.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,104.0","15,051.0","16,002.0","17,160.0","18,570.0","20,511.0","22,309.0","24,635.0","27,350.0","30,901.0","34,648.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,044.0","9,775.0","10,537.0","11,453.0","12,570.0","13,817.0","15,117.0","16,884.0","18,929.0","21,555.0","24,566.0"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
