"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"45","26","  Gross government investment","A782RC1","45,359.0","43,391.0","43,601.0","40,720.0","42,797.0","42,619.0","44,078.0","44,814.0","41,664.0","41,771.0","42,330.0","41,271.0","42,290.0","42,895.0","41,093.0","44,284.0","47,510.0","46,712.0","45,630.0","47,532.0","51,482.0","56,522.0","57,978.0","59,045.0","62,642.0","58,055.0","63,888.0","67,817.0","70,448.0","65,849.0","65,307.0","63,976.0","66,879.0","69,065.0","67,598.0","66,471.0","66,420.0","77,008.0","80,671.0","84,168.0","79,107.0","85,413.0","93,692.0","95,686.0","101,744.0","99,905.0","97,871.0","101,492.0","107,597.0","105,463.0","105,208.0","109,270.0","106,746.0","112,824.0","112,275.0","117,412.0","117,879.0","119,734.0","125,803.0","127,987.0","132,963.0","137,050.0","139,129.0","148,267.0","149,149.0","157,945.0","165,010.0","163,105.0","165,054.0","170,507.0","181,109.0","176,234.0","178,888.0","183,660.0","187,910.0","186,663.0","181,507.0","186,329.0","186,317.0","190,442.0","191,117.0","195,076.0","202,181.0","202,303.0","212,443.0","213,729.0","215,821.0","221,004.0","216,444.0","221,271.0","221,978.0","221,505.0","227,096.0","224,616.0","221,310.0","219,398.0","215,943.0","220,901.0","219,033.0","221,842.0","210,567.0","217,345.0","228,955.0","226,796.0","230,960.0","235,058.0","231,388.0","232,987.0","239,296.0","242,372.0","245,915.0","249,321.0","253,774.0","253,009.0","253,897.0","248,770.0","246,615.0","258,599.0","273,044.0","273,153.0","276,526.0","283,688.0","289,073.0","300,152.0","303,417.0","300,850.0","305,278.0","307,757.0","312,432.0","330,855.0","314,237.0","330,615.0","337,855.0","340,734.0","346,787.0","348,509.0","348,977.0","351,605.0","361,777.0","360,788.0","361,341.0","372,203.0","377,938.0","378,000.0","377,639.0","387,379.0","396,641.0","406,401.0","409,677.0","427,391.0","427,573.0","435,580.0","443,822.0","455,037.0","460,219.0","466,761.0","474,976.0","495,880.0","508,018.0","509,810.0","503,103.0","511,211.0","509,551.0","497,659.0","490,769.0","506,859.0","513,111.0","510,545.0","483,629.0","478,231.0","486,341.0","484,933.0","478,011.0"
"46","27","    Federal","A787RC1","16,812.0","14,436.0","15,252.0","13,364.0","15,188.0","14,692.0","14,380.0","15,052.0","11,940.0","11,588.0","12,656.0","10,596.0","11,500.0","13,220.0","10,928.0","12,352.0","14,828.0","14,144.0","12,540.0","13,004.0","14,632.0","16,496.0","17,136.0","18,216.0","18,212.0","16,672.0","21,132.0","22,032.0","22,188.0","21,304.0","23,280.0","23,452.0","24,492.0","25,344.0","24,984.0","24,044.0","24,644.0","27,140.0","28,412.0","30,152.0","29,076.0","29,964.0","34,524.0","33,000.0","35,932.0","35,872.0","35,536.0","37,788.0","38,452.0","41,608.0","43,140.0","44,512.0","43,512.0","48,684.0","47,288.0","50,464.0","52,396.0","54,836.0","57,872.0","60,504.0","62,156.0","63,544.0","62,060.0","69,748.0","68,832.0","73,212.0","78,644.0","76,984.0","74,300.0","77,760.0","86,324.0","83,276.0","82,380.0","86,804.0","88,728.0","85,412.0","79,372.0","79,756.0","79,832.0","80,420.0","81,052.0","81,680.0","86,728.0","82,388.0","86,504.0","88,672.0","89,396.0","89,480.0","86,556.0","90,664.0","89,152.0","86,616.0","87,648.0","88,896.0","89,488.0","89,028.0","85,368.0","84,552.0","81,972.0","83,144.0","74,136.0","76,920.0","82,132.0","78,296.0","80,024.0","79,736.0","77,416.0","77,344.0","84,436.0","82,852.0","80,304.0","74,200.0","71,584.0","72,196.0","76,172.0","73,760.0","73,144.0","76,220.0","79,504.0","76,808.0","75,940.0","81,544.0","83,576.0","85,436.0","80,400.0","79,768.0","80,860.0","79,244.0","78,532.0","81,844.0","82,620.0","83,136.0","85,052.0","89,672.0","93,440.0","92,424.0","92,104.0","96,304.0","97,860.0","98,620.0","98,712.0","102,168.0","106,668.0","105,504.0","105,052.0","108,436.0","113,536.0","114,824.0","118,076.0","121,796.0","119,088.0","123,792.0","121,256.0","128,324.0","130,024.0","130,104.0","134,100.0","147,272.0","154,392.0","157,700.0","150,116.0","156,080.0","159,840.0","158,256.0","161,284.0","168,528.0","170,820.0","174,680.0","160,852.0","159,628.0","164,000.0","158,548.0","152,516.0"
"47","28","    State and local","A799RC1","28,547.0","28,955.0","28,349.0","27,356.0","27,609.0","27,927.0","29,698.0","29,762.0","29,724.0","30,183.0","29,674.0","30,675.0","30,790.0","29,675.0","30,165.0","31,932.0","32,682.0","32,568.0","33,090.0","34,528.0","36,850.0","40,026.0","40,842.0","40,829.0","44,430.0","41,383.0","42,756.0","45,785.0","48,260.0","44,545.0","42,027.0","40,524.0","42,387.0","43,721.0","42,614.0","42,427.0","41,776.0","49,868.0","52,259.0","54,016.0","50,031.0","55,449.0","59,168.0","62,686.0","65,812.0","64,033.0","62,335.0","63,704.0","69,145.0","63,855.0","62,068.0","64,758.0","63,234.0","64,140.0","64,987.0","66,948.0","65,483.0","64,898.0","67,931.0","67,483.0","70,807.0","73,506.0","77,069.0","78,519.0","80,317.0","84,733.0","86,366.0","86,121.0","90,754.0","92,747.0","94,785.0","92,958.0","96,508.0","96,856.0","99,182.0","101,251.0","102,135.0","106,573.0","106,485.0","110,022.0","110,065.0","113,396.0","115,453.0","119,915.0","125,939.0","125,057.0","126,425.0","131,524.0","129,888.0","130,607.0","132,826.0","134,889.0","139,448.0","135,720.0","131,822.0","130,370.0","130,575.0","136,349.0","137,061.0","138,698.0","136,431.0","140,425.0","146,823.0","148,500.0","150,936.0","155,322.0","153,972.0","155,643.0","154,860.0","159,520.0","165,611.0","175,121.0","182,190.0","180,813.0","177,725.0","175,010.0","173,471.0","182,379.0","193,540.0","196,345.0","200,586.0","202,144.0","205,497.0","214,716.0","223,017.0","221,082.0","224,418.0","228,513.0","233,900.0","249,011.0","231,617.0","247,479.0","252,803.0","251,062.0","253,347.0","256,085.0","256,873.0","255,301.0","263,917.0","262,168.0","262,629.0","270,035.0","271,270.0","272,496.0","272,587.0","278,943.0","283,105.0","291,577.0","291,601.0","305,595.0","308,485.0","311,788.0","322,566.0","326,713.0","330,195.0","336,657.0","340,876.0","348,608.0","353,626.0","352,110.0","352,987.0","355,131.0","349,711.0","339,403.0","329,485.0","338,331.0","342,291.0","335,865.0","322,777.0","318,603.0","322,341.0","326,385.0","325,495.0"
"48","29","Capital account transactions (net) \1\","W167RC1","4.0","0.0","4.0","0.0","0.0","4.0","4.0","12.0","12.0","12.0","16.0","24.0","24.0","24.0","36.0","36.0","36.0","36.0","40.0","36.0","36.0","36.0","36.0","36.0","48.0","60.0","60.0","60.0","60.0","48.0","48.0","48.0","52.0","60.0","72.0","72.0","84.0","84.0","84.0","96.0","96.0","108.0","108.0","120.0","120.0","128.0","132.0","132.0","128.0","120.0","120.0","120.0","120.0","116.0","108.0","108.0","108.0","104.0","96.0","96.0","88.0","92.0","100.0","112.0","136.0","148.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","224.0","420.0","-5,944.0","192.0","2,640.0","212.0","448.0","200.0","172.0","3,612.0","1,068.0","228.0","236.0","-268.0","1,976.0","-268.0","216.0","204.0","204.0","212.0","284.0","576.0","680.0","364.0","216.0","196.0","272.0","236.0","280.0","272.0","304.0","17,012.0","384.0","372.0","436.0","180.0","228.0","208.0","-52,520.0","324.0","364.0","368.0","640.0","628.0","616.0","5,360.0","2,284.0","232.0","484.0","232.0","-12,416.0","524.0","8,900.0","596.0","-61,192.0","280.0","5,156.0","2,224.0","280.0","600.0","256.0","-1,500.0","520.0","364.0","384.0","440.0","-23,800.0","1,340.0","436.0","480.0","596.0","740.0","484.0","548.0","1,168.0","540.0","544.0","3,680.0","424.0","480.0","....."
"49","30","  Private","W999RC1","3,343.0","3,549.0","3,420.0","3,511.0","3,796.0","3,940.0","3,548.0","3,929.0","5,628.0","3,114.0","3,399.0","5,709.0","5,641.0","3,900.0","4,875.0","8,228.0","10,646.0","5,408.0","9,222.0","6,393.0","8,452.0","18,240.0","3,823.0","8,913.0","4,487.0","4,859.0","4,769.0","4,594.0","5,545.0","8,054.0","9,594.0","7,435.0","12,323.0","7,030.0","9,376.0","7,114.0","5,331.0","8,495.0","4,324.0","5,976.0","8,107.0","5,632.0","8,201.0","11,786.0","8,754.0","5,900.0","9,173.0","19,238.0","6,322.0","12,307.0","20,368.0","11,376.0","12,665.0","9,030.0","8,218.0","16,036.0","5,986.0","20,790.0","11,732.0","5,205.0","9,051.0","11,890.0","9,839.0","8,000.0","5,818.0","5,727.0","10,695.0","5,820.0","6,036.0","13,742.0","6,699.0","10,829.0","6,641.0","6,582.0","7,493.0","6,548.0","6,141.0","3,645.0","9,695.0","8,144.0","6,796.0","9,322.0","8,046.0","8,815.0","8,474.0","14,342.0","11,131.0","9,074.0","9,496.0","8,931.0","10,459.0","9,377.0","9,645.0","8,855.0","3,816.0","10,388.0","10,465.0","11,300.0","11,559.0","13,027.0","14,343.0","16,052.0","11,912.0","13,233.0","12,435.0","14,238.0","41,590.0","14,308.0","16,035.0","16,898.0","17,765.0","32,812.0","20,894.0","47,614.0","23,212.0","23,514.0","27,324.0","35,909.0","30,103.0","29,020.0","27,369.0","28,758.0","27,465.0","30,173.0","27,363.0","28,593.0","26,289.0","26,802.0","30,521.0","29,138.0","-24,456.0","23,776.0","23,281.0","21,410.0","21,677.0","3,654.0","5,720.0","1,114.0","-3,415.0","3,474.0","1,754.0","2,848.0","-29,909.0","3,130.0","3,508.0","4,029.0","-118,209.0","-19,865.0","9,477.0","6,745.0","3,641.0","56,204.0","-8,687.0","-6,424.0","-12,071.0","-12,990.0","-8,145.0","11,346.0","-45,382.0","-241,740.0","-216,141.0","-160,791.0","-80,905.0","-116,224.0","-95,062.0","-128,004.0","-58,182.0","-60,110.0","-67,821.0","-87,287.0","-85,277.0","-97,142.0","....."
"50","31","    Domestic business","W989RC1","-382.0","-491.0","-416.0","-377.0","-238.0","-54.0","-256.0","77.0","1,817.0","-686.0","-756.0","-716.0","-822.0","-853.0","-292.0","2,479.0","4,679.0","600.0","4,241.0","1,033.0","3,129.0","13,260.0","-885.0","4,492.0","45.0","-99.0","-455.0","-603.0","152.0","2,355.0","3,735.0","802.0","-636.0","338.0","2,909.0","913.0","-618.0","2,628.0","-1,629.0","-61.0","1,966.0","-357.0","2,074.0","5,198.0","1,965.0","-1,417.0","1,304.0","11,768.0","-807.0","4,741.0","12,446.0","3,221.0","2,911.0","435.0","-21.0","9,234.0","-401.0","14,302.0","4,847.0","-291.0","2,388.0","5,805.0","3,865.0","1,990.0","-720.0","-384.0","3,936.0","-323.0","-754.0","6,620.0","-831.0","3,759.0","-920.0","-762.0","-144.0","-238.0","-1,108.0","-3,366.0","1,426.0","-124.0","-1,174.0","452.0","4,735.0","1,042.0","-996.0","-120.0","-71.0","-1,636.0","-1,773.0","-1,774.0","-1,762.0","2,805.0","-1,826.0","-1,837.0","32,506.0","-1,807.0","2,049.0","-1,739.0","-1,233.0","-1,777.0","17,426.0","-762.0","-3,143.0","-1,674.0","-2,094.0","26.0","25,814.0","2,406.0","-662.0","-1,359.0","-1,799.0","13,471.0","-158.0","25,944.0","537.0","319.0","2,085.0","9,533.0","3,382.0","1,356.0","-1,441.0","-1,250.0","-489.0","-1,791.0","-1,898.0","-648.0","-2,286.0","-1,421.0","1,693.0","8,479.0","-38,674.0","-2,616.0","-3,133.0","-2,917.0","-3,588.0","-3,255.0","-288.0","-2,382.0","-6,584.0","-2,505.0","-2,852.0","-2,055.0","13,918.0","-1,678.0","-1,482.0","-553.0","7,484.0","-11,328.0","-1,085.0","1,424.0","-1,723.0","51,431.0","-1,050.0","-164.0","-4,784.0","-890.0","4,720.0","20,899.0","4,871.0","-235,246.0","-202,780.0","-145,195.0","37,569.0","-32,314.0","-11,474.0","-88,517.0","-31,046.0","5,303.0","-23,804.0","-46,034.0","-37,575.0","-64,672.0","....."
"51","32","    Households and institutions","W990RC1","3,725.0","4,040.0","3,836.0","3,888.0","4,034.0","3,994.0","3,804.0","3,852.0","3,811.0","3,800.0","4,155.0","6,425.0","6,463.0","4,753.0","5,167.0","5,749.0","5,967.0","4,808.0","4,981.0","5,360.0","5,323.0","4,980.0","4,708.0","4,421.0","4,442.0","4,958.0","5,224.0","5,197.0","5,393.0","5,699.0","5,859.0","6,633.0","12,959.0","6,692.0","6,467.0","6,201.0","5,949.0","5,867.0","5,953.0","6,037.0","6,141.0","5,989.0","6,127.0","6,588.0","6,789.0","7,317.0","7,869.0","7,470.0","7,129.0","7,566.0","7,922.0","8,155.0","9,754.0","8,595.0","8,239.0","6,802.0","6,387.0","6,488.0","6,885.0","5,496.0","6,663.0","6,085.0","5,974.0","6,010.0","6,538.0","6,111.0","6,759.0","6,143.0","6,790.0","7,122.0","7,530.0","7,070.0","7,561.0","7,344.0","7,637.0","6,786.0","7,249.0","7,011.0","8,269.0","8,268.0","7,970.0","8,870.0","3,311.0","7,773.0","9,470.0","14,462.0","11,202.0","10,710.0","11,269.0","10,705.0","12,221.0","6,572.0","11,471.0","10,692.0","-28,690.0","12,195.0","8,416.0","13,039.0","12,792.0","14,804.0","-3,083.0","16,814.0","15,055.0","14,907.0","14,529.0","14,212.0","15,776.0","11,902.0","16,697.0","18,257.0","19,564.0","19,341.0","21,052.0","21,670.0","22,675.0","23,195.0","25,239.0","26,376.0","26,721.0","27,664.0","28,810.0","30,008.0","27,954.0","31,964.0","29,261.0","29,241.0","28,575.0","28,223.0","28,828.0","20,659.0","14,218.0","26,392.0","26,414.0","24,327.0","25,265.0","6,909.0","6,008.0","3,496.0","3,169.0","5,979.0","4,606.0","4,903.0","-43,827.0","4,808.0","4,990.0","4,582.0","-125,693.0","-8,537.0","10,562.0","5,321.0","5,364.0","4,773.0","-7,637.0","-6,260.0","-7,287.0","-12,100.0","-12,865.0","-9,553.0","-50,253.0","-6,494.0","-13,361.0","-15,596.0","-118,474.0","-83,910.0","-83,588.0","-39,487.0","-27,136.0","-65,413.0","-44,017.0","-41,253.0","-47,702.0","-32,470.0","....."
"52","33","  Government","W991RC1","-3,339.0","-3,549.0","-3,416.0","-3,512.0","-3,796.0","-3,935.0","-3,544.0","-3,917.0","-5,616.0","-3,102.0","-3,382.0","-5,684.0","-5,617.0","-3,877.0","-4,839.0","-8,191.0","-10,607.0","-5,372.0","-9,181.0","-6,356.0","-8,416.0","-18,204.0","-3,787.0","-8,877.0","-4,439.0","-4,798.0","-4,708.0","-4,535.0","-5,484.0","-8,006.0","-9,544.0","-7,386.0","-12,272.0","-6,970.0","-9,304.0","-7,042.0","-5,247.0","-8,410.0","-4,240.0","-5,879.0","-8,011.0","-5,523.0","-8,092.0","-11,666.0","-8,633.0","-5,772.0","-9,041.0","-19,106.0","-6,193.0","-12,187.0","-20,248.0","-11,256.0","-12,544.0","-8,914.0","-8,110.0","-15,928.0","-5,878.0","-20,685.0","-11,635.0","-5,110.0","-8,962.0","-11,797.0","-9,739.0","-7,890.0","-5,682.0","-5,579.0","-10,542.0","-5,685.0","-5,915.0","-13,634.0","-6,590.0","-10,721.0","-6,514.0","-6,447.0","-7,350.0","-6,405.0","-6,005.0","-3,513.0","-9,559.0","-8,011.0","-6,664.0","-9,178.0","-7,903.0","-7,843.0","-7,641.0","-14,190.0","-10,975.0","19,278.0","-5,056.0","-8,364.0","5,553.0","-9,201.0","-9,424.0","-8,433.0","-9,759.0","-10,196.0","-7,825.0","-11,089.0","-11,110.0","-12,828.0","-14,171.0","-12,441.0","-10,841.0","-13,007.0","-12,197.0","-14,506.0","-39,575.0","-14,574.0","-15,819.0","-16,695.0","-17,563.0","-32,603.0","-20,607.0","-47,036.0","-22,535.0","-23,150.0","-27,109.0","-35,712.0","-29,829.0","-28,782.0","-27,087.0","-28,486.0","-27,160.0","-13,159.0","-26,979.0","-28,222.0","-25,854.0","-26,625.0","-30,293.0","-28,928.0","-28,066.0","-23,453.0","-22,916.0","-21,041.0","-21,039.0","-3,028.0","-5,103.0","4,243.0","5,698.0","-3,242.0","-1,270.0","-2,617.0","17,500.0","-2,609.0","5,393.0","-3,436.0","57,019.0","20,144.0","-4,321.0","-4,521.0","-3,361.0","-55,605.0","8,943.0","4,923.0","12,591.0","13,355.0","8,529.0","-10,907.0","21,578.0","243,080.0","216,576.0","161,270.0","81,502.0","116,964.0","95,545.0","128,551.0","59,350.0","60,650.0","68,364.0","90,967.0","85,701.0","97,621.0","....."
"53","34","    Federal","W992RC1","2,488.0","2,332.0","2,260.0","2,552.0","1,840.0","1,348.0","1,260.0","816.0","-472.0","2,796.0","2,000.0","-608.0","-272.0","1,096.0","1,676.0","-2,568.0","-4,956.0","568.0","-4,072.0","-700.0","-996.0","-9,972.0","2,340.0","-1,480.0","3,724.0","2,576.0","5,692.0","5,648.0","4,272.0","1,544.0","1,016.0","3,848.0","-988.0","4,528.0","2,920.0","4,068.0","6,004.0","3,468.0","8,104.0","7,036.0","5,960.0","7,812.0","6,564.0","4,484.0","8,040.0","11,248.0","7,424.0","-1,948.0","10,308.0","3,992.0","-5,008.0","4,152.0","1,748.0","6,188.0","7,052.0","-888.0","10,616.0","-6,044.0","4,436.0","10,632.0","7,568.0","5,252.0","8,028.0","10,788.0","10,900.0","13,356.0","8,996.0","14,924.0","13,232.0","6,320.0","14,052.0","6,912.0","11,452.0","12,300.0","10,680.0","11,540.0","12,172.0","15,520.0","9,972.0","10,316.0","12,364.0","9,460.0","9,512.0","11,136.0","12,208.0","4,380.0","7,952.0","38,956.0","15,192.0","12,016.0","25,408.0","10,200.0","10,604.0","12,984.0","11,156.0","11,540.0","12,716.0","10,208.0","12,656.0","10,864.0","8,476.0","10,496.0","13,208.0","12,224.0","14,028.0","11,940.0","-14,644.0","10,928.0","12,384.0","10,628.0","9,332.0","-3,744.0","8,292.0","-17,344.0","7,212.0","6,052.0","-24.0","-8,668.0","-1,240.0","1,704.0","40.0","2,928.0","5,968.0","19,860.0","7,448.0","6,540.0","8,352.0","10,656.0","7,668.0","11,316.0","18,328.0","16,280.0","21,472.0","19,892.0","19,068.0","36,316.0","29,336.0","47,388.0","48,872.0","36,144.0","37,828.0","34,984.0","46,000.0","36,848.0","47,340.0","41,956.0","106,740.0","41,220.0","41,588.0","41,960.0","44,556.0","-10,828.0","48,720.0","50,792.0","61,752.0","58,916.0","53,796.0","38,236.0","73,076.0","292,016.0","260,164.0","209,404.0","142,520.0","175,956.0","144,884.0","192,136.0","132,784.0","129,556.0","125,496.0","151,172.0","149,228.0","159,060.0","....."
"54","35","    State and local","W993RC1","-5,827.0","-5,881.0","-5,676.0","-6,064.0","-5,636.0","-5,283.0","-4,804.0","-4,733.0","-5,144.0","-5,898.0","-5,382.0","-5,076.0","-5,345.0","-4,973.0","-6,515.0","-5,623.0","-5,651.0","-5,940.0","-5,109.0","-5,656.0","-7,420.0","-8,232.0","-6,127.0","-7,397.0","-8,163.0","-7,374.0","-10,400.0","-10,183.0","-9,756.0","-9,550.0","-10,560.0","-11,234.0","-11,284.0","-11,498.0","-12,224.0","-11,110.0","-11,251.0","-11,878.0","-12,344.0","-12,915.0","-13,971.0","-13,335.0","-14,656.0","-16,150.0","-16,673.0","-17,020.0","-16,465.0","-17,158.0","-16,501.0","-16,179.0","-15,240.0","-15,408.0","-14,292.0","-15,102.0","-15,162.0","-15,040.0","-16,494.0","-14,641.0","-16,071.0","-15,742.0","-16,530.0","-17,049.0","-17,767.0","-18,678.0","-16,582.0","-18,935.0","-19,538.0","-20,609.0","-19,147.0","-19,954.0","-20,642.0","-17,633.0","-17,966.0","-18,747.0","-18,030.0","-17,945.0","-18,177.0","-19,033.0","-19,531.0","-18,327.0","-19,028.0","-18,638.0","-17,415.0","-18,979.0","-19,849.0","-18,570.0","-18,927.0","-19,678.0","-20,248.0","-20,380.0","-19,855.0","-19,401.0","-20,028.0","-21,417.0","-20,915.0","-21,736.0","-20,541.0","-21,297.0","-23,766.0","-23,692.0","-22,647.0","-22,937.0","-24,049.0","-25,231.0","-26,225.0","-26,446.0","-24,931.0","-25,502.0","-28,203.0","-27,323.0","-26,895.0","-28,859.0","-28,899.0","-29,692.0","-29,747.0","-29,202.0","-27,085.0","-27,044.0","-28,589.0","-30,486.0","-27,127.0","-31,414.0","-33,128.0","-33,019.0","-34,427.0","-34,762.0","-34,206.0","-37,281.0","-37,961.0","-40,244.0","-46,394.0","-39,733.0","-44,388.0","-40,933.0","-40,107.0","-39,344.0","-34,439.0","-43,145.0","-43,174.0","-39,386.0","-39,098.0","-37,601.0","-28,500.0","-39,457.0","-41,947.0","-45,392.0","-49,721.0","-21,076.0","-45,909.0","-46,481.0","-47,917.0","-44,777.0","-39,777.0","-45,869.0","-49,161.0","-45,561.0","-45,267.0","-49,143.0","-51,498.0","-48,936.0","-43,588.0","-48,134.0","-61,018.0","-58,992.0","-49,339.0","-63,585.0","-73,434.0","-68,906.0","-57,132.0","-60,205.0","-63,527.0","-61,439.0","....."
"55","36","Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,905.0","-2,807.0","2,326.0","-2,706.0","-10,787.0","9,718.0","28,025.0","6,575.0","1,535.0","45.0","6,947.0","4,464.0","525.0","17,316.0","-14,151.0","-17,366.0","-8,010.0","-27,747.0","-48,012.0","-56,869.0","-78,633.0","-88,024.0","-90,545.0","-103,539.0","-89,560.0","-111,520.0","-121,434.0","-135,309.0","-128,447.0","-141,980.0","-150,341.0","-150,418.0","-151,079.0","-154,527.0","-154,202.0","-157,167.0","-127,014.0","-110,102.0","-106,603.0","-119,764.0","-106,837.0","-93,732.0","-81,818.0","-88,467.0","-90,892.0","-73,037.0","-82,546.0","-82,685.0","42,121.0","14,178.0","-29,066.0","-16,992.0","-22,041.0","-39,837.0","-46,785.0","-68,640.0","-59,192.0","-73,908.0","-77,025.0","-107,621.0","-92,267.0","-111,911.0","-121,909.0","-137,908.0","-118,658.0","-118,351.0","-101,012.0","-83,998.0","-102,282.0","-108,659.0","-132,829.0","-113,639.0","-131,450.0","-101,694.0","-122,724.0","-163,353.0","-164,293.0","-195,470.0","-224,087.0","-235,249.0","-243,973.0","-279,271.0","-313,364.0","-348,878.0","-386,011.0","-391,323.0","-430,052.0","-435,459.0","-423,121.0","-385,638.0","-360,193.0","-345,872.0","-406,860.0","-454,267.0","-457,819.0","-489,356.0","-533,908.0","-523,679.0","-515,911.0","-499,469.0","-536,822.0","-614,722.0","-620,003.0","-715,652.0","-703,481.0","-704,483.0","-673,487.0","-829,289.0","-794,719.0","-813,253.0","-853,605.0","-740,285.0","-794,232.0","-765,339.0","-682,506.0","-621,617.0","-709,654.0","-707,087.0","-672,106.0","-605,485.0","-382,804.0","-338,146.0","-391,181.0","-399,853.0","-482,357.0","-482,736.0","-489,068.0","-465,274.0","-494,040.0","-496,652.0","-442,662.0","-504,234.0","....."
"56","37","  Private","W994RC1","-2,273.0","-3,201.0","2,833.0","3,357.0","11,272.0","26,025.0","29,763.0","34,005.0","31,439.0","34,943.0","33,204.0","26,771.0","16,454.0","14,585.0","10,079.0","9,967.0","4,893.0","15,173.0","13,350.0","16,921.0","23,336.0","6,788.0","18,869.0","37,717.0","84,839.0","138,292.0","97,464.0","105,430.0","84,979.0","67,967.0","62,448.0","62,589.0","39,582.0","37,437.0","36,095.0","26,864.0","19,956.0","11,524.0","20,745.0","24,503.0","11,406.0","20,535.0","33,288.0","36,366.0","46,769.0","95,135.0","118,382.0","75,857.0","66,601.0","62,936.0","67,769.0","109,769.0","124,525.0","155,465.0","161,755.0","189,794.0","207,877.0","160,121.0","163,020.0","135,513.0","95,080.0","91,556.0","105,409.0","108,820.0","89,444.0","126,186.0","95,971.0","92,664.0","91,686.0","101,897.0","112,149.0","77,011.0","91,405.0","24,884.0","46,715.0","53,470.0","73,081.0","85,551.0","63,785.0","60,741.0","46,761.0","80,157.0","108,844.0","120,300.0","142,560.0","164,655.0","157,913.0","213,064.0","281,192.0","314,114.0","301,474.0","318,857.0","349,975.0","335,151.0","337,688.0","292,200.0","321,900.0","263,859.0","264,321.0","185,192.0","179,692.0","134,859.0","142,573.0","127,877.0","147,823.0","146,507.0","126,445.0","135,311.0","127,122.0","79,435.0","39,153.0","15,502.0","-8,114.0","-31,382.0","-70,633.0","-114,000.0","-175,048.0","-213,833.0","-257,905.0","-280,228.0","-301,203.0","-343,641.0","-384,666.0","-413,516.0","-559,923.0","-542,907.0","-569,857.0","-556,426.0","-517,656.0","-400,992.0","-152,124.0","-183,489.0","-39,071.0","-37,100.0","-33,824.0","-8,809.0","-23,866.0","42,130.0","109,605.0","12,293.0","31,358.0","-68,597.0","-93,961.0","-231,765.0","-300,539.0","-299,385.0","-210,813.0","-426,749.0","-505,216.0","-491,361.0","-528,327.0","-510,718.0","-454,031.0","-386,779.0","-247,897.0","-142,603.0","-97,331.0","263,929.0","284,273.0","603,992.0","1,126,340.0","1,389,450.0","1,255,657.0","1,203,402.0","1,079,005.0","1,126,378.0","1,010,768.0","1,089,594.0","972,460.0","1,038,706.0","1,018,004.0","894,431.0","....."
