"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"67","47","  Exports of nondurable goods","A339RC1","11,394.0","16,199.0","15,190.0","16,486.0","16,952.0","17,314.0","17,803.0","18,620.0","18,462.0","18,249.0","20,530.0","16,073.0","20,076.0","19,544.0","20,984.0","23,994.0","27,912.0","31,430.0","33,992.0","40,608.0","43,332.0","46,246.0","45,288.0","48,240.0","51,454.0","43,434.0","44,982.0","49,144.0","48,834.0","49,456.0","51,102.0","52,940.0","53,426.0","55,988.0","55,258.0","51,286.0","53,140.0","64,187.0","65,505.0","66,738.0","67,697.0","73,110.0","81,914.0","87,822.0","88,863.0","92,378.0","98,915.0","98,957.0","106,030.0","99,669.0","99,889.0","102,556.0","99,266.0","99,541.0","90,377.0","87,220.0","88,918.0","86,959.0","92,110.0","93,156.0","93,539.0","96,386.0","97,960.0","96,430.0","92,316.0","86,174.0","84,360.0","87,625.0","85,133.0","82,401.0","85,951.0","90,940.0","90,171.0","97,009.0","102,969.0","104,307.0","112,586.0","118,208.0","125,522.0","124,246.0","128,028.0","137,170.0","132,120.0","131,670.0","134,192.0","136,479.0","137,870.0","143,370.0","148,247.0","142,173.0","140,927.0","146,933.0","148,749.0","151,355.0","153,554.0","150,808.0","149,349.0","151,016.0","147,564.0","151,500.0","149,849.0","158,728.0","169,895.0","179,934.0","187,204.0","191,806.0","199,477.0","196,872.0","201,380.0","200,475.0","200,795.0","207,014.0","206,441.0","212,371.0","213,373.0","213,695.0","207,114.0","200,238.0","194,433.0","198,850.0","195,313.0","200,376.0","204,511.0","211,890.0","215,237.0","220,167.0","231,501.0","228,632.0","226,121.0","223,032.0","214,777.0","210,266.0","211,122.0","219,843.0","225,427.0","225,170.0","236,702.0","233,501.0","239,917.0","248,297.0","257,696.0","266,760.0","267,592.0","282,669.0","289,611.0","302,349.0","296,279.0","298,946.0","318,485.0","332,183.0","341,243.0","346,305.0","356,511.0","370,060.0","390,376.0","417,056.0","454,871.0","500,207.0","509,785.0","413,424.0","361,201.0","380,413.0","402,194.0","430,079.0","453,173.0","459,935.0","476,850.0","522,674.0","553,957.0","576,579.0","580,558.0","580,398.0","567,606.0","588,872.0","597,601.0","590,735.0","589,757.0","581,606.0","608,829.0","641,966.0","612,338.0","627,424.0"
"68","48","  Exports of agricultural goods \4\","B181RC1","4,096.0","7,072.0","6,280.0","6,932.0","6,772.0","7,132.0","7,512.0","8,080.0","7,952.0","7,632.0","8,556.0","7,184.0","8,592.0","8,596.0","9,412.0","11,456.0","14,788.0","16,852.0","18,296.0","21,972.0","22,924.0","22,984.0","20,752.0","22,980.0","25,060.0","19,592.0","21,252.0","23,068.0","22,360.0","23,060.0","23,860.0","24,240.0","24,848.0","26,060.0","23,536.0","22,884.0","24,892.0","32,346.0","32,085.0","30,260.0","28,971.0","32,961.0","38,587.0","41,337.0","38,942.0","40,227.0","44,699.0","44,304.0","48,192.0","43,590.0","41,792.0","42,803.0","39,466.0","41,560.0","35,062.0","32,945.0","34,952.0","35,206.0","39,346.0","39,033.0","39,202.0","38,246.0","38,449.0","37,824.0","32,753.0","29,036.0","27,447.0","29,284.0","28,024.0","25,098.0","26,754.0","28,818.0","25,541.0","27,807.0","32,959.0","31,794.0","35,419.0","37,193.0","40,857.0","39,643.0","40,864.0","43,122.0","40,203.0","40,132.0","42,354.0","41,755.0","40,042.0","36,716.0","39,241.0","38,581.0","40,380.0","42,220.0","42,880.0","43,412.0","45,459.0","44,541.0","43,549.0","44,227.0","42,618.0","44,015.0","43,460.0","44,946.0","47,547.0","52,433.0","54,951.0","55,528.0","59,739.0","58,745.0","63,343.0","62,669.0","60,558.0","59,509.0","57,980.0","58,359.0","58,353.0","59,182.0","56,453.0","53,096.0","49,707.0","53,367.0","47,289.0","49,256.0","52,183.0","49,893.0","51,466.0","52,367.0","54,707.0","52,667.0","54,298.0","54,646.0","55,622.0","54,992.0","54,385.0","54,414.0","55,038.0","54,209.0","57,334.0","58,310.0","62,247.0","65,646.0","64,150.0","63,128.0","60,530.0","63,963.0","63,111.0","65,997.0","64,195.0","66,241.0","69,870.0","72,042.0","73,469.0","76,097.0","80,610.0","84,938.0","97,202.0","105,710.0","116,948.0","126,555.0","125,872.0","102,496.0","92,547.0","101,913.0","101,064.0","108,396.0","113,561.0","107,155.0","117,285.0","137,887.0","145,559.0","142,380.0","136,189.0","136,006.0","132,228.0","144,332.0","159,849.0","143,570.0","147,834.0","137,363.0","144,801.0","163,043.0","155,377.0","153,422.0"
"69","49","  Exports of nonagricultural goods","A182RC1","27,967.0","33,374.0","33,680.0","35,576.0","36,644.0","38,444.0","37,762.0","37,801.0","38,565.0","38,737.0","40,465.0","35,693.0","41,848.0","41,100.0","43,108.0","46,232.0","50,436.0","55,708.0","58,940.0","66,092.0","72,192.0","80,552.0","82,912.0","88,680.0","89,876.0","88,872.0","88,540.0","93,700.0","94,656.0","96,024.0","98,840.0","102,896.0","101,476.0","105,280.0","107,100.0","102,456.0","104,951.0","118,261.0","121,542.0","135,290.0","141,896.0","145,946.0","152,667.0","166,700.0","183,037.0","187,473.0","187,818.0","195,211.0","199,053.0","205,159.0","199,908.0","200,326.0","192,840.0","192,316.0","183,456.0","172,556.0","174,740.0","173,895.0","174,972.0","184,051.0","185,141.0","191,712.0","195,952.0","198,619.0","199,349.0","199,709.0","194,724.0","197,652.0","196,464.0","202,770.0","203,065.0","214,794.0","217,443.0","230,998.0","239,121.0","256,554.0","275,822.0","291,306.0","297,830.0","310,149.0","319,620.0","336,468.0","338,836.0","339,755.0","353,874.0","358,878.0","366,295.0","373,146.0","381,415.0","388,516.0","391,250.0","398,938.0","406,802.0","405,377.0","415,095.0","417,666.0","416,817.0","422,685.0","419,937.0","437,045.0","440,664.0","460,307.0","486,254.0","497,872.0","516,615.0","527,655.0","546,012.0","550,521.0","553,803.0","558,518.0","565,910.0","590,828.0","610,883.0","642,615.0","659,182.0","652,994.0","651,713.0","630,610.0","626,868.0","648,447.0","640,772.0","648,044.0","664,947.0","694,505.0","710,746.0","738,953.0","768,077.0","760,032.0","745,006.0","709,309.0","662,216.0","639,244.0","636,124.0","663,888.0","674,791.0","659,797.0","665,476.0","666,303.0","677,379.0","712,982.0","739,088.0","765,987.0","780,063.0","800,623.0","827,247.0","858,985.0","864,811.0","895,737.0","940,157.0","968,580.0","983,482.0","1,014,577.0","1,030,919.0","1,057,287.0","1,085,658.0","1,123,355.0","1,163,494.0","1,238,627.0","1,249,944.0","1,071,278.0","919,537.0","908,997.0","973,136.0","1,054,876.0","1,095,119.0","1,149,279.0","1,170,702.0","1,227,380.0","1,270,428.0","1,325,294.0","1,351,572.0","1,360,016.0","1,377,877.0","1,386,410.0","1,378,691.0","1,385,634.0","1,380,567.0","1,405,872.0","1,420,854.0","1,450,932.0","1,419,878.0","1,463,644.0"
"70","50","  Imports of durable goods","A333RC1","17,264.0","22,168.0","21,818.0","21,778.0","21,658.0","22,418.0","23,088.0","23,936.0","25,048.0","27,200.0","27,430.0","26,730.0","32,016.0","31,938.0","33,096.0","36,110.0","38,926.0","40,444.0","41,170.0","42,672.0","44,458.0","49,908.0","53,572.0","53,346.0","47,748.0","43,104.0","44,838.0","46,866.0","52,304.0","55,636.0","58,892.0","60,424.0","62,898.0","68,077.0","70,601.0","75,198.0","82,646.0","88,504.0","90,817.0","94,136.0","95,568.0","99,784.0","99,710.0","106,727.0","114,440.0","109,693.0","107,432.0","116,164.0","119,195.0","126,281.0","125,502.0","133,217.0","129,965.0","129,174.0","125,373.0","116,006.0","132,818.0","139,324.0","149,642.0","167,508.0","181,574.0","192,053.0","196,808.0","199,321.0","195,689.0","202,111.0","204,566.0","214,294.0","221,517.0","239,083.0","245,327.0","249,250.0","250,291.0","261,554.0","264,829.0","280,059.0","284,282.0","289,534.0","293,799.0","311,496.0","312,446.0","314,913.0","304,661.0","309,113.0","309,080.0","315,475.0","316,855.0","316,688.0","309,867.0","308,347.0","318,200.0","325,682.0","334,638.0","342,300.0","350,983.0","358,880.0","370,375.0","380,258.0","387,425.0","407,530.0","419,478.0","444,838.0","462,162.0","489,701.0","501,114.0","514,643.0","512,371.0","514,903.0","525,064.0","529,709.0","539,093.0","539,713.0","563,406.0","582,352.0","600,502.0","607,850.0","624,949.0","633,420.0","631,182.0","661,347.0","676,473.0","703,241.0","730,049.0","753,612.0","790,106.0","818,404.0","843,629.0","839,500.0","808,555.0","761,266.0","738,459.0","722,397.0","743,372.0","776,623.0","788,158.0","788,704.0","780,016.0","795,283.0","800,069.0","849,911.0","874,424.0","931,537.0","955,482.0","984,684.0","1,000,188.0","1,019,050.0","1,024,725.0","1,058,812.0","1,105,916.0","1,122,405.0","1,138,969.0","1,157,410.0","1,167,432.0","1,171,630.0","1,189,595.0","1,176,328.0","1,194,170.0","1,219,597.0","1,189,340.0","1,048,701.0","865,492.0","827,352.0","899,045.0","983,222.0","1,015,915.0","1,094,412.0","1,141,270.0","1,176,117.0","1,207,363.0","1,218,780.0","1,254,732.0","1,273,909.0","1,320,657.0","1,335,584.0","1,327,909.0","1,330,452.0","1,332,053.0","1,359,069.0","1,367,244.0","1,383,697.0","1,381,829.0","1,457,268.0"
"71","51","  Imports of nondurable goods","A340RC1","13,508.0","16,948.0","16,718.0","17,050.0","17,690.0","17,650.0","18,092.0","18,888.0","18,328.0","20,240.0","22,210.0","19,014.0","23,076.0","22,154.0","24,192.0","25,154.0","27,534.0","29,596.0","30,930.0","36,100.0","44,374.0","56,480.0","57,028.0","58,914.0","53,188.0","49,160.0","53,934.0","57,162.0","61,236.0","65,688.0","70,028.0","74,320.0","84,726.0","85,073.0","82,569.0","81,374.0","87,688.0","86,629.0","88,589.0","90,630.0","96,613.0","104,291.0","117,065.0","131,389.0","145,215.0","138,774.0","126,714.0","135,848.0","150,990.0","145,492.0","134,990.0","135,589.0","127,658.0","116,670.0","131,831.0","125,489.0","109,690.0","123,437.0","136,209.0","132,081.0","140,880.0","145,870.0","143,048.0","145,709.0","129,699.0","142,314.0","135,954.0","148,551.0","136,188.0","126,017.0","129,432.0","133,210.0","139,246.0","147,509.0","157,969.0","157,620.0","157,204.0","156,145.0","157,322.0","158,718.0","169,540.0","175,800.0","172,786.0","179,907.0","201,296.0","180,328.0","189,428.0","203,132.0","187,100.0","182,676.0","182,236.0","188,773.0","188,832.0","195,582.0","202,877.0","205,615.0","205,490.0","209,887.0","204,684.0","205,394.0","207,745.0","217,184.0","233,498.0","232,643.0","244,350.0","249,612.0","247,348.0","245,453.0","259,462.0","268,688.0","275,316.0","292,746.0","298,053.0","289,607.0","297,867.0","302,980.0","295,851.0","293,456.0","291,316.0","291,482.0","302,022.0","321,304.0","348,295.0","369,840.0","404,081.0","413,972.0","440,494.0","455,708.0","456,645.0","428,334.0","407,379.0","383,735.0","380,201.0","421,087.0","437,180.0","462,011.0","495,069.0","483,320.0","487,961.0","493,140.0","535,568.0","561,933.0","577,615.0","625,010.0","641,811.0","663,159.0","704,397.0","765,348.0","750,019.0","777,787.0","802,591.0","743,527.0","775,020.0","810,236.0","825,513.0","899,323.0","971,053.0","1,045,321.0","1,084,398.0","844,928.0","658,842.0","651,379.0","709,956.0","765,887.0","822,656.0","834,238.0","842,882.0","871,764.0","965,108.0","1,032,965.0","1,008,861.0","1,017,204.0","1,006,522.0","990,566.0","959,801.0","952,660.0","956,533.0","943,101.0","941,328.0","926,009.0","959,650.0","955,350.0"
"72","52","  Imports of nonpetroleum goods","A187RC1","28,296.0","36,412.0","35,928.0","36,020.0","36,388.0","37,216.0","38,420.0","39,688.0","40,544.0","43,948.0","45,668.0","41,440.0","50,816.0","49,748.0","52,480.0","56,092.0","60,324.0","62,640.0","63,752.0","66,996.0","70,200.0","77,256.0","81,720.0","82,472.0","74,036.0","67,544.0","71,476.0","74,872.0","82,848.0","87,940.0","93,344.0","96,108.0","99,640.0","108,010.0","108,998.0","113,940.0","126,928.0","134,839.0","136,015.0","141,644.0","144,721.0","151,673.0","150,258.0","162,777.0","171,977.0","166,852.0","162,744.0","174,652.0","182,731.0","189,586.0","187,391.0","198,056.0","190,711.0","192,840.0","190,760.0","180,049.0","198,786.0","208,242.0","220,751.0","242,579.0","264,377.0","278,216.0","283,291.0","287,177.0","281,303.0","289,768.0","291,018.0","305,552.0","315,931.0","333,825.0","343,084.0","350,070.0","353,986.0","368,661.0","372,354.0","392,301.0","401,270.0","404,370.0","411,837.0","432,496.0","433,622.0","437,984.0","428,000.0","435,911.0","441,049.0","446,314.0","448,031.0","447,705.0","439,679.0","440,710.0","450,348.0","465,185.0","476,755.0","487,533.0","499,349.0","509,753.0","519,805.0","535,355.0","544,367.0","565,588.0","581,420.0","612,853.0","637,131.0","670,743.0","688,408.0","707,403.0","704,492.0","705,376.0","720,836.0","727,386.0","741,205.0","749,379.0","778,003.0","804,019.0","831,339.0","842,173.0","862,398.0","875,468.0","875,216.0","906,307.0","929,032.0","959,054.0","997,478.0","1,030,802.0","1,071,598.0","1,114,026.0","1,157,485.0","1,158,222.0","1,133,834.0","1,075,374.0","1,042,697.0","1,017,170.0","1,037,196.0","1,087,639.0","1,112,370.0","1,122,979.0","1,125,396.0","1,144,568.0","1,149,973.0","1,203,205.0","1,241,058.0","1,317,954.0","1,344,736.0","1,382,820.0","1,417,215.0","1,441,518.0","1,450,951.0","1,515,107.0","1,551,747.0","1,572,507.0","1,593,375.0","1,614,329.0","1,645,629.0","1,655,369.0","1,670,150.0","1,657,174.0","1,696,223.0","1,744,724.0","1,719,535.0","1,532,512.0","1,301,696.0","1,238,971.0","1,319,958.0","1,429,709.0","1,484,737.0","1,573,561.0","1,637,783.0","1,688,586.0","1,730,769.0","1,770,941.0","1,803,747.0","1,824,871.0","1,856,852.0","1,878,886.0","1,880,169.0","1,870,876.0","1,886,264.0","1,920,489.0","1,916,797.0","1,934,913.0","1,953,596.0","2,047,799.0"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
