"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"130","118","  Excluding imputations (116-117)","W523RC1",63.3,72.1,76.5,86.6,118.2,155.5,165.1,180.7,195.3,232,297.5,359.1,396.8,382.7,375.4,421.1,410,425.9,481.3,590.9,676,735.2,757.7,778.4,802.2,895.8,1033,1105.2,1225.1,1230.8,1341.3,1510.7,1387,1363.9,1450.6,1684.1,1943.9,2262.1,2601.3,2772.1,2311.9,2653.1,2987.5,3095.5,3202.9,3322.5
"131","119","  Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,303.2,321,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953,992,1096.8,1026.7,1002.5,1040.3,1181.5,1308.9,1476.3,1664.6,1841.9,1587.7,1852.3,2106.4,2198.2,2263.3,2341.9
"132","120","    Imputations (174+180+186)","W512RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,6.2,6,5.3,5.3,5.2,4.6,4.5,5.6,6.9,8.2,8.1,7.5,7.5,7.1,6.7,7.2,6.1,6.2,6.6,7.2,7.1,8.3,8.3,9.6,9.4,9.3,11.5,12.5,12.5,13.9
"133","121","    Excluding imputations (119-120)","W513RC1",51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.8,804.7,860.1,946.3,945.8,985.3,1089.7,1020.7,996.3,1033.6,1174.3,1301.8,1468,1656.3,1832.4,1578.3,1843,2094.9,2185.7,2250.8,2328.1
"134","122","  Income receipts from the rest of the world","B645RC1",11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.7,111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,321.4,382.7,325.3,315.8,356.1,451.4,575.8,724.2,875.7,856.9,648.9,720,792.6,801.5,826.2,854.3
"135","123","    Imputations (-180+187)","W526RC1",-0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.1,-0.5,-0.7,-1.2,-2.1,-2.7,-3.6,-1.4,-0.5,-0.9,-0.3,0.5,0.7,0.6,0.8,0.9,1,1.1,1.3,1.5,1.5,1.3,1.3,1.8,2,2.5,3.7,4.4,5,6,3.3,5.9,6.7,8.6,8.8,7.1,5.3,6,5.8,4.9
"136","124","    Excluding imputations (122-123)","W527RC1",11.9,13,14.1,16.4,23.8,30.3,28.2,32.9,37.9,47.4,70.4,81.8,95.6,102.4,102.4,122.8,112.9,110.9,122.6,151.5,176.9,188,167.3,151,154.4,183,228.3,245.1,278.8,285,319.4,380.2,321.6,311.4,351.1,445.5,572.5,718.3,869,848.3,640.1,712.9,787.3,795.6,820.4,849.3
"137","125","  Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world \1\","LA0000351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,40.8,44.8,56.3,65.8,64.3,69.6,75.7,76,91.5,93.4,97.2,105.2,114.2,131.7,145.1
"138","126","Current payments to the rest of the world","W163RC1",62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,530.2,575,641.3,712.4,774.3,815.6,755.4,830.7,888.9,1020.2,1147.7,1228.1,1363.2,1444.3,1636.6,1924.1,1785.6,1825.4,1977.9,2324.2,2692,3078.5,3334.4,3482,2712,3115.5,3485.8,3582.1,3616.9,3742.5
"139","127","  Imputations (174+186+187)","W522RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,6.4,5.9,5.9,6,5.5,5.6,6.7,8.2,9.7,9.6,8.7,8.7,9,8.7,9.7,9.8,10.7,11.6,13.1,10.3,14.2,15,18.2,18.2,16.4,16.8,18.4,18.3,18.8
"140","128","  Excluding imputations (126-127)","W529RC1",61.7,68.3,76.2,90.6,109.3,149.5,145.3,173.6,206.2,244.6,298.7,350.6,393.4,386,410.4,511.2,524.3,568.6,635.4,706.6,768.4,810.1,749.9,824,880.8,1010.5,1138.1,1219.4,1354.4,1435.3,1627.9,1914.4,1775.8,1814.7,1966.3,2311.1,2681.6,3064.3,3319.4,3463.8,2693.8,3099,3469,3563.6,3598.7,3723.7
"141","129","  Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1248.6,1472.6,1395.4,1429,1543.9,1800.7,2030.1,2247.3,2383.2,2565,1983.2,2365,2686.4,2763.8,2771.7,2871.9
"142","130","    Imputations (187)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.2,9.8,10.5,10.6
"143","131","    Excluding imputations (129-130)","W515RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1245.6,1468.9,1390.5,1423.4,1537.9,1793.7,2025.7,2239.8,2374.9,2554.6,1972.9,2356.3,2678.1,2754,2761.1,2861.3
"144","132","  Income payments to the rest of the world","A655RC1",5.7,6.4,6.4,7.7,10.9,14.3,15,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,87.3,94.4,105.8,129.5,152.9,154.2,136.8,121,123.6,160.7,201.1,214.6,256,268.5,294.3,345.7,273.5,267.2,289,362.3,483.2,656.6,750.1,684.9,497.8,514.1,546,563.9,575.8,591.2
"145","133","    Imputations (174+186)","W532RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,5.8,5.1,5.1,5,4.4,4.3,5.4,6.7,7.9,7.8,7,6.8,6.3,5.7,6,4.9,5.1,5.6,6.2,5.9,6.8,6.7,7.8,7.9,7.8,8.6,8.6,7.7,8.2
"146","134","    Excluding imputations (132-133)","W533RC1",5.3,6,5.9,7.1,10.3,13.3,13.4,14.3,15.7,23.5,35.4,44.1,58.6,63,61.3,82.4,81.4,88.6,100.7,124.4,147.9,149.7,132.5,115.6,117,152.8,193.3,207.7,249.1,262.3,288.6,339.7,268.6,262.1,283.4,356.1,477.3,649.9,743.4,677.1,490,506.3,537.4,555.3,568.1,583
"147","135","  Current taxes and transfer payments to the rest of the world \1\","A123RC1",5.9,6.6,7.9,9.2,7.9,8.7,9.1,8.1,8.1,8.8,10.6,12.6,17,19.8,20.5,23.6,25.7,27.8,26.8,29,30.4,31.7,-4.9,41.9,45.4,46.1,44.1,49.5,51.4,60,93.7,105.8,116.7,129.2,144.9,161.3,178.7,174.6,201.2,232,231,236.4,253.4,254.3,269.5,279.4
"148",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","136","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1",234.7,233.6,255.6,284.8,341.4,356.7,361.5,420,478.9,571.3,658.6,674.6,782,734.7,773.6,923.2,935.2,944.6,992.7,1079.6,1177.8,1208.9,1246.3,1263.6,1320.2,1436,1520.1,1637.9,1795.8,1872.2,1966.1,2020.3,1953.5,1917.8,1977.5,2138.1,2303.1,2430.8,2517.8,2367.8,2143.2,2306.7,2396.2,2658,2861.5,3054.7
"150","137","  Imputations (209+214)","W558RC1",96.3,95.6,105.2,118.5,130,135.3,145.7,170.1,199.2,228.2,246.2,248.5,260.2,263.4,318.5,365,397.3,443.6,479.1,495.7,509.7,519,514.8,550.1,569.2,606.1,611.7,658,691.5,753.3,816.7,866.2,946.7,1021.8,1116.6,1252.1,1376.6,1409.4,1323.4,1208.2,1109.9,1100.7,1085.7,1115,1144.5,1186.2
"151","138","  Excluding imputations (136-137)","W559RC1",138.4,138,150.5,166.2,211.4,221.3,215.8,249.9,279.7,343.1,412.4,426.1,521.8,471.2,455.1,558.2,537.9,500.9,513.6,583.9,668,689.9,731.5,713.5,751,829.9,908.4,979.9,1104.3,1118.9,1149.4,1154.1,1006.9,896,860.9,886,926.4,1021.5,1194.5,1159.6,1033.4,1206,1310.5,1543,1717,1868.6
"152","139","Net saving","W201RC1",108.2,91.4,97.3,116.8,157.2,143.1,110.7,140.3,171.3,223.1,242.7,204.6,260.2,193.6,158.9,290.2,247.3,185.7,224.2,297.7,277.5,230.7,226.8,192.9,164.3,243.6,306.8,405.3,543.6,622.1,602.7,605.5,464.5,328.5,263.9,315,356.6,512.1,236,-95,-300.4,-124.1,-16.1,327,406.3,520.1
"153","140","  Imputations (209+214-165-168-213)","W534RC1",48.3,43.5,49.1,58.5,64.3,60.4,62,79.5,99.4,116.5,120.3,105.5,100.2,89.3,134,167.4,185.8,215.5,232.6,229.9,224.8,216.5,196.9,220.6,223.5,244.6,232.9,267.6,287.5,332.7,371.7,391.5,444.9,497.4,559.2,647.8,713.3,691.3,563.1,423,321.2,301.3,270.1,279.1,278.2,284.2
"154","141","  Excluding imputations (139-140)","W535RC1",59.9,47.9,48.2,58.2,93,82.7,48.7,60.8,71.9,106.6,122.3,99.1,160,104.3,24.9,122.8,61.5,-29.9,-8.4,67.9,52.7,14.2,29.9,-27.7,-59.3,-1,73.9,137.7,256.1,289.4,231,214,19.6,-168.9,-295.3,-332.8,-356.7,-179.2,-327.1,-518,-621.6,-425.4,-286.2,47.9,128.1,235.9
"155","142","  Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.8,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,303.3,307.7,335.2,405.3,409.6,409.4,243.1,331.4,309.8,536.7,667.4,630,710.1,946.7,589.9,620.2
"156","143","    Imputations (199+209-165-168)","A2121C1",57.9,61.7,76.3,89.5,92.2,86.8,92.5,106,132.4,148.5,148.7,130.6,128.4,121.4,166.4,227.3,224.5,244.6,264.8,282.6,293.8,287.8,274.7,319.7,325.1,354,339.6,349.4,366.9,385.9,394.7,388.5,439.4,484.5,555.4,645.4,705.8,652.4,509.4,375.9,295.8,274.8,261.5,278,261.7,228.7
"157","144","    Excluding imputations (142-143)","A2122C1",17.1,34.4,33.8,19.7,39.6,54.9,66.5,41.3,15.8,18.1,28.8,82.6,124.1,156.3,80.6,84.8,40.6,24.8,-12.8,12.2,22.7,47.7,91.2,106.3,42.5,-22.6,13.4,-4.2,-14.7,19.5,-91.4,-80.8,-104.3,-79.3,-145.8,-236,-462.7,-321,-199.6,160.8,371.6,355.2,448.7,668.7,328.2,391.5
"158","145","  Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,552.9,811.9,733.9,691.2,644.5,699
"159","146","    Imputations (188-190+195-196-197+198-199)","Y677RC1",-12.5,-13.8,-15.5,-16.1,-14.8,-17.2,-24,-24.7,-30,-29.8,-33.7,-38.4,-41.8,-45.2,-51.7,-100.4,-98.4,-97.7,-110,-120.6,-125,-136.1,-130.3,-130.3,-121.8,-124.8,-120.9,-113.6,-115.8,-99.8,-85.9,-71.8,-65.1,-62.4,-52.5,-50.3,-54,-40.2,-66,-97.4,-58.7,-36.2,-36.3,0.8,49.6,71
"160","147","    Excluding imputations (145-146)","Y509RC1",46.7,41,52.9,64.1,68.3,56.9,78.3,94.7,116.5,132.7,135.2,110.7,131.2,130.9,167.4,250,256,206.2,233.2,263.9,235.2,238.7,262.5,267.4,267.4,317.6,347.2,364.6,396.7,298.4,309.5,203.2,245.3,377.1,431.1,463.5,538.8,487.3,330.5,264.7,611.6,848.1,770.1,690.3,594.9,628
"161","148","  Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.9,166.4,-50.8,-391.4,-524.3,-507.6,-371.3,-266.4,-338.4,-799,-1520.8,-1566,-1460.1,-1310.8,-828,-799.2
"162","149","    Imputations (214-191-192-195-213)","A2010C1",3,-4.3,-11.8,-14.8,-13.1,-9.2,-6.4,-1.8,-3,-2.2,5.4,13.3,13.7,13.1,19.4,40.5,59.7,68.6,77.8,67.8,56,64.9,52.5,31.2,20.2,15.4,14.3,31.8,36.4,46.6,63,74.9,70.6,75.4,56.3,52.7,61.5,79.1,119.7,144.6,84,62.6,44.9,0.3,-33.1,-15.6
"163","150","    Excluding imputations (148-149)","A2011C1",-4,-27.5,-38.5,-25.6,-14.9,-29.1,-96.1,-75.2,-60.5,-44.2,-41.7,-94.2,-95.3,-182.8,-223.1,-211.9,-235.1,-260.8,-228.8,-208.2,-205.2,-272.2,-323.8,-401.4,-369.2,-296,-286.7,-222.7,-125.9,-28.5,12.9,91.6,-121.4,-466.8,-580.6,-560.3,-432.8,-345.6,-458,-943.6,-1604.8,-1628.6,-1504.9,-1311.1,-795,-783.6
"164","151","Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2534.2,2632.8,2746.7
"165","152","  Imputations (165+168+213)","A2092C1",48,52,56.1,60,65.7,75,83.7,90.5,99.8,111.7,125.8,142.9,160,174.2,184.5,197.6,211.5,228.1,246.5,265.9,285,302.4,317.9,329.5,345.6,361.5,378.8,390.4,404,420.7,444.9,474.7,501.8,524.4,557.4,604.3,663.3,718,760.2,785.2,788.7,799.5,815.6,835.9,866.3,902
"166","153","  Excluding imputations (151-152)","A2093C1",76.8,84.7,92.7,100.9,112.4,131.2,153.9,168.7,188.6,213.4,245.3,283.1,325.1,360.1,376.1,396.7,425.2,454.1,481.4,516.5,551.1,584.4,613.3,630.3,658,694,744,785.6,836,889.6,955.9,1039.6,1102.2,1137.7,1169.8,1227.4,1318.6,1418,1504.1,1578.2,1579.7,1582.1,1635,1698.3,1766.6,1844.7
"167",NA,"          Specific imputations and associated reclassifications"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","154","  Imputed rental of owner-occupied housing","A2013C1",59,63.8,70,76.7,84,92.8,101.9,111.9,124.7,141.8,160.7,182.5,205.2,222.5,240,261.5,284.6,309.1,333,361.6,388.9,417.6,441.4,468,494.5,530.3,566.2,599.9,636.4,681.4,726.3,777.7,838.2,878.5,922.9,980.3,1057.9,1123.1,1156.1,1199.3,1223.7,1228.7,1249.2,1278.8,1319,1366.6
"170",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","155","  Intermediate inputs","A2014C1",5.8,6.5,6.7,7.9,9.3,10.8,11.6,14.1,18.3,21.2,25.1,27.3,29.9,29,29.5,34.1,39.8,43.8,45.2,47.8,51.3,54.7,58.9,64.4,61.3,63.1,65.5,71.4,76.9,87.7,87.4,90.6,98.2,100.8,108.7,115.9,129.2,139,145.5,131.9,131.2,132.8,135.2,148.9,156.7,152.8
"172","156","    Imputed services (179+185)","Y680RC1",0.9,0.8,0.7,0.8,1.3,1.5,0.5,1.4,1.9,3,4.7,6.1,7.4,5.3,2.3,4.3,6.1,5.3,5.2,6.2,7.9,8.9,8.9,8.8,9.4,10.5,11.6,13.6,16,18.1,20.6,24.4,25,25.5,28.4,31.1,37.2,44.9,50.3,43.5,37.7,36.5,34.4,36.8,38.7,38.5
"173","157","    Intermediate inputs excluding imputations (155-156)","Y681RC1",4.9,5.7,6.1,7.1,8.1,9.2,11,12.7,16.4,18.2,20.4,21.2,22.5,23.7,27.2,29.8,33.7,38.5,40,41.6,43.4,45.8,50,55.6,51.8,52.5,53.8,57.8,61,69.7,66.9,66.2,73.2,75.3,80.3,84.8,92,94.1,95.2,88.4,93.5,96.2,100.8,112.1,118,114.3
"174","158","  Taxes on production and imports","A2016C1",12.7,14.4,15.8,17.1,18.5,19.8,21.8,24.1,26.6,27.2,28.1,30.6,33.9,37,39.4,42.3,44.9,47.5,51.8,55.2,59.8,63.5,68.2,70.5,70.3,73.7,73.8,76.2,78.9,80.2,83,85.7,90.5,97.4,103.1,109.4,117.5,125.1,134.4,137.6,144.7,144.6,146,147,149.3,151.3
"175","159","  Subsidies","B1154C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6,2,1.5,0.9,0.9,1.3,1.1
"176","160","  Net interest (226-179-185)","A2015C1",14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,139.3,155.2,166.4,177.6,192,205.6,211.2,213.4,210,213.1,232.3,239.3,252.8,262.8,279.1,305.8,326.3,329.3,320.3,322.1,365.7,418.6,460.6,470.3,430.1,388.5,355.2,326,295.5,288.2
"177","161","    Imputations (-179-185)","Y682RC1",-0.9,-0.8,-0.7,-0.8,-1.3,-1.5,-0.5,-1.4,-1.9,-3,-4.7,-6.1,-7.4,-5.3,-2.3,-4.3,-6.1,-5.3,-5.2,-6.2,-7.9,-8.9,-8.9,-8.8,-9.4,-10.5,-11.6,-13.6,-16,-18.1,-20.6,-24.4,-25,-25.5,-28.4,-31.1,-37.2,-44.9,-50.3,-43.5,-37.7,-36.5,-34.4,-36.8,-38.7,-38.5
"178","162","    Monetary interest (226)","W498RC1",15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.4,220.1,222.2,219.4,223.6,243.9,252.9,268.7,280.9,299.6,330.2,351.2,354.8,348.7,353.3,402.9,463.5,510.9,513.8,467.8,425,389.6,362.7,334.2,326.7
"179","163","  Current transfer payments","W536RC1",0,0,0.1,0.2,0.1,-0.3,-0.2,0.1,0.4,0.5,-0.1,-0.3,0.2,0,-0.1,-0.1,-0.3,1,1.6,0.7,-0.9,-0.8,-0.6,-1.4,1.5,1.8,1.7,-0.7,4.6,1.8,2,0.8,-1,2.6,4.4,5.8,11.3,10.7,9.1,3.4,5.6,3.8,-4.5,9.2,12.9,7.1
"180","164","  Rental income of persons with capital consumption adjustment (154-155-158+159-160-163-165)","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327,355.4,393.9,433.1
"181","165","  Consumption of fixed capital","B2607C1",11.6,12.4,13.7,15.3,17.5,20.2,22.9,25.5,29.9,35.6,41.8,47.9,52.5,55.4,57.5,61.2,65.3,71.3,78,84.1,90.3,94.8,98.1,101.7,109.1,117,124.6,131.3,138.6,147.9,160.1,174.3,190.1,202.4,221.6,248.2,280.2,307.5,318.1,312.4,297.4,292.6,291.2,293.3,312.1,335.2
"182","166","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \2\","A2050C1",3.8,4.3,4.8,5.4,6.2,7.3,8.6,9.4,10.4,12,13.9,16.2,18.7,20.9,22.8,26,26.7,29.1,31,34,37.1,39.5,42.2,44.8,48.9,49.5,52.3,54.5,57.2,60.8,65.2,70.2,74.4,78,82.2,87.2,93.1,99.3,106,112.2,115.3,116.5,115,118.5,122,126.1
"183","167","  Monetary interest (227)","W319RC1",0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9,14.2,13.4,12.6,12,12,12
"184","168","  Consumption of fixed capital","B1157C1",3.2,3.6,4,4.5,5.1,6.1,7.1,7.8,8.7,9.8,11.2,12.8,14.3,15.7,16.7,17.8,18.8,20,21.5,23.3,25.4,27.7,29.9,32,34,35.7,37.5,38.8,40.8,43.9,47.9,52.6,56.8,60.8,65.6,71.1,77.5,84,90.7,97.3,101.1,103.1,102.3,106.5,110.1,114.1
"185","169","Financial services furnished without payment (170+175)","W537RC1",21.6,24.7,25.5,27.8,32.5,39.4,44,46.6,52.1,63.5,73.4,81.3,89.6,94.3,105.4,112,128.7,128.8,129.5,135.1,138,136,135.6,149.5,163.1,177.2,183.7,195.1,214.1,231.4,248.7,272.5,268.1,272.2,281.6,301.3,328.8,350.8,384.1,380.6,343.9,354.4,356.1,365.4,397,433.7
"186","170","  Depositor services","Y521RC1",13.8,17.5,20,21.5,21.4,25.8,40.4,35.4,37.4,41,38.7,37.7,36,56.8,89.8,80.3,107,110.4,110,111.6,109.2,104.5,105.2,119.7,132.1,141.8,145.3,150.6,161.6,170.4,178.8,190.7,184,190.1,197,212.1,226.6,228.1,240.6,241.5,221.9,231.2,235.5,231.6,246.6,271.9
"187","171","    Persons","B1611C1",7.2,9,10.1,11.1,11.8,14.4,21.6,19.9,21.5,25,24.3,22.9,21,27.7,51.7,48.5,69.5,72.7,74.4,76.1,75.2,71.8,74.2,86.9,96.3,104.2,106,109.7,117.1,125.6,133.1,143.2,137.3,140.9,145.1,159.2,171.5,171.5,180.7,187.5,179.3,191.3,200.6,197.5,214,235.2
"188","172","    Government","W538RC1",1.4,1.8,2.3,2.4,2.3,2.4,3.2,3,3.2,2.5,1.8,1.3,0.8,2.3,3.3,2.7,5.3,5.7,4.3,4,4,3.6,4.1,3.8,3.9,4.1,4.5,4.6,4.7,4.8,5.5,5.7,4.4,4.8,5.1,5.2,5.5,5.7,5.7,5.2,4.4,4.8,5.3,5.2,5.1,5.7
"189","173","    Private enterprises","W539RC1",4.8,6.2,7.1,7.4,6.7,8,14,11.3,11.5,12.4,11.6,12.8,13.7,25.3,31.3,26,26.3,26.6,26.6,26.7,25.3,25,23,24,25.8,26.3,27.7,30.1,33.7,34.6,35.4,36.9,38.4,40.7,43,43.6,45.1,46.2,49.5,43.2,32.4,29.3,23.2,23.1,22.8,25.9
"190","174","    Rest of the world \3\","W540RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,5.4,4.7,4.8,4.7,4.1,4,4.9,6.2,7.3,7.1,6.2,6.1,5.4,4.7,4.9,3.9,3.8,3.8,4.1,4.5,4.7,4.7,5.6,5.7,5.8,6.4,5.7,4.7,5
"191","175","  Borrower services","W541RC1",7.8,7.1,5.5,6.4,11.2,13.6,3.7,11.2,14.6,22.4,34.6,43.6,53.6,37.4,15.6,31.6,21.7,18.4,19.4,23.5,28.8,31.4,30.4,29.8,31.1,35.4,38.4,44.5,52.5,61,69.8,81.8,84,82.1,84.5,89.2,102.2,122.7,143.5,139.1,122.1,123.2,120.7,133.9,150.4,161.8
"192","176","    Persons","W542RC1",1.7,1.6,1.3,1.5,2.6,3,0.8,2.7,3.6,5.6,8.3,10.1,11.6,7.9,3.3,6.7,3.3,3,2.9,3.4,4.2,4.4,4.4,4.2,4.5,5.5,6.3,7.6,8.6,9.1,9.7,10.7,10.7,10.3,10.4,11.2,12,14,16,14.8,13.4,19.1,17.9,20.2,23.5,27.1
"193","177","    Government","W543RC1",0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1,1.1,1.5,2,2.4
"194","178","    Private enterprises","W544RC1",5.4,5.1,4.2,4.7,8.3,10.1,2.7,8,10.3,15.7,24.2,30.8,38.4,28.1,11.8,24.1,18,15.1,16.2,19.8,24.2,26.6,25.6,25.2,26,29.4,31.5,36.1,43,50.7,58.8,69.6,71.8,70.3,72.7,76.5,88.5,106.6,125.1,121.7,106.3,101.6,98.8,108.3,120.2,126.6
"195","179","      Of which: Owner-occupied housing","W546RC1",0.8,0.7,0.6,0.7,1.2,1.4,0.4,1.2,1.7,2.8,4.5,5.9,7.1,5,2,3.9,5.7,4.8,4.6,5.6,7.3,8.2,8.1,8,8.5,9.5,10.7,12.6,14.9,17,19.4,23.3,23.8,24.2,27.1,29.8,35.9,43.5,48.9,42.1,36.5,35.3,33.1,35.5,37.4,37.1
"196","180","    Rest of the world \4\","W548RC1",0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.5,0.7,1.2,2.1,2.7,3.6,1.4,0.5,0.9,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.2,1.1,1.1,1,1.2,1.6,1.6,1.8,1.5,1.6,2.9,3.8,4.8,5.7
"197","181","Premium supplements for property and casualty insurance (182+183+184+186-187)","Y524RC1",0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.2,19.2,19.7,20.6,21.8,22.7,23.2,25.9,27.3,26.8,27.6,27.6,28.2,28.6,30.1,31.1,33,34.5,33.8,32,32.8,32.2,33.5,27.5,24,25.7,27.6,28.7,31.5
