"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218"
"50","42","    Paper and paper products wholesalers","KP42210",7390,7787,7632,7884,7394,7376,7470,7559,7529,7464,7515,7226,7285,7348,7573,7588,7587,7616,7573,7621,7818,7825,7876,8087,8078,8171,7794,8097,8196,8283,8216,8180,8167,8243,8156,7802,8136,8020,7950,7803,7729,7603,7761,7765,7768,7789,7775,7850,7860,7890,7754,7854,7898,7806,7782,7833,7573,7506,7755,7631,7552,7622,7578,7664,7708,7838,7875,7704,7698,7586,7687,7667,7721,7652,7797,7622,7534,7683,7719,7514,7839,7926,7831,8000,7877,8192,8349,8341,8317,8272,8171,8091,8235,8217,8363,8318,8351,8356,8052,8182,8213,8150,8287,8609,8850,8652,8593,8702,8589,8443,8486,8363,8349,8186,8072,7960,7829,7918,7961,7910,7993,8107,8079,8038,8055,8069,8033,7950,7888,7771,7800,7831,7689,7581,7426,7850,7587,7434,7651,7401,6950,6969,6722,6616,6438,6537,6565,6669,6757,6819,6765,6915,6944,6978,6934,6954,7099,6974,6886,6843,6565,6521,6593,6562,6627,6624,6640,6564,6685,6570,6649,6685,6625,6598,6521,6628,6579,6644,6671,6683,6620,6636,6722,6520,6734,6741,6802,6748,6934,6672,6704,6746,6735,6844,6602,6871,6886,6743,6805,6801,6787,6835,6700,7011,6891,6879,7026,7057,7038,7253,7458,7178,7064,7091,7059
"51","43","    Drugs and druggists' sundries wholesalers","KP42220",11767,11960,12286,12333,12504,12668,12921,12982,12967,12922,13061,13118,13841,14039,13869,13332,13431,13355,13755,13787,14064,14305,14439,14912,15212,15400,15623,16193,16346,16378,16498,16743,16579,16622,17180,17695,17141,17412,18023,18210,18497,18881,19039,19236,19112,19665,19748,20097,20984,20690,20504,20695,21345,21756,22101,22427,23553,24287,23825,24214,24867,25026,25427,25522,25314,25957,25110,25323,25773,25620,26621,26385,26429,26737,27046,27340,27815,27758,28454,28551,27940,28379,28102,28298,27836,27809,28666,28509,28714,28559,29414,29199,29602,29975,30206,29395,31860,30609,29999,30957,30650,31091,30487,29922,31657,31050,31324,31347,31190,31798,31876,31882,32094,32289,31710,31848,31415,31403,31489,32022,31780,31612,31802,31799,31809,31562,31691,31812,30588,31695,32035,32430,32208,32429,32037,32079,31875,32127,32211,32096,31563,31720,30263,30939,31423,31811,31116,31440,31638,30444,31161,30851,32129,31818,31561,31008,30663,30655,31318,30775,31072,31709,31571,32051,32493,30911,31947,31884,32681,31666,32113,32186,32456,32395,32339,32580,32620,32914,32288,31995,31654,32072,32018,32101,31320,31051,31455,30424,30719,30537,31284,32619,31799,30650,31381,31522,32173,32202,31955,32388,32014,32101,32168,32915,31552,32423,33178,33954,34319,34226,34327,34737,34745,34538,34724
"52","44","    Apparel, piece goods, and notions wholesalers","KP42230",7064,7222,7021,7242,7162,7019,7450,7273,7272,7095,7238,7316,7566,7587,7589,7384,7265,7246,7328,7392,6990,7623,7299,7349,7491,7390,7967,7735,7806,7709,7707,7710,7785,7729,7866,7841,7889,8022,8163,8275,8347,8426,8308,8198,8273,8353,8303,8584,8513,8415,7966,8310,8684,8422,8307,8450,8495,8776,8849,8693,8579,8993,9178,9215,9324,9251,9528,9579,9254,9031,9549,8769,9298,8983,9053,9010,9041,9074,9227,9335,9569,9397,9609,9768,9405,9916,10032,9651,9829,9697,9463,9811,9954,9713,9726,10420,10065,10187,10292,10654,10734,10621,10710,10193,10104,10662,10432,10876,10994,10458,10583,10674,10496,11174,11033,10995,11264,11505,11487,11477,11439,11915,11517,11555,11662,12472,11976,12282,12161,11469,12174,11805,11966,11416,11442,11655,12167,11496,12008,11812,11765,10714,10376,10023,10119,10542,10615,10257,10103,10006,10195,10265,10263,10199,10218,10656,10505,10800,10839,11072,11084,11040,11010,11057,11050,11049,11348,10791,11116,10777,10969,10944,11131,10784,10634,10848,10577,10923,10371,10781,10660,10469,10532,10973,10756,11319,11093,10908,10873,10468,10743,10744,10854,11138,10529,10014,10593,10591,10724,10634,11000,10890,11284,11241,11034,11255,11528,11363,11578,11520,11505,12008,12323,12338,12325
"53","45","    Grocery and related products wholesalers","KP42240",35874,36048,36672,35949,36307,36689,36362,36111,35749,35191,36052,35812,36476,37152,36811,36941,37273,37576,37611,37588,37634,37610,37536,37476,36785,37507,37905,37842,38756,38008,38340,38885,39327,39506,40060,39909,40148,39986,40025,40235,40194,40751,40779,40785,40191,40113,40364,41783,40160,39893,39743,40422,39459,39400,39784,39370,39040,39152,39535,39614,39554,39785,38681,40285,40257,40721,41056,41419,41672,41586,41789,41864,41246,42116,42064,41823,41835,42189,42514,41487,40916,40299,39974,39101,39824,39908,40621,39243,38452,38866,39371,39990,39497,38925,39258,39899,39617,39847,39176,39571,40224,40635,41110,41236,40757,40893,41018,40214,40595,41084,40989,40648,40762,41010,40950,41534,40862,40856,40917,41207,41616,41603,41671,41637,41879,42191,41780,41899,41838,41642,41670,41542,41385,41126,40092,40941,40772,40108,40137,40342,39819,40117,40322,40496,40908,41230,40943,39986,40802,39860,40041,39563,39760,39358,39295,38568,39220,39152,38734,39372,40081,40907,40933,41232,41042,40747,39990,39346,39109,38675,40155,40370,40685,40475,40248,40367,40482,40481,39920,41155,40938,41888,41364,41097,41076,41520,42002,41488,40731,40986,41151,41628,41604,41574,40863,41761,43446,42642,42698,42532,43417,44324,43448,43078,42629,43116,44377,43934,43934,43543,44546,44026,44708,44808,44313
"54","46","    Farm product raw material wholesalers","KP42250",13633,14161,12881,13003,13216,13121,12578,12865,13806,15120,13751,13624,14029,12656,12596,12670,12591,12180,12121,13195,13642,13299,13331,14438,12795,13370,13414,12854,14031,14142,14524,13109,14002,14003,13893,13292,13129,12787,12894,13469,13354,14108,14489,14691,14029,13507,12504,13447,13285,14150,14258,13891,13766,12954,13207,13523,13014,13028,12627,12606,13187,12919,12913,13855,13443,13595,13071,12487,12097,12175,13542,13916,13707,12613,12310,12124,11962,12960,12136,12606,12127,12473,12474,12444,12328,12247,12181,12462,11491,11651,11609,12740,12514,13147,13304,13517,12872,13167,11754,12846,12450,12489,12538,12160,12936,12814,12897,12355,12329,12820,13592,13215,13300,13269,13035,12788,12840,11489,10211,11192,11437,11240,11580,11997,12730,12448,12659,13603,13448,12113,12570,12176,12751,12183,12813,12002,12731,12394,12603,13026,12173,14025,13689,13826,12934,13446,12920,13737,12883,12908,13952,13191,13319,13292,16736,15088,14564,15427,14759,13702,12326,13114,12285,12666,12446,13925,13915,13278,13479,12085,13250,11820,12870,12622,11914,11087,10657,12109,11324,12003,11945,11768,11908,12842,12588,12983,12106,11910,12715,12749,13417,12806,12279,12752,12371,13263,13200,13032,13075,14118,14361,14470,16088,15540,15072,14210,14819,14423,15230,15014,15620,15697,15253,16330,15436
"55","47","    Chemical and allied products wholesalers","KP42260",7105,7255,7387,7491,7387,7670,7746,7589,7664,7541,7487,7468,7622,7653,7420,7462,7599,7471,7490,7628,7649,7809,7830,7725,7799,7377,7761,7678,7821,8164,7901,7970,7809,7894,7981,7955,7942,7553,7941,8042,7958,8092,7932,8110,8116,8238,8121,8330,8028,8174,8127,8030,8151,8045,8415,8265,8187,8317,8456,8509,8709,8848,8370,8801,9085,8791,8724,8831,8927,8694,8510,8362,8603,8309,8462,8549,8609,8537,8668,8435,8642,8730,8693,8716,8591,8629,8837,8729,8660,8822,8855,8903,8717,8701,8970,8931,9161,9221,8890,9328,9270,9435,9210,9392,9080,8855,8978,8855,8397,8718,8773,8636,8653,8684,8717,8688,8665,8759,8792,8974,8986,8934,9113,8975,8820,8672,8724,8873,9183,9493,9104,9129,8847,9139,8846,8855,8836,8966,8721,8872,8134,8802,8729,8351,7746,7601,7165,7353,7420,7233,7361,7340,7360,7336,7422,7662,7691,7665,7628,7583,7845,7837,7884,8162,7615,7962,7824,7791,7801,7555,7930,7464,7277,7446,7507,7263,7663,7763,7932,7803,7775,7769,7766,7871,7837,8290,8397,8125,8169,8253,8339,8436,8314,8242,8102,8257,8292,8177,8305,8617,8503,8641,8716,8676,8760,8848,8919,8963,9182,8948,8860,9005,8751,8979,8747
"56","48","    Petroleum and petroleum products wholesalers","KP42270",30123,29571,30424,28737,31409,32086,32256,32601,31749,30400,31286,30837,31022,31987,34474,34470,35647,37166,37106,37082,38786,37571,38264,39991,37596,38001,38964,34850,36279,37145,35366,34797,33637,34008,33380,30671,31470,30305,29108,31522,31850,31725,32251,32351,32919,32919,31963,34440,35364,33666,32983,33232,33586,32416,34401,34070,34694,36076,37386,39390,39160,36124,35580,36041,37237,36859,36162,36839,35876,35690,37065,36782,36673,33792,33049,34392,36275,34522,34667,34626,34558,35688,34564,34699,34078,35696,36078,34513,35317,35720,33772,33566,34729,32079,31624,33023,33665,33049,32939,33466,33655,32749,33421,34460,32543,31273,31560,31333,30278,31674,32771,32634,32020,32032,33273,32763,33247,32876,31604,32134,30417,33271,31690,34084,35431,34707,33875,34067,33895,33593,30255,32094,32153,33492,31483,33346,33284,35616,32685,33688,31158,33508,32233,37555,34244,33487,34274,35407,34581,32772,36741,33310,32923,31808,31969,31209,28550,31065,31026,31831,35472,37429,39040,36318,33907,33058,33770,32200,33973,31433,31391,32747,33273,34787,33529,34960,33196,32723,30681,29551,30649,30775,31408,34797,35742,35563,34865,34480,34273,31895,33094,33904,32948,33785,34655,35322,36119,37053,36612,36401,35256,36672,39927,39481,37921,38722,39592,39305,39150,38599,39423,38070,38419,38837,40325
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",5916,5998,6092,5859,6142,6043,6231,6233,6394,6296,6264,6605,6219,6275,6433,6485,6495,6285,6544,6458,6986,6747,6634,6747,6824,6789,6818,6935,6953,7000,6920,7083,7291,7341,7343,7171,7207,7133,7284,7305,7142,7277,7107,7282,7399,7408,7402,7329,7562,7530,7040,7368,7302,7366,7488,7305,7265,7217,7495,7646,7421,7689,7879,7730,7692,7726,7737,7711,7760,7526,7650,8016,7687,7889,7883,7821,7764,7781,8218,8136,8031,8150,8102,8036,8045,7877,7737,7938,8246,8087,8177,8036,8225,8272,8230,8390,8223,8235,8270,8330,8467,8448,8279,8492,8367,8402,8414,8166,8524,8608,8383,8577,8531,8758,8681,9051,9091,9102,9321,9121,9000,8823,9214,8998,9251,9319,9338,9272,9430,9527,9441,9622,9418,9083,9396,9315,9484,9513,9505,9467,9684,9397,9259,9230,9619,9253,8989,9173,9181,8910,9186,9210,9010,8603,8836,8832,8895,8957,9245,9279,9005,9051,9007,8961,8973,9181,9074,9090,9107,9250,9199,9225,8947,9393,9201,9383,9450,9255,9231,9290,9439,9421,9353,9424,9605,9704,9428,9534,9507,9331,9503,9808,9498,9530,9540,9339,9577,9509,9624,9498,9631,9503,9638,9663,9553,9707,9598,9730,9683,9651,9466,9610,9763,9998,9763
"58","50","    Miscellaneous nondurable goods wholesalers","KP42290",18666,19561,19846,18949,19589,18826,18146,18161,18618,18251,18022,18388,18664,18494,19070,19794,20069,18899,18972,18691,19503,19092,20115,19871,18244,18551,18414,18624,18827,19762,19283,19421,18815,19616,20034,19988,20856,19604,20705,20571,20188,20746,19895,19341,20074,19789,19917,20202,19648,19547,19059,18658,18576,18673,19370,19508,19840,19332,18317,18375,18299,18154,17669,17466,17661,17783,18342,18464,18157,17934,18387,18029,18333,18383,17719,17595,16424,17014,17333,17487,17355,17714,17900,18417,18090,18394,18908,18729,18474,18774,18841,19658,19282,18661,19014,19844,19849,20105,19526,18953,18785,18200,18301,18210,18470,19094,18634,18677,19455,19232,18339,19198,18435,18301,18655,18625,18576,18147,18467,18527,17983,17479,18348,18222,18658,18660,17937,17815,18396,19024,19257,18620,17947,17485,17382,17223,17660,17203,17032,16847,16509,15951,15947,16415,16887,17216,17065,16982,17191,17382,17463,16985,16884,16471,16594,16876,17066,17040,17081,18224,16824,17070,17123,17057,16918,17268,16626,16389,16313,16717,16661,16201,16374,17061,16779,17288,16950,17187,17437,17275,17443,17242,18207,18135,17603,16388,16940,16869,17449,17431,17908,17959,18259,18353,18046,18092,20052,17481,17440,16949,17532,18239,18345,18224,17669,17370,16997,17564,18244,17965,17705,17397,17932,18056,17975
"59","51","Retail trade industries","KP440",233880,235304,236089,234709,233375,237237,240184,240621,240950,240772,242507,243104,244058,244744,247230,250744,251748,254040,251558,250067,253142,257377,259455,262054,262584,265915,267159,266151,268989,269580,270550,272649,272705,272943,276450,281262,278446,281288,282043,278430,279198,279896,278732,280838,283441,283119,281725,281791,284083,283963,282023,286722,285651,284140,284827,287508,281415,303646,297280,294472,294030,295484,293293,295858,292333,294783,297667,299592,294971,296092,297968,300918,301230,295027,300257,302470,305615,308972,311032,314259,311311,311206,315156,313855,313586,314859,319872,316412,320161,314802,318764,319854,324737,324178,323747,328056,326975,328420,327686,331467,329241,337611,340094,332816,327444,329573,336131,336732,343650,341791,342615,342737,339650,340032,340906,340154,341429,344699,346901,349080,347490,347652,348176,345810,348584,344536,345611,348174,349865,348564,349447,345569,344827,341016,340746,342003,341064,337777,333066,332779,325661,317758,318698,316419,320095,316110,311756,311998,313940,312060,313716,320166,310341,312123,314636,315679,314907,315050,322740,325320,324051,324198,324197,325825,327581,330891,332186,331865,333258,333641,334152,333445,331434,333708,334107,333079,335242,339491,340057,339927,341808,345116,345287,343859,345041,342560,345074,347513,349614,348703,352070,354112,356974,358604,357202,359556,362412,363134,364232,364383,364169,366809,368364,367979,364713,367982,374287,376082,376904,377059,377945,381629,381212,383141,388384
"60","52","  Motor vehicle and parts dealers","KP4410",58034,58444,57897,57748,56057,58201,59412,59697,59451,58743,59488,60065,59716,59120,60656,62019,62755,64337,60798,59254,61562,63833,64163,64866,64919,65777,66195,66730,67826,67935,68819,69926,69188,68544,70333,70160,72009,73508,72551,69705,69490,70334,68965,69342,70784,70027,68162,66626,69059,69416,68872,70214,70263,69933,69065,69424,67614,84345,75784,71339,70892,71685,70016,71636,68393,70723,73109,75331,71097,70630,71140,73189,73559,70527,72607,73784,73990,74890,75631,77821,76168,75164,77228,75548,74606,76361,77356,75011,77852,73863,76302,76675,79859,78684,77725,79538,76862,77494,77232,78229,76729,81800,86068,77519,74293,71979,76517,76792,80074,77149,77843,78343,76606,77274,79104,77944,77783,78545,79302,79490,78228,78847,78647,78711,79527,77317,77293,79135,80657,79602,78042,76242,76077,74412,74119,72932,71940,70178,66754,68773,65195,59723,59033,57447,59584,57285,56042,56031,57047,58490,59862,65136,55345,57648,58397,57508,57765,56155,60961,61436,61916,61492,62679,62479,63015,64978,64802,64924,66038,66448,66401,65596,63895,64341,64979,63409,66089,67566,67814,68730,68624,69959,69729,69730,70167,69382,69715,70921,72825,71383,72754,73878,74052,75121,73926,74703,76174,77811,77528,78042,76862,78009,79968,78563,76712,78630,82041,82310,82913,83015,83519,84971,84476,85088,86573
"61","53","  Furniture, furnishings, electronics, and appliance stores","KP44230",7515,7648,7678,7825,7800,7852,7969,8067,8079,8088,8243,8269,8434,8455,8440,8414,8529,8673,8714,8853,8769,8873,9075,9132,9088,9257,9417,9405,9605,9762,9860,9975,10175,10255,10211,10370,10631,10746,10733,10922,10838,10719,10788,10887,10902,10938,10835,10552,11043,10920,10932,10904,10987,11136,11264,11328,11102,11374,11745,12041,11947,12112,12191,12137,12230,12182,12109,12171,12265,12297,12454,12526,12421,12088,12484,12617,13009,13159,13320,13519,13639,13747,13961,14050,14043,14099,14411,14447,14459,14673,15030,14949,15002,15204,15243,15468,15510,15813,15754,15905,15884,16213,16260,16466,16698,16877,16837,16742,17571,17277,17397,17433,17454,17719,17673,17722,17980,17736,17941,18273,18394,18118,18127,18193,18234,18068,18288,18543,18429,18554,18937,18694,18445,18176,18186,18505,18737,18414,18331,17908,17323,17176,17265,16755,17170,17049,16114,16100,16096,16191,16170,16294,16379,16336,16870,16824,16917,17459,17283,17455,17520,17761,17730,17765,17953,17888,17892,18059,18005,18221,18718,18645,18504,18514,18742,18934,19050,19528,19406,19397,19922,19769,20082,19955,20275,20157,20574,20395,20495,20170,20675,21327,21413,21101,20806,21493,21480,21727,21843,22032,22232,22753,22586,21994,22124,22539,23167,23253,23250,23293,23485,23822,24524,24433,24781
"62","54","  Building material and garden equipment and supplies dealers","KP4440",16082,16365,16582,16422,16466,16667,16723,16827,17124,17239,17159,17417,17520,17545,17611,17902,18069,18125,18259,18234,18575,19015,19177,19530,19526,19673,19410,19440,19485,19334,19340,19602,19640,20286,20640,20757,21242,20758,21697,20507,20645,20585,20756,20894,20842,20866,20566,21290,21188,21679,21522,22456,21873,21541,21687,21755,21523,22224,22272,22516,22719,22796,22544,23412,23051,22943,22888,22882,23034,22976,23358,22818,23740,22375,23807,23703,23939,24687,25025,25131,25096,25363,25365,25347,25107,24981,27133,26486,26274,26616,26596,26610,26892,26844,27116,27758,27815,27418,27671,28327,28135,28297,28159,28305,28672,29085,29239,28958,30892,30751,30819,30103,29036,28803,28704,28868,28315,28752,28254,28663,28693,28422,28887,27827,28561,27838,27991,28063,27871,27616,27968,27268,27313,27245,26681,27155,27085,27304,27406,26821,26517,26136,24992,24448,24559,24407,23927,23919,23972,23820,23483,23440,23292,22622,23050,23001,22658,22446,23814,25380,23547,23543,23597,23586,23820,24445,24232,24480,23593,23221,23780,23902,24240,24860,24774,24666,24653,25242,25008,25610,25650,25562,26384,25342,24587,24250,24493,25013,25722,25575,25829,25993,26035,26245,25707,26180,26776,26476,26938,26798,26697,26336,26499,26491,26608,26357,26970,27500,27884,28200,27908,28029,27855,27862,28442
"63","55","  Food and beverage stores","KP4450",48399,48140,48477,48243,48175,47989,48274,48405,48379,48419,48153,48115,47854,47811,48060,48075,48157,48234,48465,48465,48414,48480,48490,48823,48411,48769,48787,49049,49102,48795,49015,48924,49060,48862,48784,50569,47753,48114,48681,49159,48584,49143,48715,48671,48828,49044,49287,49462,49266,49413,49194,49357,49356,49334,49077,49347,49315,49375,49681,49590,49173,49025,49038,48311,48783,48746,48808,48538,48451,48637,48725,48952,49257,48865,48792,48997,48522,48787,49076,48897,48813,48601,48213,48218,49050,48374,48795,48711,48595,48464,48452,48589,48978,48801,48871,49063,49411,49454,49369,49473,49430,49567,49474,49767,49756,49866,49879,49990,49649,50324,50096,50236,50595,50562,50525,50672,50244,51225,51131,51397,51080,51165,50757,50521,50668,50577,50718,50223,50461,50523,50683,50777,50429,50185,50234,50201,49719,49836,49339,49292,48966,48677,48538,48422,48700,48252,48441,48408,48813,48581,48592,48711,48944,48835,49046,49319,48950,49658,49215,48983,49036,48845,48470,49191,49163,49212,49576,49503,49773,49896,49458,49816,49550,49731,49639,49625,49029,49341,49432,48979,49365,49391,49484,49715,49715,49673,49752,49654,50083,50271,50073,50050,50161,50674,50513,50038,50533,50622,50702,50650,50983,50948,50876,51709,51436,51188,50933,50871,50768,51269,51036,51152,51294,51415,51474
"64","56","  Clothing and clothing accessories stores","KP4480",10850,10836,10967,10493,10660,10907,11023,11240,11237,11299,11364,11516,11599,11727,11747,12043,11847,12019,12121,11897,11774,12115,12283,12394,12577,12672,12882,12810,13033,13037,12952,13118,13088,13095,13141,13284,13067,13318,13599,13628,13894,13781,13669,14042,14272,14131,14190,14010,13986,14009,13637,14188,14034,13846,14044,14331,13519,14195,14241,14440,14584,14729,14717,14715,14596,14799,14699,14758,14480,15167,15010,15310,15268,14900,15378,15396,15661,15856,16051,16016,16124,16009,16325,16543,16565,16742,16994,16536,16667,16455,16583,16696,16851,17107,17053,17269,17217,17818,17331,17920,17701,18097,17787,17986,17637,18516,18470,18619,18696,18926,18729,18885,18686,18834,19091,18874,19377,19369,19150,19751,19630,19235,19823,19397,19806,19715,19913,19888,19887,19767,19950,19788,19727,19469,19582,19735,19832,19951,19831,19626,18595,18405,18389,18100,18389,18432,17517,17792,18020,17724,17920,18261,18062,18185,18054,18067,18314,18375,18817,18862,18742,18641,18727,18874,18790,19303,19729,19264,19387,19591,19784,19924,19748,19881,19676,19359,19995,19588,19760,19834,19875,20465,20216,19779,19909,20058,20156,20305,20361,20008,20291,20476,20651,20414,20612,20963,20801,20731,20796,20631,20526,21014,20835,20873,20679,20722,20961,21314,21131,21064,21166,21274,21016,21264,21991
"65","57","  General merchandise stores","KP4520",30101,29995,29997,29781,29921,30033,30701,30846,30699,31061,31105,30893,31341,31765,31728,32308,32043,32316,32145,32182,32701,32796,33237,33332,33793,34388,34833,34213,34432,34948,34814,35139,35462,35376,35517,36547,35546,36021,36550,36304,36756,36887,37010,37328,37616,37804,37968,38284,39244,38041,37486,38924,38912,38718,39366,39667,39558,39995,40523,41079,40763,40866,41061,41293,41067,41425,41177,41193,41127,42009,41878,41991,42100,42425,42906,42885,43189,43518,43998,44675,44472,44200,44501,44672,44991,45003,45500,45025,45600,44950,45462,45709,45993,46333,46408,47057,46976,47594,47451,48047,47912,48835,48596,48728,48806,49701,49699,49317,49977,50183,49761,50499,49974,49992,49959,50060,50755,50798,50922,51758,52046,51202,52027,51567,51666,51782,52207,52413,52211,52123,52393,52879,52190,52216,52436,52637,53345,53629,53108,52585,51785,51532,52437,52031,52268,52036,51687,51506,51936,51374,51493,51894,52065,52745,52186,52871,53043,53696,53650,53771,53484,53626,53645,54026,53948,54221,55190,54669,54553,55050,54996,55583,55093,55479,55331,55081,55554,55384,55591,55518,56173,56703,56524,56293,56442,56423,56626,56817,56808,56763,56698,56977,57363,57471,57383,57230,57776,57666,57851,58020,58231,58408,58515,58243,58101,58190,58652,59509,59257,59425,59848,60080,59946,59977,60593
"66","58","    Department stores","KP45210",18212,18134,18145,17945,18018,18091,18434,18590,18424,18599,18723,18435,18510,18776,18594,18856,18680,18716,18575,18524,18735,18786,18912,19062,19202,19579,19671,19240,19229,19455,19386,19405,19549,19445,19353,19475,19460,19456,19513,19520,19688,19543,19440,19569,19692,19669,19871,20049,20315,19462,18889,19470,19513,19358,19620,19635,19416,19497,19739,19685,19551,19414,19494,19575,19154,19264,19006,18927,18774,19293,18780,18745,18682,18570,18725,18655,18849,18895,19075,19141,19106,18835,18788,18829,18815,18867,19134,18708,18863,18628,18864,18951,19019,19045,18960,19250,19065,19262,18986,19248,18949,19429,19087,19043,18776,19276,19293,19009,19236,19238,19005,19060,18830,18885,18702,18647,18821,18707,18684,18826,19035,18663,18851,18514,18665,18499,18724,18689,18519,18445,18419,18275,17905,17958,17885,17915,18029,18214,17917,17618,17164,17088,17500,16946,16935,16674,16574,16573,16710,16414,16496,16668,16567,16809,16683,16739,16804,16786,17101,16941,16793,16842,16721,16811,16709,16804,17372,16920,16852,17070,17023,17280,16896,17104,16768,16509,16690,16512,16553,16501,16423,16480,16543,16250,16130,16134,16232,16192,16105,15861,15830,15901,16206,15816,15875,15715,15882,15681,15654,15691,15698,15818,15730,15597,15216,15481,15640,16002,15765,15669,15785,15709,15606,15614,15899
"67","59","    Other general merchandise stores","KP45290",10952,10929,10918,10924,10988,11023,11339,11310,11349,11535,11433,11548,11946,12089,12267,12583,12506,12760,12743,12844,13155,13197,13525,13451,13782,13979,14350,14190,14439,14728,14664,14991,15168,15198,15457,16418,15363,15875,16374,16103,16391,16696,16947,17135,17300,17526,17468,17599,18312,18014,18081,18938,18876,18848,19234,19533,19665,20033,20315,20958,20778,21040,21156,21308,21541,21793,21822,21927,22029,22371,22806,22962,23144,23606,23934,23990,24091,24383,24683,25313,25140,25155,25518,25649,25995,25951,26173,26146,26572,26155,26427,26588,26807,27128,27297,27652,27767,28192,28342,28672,28853,29287,29408,29590,29954,30337,30317,30229,30662,30870,30686,31381,31087,31048,31207,31368,31892,32056,32207,32908,32980,32513,33153,33036,32980,33270,33468,33711,33681,33669,33967,34602,34285,34257,34552,34723,35317,35417,35194,34967,34619,34442,34936,35084,35333,35362,35113,34933,35226,34960,34997,35227,35499,35936,35504,36132,36238,36907,36549,36829,36688,36782,36920,37211,37233,37412,37819,37744,37695,37975,37967,38301,38187,38368,38547,38552,38844,38850,39014,38993,39718,40187,39950,40006,40269,40246,40353,40582,40657,40850,40816,41024,41109,41596,41451,41455,41834,41920,42129,42262,42464,42523,42714,42573,42803,42635,42938,43436,43416,43675,43981,44283,44251,44274,44608
"68","60","  Other retail stores","KP44X0",67533,68460,69230,68877,69083,70264,70613,69775,70284,70217,71234,70892,71572,72412,73143,74090,74444,74083,75294,75542,75523,76190,76813,77849,78069,79178,79243,77932,78814,78915,78809,78770,78859,79295,80646,82845,80452,81016,80382,80621,81416,80933,81351,82133,82599,82809,83497,84754,82786,83098,83071,83140,82632,81970,82663,84081,81124,83264,84838,85532,86151,86310,85790,86245,86412,85896,86797,86340,86456,86220,87287,87918,86558,85751,85852,86615,88819,89525,89231,89278,88004,89243,90586,90523,90369,90289,90468,91184,91611,90681,91077,91396,91861,91860,92006,92474,93935,93450,93518,94127,94082,95257,94064,94550,92113,94050,95935,96805,96999,97569,98305,97604,97741,97254,96267,96435,97319,98704,100616,100110,99753,101032,100234,99915,100431,99588,99554,100200,100651,100681,101735,100274,100940,99652,99838,101067,100641,98837,98503,98094,97375,96001,97866,99142,99346,98592,98020,98242,98031,95858,96194,96490,96269,95798,97069,98122,97320,97394,99021,99464,99787,100289,99337,99909,100868,100814,100792,100961,101790,101180,101082,100180,100539,101061,101120,102090,101083,102969,103144,102064,102508,103507,103218,103284,104147,102888,104040,104631,103677,104715,105935,105766,107555,107741,108306,109103,109044,108327,108825,108526,108999,109757,109449,110258,109343,110607,111863,111754,112083,111265,111510,112804,112780,113680,115142
