"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"209","201","            Intracity mass transit","DIMTRX0",14670,15094,15251,15814,16186,16489,16616,16839,17423,17495,16794,16349,16015,15535,15039,15041,15335,15522,15400,15266,15638,15540,15678,15928,15669,15736,16101,16243,16646,16951,17115,17264,17305,16714,16408,16604,16548,17431,17759,16843,16945,17016,16992,16848,16707,16546,16259,16448,16701,16813,16953,17179,17612,17080,17100,16880,17290,17233,17358,17482,17264,17509,17778,17705,17198,17201,18072,18422
"210","202","            Other road transportation service","DORTRX0",8576,8661,8724,8760,8777,8837,8958,9140,9378,9611,9837,10055,10246,10321,10265,10067,10001,9973,10064,10271,10543,10803,10999,11126,11186,11220,11244,11252,11247,11319,11481,11733,12054,12254,12313,12222,12047,11859,11649,11413,11048,10810,10699,10709,10789,10909,11074,11284,11222,11196,11068,11165,11332,11455,11509,11600,11601,11951,11849,11757,12162,12337,12844,13171,14779,14584,14384,14395
"211","203","        Air transportation (64)","DAITRX0",44313,44087,45998,46724,47944,49264,50149,50183,50023,48823,45533,42646,46740,46724,48515,49677,50628,49226,50823,51560,53289,54246,52449,51876,50821,51183,51170,48292,46767,48563,47687,49199,49670,49196,48320,48204,47184,44698,43462,41268,41638,43041,42471,41633,40586,39664,39874,38972,37244,38541,38794,38407,38572,38483,38541,38791,40163,39589,40186,40610,41346,41488,41983,42639,42372,42728,44489,45397
"212","204","        Water transportation (65)","DWATRX0",1252,1281,1323,1380,1449,1522,1594,1665,1731,1781,1811,1820,1815,1827,1864,1926,1997,2059,2118,2173,2216,2249,2266,2266,2248,2244,2254,2276,2302,2329,2363,2403,2439,2462,2488,2518,2526,2544,2554,2557,2530,2523,2536,2569,2629,2681,2725,2761,2739,2837,2878,2941,3083,3181,3205,3356,3408,3357,3378,3403,3497,3528,3686,3690,3672,3942,3859,3819
"213","205","    Recreation services","DRCARX0",308883,313772,320533,324116,323830,326596,327077,326321,328928,325533,323721,323508,325551,326059,326943,330647,330460,335647,341109,346194,351576,355220,357794,358556,362436,364471,364514,367279,372191,374357,377088,386071,388818,390514,394570,394393,393155,392505,387678,382548,378954,375332,373619,376095,379061,377044,382389,385330,383988,389757,392140,392475,392825,397427,398191,401155,402763,399747,405895,409744,412941,411909,416982,422784,420697,423098,423222,428498
"214","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",116483,117099,118816,118433,117685,119169,118395,118430,118796,117826,115736,115732,117390,117444,117323,118912,118949,120097,121395,123144,123352,125255,126683,126617,128813,129384,131263,133478,133937,135216,136814,138440,140526,141530,144206,143390,143579,142897,141228,140335,138695,137848,136562,138589,139867,138104,141898,145151,143401,147871,150280,149873,148128,151594,149537,153344,152762,151791,155251,155309,159704,156194,158631,161305,158273,157847,158122,162206
"215","207","        Membership clubs and participant sports centers","DMDFRX0",30442,30499,31164,30945,30715,30678,30178,30244,30139,30111,30083,29504,30286,30468,30820,30710,31084,31252,31811,32657,33208,34161,35091,34689,35820,36603,36906,37540,37811,38154,38756,39352,40562,41071,41883,41948,41558,41455,41267,40253,39410,39099,38908,39079,39929,40401,40541,40074,40745,41429,42584,42449,41494,42561,42969,42619,43226,41891,44686,44127,43514,44255,45492,45245,43923,43811,42648,43964
"216","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",40903,40605,40437,40376,40383,40367,40319,40225,40051,39703,38830,37645,37242,36609,36244,36138,36349,36482,36551,36518,36302,36263,36360,36594,36924,37169,37328,37369,37345,37389,37499,37625,37804,38007,38396,38758,39045,39024,38852,38307,37380,36900,37018,37552,38337,38098,38688,39715,39927,40920,41464,42225,41007,43499,43515,45725,45577,44851,45897,44451,48167,46739,47036,48652,49615,48317,49547,50101
"217","209","        Admissions to specified spectator amusements","DADMRX0",40213,41177,42379,42169,41430,42954,42800,42904,43617,42896,41451,43301,44242,44519,44239,46080,45427,46333,47031,47889,47723,48601,48683,48711,49167,48475,49910,51292,51567,52602,53635,54760,55620,56050,57558,56412,56695,56022,54752,55504,55748,55685,54646,55997,55570,53671,56701,59180,56553,59231,60026,58968,59312,59503,57023,58919,57757,58488,58200,60116,61416,58571,59477,60616,58119,58994,59236,61532
"218","210","          Motion picture theaters","DMOVRX0",10267,11146,12632,11225,10919,11848,11638,11710,11961,11018,11680,11794,12467,12178,11201,12210,11142,11718,11981,12303,11583,11805,11220,11291,11161,9987,11071,11303,11044,11213,11285,11223,11139,10964,12142,10971,11655,11355,10310,11187,11531,11654,10716,12089,12433,11275,11412,11235,10327,11551,12177,10609,12644,11486,11201,12218,11071,12541,12418,12723,12052,12168,11205,12615,12438,12965,11645,13549
"219","211","          Live entertainment, excluding sports","DLIGRX0",13379,13490,13119,14186,13582,13971,13961,14004,14528,14800,13934,14105,14232,14569,15041,15598,16020,16288,16621,17022,17481,18015,18609,19246,19864,20327,20623,20753,21187,21937,22735,23599,24159,24524,24746,24800,24696,24665,24701,24783,24837,24993,25280,25681,25028,25483,26057,27047,26770,27199,27724,28610,27254,27851,26339,27454,27202,27124,25609,25871,28720,27867,28238,26825,25976,26744,26938,26966
"220","212","          Spectator sports","DSPERX0",16732,16671,16721,16873,17093,17255,17333,17318,17227,17196,15905,17531,17660,17896,18142,18394,18406,18445,18532,18646,18755,18859,18937,18205,18161,18201,18233,19274,19376,19479,19631,19949,20338,20583,20674,20658,20350,20006,19745,19537,19381,19037,18650,18227,18110,16921,19229,20895,19455,20482,20124,19752,19417,20163,19481,19254,19486,18845,20159,21490,20647,18574,20037,21152,19715,19349,20610,21006
"221","213","        Museums and libraries","DMUSRX0",4683,4656,4690,4815,5010,5147,5121,5076,5064,5145,5316,5395,5729,5965,6095,6161,6208,6184,6150,6210,6203,6296,6572,6668,6914,7100,7108,7279,7213,7087,6942,6723,6539,6395,6368,6253,6274,6386,6341,6266,6155,6165,5991,5962,6048,5982,5977,6135,6193,6272,6209,6246,6300,6044,6108,6109,6271,6576,6571,6649,6613,6714,6727,6862,6723,6782,6694,6589
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",82722,83932,85318,86139,87055,87813,88238,88942,89896,88205,88747,88584,86804,86173,85893,86092,85990,86133,87139,88619,90021,90968,90583,90930,90145,88868,88648,88626,88232,89654,88834,91039,92175,93314,93287,93902,94418,94664,95073,93684,93524,92941,93474,94282,94365,95056,95146,95922,95970,96201,97249,95677,96247,97516,97778,99770,98904,98224,98797,98585,99322,98707,99538,99595,99475,101204,101507,101545
"223","215","        Cable and satellite television and radio services","DCTVRX0",52694,53589,54741,55356,56195,56953,57445,58374,59687,58164,58221,59204,57729,57160,56762,56744,56490,56445,57181,58327,59383,60279,60193,61234,61419,60926,61270,61569,61248,62647,61713,63767,64625,65634,65671,66578,67587,68387,69413,68726,69227,69197,70203,71419,71500,72125,72302,73269,73916,74801,76228,74979,75131,75978,76084,77862,77137,76497,77093,76969,77665,77048,77769,77859,77756,79434,79722,79739
"224","216","        Photo processing","DFDVRX0",7039,7039,7011,6953,6864,6771,6680,6589,6497,6421,6364,6326,6298,6270,6237,6201,6118,6015,5918,5819,5708,5549,5336,5067,4746,4415,4083,3748,3424,3186,3051,3021,3072,3101,3087,3027,2929,2828,2733,2644,2561,2490,2432,2387,2373,2394,2447,2531,2566,2581,2614,2665,2888,3119,3253,3289,3244,3213,3217,3256,3321,3378,3419,3443,3458,3474,3491,3509
"225","217","        Photo studios","DPICRX0",7540,7485,7462,7467,7492,7512,7526,7531,7519,7473,7391,7270,7127,7024,6978,6989,6973,6948,6951,6974,7011,7055,7105,7159,7209,7242,7255,7247,7221,7220,7253,7319,7408,7481,7532,7560,7557,7514,7428,7299,7135,6995,6894,6831,6847,6876,6886,6876,6830,6776,6727,6682,6699,6744,6787,6827,6854,6839,6775,6662,6509,6385,6307,6274,6260,6244,6229,6216
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",5577,5723,5913,6146,6405,6617,6750,6799,6780,6778,6815,6902,7029,7117,7166,7146,7023,6973,7016,7149,7351,7470,7471,7355,7155,7047,7029,7110,7293,7460,7580,7629,7718,7794,7843,7848,7826,7792,7709,7567,7482,7434,7374,7287,7386,7537,7632,7713,7585,7375,7320,7175,7395,7544,7524,7676,7572,7610,7664,7665,7816,7910,8069,8035,8012,8041,8045,8057
"227","219","        Video media rental","DVIDRX0",9467,9702,9840,9872,9802,9711,9628,9538,9439,9312,9843,8941,8602,8542,8649,8905,9295,9676,10028,10337,10574,10639,10508,10177,9692,9311,9089,9029,9105,9197,9282,9355,9401,9348,9186,8909,8532,8151,7789,7445,7120,6827,6572,6354,6252,6119,5880,5535,5080,4680,4389,4211,4183,4189,4186,4175,4155,4134,4115,4098,4081,4069,4065,4067,4070,4073,4077,4081
"228","220","      Gambling (91)","DGAMRX0",76112,78769,81885,84279,83823,84193,84990,83659,85180,84643,84509,84921,86254,87409,89042,90586,90446,94009,96567,97891,101493,101815,103108,102909,104990,107464,105601,105966,110716,109379,110594,114863,113610,113123,114267,114133,111904,111289,108789,107202,106688,105433,104444,103474,104330,103077,104565,103415,104289,105316,103782,105769,106863,105932,108269,106027,108276,106775,108251,111743,109024,111107,112191,114643,116301,117185,116099,117206
"229","221","        Casino gambling","DCASRX0",51405,54154,57398,59972,59741,60284,61181,59881,61370,60716,60371,60483,61451,62297,63695,65084,65035,68644,71185,72461,76004,76260,77484,77215,79245,81655,79708,79969,84524,82994,84058,88222,86959,86566,87903,88067,86225,85936,83636,82134,81649,80407,79401,78400,79172,77952,79376,78134,79039,79828,77952,79743,80821,79476,81380,79095,81099,79709,81115,84253,81369,83595,84833,87003,88543,89178,87869,88838
"230","222","        Lotteries","DLOTRX0",18926,18801,18643,18441,18207,18044,17974,17993,18090,18246,18462,18736,19047,19311,19515,19656,19764,19861,19954,20018,20050,20110,20209,20344,20499,20669,20854,21047,21239,21421,21597,21761,21890,21918,21837,21638,21344,21108,20975,20938,20975,21011,21038,21052,21082,21111,21127,21128,21246,21426,21606,21783,22001,22223,22427,22610,22762,22910,23064,23223,23368,23490,23591,23667,23750,23848,23954,24065
"231","223","        Pari-mutuel net receipts","DPARRX0",5782,5816,5845,5867,5876,5866,5837,5787,5721,5681,5676,5704,5757,5802,5833,5848,5648,5505,5428,5412,5439,5445,5416,5351,5246,5140,5039,4951,4954,4964,4938,4881,4760,4639,4527,4428,4335,4245,4178,4130,4065,4014,4005,4022,4076,4014,4062,4153,4004,4062,4224,4244,4041,4233,4461,4322,4416,4156,4072,4267,4286,4022,3767,3973,4008,4159,4275,4303
"232","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",33675,33992,34462,35190,35172,35327,35327,35171,34854,34676,34523,34009,34932,34854,34460,34842,34869,35201,35811,36335,36474,36947,37201,37919,38335,38621,38900,39115,39171,40012,40791,41668,42468,42504,42751,42915,43236,43656,42615,41336,40052,39110,39134,39749,40498,40799,40783,40879,40350,40456,40997,41274,41629,42502,42639,42155,42906,43038,43729,44201,45087,45966,46708,47365,46712,46878,47476,47608
"233","225","        Veterinary and other services for pets","DVETRX0",21689,21794,22131,22424,22227,22224,22284,22288,22132,22148,21977,21785,22301,22217,21964,22498,22465,22700,23294,23867,23811,24157,24411,24806,25149,25464,25891,25963,26408,27085,27514,27778,28506,28580,28756,28841,28599,28978,28308,27758,27253,26775,26807,27111,27447,27305,27222,27212,26829,26534,26960,26945,27324,28100,28051,27992,28099,28483,29086,29431,29614,30256,30600,30853,30735,30713,31315,31439
"234","226","        Package tours","DHOLRX0",8863,8876,8824,9017,8918,8849,8627,8352,8093,7809,7679,7217,7471,7336,7092,6931,7048,7250,7366,7392,7581,7715,7710,7999,8044,7998,7851,7973,7616,7785,8112,8673,8737,8693,8774,8884,9483,9635,9426,8920,8398,8118,8199,8506,8801,9124,9098,9144,8974,9385,9479,9777,9696,9719,9869,9379,10020,9695,9709,9766,10441,10609,10977,11374,10781,10960,10895,10868
"235","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",3391,3531,3688,3862,4044,4206,4341,4444,4520,4607,4713,4837,4970,5084,5166,5223,5169,5084,5029,4997,4983,4985,5001,5030,5066,5097,5121,5136,5142,5152,5171,5196,5223,5232,5223,5192,5135,5028,4868,4653,4401,4218,4128,4131,4251,4379,4475,4537,4564,4581,4597,4609,4653,4709,4759,4804,4843,4889,4946,5014,5085,5144,5188,5215,5239,5267,5297,5328
"236","228","    Food services and accommodations","DFSARX0",505058,508101,510137,522147,530671,535332,537191,535405,539347,534019,531047,530199,538001,542024,543001,543842,547762,558004,567440,573195,579419,580249,585542,591618,595002,603596,607795,614014,623083,619646,623260,632677,629809,631253,631878,637427,628991,632440,626274,616730,605802,599860,598221,597450,603084,607698,611323,616319,622123,623252,626418,629249,636313,639494,642709,647318,652034,646554,648443,658837,657069,667880,674585,684777,689318,701406,704567,712195
"237","229","      Food services","DFSERX0",444128,448028,448980,460222,468080,470794,471759,470151,475736,472591,473035,474100,478855,480819,481407,481614,485081,494111,500939,506783,510817,512061,515636,521064,522981,529345,529991,535565,543585,539825,543013,551734,547182,549233,550828,554399,545432,546888,541254,533983,525168,518179,514231,514078,518993,523578,526721,531396,535873,536410,539051,540790,546626,547903,549730,553473,557956,552606,554144,562204,560451,571005,576711,587157,590949,600413,602676,611087
"238","230","        Purchased meals and beverages (102)","DPMBRX0",432590,436446,437370,448583,456403,459070,459994,458351,463889,460715,461112,462175,466914,468850,469377,469469,472751,481635,488389,494150,498101,499229,502656,507854,509477,515503,515762,520914,528473,524334,527213,535787,531182,533241,534857,538539,529723,531280,525654,518344,509457,502468,498605,498730,504016,508807,511921,516332,520404,520599,523062,524789,530752,532172,534151,537996,542570,537252,538796,546852,545060,555540,561162,571541,575229,584620,586781,595096
"239","231","          Meals and nonalcoholic beverages","DMABRX0",379274,382226,383330,392482,398351,400309,401502,400093,404701,401625,400395,400115,403791,405398,406055,406247,409024,416898,422602,427961,431042,432276,435228,439751,441158,446163,446247,450689,457192,453858,456568,463527,459426,461689,463172,466153,458744,460299,455008,448873,441093,435146,431858,432371,439014,444837,448118,451597,454831,455387,457685,458758,464077,465158,466776,470288,474423,469903,471347,478056,476093,485410,489949,498915,501775,510135,511571,518662
"240","232","            Meals at schools","DMSLRX0",18941,19187,19419,19624,19795,19944,20076,20186,20262,20302,20308,20276,20214,20177,20189,20244,20273,20271,20279,20272,20243,20224,20221,20230,20235,20227,20205,20162,20102,20076,20101,20173,20281,20404,20549,20709,20851,20855,20703,20380,19931,19599,19446,19470,19938,20451,20800,20983,20579,20060,19716,19547,19345,19121,18958,18852,18794,18781,18819,18906,19022,19124,19209,19271,19343,19429,19522,19619
"241","233","              Elementary and secondary school lunches","DESLRX0",7565,7627,7693,7756,7814,7868,7921,7970,8008,8025,8020,7990,7941,7897,7869,7854,7846,7838,7842,7846,7848,7855,7869,7889,7908,7921,7928,7925,7911,7891,7867,7838,7801,7758,7715,7668,7609,7522,7404,7252,7074,6924,6816,6749,6619,6472,6359,6281,6210,6138,6074,6018,5903,5770,5656,5561,5479,5405,5339,5280,5226,5186,5164,5158,5142,5117,5093,5070
"242","234","              Higher education school lunches","DHSLRX0",11376,11560,11726,11868,11981,12075,12155,12216,12254,12277,12288,12285,12273,12280,12320,12390,12428,12432,12437,12426,12395,12369,12352,12341,12327,12306,12277,12237,12191,12186,12234,12335,12480,12646,12835,13042,13242,13333,13298,13128,12857,12675,12630,12720,13319,13979,14441,14702,14369,13922,13641,13528,13442,13351,13301,13291,13315,13376,13480,13626,13796,13938,14045,14113,14201,14312,14429,14549
"243","235","            Other purchased meals","DOPMRX0",360341,363045,363913,372865,378564,380372,381432,379913,384444,381331,380096,379849,383582,385225,385869,386006,388751,396627,402323,407689,410800,412053,415008,419521,420923,425936,426042,430526,437087,433779,436465,443353,439144,441283,442621,445441,437894,439444,434306,428492,421161,415546,412412,412902,419076,424383,427312,430608,434256,435341,437995,439243,444776,446088,447875,451501,455705,451190,452597,459228,457142,466368,470826,479741,482531,490813,492156,499155
"244","236","              Meals at limited service eating places","DMLSRX0",185321,185274,185558,190586,192568,194497,194784,193860,197759,194914,194082,195080,196308,197846,199473,197485,199339,203238,205380,210654,210623,212030,212273,214585,215256,218312,217650,219372,223800,220785,221271,221709,218705,221185,223885,224595,221669,223095,221494,218978,214660,214265,211948,212008,217222,219207,222783,224840,226022,225078,225142,226442,229899,229510,230451,232649,237015,235148,235733,236518,234136,242101,244934,247351,248139,253711,254333,256796
"245","237","              Meals at other eating places","DMOERX0",172844,175502,176108,179916,183470,183339,184123,183573,184210,183908,183348,182007,184497,184569,183627,185710,186557,190442,193934,194061,197165,197076,199788,201986,202737,204647,205351,208058,210150,209792,211977,218321,217099,216773,215437,217604,213125,213200,209620,206420,203429,198212,197489,197911,198835,202205,201530,202711,205205,207263,209885,209845,211898,213514,214307,215873,215623,213117,213976,219710,220020,221263,222941,229347,231385,234082,234801,239326
"246","238","              Meals at drinking places","DMDPRX0",2223,2273,2248,2377,2515,2552,2533,2484,2525,2522,2674,2802,2800,2849,2843,2832,2888,2976,3017,3050,3046,2997,2970,2973,2952,3009,3059,3105,3166,3206,3201,3239,3238,3254,3271,3198,3072,3131,3189,3095,3072,3070,2975,2983,3022,2970,3009,3069,3038,2999,2962,2954,2979,3061,3115,2976,3070,2930,2891,2995,2976,3007,2955,3036,3001,3012,3014,3024
"247","239","          Alcohol in purchased meals","DAPMRX0",53127,54050,53856,55941,57934,58660,58374,58142,59081,58998,60679,62058,63131,63460,63325,63220,63728,64734,65787,66182,67059,66948,67423,68098,68314,69339,69514,70224,71280,70474,70643,72257,71752,71551,71684,72384,70979,70982,70644,69471,68365,67322,66746,66358,65011,63991,63829,64760,65593,65240,65408,66054,66700,67036,67394,67731,68173,67378,67480,68820,68983,70149,71226,72637,73461,74493,75214,76437
"248","240","        Food furnished to employees (including military) (103)","DFOORX0",11528,11573,11600,11635,11675,11722,11761,11797,11844,11874,11921,11923,11938,11965,12027,12143,12326,12473,12547,12630,12713,12830,12977,13206,13501,13838,14226,14648,15110,15490,15797,15946,15998,15990,15970,15856,15706,15604,15598,15638,15711,15711,15626,15348,14980,14778,14809,15070,15471,15806,15983,15996,15875,15736,15588,15492,15408,15373,15369,15380,15416,15498,15584,15658,15762,15840,15941,16040
"249","241","          Food supplied to civilians","DCFDRX0",10833,10872,10891,10920,10947,10976,11002,11019,11064,11088,11116,11083,11064,11054,11077,11158,11265,11346,11435,11552,11644,11744,11815,11904,12016,12133,12223,12276,12384,12500,12594,12715,12851,12950,13019,13080,13110,13107,13085,13031,12959,12898,12887,12844,12821,12844,12895,12962,13019,13103,13179,13264,13358,13432,13478,13573,13667,13755,13833,13892,13939,14024,14123,14219,14340,14426,14526,14630
"250","242","          Food supplied to military","DMFDRX0",697,702,711,716,730,748,761,780,782,787,806,842,875,912,951,986,1062,1128,1113,1080,1070,1087,1164,1304,1486,1707,2004,2373,2726,2989,3203,3230,3146,3040,2951,2776,2596,2497,2513,2607,2751,2814,2739,2504,2159,1934,1913,2108,2451,2704,2803,2731,2516,2304,2110,1918,1741,1617,1536,1488,1477,1473,1460,1438,1422,1414,1414,1409
"251","243","      Accommodations (104)","DACCRX0",61546,60801,61814,62664,63380,65189,66015,65834,64431,62401,59268,57483,60362,62292,62653,63251,63719,64951,67484,67455,69547,69172,70804,71474,72853,74984,78283,78945,80008,80247,80674,81420,82882,82364,81524,83378,83746,85594,85028,82795,80670,81665,83985,83358,84085,84119,84604,84927,86252,86843,87366,88455,89685,91589,92984,93855,94088,93962,94311,96656,96636,96886,97881,97639,98386,101002,101900,101125
"252","244","        Hotels and motels","DHOTRX0",47314,46609,47541,48325,48987,50650,51371,51130,49734,47764,44776,43070,45792,47591,47856,48302,48748,49992,52457,52438,54455,54093,55666,56317,57665,59738,62941,63585,64621,64884,65359,66177,67710,67267,66434,68140,68343,69971,69235,66852,64556,65336,67432,66559,67045,66872,67203,67421,68693,69230,69701,70749,71913,73776,75162,76058,76343,76228,76541,78846,78693,78835,79756,79442,80125,82696,83512,82617
"253","245","        Housing at schools","DSCHRX0",14736,14751,14769,14782,14791,14827,14903,15013,15142,15240,15302,15323,15314,15345,15441,15598,15598,15522,15488,15477,15477,15477,15474,15466,15445,15429,15424,15423,15417,15379,15307,15195,15058,14988,15012,15127,15317,15517,15722,15924,16123,16330,16553,16790,17035,17238,17392,17494,17556,17611,17666,17716,17794,17857,17887,17880,17837,17826,17865,17952,18068,18171,18255,18316,18387,18472,18563,18658
"254","246","    Financial services and insurance","DIFSRX0",576227,590822,603819,623803,655197,656505,660831,664410,654415,647606,638473,643403,640190,639920,643623,642983,637227,640152,644969,649972,659846,661864,669043,684180,691660,703233,710515,710937,718508,718406,717370,725975,735366,743218,747002,744559,742299,738315,738863,730214,723790,719028,719201,713802,721467,736148,735415,742686,747980,746568,752634,741438,732581,707508,693306,692166,705703,714057,713935,722064,718547,719939,725555,727385,727354,731368,729546,732869
"255","247","      Financial services","DFNLRX0",322410,334803,344846,361030,384104,383531,386602,388035,379948,373143,364082,369856,371415,372092,373947,372749,368363,369957,372705,376204,385043,385613,389045,399858,402323,408592,412402,410831,419008,423200,424616,432987,437978,443225,446364,443587,442668,441678,447947,449882,454186,455040,454411,445322,447092,456195,452556,457122,460613,455981,460353,451626,453149,438652,429798,428744,436112,438803,436702,443375,440140,440824,445195,445024,441213,441882,436204,435903
"256","248","        Financial services furnished without payment (107)","DIMPRX0",183227,186027,188894,192047,195594,196273,195762,193409,191063,188364,187263,186797,187235,185252,183653,183623,182776,181812,181613,184135,188949,192392,195321,199251,201997,202404,202139,200784,199599,198092,197986,202822,205821,206741,209774,207452,207366,208796,212398,218077,228154,230658,232039,226663,227721,233551,237776,242881,244601,242877,240402,236794,231491,227142,224279,222805,227767,231687,232735,238121,241143,241032,242308,244846,244736,247292,245570,243642
"257","249","          Commercial banks","DIMCRX0",51259,50330,50158,49371,48579,46986,44699,43188,42878,42648,43044,43790,45735,48060,49029,50901,51131,49983,48702,47910,48862,49609,51094,52990,53654,53311,53190,52590,52701,50772,48575,49066,47310,44823,47031,44574,45381,48000,51499,57207,63633,68684,70252,69976,68698,69337,68179,69749,69808,68697,70307,70529,70198,69264,68357,67192,64157,63306,63274,64680,64405,66060,67657,69457,70000,71576,73387,74955
"258","250","          Other depository institutions and regulated investment companies","DIMNRX0",94793,98648,101400,104886,108615,110744,113028,113035,112057,110659,110085,109681,108725,104610,102258,100215,99162,99512,100659,103910,107442,109889,111043,112854,114991,115702,115200,113889,111700,111742,113705,117683,122615,126408,126876,127613,126809,125308,125020,124424,127862,125500,125731,121207,123350,128112,133372,136889,139022,138924,135101,131444,125336,122607,121057,120909,128133,134369,136863,140654,143930,143351,144268,143814,143102,144029,140152,136325
"259","251","          Pension funds","DPENRX0",37365,37425,37843,38608,39576,40107,40035,39333,38107,36848,35680,34591,33603,32880,32395,32184,32108,32123,32287,32560,32892,33144,33283,33298,33225,33350,33739,34383,35223,35996,36654,37186,37572,37780,37821,37677,37371,37096,36906,36789,36697,36460,36053,35462,35635,36081,36323,36356,35955,35485,35133,34894,35926,35222,34814,34669,35563,34336,33080,33345,33523,32333,31151,32140,32130,32127,32133,32144
"260","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",139468,148689,155694,168517,187784,186570,190284,194253,188405,184257,176092,182524,183670,186482,190155,188944,185278,188015,191098,191992,195955,192827,193214,200218,199784,205893,210169,210000,219930,226064,227677,231123,233064,237559,237491,237134,236255,233642,236265,232152,226022,224364,222383,218675,219399,222662,214629,214062,215855,212966,219833,214711,221611,211426,205414,205841,208231,207005,203875,205178,199027,199805,202870,200194,196502,194635,190682,192352
"261","253","          Financial service charges and fees","DFEERX0",50694,52296,55503,57261,57990,58107,60146,63901,63395,65586,64102,66217,67561,69772,72434,74325,74676,74418,75751,76282,76647,76600,77318,78437,78725,83190,84437,85215,86238,87044,89135,88718,90254,91179,91651,92080,89979,88210,88799,88927,91604,92322,93768,92746,90089,88038,82635,82411,84249,83961,85006,84838,83896,83436,81869,83022,82847,81632,80285,80771,80874,82236,84196,83367,83483,84374,85707,86165
"262","254","          Securities commissions","DEQTRX0",29394,32297,33212,39444,49306,47356,47260,48058,44979,41677,38469,41663,40828,41200,41347,37069,31980,37279,38687,37150,39964,35879,34077,36898,35137,35044,36930,36578,39243,39062,35429,36978,38337,39342,40052,39568,39885,37876,38428,35514,31471,33624,34222,32253,31614,33848,31093,32671,32262,30020,33781,30953,31269,31921,24930,26488,28352,29431,29329,29429,28314,27217,28107,30258,27620,26720,26650,26739
"263","255","            Direct commissions","DDCTRX0",18918,21302,22770,27752,34508,34177,35386,35873,32945,30443,28787,30989,31237,31455,31138,27117,22619,26795,27039,25902,27877,24155,22493,24507,22072,21445,22846,21512,23269,22254,19617,19971,20443,20608,19728,20421,20870,20267,20912,20889,18390,19603,19365,17339,16981,17946,17059,17943,17334,16365,17882,17195,17336,17787,10662,11146,12425,12030,12956,12920,11953,11678,10971,11194,9627,9865,8005,9110
"264","256","              Exchange-listed equities","DDCERX0",9507,11308,10513,13031,15172,15170,16577,17269,16459,15989,16103,17366,16515,16720,16502,13779,10709,12611,11371,10109,11566,8426,6782,9147,7213,6611,6455,5999,6116,6371,5173,4621,4830,4728,5387,4990,4874,4025,4671,4805,3964,4173,3329,3001,2305,2357,1397,1545,1574,1367,1685,1340,1394,1340,1285,1415,1358,1478,1367,1427,1519,1368,1372,1613,1455,1314,1709,1419
"265","257","              Other direct commissions","DDCORX0",9333,9982,12069,14525,19047,18744,18577,18391,16283,14236,12448,13351,14507,14492,14404,13201,11845,14129,15630,15751,16271,15670,15644,15301,14800,14781,16349,15478,17131,15833,14426,15372,15618,15889,14329,15418,15989,16248,16241,16090,14424,15429,16038,14338,14670,15578,15612,16349,15717,14952,16158,15803,15892,16392,9366,9720,11046,10533,11565,11470,10413,10291,9580,9558,8151,8533,6255,7677
"266","258","            Indirect commissions","DICTRX0",6928,7342,6981,7958,10056,9485,8619,9397,9093,8146,6809,7116,6306,6419,6744,6388,5786,6508,7078,6825,7215,7330,6923,7276,7458,7845,7992,9202,9321,10154,9556,9858,9943,9930,11364,9422,9622,8583,8813,6435,6135,6868,7302,7636,7581,8237,6866,7224,7427,6750,8322,7106,6836,7407,7224,7743,8252,9144,8136,8475,8676,8067,8511,9987,9751,8823,10789,10009
"267","259","              Over-the-counter equity securities","DICVRX0",316,378,403,546,716,712,737,894,831,893,556,521,485,570,625,558,526,635,580,561,621,534,546,570,540,499,424,500,556,587,564,557,544,564,547,608,653,594,719,543,580,701,817,852,852,892,762,606,692,791,850,663,657,640,682,662,690,686,630,711,750,724,720,697,669,670,797,713
"268","260","              Other imputed commissions","DICORX0",9791,9691,8631,8756,10619,9556,7885,8021,8210,6799,6307,6812,5941,5820,6051,5805,5229,5816,6525,6286,6590,6857,6410,6745,6983,7438,7695,8845,8890,9708,9121,9442,9549,9508,11039,8905,9052,8061,8120,5905,5556,6165,6482,6786,6737,7353,6117,6584,6713,5990,7464,6417,6160,6728,6521,7041,7518,8391,7451,7715,7878,7303,7742,9213,9007,8084,9908,9220
