"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"56","36","  Personal income excluding current transfer receipts (millions of chained 2009 dollars) \5\","W875RX1","3,384,632.0","3,397,589.0","3,413,686.0","3,426,809.0","3,440,960.0","3,453,905.0","3,474,761.0","3,497,854.0","3,506,211.0","3,514,033.0","3,515,544.0","3,520,778.0","3,527,526.0","3,532,240.0","3,543,217.0","3,531,040.0","3,534,721.0","3,528,026.0","3,555,006.0","3,563,266.0","3,562,649.0","3,537,017.0","3,534,003.0","3,540,899.0","3,577,794.0","3,581,495.0","3,590,502.0","3,602,722.0","3,615,978.0","3,615,496.0","3,621,515.0","3,642,317.0","3,646,302.0","3,662,560.0","3,680,849.0","3,709,691.0","3,728,708.0","3,747,432.0","3,766,706.0","3,785,060.0","3,798,826.0","3,806,804.0","3,833,936.0","3,872,418.0","3,890,155.0","3,955,152.0","3,985,331.0","4,006,820.0","3,985,839.0","4,000,276.0","4,000,040.0","4,013,022.0","4,026,300.0","4,040,999.0","4,056,551.0","4,041,563.0","4,066,159.0","4,104,301.0","4,113,985.0","4,102,999.0","4,056,924.0","4,029,421.0","4,000,386.0","3,979,852.0","3,982,418.0","3,986,161.0","3,995,421.0","3,976,621.0","3,969,543.0","3,983,921.0","3,953,568.0","3,938,082.0","3,926,443.0","3,907,566.0","3,907,141.0","3,904,632.0","3,924,064.0","3,930,541.0","3,930,718.0","3,963,059.0","3,975,742.0","3,992,090.0","4,000,988.0","4,000,720.0","4,022,615.0","4,048,787.0","4,065,310.0","4,085,621.0","4,098,324.0","4,099,422.0","4,113,852.0","4,128,447.0","4,134,576.0","4,139,926.0","4,173,278.0","4,181,123.0","4,156,983.0","4,173,495.0","4,196,309.0","4,224,319.0","4,250,404.0","4,265,620.0","4,284,793.0","4,297,657.0","4,331,951.0","4,382,344.0","4,410,415.0","4,432,220.0","4,413,479.0","4,436,193.0","4,463,200.0","4,497,428.0","4,498,064.0","4,523,802.0","4,532,859.0","4,552,486.0","4,563,904.0","4,588,840.0","4,596,023.0","4,628,237.0","4,630,564.0","4,657,017.0","4,672,070.0","4,627,738.0","4,613,993.0","4,621,688.0","4,627,386.0","4,634,207.0","4,639,243.0","4,645,773.0","4,662,726.0","4,676,995.0","4,670,444.0","4,651,160.0","4,627,454.0","4,596,034.0","4,580,149.0","4,584,344.0","4,570,578.0","4,590,523.0","4,611,770.0","4,684,861.0","4,712,162.0","4,731,748.0","4,715,333.0","4,698,671.0","4,710,105.0","4,705,145.0","4,718,940.0","4,746,669.0","4,794,653.0","4,816,244.0","4,815,246.0","4,802,977.0","4,805,022.0","4,801,986.0","4,787,889.0","4,804,866.0","4,800,215.0","4,827,121.0","4,828,195.0","4,806,949.0","4,793,579.0","4,799,259.0","4,790,545.0","4,786,051.0","4,789,954.0","4,818,857.0","4,817,601.0","4,817,498.0","4,836,146.0","4,842,134.0","4,871,337.0","4,877,628.0","4,907,537.0","4,908,736.0","4,944,326.0","5,001,585.0","5,033,752.0","5,081,185.0","5,104,127.0","5,142,645.0","5,176,288.0","5,212,562.0","5,227,503.0","5,271,881.0","5,288,480.0","5,326,290.0","5,375,745.0","5,352,732.0","5,381,793.0","5,407,732.0","5,402,663.0","5,407,413.0","5,431,733.0","5,422,725.0","5,431,203.0","5,452,339.0","5,451,414.0","5,460,698.0","5,486,448.0","5,515,972.0","5,528,418.0","5,566,626.0"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2009) dollars \5\","A067RX1","3,195,704.0","3,195,238.0","3,200,294.0","3,200,275.0","3,236,954.0","3,259,445.0","3,284,236.0","3,305,682.0","3,311,990.0","3,322,415.0","3,326,047.0","3,330,927.0","3,349,510.0","3,358,504.0","3,369,070.0","3,414,132.0","3,396,554.0","3,385,312.0","3,441,702.0","3,454,028.0","3,459,631.0","3,442,950.0","3,436,174.0","3,449,735.0","3,505,429.0","3,510,029.0","3,520,714.0","3,530,454.0","3,543,218.0","3,616,121.0","3,566,141.0","3,585,675.0","3,595,015.0","3,607,881.0","3,619,685.0","3,644,475.0","3,624,102.0","3,644,037.0","3,653,999.0","3,658,561.0","3,683,376.0","3,691,582.0","3,720,823.0","3,755,534.0","3,769,292.0","3,863,036.0","3,906,781.0","3,922,013.0","3,902,012.0","3,930,139.0","3,942,584.0","3,948,602.0","3,954,487.0","3,965,419.0","3,974,729.0","3,962,987.0","3,982,616.0","4,018,107.0","4,024,669.0","4,008,504.0","3,981,722.0","3,950,359.0","3,921,014.0","3,917,524.0","3,913,437.0","3,911,124.0","3,932,170.0","3,913,822.0","3,907,455.0","3,926,210.0","3,906,235.0","3,906,028.0","3,904,522.0","3,906,078.0","3,909,297.0","3,983,108.0","4,212,151.0","4,068,605.0","4,007,522.0","4,033,393.0","4,044,615.0","4,060,721.0","4,057,816.0","4,059,806.0","4,086,024.0","4,111,087.0","4,123,582.0","4,127,405.0","4,127,588.0","4,129,798.0","4,153,799.0","4,160,887.0","4,161,238.0","4,155,776.0","4,192,370.0","4,202,210.0","4,185,469.0","4,149,692.0","4,211,279.0","4,224,675.0","4,229,245.0","4,248,681.0","4,279,057.0","4,297,315.0","4,320,644.0","4,352,979.0","4,388,332.0","4,404,894.0","4,384,135.0","4,409,668.0","4,445,689.0","4,459,585.0","4,455,595.0","4,455,300.0","4,476,743.0","4,494,598.0","4,495,278.0","4,512,365.0","4,517,716.0","4,542,766.0","4,555,593.0","4,573,968.0","4,587,326.0","4,551,023.0","4,529,699.0","4,518,227.0","4,551,627.0","4,557,037.0","4,554,707.0","4,559,887.0","4,575,107.0","4,587,715.0","4,618,897.0","4,593,456.0","4,557,121.0","4,530,008.0","4,516,692.0","4,522,985.0","4,564,466.0","4,572,728.0","4,597,758.0","4,653,246.0","4,664,936.0","4,686,457.0","4,664,032.0","4,646,272.0","4,656,813.0","4,642,075.0","4,649,326.0","4,672,406.0","4,743,813.0","4,755,371.0","4,750,280.0","4,760,295.0","4,761,952.0","4,755,281.0","4,757,161.0","4,769,526.0","4,768,168.0","4,814,991.0","4,794,705.0","4,767,657.0","4,815,899.0","4,819,347.0","4,818,934.0","4,818,677.0","4,838,233.0","4,862,353.0","4,872,361.0","4,874,278.0","4,897,298.0","4,906,059.0","4,922,721.0","4,919,273.0","4,982,446.0","4,979,625.0","5,008,274.0","5,052,839.0","5,096,771.0","5,143,369.0","5,169,205.0","5,200,705.0","5,235,076.0","5,271,060.0","5,279,234.0","5,314,888.0","5,322,730.0","5,360,791.0","5,399,250.0","5,378,828.0","5,401,506.0","5,434,864.0","5,433,730.0","5,384,155.0","5,358,709.0","5,450,391.0","5,578,068.0","5,459,258.0","5,472,053.0","5,468,042.0","5,492,403.0","5,520,851.0","5,533,276.0","5,567,274.0"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","3,301","3,307","3,326","3,338","3,387","3,424","3,462","3,491","3,509","3,528","3,544","3,562","3,592","3,613","3,631","3,693","3,682","3,676","3,746","3,765","3,783","3,779","3,783","3,810","3,876","3,889","3,910","3,932","3,959","4,054","4,006","4,036","4,048","4,064","4,082","4,122","4,113","4,149","4,163","4,171","4,205","4,218","4,263","4,311","4,342","4,451","4,512","4,540","4,528","4,582","4,625","4,664","4,690","4,726","4,751","4,787","4,826","4,892","4,937","4,954","4,965","4,980","4,997","5,024","5,064","5,100","5,161","5,186","5,226","5,284","5,293","5,330","5,358","5,385","5,404","5,521","5,856","5,686","5,643","5,698","5,737","5,788","5,817","5,847","5,904","5,944","5,967","5,982","6,006","6,031","6,091","6,130","6,159","6,177","6,255","6,299","6,306","6,297","6,417","6,470","6,504","6,565","6,640","6,693","6,748","6,824","6,913","6,967","6,971","7,039","7,137","7,208","7,246","7,287","7,355","7,414","7,449","7,530","7,575","7,646","7,718","7,784","7,862","7,874","7,911","7,948","8,059","8,122","8,180","8,248","8,325","8,410","8,547","8,585","8,613","8,599","8,632","8,689","8,828","8,909","9,031","9,204","9,295","9,392","9,420","9,473","9,554","9,558","9,608","9,685","9,883","9,959","9,999","10,056","10,105","10,114","10,172","10,222","10,237","10,335","10,345","10,352","10,509","10,540","10,559","10,608","10,676","10,739","10,806","10,823","10,882","10,943","11,004","11,028","11,224","11,256","11,351","11,463","11,571","11,676","11,778","11,922","12,032","12,153","12,179","12,274","12,326","12,442","12,537","12,509","12,571","12,676","12,729","12,667","12,650","12,876","13,200","12,945","12,996","13,018","13,086","13,164","13,221","13,338"
"61","39","      Chained (2009) dollars","A229RX0","15,834","15,822","15,836","15,824","15,991","16,089","16,196","16,285","16,299","16,334","16,337","16,347","16,425","16,457","16,495","16,695","16,591","16,518","16,775","16,815","16,822","16,721","16,670","16,718","16,970","16,976","17,012","17,042","17,087","17,422","17,164","17,239","17,265","17,308","17,348","17,452","17,341","17,424","17,458","17,466","17,570","17,595","17,719","17,868","17,917","18,346","18,538","18,596","18,488","18,610","18,655","18,670","18,683","18,720","18,749","18,677","18,752","18,904","18,921","18,832","18,693","18,534","18,384","18,354","18,321","18,296","18,379","18,277","18,229","18,301","18,194","18,180","18,161","18,157","18,159","18,488","19,533","18,847","18,546","18,648","18,683","18,741","18,712","18,708","18,815","18,918","18,963","18,967","18,954","18,949","19,042","19,057","19,041","18,999","19,150","19,180","19,089","18,912","19,178","19,223","19,228","19,300","19,419","19,483","19,568","19,696","19,838","19,897","19,788","19,889","20,035","20,081","20,045","20,025","20,102","20,161","20,143","20,200","20,206","20,300","20,340","20,406","20,449","20,269","20,156","20,086","20,214","20,216","20,184","20,186","20,233","20,269","20,388","20,258","20,079","19,942","19,863","19,870","20,034","20,050","20,139","20,363","20,398","20,478","20,367","20,276","20,308","20,228","20,244","20,327","20,618","20,649","20,606","20,631","20,623","20,579","20,573","20,612","20,592","20,779","20,676","20,542","20,732","20,729","20,708","20,689","20,758","20,847","20,876","20,871","20,956","20,979","21,035","21,003","21,256","21,226","21,330","21,502","21,674","21,858","21,954","22,074","22,205","22,343","22,362","22,496","22,511","22,652","22,794","22,689","22,768","22,894","22,875","22,654","22,533","22,902","23,420","22,903","22,937","22,899","22,980","23,080","23,114","23,240"
"62","40","  Population (midperiod, thousands) \6\","B230RC0","201,821","201,952","202,092","202,246","202,419","202,592","202,777","202,984","203,196","203,401","203,588","203,762","203,929","204,082","204,246","204,504","204,719","204,941","205,174","205,418","205,664","205,906","206,131","206,352","206,567","206,762","206,960","207,163","207,361","207,562","207,771","207,998","208,230","208,450","208,648","208,829","208,989","209,137","209,299","209,466","209,635","209,811","209,986","210,177","210,379","210,568","210,739","210,903","211,053","211,187","211,337","211,499","211,662","211,828","212,001","212,191","212,382","212,555","212,710","212,859","213,003","213,143","213,286","213,437","213,600","213,770","213,948","214,144","214,349","214,538","214,704","214,857","214,998","215,132","215,276","215,438","215,646","215,871","216,084","216,294","216,490","216,679","216,851","217,013","217,172","217,315","217,455","217,607","217,773","217,948","218,134","218,337","218,542","218,739","218,920","219,093","219,262","219,424","219,594","219,772","219,953","220,143","220,349","220,573","220,796","221,007","221,206","221,390","221,553","221,711","221,892","222,084","222,278","222,482","222,697","222,933","223,168","223,383","223,585","223,781","223,973","224,150","224,333","224,529","224,734","224,948","225,174","225,419","225,662","225,893","226,120","226,339","226,554","226,753","226,955","227,156","227,387","227,624","227,840","228,070","228,302","228,515","228,696","228,858","229,004","229,148","229,314","229,489","229,668","229,864","230,077","230,300","230,527","230,732","230,906","231,073","231,235","231,392","231,558","231,727","231,901","232,090","232,290","232,496","232,708","232,905","233,077","233,241","233,398","233,543","233,697","233,852","234,020","234,213","234,404","234,601","234,804","234,993","235,157","235,310","235,456","235,601","235,757","235,916","236,077","236,254","236,449","236,655","236,868","237,068","237,238","237,392","237,535","237,667","237,816","237,987","238,172","238,368","238,573","238,789","239,006","239,210","239,392","239,558"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Includes actual employer contributions and actuarially imputed employer contributions to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","reflect benefits accrued by defined benefit pension plan participants through service to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","employers in the current period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Social security benefits include old-age, survivors, and disability insurance benefits that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","are distributed from the federal old-age and survivors insurance trust fund and the disability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Medicare benefits include hospital and supplementary medical insurance benefits that are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","distributed from the federal hospital insurance trust fund and the supplementary medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
