"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"47","28","  From business (net)","W164RC1","276.0","292.0","308.0","336.0","368.0","396.0","408.0","432.0","424.0","420.0","428.0","428.0","388.0","408.0","424.0","708.0","692.0","608.0","540.0","900.0","904.0","736.0","736.0","1,588.0","720.0","600.0","664.0","976.0","1,280.0","796.0","832.0","1,392.0","1,404.0","1,320.0","1,116.0","1,748.0","1,232.0","1,432.0","1,080.0","1,664.0","1,596.0","1,788.0","2,148.0","2,548.0","2,316.0","2,344.0","2,240.0","2,720.0","2,788.0","3,204.0","3,292.0","3,500.0","2,989.0","3,730.0","3,410.0","3,541.0","3,182.0","3,411.0","3,284.0","3,754.0","3,552.0","3,483.0","3,425.0","3,519.0","2,813.0","2,850.0","2,994.0","2,914.0","3,447.0","2,922.0","3,072.0","3,315.0","2,826.0","3,335.0","3,716.0","3,533.0","4,630.0","4,732.0","4,054.0","4,478.0","4,472.0","4,278.0","4,557.0","5,152.0","4,283.0","4,895.0","5,205.0","4,893.0","4,874.0","5,107.0","5,021.0","5,057.0","5,174.0","5,476.0","5,635.0","5,390.0","5,297.0","5,250.0","5,357.0","5,517.0","5,658.0","5,348.0","5,976.0","7,034.0","8,681.0","8,557.0","8,642.0","7,087.0","6,665.0","6,807.0","6,695.0","7,307.0","7,575.0","8,552.0","9,360.0","10,773.0","13,641.0","13,920.0","13,360.0","10,975.0","8,358.0","6,960.0","7,430.0","6,900.0","8,540.0","10,526.0","11,863.0","14,604.0","17,459.0","18,581.0","18,288.0","18,743.0","12,223.0","10,978.0","10,844.0","10,969.0","12,613.0","12,259.0","13,763.0","15,995.0","22,291.0","25,820.0","23,727.0","33,414.0","34,841.0","33,889.0","28,582.0","27,815.0","19,180.0","19,634.0","24,016.0","24,903.0","36,291.0","32,855.0","31,499.0","22,495.0","38,044.0","35,048.0","32,592.0","35,092.0","24,855.0","19,736.0","18,495.0","21,646.0","26,938.0","23,845.0","22,714.0","16,799.0","30,300.0","16,821.0","20,371.0","20,741.0","22,126.0","25,480.0","27,696.0","33,819.0","35,003.0","34,764.0"
"48","29","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,809.0","-2,699.0","2,434.0","-2,586.0","-10,667.0","9,846.0","28,157.0","6,707.0","1,663.0","165.0","7,067.0","4,584.0","645.0","17,432.0","-14,043.0","-17,258.0","-7,902.0","-27,643.0","-47,916.0","-56,773.0","-78,545.0","-87,932.0","-90,445.0","-103,427.0","-89,422.0","-111,371.0","-121,284.0","-135,176.0","-128,332.0","-141,870.0","-150,231.0","-150,305.0","-150,942.0","-154,393.0","-154,061.0","-157,021.0","-126,886.0","-109,968.0","-106,469.0","-119,630.0","-106,717.0","-93,590.0","-81,671.0","-87,499.0","-90,056.0","-72,883.0","-82,398.0","-54,336.0","46,550.0","14,748.0","-13,051.0","-16,819.0","-21,817.0","-39,414.0","-52,730.0","-68,438.0","-56,547.0","-73,695.0","-76,576.0","-107,421.0","-92,094.0","-108,301.0","-120,841.0","-137,680.0","-118,420.0","-118,617.0","-99,035.0","-84,264.0","-102,065.0","-108,454.0","-132,624.0","-113,427.0","-131,169.0","-101,119.0","-122,043.0","-162,985.0","-164,076.0","-195,271.0","-223,816.0","-235,013.0","-243,398.0","-279,724.0","-314,396.0","-330,201.0","-385,639.0","-389,344.0","-426,564.0","-434,912.0","-420,317.0","-383,636.0","-411,648.0","-343,508.0","-405,755.0","-452,226.0","-455,148.0","-486,623.0","-531,316.0","-516,120.0","-510,335.0","-496,406.0","-534,265.0","-612,361.0","-630,467.0","-709,538.0","-695,023.0","-701,213.0","-728,634.0","-823,620.0","-786,043.0","-805,344.0","-851,859.0","-739,583.0","-793,303.0","-751,488.0","-675,164.0","-616,288.0","-708,901.0","-706,307.0","-695,463.0","-603,520.0","-394,764.0","-352,959.0","-379,952.0","-396,961.0","-445,249.0","-460,190.0","-486,357.0","-426,272.0","-463,433.0","-472,790.0","-425,049.0","-466,528.0","-488,903.0","-444,559.0","-421,083.0","-401,387.0","-438,057.0","....."
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,905.0","-2,807.0","2,326.0","-2,706.0","-10,787.0","9,718.0","28,025.0","6,575.0","1,535.0","45.0","6,947.0","4,464.0","525.0","17,316.0","-14,151.0","-17,366.0","-8,010.0","-27,747.0","-48,012.0","-56,869.0","-78,633.0","-88,024.0","-90,545.0","-103,539.0","-89,558.0","-111,519.0","-121,436.0","-135,312.0","-128,452.0","-141,978.0","-150,339.0","-150,413.0","-151,070.0","-154,529.0","-154,205.0","-157,165.0","-127,022.0","-110,100.0","-106,605.0","-119,762.0","-106,849.0","-93,734.0","-81,815.0","-88,471.0","-90,888.0","-73,035.0","-82,554.0","-82,688.0","42,110.0","14,180.0","-29,063.0","-16,995.0","-22,041.0","-39,834.0","-46,786.0","-68,630.0","-59,187.0","-73,907.0","-77,024.0","-107,621.0","-92,266.0","-111,913.0","-121,909.0","-137,908.0","-118,656.0","-118,349.0","-101,011.0","-83,996.0","-102,281.0","-108,658.0","-132,828.0","-113,639.0","-131,453.0","-101,695.0","-122,723.0","-163,349.0","-164,292.0","-195,467.0","-224,088.0","-235,249.0","-243,678.0","-279,996.0","-314,700.0","-347,213.0","-386,023.0","-389,716.0","-427,000.0","-435,092.0","-420,545.0","-383,844.0","-359,128.0","-343,832.0","-406,119.0","-452,594.0","-455,788.0","-487,251.0","-531,928.0","-521,491.0","-512,606.0","-496,655.0","-534,756.0","-612,601.0","-618,061.0","-710,060.0","-703,920.0","-701,817.0","-667,444.0","-823,892.0","-791,200.0","-807,570.0","-852,147.0","-740,175.0","-793,563.0","-749,987.0","-675,684.0","-616,646.0","-709,280.0","-706,752.0","-671,662.0","-604,858.0","-395,211.0","-353,454.0","-380,540.0","-397,688.0","-445,753.0","-460,748.0","-487,485.0","-426,814.0","-464,035.0","-476,561.0","-426,679.0","-467,160.0","-489,311.0","-445,925.0","-423,362.0","-371,119.0","-438,517.0","....."
"51","31","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,809.0","-2,699.0","2,434.0","-2,586.0","-10,667.0","9,846.0","28,157.0","6,707.0","1,663.0","165.0","7,067.0","4,584.0","645.0","17,432.0","-14,043.0","-17,258.0","-7,902.0","-27,643.0","-47,916.0","-56,773.0","-78,545.0","-87,932.0","-90,445.0","-103,427.0","-89,422.0","-111,371.0","-121,284.0","-135,176.0","-128,332.0","-141,870.0","-150,231.0","-150,305.0","-150,942.0","-154,393.0","-154,061.0","-157,021.0","-126,886.0","-109,968.0","-106,469.0","-119,630.0","-106,717.0","-93,590.0","-81,671.0","-87,499.0","-90,056.0","-72,883.0","-82,398.0","-54,336.0","46,550.0","14,748.0","-13,051.0","-16,819.0","-21,817.0","-39,414.0","-52,730.0","-68,438.0","-56,547.0","-73,695.0","-76,576.0","-107,421.0","-92,094.0","-108,301.0","-120,841.0","-137,680.0","-118,420.0","-118,617.0","-99,035.0","-84,264.0","-102,065.0","-108,454.0","-132,624.0","-113,427.0","-131,169.0","-101,119.0","-122,043.0","-162,985.0","-164,076.0","-195,271.0","-223,816.0","-235,013.0","-243,398.0","-279,724.0","-314,396.0","-330,201.0","-385,639.0","-389,344.0","-426,564.0","-434,912.0","-420,317.0","-383,636.0","-411,648.0","-343,508.0","-405,755.0","-452,226.0","-455,148.0","-486,623.0","-531,316.0","-516,120.0","-510,335.0","-496,406.0","-534,265.0","-612,361.0","-630,467.0","-709,538.0","-695,023.0","-701,213.0","-728,634.0","-823,620.0","-786,043.0","-805,344.0","-851,859.0","-739,583.0","-793,303.0","-751,488.0","-675,164.0","-616,288.0","-708,901.0","-706,307.0","-695,463.0","-603,520.0","-394,764.0","-352,959.0","-379,952.0","-396,961.0","-445,249.0","-460,190.0","-486,357.0","-426,272.0","-463,433.0","-472,790.0","-425,049.0","-466,528.0","-488,903.0","-444,559.0","-421,083.0","-401,387.0","-438,057.0","....."
"52","32","    Less: Capital account transactions (net) \2\","W167RC1","4.0","0.0","4.0","0.0","0.0","4.0","4.0","12.0","12.0","12.0","16.0","24.0","24.0","24.0","36.0","36.0","36.0","36.0","40.0","36.0","36.0","36.0","36.0","36.0","48.0","60.0","60.0","60.0","60.0","48.0","48.0","48.0","52.0","60.0","72.0","72.0","84.0","84.0","84.0","96.0","96.0","108.0","108.0","120.0","120.0","128.0","132.0","132.0","128.0","120.0","120.0","120.0","120.0","116.0","108.0","108.0","108.0","104.0","96.0","96.0","88.0","92.0","100.0","112.0","136.0","148.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","224.0","420.0","-5,944.0","192.0","2,640.0","212.0","448.0","200.0","172.0","3,612.0","1,068.0","228.0","236.0","-268.0","1,976.0","-268.0","216.0","204.0","204.0","212.0","284.0","576.0","680.0","364.0","216.0","196.0","272.0","236.0","280.0","272.0","304.0","17,012.0","384.0","372.0","436.0","180.0","228.0","208.0","-52,520.0","324.0","364.0","368.0","640.0","628.0","612.0","5,371.0","2,271.0","249.0","491.0","240.0","-12,406.0","522.0","8,897.0","604.0","-61,190.0","272.0","5,157.0","2,226.0","288.0","592.0","260.0","-1,501.0","520.0","358.0","379.0","445.0","-23,801.0","1,338.0","447.0","495.0","588.0","727.0","504.0","558.0","1,128.0","542.0","602.0","3,771.0","1,630.0","632.0","408.0","1,366.0","2,279.0","-30,268.0","460.0","....."
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
