"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRG3",38.202,39.34,39.694,40.17,40.557,40.771,41.424,43.62,45.717,48.17,51.092,53.646,55.426,56.942,59.25,62.825,65.467,67.964,71.014,73.253,78.227,83.821,87.898,89.758,90,90.606,91.312,90.74,92.791,96.717,99.803,102.19,104.3,106.572,106.765,105.782,104.833,104.155,103.512,102.18,99.541,98.134,97.531,96.345,94.847,94.676,97.001,97.587,96.522,97.856,100,101.006,101.56,104.206,106.663
"115","108","        Clothing materials","DCSMRG3",50.546,50.828,51.028,50.942,51.32,51.62,52.031,53.071,55.484,58.751,61.946,64.431,66.674,68.268,70.581,74.829,76.629,78.822,81.242,80.845,83.544,89.662,95.21,98.321,99.842,100.38,101.664,103.675,103.388,109.379,110.821,116.604,117.6,118.704,117.902,117.005,122.29,122.891,115.265,109.016,105.921,105.798,105.723,105.273,102.994,103.565,101.681,100.796,97.011,97.269,100,102.873,105.757,108.883,109.171
"116","109","        Standard clothing issued to military personnel","DMICRG3",37.477,37.785,37.701,37.879,38.038,38.392,38.76,39.171,39.874,41.227,42.812,44.146,44.968,45.783,47.428,51.717,53.141,55.78,58.689,60.697,63.839,68.532,74.123,77.474,78.702,80.224,81.358,82.373,83.986,86.547,88.714,91.036,92.753,94.724,95.46,95.654,96.254,96.942,97.205,97.974,98.3,98.578,98.097,97.05,97.248,97.115,97.126,97.373,98.229,99.02,100,100.162,103.38,105.785,107.162
"117","110","        Shoes and other footwear","DSHURG3",36.812,38.075,38.456,39.012,39.406,39.607,40.294,42.667,44.77,47.17,50.093,52.674,54.425,55.946,58.275,61.776,64.558,67.109,70.269,72.873,78.174,83.746,87.662,89.377,89.465,90.073,90.715,89.848,92.175,95.897,99.186,101.234,103.467,105.867,106.153,105.149,103.684,102.901,102.746,101.75,99.124,97.603,96.955,95.702,94.256,94.022,96.69,97.382,96.48,97.883,100,100.898,101.299,103.918,106.529
"118","111","    Gasoline and other energy goods","DGOERG3",10.621,10.809,10.822,10.877,10.904,10.803,11.172,11.437,11.81,12.026,12.395,12.569,12.774,12.925,14.274,19.85,21.244,22.261,23.85,24.948,33.605,46.728,52.706,50.258,48.316,47.816,47.918,37.62,39.011,39.301,42.785,48.995,48.175,47.808,47.338,47.455,48.091,51.367,51.365,44.786,48.473,62.668,60.508,56.638,66.186,77.761,95.226,107.471,116.409,137.313,100,118.14,148.588,153.621,150.11
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRG3",11.784,12.124,12.005,12.08,12.051,11.972,12.425,12.711,13.131,13.324,13.763,13.886,13.987,14.169,15.524,20.971,22.379,23.33,24.681,25.753,34.513,47.9,53.297,50.602,48.947,48.215,48.604,38.173,39.64,39.976,43.666,49.711,49.058,48.867,48.371,48.601,49.373,52.397,52.387,45.605,49.649,63.437,61.162,57.513,66.99,78.774,95.761,108.01,117.118,136.552,100,118.246,148.588,153.85,150.222
"120","113","        Gasoline and other motor fuel","DGASRG3",11.812,12.155,12.025,12.097,12.063,11.977,12.435,12.721,13.139,13.325,13.761,13.876,13.968,14.145,15.513,21.016,22.427,23.385,24.747,25.815,34.769,48.433,53.914,51.078,49.35,48.597,48.979,38.247,39.771,40.081,43.821,50.041,49.28,49.101,48.595,48.793,49.513,52.6,52.591,45.612,49.767,63.868,61.445,57.647,67.344,79.381,96.699,108.993,118.177,137.804,100,118.617,149.581,154.728,150.979
"121","114","        Lubricants and fluids","DLUBRG3",10.757,10.928,11.434,11.729,11.923,12.342,12.483,12.813,13.387,14.013,14.639,15.305,16.051,16.533,17.107,19.476,20.777,21.354,22.227,23.478,25.486,30.248,33.028,34.477,35.196,35.085,35.685,35.582,34.938,36.218,38.135,38.404,41.024,40.515,40.29,41.327,43.493,44.555,44.478,44.332,44.51,46.875,49.956,52.023,53.37,56.178,62.122,72.194,78.467,90.973,100,103.868,113.715,122.1,122.545
"122","115","      Fuel oil and other fuels (29)","DFULRG3",5.771,5.687,5.898,5.904,6.016,5.906,6.035,6.195,6.387,6.59,6.729,6.989,7.433,7.48,8.572,13.623,14.782,15.855,17.941,18.97,26.153,36.725,44.93,44.061,40.622,41.527,39.907,31.247,32.059,32.045,33.952,40.888,38.928,37.344,37.086,36.412,36.072,40.884,40.951,36.289,36.911,54.117,53.06,47.303,57.197,66.592,88.601,100.725,107.664,146.024,100,116.956,148.719,150.635,148.614
"123","116","        Fuel oil","DOILRG3",5.711,5.614,5.846,5.847,5.959,5.834,5.959,6.119,6.308,6.511,6.645,6.894,7.324,7.366,8.445,13.437,14.543,15.613,17.677,18.714,25.957,36.518,44.726,43.78,40.178,41.067,39.419,30.648,31.633,31.593,33.604,40.55,38.418,36.782,36.484,35.797,35.435,40.428,40.36,35.359,36.023,54.289,52.476,46.59,56.574,66.296,89.751,102.016,109.098,150.231,100,117.954,153.059,156.58,154.428
"124","117","        Other fuels","DLPFRG3",6.162,6.286,6.138,6.237,6.34,6.494,6.679,6.808,7.038,7.21,7.429,7.85,8.467,8.592,9.788,15.306,17.236,18.217,20.402,21.123,26.03,35.263,42.292,42.836,42.539,43.576,42.628,36.889,34.871,35.224,35.695,42.102,41.962,40.935,41.074,40.528,40.388,43.675,44.804,43.159,43.417,52.709,57.353,52.711,61.799,68.645,80.4,91.507,97.44,117.663,100,109.183,118.43,111.493,111.676
"125","118","    Other nondurable goods","DONGRG3",17.143,17.409,17.451,17.508,17.751,18.015,18.265,18.63,19.086,19.817,20.55,21.509,22.333,22.889,23.513,25.826,28.792,30.282,32.037,33.779,35.988,39.275,42.604,45.901,49.063,50.881,52.85,54.954,57.168,59.726,63.026,66.215,69.743,72.368,73.589,74.104,75.416,76.844,77.646,79.108,82.206,84.003,85.949,87.522,87.759,88.795,90.141,92.06,93.361,95.601,100,101.954,103.599,105.312,105.557
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRG3",17.254,17.217,16.793,16.304,16.022,15.942,15.884,15.918,15.804,15.785,15.962,16.288,16.496,16.509,16.527,17.04,18.358,19.436,20.661,22.142,23.65,25.739,28.564,31.57,34.353,36.912,39.534,42.026,44.481,47.082,50.263,54.107,58.272,61.599,63.428,64.916,65.4,66.933,68.012,69.713,72.723,75.459,79.028,82.493,84.84,87.256,89.824,93.392,94.732,96.89,100,103.628,107.207,110.613,111.14
"127","120","        Pharmaceutical products","DPNPRG3",17.129,17.09,16.661,16.167,15.883,15.803,15.746,15.779,15.664,15.644,15.82,16.142,16.347,16.358,16.375,16.882,18.184,19.251,20.464,21.936,23.435,25.511,28.322,31.309,34.088,36.648,39.274,41.763,44.222,46.833,50.011,53.867,58.052,61.39,63.208,64.697,65.152,66.687,67.766,69.472,72.502,75.257,78.859,82.36,84.726,87.158,89.749,93.342,94.687,96.868,100,103.699,107.32,110.756,111.283
"128","121","          Prescription drugs","DRXDRG3",17.327,17.243,16.652,16.002,15.626,15.44,15.272,15.222,14.953,14.706,14.892,15.14,15.143,15.085,15.036,15.4,16.351,17.243,18.27,19.586,20.873,22.566,24.886,27.471,30.133,32.625,35.282,37.787,40.155,42.659,45.748,49.856,54.395,58.018,59.721,61.368,61.887,63.465,64.559,66.451,69.946,73.022,76.969,80.927,83.436,86.208,89.252,93.088,94.402,96.734,100,104.289,108.676,112.545,113.153
"129","122","          Nonprescription drugs","DNRDRG3",21.466,21.498,21.251,20.917,20.732,20.84,20.997,21.226,21.438,21.986,22.179,22.786,23.639,23.875,24.113,25.188,27.919,29.782,31.854,34.137,36.636,40.373,45.343,50.247,54.002,57.328,60.42,63.39,66.668,70.167,74.259,77.878,81.426,84.137,86.692,87.653,87.862,89.334,90.413,91.091,91.159,91.707,92.715,92.654,93.905,93.764,93.14,95.058,96.615,97.782,100,99.687,98.366,99.086,99.1
"130","123","        Other medical products","DOMPRG3",28.216,28.265,27.916,27.498,27.221,27.153,27.082,27.154,27.051,27.102,27.378,28.017,28.478,28.545,28.64,29.659,32.122,34.063,36.279,38.555,40.87,44.126,48.185,52.741,56.028,58.619,61.176,64.154,66.559,68.728,72.435,75.937,79.295,82.257,85.011,86.614,89.43,90.832,91.885,93.073,93.927,94.669,94.709,94.347,94.692,95.535,95.999,97.391,98.368,98.662,100,97.895,98.163,99.398,99.824
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRG3",41.002,41.748,42.418,43.12,43.743,44.657,44.707,45.039,46.041,48.163,50.446,52.327,54.346,55.72,56.712,59.558,63.46,65.555,67.271,69.999,74.371,81.867,88.693,92.965,94.536,95.761,97.24,98.428,101.244,104.921,108.828,111.575,114.011,115.43,115.284,116.155,116.641,117.792,117.159,114.867,111.029,109.008,108.053,105.617,102.412,101.831,99.146,98.615,98.009,99.784,100,96.743,95.621,94.272,92.589
"132","125","        Games, toys, and hobbies","DDOLRG3",83.564,85.135,86.56,88.064,89.183,88.704,88.036,87.841,89.72,94.739,101.589,106.307,111.242,113.028,113.754,118.942,127.889,130.984,132.541,138.364,145.307,156.49,167.592,176.162,177.979,178.716,177.981,178.671,181.535,190.071,196.486,198.549,198.775,201.245,202.941,204.68,201.568,203.652,201.461,190.549,178.183,166.854,158.574,148.338,138.305,131.653,122.711,117.146,111.608,105.751,100,93.526,89.436,84.9,80.598
"133","126","        Pets and related products","DPRPRG3",17.454,17.706,17.905,18.176,18.389,18.947,19.574,20.399,21.305,22.869,24.042,25.356,26.682,27.367,28.218,29.879,31.786,33.132,34.524,35.601,38.317,42.747,47.164,49.659,51.303,52.999,54.59,55.753,56.951,58.741,61.953,63.904,66.22,65.716,66.094,67.192,67.869,71.338,73.232,73.619,74.128,74.047,75.262,76.789,77.104,79.257,79.963,82.953,85.487,93.243,100,98.958,100.549,102.394,103.095
"134","127","        Flowers, seeds, and potted plants","DFLORG3",26.346,26.994,27.625,28.196,28.678,29.361,29.636,30.129,30.889,32.35,33.559,35.049,36.868,37.952,38.917,41.3,44.618,46.734,48.767,51.249,55.394,62.098,68.349,71.505,72.202,72.353,74.634,75.019,78.232,80.081,81.94,85.448,88.988,91.821,89.594,89.81,92.547,89.588,86.743,87.892,85.9,89.688,92.767,92.977,92.462,95.314,95.115,95.86,97.008,100.584,100,99.026,99.299,98.916,99.35
"135","128","        Film and photographic supplies","DFLMRG3",67.395,68.075,68.626,69.185,70.632,78.678,75.652,72.751,71.108,68.233,66.938,65.094,63.625,66.13,66.912,68.891,70.337,71.409,71.766,74.294,77.047,85.352,88.351,90.733,91.653,92.753,93.785,97.009,103.002,107.425,111.942,114.22,115.878,117.568,118.414,116.192,116.664,116.569,116.765,115.059,111.522,109.562,108.963,106.358,103.132,99.887,99.727,96.982,96.734,98.132,100,101.15,102.988,113.241,117.247
"136","129","      Household supplies (parts of 32 and 36)","DHOURG3",25.064,25.335,25.271,25.193,25.294,25.286,25.386,25.77,26.449,27.211,27.813,28.894,29.971,30.475,31.202,36.506,43.85,46.952,50.589,53.484,57.241,62.597,67.693,72.064,74.765,76.376,78.603,79.934,82.043,84.031,87.221,89.434,91.299,91.553,91.488,91.608,93.257,94.27,94.274,94.709,95.564,97.867,99.805,99.514,96.321,95.508,96.161,96.926,95.967,97.857,100,98.902,98.984,99.244,97.633
"137","130","        Household cleaning products","DCLERG3",21.488,21.388,21.145,21.099,21.284,21.21,21.304,21.596,22.052,22.289,22.567,23.384,24.204,24.506,25.009,29.275,35.695,38.54,40.972,43.343,46.134,50.814,55.645,59.161,61.526,62.452,64.331,66.201,68.445,69.898,73.538,75.741,79.132,79.335,79.083,78.974,80.189,81.009,82.321,82.949,84.377,86.596,89.834,90.526,89.117,88.091,88.844,91.847,92.439,95.406,100,99.278,99.911,101.314,99.922
"138","131","        Household paper products","DPAPRG3",12.471,12.648,12.63,12.624,12.635,12.627,12.636,12.893,13.351,13.993,14.537,15.447,16.144,16.41,16.9,20.869,27.288,30.161,33.33,35.766,38.371,41.658,44.605,46.991,47.878,48.878,50.473,50.4,51.003,52.251,55.04,57.137,57.781,57.809,57.693,57.86,61.102,64.223,64.274,66.086,67.577,72.901,76.041,76.371,75.119,77.38,80.337,84.542,86.853,94.018,100,101.245,103.622,107.543,109.103
"139","132","        Household linens","DLINRG3",58.44,59.181,59.648,59.501,59.526,59.749,60.211,61.006,62.689,65.084,67.035,68.424,70.012,71.291,72.887,82.247,88.421,92.683,97.447,103.392,111.627,121.182,129.177,140.619,149.932,155.463,159.799,163.091,167.978,172.755,173.436,174.572,174.6,175.888,175.852,175.893,173.079,169.248,165.66,161.998,160.175,155.882,152.27,147.867,136.842,130.775,127.446,118.733,110.537,104.648,100,95.449,92.338,87.454,82.791
"140","133","        Sewing items","DSEWRG3",50.549,50.831,51.03,50.945,51.325,51.618,52.031,53.091,55.51,58.722,61.937,64.386,66.633,68.267,70.612,74.878,76.653,78.807,81.277,80.855,83.551,89.711,95.257,98.315,99.832,100.392,101.642,103.685,103.399,109.394,110.846,116.616,117.636,118.743,117.928,117.007,122.372,122.914,115.26,109.045,105.928,105.802,105.723,105.278,102.999,103.57,101.682,100.804,96.992,97.267,100,102.879,105.762,108.885,109.177
"141","134","        Miscellaneous household products","DMHPRG3",22.39,24.499,24.34,23.796,23.81,23.786,23.574,23.892,24.218,24.745,24.239,25.781,28.229,29.434,30.397,34.882,43.635,43.156,49.608,49.743,53.249,59.091,65.064,68.451,69.608,70.652,72.023,72.34,74.279,75.801,78.443,79.898,80.94,80.556,81.665,82.701,84.503,84.739,85.902,87.566,88.103,89.32,90.627,91.934,90.818,90.109,91.087,95.014,97.22,99.533,100,100.104,100.971,103.379,102.778
"142","135","      Personal care products (part of 118)","DOPCRG3",26.293,26.273,26.213,26.457,26.543,26.576,26.472,26.14,26.595,27.404,28.64,29.357,30.313,31.114,31.934,35.456,39.923,42.217,44.587,46.804,49.823,53.953,58.867,63.504,67.005,69.099,71.099,73.226,74.645,76.986,79.878,82.789,85.513,87.455,88.76,90.017,90.688,90.965,91.169,92.541,93.871,95.11,96.033,95.872,94.934,95.058,95.262,96.102,97.556,98.171,100,99.033,98.425,99.361,99.125
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRG3",27.881,27.859,27.794,28.058,28.151,28.187,28.071,27.715,28.196,29.043,30.384,31.14,32.152,33.017,33.857,37.588,42.324,44.793,47.282,49.861,53.043,57.899,64.03,69.006,72.68,74.749,76.838,79.011,80.529,83.263,86.768,89.444,91.426,94.643,95.096,95.679,96.899,96.335,95.302,95.988,96.411,97.962,99.016,99.108,97.234,96.891,96.569,97.318,98.33,98.986,100,98.923,97.169,97.859,97.583
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRG3",23.966,23.949,23.896,24.114,24.19,24.22,24.13,23.831,24.248,24.995,26.095,26.753,27.625,28.343,29.112,32.325,36.397,38.466,40.641,42.516,45.28,48.733,52.619,56.807,60.022,62.027,63.87,65.861,67.143,69.119,71.462,74.417,77.631,78.415,80.459,82.343,82.434,83.626,85.28,87.501,90.027,90.831,91.569,91.039,91.487,92.307,93.297,94.272,96.384,96.938,100,99.201,100.345,101.66,101.483
"145","138","        Electric appliances for personal care","DEAPRG3",27.894,27.853,27.792,28.063,28.157,28.185,28.073,27.716,28.191,29.043,30.384,31.138,32.148,33.018,33.858,37.584,42.319,44.787,47.276,49.863,53.041,57.897,64.028,69.005,72.686,74.752,76.841,79.013,80.532,83.268,86.772,89.446,91.428,94.645,95.097,95.68,96.901,96.337,95.304,95.984,96.416,97.974,99.016,99.104,97.233,96.889,96.572,97.318,98.331,98.984,100,98.928,97.169,97.861,97.584
"146","139","      Tobacco (127)","DTOBRG3",4.761,4.919,4.959,4.998,5.15,5.272,5.496,5.792,6.009,6.388,6.729,7.292,7.6,8.015,8.238,8.638,9.254,9.647,10.111,10.67,11.288,12.148,13.101,14.541,17.354,18.466,19.525,20.832,22.273,24.256,27.319,30.092,33.556,36.391,37.696,36.18,37.074,38.202,39.895,43.364,53.991,57.804,59.918,63.366,64.425,65.661,69.065,71.412,76.124,80.87,100,110.879,114.659,117.23,120.447
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRG3",13.963,14.2,14.412,14.65,15.277,16.108,16.598,17.175,17.847,18.808,19.561,20.785,22.095,22.496,23.275,27.079,30.308,31.649,33.438,34.759,36.884,40.432,44.092,47.308,49.95,51.545,53.303,54.771,56.309,58.146,60.405,62.514,66.453,69.907,72.041,74.37,78.436,81.936,83.71,85.594,86.55,86.937,88.01,89.082,89.485,89.968,91.537,92.879,94.126,96.092,100,100.838,101.471,104.979,109.173
"148","141","        Newspapers and periodicals","DMAGRG3",10.528,10.738,10.992,11.212,11.916,12.828,13.239,13.679,14.183,15.111,15.834,16.961,18.422,18.807,19.306,22.027,24.82,25.897,27.338,28.573,30.332,33.632,36.925,39.708,42.164,43.641,45.334,46.938,48.693,50.614,52.604,54.524,59.028,62.293,64.643,67.308,71.242,74.479,75.071,76.568,78.311,79.752,81.294,82.794,84.414,86.914,89.145,90.569,91.519,93.944,100,101.148,102.298,107.625,114.812
"149","142","        Stationery and miscellaneous printed materials","DSTYRG3",21.862,22.122,22.148,22.392,22.639,23.113,23.759,24.641,25.688,26.644,27.423,28.813,29.61,30.014,31.463,37.862,41.873,43.791,46.336,47.684,50.563,54.197,58.331,62.315,65.089,66.801,68.539,69.545,70.471,72.025,74.774,77.215,79.966,83.763,85.526,87.256,91.551,95.523,99.73,102.385,101.702,100.004,100.131,100.311,98.275,94.944,95.318,96.513,98.243,99.48,100,100.344,100.11,100.532,99.641
"150","143","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","144","        Expenditures abroad by U.S. residents","DABDRG3",5.053,5.147,5.246,5.374,5.52,5.647,5.821,6.015,6.184,6.428,6.735,7.103,7.479,7.608,9.32,11.796,14.64,15.555,20.292,24.553,28.149,33.399,30.313,31.205,30.056,29.293,30.049,38.937,44.974,47.553,46.882,53.462,55.37,59.391,57.241,58.202,65.003,63.737,57.118,56.581,57.016,52.179,52.171,55.249,67.281,75.789,81.04,86.052,96.848,103.776,100,97.398,103.013,97.945,90.758
"152","145","          Government employees' expenditures abroad","DARTRG3",5.053,5.147,5.246,5.374,5.519,5.647,5.821,6.015,6.183,6.428,6.735,7.103,7.479,7.607,9.318,11.796,14.639,15.554,20.292,24.554,28.146,33.397,30.312,31.203,30.054,29.291,30.047,38.934,44.972,47.55,46.876,53.453,55.371,59.389,57.24,58.203,65.003,63.736,57.117,56.58,57.015,52.178,52.17,55.248,67.274,75.786,81.042,86.047,96.845,103.775,100,97.398,103.014,97.945,90.784
"153","146","          Private employees' expenditures abroad","DARSRG3",5.054,5.147,5.246,5.374,5.519,5.647,5.818,6.011,6.183,6.425,6.729,7.104,7.475,7.608,9.357,11.763,14.625,15.558,20.274,24.499,28.182,33.409,30.288,31.248,30.065,29.288,30.041,38.965,44.899,47.563,46.993,53.67,55.335,59.416,57.233,58.161,64.982,63.738,57.121,56.58,57.014,52.176,52.166,55.243,67.396,75.832,80.999,86.129,96.904,103.783,100,97.392,103.006,97.938,90.777
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRG3",22.802,22.999,23.135,23.318,23.52,23.77,24.074,24.667,25.122,26.066,27.296,28.514,29.494,30.41,32.704,36.579,39.804,41.464,43.921,46.989,51.82,57.899,62.857,64.814,66.044,67.856,68.8,67.249,69.091,70.919,73.758,77.206,78.797,79.665,80.521,81.264,82.496,84.064,84.742,84.026,85.129,87.945,88.824,88.286,89.133,91.259,94.464,96.64,98.56,102.943,100,102.908,108.425,110.596,110.744
"155","148","Services","DSERRG3",12.301,12.627,12.856,13.101,13.301,13.55,13.804,14.204,14.677,15.312,16.109,17.003,17.932,18.693,19.599,21.261,23.09,24.691,26.552,28.616,31.007,34.215,37.703,40.637,43.168,45.416,47.676,49.619,51.072,53.5,55.965,58.472,60.697,62.83,65.005,66.762,68.593,70.461,72.427,73.921,75.403,77.497,79.871,81.964,84.531,87.056,89.93,92.974,95.977,98.943,100,101.663,103.463,105.689,107.751
"156","149","  Household consumption expenditures (for services)","DHCERG3",11.688,12.037,12.258,12.494,12.685,12.928,13.166,13.545,13.996,14.604,15.359,16.217,17.102,17.829,18.684,20.232,21.969,23.505,25.282,27.257,29.522,32.586,35.965,38.928,41.539,43.836,46.121,48.111,49.596,52.05,54.646,57.34,59.752,62.123,64.465,66.271,68.152,70.031,71.952,73.33,74.761,76.762,79.066,81.211,83.956,86.622,89.524,92.642,95.707,98.763,100,101.781,103.628,105.98,108.046
"157","150","    Housing and utilities","DHUTRG3",13.749,14.008,14.195,14.347,14.5,14.628,14.753,14.957,15.214,15.562,16.061,16.76,17.619,18.286,19.107,20.164,21.75,23.324,25.39,27.183,29.38,32.457,36.037,39.36,41.907,44.039,46.359,48.564,50.311,52.303,54.41,56.774,58.657,60.295,62.037,63.639,65.36,67.293,69.126,70.755,72.439,74.885,78.361,80.636,83.182,85.516,88.551,92.277,95.513,98.869,100,100.249,101.683,103.616,106.221
"158","151","      Housing","DHSGRG3",14.451,14.681,14.884,15.066,15.252,15.407,15.56,15.795,16.099,16.494,17.039,17.767,18.592,19.262,20.082,20.834,22.183,23.634,25.625,27.383,29.497,32.207,35.487,38.407,40.716,42.837,45.395,48.082,50.268,52.524,54.705,57.277,59.086,60.704,62.358,64.111,66.093,68.094,70.005,72.22,74.223,76.524,79.543,82.73,84.828,86.965,89.214,92.341,95.654,98.253,100,100.058,101.404,103.706,106.157
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRG3",14.115,14.325,14.51,14.689,14.853,14.983,15.138,15.352,15.618,16.003,16.512,17.205,17.99,18.618,19.436,20.154,21.503,22.94,24.888,26.592,28.66,31.323,34.567,37.443,39.767,42.022,44.791,47.586,49.726,51.753,53.816,56.157,58.232,59.806,61.271,62.741,64.235,65.895,67.755,69.816,71.859,74.39,77.608,80.564,82.807,84.902,87.457,90.577,94.416,97.821,100,100.135,101.79,104.534,107.418
"160","153","          Tenant-occupied mobile homes","DTMHRG3",13.967,14.135,14.477,14.528,14.705,14.824,15.006,15.159,15.443,15.821,16.343,17.012,17.799,18.433,19.233,19.962,21.278,22.679,24.636,26.317,28.367,31.007,34.22,37.008,39.293,41.501,44.245,47.02,49.135,51.137,53.181,55.494,57.542,59.092,60.534,61.984,63.508,65.181,67.085,69.195,71.326,73.947,77.236,80.252,82.598,84.808,87.336,90.43,94.286,97.735,100,100.234,101.933,104.643,107.604
"161","154","          Tenant-occupied stationary homes","DTSPRG3",13.945,14.152,14.334,14.511,14.674,14.802,14.955,15.167,15.429,15.81,16.313,16.998,17.773,18.394,19.201,19.911,21.244,22.664,24.588,26.271,28.314,30.944,34.149,36.994,39.291,41.519,44.255,47.015,49.13,51.133,53.17,55.481,57.53,59.085,60.531,61.978,63.506,65.185,67.09,69.212,71.329,73.922,77.211,80.24,82.594,84.81,87.354,90.486,94.333,97.784,100,100.231,101.949,104.646,107.603
"162","155","          Tenant landlord durables","DTLDRG3",22.499,22.833,23.14,23.414,23.652,23.882,24.122,24.464,24.915,25.502,26.311,27.408,28.668,29.68,30.971,32.133,34.262,36.542,39.664,42.377,45.681,49.936,55.11,59.544,63.246,66.851,71.25,75.744,79.163,82.365,85.74,89.544,92.936,95.455,97.913,100.527,99.822,100.173,99.42,98.041,96.106,95.345,95.059,94.505,91.779,88.741,91.779,94.467,98.035,99.485,100,95.708,94.35,99.537,98.306
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRG3",14.598,14.823,15.006,15.181,15.349,15.498,15.646,15.866,16.158,16.553,17.076,17.787,18.607,19.26,20.092,20.85,22.236,23.716,25.738,27.509,29.65,32.404,35.746,38.784,41.134,43.245,45.788,48.509,50.751,53.074,55.283,57.935,59.62,61.226,62.864,64.633,66.774,68.892,70.899,73.196,75.191,77.428,80.397,83.667,85.711,87.664,89.693,92.818,95.957,98.372,100,99.987,101.146,103.196,105.473
"164","157","          Owner-occupied mobile homes","DOMHRG3",14.597,14.821,15.008,15.185,15.346,15.509,15.658,15.863,16.155,16.557,17.081,17.792,18.601,19.244,20.091,20.853,22.243,23.711,25.742,27.513,29.661,32.411,35.75,38.778,41.139,43.243,45.79,48.505,50.749,53.071,55.283,57.934,59.623,61.224,62.858,64.628,66.77,68.892,70.896,73.19,75.187,77.443,80.415,83.655,85.705,87.653,89.673,92.771,95.936,98.364,100,99.987,101.149,103.195,105.474
"165","158","          Owner-occupied stationary homes","DOSTRG3",14.598,14.823,15.006,15.181,15.349,15.498,15.646,15.866,16.158,16.553,17.076,17.787,18.607,19.261,20.092,20.849,22.236,23.716,25.738,27.509,29.649,32.404,35.746,38.785,41.133,43.244,45.788,48.509,50.751,53.074,55.283,57.935,59.62,61.226,62.863,64.633,66.774,68.891,70.899,73.196,75.191,77.427,80.396,83.668,85.711,87.664,89.693,92.819,95.958,98.372,100,99.987,101.146,103.196,105.473
"166","159","        Rental value of farm dwellings (22)","DFARRG3",13.587,14.003,14.596,14.897,15.493,15.935,16.121,16.781,17.606,18.075,19.303,20.663,21.92,23.323,23.754,24.568,24.662,25.263,26.538,28.229,29.711,31.082,32.215,31.208,31.497,31.803,31.4,30.67,30.962,33.769,36.353,38.849,41.49,44.204,49.654,55.277,57.561,59.439,56.978,57.469,59.05,60.805,63.118,65.55,68.148,80.5,90.188,93.627,98.666,98.722,100,102.844,109.406,118.104,122.126
"167","160","        Group housing (23)","DGRHRG3",14.124,14.34,14.439,14.598,14.807,14.943,15.164,15.386,15.625,15.883,16.53,17.168,17.914,18.512,19.27,20.246,21.594,22.962,24.813,26.611,28.674,31.331,34.21,36.968,39.27,41.501,44.21,46.988,49.132,51.134,53.192,55.474,57.53,59.073,60.534,61.976,63.513,65.19,67.088,69.217,71.327,73.917,77.183,80.237,82.608,84.805,87.354,90.491,94.333,97.776,100,100.231,101.962,104.661,107.604
"168","161","      Household utilities","DUTLRG3",10.995,11.359,11.485,11.527,11.557,11.586,11.608,11.695,11.779,11.952,12.277,12.86,13.825,14.474,15.291,17.485,19.957,21.982,24.31,26.216,28.713,33.175,37.908,42.811,46.28,48.438,49.763,49.947,49.833,50.711,52.486,53.95,56.128,57.831,59.937,60.864,61.419,63.025,64.497,63.438,63.634,66.742,72.389,70.237,74.923,78.203,85.165,91.99,94.822,102.235,100,101.294,103.219,103.038,106.508
"169","162","        Water supply and sanitation (25)","DWRSRG3",6.451,6.655,6.83,7.006,7.22,7.327,7.507,7.785,7.965,8.345,8.91,9.616,10.638,11.032,11.626,12.332,13.53,15.044,16.673,18.61,19.485,20.827,23.343,26.149,28.357,30.268,32.132,33.996,36.009,38.143,40.594,43.46,46.81,50.147,52.916,55.52,57.311,59.36,60.825,62.794,64.185,65.76,67.658,69.844,72.408,76.714,80.738,84.716,89.001,94.238,100,106.27,111.76,117.963,123.247
