"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"237","229","      Food services","DFSERX0",441817,446351,444217,447157,448372,448555,446853,448126,451960,458629,460798,461239,464673,466633,472935,471283,470135,470965,472333,469236,473707,474242,471747,464466,479542,475175,472493,471221,473449,473104,474415,477301,467388,471080,470455,480766,479762,480178,476624,482057,479285,481115,481444,480052,482725,478805,482100,483937,484893,482032,488317,488344,495772,498216,499056,503492,500269,507296,508852,504200,509050,509799,513600,511685,512184,512314,516080,512857,517971,518817,519183,525191,520775,526947,521220,529631,527903,530500,530002,530566,529405,533312,537002,536381,549267,539602,541886,541149,540028,538299,537508,543631,547900,547673,547476,560053,548776,542730,550040,546725,549483,551489,550501,551492,550491,552458,550312,560425,550011,542511,543773,546749,548016,545899,544100,541038,538625,536400,534470,531079,529389,526039,520075,519693,519031,515813,515293,515318,512082,511139,515266,515828,513019,520882,523078,523867,522845,524021,524662,528013,527489,530035,532574,531579,530112,540778,543072,541923,544520,546486,545888,549275,552902,555444,553835,554278,557700,560933,562744,566514,562471,560715,563858,562004,566877,568157,571954,578573,575704,573770,578521,580603,575857,574924,576231,574850,580604,585921,590594,584465,578879,578748
"238","230","        Purchased meals and beverages (102)","DPMBRX0",430293,434811,432665,435591,436795,436952,435243,436517,440350,447007,449162,449579,453003,454957,461249,459572,458409,459229,460590,457471,461922,462457,459944,452652,467705,463324,460637,459356,461573,461215,462507,465374,455455,459151,458531,468843,467830,468238,464673,470101,467316,469135,469441,468028,470663,466703,469951,471752,472646,469700,475908,475894,483297,485713,486530,490940,487698,494694,496222,491533,496358,497087,500859,498903,499349,499433,503152,499883,504932,505700,505973,511890,507372,513446,507612,515905,514062,516543,515928,516352,515006,518797,522359,521586,534310,524487,526621,525757,524537,522707,521802,527825,532012,531758,531523,544080,532780,526724,534043,530737,533497,535490,534507,535516,534548,536558,534447,544613,534253,526806,528111,531119,532418,530304,528504,525442,523015,520775,518834,515423,513696,510323,504351,503979,503317,500107,499606,499682,496526,495680,499912,500596,497926,505915,508206,509067,508084,509272,509903,513225,512634,515089,517517,516390,514769,525298,527466,526196,528696,530580,529925,533284,536910,539468,537880,538371,541866,545161,547015,550825,546819,545098,548273,546432,551308,552587,556384,563001,560144,558201,562954,565026,560274,559338,560646,559257,565011,570331,575008,568874,563282,563146
"239","231","          Meals and nonalcoholic beverages","DMABRX0",377902,381263,378658,381102,382828,382749,381578,382647,385764,391083,392985,393379,396051,397247,401755,400519,399521,400887,401926,399361,403219,403714,401648,394917,408057,404262,401785,400677,402585,401613,402270,403825,395090,398249,397080,405017,404538,404855,401980,406781,404055,405357,405338,404918,407908,404000,406980,407762,409053,406354,411666,412038,418204,420452,421006,424452,422350,428340,429615,425929,429593,430138,433395,432016,432329,432483,435708,432825,437151,437729,438148,443378,439212,444635,439627,446368,444988,447131,446589,446744,445408,448863,451959,451245,462379,453862,455334,454847,453963,452763,451860,456973,460871,460331,459863,470387,460855,455541,461884,459328,462119,463620,462731,464067,462718,464449,462659,471351,462510,456321,457401,460123,461353,459422,457481,454986,452558,450876,449344,446398,444851,441799,436627,436456,435981,433002,432548,432700,430326,429776,433215,434121,433185,440445,443412,444613,444237,445663,446334,449247,448774,450872,452820,451099,449256,457635,458847,457402,459718,460836,460015,462818,465709,467371,465900,466460,469741,472903,474161,477722,474490,473563,476282,474440,478864,480169,483466,489240,486957,485649,489704,491348,487243,486843,487980,486619,492033,496516,500564,495072,490006,489702
"240","232","            Meals at schools","DMSLRX0",18858,18942,19024,19106,19187,19267,19345,19419,19492,19561,19625,19685,19743,19795,19846,19897,19944,19989,20035,20077,20117,20154,20187,20217,20243,20263,20280,20293,20302,20309,20310,20309,20304,20293,20277,20256,20236,20213,20194,20182,20175,20174,20178,20187,20201,20220,20243,20268,20274,20274,20272,20271,20268,20272,20277,20280,20279,20278,20273,20265,20254,20242,20232,20227,20224,20221,20219,20221,20223,20227,20230,20233,20238,20235,20232,20231,20228,20222,20215,20206,20195,20182,20162,20143,20119,20101,20086,20078,20074,20077,20086,20099,20119,20143,20170,20205,20243,20281,20319,20361,20403,20449,20498,20549,20601,20654,20709,20765,20820,20857,20877,20877,20862,20828,20777,20709,20622,20514,20388,20239,20073,19924,19795,19684,19593,19522,19471,19439,19429,19437,19464,19508,19736,19945,20134,20305,20457,20591,20708,20806,20887,20949,20990,21010,21013,21017,21026,21041,21060,21083,21112,21147,21187,21231,21278,21330,21386,21437,21485,21530,21572,21610,21646,21679,21708,21734,21755,21771,21791,21810,21831,21852,21875,21898,21923,21948,21974,22001,22027,22052,22076,22100
"241","233","              Elementary and secondary school lunches","DESLRX0",7545,7565,7585,7606,7627,7649,7671,7693,7714,7736,7756,7776,7796,7814,7832,7851,7868,7886,7904,7921,7938,7954,7970,7985,7998,8008,8017,8022,8025,8026,8025,8021,8014,8004,7991,7975,7959,7941,7924,7909,7897,7886,7876,7868,7862,7858,7854,7851,7849,7846,7842,7839,7837,7838,7840,7842,7843,7845,7846,7847,7847,7847,7848,7851,7855,7859,7863,7869,7875,7883,7889,7896,7904,7908,7913,7917,7922,7924,7927,7928,7929,7928,7925,7922,7917,7912,7905,7898,7891,7883,7876,7867,7859,7849,7838,7827,7815,7801,7787,7773,7758,7744,7730,7715,7700,7684,7668,7651,7633,7611,7585,7556,7523,7487,7448,7406,7359,7308,7254,7194,7132,7073,7018,6968,6923,6882,6846,6815,6788,6766,6748,6734,6674,6618,6565,6516,6471,6429,6392,6358,6328,6303,6280,6261,6246,6230,6214,6198,6182,6165,6149,6133,6117,6100,6083,6066,6048,6032,6017,6005,5994,5985,5978,5973,5970,5969,5969,5970,5934,5897,5861,5825,5790,5755,5720,5686,5652,5618,5584,5550,5516,5482
"242","234","              Higher education school lunches","DHSLRX0",11313,11377,11439,11500,11560,11618,11674,11727,11778,11826,11869,11909,11947,11981,12014,12046,12076,12104,12131,12156,12179,12199,12217,12233,12245,12255,12263,12271,12277,12282,12286,12289,12290,12289,12286,12281,12277,12272,12270,12272,12278,12288,12302,12318,12339,12363,12389,12417,12425,12429,12430,12431,12431,12434,12437,12438,12436,12433,12427,12418,12407,12395,12384,12376,12369,12362,12356,12352,12348,12345,12341,12337,12334,12327,12320,12313,12306,12297,12288,12278,12266,12254,12237,12221,12203,12190,12182,12180,12183,12194,12210,12232,12261,12294,12333,12378,12429,12480,12532,12588,12645,12705,12768,12834,12901,12970,13041,13114,13187,13246,13291,13321,13338,13341,13329,13303,13262,13206,13134,13045,12942,12852,12777,12716,12670,12640,12625,12625,12641,12671,12716,12774,13062,13326,13569,13789,13987,14162,14316,14448,14559,14647,14710,14749,14767,14787,14812,14843,14878,14917,14963,15013,15069,15130,15194,15264,15338,15404,15467,15525,15578,15625,15668,15705,15738,15765,15786,15800,15857,15913,15970,16027,16085,16143,16202,16262,16322,16383,16443,16502,16560,16619
"243","235","            Other purchased meals","DOPMRX0",359052,362330,359639,362002,363647,363486,362236,363230,366274,371528,373366,373700,376316,377459,381919,380629,379583,380904,381899,379290,383107,383565,381465,374708,387816,384004,381512,380391,382289,381312,381967,383522,374799,377967,376816,384765,384307,384646,381793,386602,383885,385187,385164,384735,387709,383783,386739,387495,388780,386080,391393,391766,397935,400179,400729,404171,402069,408062,409341,405664,409340,409896,413163,411790,412106,412263,415489,412606,416929,417502,417918,423145,418975,424400,419395,426138,424760,426909,426374,426538,425213,428680,431796,431101,442256,433758,435246,434767,433887,432685,431772,436872,440751,440187,439692,450182,440611,435259,441564,438965,441714,443170,442231,443516,442115,443793,441949,450582,441690,435467,436526,439247,440492,438594,436704,434277,431936,430362,428957,426158,424777,421874,416832,416772,416388,413480,413077,413261,410898,410339,413752,414614,413449,420502,423278,424307,423776,425067,425622,428436,427879,429917,431825,430081,428234,436615,437820,436358,438657,439752,438899,441671,444526,446144,444623,445129,448357,451472,452681,456200,452921,451954,454639,452762,457160,458440,461721,467487,465180,463849,467892,469515,465379,464955,466069,464678,470073,474537,478567,473039,467939,467610
"244","236","              Meals at limited service eating places","DMLSRX0",184341,187064,184558,184297,186140,185386,185011,184768,186894,190036,190849,190874,192515,191939,193250,193906,193540,196044,194507,194052,195794,195637,195008,190934,198461,197871,196945,195254,195079,194409,195444,194990,191812,194888,193457,196894,195968,197167,195788,198258,197206,198075,198711,198636,201073,197227,198488,196739,199295,197524,201199,200302,204160,205252,204890,205772,205478,210794,211637,209531,209726,209795,212347,212827,212040,211222,213656,211256,211905,212730,213689,217336,215510,216388,213870,218374,217691,218870,218882,217499,216568,217663,220419,220035,226493,222077,222830,221608,220791,219956,219358,221709,222747,222121,220111,222894,219674,216043,220398,218252,221881,223421,223109,224184,224362,224117,223270,226397,224518,220369,220120,222861,223723,222700,222145,220957,221379,221167,219257,216508,215477,215816,212688,214893,214770,213132,212536,212897,210413,209153,213179,213691,214147,218982,218538,217839,218858,220926,221050,223567,223732,224996,226043,223482,222107,227705,227601,226232,226976,226893,225253,227289,228618,228950,229006,227726,228706,230744,230787,232170,231557,230759,232135,231340,233830,235709,236360,238474,239231,239969,242471,242681,242330,242521,244222,241875,245373,246342,247385,244351,239906,240109
"245","237","              Meals at other eating places","DMOERX0",172627,173099,172805,175406,175276,175825,175008,176218,177097,179161,180156,180429,181367,183012,186032,184175,183476,182367,184830,182718,184820,185441,184001,181277,186829,183680,182121,182660,184716,184349,183930,185827,180288,180367,180606,185049,185541,184700,183249,185562,183864,184282,183573,183364,183945,183798,185449,187883,186655,185730,187287,188513,190809,192004,192866,195330,193606,194269,194722,193192,196573,197071,197851,196039,197118,198073,198911,198431,202022,201786,201290,202882,200549,205039,202622,204735,204139,205067,204522,205996,205536,207919,208295,207958,212644,208546,209260,209978,209872,209525,209195,211945,214792,214814,216259,223889,217580,215907,217811,217361,216496,216464,215681,216128,214502,216429,215439,220946,214074,212036,213265,213222,213643,212736,211259,210151,207449,206110,206628,206521,206210,203017,201058,198810,198565,197259,197488,197438,197541,198206,197583,197946,196329,198435,201742,203507,201944,201165,201614,201853,201123,201878,202720,203534,203120,205805,207182,207102,208648,209861,210638,211436,212885,214125,212573,214408,216588,217625,218711,220834,218190,217983,219278,218182,220116,219642,222232,225733,222675,220664,222145,223665,219833,219363,218885,219717,221539,224953,227950,225510,224812,224285
"246","238","              Meals at drinking places","DMDPRX0",2121,2238,2310,2289,2252,2277,2226,2231,2288,2348,2376,2407,2451,2494,2599,2543,2567,2545,2555,2539,2506,2488,2471,2494,2545,2513,2517,2515,2498,2553,2613,2689,2720,2773,2790,2842,2803,2809,2788,2814,2857,2877,2944,2803,2783,2803,2839,2854,2864,2847,2953,2968,3003,2959,2990,3063,2999,3074,3062,3014,3072,3056,3011,2996,2998,2999,2969,2946,2996,2991,2959,2969,2966,2979,2911,3060,2961,3006,3009,3054,3115,3093,3098,3124,3149,3165,3185,3191,3226,3202,3215,3208,3181,3213,3242,3262,3258,3191,3264,3245,3276,3242,3402,3174,3237,3212,3205,3178,3087,3033,3095,3142,3109,3142,3292,3160,3114,3091,3069,3124,3089,3040,3086,3069,3053,3089,3053,2926,2945,2981,2989,2978,2976,3092,2998,2955,2973,2983,2963,3027,3037,3058,3077,3071,3011,3117,3043,3026,3034,2996,3000,2940,3018,3061,3041,2987,3053,3095,3173,3186,3166,3204,3219,3233,3207,3080,3121,3273,3267,3213,3273,3164,3222,3077,2972,3091,3168,3245,3233,3180,3217,3212
"247","239","          Alcohol in purchased meals","DAPMRX0",52171,53357,53853,54339,53783,54029,53477,53682,54408,55767,56018,56038,56803,57585,59414,58963,58797,58220,58548,57990,58585,58623,58174,57629,59540,58954,58751,58579,58889,59525,60176,61520,60340,60878,61446,63850,63302,63393,62697,63320,63269,63793,64127,63110,62737,62699,62963,63999,63592,63347,64245,63851,65093,65258,65523,66497,65342,66350,66603,65594,66763,66949,67464,66882,67016,66945,67439,67053,67776,67968,67821,68506,68156,68805,67979,69536,69071,69409,69335,69608,69600,69934,70399,70340,71929,70624,71287,70909,70572,69941,69940,70850,71140,71424,71656,73690,71922,71179,72156,71406,71379,71868,71773,71451,71828,72107,71786,73259,71741,70485,70710,70997,71067,70883,71021,70455,70456,69898,69490,69025,68846,68525,67725,67524,67337,67106,67058,66982,66199,65905,66696,66473,64747,65477,64808,64471,63868,63633,63594,64005,63889,64246,64726,65309,65526,67667,68614,68784,68970,69726,69888,70443,71172,72058,71939,71873,72090,72228,72816,73070,72301,71520,71974,71970,72425,72403,72902,73746,73176,72550,73244,73671,73024,72496,72667,72637,72986,73819,74448,73802,73272,73435
"248","240","        Food furnished to employees (including military) (103)","DFOORX0",11512,11531,11541,11557,11568,11594,11599,11599,11602,11616,11632,11656,11667,11673,11686,11709,11724,11733,11741,11762,11782,11781,11798,11811,11833,11847,11853,11862,11873,11886,11905,11923,11933,11928,11924,11918,11928,11936,11949,11952,11966,11977,11999,12021,12059,12099,12146,12182,12244,12329,12405,12447,12473,12500,12523,12549,12568,12600,12629,12663,12690,12709,12739,12779,12832,12878,12925,12971,13036,13114,13207,13298,13399,13498,13605,13722,13838,13954,14070,14211,14397,14512,14640,14793,14953,15113,15263,15390,15489,15590,15703,15804,15885,15913,15951,15972,15995,16004,15995,15987,15985,15998,15993,15974,15942,15899,15863,15807,15755,15704,15660,15626,15593,15591,15593,15594,15607,15623,15635,15656,15692,15716,15724,15714,15714,15707,15688,15635,15556,15457,15353,15233,15093,14971,14877,14808,14769,14757,14767,14796,14862,14953,15064,15194,15344,15483,15609,15727,15823,15904,15960,15989,15994,15980,15958,15911,15842,15784,15743,15706,15667,15632,15602,15588,15588,15590,15594,15600,15587,15593,15597,15607,15609,15611,15613,15618,15622,15625,15626,15625,15627,15631
"249","241","          Food supplied to civilians","DCFDRX0",10818,10835,10845,10861,10871,10884,10890,10892,10891,10904,10919,10938,10943,10945,10953,10967,10978,10982,10987,11001,11017,11012,11017,11027,11052,11067,11071,11080,11087,11097,11111,11119,11119,11101,11082,11066,11067,11063,11063,11053,11056,11054,11061,11073,11097,11130,11161,11184,11231,11265,11300,11320,11344,11374,11401,11435,11470,11514,11553,11588,11616,11642,11674,11708,11748,11776,11799,11812,11835,11865,11905,11941,11979,12016,12053,12097,12132,12169,12196,12227,12246,12255,12272,12300,12341,12381,12429,12473,12504,12524,12553,12593,12635,12670,12714,12762,12813,12853,12888,12919,12950,12980,13003,13019,13036,13057,13083,13101,13108,13110,13113,13112,13107,13100,13094,13088,13074,13055,13031,13007,12983,12961,12935,12906,12894,12893,12899,12889,12874,12857,12845,12831,12825,12816,12822,12828,12843,12860,12875,12894,12917,12942,12963,12982,12996,13014,13036,13069,13100,13127,13153,13178,13199,13221,13250,13281,13312,13343,13377,13408,13429,13445,13461,13483,13513,13541,13567,13592,13617,13652,13685,13724,13755,13787,13817,13849,13883,13917,13950,13982,14012,14042
"250","242","          Food supplied to military","DMFDRX0",696,697,697,698,699,711,711,709,713,714,715,720,726,730,734,743,747,752,755,762,766,771,783,786,782,782,783,784,788,790,795,805,816,828,843,854,863,874,887,901,912,925,939,950,964,971,986,1000,1015,1066,1107,1128,1130,1127,1123,1115,1100,1087,1077,1077,1075,1069,1067,1073,1085,1103,1127,1161,1203,1250,1303,1358,1422,1483,1553,1627,1706,1787,1876,1985,2152,2258,2369,2493,2613,2732,2834,2918,2985,3066,3150,3211,3250,3243,3237,3210,3181,3151,3107,3068,3035,3018,2991,2955,2906,2841,2780,2706,2647,2594,2548,2514,2486,2491,2499,2507,2533,2568,2604,2649,2710,2755,2789,2808,2820,2814,2789,2747,2682,2600,2508,2402,2269,2155,2055,1980,1926,1898,1892,1902,1945,2011,2101,2211,2347,2469,2573,2658,2723,2776,2806,2811,2795,2759,2708,2629,2530,2441,2366,2298,2238,2187,2141,2105,2075,2048,2027,2008,1970,1941,1912,1883,1854,1824,1796,1768,1739,1708,1676,1644,1614,1589
"251","243","      Accommodations (104)","DACCRX0",61615,61447,61576,61468,60509,60427,61756,60932,62753,62882,62955,62156,62174,63264,64702,64314,65394,65858,64727,65416,67903,65706,66541,65256,65068,63944,64282,62279,62313,62610,60626,62500,54678,56124,57907,58416,59114,61279,60693,62554,61950,62373,62116,64135,61709,62889,63107,63758,63025,63974,64157,64813,64807,65232,66985,68956,66512,67035,67458,67873,68644,70181,69818,69155,68834,69527,70713,70714,70985,71403,70790,72228,73475,73413,71671,74495,74656,75802,76416,76846,81587,76543,80080,80211,80572,79905,79547,79765,80036,80939,79930,80325,81765,80296,82144,81819,82421,82320,83903,81725,82890,82476,79948,82793,81830,83684,83957,82493,84310,84566,82362,86129,85763,84890,83889,86674,84523,84242,81025,83120,81640,81414,78957,81314,81232,82448,84738,83851,83366,83191,81383,85501,83846,84469,83941,84365,83829,84165,85192,84217,84404,84909,84998,84874,85218,86297,87047,87280,87651,87061,86617,86822,89218,88758,89170,88805,89434,89299,90514,89803,90821,92102,91168,92707,91971,92814,93276,94993,95368,94552,94067,95317,93873,95229,94615,97281,94892,98388,96761,99973,99578,99506
"252","244","        Hotels and motels","DHOTRX0",47380,47221,47339,47236,46335,46255,47492,46718,48413,48531,48597,47849,47865,48880,50216,49845,50842,51262,50190,50813,53110,51037,51790,50561,50356,49278,49569,47669,47681,47944,46073,47817,40439,41790,43470,43949,44612,46661,46102,47858,47268,47648,47377,49270,46920,48004,48165,48736,48060,48993,49191,49845,49856,50277,51971,53874,51527,52033,52441,52841,53581,55067,54716,54077,53768,54435,55577,55578,55842,56245,55658,57049,58257,58205,56534,59261,59421,60533,61124,61541,66159,61251,64688,64815,65164,64520,64180,64403,64679,65572,64612,65019,66445,65049,66880,66601,67229,67167,68734,66638,67781,67382,64924,67667,66710,68480,68705,67235,68946,69140,66943,70553,70136,69224,68184,70845,68675,68335,65110,67111,65585,65296,62787,65059,64904,66045,68270,67298,66729,66470,64572,68635,66882,67429,66822,67180,66578,66859,67841,66811,66957,67430,67491,67343,67674,68749,69492,69709,70063,69445,68974,69155,71549,71057,71447,71048,71654,71491,72694,71949,72957,74231,73262,74808,74038,74879,75333,77073,77396,76504,75949,77164,75632,76952,76264,78922,76416,79937,78195,81427,80959,80822
"253","245","        Housing at schools","DSCHRX0",14733,14736,14740,14745,14750,14756,14763,14769,14775,14780,14783,14784,14786,14789,14796,14810,14825,14846,14872,14901,14935,14972,15012,15056,15102,15143,15180,15213,15242,15267,15287,15303,15316,15323,15324,15320,15316,15313,15315,15325,15343,15368,15399,15438,15484,15537,15596,15660,15629,15597,15568,15542,15519,15505,15495,15488,15482,15479,15477,15476,15478,15477,15475,15476,15477,15476,15475,15475,15473,15471,15467,15461,15454,15445,15437,15432,15429,15426,15424,15423,15423,15424,15422,15422,15422,15419,15409,15397,15380,15360,15336,15308,15276,15239,15196,15151,15099,15055,15021,14998,14984,14981,14990,15008,15037,15075,15124,15183,15250,15317,15384,15450,15517,15585,15653,15722,15790,15858,15925,15990,16056,16122,16190,16258,16329,16401,16476,16552,16631,16710,16790,16870,16956,17037,17111,17178,17240,17296,17348,17394,17435,17470,17496,17516,17531,17545,17560,17577,17596,17616,17638,17661,17687,17714,17740,17768,17797,17822,17848,17872,17894,17916,17936,17956,17974,17991,18005,18017,18071,18125,18179,18234,18290,18345,18402,18460,18518,18576,18633,18690,18745,18801
"254","246","    Financial services and insurance","DIFSRX0",575808,574604,578268,588627,590836,593001,598520,604864,608073,610343,626346,634719,643178,656840,665573,660154,651270,658093,658182,661121,663188,664768,660231,668233,660886,650897,651461,650569,647455,644794,637642,637769,640009,641331,643618,645259,640311,641085,639174,638145,638939,642677,651077,641480,638311,643043,645012,640895,639671,635519,636491,634228,640416,645813,644384,641945,648580,647439,649865,652612,659012,659307,661219,663222,661276,661095,666743,668577,671810,677182,683677,691680,687605,692013,695362,701316,701985,706399,707655,712347,711542,708519,709919,714372,717219,719343,718963,718120,721026,716073,714572,717501,720036,722003,726748,729172,731496,736041,738560,739322,743424,746908,748472,751993,740540,742707,748444,742526,745674,741632,739590,738372,739175,737399,738264,734199,744126,739330,727742,723570,721585,725220,724566,719774,718917,718391,718760,719609,719233,715036,711974,714397,718257,721761,724385,734073,739983,734388,733317,735131,737797,740013,743293,744753,747196,752255,752596,750801,750872,752438,757451,770165,760708,758497,758197,760399,756727,757922,756935,755755,751649,745791,739547,737163,737642,735185,736468,741451,745820,748933,748014,752785,755345,756675,756533,758112,760304,766363,769140,773498,777849,780557
"255","247","      Financial services","DFNLRX0",322041,320976,324213,333457,334783,336170,340686,345719,348133,349723,363623,369745,374247,385509,392555,387318,378592,384684,384646,386798,388363,388579,384055,391471,385426,376710,377707,375966,373226,370238,363398,363238,365609,367435,370108,372026,370256,372374,371615,371024,371178,374074,381127,371896,368817,373195,374580,370473,370339,366963,367787,365353,370297,374219,372497,369926,375693,374217,375973,378423,384382,384632,386116,387716,385127,383995,388179,388559,390398,394331,399424,405818,399958,402743,404267,408308,407287,410181,410305,414084,412818,409265,409722,413505,416300,419855,420868,421493,425847,422262,421525,424848,427475,429357,433694,435909,435794,438658,439483,439694,443393,446587,447913,451002,440177,441765,447179,441817,445219,442002,440783,440377,442370,442288,444950,443262,455629,454584,447612,447450,449385,455609,457564,454506,455266,455349,455260,454815,453159,448131,443611,444224,446536,447196,447545,455322,460090,453173,451501,452267,453901,455000,457835,458530,461820,465983,465242,462306,460822,461040,464126,475165,464185,461397,460010,460547,456174,457765,457137,455801,452044,446365,440465,438337,439050,436413,438862,444184,446820,449228,448501,452581,454590,455969,456721,457245,459212,464960,467013,470631,473846,476106
"256","248","        Financial services furnished without payment (107)","DIMPRX0",181675,183415,184589,185175,185968,186939,187990,188946,189745,190863,191926,193353,194536,195791,196453,196408,196322,196090,196346,195831,195108,194343,193406,192478,191700,191078,190413,189030,188344,187716,187545,187192,187052,186470,186728,187193,187453,187371,186882,186043,185212,184502,183929,183558,183471,183375,183630,183863,183770,182564,181994,181957,181621,181860,181761,181419,181661,183148,184128,185130,186922,189022,190903,191646,192492,193038,194372,195085,196505,197775,199318,200661,201129,202016,202847,201907,202749,202557,202267,202400,201749,201090,200218,201045,199420,200054,199323,198224,199220,196831,197049,197897,199013,200970,203090,204406,205939,205783,205739,205288,206576,208359,210213,210151,208958,207909,207360,207087,207295,207754,207048,207616,209484,209289,209919,211675,215601,218124,217433,218675,225087,228965,230410,229581,230897,231496,232354,231958,231806,227920,226124,225946,226921,228076,228166,232617,233799,234237,235519,237457,240351,241976,242757,243912,245892,248021,248378,247589,247260,247236,247349,247124,245136,244043,243236,242183,239178,236824,235538,235000,232307,230061,227366,227881,227854,225089,223838,225648,227374,228930,230229,232051,233099,233186,234403,233936,234937,236819,238205,239720,239883,240739
"257","249","          Commercial banks","DIMCRX0",50642,51550,51586,50733,50214,50044,50226,50219,50028,49656,49350,49106,48922,48619,48197,47660,47022,46275,45411,44662,44022,43484,43132,42949,42923,42889,42820,42674,42611,42660,42846,43046,43241,43409,43731,44231,44909,45705,46590,47527,48154,48500,48585,48943,49560,50418,50993,51293,51327,51185,50882,50426,49980,49542,49109,48697,48300,47912,47811,48007,48508,48902,49176,49301,49562,49963,50482,51070,51730,52467,53050,53453,53654,53701,53609,53389,53277,53269,53358,53256,52956,52448,52424,52897,52647,52887,52569,51698,50785,49833,48844,48399,48482,49098,49231,48868,48254,47395,46280,44890,44485,45095,46767,47400,46926,45260,44317,44144,44685,45338,46119,47038,47993,48969,49940,51355,53202,55476,57354,58792,61453,63748,65697,67319,68744,69989,70243,70309,70203,70743,70299,68885,68624,68797,68672,69515,69420,69075,68363,68048,68126,68984,69772,70492,72032,72793,72754,71271,70715,71088,73012,74551,75683,75161,74662,73767,73543,72904,72308,71354,70855,70825,69445,69436,69162,68617,68372,68436,68288,67715,67449,67084,65826,65354,66218,66655,66658,67324,67666,67685,67374,67233
"258","250","          Other depository institutions and regulated investment companies","DIMNRX0",93905,94654,95819,97383,98735,99827,100566,101392,102242,103598,104797,106262,107374,108753,109719,110151,110730,111350,112670,113123,113292,113355,113080,112669,112273,112060,111839,110956,110686,110333,110281,110013,109961,109482,109682,109880,109648,108917,107610,105860,104470,103498,102954,102274,101547,100489,100122,100034,99929,98885,98671,99163,99327,100046,100400,100471,101107,102993,104019,104717,105863,107465,108998,109541,110042,110085,110812,110824,111494,111928,112847,113788,114079,114966,115929,115174,116108,115825,115293,115402,114905,114619,113508,113539,111851,111943,111304,110969,112910,111348,112581,113824,114711,115846,117759,119444,121686,122467,123691,124832,126638,127754,127653,126812,126163,127168,127827,127844,127504,127281,125643,125181,126045,124697,124237,124432,126390,126393,123585,123295,126968,128538,128081,125699,125667,125134,125887,125591,125715,121478,120327,121815,122821,123597,123631,127109,128268,128959,130931,133178,136006,136746,136726,137195,137677,139137,139607,140374,140640,140268,138461,136680,133502,132926,132608,132422,129589,127834,127110,127497,125255,122996,121640,122138,122353,120090,119053,120790,122656,124784,126348,128544,130847,131382,131739,130796,131791,133024,134081,135599,136060,137065
"259","251","          Pension funds","DPENRX0",37414,37353,37330,37351,37411,37512,37651,37830,38047,38303,38596,38926,39294,39598,39837,40020,40129,40173,40151,40057,39897,39664,39356,38978,38546,38104,37671,37253,36845,36446,36054,35676,35310,34945,34590,34239,33902,33583,33325,33092,32868,32681,32518,32381,32285,32226,32174,32153,32126,32104,32094,32097,32115,32157,32214,32283,32363,32454,32557,32668,32790,32896,32990,33075,33149,33208,33253,33287,33307,33314,33303,33277,33236,33215,33225,33268,33341,33441,33571,33729,33917,34133,34372,34644,34943,35229,35498,35756,35999,36232,36453,36658,36852,37029,37190,37340,37471,37579,37666,37736,37786,37818,37833,37827,37802,37753,37685,37593,37477,37368,37269,37175,37093,37020,36957,36904,36858,36820,36788,36761,36743,36703,36644,36564,36466,36349,36214,36059,35885,35690,35471,35226,35446,35643,35815,35963,36089,36191,36271,36330,36367,36380,36364,36323,36259,36198,36144,36100,36064,36033,36013,36002,35999,36003,36011,36026,36050,36067,36089,36110,36132,36153,36177,36201,36226,36251,36273,36293,36313,36332,36350,36371,36392,36413,36436,36460,36485,36510,36532,36552,36571,36589
