"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"58","39","      Domestic","AB73RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-590.0","845.0","565.0","-618.0","1,225.0","-496.0","168.0","2,597.0","206.0","-395.0","-852.0","-1,377.0","-207.0","812.0","367.0","-300.0","15.0","355.0","3,512.0","934.0","-1,400.0","-1,571.0","985.0","2,411.0","5,450.0","2,827.0","-2,724.0","-4,471.0","-2,159.0","-3,183.0","-4,130.0","1,193.0","-413.0","-185.0","-1,890.0","1,529.0","-1,906.0","2,252.0","1,543.0","-2,821.0","-497.0","39.0","340.0","1,854.0","3,070.0","630.0","3,327.0","3,090.0","-2,337.0","1,136.0","929.0","1,156.0","3,352.0","907.0","-5,379.0","240.0","4,380.0","-187.0","-47.0","2,966.0","-409.0","-1,271.0","-108.0","3,523.0","5,274.0","1,822.0","-3,135.0","1,571.0","-6,323.0","3,775.0","2,145.0","-2,949.0","-10,133.0","609.0","1,869.0","1,821.0","3,298.0","-766.0","-1,653.0","1,763.0","7,192.0","-3,545.0","-2,426.0","-1,118.0","2,159.0","2,752.0","5,418.0","1,527.0","1,326.0","4,140.0","4,302.0","3,882.0","-5,642.0","4,431.0","3,607.0","-5,384.0","2,474.0","2,057.0","2,320.0","4,092.0","6,248.0","-13,404.0","-6,583.0","4,632.0","9,173.0","6,919.0","9,370.0","6,436.0","4,208.0","9,914.0","-2,032.0","2,667.0","-18,635.0","532.0","3,265.0","-28,742.0","-5,362.0","9,954.0","6,733.0","6,723.0","17,814.0","11,147.0","-1,481.0","8,045.0","14,128.0","3,986.0","1,732.0","368.0","-2,373.0","-9,544.0","-2,650.0","11,512.0","-1,013.0","2,482.0","-1,387.0","-14,149.0","-5,198.0","3,097.0","1,651.0","-7,568.0","-11,139.0","-62.0","-31,969.0","-13,847.0","-24,269.0","-27,899.0","-234.0","1,106.0","7,332.0","6,695.0","16,189.0","1,126.0","8,473.0","1,714.0","784.0","1,471.0","11,593.0","9,724.0","7,544.0","1,943.0","-9,050.0","1,267.0","9,122.0"
"59","40","      Foreign","AB74RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","290.0","-376.0","3.0","317.0","-199.0","-61.0","94.0","-10.0","-97.0","-28.0","-54.0","34.0","110.0","159.0","86.0","-58.0","-39.0","-125.0","-70.0","112.0","216.0","99.0","129.0","81.0","-286.0","-145.0","71.0","144.0","-146.0","269.0","76.0","59.0","-137.0","-22.0","-102.0","64.0","639.0","456.0","-604.0","-735.0","-142.0","-132.0","-1,015.0","473.0","-449.0","484.0","-376.0","1,085.0","-720.0","253.0","-385.0","912.0","706.0","1,262.0","545.0","-41.0","1,086.0","123.0","-1,674.0","-123.0","-156.0","401.0","-828.0","299.0","329.0","-572.0","-581.0","537.0","-1,985.0","-405.0","70.0","896.0","511.0","-968.0","-1,176.0","534.0","640.0","-526.0","-434.0","388.0","-593.0","-501.0","-755.0","-211.0","88.0","-347.0","434.0","949.0","592.0","449.0","-640.0","-1,496.0","88.0","126.0","-456.0","738.0","1,192.0","111.0","-600.0","1,402.0","311.0","921.0","-1,690.0","65.0","1,082.0","-455.0","-987.0","2,112.0","-182.0","1,756.0","-1,371.0","3,346.0","-1,533.0","-845.0","-78.0","327.0","-51.0","89.0","1,451.0","4,228.0","1,274.0","1,070.0","-2,020.0","-109.0","1,653.0","1,697.0","-243.0","-3,391.0","321.0","625.0","-459.0","2,092.0","789.0","356.0","462.0","1,487.0","-1,301.0","-446.0","-245.0","-771.0","1,804.0","4,825.0","4,198.0","-6,684.0","-7,519.0","-6,037.0","-3,130.0","1,984.0","773.0","1,629.0","215.0","734.0","-39.0","-2,107.0","965.0","496.0","2,435.0","2,286.0","465.0","-919.0","-520.0","1,568.0","-1,232.0"
"60","41","    Used \1\","W245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","157.0","167.0","127.0","97.0","28.0","44.0","65.0","125.0","248.0","251.0","269.0","121.0","-294.0","-454.0","-561.0","-416.0","-61.0","243.0","449.0","518.0","311.0","239.0","157.0","100.0","50.0","26.0","78.0","106.0","331.0","286.0","212.0","96.0","-84.0","-146.0","-159.0","-148.0","9.0","140.0","286.0","421.0","450.0","627.0","736.0","956.0","1,037.0","1,066.0","949.0","862.0","177.0","33.0","78.0","339.0","1,633.0","1,821.0","1,780.0","1,521.0","-3,161.0","-2,046.0","-730.0","3,251.0","3,967.0","6,602.0","-4,492.0","-7,522.0","2,009.0","-3,953.0","62.0","5,208.0","1,367.0","4,213.0","3,884.0","-1,744.0","2,141.0","3,825.0","-147.0","955.0","1,030.0","-1,286.0","-2,230.0","1,639.0","-1,158.0","-2,657.0","1,885.0","4,325.0","358.0","1,075.0","2,556.0","-1,081.0","-3,257.0","1,490.0","2,787.0","722.0","3,998.0","-525.0","-340.0","-228.0","1,690.0","-868.0","1,548.0","1,030.0","772.0","1,350.0","2,903.0","-551.0","-3,226.0","-1,232.0","1,399.0","9,987.0","2,043.0","-592.0","196.0","-1,188.0","-1,044.0","-2,045.0","1,469.0","823.0","-2,605.0","-1,876.0","-2,742.0","1,929.0","4,115.0","4,118.0","4,335.0"
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","42","  Final sales of motor vehicles to domestic purchasers","AB75RC1","46,879.0","46,469.0","47,110.0","46,447.0","42,539.0","43,581.0","43,542.0","35,069.0","48,901.0","50,861.0","52,870.0","55,715.0","56,984.0","59,160.0","59,754.0","64,388.0","70,357.0","69,042.0","67,218.0","62,780.0","59,526.0","60,929.0","65,561.0","56,995.0","56,568.0","57,168.0","66,036.0","70,188.0","78,398.0","80,560.0","84,268.0","86,816.0","98,073.0","99,546.0","100,201.0","104,879.0","103,523.0","119,566.0","117,028.0","120,262.0","120,976.0","112,620.0","118,154.0","111,815.0","112,436.0","89,850.0","102,457.0","105,244.0","116,732.0","110,597.0","120,402.0","105,521.0","117,724.0","115,754.0","116,704.0","125,358.0","125,742.0","144,527.0","155,008.0","171,277.0","179,429.0","187,590.0","185,033.0","191,768.0","204,470.0","209,011.0","230,529.0","208,711.0","210,581.0","224,097.0","253,917.0","231,951.0","207,469.0","227,268.0","245,985.0","225,813.0","245,933.0","241,402.0","235,873.0","245,964.0","245,022.0","248,762.0","256,103.0","231,458.0","253,400.0","239,026.0","239,645.0","228,221.0","218,790.0","214,276.0","227,102.0","222,976.0","233,515.0","240,243.0","242,407.0","256,605.0","252,114.0","275,819.0","274,511.0","293,808.0","310,498.0","309,082.0","317,682.0","332,807.0","320,478.0","319,188.0","326,957.0","336,297.0","338,863.0","344,664.0","350,859.0","357,840.0","373,128.0","360,214.0","380,943.0","388,524.0","373,774.0","402,699.0","404,715.0","452,569.0","432,600.0","458,104.0","469,771.0","458,162.0","487,755.0","454,293.0","453,713.0","446,453.0","459,585.0","448,883.0","444,696.0","501,447.0","470,608.0","472,374.0","501,829.0","469,097.0","459,150.0","474,190.0","491,723.0","481,451.0","486,730.0","493,220.0","506,841.0","521,382.0","512,660.0","531,358.0","542,753.0","490,680.0","521,307.0","514,145.0","518,140.0","517,925.0","512,233.0","507,865.0","505,879.0","501,634.0","470,966.0","429,412.0","395,037.0","316,459.0","301,457.0","308,996.0","349,780.0","333,028.0","358,074.0","390,004.0","407,547.0","428,893.0","443,964.0","436,506.0","456,035.0","479,550.0","502,582.0","510,402.0","522,391.0","530,855.0","538,184.0","545,783.0","551,945.0"
"63","43","  Private fixed investment in new autos and new light trucks","AB76RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53,201.0","57,751.0","61,553.0","58,973.0","64,323.0","64,587.0","65,539.0","66,324.0","60,236.0","65,157.0","63,322.0","57,371.0","63,267.0","63,069.0","67,526.0","66,807.0","66,885.0","69,666.0","74,103.0","71,256.0","71,144.0","76,008.0","74,162.0","80,242.0","77,753.0","90,264.0","84,419.0","93,374.0","104,979.0","104,499.0","108,735.0","116,627.0","111,349.0","108,484.0","114,531.0","116,310.0","121,475.0","128,835.0","136,908.0","137,859.0","143,428.0","140,555.0","144,939.0","147,119.0","144,402.0","156,554.0","142,060.0","164,749.0","164,939.0","166,935.0","177,666.0","175,724.0","182,540.0","172,354.0","171,759.0","160,912.0","168,311.0","163,873.0","157,395.0","153,536.0","151,518.0","158,315.0","161,456.0","152,249.0","145,148.0","141,885.0","153,054.0","153,720.0","148,876.0","156,438.0","167,021.0","173,216.0","165,749.0","173,009.0","185,837.0","181,602.0","198,247.0","185,604.0","184,805.0","188,537.0","189,515.0","185,026.0","191,272.0","188,158.0","180,196.0","161,733.0","147,651.0","106,367.0","83,526.0","94,994.0","101,190.0","119,556.0","132,476.0","141,675.0","147,876.0","149,734.0","157,434.0","154,406.0","169,749.0","169,666.0","180,678.0","182,806.0","186,730.0","197,526.0","205,891.0","208,734.0","210,699.0"
"64","44","  Domestic output of new autos \2\","B148RC1","32,051.0","28,659.0","31,883.0","28,130.0","24,371.0","28,503.0","27,373.0","15,921.0","36,073.0","32,701.0","30,634.0","33,282.0","35,671.0","34,746.0","32,031.0","38,865.0","44,642.0","40,573.0","38,576.0","36,241.0","30,174.0","31,556.0","37,281.0","34,145.0","26,580.0","32,256.0","38,871.0","38,409.0","46,320.0","46,350.0","44,570.0","49,223.0","54,733.0","54,597.0","54,962.0","54,975.0","54,267.0","60,997.0","58,165.0","62,619.0","66,489.0","61,311.0","56,050.0","52,839.0","53,951.0","43,272.0","48,143.0","58,111.0","57,775.0","62,503.0","61,236.0","49,168.0","41,540.0","54,811.0","60,330.0","49,272.0","62,380.0","64,324.0","75,996.0","84,437.0","88,183.0","81,992.0","83,577.0","93,395.0","93,021.0","92,532.0","99,009.0","95,405.0","96,187.0","95,975.0","100,351.0","95,628.0","100,404.0","91,645.0","86,680.0","96,161.0","88,363.0","100,614.0","96,230.0","104,352.0","106,761.0","101,180.0","89,810.0","92,127.0","87,218.0","95,600.0","98,713.0","84,487.0","83,470.0","83,759.0","94,001.0","89,378.0","85,889.0","94,138.0","95,149.0","97,973.0","97,566.0","100,211.0","91,737.0","107,145.0","117,261.0","112,691.0","113,380.0","119,190.0","121,167.0","109,071.0","106,279.0","109,243.0","100,261.0","117,743.0","117,486.0","103,085.0","107,596.0","108,897.0","110,796.0","108,834.0","106,483.0","100,799.0","110,505.0","117,255.0","111,742.0","111,125.0","112,406.0","114,484.0","119,456.0","117,684.0","114,043.0","106,779.0","103,842.0","107,839.0","104,893.0","107,069.0","112,346.0","112,610.0","109,645.0","103,080.0","95,882.0","96,721.0","93,564.0","95,945.0","94,155.0","93,600.0","92,823.0","98,234.0","105,603.0","104,097.0","105,515.0","110,479.0","114,525.0","108,186.0","105,679.0","104,358.0","104,289.0","105,533.0","103,386.0","105,068.0","106,355.0","100,555.0","109,893.0","85,095.0","41,618.0","49,552.0","68,995.0","79,306.0","77,692.0","78,251.0","78,552.0","74,404.0","77,954.0","80,478.0","85,684.0","96,732.0","111,380.0","112,392.0","118,725.0","117,806.0","121,696.0","118,615.0","115,504.0"
"65","45","  Sales of imported new autos \3\","B149RC1","4,277.0","4,878.0","5,196.0","5,900.0","5,657.0","5,793.0","5,387.0","6,352.0","6,561.0","7,032.0","7,634.0","6,939.0","7,184.0","7,620.0","8,184.0","8,877.0","9,007.0","9,381.0","8,655.0","9,154.0","9,406.0","8,069.0","9,459.0","8,719.0","10,218.0","9,783.0","10,959.0","10,495.0","10,340.0","10,975.0","11,869.0","12,513.0","13,656.0","16,031.0","14,915.0","15,026.0","14,800.0","16,561.0","16,954.0","17,135.0","18,505.0","19,406.0","19,268.0","19,962.0","23,127.0","18,792.0","21,795.0","23,487.0","24,654.0","24,252.0","24,773.0","25,249.0","27,487.0","26,600.0","28,470.0","31,121.0","29,692.0","32,696.0","32,564.0","37,600.0","37,110.0","38,750.0","37,554.0","40,097.0","39,940.0","43,563.0","48,905.0","46,630.0","47,712.0","51,707.0","57,669.0","59,419.0","48,121.0","52,108.0","57,624.0","54,880.0","60,021.0","58,960.0","56,360.0","55,258.0","52,387.0","54,947.0","56,375.0","50,874.0","56,654.0","54,441.0","53,978.0","52,699.0","45,145.0","49,682.0","51,117.0","47,342.0","50,273.0","52,088.0","50,186.0","52,573.0","50,020.0","55,512.0","57,515.0","55,095.0","53,321.0","57,656.0","58,032.0","58,676.0","54,811.0","55,042.0","55,505.0","58,403.0","54,868.0","54,218.0","55,759.0","55,687.0","59,704.0","56,392.0","61,439.0","62,394.0","63,075.0","67,919.0","65,213.0","71,013.0","72,165.0","75,935.0","77,308.0","82,988.0","85,202.0","81,889.0","81,070.0","80,521.0","79,124.0","80,079.0","77,485.0","83,706.0","84,287.0","84,746.0","87,886.0","84,871.0","83,805.0","81,978.0","83,301.0","79,259.0","81,860.0","85,438.0","82,391.0","88,185.0","82,988.0","84,177.0","88,755.0","89,528.0","94,052.0","93,628.0","96,996.0","98,570.0","100,212.0","101,198.0","97,527.0","97,712.0","92,417.0","103,526.0","88,747.0","70,047.0","66,485.0","69,675.0","83,003.0","76,607.0","79,361.0","84,156.0","88,994.0","88,516.0","97,892.0","95,996.0","92,070.0","95,042.0","107,757.0","103,519.0","101,483.0","108,694.0","106,756.0","109,092.0","111,891.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
