"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"55","36","    Net federal government saving","A923RC1","2,239.0","-1,493.0","-8,630.0","-12,548.0","-22,249.0","-32,608.0","-39,509.0","-44,680.0","-45,502.0","-52,407.0","-51,708.0","-53,677.0","-45,671.0","-51,389.0","-40,656.0","-57,828.0","-40,046.0","-40,751.0","-36,590.0","-33,369.0","-35,302.0","-37,860.0","-36,164.0","-53,258.0","-75,137.0","-132,418.0","-89,702.0","-90,651.0","-80,756.0","-76,173.0","-79,490.0","-82,997.0","-72,187.0","-66,335.0","-73,122.0","-75,984.0","-78,157.0","-58,895.0","-53,082.0","-49,165.0","-39,613.0","-39,238.0","-44,846.0","-54,378.0","-63,516.0","-87,404.0","-100,346.0","-93,740.0","-71,824.0","-75,568.0","-82,585.0","-113,286.0","-133,184.0","-139,325.0","-175,824.0","-210,175.0","-206,954.0","-200,836.0","-217,341.0","-194,904.0","-179,757.0","-189,014.0","-195,355.0","-205,225.0","-167,800.0","-217,125.0","-196,065.0","-201,469.0","-201,455.0","-224,162.0","-229,927.0","-195,099.0","-194,725.0","-141,553.0","-153,335.0","-163,055.0","-163,818.0","-155,750.0","-151,197.0","-158,607.0","-136,317.0","-158,217.0","-163,540.0","-168,497.0","-195,283.0","-201,701.0","-196,747.0","-209,943.0","-184,118.0","-244,057.0","-269,284.0","-287,373.0","-324,710.0","-331,406.0","-343,934.0","-330,574.0","-340,612.0","-305,998.0","-317,183.0","-283,446.0","-266,482.0","-236,801.0","-254,593.0","-256,855.0","-254,091.0","-241,759.0","-245,217.0","-222,294.0","-223,109.0","-179,857.0","-169,633.0","-141,421.0","-120,691.0","-102,494.0","-68,701.0","-72,771.0","-22,619.0","-8,754.0","21,694.0","20,551.0","47,466.0","62,759.0","71,536.0","84,791.0","176,163.0","146,365.0","153,698.0","149,819.0","129,970.0","92,781.0","-130,193.0","-34,748.0","-228,007.0","-266,477.0","-276,860.0","-310,590.0","-333,398.0","-401,810.0","-472,463.0","-403,842.0","-441,040.0","-402,182.0","-373,117.0","-380,538.0","-312,921.0","-310,020.0","-307,874.0","-288,124.0","-242,531.0","-244,278.0","-234,014.0","-187,299.0","-213,836.0","-251,922.0","-286,904.0","-309,931.0","-409,040.0","-780,499.0","-663,634.0","-682,786.0","-1,040,121.0","-1,334,711.0","-1,340,933.0","-1,279,615.0","-1,351,914.0","-1,338,377.0","-1,319,222.0","-1,305,336.0","-1,236,404.0","-1,313,169.0","-1,231,226.0","-1,195,772.0","-1,107,068.0","-1,101,991.0","-1,079,547.0","-1,071,623.0","-790,607.0","-525,943.0","-707,655.0","-539,560.0","-619,154.0","-629,964.0","-650,052.0","-626,725.0","-579,320.0","-593,585.0"
"56","37","Social insurance funds","B243RC1","5,132.0","5,472.0","5,976.0","6,208.0","6,556.0","-1,400.0","448.0","-1,760.0","1,288.0","-5,064.0","-4,048.0","-4,200.0","148.0","800.0","1,956.0","-5,468.0","6,220.0","5,816.0","5,820.0","5,664.0","9,168.0","4,084.0","1,780.0","-2,192.0","-9,124.0","-14,980.0","-21,272.0","-19,744.0","-15,196.0","-12,828.0","-17,756.0","-18,320.0","-14,668.0","-12,244.0","-14,948.0","-14,372.0","-5,720.0","-1,544.0","-6,400.0","-5,120.0","4,776.0","4,252.0","-4,448.0","-4,752.0","-2,544.0","-7,904.0","-28,004.0","-24,640.0","-7,616.0","-6,608.0","-20,368.0","-22,520.0","-19,304.0","-26,124.0","-39,460.0","-52,608.0","-42,292.0","-44,728.0","-34,024.0","-30,372.0","-13,588.0","-10,064.0","-5,912.0","-7,876.0","-2,696.0","216.0","748.0","5,244.0","6,012.0","5,304.0","3,984.0","7,304.0","10,500.0","10,820.0","15,004.0","21,512.0","30,664.0","37,800.0","41,496.0","46,244.0","41,316.0","42,180.0","42,400.0","44,676.0","43,256.0","42,880.0","45,132.0","38,256.0","28,816.0","23,992.0","26,040.0","19,784.0","7,656.0","3,372.0","5,344.0","5,084.0","-1,652.0","2,632.0","3,408.0","6,944.0","10,428.0","14,860.0","16,936.0","19,184.0","16,460.0","14,256.0","15,580.0","16,196.0","6,804.0","10,664.0","15,548.0","18,644.0","18,944.0","23,816.0","31,464.0","41,544.0","45,104.0","54,028.0","61,548.0","72,444.0","83,120.0","87,624.0","94,044.0","105,368.0","118,324.0","107,052.0","116,760.0","114,992.0","107,660.0","96,420.0","79,360.0","69,128.0","63,328.0","47,144.0","45,624.0","42,752.0","40,672.0","35,324.0","35,992.0","39,324.0","42,652.0","51,020.0","58,468.0","52,628.0","45,508.0","44,112.0","51,824.0","52,332.0","15,596.0","11,120.0","7,396.0","12,908.0","9,504.0","-1,820.0","-11,448.0","-12,440.0","-21,608.0","-35,328.0","-66,736.0","-96,088.0","-201,528.0","-244,364.0","-276,440.0","-290,136.0","-301,756.0","-287,972.0","-285,440.0","-288,544.0","-265,200.0","-269,735.0","-265,333.0","-283,664.0","-289,151.0","-290,929.0","-294,556.0","-281,830.0","-298,159.0","-281,143.0","-285,907.0","-288,570.0","-276,554.0","-282,878.0","-280,763.0","-277,068.0","-294,066.0","-301,896.0"
"57","38","Other","B244RC1","-2,893.0","-6,965.0","-14,606.0","-18,757.0","-28,804.0","-31,207.0","-39,958.0","-42,920.0","-46,790.0","-47,343.0","-47,660.0","-49,477.0","-45,819.0","-52,189.0","-42,612.0","-52,360.0","-46,266.0","-46,566.0","-42,410.0","-39,033.0","-44,470.0","-41,943.0","-37,945.0","-51,066.0","-66,013.0","-117,438.0","-68,430.0","-70,906.0","-65,560.0","-63,345.0","-61,734.0","-64,677.0","-57,519.0","-54,091.0","-58,174.0","-61,612.0","-72,437.0","-57,351.0","-46,682.0","-44,045.0","-44,389.0","-43,490.0","-40,398.0","-49,626.0","-60,972.0","-79,500.0","-72,342.0","-69,100.0","-64,208.0","-68,960.0","-62,217.0","-90,766.0","-113,880.0","-113,201.0","-136,364.0","-157,567.0","-164,662.0","-156,108.0","-183,317.0","-164,532.0","-166,169.0","-178,950.0","-189,443.0","-197,349.0","-165,104.0","-217,341.0","-196,813.0","-206,713.0","-207,467.0","-229,466.0","-233,911.0","-202,403.0","-205,225.0","-152,373.0","-168,339.0","-184,567.0","-194,482.0","-193,550.0","-192,693.0","-204,851.0","-177,633.0","-200,397.0","-205,940.0","-213,173.0","-238,539.0","-244,581.0","-241,879.0","-248,199.0","-212,934.0","-268,049.0","-295,324.0","-307,157.0","-332,366.0","-334,778.0","-349,278.0","-335,658.0","-338,960.0","-308,630.0","-320,591.0","-290,390.0","-276,910.0","-251,661.0","-271,529.0","-276,039.0","-270,551.0","-256,015.0","-260,797.0","-238,490.0","-229,913.0","-190,521.0","-185,181.0","-160,065.0","-139,635.0","-126,310.0","-100,165.0","-114,315.0","-67,723.0","-62,782.0","-39,854.0","-51,893.0","-35,654.0","-24,865.0","-22,508.0","-20,577.0","57,839.0","39,313.0","36,938.0","34,827.0","22,310.0","-3,639.0","-209,553.0","-103,876.0","-291,335.0","-313,621.0","-322,484.0","-353,342.0","-374,070.0","-437,134.0","-508,455.0","-443,166.0","-483,692.0","-453,202.0","-431,585.0","-433,166.0","-358,429.0","-354,132.0","-359,698.0","-340,456.0","-258,127.0","-255,398.0","-241,410.0","-200,207.0","-223,340.0","-250,102.0","-275,456.0","-297,491.0","-387,432.0","-745,171.0","-596,898.0","-586,698.0","-838,593.0","-1,090,347.0","-1,064,493.0","-989,479.0","-1,050,158.0","-1,050,405.0","-1,033,782.0","-1,016,792.0","-971,204.0","-1,043,434.0","-965,893.0","-912,108.0","-817,916.0","-811,061.0","-784,990.0","-789,793.0","-492,448.0","-244,800.0","-421,747.0","-250,990.0","-342,600.0","-347,086.0","-369,289.0","-349,657.0","-285,255.0","-291,689.0"
"58",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","39","  Total receipts","W018RC1","193,775.0","197,100.0","194,654.0","196,063.0","190,156.0","191,133.0","187,374.0","186,588.0","191,322.0","194,245.0","194,964.0","200,655.0","219,489.0","221,083.0","224,392.0","232,516.0","248,186.0","251,202.0","254,382.0","263,584.0","271,186.0","281,301.0","292,103.0","288,590.0","282,268.0","249,711.0","293,383.0","301,514.0","317,291.0","324,455.0","332,230.0","338,710.0","359,333.0","366,765.0","373,618.0","384,392.0","394,299.0","422,529.0","440,554.0","458,767.0","474,958.0","486,289.0","498,997.0","509,824.0","524,902.0","522,242.0","542,495.0","571,197.0","614,040.0","624,233.0","641,720.0","631,822.0","627,103.0","632,363.0","622,069.0","623,174.0","629,856.0","655,745.0","650,538.0","666,018.0","700,515.0","713,059.0","720,019.0","734,957.0","788,667.0","751,871.0","790,420.0","797,444.0","808,816.0","812,390.0","826,924.0","851,391.0","855,583.0","924,556.0","916,381.0","930,276.0","949,540.0","958,169.0","975,693.0","996,896.0","1,040,994.0","1,042,318.0","1,054,809.0","1,067,369.0","1,074,803.0","1,095,907.0","1,108,249.0","1,117,950.0","1,110,101.0","1,111,637.0","1,122,256.0","1,131,312.0","1,142,376.0","1,156,171.0","1,164,652.0","1,199,338.0","1,190,496.0","1,237,981.0","1,245,929.0","1,301,109.0","1,299,586.0","1,346,851.0","1,353,757.0","1,377,412.0","1,402,646.0","1,430,668.0","1,439,146.0","1,456,878.0","1,493,709.0","1,549,272.0","1,562,337.0","1,609,768.0","1,636,064.0","1,672,183.0","1,709,968.0","1,733,296.0","1,769,589.0","1,797,253.0","1,833,316.0","1,859,485.0","1,890,137.0","1,911,413.0","1,942,392.0","1,992,856.0","2,072,541.0","2,085,708.0","2,104,210.0","2,122,703.0","2,142,288.0","2,128,309.0","1,933,335.0","2,035,222.0","1,894,726.0","1,893,542.0","1,895,436.0","1,899,968.0","1,912,636.0","1,931,402.0","1,860,746.0","1,963,359.0","1,976,286.0","2,027,455.0","2,088,898.0","2,115,381.0","2,268,767.0","2,296,441.0","2,341,711.0","2,407,091.0","2,515,666.0","2,545,311.0","2,588,866.0","2,612,442.0","2,685,418.0","2,701,492.0","2,688,922.0","2,698,710.0","2,667,864.0","2,651,666.0","2,598,045.0","2,513,336.0","2,244,844.0","2,241,405.0","2,240,532.0","2,309,087.0","2,377,297.0","2,432,374.0","2,496,094.0","2,527,681.0","2,578,146.0","2,586,877.0","2,575,017.0","2,594,974.0","2,675,836.0","2,691,504.0","2,702,521.0","2,782,735.0","2,996,407.0","3,274,252.0","3,108,524.0","3,269,507.0","3,235,762.0","3,275,427.0","3,311,514.0","3,313,476.0","3,375,688.0","3,440,803.0"
"60","40","    Current receipts","W005RC1","190,311.0","193,411.0","191,114.0","192,504.0","186,403.0","187,432.0","183,823.0","182,864.0","187,538.0","190,405.0","190,828.0","194,063.0","213,089.0","216,471.0","219,400.0","227,076.0","242,522.0","246,521.0","249,570.0","258,371.0","265,946.0","276,412.0","287,468.0","284,174.0","277,791.0","244,778.0","288,238.0","296,517.0","312,071.0","318,959.0","326,738.0","332,586.0","347,305.0","361,277.0","367,930.0","378,968.0","389,003.0","417,385.0","435,414.0","453,499.0","469,550.0","480,945.0","493,597.0","504,000.0","518,870.0","515,758.0","535,531.0","564,621.0","607,692.0","617,509.0","634,596.0","624,454.0","618,075.0","624,607.0","614,741.0","617,226.0","624,300.0","649,941.0","644,070.0","660,754.0","694,187.0","707,163.0","714,111.0","729,209.0","782,147.0","745,791.0","783,692.0","791,280.0","802,188.0","805,434.0","819,552.0","844,463.0","848,115.0","917,308.0","908,869.0","923,672.0","942,384.0","951,253.0","967,481.0","988,608.0","1,032,874.0","1,033,202.0","1,046,025.0","1,057,793.0","1,065,119.0","1,081,263.0","1,096,929.0","1,107,210.0","1,099,101.0","1,101,273.0","1,110,408.0","1,120,524.0","1,131,160.0","1,145,711.0","1,153,120.0","1,187,422.0","1,178,560.0","1,225,353.0","1,233,145.0","1,286,845.0","1,284,254.0","1,330,667.0","1,339,277.0","1,362,976.0","1,388,366.0","1,416,660.0","1,423,634.0","1,440,886.0","1,477,517.0","1,531,828.0","1,543,905.0","1,591,880.0","1,616,480.0","1,652,163.0","1,688,968.0","1,711,644.0","1,745,917.0","1,772,237.0","1,807,832.0","1,833,021.0","1,862,689.0","1,882,781.0","1,914,048.0","1,962,200.0","2,044,249.0","2,057,308.0","2,076,294.0","2,094,907.0","2,113,800.0","2,098,217.0","1,906,987.0","2,008,346.0","1,867,870.0","1,868,450.0","1,869,028.0","1,877,116.0","1,890,112.0","1,910,834.0","1,839,974.0","1,939,319.0","1,952,730.0","2,003,263.0","2,062,262.0","2,091,305.0","2,243,971.0","2,272,229.0","2,316,575.0","2,381,279.0","2,484,130.0","2,518,691.0","2,561,758.0","2,586,374.0","2,660,810.0","2,674,868.0","2,663,042.0","2,669,938.0","2,640,752.0","2,621,442.0","2,571,285.0","2,484,380.0","2,221,728.0","2,219,865.0","2,220,788.0","2,291,043.0","2,359,757.0","2,416,590.0","2,481,750.0","2,515,033.0","2,567,826.0","2,577,229.0","2,565,809.0","2,585,574.0","2,664,176.0","2,678,616.0","2,687,749.0","2,765,759.0","2,976,735.0","3,253,820.0","3,086,436.0","3,248,187.0","3,215,518.0","3,256,331.0","3,293,410.0","3,295,680.0","3,356,492.0","3,420,827.0"
"61","41","    Capital transfer receipts","B232RC1","3,464.0","3,688.0","3,540.0","3,560.0","3,752.0","3,700.0","3,552.0","3,724.0","3,784.0","3,840.0","4,136.0","6,592.0","6,400.0","4,612.0","4,992.0","5,440.0","5,664.0","4,680.0","4,812.0","5,212.0","5,240.0","4,888.0","4,636.0","4,416.0","4,476.0","4,932.0","5,144.0","4,996.0","5,220.0","5,496.0","5,492.0","6,124.0","12,028.0","5,488.0","5,688.0","5,424.0","5,296.0","5,144.0","5,140.0","5,268.0","5,408.0","5,344.0","5,400.0","5,824.0","6,032.0","6,484.0","6,964.0","6,576.0","6,348.0","6,724.0","7,124.0","7,368.0","9,028.0","7,756.0","7,328.0","5,948.0","5,556.0","5,804.0","6,468.0","5,264.0","6,328.0","5,896.0","5,908.0","5,748.0","6,520.0","6,080.0","6,728.0","6,164.0","6,628.0","6,956.0","7,372.0","6,928.0","7,468.0","7,248.0","7,512.0","6,604.0","7,156.0","6,916.0","8,212.0","8,288.0","8,120.0","9,116.0","8,784.0","9,576.0","9,684.0","14,644.0","11,320.0","10,740.0","11,000.0","10,364.0","11,848.0","10,788.0","11,216.0","10,460.0","11,532.0","11,916.0","11,936.0","12,628.0","12,784.0","14,264.0","15,332.0","16,184.0","14,480.0","14,436.0","14,280.0","14,008.0","15,512.0","15,992.0","16,192.0","17,444.0","18,432.0","17,888.0","19,584.0","20,020.0","21,000.0","21,652.0","23,672.0","25,016.0","25,484.0","26,464.0","27,448.0","28,632.0","28,344.0","30,656.0","28,292.0","28,400.0","27,916.0","27,796.0","28,488.0","30,092.0","26,348.0","26,876.0","26,856.0","25,092.0","26,408.0","22,852.0","22,524.0","20,568.0","20,772.0","24,040.0","23,556.0","24,192.0","26,636.0","24,076.0","24,796.0","24,212.0","25,136.0","25,812.0","31,536.0","26,620.0","27,108.0","26,068.0","24,608.0","26,624.0","25,880.0","28,772.0","27,112.0","30,224.0","26,760.0","28,956.0","23,116.0","21,540.0","19,744.0","18,044.0","17,540.0","15,784.0","14,344.0","12,648.0","10,320.0","9,648.0","9,208.0","9,400.0","11,660.0","12,888.0","14,772.0","16,976.0","19,672.0","20,432.0","22,088.0","21,320.0","20,244.0","19,096.0","18,104.0","17,796.0","19,196.0","19,976.0"
"62","42","  Total expenditures","W019RC1","201,325.0","205,597.0","210,613.0","213,881.0","218,169.0","228,061.0","230,253.0","234,565.0","235,393.0","248,013.0","248,373.0","251,589.0","263,645.0","274,238.0","264,798.0","287,326.0","285,133.0","293,339.0","285,597.0","294,507.0","305,462.0","310,281.0","331,820.0","341,972.0","362,023.0","384,079.0","392,395.0","402,093.0","406,430.0","405,421.0","417,318.0","429,999.0","435,904.0","443,603.0","455,483.0","469,086.0","482,997.0","491,656.0","509,812.0","524,651.0","529,045.0","542,343.0","562,605.0","578,825.0","609,489.0","632,900.0","661,751.0","675,773.0","709,164.0","718,893.0","734,713.0","766,192.0","776,806.0","796,072.0","821,641.0","851,700.0","867,525.0","872,557.0","896,802.0","898,250.0","914,512.0","935,401.0","950,398.0","985,761.0","1,001,226.0","1,020,923.0","1,038,545.0","1,054,829.0","1,060,484.0","1,081,991.0","1,117,835.0","1,096,479.0","1,104,260.0","1,125,101.0","1,128,033.0","1,147,503.0","1,159,826.0","1,161,919.0","1,167,546.0","1,194,919.0","1,217,275.0","1,236,327.0","1,257,681.0","1,271,307.0","1,309,502.0","1,330,116.0","1,340,165.0","1,392,333.0","1,329,403.0","1,389,574.0","1,435,387.0","1,443,969.0","1,493,246.0","1,516,293.0","1,535,049.0","1,554,528.0","1,552,184.0","1,560,759.0","1,578,984.0","1,598,643.0","1,568,697.0","1,590,548.0","1,622,554.0","1,642,791.0","1,667,433.0","1,680,946.0","1,663,319.0","1,684,227.0","1,729,918.0","1,738,713.0","1,736,446.0","1,738,173.0","1,753,470.0","1,745,761.0","1,776,509.0","1,802,530.0","1,784,076.0","1,791,355.0","1,804,209.0","1,836,442.0","1,835,871.0","1,849,678.0","1,873,760.0","1,929,497.0","1,900,054.0","1,942,186.0","1,954,004.0","1,979,600.0","2,015,550.0","2,048,203.0","2,082,047.0","2,090,265.0","2,152,049.0","2,194,399.0","2,210,300.0","2,266,350.0","2,300,329.0","2,406,760.0","2,404,084.0","2,433,396.0","2,485,077.0","2,496,480.0","2,539,861.0","2,567,045.0","2,661,439.0","2,681,854.0","2,788,545.0","2,768,548.0","2,836,824.0","2,871,329.0","2,897,896.0","2,828,930.0","2,983,894.0","3,045,186.0","3,072,882.0","3,088,111.0","3,153,677.0","3,507,289.0","3,366,973.0","3,525,540.0","3,576,731.0","3,813,296.0","3,752,848.0","3,795,780.0","3,911,839.0","3,989,746.0","3,977,582.0","3,989,057.0","3,947,977.0","4,058,996.0","3,955,455.0","3,960,946.0","3,897,966.0","3,889,373.0","3,873,010.0","3,965,885.0","3,854,987.0","3,854,082.0","3,873,006.0","3,859,734.0","3,903,060.0","3,958,961.0","4,009,974.0","3,989,797.0","3,996,309.0","3,957,663.0"
"63","43","    Current expenditures","W013RC1","188,072.0","194,904.0","199,744.0","205,052.0","208,652.0","220,040.0","223,332.0","227,544.0","233,040.0","242,812.0","242,536.0","247,740.0","258,760.0","267,860.0","260,056.0","284,904.0","282,568.0","287,272.0","286,160.0","291,740.0","301,248.0","314,272.0","323,632.0","337,432.0","352,928.0","377,196.0","377,940.0","387,168.0","392,827.0","395,131.0","406,227.0","415,583.0","419,492.0","427,612.0","441,052.0","454,952.0","467,160.0","476,280.0","488,496.0","502,664.0","509,163.0","520,183.0","538,443.0","558,379.0","582,385.0","603,161.0","635,877.0","658,361.0","679,516.0","693,077.0","717,181.0","737,740.0","751,258.0","763,932.0","790,565.0","827,400.0","831,253.0","850,777.0","861,410.0","855,658.0","873,944.0","896,177.0","909,466.0","934,433.0","949,946.0","962,915.0","979,757.0","992,749.0","1,003,644.0","1,029,595.0","1,049,479.0","1,039,563.0","1,042,840.0","1,058,861.0","1,062,205.0","1,086,727.0","1,106,202.0","1,107,003.0","1,118,678.0","1,147,215.0","1,169,191.0","1,191,419.0","1,209,565.0","1,226,291.0","1,260,402.0","1,282,964.0","1,293,677.0","1,317,153.0","1,283,219.0","1,345,330.0","1,379,691.0","1,407,897.0","1,455,870.0","1,477,117.0","1,497,053.0","1,517,996.0","1,519,172.0","1,531,351.0","1,550,328.0","1,570,291.0","1,550,737.0","1,567,468.0","1,593,870.0","1,619,831.0","1,642,457.0","1,658,418.0","1,668,851.0","1,663,179.0","1,700,626.0","1,711,685.0","1,713,538.0","1,733,301.0","1,737,170.0","1,754,657.0","1,757,669.0","1,784,414.0","1,768,536.0","1,780,991.0","1,786,137.0","1,812,470.0","1,815,223.0","1,820,022.0","1,842,512.0","1,877,409.0","1,868,086.0","1,910,942.0","1,922,596.0","1,945,088.0","1,983,830.0","2,005,435.0","2,037,179.0","2,043,093.0","2,095,877.0","2,134,927.0","2,145,888.0","2,187,706.0","2,223,510.0","2,312,644.0","2,312,437.0","2,343,161.0","2,393,770.0","2,405,445.0","2,435,379.0","2,471,843.0","2,556,892.0","2,582,249.0","2,624,449.0","2,669,404.0","2,726,661.0","2,762,969.0","2,795,772.0","2,773,672.0","2,874,646.0","2,926,790.0","2,949,946.0","2,979,870.0","3,049,792.0","3,401,942.0","3,234,919.0","3,167,166.0","3,261,849.0","3,554,576.0","3,561,722.0","3,570,657.0","3,711,672.0","3,754,967.0","3,800,972.0","3,820,368.0","3,804,230.0","3,890,398.0","3,797,035.0","3,781,345.0","3,771,243.0","3,780,607.0","3,767,296.0","3,837,382.0","3,767,342.0","3,779,764.0","3,794,091.0","3,787,747.0","3,834,672.0","3,886,295.0","3,943,462.0","3,922,405.0","3,935,812.0","4,014,412.0"
"64","44","    Gross government investment","A787RC1","32,480.0","30,252.0","31,036.0","29,124.0","30,828.0","30,340.0","29,944.0","30,716.0","27,696.0","27,508.0","28,852.0","27,136.0","28,556.0","30,600.0","28,264.0","29,976.0","32,756.0","32,268.0","30,684.0","30,900.0","33,292.0","35,228.0","36,404.0","37,724.0","37,708.0","36,884.0","41,716.0","43,080.0","43,660.0","43,420.0","45,596.0","46,320.0","47,960.0","49,368.0","49,836.0","49,628.0","50,556.0","53,804.0","56,092.0","58,516.0","58,332.0","60,048.0","64,648.0","63,948.0","68,324.0","69,008.0","70,268.0","73,412.0","75,404.0","79,580.0","81,672.0","85,060.0","84,868.0","90,280.0","90,316.0","94,360.0","96,768.0","100,044.0","104,328.0","108,212.0","110,488.0","113,676.0","114,356.0","123,840.0","124,724.0","131,036.0","137,360.0","136,980.0","134,596.0","138,576.0","148,092.0","146,272.0","147,304.0","153,148.0","156,044.0","153,292.0","147,432.0","147,876.0","148,076.0","148,548.0","149,024.0","149,668.0","155,000.0","151,176.0","155,916.0","158,500.0","159,304.0","159,096.0","155,704.0","159,308.0","157,460.0","154,716.0","155,520.0","156,644.0","157,056.0","156,356.0","152,404.0","151,476.0","148,828.0","150,024.0","141,180.0","144,180.0","149,732.0","146,344.0","148,676.0","148,788.0","146,672.0","146,668.0","153,664.0","152,076.0","149,648.0","143,780.0","141,460.0","142,368.0","146,600.0","144,392.0","143,964.0","147,268.0","150,868.0","148,552.0","148,092.0","154,324.0","157,108.0","159,904.0","156,348.0","156,340.0","158,480.0","158,336.0","158,744.0","163,500.0","165,720.0","167,416.0","171,844.0","178,480.0","184,568.0","186,216.0","188,864.0","196,276.0","199,124.0","201,152.0","203,644.0","208,992.0","215,280.0","216,108.0","216,676.0","221,392.0","226,896.0","226,552.0","233,252.0","238,444.0","237,216.0","243,284.0","243,044.0","251,680.0","254,692.0","256,272.0","260,652.0","274,800.0","282,032.0","285,652.0","277,460.0","283,432.0","287,312.0","287,728.0","290,084.0","299,476.0","302,864.0","307,412.0","297,528.0","299,704.0","296,908.0","295,420.0","288,949.0","287,664.0","284,438.0","277,716.0","271,870.0","267,170.0","269,560.0","268,848.0","261,821.0","265,964.0","264,948.0","265,575.0","261,540.0","263,377.0"
"65","45","    Capital transfer payments","W020RC1","5,904.0","5,836.0","5,672.0","6,028.0","5,680.0","5,360.0","4,928.0","5,072.0","5,640.0","6,444.0","5,896.0","5,816.0","5,864.0","5,452.0","7,028.0","5,860.0","5,932.0","6,392.0","5,532.0","6,132.0","7,992.0","8,840.0","6,744.0","8,128.0","8,956.0","8,100.0","11,068.0","10,720.0","10,308.0","10,012.0","10,820.0","11,328.0","10,880.0","10,936.0","12,056.0","10,900.0","11,196.0","11,780.0","12,172.0","12,788.0","13,888.0","13,384.0","14,668.0","16,148.0","16,672.0","16,948.0","16,252.0","17,084.0","16,408.0","15,992.0","15,132.0","15,412.0","14,236.0","14,908.0","14,816.0","14,720.0","16,072.0","14,344.0","16,036.0","15,876.0","16,664.0","17,332.0","18,196.0","18,940.0","17,180.0","19,572.0","20,188.0","21,320.0","19,840.0","20,664.0","21,392.0","18,428.0","18,888.0","19,696.0","18,972.0","18,840.0","19,108.0","19,968.0","20,524.0","19,416.0","20,324.0","20,080.0","18,976.0","21,464.0","22,280.0","20,336.0","20,664.0","49,540.0","25,992.0","22,180.0","37,068.0","20,788.0","21,568.0","23,188.0","22,460.0","23,236.0","24,380.0","22,632.0","25,284.0","24,920.0","23,772.0","27,540.0","26,200.0","26,676.0","27,948.0","28,236.0","28,420.0","26,996.0","29,344.0","28,100.0","27,312.0","28,924.0","28,620.0","29,516.0","29,684.0","29,036.0","27,280.0","27,548.0","29,392.0","31,484.0","28,068.0","32,472.0","34,580.0","51,156.0","35,976.0","36,440.0","36,196.0","39,468.0","40,576.0","43,248.0","42,944.0","43,364.0","48,452.0","45,552.0","45,376.0","59,400.0","56,430.0","68,568.0","64,707.0","62,626.0","63,114.0","60,267.0","69,454.0","62,981.0","74,088.0","67,236.0","132,583.0","67,388.0","74,923.0","71,504.0","69,424.0","68,310.0","76,624.0","83,048.0","83,428.0","74,634.0","75,033.0","77,179.0","88,230.0","343,010.0","297,977.0","214,140.0","140,222.0","175,255.0","151,019.0","181,095.0","121,819.0","111,665.0","100,287.0","126,302.0","122,080.0","145,320.0","101,364.0","86,364.0","88,111.0","120,348.0","84,071.0","77,511.0","81,042.0","73,401.0","77,454.0","78,700.0","79,207.0","74,996.0","71,689.0","72,691.0"
