"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"98","77","  Compensation of employees","W209RC1","586,016.0","625,117.0","667,030.0","733,641.0","815,039.0","890,320.0","950,175.0","1,051,234.0","1,168,985.0","1,320,225.0","1,481,035.0","1,626,229.0","1,795,268.0","1,894,319.0","2,013,907.0","2,217,404.0","2,388,965.0","2,543,844.0","2,724,310.0","2,950,040.0","3,142,566.0","3,342,670.0","3,451,998.0","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,365,393.0","6,740,484.0","7,087,759.0","7,503,178.0","7,899,138.0","8,079,199.0","7,787,813.0","7,967,302.0","8,278,491.0","8,611,627.0"
"99","78","    Imputations (188+202)","Y506RC1","23,586.0","25,469.0","27,357.0","30,305.0","27,817.0","27,754.0","34,309.0","32,329.0","35,832.0","40,088.0","45,526.0","50,931.0","59,414.0","70,018.0","82,831.0","85,309.0","100,872.0","117,634.0","129,002.0","153,167.0","185,543.0","210,112.0","223,101.0","263,921.0","278,483.0","286,448.0","283,780.0","297,965.0","313,730.0","341,341.0","382,193.0","422,551.0","450,021.0","443,293.0","447,387.0","519,658.0","555,824.0","569,344.0","596,576.0","569,827.0","565,789.0","572,927.0","577,727.0","571,167.0"
"100","79","    Excluding imputations (77-78)","W519RC1","562,430.0","599,648.0","639,673.0","703,336.0","787,222.0","862,566.0","915,866.0","1,018,905.0","1,133,153.0","1,280,137.0","1,435,509.0","1,575,298.0","1,735,854.0","1,824,301.0","1,931,076.0","2,132,095.0","2,288,093.0","2,426,210.0","2,595,308.0","2,796,873.0","2,957,023.0","3,132,558.0","3,228,897.0","3,407,211.0","3,542,188.0","3,723,681.0","3,918,869.0","4,124,145.0","4,400,963.0","4,736,482.0","5,028,116.0","5,434,030.0","5,596,525.0","5,698,618.0","5,918,006.0","6,220,826.0","6,531,935.0","6,933,834.0","7,302,562.0","7,509,372.0","7,222,024.0","7,394,375.0","7,700,764.0","8,040,460.0"
"101","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,155,132.0","1,224,912.0"
"102","81","    Imputations (199+211)","A2101C1","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,056.0","3,573.0","3,312.0","3,102.0","2,886.0","2,930.0","2,401.0","3,254.0","3,014.0","3,382.0","2,755.0","2,989.0","3,062.0","2,849.0","3,226.0","2,780.0","2,819.0","3,024.0","3,091.0","3,712.0","4,303.0","3,660.0","2,259.0","661.0","152.0","794.0","789.0","903.0"
"103","82","    Excluding imputations (80-81)","A2102C1","76,253.0","77,041.0","83,040.0","94,083.0","111,160.0","110,834.0","116,755.0","128,845.0","141,691.0","162,888.0","176,188.0","169,228.0","177,622.0","169,272.0","183,394.0","225,263.0","237,996.0","252,906.0","283,156.0","322,741.0","339,052.0","351,519.0","353,555.0","399,108.0","427,496.0","456,118.0","481,701.0","544,382.0","584,792.0","641,345.0","697,212.0","754,991.0","833,966.0","868,013.0","896,976.0","958,341.0","974,654.0","1,050,025.0","976,911.0","1,025,813.0","972,844.0","1,031,899.0","1,154,343.0","1,224,009.0"
"104","83","  Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","484,382.0","541,156.0"
"105","84","    Imputations (163)","B1156C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","7,048.0","7,139.0","5,727.0","5,631.0","5,770.0","2,147.0","1,260.0","-1,181.0","-4,181.0","-9,459.0","-9,849.0","-3,586.0","-3,339.0","-68.0","5,803.0","19,815.0","42,601.0","62,165.0","68,533.0","82,712.0","84,954.0","101,291.0","115,189.0","120,852.0","134,778.0","146,301.0","165,348.0","180,194.0","158,055.0","124,340.0","96,397.0","147,234.0","216,751.0","268,070.0","327,401.0","367,341.0"
"106","85","    Excluding imputations (83-84)","A2103C1","5,960.0","6,216.0","6,449.0","7,515.0","8,713.0","8,488.0","8,629.0","8,623.0","9,146.0","9,772.0","10,841.0","14,103.0","19,645.0","23,991.0","26,228.0","29,067.0","33,686.0","31,363.0","30,057.0","28,701.0","27,750.0","31,425.0","36,203.0","44,511.0","51,038.0","55,305.0","60,654.0","64,239.0","67,093.0","68,573.0","67,916.0","66,870.0","72,764.0","71,001.0","72,675.0","75,224.0","80,386.0","83,181.0","93,013.0","114,872.0","116,949.0","134,685.0","156,981.0","173,815.0"
"107","86","  Personal income receipts on assets","W210RC1","98,686.0","112,650.0","122,341.0","133,297.0","150,636.0","175,357.0","195,274.0","212,617.0","243,420.0","277,982.0","318,344.0","385,990.0","472,859.0","541,250.0","584,287.0","665,067.0","712,807.0","755,344.0","779,851.0","839,369.0","951,948.0","991,186.0","985,467.0","982,147.0","988,603.0","1,029,402.0","1,114,029.0","1,176,471.0","1,258,453.0","1,342,541.0","1,329,669.0","1,453,513.0","1,441,314.0","1,390,424.0","1,420,488.0","1,503,739.0","1,666,452.0","1,938,402.0","2,166,648.0","2,167,055.0","1,811,783.0","1,739,643.0","1,884,601.0","1,958,541.0"
"108","87","    Imputations (170+181+195+196)","Y507RC1","28,718.0","36,405.0","40,956.0","45,642.0","49,377.0","56,972.0","70,033.0","72,724.0","80,991.0","95,206.0","104,394.0","115,366.0","128,992.0","155,019.0","193,966.0","194,331.0","221,416.0","238,977.0","253,968.0","264,603.0","276,558.0","285,989.0","294,512.0","313,993.0","324,389.0","342,388.0","355,278.0","357,262.0","370,504.0","371,189.0","373,727.0","380,906.0","391,342.0","419,047.0","442,280.0","461,659.0","477,920.0","484,886.0","506,286.0","549,399.0","570,565.0","575,566.0","586,498.0","602,020.0"
"109","88","    Excluding imputations (86-87)","Y508RC1","69,968.0","76,245.0","81,385.0","87,655.0","101,259.0","118,385.0","125,241.0","139,893.0","162,429.0","182,776.0","213,950.0","270,624.0","343,867.0","386,231.0","390,321.0","470,736.0","491,391.0","516,367.0","525,883.0","574,766.0","675,390.0","705,197.0","690,955.0","668,154.0","664,214.0","687,014.0","758,751.0","819,209.0","887,949.0","971,352.0","955,942.0","1,072,607.0","1,049,972.0","971,377.0","978,208.0","1,042,080.0","1,188,532.0","1,453,516.0","1,660,362.0","1,617,656.0","1,241,218.0","1,164,077.0","1,298,103.0","1,356,521.0"
"110","89","  Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,212.0","209,638.0","235,312.0","279,471.0","318,369.0","354,832.0","383,741.0","400,132.0","424,898.0","450,966.0","467,612.0","496,459.0","542,602.0","594,907.0","665,867.0","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,013.0","1,188,106.0","1,280,347.0","1,342,861.0","1,416,684.0","1,512,006.0","1,609,645.0","1,722,772.0","1,883,971.0","2,140,206.0","2,276,908.0","2,306,921.0","2,358,265.0"
"111","90","    Imputations (-158-197+198)","A2111C1","7,007.0","7,810.0","9,793.0","9,943.0","10,862.0","13,223.0","13,863.0","16,813.0","19,907.0","19,694.0","16,809.0","12,286.0","3,975.0","-9,715.0","-20,183.0","24,715.0","12,153.0","-10,046.0","-15,133.0","-17,457.0","-26,984.0","-32,292.0","-33,915.0","-38,663.0","-41,816.0","-43,854.0","-51,490.0","-74,828.0","-88,569.0","-105,014.0","-125,481.0","-138,947.0","-136,570.0","-112,273.0","-77,064.0","-109,713.0","-114,778.0","-129,155.0","-149,388.0","-115,558.0","-111,591.0","-101,284.0","-105,289.0","-105,343.0"
"112","91","    Excluding imputations (89-90)","A2112C1","55,297.0","66,853.0","78,315.0","87,977.0","101,706.0","120,071.0","156,115.0","167,161.0","174,305.0","189,944.0","218,503.0","267,185.0","314,394.0","364,547.0","403,924.0","375,417.0","412,745.0","461,012.0","482,745.0","513,916.0","569,586.0","627,199.0","699,782.0","784,429.0","832,583.0","870,249.0","930,437.0","998,904.0","1,037,765.0","1,082,931.0","1,147,065.0","1,221,960.0","1,324,676.0","1,392,620.0","1,419,925.0","1,526,397.0","1,626,784.0","1,738,800.0","1,872,160.0","1,999,529.0","2,251,797.0","2,378,192.0","2,412,210.0","2,463,608.0"
"113","92","  Less: Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","918,210.0","950,729.0"
"114","93","    Imputations (207)","A1676C1","411.0","605.0","828.0","899.0","781.0","910.0","1,354.0","1,516.0","1,393.0","1,200.0","1,314.0","1,495.0","1,580.0","1,528.0","1,722.0","1,742.0","1,904.0","2,079.0","2,227.0","2,502.0","2,665.0","2,994.0","3,362.0","4,185.0","4,170.0","3,488.0","3,081.0","2,956.0","2,880.0","2,893.0","2,967.0","3,187.0","3,500.0","3,835.0","4,569.0","5,114.0","5,614.0","6,331.0","6,492.0","6,999.0","8,120.0","9,127.0","9,297.0","9,237.0"
"115","94","    Excluding imputations (92-93)","W531RC1","43,716.0","45,754.0","50,348.0","58,305.0","74,715.0","84,271.0","87,956.0","99,818.0","111,701.0","130,060.0","151,435.0","164,693.0","194,121.0","207,366.0","224,231.0","255,728.0","279,466.0","301,359.0","320,886.0","358,980.0","382,566.0","407,114.0","426,820.0","450,766.0","473,255.0","504,692.0","529,719.0","552,122.0","584,361.0","621,758.0","658,318.0","702,653.0","729,696.0","747,662.0","774,687.0","824,064.0","867,731.0","916,260.0","954,906.0","981,238.0","956,287.0","974,981.0","908,913.0","941,492.0"
"116","95","Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,332.0","1,000,861.0","1,045,967.0","1,208,502.0","1,352,114.0","1,487,879.0","1,435,201.0","1,144,935.0","1,191,469.0","1,403,963.0","1,497,999.0"
"117","96","  Imputations (-157)","A2115C1","-12,702.0","-14,426.0","-15,842.0","-17,092.0","-18,471.0","-19,781.0","-21,758.0","-24,065.0","-26,596.0","-27,221.0","-28,055.0","-30,579.0","-33,868.0","-36,962.0","-39,404.0","-42,291.0","-44,867.0","-47,475.0","-51,785.0","-55,192.0","-59,757.0","-63,527.0","-68,192.0","-70,472.0","-70,348.0","-73,741.0","-73,846.0","-76,174.0","-78,866.0","-80,231.0","-82,987.0","-85,663.0","-90,487.0","-97,372.0","-103,148.0","-109,403.0","-117,548.0","-125,093.0","-134,393.0","-137,631.0","-144,655.0","-144,569.0","-145,226.0","-146,854.0"
"118","97","  Excluding imputations (95-96)","A2116C1","117,208.0","117,496.0","117,547.0","140,732.0","150,878.0","170,829.0","169,365.0","196,373.0","224,115.0","256,618.0","296,721.0","329,434.0","379,033.0","391,072.0","391,729.0","419,703.0","462,206.0","484,692.0","540,843.0","560,130.0","625,852.0","656,235.0","654,817.0","681,003.0","716,881.0","764,245.0","817,744.0","908,129.0","1,005,017.0","1,106,658.0","1,190,513.0","1,317,922.0","1,325,319.0","1,147,704.0","1,104,009.0","1,155,370.0","1,326,050.0","1,477,207.0","1,622,272.0","1,572,832.0","1,289,590.0","1,336,038.0","1,549,189.0","1,644,853.0"
"119","98","Disposable personal income","A067RC1","695,752.0","761,528.0","830,432.0","899,934.0","1,006,118.0","1,098,293.0","1,219,277.0","1,325,778.0","1,456,690.0","1,630,073.0","1,809,282.0","2,017,950.0","2,250,725.0","2,424,726.0","2,617,395.0","2,903,854.0","3,098,518.0","3,287,882.0","3,466,278.0","3,770,406.0","4,052,139.0","4,311,753.0","4,484,487.0","4,800,251.0","5,000,232.0","5,244,212.0","5,532,570.0","5,829,946.0","6,148,851.0","6,561,261.0","6,876,294.0","7,400,501.0","7,752,265.0","8,099,192.0","8,486,715.0","9,003,233.0","9,401,768.0","10,037,726.0","10,507,861.0","10,995,367.0","10,937,156.0","11,243,724.0","11,787,354.0","12,245,773.0"
"120","99","  Imputations (75-96)","A2117C1","86,768.0","98,775.0","109,465.0","118,405.0","121,651.0","133,049.0","153,992.0","158,542.0","171,782.0","191,234.0","202,447.0","215,639.0","232,497.0","254,822.0","298,412.0","346,707.0","376,279.0","386,075.0","410,858.0","452,519.0","491,756.0","527,204.0","556,732.0","628,607.0","672,849.0","720,782.0","729,621.0","739,318.0","759,667.0","788,994.0","828,874.0","870,618.0","929,377.0","992,929.0","1,079,621.0","1,159,799.0","1,193,258.0","1,171,837.0","1,180,031.0","1,282,195.0","1,378,201.0","1,451,515.0","1,523,055.0","1,573,705.0"
"121","100","  Excluding imputations (98-99)","A2118C1","608,984.0","662,753.0","720,967.0","781,529.0","884,467.0","965,244.0","1,065,285.0","1,167,236.0","1,284,908.0","1,438,839.0","1,606,835.0","1,802,311.0","2,018,228.0","2,169,904.0","2,318,983.0","2,557,147.0","2,722,239.0","2,901,807.0","3,055,420.0","3,317,887.0","3,560,383.0","3,784,549.0","3,927,755.0","4,171,644.0","4,327,383.0","4,523,430.0","4,802,949.0","5,090,628.0","5,389,184.0","5,772,267.0","6,047,420.0","6,529,883.0","6,822,888.0","7,106,263.0","7,407,094.0","7,843,434.0","8,208,510.0","8,865,889.0","9,327,830.0","9,713,172.0","9,558,955.0","9,792,209.0","10,264,299.0","10,672,068.0"
"122","101","Personal outlays","A068RC1","620,719.0","665,468.0","720,347.0","790,737.0","874,337.0","956,582.0","1,060,278.0","1,178,470.0","1,308,532.0","1,463,507.0","1,631,739.0","1,804,754.0","1,998,253.0","2,147,049.0","2,370,397.0","2,591,784.0","2,833,396.0","3,018,525.0","3,214,197.0","3,475,659.0","3,735,629.0","3,976,309.0","4,118,596.0","4,374,224.0","4,632,597.0","4,912,796.0","5,179,646.0","5,484,731.0","5,796,661.0","6,155,954.0","6,583,298.0","7,102,573.0","7,421,061.0","7,695,317.0","8,075,897.0","8,590,016.0","9,159,107.0","9,700,819.0","10,190,613.0","10,444,036.0","10,266,481.0","10,609,518.0","11,119,127.0","11,558,405.0"
"123","102","  Imputations (5-162+227)","A2119C1","28,871.0","37,117.0","33,145.0","28,950.0","29,418.0","46,232.0","61,519.0","52,499.0","39,405.0","42,710.0","53,714.0","85,023.0","104,110.0","133,371.0","132,038.0","119,406.0","151,789.0","141,513.0","146,019.0","169,928.0","197,950.0","239,451.0","282,034.0","308,899.0","347,730.0","366,788.0","390,068.0","389,918.0","392,730.0","403,141.0","434,204.0","482,150.0","489,938.0","508,407.0","524,211.0","514,369.0","487,438.0","519,468.0","670,599.0","906,329.0","1,082,390.0","1,165,293.0","1,260,973.0","1,287,539.0"
"124","103","  Excluding imputations (101-102)","A2120C1","591,848.0","628,351.0","687,202.0","761,787.0","844,919.0","910,350.0","998,759.0","1,125,971.0","1,269,127.0","1,420,797.0","1,578,025.0","1,719,731.0","1,894,143.0","2,013,678.0","2,238,359.0","2,472,378.0","2,681,607.0","2,877,012.0","3,068,178.0","3,305,731.0","3,537,679.0","3,736,858.0","3,836,562.0","4,065,325.0","4,284,867.0","4,546,008.0","4,789,578.0","5,094,813.0","5,403,931.0","5,752,813.0","6,149,094.0","6,620,423.0","6,931,123.0","7,186,910.0","7,551,686.0","8,075,647.0","8,671,669.0","9,181,351.0","9,520,014.0","9,537,707.0","9,184,091.0","9,444,225.0","9,858,154.0","10,270,866.0"
"125","104","Personal saving","A071RC1","75,033.0","96,060.0","110,085.0","109,197.0","131,781.0","141,711.0","158,999.0","147,308.0","148,158.0","166,566.0","177,543.0","213,196.0","252,472.0","277,677.0","246,998.0","312,070.0","265,122.0","269,357.0","252,081.0","294,747.0","316,510.0","335,444.0","365,891.0","426,027.0","367,635.0","331,416.0","352,924.0","345,215.0","352,190.0","405,307.0","292,996.0","297,928.0","331,204.0","403,875.0","410,818.0","413,217.0","242,661.0","336,907.0","317,248.0","551,331.0","670,675.0","634,206.0","668,227.0","687,368.0"
"126","105","  Imputations (198+208-164-167)","A2121C1","57,894.0","61,656.0","76,318.0","89,453.0","92,229.0","86,813.0","92,470.0","106,039.0","132,360.0","148,506.0","148,710.0","130,591.0","128,357.0","121,415.0","166,375.0","227,301.0","224,490.0","244,562.0","264,839.0","282,591.0","293,805.0","287,752.0","274,697.0","319,708.0","325,118.0","353,994.0","339,552.0","349,400.0","366,937.0","385,853.0","394,670.0","388,467.0","439,439.0","484,523.0","555,410.0","645,432.0","705,818.0","652,369.0","509,433.0","375,866.0","295,810.0","286,223.0","262,081.0","286,165.0"
"127","106","  Excluding imputations (104-105)","A2122C1","17,139.0","34,404.0","33,767.0","19,744.0","39,552.0","54,898.0","66,529.0","41,269.0","15,798.0","18,060.0","28,833.0","82,605.0","124,115.0","156,262.0","80,623.0","84,769.0","40,632.0","24,795.0","-12,758.0","12,156.0","22,705.0","47,692.0","91,194.0","106,319.0","42,517.0","-22,578.0","13,372.0","-4,185.0","-14,747.0","19,454.0","-101,674.0","-90,539.0","-108,235.0","-80,648.0","-144,592.0","-232,215.0","-463,157.0","-315,462.0","-192,185.0","175,465.0","374,865.0","347,983.0","406,146.0","401,203.0"
"128",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","107","Government current receipts","W021RC1","282,523.0","285,679.0","302,136.0","345,393.0","388,541.0","429,999.0","440,943.0","505,006.0","566,661.0","645,404.0","728,568.0","798,671.0","918,046.0","939,912.0","1,001,121.0","1,113,945.0","1,215,998.0","1,291,688.0","1,405,530.0","1,505,547.0","1,629,778.0","1,710,889.0","1,761,042.0","1,845,958.0","1,950,107.0","2,093,957.0","2,218,245.0","2,382,262.0","2,559,328.0","2,731,702.0","2,903,370.0","3,133,140.0","3,118,180.0","2,967,027.0","3,042,829.0","3,265,077.0","3,663,536.0","4,001,836.0","4,202,408.0","4,043,816.0","3,691,248.0","3,884,982.0","4,074,083.0","4,259,234.0"
"130","108","  Imputations (171+182+207-191)","W568RC1","925.0","1,368.0","1,756.0","1,783.0","1,450.0","1,809.0","3,622.0","3,830.0","4,240.0","3,360.0","3,062.0","3,148.0","3,156.0","4,818.0","6,260.0","5,442.0","8,511.0","9,490.0","9,220.0","9,615.0","9,040.0","8,935.0","10,326.0","10,384.0","10,907.0","10,684.0","10,869.0","10,943.0","11,161.0","10,838.0","11,011.0","10,860.0","9,422.0","9,731.0","7,547.0","8,125.0","8,945.0","10,512.0","10,551.0","10,472.0","11,512.0","10,454.0","11,063.0","11,824.0"
"131","109","  Excluding imputations (107-108)","W514RC1","281,598.0","284,311.0","300,380.0","343,610.0","387,091.0","428,190.0","437,321.0","501,176.0","562,421.0","642,044.0","725,506.0","795,523.0","914,890.0","935,094.0","994,861.0","1,108,503.0","1,207,487.0","1,282,198.0","1,396,310.0","1,495,932.0","1,620,738.0","1,701,954.0","1,750,716.0","1,835,574.0","1,939,200.0","2,083,273.0","2,207,376.0","2,371,319.0","2,548,167.0","2,720,864.0","2,892,359.0","3,122,280.0","3,108,758.0","2,957,296.0","3,035,282.0","3,256,952.0","3,654,591.0","3,991,324.0","4,191,857.0","4,033,344.0","3,679,736.0","3,874,528.0","4,063,020.0","4,247,410.0"
"132","110","Government current expenditures","W022RC1","283,525.0","317,479.0","352,376.0","385,861.0","416,587.0","468,327.0","543,484.0","582,061.0","630,126.0","691,785.0","764,887.0","879,544.0","999,725.0","1,109,640.0","1,204,853.0","1,285,359.0","1,391,351.0","1,483,918.0","1,556,622.0","1,645,902.0","1,778,995.0","1,918,262.0","2,032,345.0","2,216,123.0","2,299,135.0","2,374,608.0","2,490,631.0","2,573,221.0","2,648,815.0","2,713,580.0","2,827,612.0","2,967,339.0","3,169,483.0","3,358,897.0","3,567,775.0","3,773,207.0","4,035,561.0","4,269,342.0","4,541,841.0","4,843,987.0","5,212,966.0","5,451,811.0","5,535,430.0","5,621,575.0"
"133","111","  Imputations (171+182+190+194+207+212-213)","A2047C1","-2,051.0","5,659.0","13,535.0","16,625.0","14,582.0","11,045.0","10,043.0","5,639.0","7,236.0","5,568.0","-2,304.0","-10,167.0","-10,503.0","-8,248.0","-13,136.0","-35,061.0","-51,219.0","-59,114.0","-68,531.0","-58,197.0","-46,968.0","-55,920.0","-42,158.0","-20,831.0","-9,305.0","-4,710.0","-3,431.0","-20,844.0","-25,242.0","-35,737.0","-51,980.0","-63,996.0","-61,167.0","-65,626.0","-48,716.0","-44,611.0","-52,555.0","-68,623.0","-109,105.0","-134,081.0","-72,534.0","-52,147.0","-31,995.0","4,373.0"
"134","112","  Excluding imputations (110-111)","A2114C1","285,576.0","311,820.0","338,841.0","369,236.0","402,005.0","457,282.0","533,441.0","576,422.0","622,890.0","686,217.0","767,191.0","889,711.0","1,010,228.0","1,117,888.0","1,217,989.0","1,320,420.0","1,442,570.0","1,543,032.0","1,625,153.0","1,704,099.0","1,825,963.0","1,974,182.0","2,074,503.0","2,236,954.0","2,308,440.0","2,379,318.0","2,494,062.0","2,594,065.0","2,674,057.0","2,749,317.0","2,879,592.0","3,031,335.0","3,230,650.0","3,424,523.0","3,616,491.0","3,817,818.0","4,088,116.0","4,337,965.0","4,650,946.0","4,978,068.0","5,285,500.0","5,503,958.0","5,567,425.0","5,617,202.0"
"135","113","Net government saving","A922RC1","-1,002.0","-31,800.0","-50,240.0","-40,468.0","-28,046.0","-38,328.0","-102,541.0","-77,055.0","-63,465.0","-46,381.0","-36,319.0","-80,873.0","-81,679.0","-169,728.0","-203,732.0","-171,414.0","-175,353.0","-192,230.0","-151,092.0","-140,355.0","-149,217.0","-207,373.0","-271,303.0","-370,165.0","-349,028.0","-280,651.0","-272,386.0","-190,959.0","-89,487.0","18,122.0","75,758.0","165,801.0","-51,303.0","-391,870.0","-524,946.0","-508,130.0","-372,025.0","-267,506.0","-339,433.0","-800,171.0","-1,521,718.0","-1,566,829.0","-1,461,347.0","-1,362,341.0"
"136","114","  Imputations (213-190-191-194-212)","A2010C1","2,976.0","-4,291.0","-11,779.0","-14,842.0","-13,132.0","-9,236.0","-6,421.0","-1,809.0","-2,996.0","-2,208.0","5,366.0","13,315.0","13,659.0","13,066.0","19,396.0","40,503.0","59,730.0","68,604.0","77,751.0","67,812.0","56,008.0","64,855.0","52,484.0","31,215.0","20,212.0","15,394.0","14,300.0","31,787.0","36,403.0","46,575.0","62,991.0","74,856.0","70,589.0","75,357.0","56,263.0","52,736.0","61,500.0","79,135.0","119,656.0","144,553.0","84,046.0","62,601.0","43,058.0","7,451.0"
"137","115","  Excluding imputations (113-114)","A2011C1","-3,978.0","-27,509.0","-38,461.0","-25,626.0","-14,914.0","-29,092.0","-96,120.0","-75,246.0","-60,469.0","-44,173.0","-41,685.0","-94,188.0","-95,338.0","-182,794.0","-223,128.0","-211,917.0","-235,083.0","-260,834.0","-228,843.0","-208,167.0","-205,225.0","-272,228.0","-323,787.0","-401,380.0","-369,240.0","-296,045.0","-286,686.0","-222,746.0","-125,890.0","-28,453.0","12,767.0","90,945.0","-121,892.0","-467,227.0","-581,209.0","-560,866.0","-433,525.0","-346,641.0","-459,089.0","-944,724.0","-1,605,764.0","-1,629,430.0","-1,504,405.0","-1,369,792.0"
"138",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","116","Current receipts from the rest of the world","A120RC1","63,702.0","72,543.0","76,974.0","87,122.0","118,810.0","156,470.0","166,730.0","181,878.0","196,550.0","233,137.0","298,450.0","359,865.0","397,256.0","384,196.0","378,870.0","424,241.0","415,862.0","432,314.0","487,218.0","596,703.0","681,973.0","740,700.0","763,272.0","785,079.0","810,372.0","905,454.0","1,042,614.0","1,113,958.0","1,233,840.0","1,239,725.0","1,310,573.0","1,477,023.0","1,354,102.0","1,320,504.0","1,399,503.0","1,634,571.0","1,886,143.0","2,202,719.0","2,541,280.0","2,699,886.0","2,227,496.0","2,563,538.0","2,903,969.0","3,014,505.0"
"140","117","  Imputations (173+185+186)","W522RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","5,917.0","6,445.0","5,913.0","5,862.0","5,981.0","5,508.0","5,560.0","6,709.0","8,168.0","9,704.0","9,609.0","8,746.0","8,741.0","8,955.0","8,737.0","9,696.0","9,791.0","10,668.0","11,627.0","13,136.0","10,346.0","14,199.0","14,990.0","18,187.0","18,198.0","16,441.0","16,431.0","16,173.0"
"141","118","  Excluding imputations (116-117)","W523RC1","63,318.0","72,057.0","76,464.0","86,551.0","118,170.0","155,517.0","165,144.0","180,677.0","195,333.0","231,980.0","297,490.0","359,089.0","396,778.0","382,705.0","375,360.0","421,086.0","409,945.0","425,869.0","481,305.0","590,841.0","675,992.0","735,192.0","757,712.0","778,370.0","802,204.0","895,750.0","1,033,005.0","1,105,212.0","1,225,099.0","1,230,770.0","1,301,836.0","1,467,327.0","1,344,311.0","1,309,836.0","1,387,876.0","1,621,435.0","1,875,797.0","2,188,520.0","2,526,290.0","2,681,699.0","2,209,298.0","2,547,097.0","2,887,538.0","2,998,332.0"
