"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225"
"327","319","        Religious organizations' services to households","DRELRC0",354,366,376,381,379,368,357,351,356,372,388,401,402,392,381,373,380,397,414,425,441,436,429,423,429,450,469,483,481,468,454,447,464,494,524,546,535,523,517,522,534,550,564,576,583,588,604,605,623,639,658,678,677,677,663,722,717,763,745,755,777,826,823,849,864,875,899,924,994,958,928,958,994,987,1045,1110,1118,1137,1163,1196,1265,1270,1194,1261,1304,1329,1371,1429,1484,1536,1579,1639,1664,1646,1698,1724,1744,1776,1825,1919,1888,1993,2043,2180,2195,2213,2245,2260,2348,2499,2477,2455,2516,2545,2640,2646,2770,2763,2782,2786,2843,2925,2965,2956,2929,3064,3188,3178,3247,3262,3253,3215,3264,3304,3410,3446,3406,3461,3513,3582,3703,3774,3838,3889,3878,3929,3989,4074,4228,4313,4401,4515,4543,4542,4571,4620,4659,4700,4733,4753,4744,4764,4786,4809,4858,4887,4925,4954,4970,4982,4976,4933,4919,4921,4935,4949,4954,4993,5043,5110,5175,5248,5303,5327,5404,5381,5397,5491,5450,5586,5654,5770,5936,5981,6067,6083,6029,5973,5965,5863,5847,5853,5959,6005,5915,5824,5717,5734,5733,5730,5703,5629,5649,5681,5682,5737,5799,5876,5902,5980,6038,6087
"328","320","        Foundations and grantmaking and giving services to households","DGIVRC0",8,9,9,9,11,11,12,13,14,15,16,17,18,18,18,18,20,22,22,23,21,18,19,21,26,32,38,41,40,38,36,34,35,36,38,38,35,33,33,35,39,43,48,51,50,51,54,60,69,79,89,98,74,77,77,77,74,73,75,81,93,106,114,119,119,116,116,119,124,129,137,144,153,160,160,156,145,142,142,152,175,192,211,224,228,233,235,238,248,255,267,274,290,301,314,323,339,348,358,363,370,371,381,393,403,406,417,432,440,447,466,484,510,512,515,519,559,584,609,626,674,707,727,736,728,715,728,748,780,788,803,815,800,823,846,852,873,879,864,855,828,814,811,815,824,820,799,786,771,764,784,814,871,920,942,935,901,869,844,823,807,793,778,762,745,721,690,652,616,574,534,492,457,434,424,422,456,487,520,556,594,627,655,668,691,709,745,811,862,938,1015,1113,1221,1291,1318,1293,1223,1170,1137,1106,1066,1050,1060,1082,1128,1126,1152,1177,1192,1233,1201,1174,1185,1144,1194,1252,1278,1352,1330,1348,1319,1316
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRC0",4513,4700,4774,4842,4876,5018,5040,5047,5104,4831,4782,5006,5076,4905,5036,5074,5105,5047,5098,4971,5024,5403,5336,5261,5214,5391,5587,5730,5648,5471,5818,6010,6027,6069,6025,6118,6203,6550,6562,6516,6645,6737,6780,6913,6950,6891,6923,7115,7188,6994,7171,7323,7454,7593,7684,7711,7875,8011,8205,8445,8471,8308,8219,8085,8148,8375,8461,8616,9002,9567,10019,10362,10526,10741,11201,11330,11724,11861,12278,12608,12796,12784,13475,13544,13526,13736,13775,14038,14416,14574,14687,14750,14683,14871,14963,15082,15282,15415,15868,16663,17534,18100,18638,18925,19061,19130,19403,19692,20047,20454,20772,20882,20883,20835,20937,21153,21366,21768,22272,22743,23545,24044,24433,24582,24958,25655,25558,25379,24542,24642,24778,24967,25646,26427,26956,27270,27719,28150,28654,29255,30019,30871,31821,32606,33839,34334,34916,35104,35066,35596,36159,36447,37290,38310,39433,40624,42115,43547,44590,45164,44923,44829,45084,45772,47954,48683,49007,48825,49047,48738,48462,47777,48077,48504,48899,49158,50259,50697,51444,52433,53719,54898,55770,56506,56954,57621,58098,58834,59484,59993,60637,61679,62649,63386,64138,64949,65647,66121,65810,64551,62143,60691,59648,58846,58263,58392,58643,59136,59996,60904,61805,62632,63463,64193,64809,65776,66614,67491,68423,68937,69391,70249
"330","322","        Domestic services","DDMSRC0",3576,3652,3738,3826,3787,3942,3986,4009,4062,3770,3698,3902,3967,3798,3936,3979,4004,3936,3973,3824,3908,4196,4097,3927,3892,4023,4174,4271,4136,3911,4215,4370,4357,4374,4292,4345,4372,4658,4604,4491,4551,4575,4562,4662,4663,4579,4581,4729,4783,4556,4656,4721,4779,4799,4749,4677,4793,4872,4986,5145,5071,4790,4619,4412,4526,4807,4850,4889,5114,5516,5782,5952,6002,6078,6377,6375,6622,6627,6817,6822,6705,6352,6688,6527,6343,6302,6216,6327,6408,6291,6324,6413,6620,6819,6839,6790,6789,6744,6887,7204,7587,7986,8230,8293,8146,8009,8009,8100,8343,8606,8815,8924,8894,8734,8711,8817,9110,9427,9764,10048,10269,10441,10587,10714,10920,11526,11334,11315,10851,11109,11196,11381,11796,12268,12521,12843,13099,13216,13358,13534,13730,13994,14290,14611,15111,15335,15496,15614,15706,15724,15695,15608,16009,16476,17031,17636,18523,19365,19790,19803,19125,18531,18342,18591,20088,20347,20371,20186,20432,20212,19831,19132,19377,19873,20235,20494,21170,21303,21499,21755,22186,22446,22637,22769,22672,22737,22779,22857,23214,23510,23877,24302,24757,25208,25701,26229,26730,26949,26819,26365,25623,24837,24052,23288,22708,22354,22198,22264,22834,23494,24014,24389,24614,24825,25058,25297,25551,25791,26032,26286,26543,26790
"331","323","        Moving, storage, and freight services","DMSERC0",305,323,341,355,358,353,345,339,342,352,365,377,384,387,389,391,397,405,412,418,417,412,408,411,430,461,494,527,547,558,565,570,581,595,609,623,673,710,753,796,832,868,905,939,965,994,1028,1073,1104,1135,1193,1248,1298,1349,1396,1433,1476,1518,1570,1640,1714,1799,1854,1877,1849,1818,1829,1904,2009,2114,2230,2339,2443,2519,2596,2682,2786,2851,2983,3124,3284,3481,3655,3780,3907,4059,4108,4162,4319,4433,4439,4405,4242,4239,4270,4337,4455,4549,4747,5061,5475,5673,5853,5939,5998,6069,6184,6273,6394,6482,6478,6374,6257,6183,6094,6050,5835,5758,5723,5759,6136,6332,6442,6423,6336,6279,6267,6168,5982,5886,5922,5975,6130,6243,6349,6318,6497,6649,6839,7064,7370,7690,8051,8301,8714,8888,9148,9215,9142,9463,9853,10133,10548,10964,11302,11565,11788,11957,12209,12376,12535,12817,13075,13363,13735,13956,14022,13947,13650,13379,13157,12917,12625,12363,12231,12156,12234,12266,12469,12854,13303,13746,13952,14239,14395,14603,14785,15097,15136,15130,15011,15041,15133,15179,15294,15383,15383,15377,15203,14527,13313,13032,12817,12717,12556,12722,12793,12887,13010,13159,13296,13522,13721,13925,14171,14482,14802,15106,15425,15638,15810,15978
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERC0",372,383,391,398,398,390,379,369,364,360,360,360,358,358,357,355,354,350,346,346,354,366,380,392,398,397,394,391,397,406,415,422,421,416,416,419,446,468,490,508,518,533,546,555,571,580,595,610,600,606,633,677,737,806,858,891,868,855,841,827,844,856,863,872,852,820,810,805,817,827,833,832,820,815,815,824,819,812,815,834,867,896,919,928,928,925,920,915,935,949,951,954,929,923,920,925,937,952,968,976,977,981,1007,1051,1096,1121,1144,1157,1141,1165,1205,1262,1381,1460,1509,1530,1501,1513,1540,1568,1650,1701,1730,1759,1853,1912,1913,1925,1921,1923,1909,1897,1861,1853,1854,1832,1764,1740,1718,1695,1682,1684,1693,1702,1708,1687,1674,1657,1645,1631,1615,1603,1574,1575,1591,1617,1653,1685,1698,1725,1719,1697,1675,1650,1643,1624,1603,1544,1500,1464,1433,1388,1352,1328,1323,1336,1343,1342,1337,1323,1319,1333,1337,1338,1352,1380,1394,1418,1416,1410,1410,1408,1399,1372,1356,1365,1365,1355,1306,1265,1163,1097,1084,1099,1091,1078,1085,1101,1087,1085,1110,1119,1142,1152,1142,1195,1191,1239,1260,1217,1203,1210
"333","325","        Repair of household appliances","DERERC0",201,281,240,197,266,267,265,264,268,278,287,294,293,288,282,277,278,283,291,299,243,304,303,363,313,326,339,354,368,381,396,410,426,444,465,485,457,448,438,432,443,452,448,435,427,409,389,370,360,351,333,311,269,263,288,300,305,312,335,346,353,366,380,410,402,402,425,441,452,473,496,521,507,548,599,607,594,627,658,761,813,855,938,973,953,983,1012,1054,1084,1150,1155,1100,999,949,937,976,988,984,1011,1073,1093,1038,1057,1069,1102,1117,1128,1130,1071,1043,1035,1019,984,996,1045,1056,1009,1085,1152,1139,1109,1117,1131,1080,1074,1081,1123,1116,1124,1168,1228,1216,1230,1247,1250,1258,1322,1420,1507,1605,1709,1823,1945,2092,2301,2418,2518,2577,2610,2747,2902,3053,3155,3230,3290,3329,3350,3380,3401,3482,3523,3532,3536,3525,3551,3563,3587,3545,3547,3561,3575,3540,3518,3515,3550,3627,3743,3844,3949,4043,4173,4318,4369,4346,4311,4342,4358,4443,4485,4552,4660,4794,4812,4753,4723,4772,4765,4781,4712,4716,4580,4465,4449,4434,4458,4486,4553,4644,4670,4692,4804,4840,4896,4898,4810,4934,4880,4987,5036,4908,4871,4900
"334","326","        Other household services","DMHSRC0",58,61,64,66,67,66,65,66,68,70,73,73,74,74,73,73,72,73,76,85,102,126,148,168,181,185,186,187,200,215,227,238,242,240,243,247,255,266,277,289,301,310,318,322,324,328,331,334,341,346,356,366,371,376,393,410,432,454,473,487,489,497,503,513,520,528,547,577,610,637,678,717,754,780,814,842,903,944,1005,1067,1127,1200,1276,1336,1394,1467,1519,1580,1670,1751,1819,1877,1893,1940,1998,2055,2113,2185,2255,2348,2402,2422,2491,2573,2719,2815,2937,3033,3098,3159,3238,3303,3367,3462,3578,3700,3911,3984,4094,4229,4381,4453,4543,4607,4774,4858,4920,4855,4664,4555,4523,4498,4629,4816,4981,5020,5037,5124,5233,5356,5528,5681,5841,5900,6004,6007,6079,6040,5962,6031,6094,6049,6004,6065,6218,6476,6801,7161,7492,7778,8022,8252,8456,8643,8936,9193,9424,9604,9917,10122,10465,10800,11205,11425,11561,11546,11769,11943,12191,12458,12738,13055,13475,13814,14224,14558,14783,15019,15233,15391,15679,16134,16548,16874,17064,17199,17403,17659,17770,17678,17464,17259,17245,17308,17450,17752,18014,18238,18394,18474,18581,18761,19090,19393,19628,19868,20191,20368,20670,20888,20964,21370
"335","327","      Net foreign travel","DFORRC0",999,1085,1044,1112,1187,1270,1175,1180,1196,1174,1167,1227,1300,1383,1497,1568,1451,1698,1726,1669,1540,1573,1548,1679,1900,1768,1744,1732,1925,1859,1676,1904,2180,2688,2452,2316,2320,2161,2265,2006,2253,2325,2446,2536,2592,2784,2897,2731,2743,3012,2774,3119,3503,3466,3458,3721,3397,3590,3249,3244,3227,3590,3377,3806,3315,3199,3320,3714,3288,2492,2476,3232,3567,3491,3070,3084,3188,2742,3201,2917,2387,2811,3022,2424,1954,1637,1529,1864,-1142,-1579,-1366,-2457,-828,-303,-493,1005,1435,3053,2651,3779,4005,2692,4537,3741,4004,5383,5573,3364,1604,-733,49,352,3761,3597,2033,2560,2534,780,-879,-1307,-4289,-5432,-6797,-9065,-8364,-8641,-9790,-14265,-13971,-16850,-18998,-20453,-21312,-21498,-20546,-20616,-22319,-23203,-21952,-19688,-18182,-19287,-17818,-19721,-19760,-19376,-25401,-26843,-24154,-27958,-20327,-31318,-25609,-24266,-24229,-23649,-21070,-19795,-16014,-18668,-24142,-29781,-35596,-30932,-31072,-29969,-28179,-29351,-26391,-19251,-17825,-13357,-13552,-15560,-19324,-13164,-9108,-10983,-9128,-10513,-9513,-7068,-6874,-7898,-11036,-10885,-7689,-7412,-5511,-3716,-9179,-5720,-9504,-11564,-16270,-24431,-22583,-27713,-24590,-19048,-19655,-25740,-24392,-24247,-29330,-29832,-33677,-37715,-38477,-41460,-41422,-42120,-33844,-38899,-40832,-41027,-46690,-44484,-46792,-45730,-50540,-48316
"336","328","        Foreign travel by U.S. residents (129)","DFTRRC0",2068,2056,2128,2192,2271,2350,2323,2308,2304,2294,2335,2427,2492,2559,2609,2672,2615,2883,2937,2925,2896,2961,2956,3139,3364,3292,3300,3428,3577,3615,3500,3732,4008,4444,4300,4244,4277,4111,4315,4097,4539,4663,4787,4879,5210,5427,5522,5497,5615,5833,5679,6285,6653,6722,6795,7158,7291,7383,7229,7393,7709,8053,8060,8686,8567,8314,8882,9273,9256,9029,9373,9862,10103,10405,10121,10511,10719,10769,11505,11435,11447,12033,12253,12519,13034,12704,13486,13992,14790,14458,15199,15557,16380,16609,15940,17159,16504,18325,19449,19298,24474,25903,27109,26950,26721,29095,28847,26953,28146,25329,28420,29285,32482,33852,33880,35513,36966,36229,37719,38430,37974,37424,38742,39595,42437,43295,42581,42496,38349,42231,42254,43879,44991,45406,45962,47271,46977,47280,48800,52165,52817,53310,54127,53421,53646,54821,54637,56421,57847,57594,58884,60560,63112,64259,65834,65206,66724,69440,69803,70299,66657,61381,61336,65001,68140,73037,74286,72604,73870,75175,70365,56360,68901,68098,63670,70996,69844,65032,75481,77790,82988,86781,87000,89020,92971,93770,94455,95794,98297,102647,100369,104598,105029,106224,105973,107769,114518,114567,113475,109532,98444,93107,99798,103768,104593,106615,108154,109097,108942,115261,113497,113323,124218,125893,125611,126097,127296,128826,131050,133738,131806,137840
"337","329","          Passenger fares for foreign travel","DAFTRC0",794,790,818,842,873,902,893,888,886,881,897,932,957,982,1002,1027,1004,1108,1128,1124,1112,1139,1135,1206,1293,1265,1268,1318,1375,1388,1344,1433,1539,1706,1652,1631,1644,1578,1659,1575,1744,1792,1838,1874,2002,2084,2122,2112,2157,2240,2183,2416,2556,2584,2610,2750,2801,2837,2778,2840,2962,3095,3095,3336,3292,3193,3412,3563,3556,3470,3602,3788,3900,4024,3891,3993,4051,4037,4097,4103,4223,4331,4540,4662,4913,4962,5340,5561,5751,5878,6214,6513,6923,6864,6825,7216,7425,8348,8732,8807,7834,8376,8674,9272,8670,9949,9938,9259,9238,8816,9307,9743,10057,11028,11315,11731,12081,12146,12172,12063,12973,12519,12798,12463,14006,13930,13476,13631,11957,13845,14560,15565,15234,15328,15642,16276,16022,16317,17151,17533,18582,19018,19294,18792,18791,18999,19497,19797,19958,20214,20339,21820,22248,23402,23935,23254,23188,24447,24558,24127,24218,23103,23150,24820,25935,27201,28276,27953,29304,30312,27370,19085,25444,25633,23963,25664,26632,23997,27954,28917,31415,32182,31757,33393,34619,35071,34649,35240,36699,39338,37511,38451,38409,39670,38728,37910,40351,41394,42193,41171,34055,31178,33372,37313,37556,38777,39402,40530,42156,42422,41395,39439,43729,43413,42997,41270,43087,43445,45142,45231,43122,45250
"338","330","          U.S. travel outside the United States","DUSTRC0",1274,1266,1310,1350,1398,1448,1430,1420,1418,1413,1438,1495,1535,1577,1607,1645,1611,1775,1809,1801,1784,1822,1821,1933,2071,2027,2032,2110,2202,2227,2156,2299,2469,2738,2648,2613,2633,2533,2656,2522,2795,2871,2949,3005,3208,3343,3400,3385,3458,3593,3496,3869,4097,4138,4185,4408,4490,4546,4451,4553,4747,4958,4965,5350,5275,5121,5470,5710,5700,5559,5771,6074,6203,6381,6230,6518,6668,6732,7408,7332,7224,7702,7713,7857,8121,7742,8146,8431,8739,8283,8682,8732,9139,9405,8765,9579,8715,9610,10348,10127,16271,17148,18051,17286,17651,18746,18507,17280,18481,16092,18685,19086,21966,22433,22102,23287,24379,23539,24975,25820,24441,24317,25351,26528,27799,28713,28441,28181,25702,27689,26986,27616,29036,29322,29532,30192,30120,30119,30787,33744,33318,33324,33826,33632,33699,34705,34050,35486,36679,36138,37273,37457,39532,39465,40470,40522,42039,43417,43618,44524,40718,36486,36337,38313,40269,43823,43946,42536,42381,42627,40715,34779,40949,39849,36983,42376,40096,37915,44403,45645,48182,51101,51634,51958,54535,54801,55874,56232,57205,58799,58244,61795,62096,61829,62392,65060,69207,68041,66045,63118,59223,56790,61276,61334,61763,62418,63241,62899,61046,67085,66293,68058,74575,76398,76475,78550,77836,78903,79367,81940,82049,85868
"339","331","          U.S. student expenditures","DUSSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,297,303,312,318,340,350,364,364,367,369,364,369,379,384,392,400,400,402,414,427,421,428,456,459,391,463,495,507,545,572,548,560,588,592,604,632,652,664,684,690,697,707,698,722,756,788,802,834,844,862,889,916,968,1007,997,1155,1117,1090,1138,1210,1242,1272,1284,1332,1392,1430,1430,1497,1576,1628,1648,1720,1792,1848,1868,1936,2012,2064,2116,2184,2236,2280,2496,2508,2616,2724,2956,3116,3120,3124,3228,3390,3499,3609,3669,3817,3898,3932,4321,4394,4509,4614,4351,4524,4724,4853,4798,4960,5132,5238,5243,5165,5138,5150,5122,5273,5419,5511,5668,5740,5753,5809,5826,5913,6083,6138,6277,6374,6478,6542,6567,6635,6722
"340","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC0",1069,971,1084,1080,1084,1080,1148,1128,1108,1120,1168,1200,1192,1176,1112,1104,1164,1185,1211,1256,1356,1388,1408,1460,1464,1524,1556,1696,1652,1756,1824,1828,1828,1756,1848,1928,1957,1950,2050,2091,2286,2338,2341,2343,2618,2643,2625,2766,2872,2821,2905,3166,3150,3256,3337,3437,3894,3793,3980,4149,4482,4463,4683,4880,5252,5115,5562,5559,5968,6537,6897,6630,6536,6914,7051,7427,7531,8027,8304,8518,9060,9222,9231,10095,11080,11067,11957,12128,15932,16037,16565,18014,17208,16912,16433,16154,15069,15272,16798,15519,20469,23211,22572,23209,22717,23712,23274,23589,26542,26062,28371,28933,28721,30255,31847,32953,34432,35449,38598,39737,42263,42856,45539,48660,50801,51936,52371,56761,52320,59081,61252,64332,66303,66904,66508,67887,69296,70483,70752,71853,70999,72597,71945,73142,73406,74197,80038,83264,82001,85552,79211,91878,88721,88525,90063,88855,87794,89235,85817,88967,90799,91162,96932,95933,99212,103006,102465,101955,100261,94426,88190,69717,82453,83658,82994,84160,78952,76015,84609,88303,92501,93849,93874,96918,104007,104655,102144,103206,103808,106363,109548,110318,114533,117788,122243,132200,137101,142280,138065,128580,118099,118847,124190,128015,133923,136447,141831,146812,147419,156721,154919,155443,158062,164792,166443,167124,173986,173310,177842,179468,182346,186156
"341","333","          Foreign travel in the United States","DFTURC0",1069,971,1084,1080,1084,1080,1148,1128,1108,1120,1168,1200,1192,1176,1112,1104,1164,1185,1211,1256,1356,1388,1408,1460,1464,1524,1556,1696,1652,1756,1824,1828,1828,1756,1848,1928,1957,1950,2050,2091,2286,2338,2341,2343,2618,2643,2625,2766,2872,2821,2905,3166,3150,3256,3337,3437,3894,3793,3980,4149,4482,4463,4683,4880,5252,5115,5562,5559,5968,6537,6897,6630,6536,6914,7051,7427,7531,8027,8304,8518,9060,9222,9231,10095,11080,11067,11957,12128,13477,13497,14094,15128,14367,13981,13525,13010,11901,12044,13526,12159,17053,19747,19048,19605,19041,19975,19470,19802,22665,22126,24342,24827,24493,25975,27423,28533,29795,31116,33737,34836,37335,37840,40317,43178,45278,46317,46496,50754,46166,52807,54783,57821,59624,60129,59514,60764,61999,63071,63144,64226,63189,64683,63775,65156,65205,65887,71533,74793,73378,76752,70176,82768,79557,79214,80605,78952,77816,79071,75457,78504,80081,80308,85855,84713,87860,91364,90509,89505,87853,81727,75167,56028,68745,69680,68697,69799,64232,61162,69630,73324,77344,78556,78483,81471,88376,88642,85926,86928,87354,89673,92630,92910,96944,99900,103863,112773,117421,122154,117459,107044,96266,96594,101406,105366,110781,112884,117807,122288,122257,131166,128807,128852,130958,137174,138175,137978,144475,143176,146671,148071,150519,153698
"342","334","          Medical expenditures of foreigners","DMEFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,352,351,354,385,387,388,388,416,416,416,416,440,440,440,440,468,469,468,467,493,492,493,494,516,516,516,516,541,541,541,541,588,588,588,588,613,627,638,642,675,669,672,672,712,708,706,706,748,748,748,748,796,796,796,796,837,845,861,885,961,992,1021,1046,1079,1104,1124,1149,1172,1192,1220,1236,1314,1338,1360,1393,1444,1482,1520,1558,1452,1468,1487,1509,1444,1446,1461,1488,1525,1558,1589,1613,1656,1677,1698,1724,1796,2058,2076,2125,2168,2212,2239,2265,2297,2339,2385,2439,2486,2515,2547,2576,2626,2672,2713,2753,2811,2863,2888,2942,2967,3012,3053,3096,3117,3162,3199,3227,3269,3272,3341,3365,3414,3443
"343","335","          Expenditures of foreign students in the United States","DEFSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104,2188,2120,2532,2456,2544,2520,2756,2752,2812,2856,2944,2976,3024,3084,3164,3208,3268,3336,3320,3384,3444,3536,3612,3712,3764,3908,3904,4096,3792,4320,4360,4340,4428,4634,4894,4910,4992,5237,5365,5479,5605,5797,5839,5967,6067,6288,6418,6548,6664,6860,6879,7014,7118,7374,7190,7365,7464,7644,7587,7662,7808,8014,8063,8084,8208,8334,8754,8805,8972,9140,9228,9404,9516,9716,9828,9908,10160,10436,10892,10956,11232,11536,12180,12264,12532,12836,12872,13195,13295,13391,13367,13500,13616,13693,13723,13835,13955,14141,14153,14287,14478,14679,15143,15292,15549,15995,16988,17195,17611,18059,18960,19207,19582,20071,19896,20331,20700,21135,21583,22195,22544,23059,23494,23987,24456,25069,25920,26242,26862,27829,28031,28413,29015
"344","336","  Final consumption expenditures of nonprofit institutions serving households (NPISH) (132)","DNPIRC0",4661,4796,4935,5063,5122,5084,5040,4991,4958,5197,5330,5500,5574,5520,5442,5381,5447,5644,5883,6100,6387,6430,6450,6465,6528,6796,7117,7407,7536,7489,7422,7373,7528,7847,8236,8588,8722,8726,8799,8924,9061,9279,9562,9873,10117,10331,10692,10754,11086,11429,11886,12414,12412,12607,12655,13583,13226,13765,13844,14182,14790,15552,15623,16021,16262,16567,17364,17857,18838,18824,18876,19393,19977,19938,20757,21868,22168,22688,23276,23943,25333,25922,25904,27321,28324,29481,30497,31831,32508,33498,34513,36043,36834,37414,38465,39141,39543,40082,41030,42370,43134,44891,45994,47517,46831,47450,48270,49079,50782,52746,53250,53662,54322,54747,56418,57305,60342,62380,64501,65950,65672,67463,69020,69993,71425,74681,78124,79210,78596,79486,80613,81812,84516,87078,89539,90605,88831,89207,90482,91741,93786,96342,99458,101462,100453,101737,102729,104391,108067,110606,111862,109642,104486,103517,105167,109182,114995,121215,127125,131892,133225,136186,139565,143941,149378,154251,160485,168047,172516,177720,181835,184260,189461,196115,202175,205620,204759,205461,206032,205793,206098,206786,206916,205686,200910,207319,210474,222367,231622,240022,243230,241862,246074,242962,248355,257729,266752,278786,288185,294851,281005,273313,273365,276382,275879,277329,274707,273484,271837,273033,279726,275404,278286,287599,286777,301141,295915,303279,307895,315477,319406,326793
"345","337","    Gross output of nonprofit institutions (133)","DNPERC0",13473,13779,14048,14333,14629,14953,14720,15034,15051,15806,15961,16316,16639,16843,17022,17225,17569,18075,18598,19114,19880,20171,20398,20552,21106,21775,22400,23033,23630,24206,24532,24990,25547,26496,27485,28385,29133,30071,30626,31562,32473,33540,34437,35587,36727,37409,38620,39608,40707,42139,43529,44706,45857,46719,47738,49099,49748,51420,52311,53847,55532,58426,59717,61535,63777,65922,67900,71171,73925,75037,77199,79081,81895,84371,85861,88513,91775,95571,98237,101055,104624,107755,110061,114985,119378,122297,128544,134181,138626,143449,147629,152898,156927,161278,166131,170884,174343,177649,180332,184540,188458,192743,196075,200454,202968,206400,211291,216454,221659,225905,228648,232979,237837,243621,250408,255587,263994,271623,280288,286172,291498,297716,304241,311498,319785,330110,340919,346932,350875,358814,366301,375576,384206,392791,401576,406989,411452,416024,421985,425525,429999,436114,443951,450240,451493,455900,460201,466582,471402,480545,486047,494547,493947,497673,505173,513705,527569,537874,548373,556269,563186,570602,579822,591666,601506,614673,628050,642332,656376,669617,683893,695880,713693,731810,746964,755775,763022,769970,778323,787256,797822,811653,827336,839164,844467,858749,876435,894171,910389,926707,940454,951352,968549,974449,986507,1003059,1020651,1034844,1049530,1058623,1061501,1067543,1077555,1083655,1085432,1101048,1113050,1124042,1126296,1136450,1140173,1155335,1177245,1187023,1205196,1214899,1217021,1235440,1245857,1273224,1267348,1275461
"346","338","      Health, gross output","DHLGRC0",4546,4652,4716,4807,4965,5166,5127,5324,5457,5547,5651,5752,5929,6130,6327,6527,6717,6918,7080,7254,7580,7713,7798,7814,8154,8369,8480,8628,8918,9381,9621,9971,10189,10615,11009,11370,11778,12578,12932,13529,14109,14723,15085,15656,16352,16658,17236,18098,18597,19461,20145,20546,21422,21870,22457,22508,23505,24285,24565,25525,26220,27819,28963,30091,31754,33149,33652,35937,37349,38254,39922,41036,42605,44862,45283,45959,48420,50909,52452,54081,55492,57448,58918,61517,64175,65185,69206,72399,75593,78678,81058,83221,85776,88635,91578,94925,97498,99528,100689,102593,105209,106712,108150,109528,111758,113384,116533,119510,121986,123290,125045,128009,130783,135054,139072,142344,146734,151224,156066,159403,163491,166416,169816,174917,180573,186090,191731,195655,199210,204641,209734,216637,220960,226053,230869,234082,238823,241398,244593,246510,248408,251033,254176,257011,258435,260592,263176,266853,266776,271876,273516,279115,280711,283958,288812,292575,300856,305227,309588,312236,316830,320286,325069,330190,332260,338025,343546,348444,356150,362305,370649,379014,389416,398919,405766,410963,420261,425587,431081,436086,441559,450227,460648,470192,473620,483997,497254,506732,515386,523691,530573,532973,545650,547003,553098,562776,571092,578028,585274,592900,602323,609882,619434,627244,623208,633605,639656,647924,654030,662743,664227,674784,687750,693763,707718,709523,719350,734314,743074,766823,754111,752688
