"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"44","35","    Current receipts","W021RC1",277.1,282.6,283.4,287.1,283.8,287,285.7,286.3,294.2,300.1,303.8,310.4,334.3,341.6,347.1,358.6,377.7,383.9,390.5,402.1,411.4,426.5,442.4,439.7,435.1,406.2,455.3,467.2,488.9,499.6,511.1,521.9,542.5,561.9,573.8,589.9,603.1,640.6,657.2,681.7,703.7,718.5,738.6,754.4,777.3,774.2,803.4,842.4,896.7,911,936.6,930.3,930,943.3,940.7,948.2,961.2,1000.8,1008.5,1036.3,1083.9,1107.6,1120.5,1145.8,1209.9,1182.6,1229.5,1243.9,1270.8,1271.7,1295,1331.6,1338.4,1425.7,1418.4,1441.7,1468.7,1487,1518.8,1551.6,1612.6,1624.1,1639,1649.9,1679.4,1699.7,1726.7,1745.7,1738.4,1750.1,1771.3,1793.5,1810.4,1838.8,1851,1892.7,1882.8,1939.5,1958.5,2028.5,2034.5,2088.6,2115.4,2147.6,2185.5,2210.3,2234.5,2260.7,2311.9,2378.6,2399,2460.1,2496.5,2539.7,2596.2,2627.5,2674.1,2712,2757.7,2807,2841.2,2873.3,2924.8,2992.9,3100,3132.7,3148.2,3171.7,3209.3,3202.6,2989.9,3091,2950.7,2952.6,2984.4,2999.7,3014.1,3034.1,3011.6,3132.1,3159.8,3223.7,3315.9,3381.8,3573.8,3622.3,3692.3,3787.4,3926.6,3991,4037.2,4076.6,4187.8,4219.2,4205.7,4222.3,4186.7,4192.7,4121.2,3969.6,3678.7,3661.5,3689.5,3768.5,3831.3,3889.8,3985,4040,4107.4,4128.5,4129.1,4163.6,4258.1,4284.3,4300.9,4405.8,4659.3,4947.6,4766.1,4937.6,4914.6,4987.1,5031.7,5048.3,5113,5216,5249.2,5318.8
"45","36","    Capital transfer receipts","W067RC1",4.6,4.8,4.5,4.6,4.8,4.8,4.7,4.8,5,5,5.5,7.7,7.7,6,6.4,7,7.3,6.1,6.3,6.7,6.7,6.4,6.2,5.9,5.9,6.5,6.7,6.7,6.8,7.1,7.2,7.9,14.2,7.9,7.7,7.4,7.2,7.1,7.2,7.3,7.4,7.3,7.5,7.9,8.2,8.7,9.3,8.9,8.7,9.1,9.5,9.8,11.5,10.3,10,8.6,8.3,8.4,8.9,7.6,8.7,8.2,8.2,8.3,8.9,8.6,9.4,8.9,9.5,10,10.5,10.1,10.7,10.6,10.9,10.1,10.6,10.4,11.7,11.8,11.5,12.6,12.3,13.3,13.6,18.7,15.6,15.1,15.5,15,16.5,15.4,15.7,15,16,16.4,16.5,17.3,17.6,19.1,20.4,21.3,19.6,19.6,19.3,19.1,20.6,21.2,21.6,23,24.1,23.8,25.7,26.3,27.5,28.4,30.6,32.1,32.8,34,35.3,36.6,36.4,38.6,35.9,35.9,35.4,35.3,36.2,37.8,41,34.7,34.6,32.6,33.7,29.7,28.9,26.6,26.6,29.7,29.3,29.9,32.3,29.6,30.2,29.6,38.6,31,36.7,31.8,32.2,31.1,29.5,31.5,30.9,34.1,32.8,36,32.4,34.3,27.8,25.9,23.9,22.1,21.8,20.4,19.3,17.4,15,14.4,14,14.2,16.5,17.8,19.7,32.6,24.8,25.6,27.2,26.4,25.3,24.1,23.1,22.8,24.2,25,24.8,25.4
"46","37","  Total expenditures","W068RC1",299.5,306,312.7,316.9,324.4,337.4,344.6,352.3,356.7,371.2,375,381.1,397,401.8,402.3,416.1,423,435.2,433,446.1,460.8,472.9,502,516.1,545,567.1,577.8,593.9,602.8,599.8,611.4,621.9,637.3,649.5,660.3,680,694.4,713,738.7,758.1,767.2,789.9,817.6,842.6,883,908.3,942,961.2,1010.7,1022.8,1045.5,1087.4,1105.7,1131.8,1166.3,1204.7,1226.8,1236.8,1268.7,1276.6,1300.6,1329.4,1358.1,1399.7,1429.4,1460.6,1490.1,1513.7,1532.5,1558.2,1601,1599.3,1620.2,1645.4,1659.8,1690.6,1706.7,1722.1,1734.1,1779.2,1817.1,1855,1887.2,1918.8,1971.2,2001.3,2027.1,2100.6,2039.5,2113,2170.8,2201.7,2260.5,2295.8,2322.2,2342.3,2347.7,2362.7,2388.5,2407.1,2391.8,2424.3,2469.1,2505.3,2543.2,2571.1,2557.4,2575.9,2627.1,2654.5,2659.6,2677.8,2709.3,2703.8,2741.5,2771.7,2759.1,2789,2817,2864.7,2885.7,2915.4,2954.8,3034.5,3025.1,3082,3108.1,3155.6,3227,3309,3326.5,3378.9,3450.9,3500.5,3542,3618.1,3683.1,3760.7,3784.8,3812.5,3905.7,3944.5,4014.5,4039.6,4148.4,4194.5,4331.5,4356,4399.7,4469.7,4528.4,4484.5,4691,4756.8,4802.8,4851,4930.5,5315.2,5218.4,5361.4,5414.3,5636.2,5606.8,5628.7,5729.3,5808.7,5778.4,5784.4,5766.7,5870.8,5802.6,5812.9,5765.7,5771.2,5745.4,5841.4,5744.3,5751.3,5777.1,5773.7,5814.5,5879,5940.9,5935.4,5932,5935.2,6132,6109.7
"47","38","    Current expenditures","W022RC1",271.2,280.2,287.4,295.3,301.8,315.9,322.2,330.1,339.8,352,355.3,362.5,377.6,381.8,385.2,398.9,405.3,414.9,418.4,427.8,441.3,460.5,475.8,495.7,517.8,544.6,549.5,562.1,569.8,573.9,588.3,597.7,609.4,621,636,655.5,669.3,681.4,699.6,717.8,734.7,750,774.2,801.7,833.9,859.7,899.5,927.7,960.2,982,1014.9,1044.3,1066.6,1086.8,1122.1,1165.6,1178.9,1202.4,1219.6,1220.8,1244.5,1273,1297.6,1328.4,1355.1,1377.9,1406.1,1428.3,1446.7,1476.5,1502.7,1512.2,1526.1,1547.7,1560.2,1594.6,1618.2,1629.4,1648.8,1691.2,1730.4,1768.7,1795.4,1828.1,1872.2,1904.7,1931.4,1972.6,1943.4,2019.2,2063.6,2112.3,2166.5,2206.2,2238,2262.8,2271.4,2286,2315,2333.1,2330.5,2355,2390.3,2432.9,2469,2496.4,2511.7,2503.5,2550.8,2575.4,2578.9,2608.3,2622,2644.8,2658.5,2692.6,2682.8,2709.8,2721.8,2763.9,2781.6,2806.7,2844.5,2896,2901.8,2964.1,2988,3033.1,3104,3163.3,3196.6,3232.2,3296,3342.4,3377.4,3437.3,3502.3,3572.6,3591.1,3622.9,3716,3748.4,3798.1,3848.9,3953.3,4003,4070.1,4134.8,4195.6,4256.6,4320.9,4324,4467.7,4526.5,4567.5,4626.9,4713,5094.1,4968,4891.3,4985.9,5262.9,5316,5316.4,5443.5,5491.1,5525.8,5549.7,5558.9,5642.1,5587.1,5580.7,5589.9,5616.7,5602.7,5683.1,5630.4,5645.5,5671.8,5675.1,5723.1,5777.3,5847.8,5830.3,5842.7,5944.7,6015.5,6002.7
"48","39","    Gross government investment","A782RC1",61.5,59.7,59.9,57,59,58.8,60.2,61.1,58,58.3,59.2,58.5,60,61,59.1,62.6,66.2,65.6,64.6,66.2,71,76.1,78.1,79.5,83.1,79.2,85.4,89.9,92.9,89,88.7,87.9,91.5,94.2,93.6,93.3,93.6,105,109.7,113.9,109.8,117,125.4,128.2,135.8,134.7,134.4,138.9,146.4,145.4,145.7,151.9,150.2,156.6,157.5,163.6,164.5,167.3,174.7,178.2,183.8,189.8,194.1,205.1,207.9,218.7,226.7,226.2,228.6,234.7,246.3,242.8,247.4,253.7,259,258.4,253.5,258.5,258.7,262.8,263.4,267.5,275,275.8,286.6,288.4,290.7,295.7,290.7,295.1,295.6,294.9,300.3,297.7,294.3,292.2,288.4,293.3,291.4,294.3,283.3,290.3,302.4,300.7,305.5,310.1,306.7,308.4,314.7,317.9,321.7,325.5,330.4,330,331.3,326.5,324.6,336.9,351.8,352.4,356.3,364.2,370.6,382.8,387.7,386,391.6,395.7,401.7,421.7,406.7,424.4,434.4,439.4,448,452.5,455.3,461,472.2,472.4,475.3,487.6,494.4,496.6,498.2,509.6,519.4,527.4,534.3,553.7,555.8,565.7,575.6,590.7,597.2,605.3,611.4,632.8,645.8,648.6,642.7,651.9,651.4,642.1,635.4,655.3,660.5,656,637.7,639.1,637.5,637.3,623.6,622.8,612.9,598.4,591.4,590.3,594.7,592.8,583.5,597.2,598.7,603.9,593.3,613.5,620.8,618
"49","40","    Capital transfer payments","W069RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.8,0.2,0.2,28.4,4.4,0.6,16,0.2,0.2,0.4,0.2,0.2,2.6,0.2,0.4,0.2,0.1,3.6,1,0.2,0.2,0.2,2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.6,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,17,0.4,0.4,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.4,0.7,15.1,15.2,20.2,17.4,15.7,16.4,16.5,36.7,17,24.8,16.4,87.1,41,21.8,18.9,16.9,15.9,27,27.3,27.3,18.9,19,19.1,30.7,284.2,241.5,156,71.5,104.9,90.3,109.4,43.3,34.3,32.2,58.4,53.3,73.7,35.7,19.1,20.6,54.4,17.1,13.8,12,7.9,12.4,11.8,9.3,12.8,7.7,9.1,8.4,5.8
"50","41","    Net purchases of nonproduced assets","AD07RC1",1.1,1.2,1.1,1,0.9,0.7,1,0.7,-0.8,1.8,1.9,1.9,1.9,1.9,1.3,-1.3,-3.6,0.6,-3.1,0.1,-1.9,-12.1,2.1,-3.3,1.2,1.4,1.7,1.8,1,-1.2,-2.6,0.3,1.7,0.6,-1.9,0.2,1.8,-1.4,2.9,1.4,-0.6,1.7,-0.7,-3.8,-0.5,2.9,0.3,-10.3,2.5,-3.1,-10.8,-1.7,-1.3,1.2,1.7,-7.5,2.2,-12.4,-2.9,2.3,-0.4,-3.7,-1.7,0.3,3,2.8,-1.4,3,3.4,-3.8,3.7,-0.7,4,4,3.4,3.5,4.4,6.7,2,3.6,4.7,3.2,4.2,4.4,5.1,4.3,4.4,6,6,6,6,6,6.1,6.1,6,6,6.1,6,6,6.1,6,5.2,7.7,6.3,6.4,3.9,-21.7,6.1,5.1,5.4,4.3,-9.9,4.3,-22,1.8,4.1,3.9,-3.8,-0.7,6.8,8.2,7.9,5.3,8.3,8.1,7.9,7.4,8.5,4.8,9.2,9.9,10.7,10.9,11.1,11.1,10.6,10.6,10,10.5,10.9,11.2,10.7,10.7,9.4,9.3,8.9,5.1,8.9,8.9,8.5,8.7,-39.7,10.7,8.5,13.3,8.7,3.3,-8.1,4,-25.5,-14.8,7.6,10.4,10.4,10.3,8.9,9.2,9.9,9.5,8.7,7.4,7.8,7.5,7.8,7.8,5.5,7.5,6.7,5.9,8.5,8.6,8.1,3.5,8.6,9.1,-111.9,8.9,9.1
"51","42","    Less: Consumption of fixed capital","A264RC1",34.4,35.1,35.7,36.5,37.3,38.1,38.9,39.7,40.5,41,41.5,41.9,42.7,43.1,43.6,44.2,45.1,46.1,47,48.2,49.8,51.9,54.2,56.1,57.4,58.3,59.1,60.1,61.2,62.1,63.2,64.3,65.5,66.6,67.7,69.1,70.6,72.2,73.8,75.2,77,79.1,81.5,84,86.5,89.4,92.5,95.6,98.6,101.8,104.6,107.4,110.2,113.1,115.3,117.2,119,120.6,122.7,124.7,127.4,129.7,132,134.2,136.7,138.9,141.4,143.9,146.3,149.2,151.9,155,157.5,160.1,163,166,169.5,172.6,175.6,178.6,181.5,184.6,187.6,190.4,193.4,196.4,199.5,202,205.1,207.9,210.4,211.7,212.6,214.6,216.3,218.8,220.8,222.8,224.4,226.6,228,229.9,232.2,234.8,237.9,239.4,241.2,242.3,243.7,244.4,245.5,246.3,247.7,249.5,250.6,251.8,252.4,254.1,256.1,258.6,260.7,263.6,265.9,269.6,273,276.4,279.4,281.9,283.8,285.6,287,288.8,290.8,292.9,295.2,297.3,300.4,303.2,306.4,309.4,313.2,318.7,325.4,332.3,337.1,343.3,350.1,356.1,360.9,368,373.8,381.4,389.9,396.2,402.5,408.9,416,422.7,430.1,437.2,441.2,442.1,442.5,445.1,450.2,456,460.5,465.5,471.6,477.4,482.7,486.6,491,495.3,498.6,500,502.1,505,507.3,510.5,513.1,515.5,518.4,520.2,520.8,520.3,521.7,525.9
"52","43","  Net lending or net borrowing (-)","AD01RC1",-17.9,-18.6,-24.8,-25.3,-35.9,-45.7,-54.3,-61.2,-57.5,-66.1,-65.8,-62.9,-55,-54.2,-48.8,-50.5,-38.1,-45.2,-36.2,-37.3,-42.6,-40,-53.5,-70.4,-103.9,-154.4,-115.8,-120.1,-107.1,-93.2,-93.1,-92,-80.6,-79.7,-78.9,-82.7,-84.1,-65.3,-74.3,-69.1,-56,-64.1,-71.6,-80.3,-97.6,-125.4,-129.3,-109.9,-105.3,-102.6,-99.4,-147.4,-164.3,-178.2,-215.6,-247.9,-257.4,-227.6,-251.3,-232.7,-208,-213.5,-229.4,-245.5,-210.6,-269.5,-251.3,-260.9,-252.2,-276.6,-295.5,-257.6,-271.1,-209.2,-230.5,-238.8,-227.4,-224.7,-203.5,-215.8,-193,-218.3,-235.8,-255.6,-278.3,-282.9,-284.8,-339.9,-285.5,-347.9,-383,-392.8,-434.3,-442,-455.2,-433.2,-448.3,-405.8,-412.4,-359.5,-337,-314.3,-334.1,-338.1,-338.4,-341.7,-302.3,-294,-293.7,-252.9,-236.5,-193.9,-187.1,-137.8,-117.8,-115.8,-54.4,-44.9,-26.5,-23.7,-9.2,-5.5,6.4,-3,110.9,86.6,75.5,51.5,18.5,-68.5,-295.6,-253.2,-465.6,-515.2,-523.9,-588.7,-640.1,-700,-746.7,-650.7,-716.7,-690.9,-666.4,-628.2,-544.4,-542.7,-600.6,-537.6,-436.3,-446.9,-459.1,-376.8,-473.7,-506.1,-566.2,-594.6,-711.1,-1086.4,-1064.8,-1357.5,-1707.8,-1948.9,-1893.5,-1838,-1876.3,-1898.6,-1774,-1727,-1644.3,-1728,-1659.5,-1635.1,-1491.1,-1469.1,-1424.9,-1403,-1060.2,-778.2,-983.8,-809.7,-874.6,-867.8,-886.1,-864.3,-794.9,-694.3,-858,-765.4
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Prior to 1960, interest payments to persons (line 28) and interest receipts on line 12 are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","separately, but are included in interest payments (line 27), which is shown net of interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Interest payments to persons and business includes interest accrued on the actuarial liabilities of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","defined benefit pension plans for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Prior to 1999, current transfer payments to the rest of the world (line 26) are displayed net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","current transfer receipts from the rest of the world (line 18).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Prior to 1959, subsidies (line 30) and the current surplus of government enterprises (line 19) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
