"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206"
"202","194","          Parking fees and tolls","DPFTRC0",509,527,545,560,568,567,566,568,576,594,611,629,637,643,648,654,664,678,697,716,732,744,759,773,788,805,825,845,855,867,880,894,905,919,936,955,983,1002,1028,1053,1072,1091,1113,1141,1166,1188,1218,1247,1270,1298,1330,1358,1388,1412,1436,1454,1478,1495,1497,1497,1490,1481,1510,1550,1592,1634,1672,1711,1735,1753,1794,1835,1898,1943,1980,2011,2032,2043,2074,2153,2194,2210,2231,2297,2360,2467,2582,2705,2735,2810,2895,2907,2920,2949,2926,2970,2924,2940,3035,3202,3417,3591,3755,3837,3931,3983,4026,4077,4124,4133,4139,4144,4248,4294,4264,4150,4406,4515,4706,4889,5093,5209,5251,5275,5198,5183,5118,5184,5244,5415,5741,5783,6032,6137,6693,6844,6863,6854,6793,6945,7178,7263,7266,7417,7628,7648,7825,7963,8266,8328,8505,8522,9018,9344,9653,9913,10412,10587,10757,10991,11153,11319,11588,11791,12033,12213,12416,12609,12832,12900,12860,12846,12765,12689,12708,12827,12920,13055,13279,13356,13465,13614,13807,14001,14304,14711,15007,15063,15002,14770,14700,14642,14872,14862,14788,14719,14685,14866,14802,14996,15254,15322,15449
"203","195","      Public transportation","DPUBRC0",3137,3186,3277,3316,3360,3349,3349,3344,3335,3376,3386,3476,3527,3618,3562,3563,3566,3586,3593,3645,3742,3789,3871,3933,3948,4063,4158,4245,4241,4412,4383,4721,4809,4824,4985,5079,5278,5485,5677,5845,6100,6426,6619,6816,6990,6918,7165,7178,7290,7666,8008,8214,8502,8517,8736,9098,9195,9285,9494,9757,10358,10782,10873,10893,11112,11072,11496,12001,12537,12970,13368,13746,14148,14539,14950,15395,15461,15612,15934,15843,16353,17021,17810,18836,19651,19782,20581,20950,21433,21472,21264,21353,21417,21754,22262,22246,22394,23268,24633,25225,26687,27495,26421,27572,27940,28299,27998,28191,28611,28898,29435,29894,30318,30807,31757,32289,32958,34358,35221,35979,37027,37079,36971,37201,38497,38670,39103,40407,38379,38995,39627,40180,40950,39475,40523,41010,42605,42853,43766,44696,44965,45775,46457,46778,46454,48527,49587,50667,49630,51538,52534,55093,55931,56351,57427,58583,60119,61308,63038,63235,63689,64477,66513,67856,70027,72648,74026,75147,73393,71079,65535,61755,64068,64856,64886,65980,66747,66831,70782,71954,73508,73545,73971,74700,74689,75956,77991,78492,78664,81602,81121,80969,81798,82013,83179,86256,86110,87117,87665,84039,78137,76980,80671
"204","196","        Ground transportation (63)","DGRDRC0",2591,2611,2670,2677,2721,2694,2646,2625,2636,2617,2611,2657,2652,2710,2691,2676,2663,2666,2666,2685,2729,2737,2760,2769,2766,2807,2842,2876,2820,2873,3088,3066,3100,3071,3126,3140,3213,3297,3369,3447,3544,3636,3670,3707,3897,3923,4019,4089,4130,4262,4401,4441,4538,4536,4584,4654,4684,4642,4712,4809,5117,5125,5218,5232,5415,5354,5518,5789,5927,5925,6048,6151,6288,6410,6528,6574,6624,6528,6600,6639,6735,7139,7255,7262,7319,7272,7629,7561,7702,7717,8185,8287,8314,8230,8475,8601,8620,8741,8918,8692,9237,9360,9378,9422,9648,9805,9817,9838,9965,9930,9879,9720,9844,9874,10010,10147,10579,11184,11446,11554,11576,11703,11919,11985,12375,12344,13064,13969,13808,13967,14130,14152,14697,14828,14752,14780,15060,15329,15536,15814,15878,16147,16211,16306,16484,16755,16717,16760,16965,17516,17666,17598,17841,17814,18150,18394,19018,19390,20019,20194,20159,20424,20552,20894,21090,21437,21757,22029,22579,22875,22767,22844,23196,23271,23125,22941,22693,23243,23621,23745,24596,25000,25466,25664,25697,25948,26747,27227,27823,28353,28667,28812,28790,28329,28265,28970,29617,31218,32046,31060,30858,31391,32307
"205","197","          Railway transportation","DIRRRC0",460,453,459,444,463,454,433,441,443,430,425,435,424,440,429,421,419,408,401,405,418,425,432,424,423,425,433,435,428,426,484,444,443,419,418,418,404,398,396,392,402,406,395,387,399,396,396,389,374,365,367,373,389,391,405,418,416,412,417,432,461,489,497,514,516,458,450,473,501,493,515,511,502,517,514,500,507,487,479,509,517,565,578,565,569,565,601,615,631,649,693,668,676,656,681,689,691,693,703,708,702,675,642,637,629,632,601,601,595,557,553,529,496,525,555,579,585,603,607,626,669,662,666,676,683,698,694,711,734,713,697,645,579,538,530,536,532,533,528,512,520,488,469,477,474,489,491,473,463,486,505,501,494,483,492,493,484,519,529,545,543,550,557,569,591,630,662,658,662,674,703,750,767,754,700,683,692,705,727,729,732,727,709,710,736,690,744,760,767,812,822,838,863,891,914,957,990,994,1048,952,917,898,916
"206","198","          Road transportation","DROTRC0",2131,2158,2211,2233,2258,2240,2213,2184,2193,2187,2186,2222,2228,2270,2262,2255,2243,2258,2265,2280,2311,2311,2328,2345,2343,2383,2408,2441,2392,2447,2604,2622,2657,2653,2708,2722,2809,2899,2973,3055,3142,3230,3274,3320,3498,3527,3624,3700,3755,3897,4034,4067,4150,4145,4179,4236,4268,4230,4295,4376,4656,4636,4721,4718,4899,4895,5069,5316,5426,5432,5533,5640,5786,5893,6014,6075,6116,6042,6121,6131,6218,6575,6677,6697,6749,6708,7028,6947,7072,7069,7493,7619,7638,7574,7795,7912,7930,8047,8215,7984,8535,8685,8736,8785,9019,9173,9216,9237,9370,9373,9326,9191,9349,9349,9455,9568,9994,10581,10838,10928,10907,11041,11252,11309,11692,11646,12370,13257,13075,13254,13433,13507,14118,14291,14222,14244,14528,14796,15008,15302,15358,15659,15742,15828,16010,16266,16226,16287,16502,17030,17161,17098,17348,17331,17659,17900,18534,18871,19490,19649,19615,19873,19995,20325,20498,20807,21095,21370,21917,22201,22064,22094,22428,22517,22425,22259,22001,22538,22894,23016,23864,24273,24756,24955,24961,25257,26003,26467,27056,27541,27844,27974,27928,27438,27351,28013,28627,30224,30998,30108,29941,30492,31390
"207","199","            Intercity buses","DIBURC0",159,153,158,153,153,155,155,153,154,154,153,158,156,170,162,158,158,157,158,163,173,178,191,195,195,206,209,215,218,218,260,246,260,249,260,263,267,276,276,275,274,282,287,294,305,297,315,327,329,344,347,342,346,351,355,366,367,373,383,411,458,447,463,418,459,440,454,466,465,468,479,487,505,522,523,523,568,548,586,601,613,716,754,795,833,853,888,919,979,970,992,1008,1012,1004,1048,1050,1005,975,963,767,869,882,834,802,809,778,735,693,666,583,574,589,608,635,697,728,774,855,862,838,778,731,687,671,591,524,645,700,687,689,666,655,685,692,686,665,720,729,718,729,752,765,802,787,796,841,853,853,834,885,911,950,996,978,1026,1089,1114,1105,1119,1133,1163,1169,1217,1258,1300,1355,1381,1404,1436,1434,1418,1354,1415,1381,1429,1425,1401,1365,1411,1400,1412,1387,1304,1310,1320,1262,1292,1349,1338,1337,1280,1256,1220,1208,1183,1214,1256,1315,1378,1261,1158,1054,1099
"208","200","            Taxicabs","DTAXRC0",565,590,617,639,639,622,599,576,566,566,570,578,583,587,590,592,594,595,595,596,595,594,594,596,601,608,616,624,630,634,640,648,663,683,702,720,778,833,883,930,958,988,1032,1074,1116,1152,1207,1245,1279,1350,1475,1508,1548,1575,1587,1582,1587,1574,1577,1586,1618,1637,1705,1788,1882,1942,1995,2053,2128,2189,2226,2289,2316,2376,2422,2474,2365,2268,2170,2077,2066,2076,2035,1995,1945,1936,1837,1746,1700,1694,1685,1677,1556,1479,1482,1535,1647,1774,1918,2065,2166,2253,2345,2420,2511,2581,2600,2596,2642,2620,2491,2303,2485,2408,2299,2244,2284,2276,2275,2269,2256,2268,2306,2366,2479,2534,2617,2678,2694,2650,2600,2556,2564,2542,2588,2650,2685,2708,2725,2733,2745,2771,2813,2869,2996,3015,2995,2951,3010,3200,3214,3224,3204,3211,3258,3358,3454,3538,3543,3460,3391,3313,3222,3151,3066,3032,3058,3127,3228,3322,3424,3494,3541,3542,3447,3285,3102,3154,3236,3343,3559,3753,3871,3924,3969,4035,4126,4215,4358,4459,4506,4471,4425,4370,4359,4378,4456,4551,4636,4700,4761,4798,4967
"209","201","            Intracity mass transit","DIMTRC0",1240,1252,1267,1278,1302,1296,1292,1290,1307,1299,1296,1313,1319,1327,1332,1331,1318,1332,1337,1339,1351,1342,1332,1337,1329,1342,1351,1364,1301,1354,1417,1453,1444,1442,1449,1441,1462,1474,1497,1530,1589,1626,1617,1605,1715,1722,1726,1741,1753,1793,1799,1803,1834,1789,1801,1837,1860,1822,1859,1870,2022,1998,1977,1980,1982,1959,2051,2211,2244,2180,2212,2236,2313,2322,2389,2394,2449,2509,2602,2663,2727,2857,2914,2882,2903,2822,3163,3106,3152,3171,3550,3646,3773,3795,3917,3971,3959,3990,4019,4020,4236,4252,4282,4290,4377,4490,4568,4650,4769,4945,5026,5024,4963,4967,5026,5097,5307,5651,5825,5895,5977,6155,6385,6370,6810,6823,7117,7746,7552,7745,7984,8090,8535,8659,8543,8530,8571,8714,8861,9030,8914,9079,8923,8931,8852,8817,8656,8672,8823,8913,8869,8581,8665,8584,8734,8710,9093,9199,9593,9760,9722,9979,10031,10427,10646,10837,10942,11078,11403,11491,11244,11205,11352,11363,11184,11294,11399,12030,12242,12136,12602,12643,12832,12998,12905,13163,13732,13859,14272,14645,14783,14796,14803,14408,14294,14729,15144,16582,17053,16068,15875,16592,17312
"210","202","            Other road transportation service","DORTRC0",168,163,169,164,164,167,167,165,166,168,167,173,170,187,178,174,174,174,175,182,192,197,211,218,218,227,232,239,243,242,288,275,291,279,297,298,302,316,318,319,321,334,338,347,363,356,376,387,394,410,414,415,421,430,436,451,455,462,477,509,559,553,576,532,576,554,569,586,589,595,616,628,652,673,680,684,734,717,764,790,812,926,975,1025,1069,1097,1140,1175,1241,1234,1266,1287,1297,1296,1347,1356,1319,1308,1315,1133,1264,1298,1276,1273,1321,1324,1313,1298,1294,1224,1236,1275,1293,1338,1433,1498,1629,1799,1876,1926,1897,1888,1875,1901,1812,1766,1991,2133,2142,2170,2183,2206,2334,2399,2405,2399,2552,2645,2704,2810,2947,3044,3205,3241,3366,3593,3721,3812,3835,4032,4168,4343,4482,4559,4641,4744,4873,5028,5236,5296,5340,5413,5525,5489,5486,5583,5714,5760,5851,5955,5979,6041,6121,6232,6365,6255,6099,5989,6006,6137,6292,6491,6749,6723,6767,6797,6854,7044,7088,7100,7275,7451,7480,7452,7515,7692,7771,7775,7931,8079,8148,8048,8012
"211","203","        Air transportation (64)","DAITRC0",545,574,606,638,638,654,702,718,698,758,774,818,874,907,870,886,902,919,926,959,1012,1051,1110,1162,1180,1254,1314,1367,1419,1537,1293,1652,1706,1750,1856,1935,2061,2184,2304,2394,2552,2785,2944,3104,3088,2990,3140,3083,3154,3398,3601,3767,3957,3974,4145,4436,4503,4634,4773,4938,5231,5646,5644,5650,5686,5707,5966,6200,6597,7031,7306,7580,7844,8113,8405,8803,8819,9066,9315,9184,9597,9860,10531,11549,12306,12483,12924,13360,13702,13726,13047,13034,13070,13490,13751,13608,13726,14464,15636,16438,17337,18004,16891,17974,18090,18265,17925,18070,18336,18628,19192,19790,20102,20553,21355,21729,21940,22726,23321,23960,24996,24930,24624,24811,25748,25972,25711,26134,24302,24798,25302,25874,26118,24504,25625,26076,27351,27261,27892,28464,28584,29043,29569,29706,29091,30770,31752,32675,31337,32586,33322,35832,36350,36748,37454,38313,39132,39916,41010,41018,41525,42011,43845,44788,46732,49005,50053,50874,48479,45877,40461,36674,38586,39299,39482,40694,41667,41194,44741,45788,46444,45974,45878,46355,46308,47313,48496,48499,48062,50452,49649,49309,50075,50708,51897,54194,53429,52842,52569,50003,44467,42829,45595
"212","204","        Water transportation (65)","DWATRC0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,7,7,7,8,8,9,9,10,10,11,11,11,11,11,12,12,13,14,14,15,16,16,17,18,18,18,19,20,21,22,24,25,26,27,28,29,29,29,32,32,33,34,36,37,48,63,79,95,113,131,152,176,202,229,256,283,310,340,364,384,372,380,392,413,439,448,454,465,455,446,428,405,374,354,328,304,269,230,195,154,135,143,146,154,194,263,338,418,503,585,677,766,879,1002,1118,1232,1328,1436,1546,1663,1740,1789,1823,1876,1969,2002,2009,2023,2005,2042,2116,2174,2205,2206,2216,2244,2335,2327,2307,2237,2286,2286,2279,2345,2387,2394,2420,2421,2468,2571,2627,2681,2684,2695,2748,2766,2779,2797,2805,2848,2933,2976,3017,3092,3064,3057,3050,2976,2812,2760,2769
"213","205","    Recreation services","DRCARC0",5642,5875,6010,6156,6341,6443,6521,6615,6743,6855,6980,7202,7247,7556,7429,7587,7708,7786,8220,7990,8353,8315,8459,8789,8868,8903,8968,9163,9288,9629,9882,10273,10418,10261,10812,10314,11085,11583,11874,12268,12577,12950,12949,13226,13676,13864,14123,14346,14598,14927,15190,15753,15857,16111,16450,16899,17593,18205,18501,19093,19589,20416,21372,22413,23056,23159,23800,24596,25174,25892,27097,27976,28178,29022,30024,31025,31663,32280,33380,34077,35263,36345,37281,38012,39066,39898,41256,43129,44683,46548,48199,49075,50677,51654,53142,54426,56375,58815,60331,62195,63641,65115,66968,68745,70987,73147,74788,76908,78432,79267,80644,83134,84578,86126,87961,90443,93812,97619,100942,104564,107777,109733,112027,113124,117217,120886,123463,125507,124856,125994,127706,130172,135071,138345,141052,144734,147895,151516,156124,157967,160564,163111,166417,168546,173685,179594,183293,187797,189818,193625,198349,200540,204108,207286,209510,212366,216549,218040,222027,225730,229602,235452,242450,247642,250208,254211,258150,259328,263430,263203,262995,264579,267909,271052,273549,278818,280897,286239,292537,298213,305645,310787,314313,317077,322171,324036,327629,333309,339459,344207,351429,360206,365375,369924,373673,377879,380700,384862,385942,380896,383432,381489,382537
"214","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC0",3310,3419,3525,3648,3715,3777,3821,3883,3964,4025,4080,4225,4240,4398,4292,4402,4463,4476,4750,4575,4889,4740,4744,4856,4981,5005,5085,5122,5160,5407,5519,5685,5708,5551,6008,5574,6059,6321,6398,6608,6783,6965,6904,7055,7384,7514,7654,7753,7808,7990,8104,8461,8464,8561,8666,8821,9152,9399,9305,9599,9932,10479,10997,11690,11967,11896,12133,12426,12657,13008,13490,13687,14277,14716,15180,15674,16093,16307,16985,17105,17646,18136,18446,18903,19377,19669,20355,21195,21739,22454,23124,23129,24082,24329,24887,25270,26111,27134,27508,28102,28363,29062,29749,30357,30901,31759,32314,33001,33597,33408,33916,34763,34825,35324,36210,36840,38052,39517,40688,41813,43472,44889,46284,46578,47803,49492,50471,51172,51273,51470,52210,53475,55473,57125,57616,59491,59857,60763,62587,61724,62713,63728,65094,65287,66596,69317,70286,71938,72523,74225,76103,75573,77358,78482,79487,80652,82441,82666,83914,84259,84763,86518,88557,89306,89746,91736,92780,93451,94597,94843,93341,94479,95691,96792,97680,99883,100044,101271,102367,103738,104915,106675,107622,106949,108690,109232,110743,113552,114935,116888,118877,120675,123262,124906,125915,126292,127503,128639,128470,128610,129247,128076,128214
"215","207","        Membership clubs and participant sports centers","DMDFRC0",936,971,1008,1043,1080,1114,1149,1182,1221,1249,1277,1302,1301,1382,1358,1332,1349,1366,1389,1504,1461,1450,1379,1438,1452,1429,1437,1439,1496,1459,1509,1511,1540,1473,1638,1533,1507,1608,1612,1578,1576,1650,1557,1558,1642,1647,1618,1531,1631,1618,1554,1637,1618,1673,1683,1731,1786,1841,1944,2031,2059,2168,2306,2377,2550,2556,2669,2785,2884,2944,3215,3276,3429,3491,3560,3632,3661,3719,3730,3764,3912,3990,4108,4188,4293,4397,4502,4638,4710,4848,4960,5103,5215,5368,5561,5702,5919,6227,6508,6749,6799,6961,7214,7640,8066,8477,8823,9224,9518,9753,9959,10263,10635,10873,11178,11324,11636,12014,12316,12604,12910,13238,13578,13815,13947,14164,14420,14624,14669,14931,15064,15229,15828,16169,16442,16690,16695,16822,16897,16946,17154,17290,17512,17937,18259,18491,18685,18959,19104,19385,20165,22434,23579,24216,24681,24841,24889,24858,24940,25135,25517,25662,26197,26183,26170,26349,26448,26594,26622,26773,26644,26437,27170,27357,27666,27705,27763,27904,28240,28651,29005,29320,29988,29390,30027,30443,30385,31272,31573,31752,32019,32294,32828,33210,33616,33698,33969,34391,34202,32966,31963,31214,30787
"216","208","        Amusement parks, campgrounds, and related recreational services","DORSRC0",736,775,814,855,876,888,897,905,932,972,1012,1049,1073,1103,1101,1106,1133,1175,1213,1292,1298,1316,1294,1332,1332,1317,1337,1357,1413,1445,1514,1555,1593,1565,1649,1610,1687,1799,1894,1965,2025,2151,2186,2290,2415,2501,2583,2618,2738,2775,2817,2981,3056,3176,3298,3462,3562,3683,3831,3977,4034,4200,4408,4538,4739,4748,4862,5010,5117,5221,5474,5584,5766,5896,6087,6289,6295,6464,6623,6822,7033,7205,7480,7617,7861,8296,8638,9177,9399,9933,10154,10310,10342,10449,10605,10800,11074,11471,11582,11758,11730,11638,11782,12072,12509,12905,12962,13000,12902,12849,12595,12711,12790,13034,13233,13415,14027,14663,15191,15856,16595,17210,17619,17834,18476,18998,19480,19816,19688,19822,20120,20559,22034,23118,23857,24321,24326,24544,24659,24860,25057,25387,25948,26526,27219,28390,28704,29096,29587,29935,29670,28180,27901,28241,28586,28721,29034,29339,29509,29558,29662,29881,30025,30288,30632,30887,31428,31540,31689,31802,31196,30653,30312,30143,30127,30347,30795,31267,31691,32059,32511,32842,33289,33698,34168,34680,35125,35707,36290,37004,37744,38554,39430,40149,40426,40923,41208,41487,41965,42202,42446,42074,42810
"217","209","        Admissions to specified spectator amusements","DADMRC0",1582,1615,1642,1686,1693,1707,1705,1725,1738,1727,1710,1789,1780,1825,1745,1876,1891,1841,2050,1677,2023,1869,1963,1979,2091,2151,2199,2210,2129,2379,2371,2492,2446,2380,2585,2290,2719,2762,2734,2900,3010,2983,2971,3008,3120,3153,3230,3376,3205,3356,3486,3588,3532,3445,3409,3338,3515,3563,3215,3254,3477,3735,3896,4364,4261,4167,4175,4190,4201,4374,4308,4303,4560,4792,4972,5148,5527,5501,5996,5854,6007,6231,6153,6367,6471,6179,6387,6522,6743,6756,7064,6749,7565,7546,7744,7763,8098,8404,8376,8495,8729,9351,9642,9479,9123,9150,9266,9504,9868,9482,10048,10471,10169,9984,10314,10646,10854,11321,11614,11779,12244,12711,13362,13183,13567,14472,14707,14864,15056,14812,15096,15756,15610,15780,15185,16382,16633,17138,18714,17573,18164,18693,19239,18417,18689,19926,20356,21368,21310,22376,23709,22378,23312,23419,23559,24352,25674,25565,26500,26499,26416,27740,29010,29341,29264,30675,31060,31467,32394,32302,31377,33165,33752,34564,34963,36793,36355,36933,37247,37724,38032,39028,38685,38219,38749,38236,39354,40518,40891,41784,42575,43119,44115,44526,44783,44550,45212,45580,45132,46277,47673,47733,47608
"218","210","          Motion picture theaters","DMOVRC0",1035,1038,1041,1058,1046,1048,1037,1049,1054,1036,1010,1076,1045,1063,957,1067,1066,1010,1210,830,1153,965,1026,1008,1103,1157,1198,1194,1080,1278,1220,1298,1237,1178,1391,1102,1428,1403,1319,1450,1550,1508,1482,1488,1573,1580,1625,1738,1545,1679,1802,1906,1849,1762,1720,1645,1807,1829,1465,1487,1698,1907,2028,2455,2299,2195,2168,2126,2084,2198,2050,1964,2142,2340,2447,2543,2747,2594,2951,2716,2751,2921,2755,2865,2779,2497,2502,2534,2694,2761,2870,2559,3233,3125,3132,3046,3188,3309,3115,3140,3175,3593,3353,3563,3224,3251,3259,3242,3589,2921,3235,3607,3312,3224,3464,3773,3730,3815,3970,4021,4264,4791,4901,4332,4511,5115,5295,5624,5873,4966,4829,5256,5124,5322,4241,5069,4691,4949,6007,4576,5100,4760,5817,5554,4824,5988,5583,6055,5999,6567,5505,6324,6973,6624,6464,6373,7376,6839,7469,7220,6945,7747,8959,8141,8022,8803,8734,8884,9188,8493,9058,9234,9702,9652,9049,9984,9312,9865,10055,10299,9872,10427,9724,9444,9561,8483,9057,9229,9136,9646,9525,9346,9680,9608,10005,9184,9695,9810,8908,9769,10924,11621,10781
"219","211","          Live entertainment, excluding sports","DLIGRC0",267,275,280,287,293,298,301,302,298,286,280,276,283,298,313,324,323,314,303,295,303,323,345,363,361,345,331,322,333,363,397,426,434,425,413,401,411,418,423,427,429,431,431,441,448,453,458,460,457,448,452,458,467,482,499,508,515,526,538,552,562,592,607,627,647,649,671,706,739,774,822,863,886,890,925,971,1035,1101,1160,1206,1249,1267,1307,1363,1471,1412,1550,1646,1680,1653,1833,1818,1794,1792,1845,1883,1967,2052,2143,2211,2270,2367,2474,2518,2589,2659,2753,2950,3099,3305,3478,3502,3516,3417,3508,3440,3610,3841,3835,3795,3658,3449,3847,4242,4389,4613,4544,4287,4129,4615,4881,5000,5023,4942,5263,5442,5867,5941,6257,6342,6261,6509,6705,6646,6848,7065,6968,7276,7320,7527,7670,7457,7491,7740,7751,8421,8386,8606,8919,9057,9052,9371,9300,10293,9978,10381,10477,10620,11163,11407,10804,11040,11071,11546,12150,12752,12772,12651,12645,12700,12886,13111,13253,13380,13589,13774,13896,13886,14297,14824,15157,15374,15457,15380,15182,15348,15407,15393,15595,15720,15830,15561,15958
"220","212","          Spectator sports","DSPERC0",280,302,321,341,354,361,367,374,386,405,420,437,452,464,475,485,502,517,537,552,567,581,592,608,627,649,670,694,716,738,754,768,775,777,781,787,880,941,992,1023,1031,1044,1058,1079,1099,1120,1147,1178,1203,1229,1232,1224,1216,1201,1190,1185,1193,1208,1212,1215,1217,1236,1261,1282,1315,1323,1336,1358,1378,1402,1436,1476,1532,1562,1600,1634,1745,1806,1885,1932,2007,2043,2091,2139,2221,2270,2335,2342,2369,2342,2361,2372,2538,2629,2767,2834,2943,3043,3118,3144,3284,3391,3815,3398,3310,3240,3254,3312,3179,3256,3334,3362,3341,3343,3342,3433,3515,3665,3809,3963,4322,4471,4614,4610,4668,4744,4867,4953,5055,5231,5386,5501,5463,5515,5682,5872,6075,6248,6450,6655,6803,7423,6717,6217,7018,6873,7805,8036,7991,8282,10534,8598,8848,9055,9345,9558,9912,10121,10112,10222,10419,10622,10751,10907,11263,11491,11849,11963,12043,12402,11515,12891,12979,13366,13764,14057,14272,14417,14547,14725,15274,15490,15708,15395,15599,15979,16401,17402,17458,17313,17894,18399,18978,19539,19596,20019,20110,20378,20628,20788,20920,20550,20869
"221","213","        Museums and libraries","DMUSRC0",56,58,61,64,66,68,70,71,73,77,81,85,86,88,88,88,90,94,98,102,107,105,108,107,106,108,112,116,122,124,125,127,129,133,136,141,146,152,158,165,172,181,190,199,207,213,223,228,234,241,247,255,258,267,276,290,289,312,315,337,362,376,387,411,417,425,427,441,455,469,493,524,522,537,561,605,610,623,636,665,694,710,705,731,752,797,828,858,887,917,946,967,960,966,977,1005,1020,1032,1042,1100,1105,1112,1111,1166,1203,1227,1263,1273,1310,1324,1315,1318,1231,1433,1485,1455,1534,1519,1567,1574,1723,1730,1725,1745,1812,1858,1865,1868,1859,1905,1930,1930,2001,2059,2131,2097,2203,2259,2317,2345,2338,2359,2395,2407,2428,2510,2541,2516,2522,2529,2559,2580,2566,2606,2660,2738,2844,2903,2965,3067,3168,3235,3325,3494,3681,3825,3844,3850,3892,3966,4124,4224,4457,4728,4924,5038,5130,5167,5189,5304,5367,5485,5660,5642,5746,5873,5879,6056,6181,6349,6538,6708,6889,7020,7090,7120,7114,7180,7172,7165,7164,7056,7009
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC0",1499,1591,1583,1574,1673,1706,1734,1758,1788,1811,1847,1883,1876,1979,1931,1953,1990,2034,2166,2046,2061,2108,2210,2353,2281,2295,2272,2412,2430,2481,2535,2702,2792,2814,2827,2779,2975,3098,3229,3352,3428,3514,3566,3644,3698,3746,3826,3929,4009,4091,4162,4201,4201,4224,4322,4452,4670,4871,5102,5280,5390,5556,5795,6015,6195,6318,6518,6825,7091,7348,7641,7908,7845,7936,8107,8315,8328,8470,8677,9013,9278,9587,9830,9917,10230,10594,10882,11228,11757,12175,12536,12933,13340,13649,14205,14855,15562,16293,16847,17729,18170,18692,19239,19768,20875,21627,22299,22911,23599,24180,24737,25413,26187,26707,27405,28347,29290,30531,31587,33167,34264,34430,34868,35062,36379,37651,38671,38800,38814,39148,39478,40112,41310,42559,43143,43377,45209,45808,46215,46684,46349,46318,46401,46930,48673,49659,50370,51275,51760,52352,53053,53925,54309,55058,55863,56929,58079,59230,60624,62113,63582,64655,66233,67562,68827,69482,70685,71558,72594,71894,72903,73216,73096,73358,73220,74089,75200,76300,78227,80512,82266,84277,85087,86611,87283,86414,87097,88140,88246,90596,92860,95511,97047,99005,99036,100919,102572,103019,103816,103321,105382,105798,106351
"223","215","        Cable and satellite television and radio services","DCTVRC0",52,59,66,73,78,79,82,83,88,93,99,105,111,116,120,125,130,136,141,147,151,154,156,159,162,165,168,172,180,190,201,212,223,232,242,253,276,291,310,332,348,371,391,415,428,445,465,484,495,505,528,552,571,597,626,656,689,720,765,811,838,883,940,995,1040,1068,1114,1172,1219,1268,1336,1407,1502,1570,1682,1811,1856,1946,2062,2198,2292,2396,2489,2543,2809,2995,3232,3544,3927,4267,4649,5042,5308,5453,5733,6033,6525,6942,7251,7720,8026,8304,8479,8543,9080,9338,9548,9709,10163,10428,10622,10921,11421,11659,11887,12271,12673,13268,13814,14994,15705,15594,15976,16327,16995,17860,18624,18649,18858,19261,19364,19592,20668,21510,21807,21646,22953,23149,23224,23339,22608,22276,22067,22422,23497,24190,24722,25542,26295,26964,27723,28618,29137,29838,30403,31145,32009,32857,33929,35050,36118,36941,38013,38815,40053,41026,41959,43182,44510,43849,44331,45471,45294,45517,45829,46607,47366,48190,49737,51464,53086,54898,55730,57613,59045,58918,59897,60982,61182,63375,65319,67537,68761,70521,70591,72366,74175,75017,76106,75368,77389,77897,78593
