"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"205","197","          Railway transportation","DIRRRX0",587,556,571,584,576,570,572,572,549,521,547,511,509,510,515,526,530,533,539,565,538,546,531,552,526,545,545,525,529,537,542,537,531,540,525,542,536,501,532,559,560,556,562,556,571,566,569,574,585,551,577,570,564,562,571,572,553,574,586,576,571,608,612,623,628,641,647,673,665,642,643,642,633,619,638,635,637,648,643,672,682,705,721,711,713,716,716,692,703,671,650,626,634,627,587,646,638,624,619,637,636,639,654,688,699,707,680,704,745,759,721,725,748,722,653,623,700,767,778,798,786,785,843,725,726,681,635,626,753,729,760,742,716,726,754,752,746,745,665,682,769,805,789,778,783,832,874,850,870,803,761,776,850,953,940,901,933,992,962,936,1000,874,843,810,847,887,787,827,884,823,827,852,836,827,732,706,821,924,860
"206","198","          Road transportation","DROTRX0",22392,22389,22554,22501,22668,22649,22276,22413,22555,22328,22354,22208,21885,21840,21740,21850,21640,21805,21993,21786,21985,21902,21597,22179,22512,22241,22012,22073,22022,21956,22217,22195,22531,22441,22144,22905,23237,23362,23499,23664,23656,23732,24324,24263,24589,24831,24693,25143,24730,24794,25043,25069,24962,25259,25096,25045,25221,25253,25454,25698,25371,25696,25795,25482,25782,25954,25678,25778,25740,25762,25889,25992,26357,26352,26351,26418,26536,26615,26307,26789,25578,26356,26303,25886,26730,26503,26202,26406,26504,25923,26088,26150,25375,25941,25605,25296,25588,24933,25011,25056,24819,24674,24978,24223,24769,24676,23974,25111,24732,25418,25503,25389,25008,25710,25646,25400,25717,25743,25914,25859,25364,25614,25659,25562,25266,25651,25466,25728,26310,25694,25832,25917,26050,25992,26275,26205,26634,26570,26428,26666,26415,26467,26591,26445,26626,26221,26262,25854,26165,25861,26031,26011,25197,26286,26155,25799,26291,26609,25865,27707,27099,27288,28373,27149,27307,26988,25866,26586,26122,26278,25855,26435,26476,26814,26748,26637,27002,26837,26868
"207","199","            Intercity buses","DIBURX0",1094,1099,1104,1129,1156,1185,1132,1165,1192,1172,1193,1158,1145,1089,1150,1189,1150,1175,1202,1223,1262,1270,1240,1389,1344,1316,1451,1265,1369,1321,1329,1399,1366,1420,1442,1438,1503,1439,1413,1433,1436,1387,1405,1392,1404,1420,1433,1415,1444,1464,1491,1443,1462,1487,1499,1477,1515,1521,1580,1556,1551,1612,1617,1631,1605,1633,1630,1602,1615,1618,1662,1628,1641,1670,1666,1658,1620,1650,1574,1607,1722,1494,1589,1601,1575,1604,1699,1437,1641,1601,1528,1597,1572,1527,1473,1660,1575,1472,1512,1464,1492,1478,1538,1539,1472,1512,1471,1479,1512,1532,1428,1494,1442,1405,1385,1273,1317,1363,1348,1325,1284,1337,1425,1261,1289,1290,1300,1200,1377,1353,1314,1239,1266,1284,1256,1296,1241,1249,1175,1162,1213,1128,1154,1155,1112,1106,1161,1140,1129,1125,1109,1102,1098,1100,1151,1059,1024,1132,1200,1082,1194,1201,1242,1199,1118,1162,1062,975,999,1030,873,920,788,963,858,861,1072,882,892
"208","200","            Taxicabs","DTAXRX0",4221,4257,4281,4264,4262,4252,4238,4219,4193,4184,4132,4059,4053,4047,4041,4034,4028,4023,4017,4011,4007,4004,3998,3993,3975,3967,3888,3889,3922,3946,3956,3975,4004,4047,4084,4180,4237,4287,4329,4365,4394,4415,4429,4435,4432,4421,4403,4376,4342,4306,4270,4235,4199,4163,4127,4090,4053,4016,3978,3939,3900,3867,3841,3822,3808,3801,3801,3806,3817,3835,3858,3888,3924,3958,3990,4022,4052,4080,4106,4131,4155,4176,4196,4214,4231,4238,4235,4223,4202,4172,4132,4083,4026,3960,3885,3803,3714,3640,3580,3533,3504,3485,3478,3484,3502,3533,3576,3633,3698,3763,3823,3879,3928,3971,4007,4036,4059,4074,4081,4080,4071,4064,4060,4059,4062,4066,4074,4084,4098,4113,4131,4152,4198,4239,4273,4302,4323,4338,4347,4348,4343,4330,4310,4284,4250,4219,4193,4170,4151,4137,4126,4119,4116,4117,4120,4128,4134,4144,4153,4162,4170,4178,4186,4192,4199,4205,4209,4213,4219,4225,4230,4236,4241,4247,4254,4260,4266,4273,4279
"209","201","            Intracity mass transit","DIMTRX0",12426,12332,12380,12209,12255,12076,11880,11887,11911,11672,11659,11698,11431,11526,11218,11214,11128,11175,11251,10907,10898,10775,10555,10608,11008,10794,10539,10773,10593,10546,10775,10656,10969,10766,10390,11014,11185,11286,11370,11443,11371,11439,11963,11877,12161,12366,12201,12668,12231,12287,12525,12620,12515,12814,12669,12676,12854,12924,13118,13444,13180,13498,13634,13332,13687,13843,13566,13691,13621,13612,13660,13754,14057,13969,13919,13943,14051,14048,13764,14166,12770,13749,13550,13070,13905,13619,13209,13698,13613,13108,13416,13488,12819,13569,13421,13054,13619,13202,13357,13548,13341,13249,13510,12745,13331,13146,12409,13443,12922,13475,13560,13284,12868,13531,13423,13234,13465,13411,13578,13541,13092,13298,13263,13335,13017,13408,13219,13584,13995,13409,13593,13762,13847,13749,14043,13913,14382,14292,14209,14447,14125,14253,14341,14182,14402,13990,13971,13580,13904,13603,13790,13780,12972,14074,13898,13640,14205,14429,13622,15614,14893,15085,16144,14945,15187,14811,13773,14594,14092,14221,13957,14497,14678,14837,14876,14761,14911,14935,14955
"210","202","            Other road transportation service","DORTRX0",4587,4635,4723,4831,4925,5065,4959,5071,5186,5231,5301,5220,5189,5105,5270,5357,5274,5375,5469,5606,5792,5834,5786,6207,6185,6168,6156,6150,6148,6152,6160,6174,6192,6216,6243,6275,6312,6348,6383,6418,6453,6487,6520,6554,6586,6619,6650,6679,6708,6732,6751,6768,6781,6790,6796,6797,6795,6788,6775,6758,6738,6719,6704,6694,6685,6681,6680,6682,6688,6697,6709,6724,6743,6761,6780,6800,6821,6843,6866,6890,6915,6940,6966,6991,7021,7039,7048,7050,7044,7030,7007,6975,6935,6885,6825,6759,6682,6615,6559,6515,6481,6461,6451,6452,6463,6483,6514,6555,6598,6646,6690,6731,6769,6803,6831,6857,6878,6895,6908,6915,6918,6916,6912,6906,6899,6888,6874,6858,6839,6818,6793,6767,6742,6723,6709,6701,6698,6701,6709,6723,6743,6767,6797,6831,6872,6908,6938,6962,6981,6995,7005,7008,7007,7000,6987,6970,6937,6911,6890,6872,6857,6844,6835,6828,6824,6821,6822,6824,6819,6813,6807,6801,6795,6790,6785,6780,6776,6772,6767
"211","203","        Air transportation (64)","DAITRX0",31030,30155,29484,29913,29865,29555,29473,30155,30026,30828,31357,31652,31931,33805,33695,33631,34701,32718,33919,34113,34756,34800,33034,37132,35801,35751,36501,35943,35509,36186,36344,35466,36135,35157,35298,36512,36401,36925,36845,37888,37775,38693,38835,38243,39182,38741,39258,40438,40697,40548,38698,40048,39254,40027,41426,41254,41821,41866,42627,41973,42473,43512,43785,43322,45015,45006,44613,44912,46213,44739,46610,44480,46110,45106,44180,44518,43865,43765,44377,46827,32040,37018,38963,39448,41425,42376,42708,41631,42580,42255,42976,45169,43171,44465,41998,47996,46630,45387,44337,43967,44870,44982,46390,47382,47794,48007,46505,49544,48373,50254,48852,50856,49410,50232,49716,49483,48282,48734,49988,47612,47757,46839,47936,46944,48362,48819,48842,48558,48813,46420,46576,45982,45099,43990,44204,46330,46048,46821,46356,44669,46760,46620,46796,48242,47364,46721,47966,46938,48183,47314,46821,47913,48353,48709,48668,47108,47170,46549,45584,43566,43853,43826,43227,43607,42264,42172,39918,42267,40110,38951,39213,40539,40363,41020,43296,42365,41639,42461,42228
"212","204","        Water transportation (65)","DWATRX0",648,677,707,735,764,797,823,848,874,903,929,949,967,993,1016,1043,1070,1096,1119,1145,1170,1197,1221,1246,1264,1261,1274,1288,1293,1299,1299,1316,1314,1336,1348,1362,1362,1363,1364,1365,1368,1371,1374,1378,1383,1388,1393,1399,1406,1414,1424,1435,1447,1462,1477,1495,1515,1536,1559,1584,1611,1638,1666,1693,1720,1747,1774,1801,1829,1856,1882,1908,1934,1957,1979,1998,2014,2028,2040,2048,2054,2058,2058,2056,2052,2050,2051,2056,2064,2075,2089,2106,2126,2150,2176,2206,2240,2272,2302,2333,2362,2389,2416,2442,2466,2489,2510,2529,2543,2559,2574,2589,2603,2617,2629,2641,2651,2661,2669,2676,2682,2687,2693,2701,2708,2716,2725,2734,2743,2753,2763,2773,2772,2773,2776,2781,2788,2798,2810,2825,2842,2861,2882,2906,2931,2955,2977,2998,3017,3034,3050,3063,3075,3085,3093,3098,3098,3101,3105,3108,3111,3114,3117,3120,3123,3127,3129,3132,3135,3137,3140,3143,3146,3149,3152,3156,3159,3163,3166
"213","205","    Recreation services","DRCARX0",235284,237308,240716,240187,244489,247251,245905,248665,248484,249676,252726,252340,250794,251719,254264,253447,254150,257163,261722,257360,257393,258236,259062,260756,259661,263531,262417,263459,264607,263117,264400,265466,264511,266990,267040,268525,272197,269964,270266,270965,270635,271550,273688,275194,274393,276453,276621,277532,277238,279130,281607,283788,282893,284764,286974,289264,293751,292883,294238,292929,290434,293294,295850,296484,295779,295088,298726,295369,294744,295468,296768,294680,300390,296652,297017,295031,295726,294182,295406,296181,288589,291220,293702,294620,295487,295159,294843,297170,296482,293241,294819,296119,298322,298835,298619,301786,299824,297598,299738,300717,303868,304891,306233,307643,309071,310959,311433,313723,314119,317016,320701,320373,320041,321254,320660,322528,323403,322793,323309,322330,322928,326372,328744,325340,327735,325451,325736,327471,326340,328832,329798,326689,333543,331658,332029,334508,334173,333447,336263,338687,339401,342129,347309,346278,346164,346915,350024,348474,349809,348759,353107,351037,350546,352777,348946,353069,350813,351044,351401,352597,350354,354261,353420,348262,347139,346163,346156,346093,349216,347597,346309,348615,346158,344057,343241,343592,343995,342322,340704
"214","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",92125,93605,96054,94801,97703,98263,97271,98007,98147,98144,99200,99674,98783,98816,99449,99127,99809,101659,105757,100683,99579,99621,100614,101317,100693,102625,102792,102202,102385,102300,103196,102803,103722,104449,104499,105292,106964,106016,105555,105804,105028,106013,106086,107189,106443,106701,105762,105464,104892,104894,105591,105926,105013,106107,105885,107161,108645,107352,106754,106550,105317,106567,106747,107936,107889,106824,109354,105850,105348,105668,106796,108182,108968,107400,105270,106255,106053,106703,106973,106850,99529,103404,105200,104739,106146,105226,106496,105732,106527,105740,105202,105828,106645,106965,107765,107259,106579,106768,105851,106215,107145,106578,106531,106837,107910,108179,107442,108937,107309,107192,110335,109820,109044,110705,110498,110318,110005,109510,109625,108119,109202,110182,110981,109562,109619,109844,109477,110521,111199,111424,112354,112288,112743,112561,111909,114109,113035,113317,114338,113999,114281,114985,114716,114865,115317,115824,117305,116741,117334,116249,117126,118812,117784,117249,116074,118204,117932,117356,116942,116436,117681,118886,117846,114889,116121,116513,115816,115866,117054,116528,114855,117552,115801,116144,114155,114768,114980,115215,115853
"215","207","        Membership clubs and participant sports centers","DMDFRX0",23019,23210,23284,22995,23161,24010,23878,24015,23662,23614,23670,23828,23742,23776,23850,23926,23885,24064,23825,24738,25501,25812,27202,27959,27997,28365,28333,28225,28091,28371,28822,29053,29050,28914,29297,29164,29179,29112,28998,28993,28951,28437,28400,28239,28289,28389,28157,28176,28321,28394,28614,28491,28444,28553,28871,29140,29341,29308,28672,28757,28754,28732,28608,28621,28743,28625,28405,28109,28073,28069,28368,28334,28207,28089,28183,27981,28077,28341,28405,28454,27462,27451,27516,27732,28201,28279,28411,28415,28385,28601,28708,28836,28844,28718,28718,28643,28738,28468,28303,28197,28233,28177,28224,28337,28432,28533,28847,28973,29004,29062,29081,29659,29596,29671,30029,30253,30282,29976,29460,29271,29631,30251,30855,30840,30611,30383,30316,30672,30595,30655,30772,30802,30888,30575,30527,30572,30584,30694,30777,30753,30741,30888,30942,31055,31169,31423,31529,31531,31481,31563,31686,31770,31887,32101,31799,31778,31763,31961,32122,32112,32153,32098,32066,31779,31297,30886,30585,30588,30287,29596,29399,29603,29323,28946,28803,28603,28381,28634,28970
"216","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",36631,38484,38989,39442,39240,39327,39393,39538,39563,39513,39792,39770,39828,40176,40234,40290,40476,40523,40554,39856,39122,38390,37569,36676,36752,36825,36897,36970,37040,37110,37179,37251,37319,37382,37439,37490,37508,37538,37553,37561,37555,37537,37505,37462,37404,37329,37239,37130,37010,36892,36785,36697,36622,36560,36509,36471,36444,36427,36418,36416,36427,36427,36425,36423,36412,36401,36388,36369,36348,36320,36286,36246,36201,36133,36046,35944,35820,35676,35514,35337,34225,34011,33967,33892,33846,33594,33373,33183,33018,32883,32774,32692,32637,32608,32603,32619,32662,32701,32743,32789,32840,32907,32979,33054,33129,33207,33284,33363,33395,33471,33548,33632,33719,33805,33894,33985,34077,34173,34265,34356,34448,34532,34618,34707,34796,34882,34969,35055,35140,35223,35296,35373,35469,35570,35673,35784,35902,36028,36161,36300,36447,36597,36750,36913,37077,37225,37358,37482,37596,37699,37793,37874,37943,37999,38038,38062,38027,38035,38045,38056,38070,38088,38111,38134,38163,38191,38218,38245,38261,38275,38289,38304,38319,38337,38357,38378,38401,38423,38443
"217","209","        Admissions to specified spectator amusements","DADMRX0",28695,27938,29958,28387,31615,31091,30097,30569,31150,31264,32068,32460,31489,31160,31721,31254,31852,33588,38166,32439,31147,31559,31852,32685,31940,33505,33622,33035,33287,32770,33106,32361,33207,34066,33531,34469,36174,35202,34820,35068,34269,35886,36008,37427,36592,36813,36123,35845,35166,35214,35808,36407,35602,36723,36148,37196,38561,37204,37259,36889,35517,36790,37091,38283,38051,37089,40019,36722,36275,36657,37547,39088,40110,38667,36399,37772,37504,37995,38270,38273,32911,37148,38976,38215,39122,38180,39521,38879,39801,38875,38284,38855,39678,40166,40994,40522,39689,40107,39290,39681,40654,40058,39888,39995,40925,40946,39739,41067,39321,39085,42164,40986,40061,41538,40812,40252,39800,39560,40132,38722,39366,39600,39611,38075,38323,38765,38394,38969,39571,39580,40258,40059,40321,40329,39595,41619,40364,40405,41143,40663,40779,41168,40667,40533,40708,40737,41958,41250,41745,40426,41074,42496,41304,40562,39708,41822,41633,40852,40288,39742,40910,42103,41129,38554,40251,40967,40584,40568,41966,42190,40765,43042,41614,42452,40687,41508,41839,41826,42148
"218","210","          Motion picture theaters","DMOVRX0",8227,6551,7217,8436,9347,9153,8133,8101,8545,8517,8940,9252,8911,8452,8784,8321,8999,10591,8061,7207,7978,8391,8865,9464,8652,10152,10355,9497,9486,8599,8963,8366,9316,9293,8258,8731,10433,9671,9918,9469,8400,9834,9766,10663,10084,10309,9564,9295,9429,9000,9146,9955,9457,10524,10211,11233,12482,10644,10230,9273,9143,10120,10063,10903,11005,9911,12247,9643,9368,9606,9904,11941,12445,11003,8676,9960,9506,10125,10770,10991,9609,9722,11390,10564,11555,10493,11436,10676,11633,10399,9782,9789,10512,10953,11066,10773,10001,10461,9690,10101,11076,10486,10307,10389,11270,11250,10021,11266,9502,9205,12182,10952,9972,11364,10584,9968,9456,9821,10332,8911,9537,9762,9757,8210,8429,8831,8437,8985,9557,8803,9459,9224,9360,9243,8390,10297,8947,8886,9525,8953,8984,9296,8726,8524,8639,8620,9801,9056,9522,8174,8808,10231,9034,8298,7465,9643,9547,8808,8279,7758,8976,10213,9232,6610,8341,9062,8658,8623,10072,10321,8884,11235,9790,10663,8876,9728,10078,10077,10420
"219","211","          Live entertainment, excluding sports","DLIGRX0",10166,10016,11038,10318,10953,10518,10167,10358,10406,10439,10781,10879,10448,10617,10832,10743,10603,10669,11031,10666,10694,10634,10373,10504,10516,10486,10324,10526,10703,10996,10874,10643,10426,11193,11597,11943,11808,11519,10813,11434,11656,11764,11915,12389,12137,12131,12213,12241,11478,11991,12459,12256,11967,12002,11735,11720,11775,12241,12656,13198,11918,12127,12428,12706,12342,12468,12988,12337,12167,12308,12898,12401,12935,12984,13095,13171,13357,13217,12829,12587,12001,12596,12659,12622,12592,12648,12978,13031,12926,13167,13129,13619,13644,13618,14256,14012,13890,13782,13687,13603,13534,13477,13431,13399,13378,13369,13371,13384,13414,13442,13471,13502,13535,13566,13598,13631,13665,13700,13734,13743,13758,13767,13776,13784,13792,13796,13799,13800,13799,13796,13788,13780,13943,14088,14215,14324,14415,14487,14541,14576,14592,14588,14564,14523,14464,14407,14358,14316,14279,14248,14222,14200,14183,14169,14156,14145,14119,14111,14105,14101,14100,14100,14104,14109,14116,14125,14133,14143,14144,14144,14145,14146,14148,14150,14153,14157,14162,14166,14170
"220","212","          Spectator sports","DSPERX0",10250,11375,11687,9558,11256,11373,11784,12101,12184,12295,12322,12297,12107,12072,12075,12172,12224,12277,19226,14627,12472,12525,12604,12697,12767,12840,12917,12998,13084,13173,13266,13364,13468,13573,13682,13791,13905,14004,14090,14166,14229,14281,14318,14344,14355,14353,14336,14303,14260,14222,14193,14176,14169,14173,14187,14212,14246,14289,14343,14401,14472,14534,14587,14635,14672,14702,14724,14738,14743,14739,14726,14702,14669,14642,14625,14617,14616,14624,14641,14667,11257,14808,14897,15005,14947,15014,15078,15145,15213,15283,15352,15423,15495,15566,15638,15707,15777,15841,15903,15963,16020,16082,16142,16200,16253,16305,16352,16396,16412,16448,16483,16520,16556,16589,16622,16654,16687,16033,16058,16066,16068,16066,16073,16084,16104,16140,16159,16187,16219,16978,17013,17054,17019,16998,16988,16990,17006,17035,17078,17133,17203,17283,17376,17484,17603,17708,17798,17877,17943,17997,18039,18067,18082,18083,18067,18036,17969,17927,17891,17858,17832,17811,17796,17786,17782,17783,17787,17795,17776,17756,17736,17717,17697,17679,17662,17645,17630,17613,17596
"221","213","        Museums and libraries","DMUSRX0",3620,3717,3730,3780,3745,3767,3770,3773,3735,3730,3705,3664,3708,3654,3627,3602,3587,3568,3604,3598,3603,3643,3637,3624,3572,3566,3590,3592,3624,3633,3648,3622,3693,3713,3782,3800,3853,3857,3864,3878,3902,3975,4013,4037,4061,4081,4130,4179,4193,4187,4197,4199,4161,4146,4172,4209,4215,4258,4309,4365,4430,4498,4529,4575,4629,4619,4612,4579,4562,4553,4545,4534,4522,4526,4553,4540,4619,4660,4760,4757,4761,4781,4795,4915,5001,5160,5226,5265,5369,5387,5422,5443,5507,5511,5510,5527,5520,5542,5550,5599,5495,5497,5493,5503,5502,5567,5596,5593,5602,5579,5615,5575,5683,5730,5783,5836,5846,5804,5785,5773,5762,5801,5899,5939,5891,5814,5799,5825,5890,5964,6025,6053,6063,6088,6113,6145,6182,6188,6257,6285,6315,6330,6358,6367,6367,6445,6454,6480,6507,6569,6576,6666,6654,6608,6557,6537,6508,6523,6516,6567,6568,6596,6559,6485,6424,6455,6417,6454,6479,6378,6348,6494,6462,6293,6238,6178,6238,6220,6184
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",66338,67059,67571,67661,67853,68110,68324,68392,68479,68753,69088,69113,69024,69006,69104,69105,69193,69249,68833,68998,69024,69154,69252,69256,68990,68867,69059,69114,69204,69319,69156,69273,69312,69772,69938,70423,70499,70701,70965,71355,71752,72186,72557,73015,73500,73835,74283,74716,75281,75717,76130,76455,76788,77207,77618,78095,78542,79022,78610,78879,79351,79669,80005,80183,80409,80515,80546,80747,80979,81163,81275,81769,82207,82644,81973,81273,80519,80391,80212,80516,82942,81114,81249,80863,79893,79284,79172,79021,78962,78637,78340,78701,78810,78689,78782,78912,79208,79418,79542,79697,80103,80625,81063,81588,82093,82730,83455,83840,84353,84962,85318,85973,86284,86272,86108,86341,86699,87159,87546,87810,87946,87697,87812,87606,87437,86367,86430,87463,87247,87181,86938,86675,86485,86544,86839,87389,87911,88401,88858,89470,90241,91177,91952,92567,93014,93492,94015,94581,94862,94849,94530,94445,94589,94954,95305,95633,95916,96131,96258,96291,96407,96606,96888,96859,96508,95823,95654,95983,96712,97272,97663,97146,96873,96848,96834,96898,97041,97261,97480
"223","215","        Cable and satellite television and radio services","DCTVRX0",38939,39523,39880,40036,40216,40464,40706,40797,40905,41227,41722,41965,42188,42347,42567,42602,42794,42926,42526,42817,42938,43124,43371,43553,43372,43324,43614,43708,43813,43916,43664,43705,43627,44009,44026,44380,44232,44242,44326,44549,44781,45064,45277,45593,45947,46139,46462,46778,47245,47576,47894,48114,48344,48682,49016,49427,49817,50254,49719,49952,50416,50724,51058,51225,51459,51567,51609,51846,52129,52378,52558,53162,53720,54281,53653,52999,52287,52244,52146,52562,52976,53371,53630,53345,52525,51947,51880,51755,51703,51352,51005,51335,51392,51201,51220,51265,51470,51581,51601,51646,51942,52335,52643,53038,53407,53906,54493,54726,55116,55610,55879,56481,56770,56771,56651,56965,57440,58049,58615,59089,59462,59432,59753,59738,59740,58837,59059,60235,60143,60190,60053,59883,59701,59753,60035,60551,61025,61452,61831,62355,63028,63852,64507,64991,65291,65657,66093,66593,66835,66809,66505,66453,66649,67091,67540,67990,68443,68796,69045,69190,69401,69680,70028,70055,69750,69105,68960,69295,70056,70652,71079,70607,70377,70388,70410,70507,70679,70928,71178
"224","216","        Photo processing","DFDVRX0",6340,6370,6401,6401,6415,6428,6441,6453,6466,6471,6486,6504,6539,6554,6565,6561,6563,6563,6560,6557,6552,6564,6545,6512,6515,6517,6520,6524,6527,6530,6534,6538,6542,6546,6549,6551,6553,6555,6557,6561,6566,6571,6578,6586,6594,6602,6611,6620,6630,6635,6638,6638,6635,6629,6621,6609,6594,6576,6554,6528,6499,6469,6439,6411,6382,6353,6325,6296,6268,6239,6210,6181,6151,6123,6097,6073,6051,6031,6013,5998,5984,5972,5962,5953,5947,5939,5930,5921,5912,5902,5892,5881,5870,5859,5846,5832,5817,5800,5780,5759,5737,5715,5692,5667,5641,5612,5582,5549,5508,5467,5423,5374,5320,5263,5200,5133,5062,4988,4911,4830,4747,4659,4567,4471,4373,4270,4166,4060,3952,3841,3728,3612,3503,3413,3336,3273,3221,3180,3152,3133,3124,3125,3136,3156,3186,3210,3228,3240,3246,3245,3238,3225,3206,3180,3147,3109,3060,3020,2983,2951,2924,2900,2881,2865,2853,2845,2840,2839,2817,2796,2775,2754,2733,2713,2693,2673,2653,2634,2614
"225","217","        Photo studios","DPICRX0",7648,7728,7795,7763,7774,7780,7785,7783,7776,7773,7752,7722,7664,7627,7597,7577,7549,7520,7487,7453,7419,7390,7347,7296,7162,7048,6954,6878,6820,6778,6753,6745,6752,6775,6814,6867,6937,7000,7055,7104,7146,7179,7205,7222,7231,7231,7222,7204,7179,7154,7132,7116,7102,7091,7084,7080,7079,7081,7086,7092,7102,7110,7117,7124,7129,7134,7139,7142,7145,7147,7147,7146,7143,7136,7126,7111,7093,7070,7045,7015,6982,6942,6900,6855,6805,6761,6722,6689,6663,6643,6629,6620,6618,6622,6631,6644,6665,6682,6698,6713,6726,6741,6755,6767,6777,6786,6792,6797,6790,6797,6808,6825,6847,6873,6905,6941,6983,7029,7081,7137,7200,7253,7294,7327,7351,7364,7367,7360,7344,7317,7278,7229,7253,7277,7301,7327,7353,7381,7411,7440,7471,7503,7534,7567,7600,7629,7654,7676,7696,7712,7725,7735,7742,7745,7744,7739,7720,7712,7705,7699,7694,7691,7690,7691,7693,7696,7699,7704,7701,7698,7696,7693,7690,7688,7687,7685,7685,7683,7682
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",4903,4927,4957,4979,4981,5005,5002,4997,5005,5015,5000,4929,4862,4825,4814,4808,4792,4790,4771,4752,4731,4718,4701,4678,4678,4684,4692,4707,4727,4750,4781,4816,4857,4905,4957,5019,5086,5150,5212,5273,5331,5386,5441,5491,5537,5580,5622,5659,5695,5735,5778,5828,5884,5944,6009,6080,6155,6234,6320,6407,6502,6589,6670,6745,6807,6865,6910,6946,6971,6989,6996,6993,6980,6971,6969,6966,6970,6977,6990,7006,7031,7061,7095,7140,7187,7231,7267,7295,7321,7341,7362,7373,7374,7366,7351,7330,7298,7282,7275,7278,7292,7324,7360,7407,7467,7538,7620,7717,7829,7923,8006,8078,8134,8175,8204,8219,8217,8202,8174,8131,8072,8027,7993,7969,7955,7944,7938,7944,7963,7992,8030,8074,8140,8200,8250,8304,8357,8412,8465,8517,8564,8612,8660,8707,8759,8801,8843,8883,8923,8962,9000,9038,9074,9110,9146,9180,9214,9243,9269,9291,9309,9323,9333,9339,9341,9340,9334,9325,9356,9385,9415,9446,9476,9507,9539,9571,9604,9637,9669
"227","219","        Video media rental","DVIDRX0",7244,7296,7338,7320,7327,7328,7324,7316,7302,7298,7264,7215,7103,7050,7017,7020,7005,6992,6980,6971,6965,6969,6956,6939,6962,6984,7008,7033,7059,7086,7113,7143,7173,7204,7234,7265,7298,7333,7372,7419,7473,7529,7592,7659,7731,7809,7892,7980,8071,8157,8231,8299,8359,8409,8448,8478,8498,8508,8506,8492,8468,8442,8416,8388,8364,8339,8315,8292,8269,8240,8215,8189,8162,8131,8097,8060,8021,7978,7932,7884,9615,7781,7706,7613,7453,7405,7372,7355,7354,7368,7399,7446,7506,7579,7666,7767,7884,7997,8105,8213,8319,8425,8529,8629,8724,8818,8907,8990,9056,9115,9155,9176,9178,9158,9118,9057,8977,8877,8756,8617,8460,8323,8204,8102,8019,7952,7902,7866,7847,7842,7851,7875,7886,7897,7910,7925,7942,7961,7981,8004,8029,8054,8081,8111,8143,8159,8161,8149,8125,8086,8032,7967,7890,7799,7696,7582,7445,7328,7224,7132,7053,6984,6926,6880,6846,6823,6808,6803,6760,6718,6676,6634,6592,6552,6511,6472,6432,6393,6354
"228","220","      Gambling (91)","DGAMRX0",55670,55379,55652,55870,56935,58217,57627,59429,59009,59689,61110,60386,59668,60260,61813,61172,61007,61895,62833,63090,64037,64503,64120,64894,64842,66892,65242,66580,67417,66046,66295,67662,65472,66415,66118,66272,67790,66118,66501,66353,66304,65744,67067,66842,66317,67557,68126,68554,68105,69348,70388,71764,71387,71947,73503,73866,76237,75802,77880,76463,74789,76180,77931,77209,76243,76458,77617,77404,77067,77495,77385,73573,78122,75647,78836,76790,78335,76012,77232,78019,75521,76235,76965,78698,78352,79351,77837,81140,79772,77759,80486,80713,81943,82075,80837,84458,82923,80445,83291,83792,85452,86340,87140,87644,87520,88409,88714,89028,90679,93027,93127,92349,92384,91866,91625,93504,94278,93683,93481,93749,92963,95640,96934,94903,97261,95809,96434,96015,94350,96510,96800,94022,100938,99170,99897,99400,99460,97794,98907,100859,100351,101225,105752,103694,102451,102026,103108,101724,102233,102334,106011,102596,103020,105740,102757,104583,102467,103333,104078,105743,102326,104967,105086,103355,101538,101110,101896,101521,102878,101534,101784,102028,101655,99386,100724,100329,100288,98045,95759
