"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"40","32","    To the rest of the world (net)","B070RC1",1,1.2,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.3,2.5,1.4,1.4,1.4,1.3,1.3,1.2,1.5,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.6,1.6,1.8,1.5,1.5,1.7,2.1,1.9,1.9,2,2.1,5.2,5.4,5.7,6,6.4,6.8,6.9,6.9,6.4,6.9,7.3,7.4,7.6,7.9,7.8,8.2,8.4,8.2,8.5,8.2,8.9,8.9,9.2,9.7,9.5,10,10.4,10.3,10.7,10.7,10.5,11.2,11.1,11.4,11.4,12.2,12.1,11.8,12.5,12.5,13.8,13.8,14.1,14.7,11.5,12.6,19.3,14.5,16.3,16.7,17.3,18,18.5,18.9,19.1,19.3,18.9,18.9,20.2,23,21.4,22.7,22.9,23.5,25.1,25.1,25.6,26.8,26.9,28.7,30.4,32.7,31.4,32.8,32.5,32,35,34.6,34.4,34.5,37.4,38.1,38.8,38,40,39.8,40.9,41.8,40.5,41.3,38.9,43.9,43.5,44.1,44,42.7,48.9,48.2,47.6,48.7,46.8,52.2,52.7,54.8,57.6,58.6,60,61.2,63.2,66.9,67.3,61.1,65.4,64.6,66.3,69.5,70.7,71
"41","33","Equals: Personal saving","A071RC1",44.6,47.5,58.6,59.1,59.3,69.5,74.4,74.6,77.4,83.5,81.9,78.8,74.9,68.5,74.7,91.8,88.5,100,103.7,119.5,116.7,107.8,110.1,122.1,110.9,149,120.3,123.6,122.1,123.4,124.9,120.9,109.5,119.8,130.4,141.6,144.4,134.9,143.5,146.8,160.5,153.4,151.3,164.6,173.6,191.3,199.1,221.3,208.3,210.5,253.2,275,265.6,274.6,272.1,243.4,242,216.7,216,233.1,274.3,288.3,313.9,308.5,257,290.3,220.4,246.5,261.3,266.8,236,221.6,253.5,179.7,207.9,252.6,245.3,258.1,263.9,259.2,290.9,260.5,248.1,260.4,266.6,284.6,275.2,280.4,303.3,307.8,304.4,337.3,343.5,357.7,333,358.1,268.6,303.4,268.1,301.4,229.5,278.7,276.2,298.3,327.3,281,273.3,263.4,277.2,277,291.5,278.9,276.3,294.7,266.3,284.4,370.4,355.4,342.9,297.2,286.5,199.9,166,178.7,219.9,226.5,229,177,208.2,161.9,323,126.7,313.7,321.4,247,246.7,249.9,294.5,306.3,308.3,275.5,315.4,299.1,325,141.8,117,110.2,141.8,211.7,245.6,227.7,254.8,240.6,204.8,189.7,223.7,289.3,537.7,396.7,568,588.2,793.5,623.4,616,621.1,707.1
"42","34","  Personal saving as a percentage of disposable personal income","A072RC1",6.9,7.2,8.6,8.5,8.4,9.5,9.9,9.9,10,10.5,10.1,9.6,9,8.1,8.5,10,9.4,10.4,10.5,11.7,11.3,10.2,10.1,11,9.8,12.5,10,10,9.7,9.6,9.5,9,8,8.5,9,9.4,9.4,8.5,8.8,8.8,9.3,8.7,8.4,8.8,9,9.8,9.9,10.5,9.7,9.6,11.1,11.9,11.3,11.5,11.2,9.8,9.6,8.5,8.2,8.6,9.8,10.1,10.7,10.4,8.6,9.4,7.1,7.8,8.2,8.2,7.2,6.7,7.5,5.3,6,7.1,6.8,7,7,6.8,7.4,6.6,6.2,6.4,6.4,6.7,6.4,6.5,7,7,6.8,7.4,7.4,7.6,7,7.4,5.6,6.2,5.4,6,4.6,5.4,5.3,5.6,6.1,5.2,5,4.8,4.9,4.8,5,4.7,4.6,4.9,4.4,4.6,5.8,5.5,5.2,4.5,4.3,3,2.4,2.6,3.1,3.1,3.1,2.4,2.8,2.1,4.2,1.6,4,4,3.1,3.1,3.1,3.5,3.6,3.6,3.2,3.6,3.3,3.6,1.6,1.3,1.2,1.5,2.2,2.5,2.3,2.5,2.3,2,1.8,2.1,2.7,4.8,3.6,5.2,5.4,7.2,5.6,5.5,5.5,6.2
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","35","  Personal income excluding current transfer receipts, billions of chained (2005) dollars \3\","W875RX1",3113.5,3149.3,3194.2,3214.3,3215.4,3228.6,3247.7,3224.1,3264.4,3290.6,3311.1,3351.1,3415.8,3458.3,3524.9,3630.8,3657.1,3692.7,3721,3773.8,3705.7,3666,3671.5,3639.1,3588.6,3590.7,3630.8,3678.1,3733.1,3790.4,3825.6,3866.8,3881.4,3943.7,3996.3,4095.9,4119.4,4190.2,4234.5,4285.3,4332.2,4309.3,4325,4366.9,4352.7,4296.1,4291.6,4407.1,4407.5,4423.7,4510.9,4506,4500.4,4527.6,4498.3,4497.3,4517.9,4556.2,4608.8,4715.7,4818.2,4911.2,5007.6,5061.6,5092.7,5115.6,5130.1,5190.7,5228,5283.2,5316.3,5343.6,5359.6,5389.9,5447.1,5547.1,5580.8,5620.8,5668.1,5724.1,5804.9,5790.2,5821.2,5861.3,5879.4,5919.6,5919.1,5855.5,5814,5839.7,5846.2,5859.9,5901.5,5949,5977.4,6090.1,5945.4,6070.8,6087,6195.4,6150.9,6284.2,6324.8,6398.1,6433.1,6450.3,6498.7,6566,6640,6734.7,6803.8,6865.1,6952.3,7021.8,7124.8,7247.2,7431.2,7560,7659,7730.4,7771.6,7804.7,7868.3,8015.4,8224.3,8299.8,8388.9,8398.3,8458.5,8406.8,8398.6,8381.1,8405.5,8405,8368.8,8371.3,8366,8477.5,8502.6,8626.6,8627.1,8717.5,8812.5,8947.7,8868.4,8936.9,9016.7,9086.4,9290.6,9366.1,9404.7,9557.5,9599.3,9638.5,9672.7,9715.5,9733.1,9640.7,9578.6,9602.9,9298.7,9230.2,9128.7,9109.7,9122.1,9198.9
"45",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","36","    Total, billions of chained (2005) dollars \3\","A067RX1",2923.4,2952.9,3012.9,3034.9,3050.1,3103.5,3145.4,3135.1,3197.3,3245.3,3259.7,3294.2,3314.9,3346.1,3414.6,3550.5,3590.7,3626.2,3644.4,3688.9,3632.3,3601.1,3612.4,3596,3581.9,3749.3,3698.6,3736,3791,3822.2,3856.7,3884.4,3887.5,3931.8,3990.8,4071.2,4096.4,4143.4,4177.1,4209.8,4255.9,4226.1,4250.3,4284.3,4296.2,4236.1,4279.7,4368.1,4358.1,4358.6,4455.4,4464.4,4469.6,4500.8,4520.6,4536.4,4572.2,4605.5,4674.7,4771.1,4875.4,4959.4,5036.6,5084.5,5072,5172.7,5140.7,5193.9,5255.8,5315.5,5343.3,5346.5,5379.4,5321,5416.2,5493.1,5562.1,5614.3,5657.5,5708.5,5773.4,5749.8,5787,5831.3,5875.1,5913.9,5918.1,5878.2,5896.3,5941.1,5953.6,5992.4,6082.9,6129.5,6160.6,6248.2,6156.5,6252.3,6265.7,6358.1,6332.6,6440.6,6487.9,6574,6616.6,6617.2,6666.8,6706.2,6777.7,6850.6,6908.9,6946.8,7008.9,7061.5,7142.4,7241.5,7406.2,7512,7591,7646.5,7698.4,7716,7765.9,7887.7,8053.4,8135.9,8222.3,8234.6,8296.5,8273.7,8484.5,8385.5,8611.6,8658.9,8629.2,8649.6,8681.3,8812.5,8935.4,8986.4,9025.9,9115,9175.9,9303.4,9189.6,9253,9308,9358.7,9533.8,9617.3,9662.5,9788.8,9832.1,9845.9,9882.8,9936.1,9971.4,10192.8,9970.8,10036.3,10046.9,10193,10079.7,10080.4,10121.8,10231.1
"47",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","37","      Current dollars","A229RC0",3211,3277,3376,3430,3478,3567,3638,3661,3757,3846,3889,3942,3999,4050,4159,4348,4442,4562,4657,4799,4856,4940,5076,5168,5233,5532,5543,5678,5813,5898,6026,6149,6250,6414,6590,6800,6939,7145,7309,7483,7688,7822,8037,8272,8519,8582,8846,9227,9414,9551,9896,10041,10158,10304,10484,10612,10766,10921,11204,11485,11840,12136,12391,12556,12636,12955,12923,13128,13353,13485,13622,13698,13937,13879,14238,14529,14807,15079,15342,15591,15927,16035,16182,16391,16727,16966,17135,17184,17294,17474,17582,17775,18131,18335,18481,18794,18553,18891,18933,19255,19202,19576,19817,20114,20299,20362,20534,20682,20972,21275,21485,21683,21932,22092,22335,22656,23123,23443,23695,23870,24046,24173,24379,24823,25506,25817,26170,26282,26602,26591,27200,26827,27552,27856,27829,27957,28201,28585,29099,29330,29646,30093,30405,31001,30740,31080,31538,31909,32572,33031,33341,33680,34081,34344,34579,35042,35432,36556,36060,35677,35497,36115,35888,36049,36313,36638
"49","38","      Chained (2005) dollars","A229RX0",14476,14588,14843,14907,14945,15160,15312,15209,15464,15651,15672,15789,15850,15962,16246,16848,17002,17132,17175,17343,17041,16859,16869,16749,16650,17386,17100,17229,17445,17551,17664,17744,17717,17875,18093,18405,18476,18640,18737,18829,18987,18805,18855,18947,18947,18629,18765,19101,19018,18978,19346,19334,19316,19408,19443,19463,19577,19679,19926,20289,20693,21007,21282,21433,21340,21718,21528,21697,21912,22114,22175,22135,22228,21940,22278,22538,22776,22942,23059,23209,23425,23277,23363,23478,23601,23683,23616,23374,23374,23477,23443,23515,23800,23902,23935,24192,23767,24063,24033,24310,24147,24487,24588,24838,24932,24864,24969,25040,25244,25443,25576,25635,25796,25915,26125,26405,26937,27247,27447,27565,27682,27669,27760,28111,28629,28850,29075,29039,29188,29037,29696,29274,29996,30092,29912,29908,29955,30339,30685,30786,30861,31097,31227,31582,31130,31278,31385,31477,31997,32205,32272,32606,32674,32644,32681,32775,32821,33480,32672,32810,32780,33191,32746,32673,32744,33033
"50","39","  Population (midperiod, thousands)","B230RC0",201955,202419,202986,203584,204086,204721,205419,206130,206763,207362,208000,208642,209142,209637,210181,210737,211192,211663,212191,212708,213144,213602,214147,214700,215135,215652,216289,216848,217314,217776,218338,218917,219427,219956,220573,221201,221719,222281,222933,223583,224152,224737,225418,226117,226754,227389,228070,228689,229155,229674,230301,230903,231395,231906,232498,233074,233546,234028,234603,235153,235605,236082,236657,237232,237673,238176,238789,239387,239861,240368,240962,241539,242009,242520,243120,243721,244208,244716,245354,245966,246460,247017,247698,248374,248936,249711,250595,251482,252258,253063,253965,254835,255585,256439,257386,258277,259039,259826,260714,261547,262250,263020,263870,264678,265388,266142,267000,267820,268487,269251,270128,270991,271709,272487,273391,274246,274950,275703,276564,277400,278103,278864,279751,280592,281304,282007,282792,283570,284246,284939,285706,286451,287092,287746,288488,289204,289815,290467,291197,291899,292471,293114,293845,294577,295198,295826,296575,297316,297959,298625,299411,300213,300913,301617,302406,303166,303810,304445,305177,305890,306496,307101,307815,308521,309120,309723
"51",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","40","    Disposable personal income, current dollars","A067RP1",4.7,9.5,13.8,7.8,6.8,12,9.7,3.9,12.3,11,5.8,6.9,6.9,6.2,12.3,20.8,9.8,12.3,9.7,13.9,5.7,8,12.6,8.5,6,26,2,11.3,10.8,6.9,10.1,9.6,7.8,12,12.7,14.6,9.5,13.6,10.8,11.2,12.5,8.3,12.8,13.6,13.8,4.1,14.3,19.6,9.3,6.9,16.5,7.1,5.6,6.8,8.3,6,6.8,6.8,11.9,11.4,13.8,11.3,9.7,6.5,3.3,11.4,0.1,7.5,7.9,4.9,5.2,3.2,8,-0.8,11.9,9.5,8.8,8.4,8.3,7.7,9.8,3.7,4.9,6.4,9.4,7.2,5.5,2.6,3.8,5.6,4,5.9,9.5,6,4.8,8.4,-3.9,8.8,2.3,8.3,0,9.3,6.4,7.4,4.9,2.4,4.8,4.2,6.8,7.1,5.4,5.1,5.8,4.1,5.8,7.2,9.6,6.8,5.7,4.2,4,3.2,4.8,8.8,12.6,6,6.8,2.8,6,0.8,10.7,-4.4,12.3,5.4,0.6,2.9,4.4,6.5,8.5,4.2,5.2,7.1,5.3,9.2,-2.5,5.4,7.1,5.8,9.5,6.7,4.9,5.3,5.8,4.1,3.9,6.5,5.4,14.3,-4.4,-3.3,-1.2,8,-1.6,2.7,3.8,4.4
"53","41","    Disposable personal income, chained (2005) dollars","A067RL1",0.7,4.1,8.4,2.9,2,7.2,5.5,-1.3,8.2,6.1,1.8,4.3,2.5,3.8,8.4,16.9,4.6,4,2,5,-6,-3.4,1.3,-1.8,-1.6,20,-5.3,4.1,6,3.3,3.7,2.9,0.3,4.6,6.1,8.3,2.5,4.7,3.3,3.2,4.5,-2.8,2.3,3.2,1.1,-5.5,4.2,8.5,-0.9,0,9.2,0.8,0.5,2.8,1.8,1.4,3.2,2.9,6.1,8.5,9,7.1,6.4,3.9,-1,8.2,-2.5,4.2,4.9,4.6,2.1,0.2,2.5,-4.3,7.3,5.8,5.1,3.8,3.1,3.7,4.6,-1.6,2.6,3.1,3,2.7,0.3,-2.7,1.2,3.1,0.8,2.6,6.2,3.1,2,5.8,-5.7,6.4,0.9,6,-1.6,7,3,5.4,2.6,0,3,2.4,4.3,4.4,3.4,2.2,3.6,3,4.7,5.7,9.4,5.8,4.3,3,2.7,0.9,2.6,6.4,8.7,4.2,4.3,0.6,3,-1.1,10.6,-4.6,11.2,2.2,-1.4,0.9,1.5,6.2,5.7,2.3,1.8,4,2.7,5.7,-4.8,2.8,2.4,2.2,7.7,3.6,1.9,5.3,1.8,0.6,1.5,2.2,1.4,9.2,-8.4,2.7,0.4,5.9,-4.4,0,1.7,4.4
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
