"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199"
"63","55","  Food and beverage stores","KS4450",32215,32250,32361,32300,32485,32492,32427,32769,32892,32727,32888,32672,32873,32743,32958,33234,33198,33479,33648,33558,33440,33441,33788,33774,34116,34166,34304,34202,34562,34745,34899,35113,35335,35365,35396,35536,35475,35502,35514,35483,35610,34977,34872,34897,35085,35058,34749,34898,35005,35125,35136,35196,35193,35299,35266,35268,35303,35477,35498,35351,35233,35307,35311,35298,35314,35316,35193,35354,35756,35027,35149,35524,35242,35226,35294,35004,34744,34499,34670,34628,34864,34398,34247,34245,34326,34244,34347,34393,34570,34584,34689,34653,34676,34629,34764,34651,34884,34845,34734,34761,34723,34784,34657,34752,34304,34564,34627,34547,34735,34889,34979,35086,35236,35277,35327,35339,35444,35447,35427,35457,35358,35192,35311,34942,35360,35663,35811,36168,36198,36405,36352,36469,36341,36384,36341,36480,36441,36453,36318,36287,36301,36435,36278,36114,36517,36590,36646,36599,36630,36423,36502,36297,36345,36396,36422,35817,36116,36043,36195,35956,35921,35998,35991,35962,36070,36050,36093,36228,36258,36044,35975,36360,36394,36473,36644,36771,36881,36870,37007,37114,37258,37493,37708,37542,37627,37702,37775,37646,37668,37474,37523,37497,37686,37818,37622,37656
"64","56","  Clothing and clothing accessories stores","KS4480",27178,27491,26861,27642,27760,27648,27749,27577,27985,27963,27910,28164,28319,28250,28691,28841,28711,29045,29129,29216,29579,29458,29489,29508,29833,30101,29907,30033,30173,30431,30168,30114,29887,30126,30421,30991,30438,31092,31554,31840,32426,32240,32666,33136,33145,33748,33786,34054,33760,33913,33696,33524,33306,33428,33210,33209,33484,33877,33041,32901,33102,32786,32560,33051,33123,33534,34062,34050,34320,34299,34308,34750,35122,35096,35187,34970,34937,34834,35034,35101,35010,34914,35311,35252,35297,35460,35512,36133,36433,36473,36502,36914,37054,37335,37645,37694,38128,38436,38603,38540,38403,38923,38907,38998,39091,39300,39114,39164,39002,39366,40121,40440,40808,40975,40851,40922,41125,41241,41728,42485,42390,42941,42407,42013,42181,41901,41676,41632,41743,41461,41307,41426,41327,41167,40710,40808,40330,40162,40337,40106,40207,40114,39750,39197,38831,39063,38289,37761,37420,37136,36817,36424,35804,35497,35306,34953,34875,34823,34926,35135,35343,35501,35550,35539,35486,35410,35064,35555,35691,35750,35879,35838,35958,35896,35719,35920,35866,35846,35692,35469,35567,35374,35282,35103,35310,35935,36200,36096,36017,35979,36163,36594,36835,36917,36549,36916
"65","57","  General merchandise stores","KS4520",61222,61767,61489,62130,62133,62331,62251,61771,62015,61593,61439,61742,61796,61719,61695,61723,60758,61652,61984,61967,62302,62322,62227,62123,62127,62315,62913,63390,63480,63475,63634,63898,63996,63664,64623,64935,65209,65475,65034,65089,65393,65704,65338,65437,65485,65962,65878,66013,66322,66387,67344,66983,67458,67530,66935,67871,67491,67489,66766,66175,66011,66270,65712,65531,66075,65624,66524,66681,66606,66577,67449,67641,67568,67333,67786,68738,68068,68036,68326,67794,68506,69145,68477,68652,68926,69392,70187,70245,70399,70976,70778,71230,71325,71576,72542,73177,73230,73371,74617,74510,74659,74603,74224,75091,75169,74824,74922,75387,74903,74379,74827,73620,74374,74496,75367,76007,76093,76789,77058,77026,77182,77451,77267,77369,77572,77398,76804,76771,76569,76768,75816,76829,77247,76861,75307,75758,75444,74904,75011,74563,75108,75211,74752,73716,73181,72818,72993,72520,72187,72232,71847,71365,70957,71295,70976,70704,70139,69839,70610,71109,70984,71181,71669,71725,71745,71659,71657,71837,71670,71864,72884,72435,72597,72505,72171,72583,72332,72291,72183,72949,73242,73179,72697,72905,73599,73141,73360,73279,72744,73555,73465,74255,75983,75732,75537,75836
"66","58","    Department stores","KS45210",43164,43544,43490,43877,43854,44043,43882,43553,43731,43554,43419,43618,43500,43318,43216,43111,42314,42940,43237,43104,43144,42929,42751,42627,42779,42592,42970,43155,43092,43003,42992,42975,42855,42504,43207,43277,43318,43446,42983,42952,43108,43110,42601,42583,42425,42846,42716,42633,42788,42680,43076,42859,42914,42767,42055,42555,42463,41904,41226,40709,40186,40295,39818,39396,39273,39153,39394,39270,39016,38680,39168,39181,38935,38468,38663,39267,38579,38390,38148,37751,38005,38225,37599,37520,37643,37654,37908,37964,38028,38010,37965,38091,37788,38016,38164,38237,38189,38232,39224,38353,38190,38242,38320,38363,38296,38074,37948,38286,37714,37300,37384,37214,37219,36877,37193,37446,37577,37776,38066,38104,38217,38239,37970,38152,38000,38126,37910,37736,37616,37881,37098,37687,37344,37244,36720,36524,36408,35887,35777,35414,35628,35710,35038,34503,33878,33829,33969,33731,33510,33669,33284,33225,33103,33036,32621,32453,32631,32519,32206,32378,32204,32169,32348,32170,31700,31909,32047,31892,31813,31782,32058,31884,31972,31720,31575,31623,31539,31505,31325,31612,31371,31331,30768,30991,30966,30912,30789,30648,30087,30534,30185,30645,30933,31075,31060,31125
"67","59","    Other general merchandise stores","KS45290",17737,17899,17667,17923,17950,17955,18043,17893,17958,17708,17691,17795,17976,18090,18172,18313,18157,18419,18449,18572,18875,19123,19211,19234,19080,19470,19688,19984,20142,20231,20406,20695,20921,20946,21197,21443,21681,21820,21850,21938,22087,22402,22555,22675,22887,22939,22988,23210,23365,23543,24108,23965,24390,24615,24743,25180,24889,25459,25421,25353,25724,25875,25798,26049,26727,26392,27058,27345,27529,27846,28229,28410,28588,28829,29087,29432,29458,29619,30159,30026,30485,30905,30866,31122,31274,31731,32274,32276,32367,32961,32809,33135,33534,33557,34377,34941,35041,35139,35393,36157,36470,36362,35905,36728,36874,36750,36974,37102,37189,37079,37442,36403,37153,37617,38173,38560,38513,39010,38988,38918,38962,39207,39291,39212,39563,39267,38890,39029,38946,38884,38707,39134,39878,39596,38574,39205,39010,38980,39189,39097,39427,39451,39642,39141,39214,38905,38943,38707,38593,38485,38477,38060,37778,38172,38255,38149,37431,37245,38291,38614,38657,38882,39187,39409,39871,39591,39460,39780,39691,39908,40639,40367,40441,40588,40400,40756,40591,40583,40646,41120,41631,41608,41669,41661,42357,41964,42291,42345,42347,42717,42952,43290,44689,44316,44141,44369
"68","60","  Other retail stores","KS44X0",65651,66826,66534,67182,67947,68283,69264,68552,70042,70553,70826,71045,71312,72366,74111,74509,74500,75444,75882,76195,76481,76487,77371,78610,79165,78644,79422,79856,79929,80596,80222,80423,80923,81139,81251,81892,81244,81471,82100,81539,82873,83075,82675,83485,83159,83410,83605,83443,83428,83655,83086,83419,83148,82720,83320,83880,83489,83245,82690,83082,83209,82728,82407,82092,82482,82898,82978,82727,83121,82109,81790,81828,82118,82344,82672,82631,82234,81971,82586,81993,82078,82406,83355,82665,82407,82611,83324,83665,83391,83759,83790,84305,84742,84879,85352,85539,85653,86034,85479,85878,85757,85890,85347,85543,85665,84976,85544,85853,86819,86626,87061,87336,87495,88091,87126,88304,88837,89164,89376,89956,89737,90162,90347,89591,90967,90957,91149,91481,91157,91246,90376,91219,91212,90818,90543,90126,90179,89772,90137,89570,89292,89780,89246,89071,88706,88427,87464,87517,86462,86289,86417,86063,84828,84871,84728,85027,84860,84914,85178,85821,85315,85469,85677,85964,86274,85895,85815,86317,86347,86048,86466,86221,86594,86930,86591,87260,87049,86541,87195,87281,87228,87032,87211,87159,87766,87751,88275,88311,87918,88040,88462,88322,89386,89372,89003,89666
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2005 equals the current-dollar change in inventories for 2005 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 2004 and 2005 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2005) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2005 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
