"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"193","185","Q1CEL1 D           Cellular telephone","Q1CEL10",1143,1270,1411,1517,1582,1714,1866,2108,2466,2783,3086,3316,3372,3811,4310,4401,4633,5093,5657,6057,6237,6834,7642,8201,8768,9468,10155,10607,10793,11106,11678,12546,13541,14322,15492,16982,18806,20515,22522,24735,26635,28849,31441,33823,36933,39562,42211,44518,45512,46703,47074,48312,50163,51897,53221,54084,55614,57839,60196,62408,64260,66765,68628,70862,73402,75147,76897,79860,82826,84070,86252,89107,90957
"194","186","Q1OLC1 D           Local telephone","Q1OLC10",33925,34493,34991,34337,33906,34814,35121,34951,35019,35998,36406,36381,36010,36973,37473,37968,38151,38568,38974,39021,38712,39333,39719,39825,40389,41793,41618,42186,42441,43079,43927,44146,44533,45345,45665,45859,45896,47557,47513,47718,48323,49579,48633,49035,49346,48968,47973,47930,47849,48434,47657,46634,46562,45990,44787,44474,44006,43963,44044,43563,43613,42836,42338,41362,40983,40768,40332,40906,39552,39565,38488,37543,37482
"195","187","Q1LDT1 D         Long distance telephone","Q1LDT10",27223,27333,28030,27482,27684,28533,29857,30545,31612,32471,33797,33875,33494,33605,34338,34180,35029,34711,34879,35007,34995,34919,35510,36500,36697,36652,37274,38275,40459,41755,44221,45691,44919,43884,45060,44076,44210,45755,47491,45708,45461,46291,47124,45076,42632,43213,42998,39488,38434,37385,37715,36613,35495,36767,38392,38724,39383,40372,40824,38232,36508,35399,35142,33820,32208,31560,30358,30009,29077,28414,28128,28261,28271
"196","188","Q1INC1 D           Intrastate toll calls","Q1INC10",9965,10098,10287,10104,10155,10701,11406,11856,11659,11802,11822,12139,11908,12172,12421,12644,12945,12916,13185,13798,13677,13660,14036,14520,14895,14933,14360,14234,14685,14399,14879,15285,15307,14624,15064,14532,14854,14475,14521,13798,14100,13930,14506,13975,13810,13268,13330,12456,12948,11649,11709,10531,10192,10271,10944,10841,10909,10992,11477,10818,9995,9633,9560,9148,8602,8343,8432,8275,7779,7326,7162,7212,7221
"197","189","Q1ITC1 D           Interstate toll calls","Q1ITC10",17388,17358,17875,17504,17656,17948,18561,18795,20092,20820,22147,21899,21746,21591,22076,21697,22246,21963,21881,21448,21548,21492,21730,22255,22112,22038,23133,24207,25913,27419,29379,30444,29669,29298,30037,29574,29392,31285,32963,31897,31362,32360,32617,31099,28818,29947,29668,27027,25467,25736,26007,26099,25321,26518,27469,27909,28504,29417,29371,27432,26548,25801,25618,24710,23652,23270,21943,21756,21336,21147,21034,21115,21115
"198","190","Q1DMS1 C       Domestic service (42)","Q1DMS10",14084,14775,14314,14089,13162,13299,13321,13435,13870,14312,14425,14709,14911,14900,14897,14955,15103,15297,15500,15772,15934,16078,16116,16069,15999,15829,15545,15249,15639,15966,16395,16902,17732,18429,18651,18469,17587,16754,16404,16414,17603,17524,17315,16958,16842,16667,16142,15346,15228,15499,15658,15808,16482,16650,16835,17027,17231,17347,17348,17399,17167,17010,17001,16916,17042,17186,17297,17005,17095,17212,17403,17488,17383
"199","191","Q1DMC1 D         Domestic service, cash","Q1DMC10",12961,13637,13241,13023,12102,12203,12190,12274,12679,13080,13192,13461,13705,13707,13694,13730,13805,13957,14142,14388,14562,14696,14721,14659,14567,14402,14147,13886,14241,14562,14995,15494,16288,16919,17107,16924,16073,15302,14989,15012,16154,16071,15868,15514,15372,15204,14705,13959,13798,14027,14163,14317,14925,15055,15213,15397,15581,15705,15704,15760,15538,15399,15386,15298,15406,15526,15628,15324,15409,15519,15694,15763,15645
"200","192","Q1DMI1 D         Domestic service, in kind","Q1DMI10",1131,1151,1089,1081,1065,1098,1131,1158,1190,1231,1232,1248,1209,1197,1207,1227,1297,1337,1354,1381,1371,1380,1393,1407,1428,1422,1393,1359,1394,1401,1399,1409,1445,1511,1545,1545,1514,1451,1414,1401,1449,1452,1447,1444,1470,1463,1437,1387,1432,1474,1497,1494,1559,1597,1624,1632,1653,1644,1646,1640,1631,1613,1616,1620,1639,1662,1672,1686,1692,1698,1713,1730,1744
"201","193","Q1OPO1 C       Other (43)","Q1OPO10",39549,39694,39948,39445,37819,37108,37108,36920,37376,37513,37679,37672,37992,38415,38870,39670,40870,41841,42905,43756,43784,44102,44588,44673,44630,45226,45829,46066,46472,46917,47579,48513,49634,50219,50839,51611,52158,52654,52979,53322,53802,53689,53437,53376,52117,51811,51601,51438,50623,50429,49375,49071,48728,48546,48747,49401,50269,50857,51652,52454,52673,53113,53372,53237,53183,53045,52840,52828,52835,52929,52753,52743,52746
"202","194","Q1MSE1 D         Moving and storage","Q1MSE10",8890,8744,8638,8390,7936,7699,7694,7693,7854,7916,7948,7846,8054,8192,8360,8584,8933,9286,9676,9946,10198,10371,10615,10612,10464,10747,11072,11304,11885,12126,12345,12524,12546,12680,12881,13013,13303,13467,13640,13681,13802,13716,13526,13234,12624,12309,12094,11995,11120,10683,10498,10537,10575,10661,10893,11280,11807,12299,12702,13001,13184,13294,13331,13286,13174,13083,13036,13029,12995,12936,12882,12830,12774
"203","195","Q1FIN1 D         Household insurance","Q1FIN10",4057,4036,4014,3990,3972,3940,3903,3861,3809,3765,3726,3692,3654,3642,3644,3657,3713,3722,3715,3693,3611,3592,3591,3605,3703,3697,3658,3590,3393,3356,3375,3452,3683,3788,3862,3900,3851,3847,3842,3838,3830,3832,3838,3842,3868,3840,3780,3688,3541,3418,3295,3178,3006,2891,2881,2987,3141,3249,3311,3322,3284,3232,3169,3094,3005,2930,2881,2860,2820,2761,2701,2638,2572
"204","196","Q1FIP1 D           Household insurance premiums","Q1FIP10",7438,7499,7542,7566,7526,7544,7578,7629,7724,7797,7871,7945,8010,8082,8155,8229,8303,8376,8448,8519,8588,8653,8716,8774,8836,8883,8922,8955,8961,9004,9064,9141,9259,9353,9445,9533,9609,9696,9788,9885,10000,10104,10212,10328,10422,10604,10827,11079,11352,11601,11843,12069,12187,12337,12581,12927,13301,13613,13860,14032,14138,14284,14487,14746,15036,15279,15458,15568,15718,15909,16109,16314,16514
"205","197","Q1FIB1 D           Less: Household insurance benefits paid","Q1FIB10",3382,3463,3528,3576,3554,3604,3675,3768,3915,4032,4146,4253,4355,4440,4512,4572,4590,4654,4733,4826,4977,5061,5125,5169,5133,5186,5264,5365,5568,5648,5688,5689,5576,5565,5582,5633,5758,5849,5946,6046,6170,6272,6374,6485,6554,6765,7047,7391,7811,8183,8547,8891,9181,9446,9700,9940,10160,10364,10549,10710,10854,11051,11318,11651,12032,12349,12577,12708,12898,13148,13408,13675,13942
"206","198","Q1RCL1 D         Rug and furniture cleaning","Q1RCL10",1054,1087,1107,1114,1100,1104,1112,1126,1157,1176,1192,1195,1277,1323,1371,1421,1468,1518,1574,1633,1698,1758,1818,1878,1939,1996,2052,2107,2169,2210,2242,2263,2323,2355,2389,2426,2495,2522,2554,2589,2639,2668,2701,2737,2691,2696,2705,2717,2723,2734,2747,2761,2777,2790,2800,2806,2808,2829,2878,2955,3055,3146,3221,3276,3312,3341,3363,3379,3398,3420,3444,3468,3491
"207","199","Q1ERE1 D         Electrical repair","Q1ERE10",2913,2891,3024,2971,2963,3037,3167,3102,3098,3106,3042,3010,3018,3039,3043,3087,3132,3190,3257,3373,3577,3598,3580,3495,3369,3413,3482,3526,3612,3651,3655,3652,3685,3727,3740,3676,3741,3775,3754,3754,3746,3644,3578,3594,3400,3401,3446,3611,3483,3498,3509,3514,3508,3493,3468,3430,3371,3330,3319,3340,3380,3400,3389,3345,3275,3219,3184,3171,3145,3108,3071,3036,3000
"208","200","Q1FRE1 D         Reupholstery and furniture repair","Q1FRE10",2639,2689,2712,2703,2673,2642,2604,2562,2473,2433,2391,2350,2281,2262,2251,2249,2250,2273,2309,2355,2389,2387,2379,2364,2355,2353,2351,2350,2331,2362,2415,2491,2632,2681,2722,2754,2768,2776,2783,2789,2812,2797,2764,2715,2629,2577,2536,2509,2507,2491,2476,2457,2434,2403,2364,2317,2258,2212,2185,2176,2180,2186,2189,2190,2187,2186,2187,2190,2192,2192,2193,2194,2195
"209","201","Q1PST1 D         Postage","Q1PST10",9711,9693,9692,9602,9003,8730,8632,8539,8589,8465,8528,8732,8786,8823,8826,8982,9198,9266,9370,9531,9102,9097,9095,9246,9409,9439,9480,9483,9438,9473,9610,9898,10008,10006,10030,10386,10255,10350,10344,10496,10748,10782,10763,10983,10728,10806,10820,10639,10879,11166,10335,10048,9838,9678,9615,9712,9831,9700,9860,10132,9943,10095,10191,10022,10079,10021,9820,9753,9756,9896,9735,9738,9771
"210","202","Q1MHO1 D         Household operation services, n.e.c.","Q1MHO10",9805,10099,10327,10265,9820,9657,9736,9811,10199,10502,10724,10722,10809,11034,11288,11599,12061,12474,12896,13121,13181,13286,13510,13455,13337,13537,13701,13685,13654,13758,13953,14236,14750,14975,15206,15436,15743,15918,16066,16179,16224,16250,16268,16274,16183,16182,16201,16233,16284,16318,16353,16381,16351,16353,16422,16554,16751,16945,17114,17253,17354,17444,17527,17597,17651,17700,17751,17799,17843,17883,17931,17982,18026
"211","203","Q1TOT1 B   Transportation","Q1TOT10",196294,196690,195874,193902,187946,186510,185095,185820,189228,192065,197496,198009,198286,200677,203560,207315,211931,216326,220514,224740,226928,229223,233411,237538,242268,245629,249008,253097,259429,261875,265143,266337,268431,271781,273263,274536,279251,281870,285458,287042,289897,291854,291560,291705,292917,291484,285892,281584,281919,280961,279106,278954,280670,279881,280687,281182,282339,284334,284960,286611,287217,287552,287774,288691,290220,289457,291038,294079,295975,299159,301710,303781,305377
"212","204","Q1UOS1 C     User-operated transportation","Q1UOS10",152218,153668,152545,149816,145428,143179,142037,142678,146718,150016,152971,155901,156077,157821,160139,162902,166716,169991,173268,176166,178741,181275,185379,188103,191333,194082,196894,200537,205906,208516,211531,212967,213426,215784,217043,217720,221632,224140,227028,228378,230490,231565,231824,232528,234011,232765,230782,228969,225988,224589,222773,221937,222502,221548,221307,221488,221544,222368,223023,224029,224260,225073,225268,226152,227473,226734,228230,229777,231009,234025,236049,237797,239560
"213","205","Q1REP1 C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","Q1REP10",109559,110836,109777,107293,103555,101601,100546,101056,104492,107487,110203,112959,113264,114974,117187,119752,123233,126286,129349,132022,134435,136824,140766,143364,146465,149019,151641,155041,160027,162367,165150,166381,166838,168882,169714,170523,173995,176294,179041,180305,182521,183540,183687,184228,185500,184129,182011,180064,177336,176000,174229,173415,173996,172980,172583,172527,172183,172692,173213,174297,174793,175817,176074,176932,178162,177257,178664,180134,181290,184290,186245,187902,189595
"214","206","Q1ARP1 D         Motor vehicle repair","Q1ARP10",95640,95835,94437,91920,87189,84819,83304,82659,84634,85811,86875,87580,88281,89043,90161,91582,93720,95417,96994,98458,99929,100994,102274,103690,105017,105846,106697,107552,108145,108743,109471,110258,111631,112511,113575,114713,115488,116045,116667,117388,118399,119043,119665,120227,121521,121194,120848,120452,119488,119206,119190,119414,119954,120514,121044,121517,121942,122325,122621,122799,122792,122756,122703,122596,122451,122114,123125,123822,124622,125231,125896,127082,127974
"215","207","Q1RLO1 D         Motor vehicle rental, leasing, and other","Q1RLO10",15775,16769,17039,16993,17777,18093,18471,19534,20966,22740,24341,26302,25950,26871,27944,29070,30395,31723,33169,34349,35278,36550,39084,40235,41942,43597,45300,47746,51981,53675,55683,56127,55261,56409,56191,55876,58530,60255,62369,62911,64122,64497,64021,64000,63978,62935,61157,59594,57812,56742,54945,53874,53910,52249,51261,50690,49856,49971,50196,51163,51704,52852,53189,54241,55752,55147,55539,56362,56717,59356,60763,61227,62079
"216","208","Q1MVR1 D           Motor vehicle rental","Q1MVR10",4304,4320,4359,4416,4537,4582,4597,4580,4450,4414,4401,4430,4707,4888,5095,5319,5589,5716,5792,5810,5625,5652,5749,5927,6342,6584,6797,6979,7050,7182,7301,7398,7386,7550,7644,7645,7618,7663,7699,7708,7995,8144,8289,8424,8534,8512,8101,8350,8018,7888,7805,7782,7803,7881,8054,8326,8714,9050,9281,9395,9404,9417,9456,9517,9598,9689,9791,9902,10007,10107,10212,10319,10423
"217","209","Q1MVL1 D           Motor vehicle leasing","Q1MVL10",4434,5456,5715,5583,6034,6102,6197,6915,7952,9390,10760,12558,12102,12894,13791,14688,15637,16778,18020,19045,20005,21096,23293,24127,25325,26537,27775,29684,32989,34143,35627,35665,34707,35534,35056,34548,36798,38308,40225,40624,41544,41715,41032,40817,40502,39520,38163,36419,35129,34195,32427,31304,31193,29355,28206,27487,26557,26596,26670,27473,27793,28847,29127,30311,32105,31549,32042,32972,33415,36451,38103,38682,39714
"218","210","Q1ALE1 D             Auto leasing","Q1ALE10",3832,4613,4691,4461,4788,4730,4780,5510,6447,7854,9164,10806,10122,10602,11123,11476,11863,12487,13045,13420,13926,14482,15974,16376,16522,16994,17353,18406,20841,21315,22129,21886,20722,20757,20435,20002,20891,21546,22233,22238,22139,22217,21999,22369,23256,22942,22029,21314,20386,19777,18998,18147,18174,17180,16598,16069,15624,15696,15289,15404,15114,14983,14956,15229,15690,15634,15919,16469,16895,18312,19136,19694,20222
"219","211","Q1TLE1 D             Truck leasing","Q1TLE10",559,799,990,1098,1221,1354,1399,1374,1463,1471,1512,1646,1897,2214,2595,3149,3720,4242,4933,5592,6049,6587,7290,7723,8788,9535,10422,11281,12145,12825,13496,13777,13985,14777,14622,14547,15908,16761,17992,18386,19405,19499,19033,18448,17246,16578,16134,15105,14744,14417,13429,13157,13019,12174,11608,11418,10933,10900,11381,12069,12679,13864,14171,15082,16415,15914,16122,16503,16520,18139,18967,18988,19492
"220","212","Q1OAS1 D           Other motor vehicle services","Q1OAS10",8317,8170,8115,8168,8383,8620,8928,9276,9762,10024,10172,10204,10063,9963,9877,9834,9914,9915,9972,10047,10129,10220,10321,10435,10488,10652,10869,11145,11909,12319,12708,13052,13192,13344,13527,13732,14135,14291,14439,14575,14582,14638,14699,14761,14949,14918,14891,14861,14683,14660,14679,14729,14848,14896,14851,14711,14409,14186,14123,14215,14417,14556,14594,14523,14362,14206,14080,13979,13860,13725,13598,13473,13344
"221","213","Q1ATN1 C       Other user-operated transportation (76+77)","Q1ATN10",43205,43315,43320,43226,42732,42518,42483,42592,43066,43250,43387,43452,43313,43299,43356,43513,43792,43969,44136,44326,44464,44581,44699,44802,44910,45093,45270,45502,45869,46129,46346,46551,46553,46868,47298,47164,47608,47825,47977,48068,47971,48029,48136,48297,48505,48636,48779,48916,48668,48607,48566,48545,48532,48586,48731,48956,49327,49631,49763,49710,49482,49321,49272,49321,49441,49562,49684,49797,49899,49994,50112,50237,50343
"222","214","Q1TOL1 C         Bridge, tunnel, ferry, and road tolls","Q1TOL10",3329,3289,3273,3286,3313,3349,3436,3552,3736,3833,3917,3967,4000,4025,4052,4084,4136,4175,4214,4250,4311,4364,4432,4511,4649,4755,4845,4918,4995,5015,5015,4996,4746,4685,4658,4668,4894,4976,5039,5079,5070,5072,5076,5083,4887,4861,4885,4962,4861,4859,4864,4874,4912,4948,4967,4966,5034,5120,5173,5191,5179,5182,5209,5260,5324,5370,5390,5386,5395,5418,5444,5470,5494
"223","215","Q1AIN1 C         Insurance","Q1AIN10",39820,39990,40026,39923,39395,39145,39017,39005,39292,39383,39441,39459,39291,39257,39290,39419,39648,39788,39916,40070,40147,40211,40261,40288,40263,40343,40432,40595,40887,41124,41338,41559,41803,42175,42630,42488,42710,42847,42939,42989,42901,42957,43060,43215,43624,43779,43897,43957,43812,43753,43705,43675,43625,43644,43771,43998,44301,44520,44601,44532,44316,44154,44078,44079,44137,44214,44317,44433,44525,44599,44692,44791,44873
"224","216","Q1PLT1 C     Purchased local transportation","Q1PLT10",10738,10643,10835,11421,10862,10844,10833,10700,10752,10760,10576,10572,10497,10648,10859,11098,11033,11308,11238,11336,11371,11322,11170,11078,11004,10994,11005,10834,10841,10885,11024,11065,11616,11612,11928,12120,12039,12108,12053,12173,12186,12254,12226,12243,12163,12194,12100,11973,11847,11713,11620,11688,11654,11633,11529,11348,11406,11490,11633,11730,11552,11628,11817,11817,11957,12015,12209,12315,12456,12280,12267,12427,12372
"225","217","Q1IMT1 C       Mass transit systems (79)","Q1IMT10",7329,7186,7376,8007,7548,7581,7633,7554,7660,7688,7490,7448,7353,7498,7701,7929,7867,8116,8011,8064,7969,7915,7798,7778,7766,7770,7795,7635,7695,7729,7829,7803,8123,8073,8376,8591,8603,8713,8708,8888,9016,9108,9099,9126,9049,9070,8960,8815,8689,8547,8447,8508,8503,8519,8445,8285,8359,8449,8581,8651,8436,8478,8641,8623,8755,8804,8987,9080,9211,9026,9003,9152,9087
"226","218","Q1TAX1 C       Taxicab (80)","Q1TAX10",3411,3463,3462,3413,3312,3263,3199,3146,3090,3070,3085,3123,3144,3150,3157,3167,3165,3189,3225,3271,3403,3408,3374,3301,3238,3224,3210,3199,3147,3156,3194,3261,3492,3539,3551,3529,3436,3395,3344,3285,3170,3145,3126,3116,3113,3124,3139,3157,3157,3165,3172,3180,3151,3113,3084,3063,3046,3041,3052,3078,3116,3149,3176,3193,3202,3211,3222,3234,3245,3254,3264,3275,3285
"227","219","Q1PIT1 C     Purchased intercity transportation","Q1PIT10",33082,32302,32362,32410,31424,32107,31839,32043,31510,31150,33706,31495,31669,32151,32516,33251,34105,34938,35912,37139,36726,36553,36819,38292,39889,40526,41094,41739,42711,42498,42609,42331,43378,44384,44279,44686,45583,45617,46376,46483,47199,48020,47516,46965,46827,46613,42826,40180,44109,44766,44852,45599,47014,47275,48678,49291,50542,51834,51583,52219,52925,52174,51939,51942,51952,51874,51664,53300,53886,54201,54788,54896,54694
"228","220","Q1IRR1 C       Railway (82)","Q1IRR10",798,810,796,833,877,816,788,729,652,596,583,596,588,580,566,546,556,512,488,496,488,494,485,448,430,447,464,461,469,456,458,458,453,470,471,478,484,470,466,476,492,514,541,524,515,515,530,572,569,543,503,491,496,503,540,553,582,581,523,620,638,564,532,595,578,595,567,631,655,671,639,745,744
"229","221","Q1IBU1 C       Bus (83)","Q1IBU10",1487,1291,1612,1723,1702,1780,1707,1672,1752,1721,1755,1688,1838,1881,1822,1946,1869,1887,2052,2031,2046,2143,2130,2117,1987,2094,2202,2346,2514,2423,2487,2613,2582,2452,2314,2254,2233,2244,2354,2542,2445,2416,2325,2318,2359,2325,2285,2195,2292,2184,2184,2172,2109,2068,2133,2095,2074,2032,1863,1885,1897,1791,1807,1822,1776,1767,1668,1598,1572,1586,1560,1518,1463
"230","222","Q1IAI1 C       Airline (84)","Q1IAI10",25430,24802,24578,24413,23503,24072,23864,24088,23250,22724,24974,22836,23066,23533,23902,24408,25059,25633,26350,27483,27200,26753,26802,28004,29621,30048,30502,31082,31925,31747,31800,31493,32495,33503,33429,33802,34550,34579,35256,35249,36152,37181,36947,36619,36696,36561,32762,30137,33533,34186,34154,34836,36099,36081,37214,37819,38988,40210,40088,40478,41065,40619,40491,39825,39983,39770,39212,39826,40047,40299,40736,40881,40773
"231","223","Q1TRO1 C       Other (85)","Q1TRO10",5242,5308,5299,5384,5309,5387,5434,5501,5863,6165,6420,6466,6231,6190,6251,6378,6649,6938,7049,7146,7009,7196,7447,7759,7872,7958,7946,7872,7825,7890,7883,7792,7862,7963,8072,8159,8324,8332,8303,8215,8099,7902,7706,7521,7310,7273,7222,7163,7647,7811,7952,8062,8319,8602,8779,8838,8953,9116,9254,9366,9468,9372,9287,9756,9704,9804,10231,11181,11517,11551,11765,11687,11664
"232","224","Q1TMD1 B   Medical care","Q1TMD10",780778,793942,805165,810576,813061,818586,827426,838999,851505,861743,868910,872360,875717,875450,878089,879506,882556,885513,888296,892044,900094,904191,908524,912775,913576,920897,923546,931956,932644,939062,947276,952236,966436,968274,972423,975513,977957,983677,992456,1001800,1010733,1021977,1032091,1042451,1053541,1065657,1082692,1099080,1113527,1129864,1144352,1158810,1170454,1177375,1184203,1191041,1199040,1210315,1223253,1233480,1240400,1250309,1264048,1278095,1291176,1298169,1301373,1310460,1323213,1330832,1337999,1352107,1364183
"233","225","Q1PHY1 C     Physicians (47)","Q1PHY10",192222,194067,195746,196921,197327,197431,198150,199293,202895,204911,205216,204210,201791,199245,196881,195489,196142,196314,196617,196938,199105,199760,200477,201160,204047,204706,205255,205673,208733,209791,211077,212615,216898,218168,219371,220500,221065,223104,225613,228530,231272,234733,238775,242565,243360,246605,251815,256923,261846,267154,272477,277619,282053,286158,290165,293999,297174,300344,303779,307417,311099,315192,319275,325100,329624,333719,336809,338801,341243,344215,346361,350076,353683
"234","226","Q1DEN1 C     Dentists (48)","Q1DEN10",53597,53650,53511,53221,52449,52235,52283,52526,53527,54139,54556,54740,54206,54168,54206,54370,54753,55073,55447,55835,56712,56860,56718,56466,56609,56972,57219,57467,57783,58033,58239,58400,58804,59130,59402,59606,59627,59850,60133,60495,61110,61537,62046,62616,63227,63853,64506,65148,65917,66347,66584,66607,66068,65728,65762,66162,66846,67431,67818,67986,67932,67912,67970,68088,68242,68400,68575,68752,68907,69045,69214,69393,69544
"235","227","Q1OPS1 C     Other professional services (49)","Q1OPS10",86862,92592,98017,101915,101606,102639,105361,107079,111398,114566,117164,119325,122084,124430,127370,129569,130509,131931,133012,135356,138875,141157,143679,145339,145888,147827,149496,151084,148158,150142,152170,154020,155851,155511,155505,155180,155347,156520,158097,158871,159443,161176,161865,163825,166326,168488,171212,173648,174702,176707,178594,182424,184825,186744,187945,189291,192580,195232,198137,200578,201792,202645,205204,208011,210218,212787,214967,216867,218463,219926,221716,224209,226735
"236","228","Q1HHC1 D       Home health care","Q1HHC10",21440,23400,25258,26659,26990,27295,28005,28417,30621,32093,33169,34279,35424,36749,38313,39731,40191,41543,42595,43603,45470,46582,48150,48934,49304,49841,50344,50597,49317,48930,49114,49425,49922,48676,47769,47056,46667,46892,47190,46988,45723,46223,45474,45567,46182,46495,47393,47623,48010,48601,49022,51461,52265,52934,53308,53485,54867,56456,58040,59651,60156,59989,60988,61952,63138,64725,66382,67709,68924,70107,71721,73293,75204
"237","229","Q1MLB1 D       Medical laboratories","Q1MLB10",7967,8177,8334,8461,8673,8854,9169,9285,9508,9725,9889,9774,9724,9750,9782,9795,9890,9955,10081,10153,10043,9859,9633,9787,9904,10303,10641,10731,11072,11504,11910,12145,12707,13064,13372,13595,13783,14056,14545,14947,15764,16157,16605,17093,17784,18218,18544,18753,18577,18724,18938,19224,19645,20049,20403,20699,20932,21158,21390,21622,21842,22075,22322,22577,22826,23032,23193,23305,23442,23606,23781,23961,24132
"238","230","Q1EEX1 D       Eye examinations","Q1EEX10",2505,2606,2712,2816,2883,2979,3122,3232,3191,3229,3275,3324,3484,3567,3658,3729,3840,3955,3972,4037,4038,4109,4144,4190,4257,4391,4479,4595,4631,4696,4720,4800,4830,4786,4860,4889,5014,5022,5143,5230,5334,5370,5397,5413,5384,5399,5430,5477,5562,5620,5674,5723,5738,5770,5836,5936,6046,6142,6223,6288,6333,6364,6384,6388,6380,6374,6377,6386,6390,6388,6389,6391,6391
"239","231","Q1OMD1 D       All other professional medical services","Q1OMD10",54798,58276,61599,63877,62956,63401,64944,66020,67988,69446,70768,71910,73428,74361,75638,76361,76634,76545,76447,77657,79458,80775,81977,82655,82649,83493,84215,85337,83269,85119,86519,87735,88462,89039,89547,89673,89910,90571,91236,91716,92625,93429,94388,95746,96972,98370,99840,101787,102543,103751,104946,106024,107193,108016,108431,109205,110783,111556,112596,113174,113635,114371,115679,117264,118075,118908,119339,119848,120149,120329,120421,121225,121765
"240","232","Q1PHO1 C     Hospitals and nursing homes (50)","Q1PHO10",381223,385831,389253,389292,392337,396299,400744,408205,410135,413441,416361,417866,420993,420583,422644,423194,423865,425747,427562,428942,430872,432880,434921,437846,435515,440828,441687,448376,449105,452237,456382,456715,462096,461348,462849,463954,465812,467231,470421,474214,476849,481004,484691,487848,494676,499864,507267,514357,520780,527440,532526,536315,540031,541039,542121,542897,543699,547666,552699,555228,557124,561564,567495,571622,577229,578011,576452,581423,589458,590988,592981,599815,604390
"241","233","Q1HSP1 C       Hospitals","Q1HSP10",314656,317076,319131,318335,321954,326092,330029,336959,337196,340131,342835,343734,346589,345671,347088,347187,348260,349639,350609,351298,351698,352581,353571,355377,352775,357459,357499,363530,362794,364595,367882,367652,374012,373486,375537,376653,379188,381025,384047,387876,390509,394149,398121,401217,407815,412776,420102,426688,432521,439356,444302,447418,450622,451303,452669,454051,455334,459092,463508,466418,467796,471356,476263,478734,483502,483664,483173,488119,495085,495655,497061,503100,507206
"242","234","Q1NPH1 C         Nonprofit","Q1NPH10",211102,214001,216596,216942,219601,222260,225286,230383,231745,234571,236767,238071,239847,238744,239459,238827,238556,238778,238769,238355,237248,237297,237440,238557,236801,239473,239337,243060,242832,244514,246713,246399,250751,250250,252036,253724,256445,258034,260278,262874,264361,266169,268468,269491,271848,273521,277383,280638,283422,287329,290129,291447,294224,296366,297896,299532,300903,303986,307653,310319,310987,313536,317612,319208,321337,322361,322473,324650,330378,333090,334755,339198,341977
"243","235","Q1FPH1 C         Proprietary","Q1FPH10",39284,39083,38838,38355,38102,38487,38589,39023,38128,37907,37580,36841,36351,36061,35955,35883,36031,36249,36529,36983,37558,38008,38610,39329,39872,41038,41445,42424,42801,42835,43069,42823,42780,42327,42014,41479,41732,41736,41957,42353,42275,42970,43330,44001,45905,47271,48795,50258,52735,54488,55509,56252,57039,57147,57396,57306,56761,56846,57157,57136,57774,58677,59317,59952,62319,61209,60336,62828,63830,61479,60952,62266,63348
"244","236","Q1GVH1 C         Government","Q1GVH10",64806,64405,64020,63308,64528,65639,66443,67835,67581,67909,68751,69102,70678,71139,71942,72720,73876,74785,75457,76069,76935,77292,77510,77476,76089,76911,76673,77985,77112,77218,78072,78399,80453,80878,81461,81441,81013,81260,81820,82653,83875,85008,86321,87724,90077,92016,93969,95852,96442,97630,98760,99824,99451,97875,97459,97301,97764,98361,98808,99080,99150,99262,99453,99697,99960,100218,100492,100760,101005,101233,101506,101793,102041
"245","237","Q1NRS1 C       Nursing homes","Q1NRS10",66110,68374,69783,70674,70029,69792,70271,70733,72535,72879,73062,73697,73938,74511,75179,75668,75214,75733,76628,77361,79014,80205,81308,82467,82783,83386,84244,84873,86410,87774,88638,89213,88168,87945,87368,87349,86655,86227,86383,86343,86339,86858,86570,86629,86866,87103,87199,87716,88315,88164,88319,88987,89502,89826,89546,88944,88470,88681,89296,88915,89433,90312,91339,93001,93845,94473,93391,93407,94473,95444,96039,96832,97291
"246","238","Q1NPN1 D         Non-profit nursing homes","Q1NPN10",21134,21802,22152,22290,21591,21458,21709,22093,23248,23456,23516,23705,23861,24062,24308,24518,24555,24768,25054,25228,25687,26064,26366,26818,26910,27341,27820,28394,29461,30363,30956,31326,30613,30638,30697,31020,31290,31428,31591,31702,31751,31821,31943,32242,32513,32959,33302,33581,33784,33723,33647,33696,33907,33935,33679,33406,33051,33031,33259,32938,33238,33750,34223,34871,35121,35502,35014,35204,35054,35253,35177,35396,35470
