"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240"
"39","30","  Total receipts","W066RC1",56.4,55.7,55.4,58,59,58,57.2,57.1,56.2,54.4,54.3,53.2,58.7,63.3,70.4,75.2,84.2,81.2,80.8,85.2,85.7,86.3,87.2,90.8,93.1,93.6,93.1,88,85.7,86.1,87,89.6,94.3,96.6,99.1,101.6,103.1,105.3,105.6,109,112,112.2,112.5,109.6,106.6,106.8,110.7,115.3,121.4,125.7,125.3,126.7,137,136.8,136.6,136.1,137,139.6,142.5,147,149.2,151.8,154.9,156.9,160.7,164,166.6,168.8,168.8,166.7,170.7,173.3,180.6,183.5,183.2,188.3,199.2,205.3,209.2,213.1,215.3,217.3,223.7,230.2,242.1,249.3,263,270.1,282.5,288.2,288.9,292.7,289.6,292.6,291.4,292.3,300.4,306.4,310.5,319.5,343.3,349,355,367,386.3,391.4,398.3,410.3,419.7,434.4,449.8,446.6,441.8,413.4,462.6,474.6,496,506.8,518.3,529.8,556.6,569.5,581.1,597.1,610.2,647.7,663.9,689.2,711,725.4,745.1,761.7,784.1,781.7,811,850.1,904.4,918.8,943.6,939.1,939.9,951.8,948,954.8,967.3,1007.1,1014.6,1041.7,1091.1,1114.1,1126.5,1151.7,1216.1,1188.6,1235.5,1249.6,1276.6,1278.4,1302.6,1339.5,1341.7,1429.8,1427.2,1456.6,1477.4,1496.4,1523.3,1556,1618.2,1634.7,1644,1658.2,1686,1714.9,1740.4,1753,1742.7,1761.4,1787,1806.7,1823.7,1855.1,1853,1906.3,1897.2,1952,1972.6,2032,2042.5,2107.9,2128.1,2158.3,2189,2220.6,2248.3,2272.7,2327.7,2389.5,2409.6,2470.2,2506.9,2551.2,2608.4,2649.1,2691.8,2732.8,2777.2,2824.7,2857,2899.3,2948,3022.6,3127.1,3156.5,3177.8,3185.1,3226.1,3237.9,3011.7,3119.6,2969.1,2980,3006.1,3010.8,3030.6,3052.7,2998.7,3102.5,3151.5,3210.9,3240.3,3351,3527.6,3594.2,3516.6,3698.3,3837.1
"40","31","    Current receipts","W021RC1",55.4,54.8,54.4,57,57.9,56.7,56.2,56.2,55.2,53.5,53.3,52.3,57.9,62.5,69.5,74.4,83.3,80.3,79.9,84.1,84.7,85.2,86.1,89.8,91.9,92.5,92,86.8,84.5,84.9,85.9,88.4,93.1,95.5,97.9,100.2,101.6,103.6,104,107.4,110.4,110.3,110.6,107.9,104.8,105.1,109.1,113.6,119.7,123.9,123.4,124.8,135,134.5,134.5,133.6,134.4,137.2,140,144.5,146.8,149.1,152.2,154.1,157.9,161.1,163.6,166,165.9,163.3,167.3,169.9,177,180.1,179.6,184.5,195.3,201.3,205.3,209.3,211.3,213.5,219.5,226.3,238.4,245.2,258.8,265.7,277.9,283.4,284.3,288.1,284.8,287.8,286.7,287.5,295.4,301.4,305.1,311.7,335.6,343,348.6,360,379,385.3,392,403.6,413,428,443.6,440.7,435.9,406.9,455.9,467.9,489.2,499.8,511.1,521.9,542.4,561.6,573.4,589.7,603,640.6,656.7,681.9,703.5,718.1,737.6,753.8,775.9,773,801.7,841.2,895.7,909.6,934.1,929.3,928.4,941.5,938,946.2,959.1,998.6,1005.7,1034.1,1082.4,1105.9,1118.3,1143.4,1207.2,1180,1226.1,1240.7,1267.1,1268.4,1292.1,1329.4,1331,1419.2,1416.3,1446.5,1466.9,1486,1511.6,1544.2,1606.6,1622.1,1631.6,1644.9,1672.4,1696.1,1724.9,1737.9,1727.2,1746.5,1770.5,1791.3,1807.9,1840.2,1837,1889.8,1880.7,1934.7,1955,2012.9,2022.1,2086.6,2108.4,2138.7,2169.7,2201.6,2227.7,2251.5,2306.2,2366.5,2385.4,2446.4,2481.2,2524.9,2580.9,2620.7,2661.1,2700.5,2744.7,2790.5,2821.8,2862.8,2912.2,2983.3,3091.1,3121.1,3142.3,3149.3,3189.9,3199.6,2977.4,3085.5,2934.2,2947.4,2972.3,2981.1,3001.3,3026.3,2972.1,3072.9,3122,3181.2,3208,3321.6,3497.2,3564.3,3486,3667.1,3803
"41","32","    Capital transfer receipts","W067RC1",1,0.9,1,1,1.1,1.2,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1,1.1,1.1,1,1.2,1.1,1.1,1.2,1.2,1.1,1.1,1.2,1.2,1.1,1.2,1.4,1.5,1.7,1.6,1.6,1.6,1.9,1.9,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.9,1.9,2,2.2,2.1,2.6,2.6,2.4,2.6,2.5,2.4,2.7,2.6,2.8,2.8,2.9,3,2.8,3,3.3,3.4,3.5,3.6,3.4,3.6,3.8,3.9,4,3.8,3.8,4,3.9,4.2,3.9,3.7,4,4.2,4.4,4.6,4.8,4.5,4.6,4.8,4.8,4.7,4.8,5,5,5.5,7.7,7.7,6,6.4,7,7.3,6.1,6.3,6.7,6.7,6.4,6.2,5.9,5.9,6.5,6.7,6.7,6.8,7.1,7.2,7.9,14.2,7.9,7.7,7.4,7.2,7.1,7.2,7.3,7.4,7.3,7.5,7.9,8.2,8.7,9.3,8.9,8.7,9.1,9.5,9.8,11.5,10.3,10,8.6,8.3,8.4,8.9,7.6,8.7,8.2,8.2,8.3,8.9,8.6,9.4,8.9,9.5,10,10.5,10.1,10.7,10.6,10.9,10.1,10.6,10.4,11.7,11.8,11.5,12.6,12.3,13.3,13.6,18.7,15.6,15.1,15.5,15,16.5,15.4,15.7,15,16,16.4,16.5,17.3,17.6,19.1,20.4,21.3,19.6,19.6,19.3,19.1,20.6,21.2,21.6,23,24.1,23.8,25.7,26.3,27.5,28.4,30.7,32.3,32.5,34.2,35.2,36.5,35.8,39.3,36,35.3,35.4,35.8,36.2,38.4,34.3,34.1,34.9,32.6,33.8,29.7,29.3,26.4,26.6,29.6,29.5,29.6,32.3,29.4,30.4,29.9,30.6,31.2,34.1
"42","33","  Total expenditures","W068RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.1,136.1,139,142.1,145.3,148.6,150.3,153.8,158.1,160.1,162.4,164.8,165.8,166.6,170.9,172.7,175.8,178.5,178.4,178,180.8,184.4,192.8,197.8,204.2,210.1,218,226,237.4,238.7,245.5,249.1,257.2,266.2,271.1,277.3,278.4,284.1,290,293,296.8,313,317.3,323.5,327.1,340.9,343.7,348.7,364.4,367.8,368.1,379.2,388.4,400.6,398.6,411.3,425.9,437.9,467.5,479,507.4,528.6,539.9,556.6,565.9,563.8,576.4,586.6,602.2,613.8,622.9,640.7,652.8,669.7,693.6,712.4,721.6,745.9,773.1,797.9,838.7,864,898.2,916,966,978.1,1000.8,1040.6,1060.2,1086.4,1120.4,1158.5,1179.8,1191.6,1222.2,1230.7,1261.5,1290.2,1318.8,1360.3,1391.2,1422.4,1448.9,1473.9,1493.2,1518.2,1560.9,1561.9,1584.1,1607.8,1622.4,1654.5,1670.4,1683.8,1691.8,1734,1768.4,1801,1831.8,1860.8,1915.9,1945.9,1971.9,2044.9,1982.7,2053.8,2107.1,2132.9,2187.7,2216.9,2239.2,2256.8,2267,2280.4,2300.7,2321.4,2311.2,2340.2,2380.3,2412.5,2450.1,2472.5,2459.1,2477.9,2541.3,2570.7,2574.2,2593.7,2626,2617.7,2654.9,2681.4,2672.4,2702,2731,2769.4,2790.6,2818.9,2861.5,2939.9,2941.2,2995.9,3018.1,3055.1,3117,3188.1,3191.3,3256.4,3318.4,3367.6,3397.1,3469.6,3521.1,3593.8,3614.6,3628,3722.6,3770.2,3811.2,3864,3978.7,4026.9,4071.3,4173.2,4217
"43","34","    Current expenditures","W022RC1",47.8,48,51.3,47.7,49.1,50.5,53.6,54.5,57.1,58.6,58.2,57.2,65.3,59,54.3,58.5,63.4,67.8,72.2,75.5,74.9,79.4,81.7,82.8,84.7,85.9,85,86.4,84.3,83.6,84.2,85.3,86.5,85.5,89.2,88.5,88.8,92.4,91.7,95.7,99.4,101.6,102.2,105.9,105.4,110.8,112.9,113.5,113.4,115.2,116.4,118.4,119,122.1,123.6,127,127.8,132.4,133,135.2,139.5,141.9,143.5,146.3,148.4,149.3,151.7,154.9,157.4,159.6,159.5,160.2,163.2,166.8,173.5,178.3,182.5,189.8,195.9,202.9,213.5,217,221.7,227.9,237.2,244.4,249.8,255.8,255.9,264.1,270.2,276.6,278.9,296,299,305.2,314,325.4,327.7,334,349.1,352,355,366.1,374.8,384.2,387.6,395.7,409.5,428.1,444.1,461.3,482.4,508.5,514.3,527.6,535.9,541.3,556.5,565.7,578.1,589.2,602.9,620.7,632.5,643,660.1,677.8,695.1,712.4,735.5,763,796.2,822.2,863,889.9,923.3,945,977.5,1005.9,1029.5,1048.9,1084.4,1127.6,1139.7,1165.1,1181.6,1183.7,1213.8,1243.1,1268.9,1300.8,1329.6,1353.3,1378.8,1402.9,1421.1,1450,1476.5,1488.9,1505.5,1525.9,1538.5,1573.4,1595.7,1603.8,1618.4,1657,1691.4,1723.6,1748.4,1779.2,1825.2,1857.4,1883.7,1924.1,1892.5,1964.3,2003.3,2046.7,2096.7,2129.8,2156.9,2178.4,2191.2,2204.4,2229.4,2248.5,2250,2270.5,2301.9,2340.8,2374.7,2396.5,2413,2405.9,2464.6,2487.8,2491.3,2524.7,2540.8,2557.6,2571.4,2604.6,2599.5,2624.8,2634.6,2674.5,2693.3,2712.9,2752.5,2805.3,2822.4,2880.2,2902.1,2941.4,3000.8,3050.2,3074.7,3120.8,3178,3223.9,3251,3310.5,3365.1,3426.2,3442.1,3465.4,3557.8,3596.3,3638.9,3689.2,3788.1,3840.3,3900.4,3979.9,4019.4
"44","35","    Gross government investment","A782RC1",4.3,4.3,4.7,5.1,6.2,6.7,7.1,8,8.6,9.5,10.3,10.4,9,9.4,10.2,10.6,13,16.2,19,22.3,21.9,22,22.5,22.9,23.9,24.6,24.3,23.1,23.8,23.2,21.7,21.4,21,21.9,20.7,20.3,21.8,22.2,23.9,23.7,24.2,23.9,24.6,24.7,25.1,25.3,27.3,28.2,30.5,29.5,29.3,27.8,27.7,27.5,29,28.9,31.4,30,31.2,32.8,33,32.7,33.7,33.7,33,32.8,34.8,33.9,34.2,34.6,34.8,34.9,34.2,34.8,36.5,36.7,38.7,38.2,40.3,42,43.4,42,43.2,43.3,43.1,44,43.8,43.6,45.4,43.4,43.6,40.7,42.8,42.6,44.1,44.8,41.7,41.8,42.3,41.3,42.3,42.9,41.1,44.3,47.5,46.7,45.6,47.5,51.5,56.5,58,59,62.6,58.1,63.9,67.8,70.4,65.8,65.3,64,66.9,69.1,67.6,66.5,66.4,77,80.7,84.2,79.1,85.4,93.7,95.7,101.7,99.9,97.9,101.5,107.6,105.5,105.2,109.3,106.7,112.8,112.3,117.4,117.9,119.7,125.8,128,133,137.1,139.1,148.3,149.1,157.9,165,163.1,165.1,170.5,181.1,176.2,178.9,183.7,187.9,186.7,181.5,186.3,186.3,190.4,191.1,195.1,202.2,202.3,212.4,213.7,215.8,221,216.4,221.3,222,221.5,227.1,224.6,221.3,219.4,216.7,221.1,217.6,220.7,211.9,218.2,228.7,226.6,231.5,236.1,230.8,232.5,239.1,245.5,246.3,248.7,252.5,254.7,253.3,248.1,246.2,258.9,273.1,271.2,274.4,284.4,288.3,300.1,303.3,304,305,305.6,313.2,333.9,316.3,332.7,339,343.9,346.8,347.4,349,355.2,360.1,356.8,360.4,375,372.9,381.7,383.4,399.1,404.1,414.8,422.7
"45","36","    Capital transfer payments","W069RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.7,0,0,28.2,4.3,0.4,15.8,0,0,0.2,0,0,2.4,0,0.2,0,0,3.4,0.9,0,0,0,1.8,0,0,0,0,0,0,0.3,0.4,0.1,0,0,0.1,0,0,0,0,16.7,0,0,0.1,0,0,0,0,0,0,0.1,0.3,14.7,14.9,20,17,15.7,16.1,16.1,16.4,16.6,32.2,16,16,15.8,16.4
"46","37","    Net purchases of nonproduced assets","AD07RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.4,1.4,1.4,1.3,1.5,1.6,1.5,1.6,1.8,1.6,1.6,1.5,1.8,1.9,1.5,2,2.2,2.2,1.2,1.9,1.4,1.8,1.9,2.4,1.9,2.1,1.7,1.4,0.8,2.4,0,-0.6,0.6,0.5,1.6,1.1,1.2,1.1,1,0.9,0.7,1,0.7,-0.8,1.8,1.9,1.9,1.9,1.9,1.3,-1.3,-3.5,0.6,-3.1,0.2,-1.9,-12.1,2.1,-3.3,1.2,1.4,1.7,1.8,1,-1.2,-2.6,0.3,1.7,0.6,-1.9,0.2,1.7,-1.6,2.7,1.2,-0.9,1.5,-1,-4.1,-0.9,2.5,-0.1,-10.6,2.1,-3.3,-11,-1.9,-1.5,1.1,1.6,-7.6,2.2,-12.4,-2.9,2.3,-0.4,-3.7,-1.7,0.3,3.1,2.9,-1.3,3.1,3.5,-3.8,3.8,-0.7,4.1,4,3.4,3.6,4.4,6.7,2,3.6,4.8,3.3,4.3,4.4,5.1,4.4,4.4,6.1,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6,6,6.1,6.1,5.3,7.8,6.4,7,4.3,-20.9,6.4,5.5,6.1,6.4,-9,4.8,-21.3,4.4,4.9,3.5,-3.7,2.8,5,6.3,7.4,8.6,8.5,8.9,7.7,9.2,8.2,5,7.8,11.7,9.6,10.3,10.5,11.4,11.3,8.3,10.5,14.8,10.8,11.6,10.9,13.6,11,12.5,11.8,11,12.8,13.2
"47","38","    Less: Consumption of fixed capital","A264RC1",11.1,10.7,10.6,10.3,10,9.7,9.6,9.4,9.3,8.9,8.5,8.3,8,7.8,7.9,8.2,8.4,8.6,8.7,9,9.1,9.4,9.8,10,10.2,10.5,10.5,10.7,10.8,11.1,11.3,11.5,11.5,11.6,11.9,12.1,12.5,12.7,12.9,13.1,13.4,13.6,13.7,13.8,13.6,13.8,14,14.2,14.3,14.4,14.6,14.7,14.8,15,15.1,15.2,15.3,15.5,15.6,15.8,16.1,16.3,16.6,17,17.2,17.4,17.6,17.7,17.9,18,18.1,18.3,18.5,18.8,19,19.2,19.4,19.9,20.4,20.7,21,21.3,21.7,22.1,22.6,22.9,23.2,23.7,24.1,24.6,24.9,25.4,25.9,26.4,26.9,27.4,27.9,28.2,28.4,28.6,29.1,29.2,29.6,30,30.5,31.1,31.6,32.2,33.3,34.9,36.9,38.4,39.1,39.6,40.2,41,41.7,42.3,42.9,43.6,44.6,45.3,45.9,46.8,47.9,49,50.1,50.9,52,53.6,55.4,57,58.7,60.9,62.8,65,67.2,69.3,71.1,72.9,74.8,76.6,78.1,79,80,80.9,82.4,83.4,84.9,86.3,87.5,89.1,90.6,91.8,93.5,95.2,96.4,98.5,100.5,102.5,104.4,105.7,107.4,109.2,111.2,113.1,114.9,117,118.9,120.9,123,126,127.5,129.7,132.1,134.5,136.5,138.2,140.1,141.4,142.2,143.9,145.1,147,149.4,151.1,152.5,153.9,156.8,157.3,159,161.2,163,164.4,165.5,167,167.9,168.6,169.8,170.7,172,173.6,174.5,176.4,176.8,178,179.6,181.4,183.4,185.8,188,190.6,193.4,196,198.3,200.2,202,203.8,211.4,206.6,208.9,210.8,212.5,214.3,216.1,218.1,219.3,220.6,223.3,228.1,230.6,234.5,237.5,240.4,260.2,250.1,254.7
"48","39","  Net lending or net borrowing (-)","AD01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,0.6,-2.3,-6,-8.3,-9,-7.8,-6.8,-8.9,-8.3,-7.5,-7.9,-5.1,-2.6,-4.3,-3.9,-7,-11.8,-7.7,-4.7,-0.2,-0.8,-9.6,-9.5,-4.9,-4.8,-8.8,-12.9,-22.1,-21.4,-21.8,-18.9,-15.1,-16.9,-8.1,-7.2,4.1,4.1,-1.1,-0.4,-7.2,-20.4,-25.9,-31.2,-26.7,-34.5,-33.2,-29.2,-21,-18.8,-13.1,-12.1,-2.2,-9.2,-0.3,-1,-6.2,-3.5,-17.7,-32.3,-65.6,-115.2,-77.3,-82,-69.9,-57,-58.1,-56.8,-45.7,-44.3,-41.8,-43.5,-42.6,-22,-29.6,-23.2,-10.6,-20.5,-28.1,-36.1,-54.6,-82.3,-87.1,-65.9,-61.6,-59.3,-57.1,-101.6,-120.3,-134.5,-172.4,-203.7,-212.5,-184.5,-207.6,-189,-170.4,-176.1,-192.4,-208.5,-175.1,-233.8,-213.5,-224.4,-216.6,-239.8,-258.2,-222.4,-242.4,-177.9,-195.2,-197.9,-192.9,-187.4,-168.5,-178.1,-150.2,-166.3,-187.9,-202.6,-229.9,-231,-231.4,-291.9,-240,-292.4,-320.1,-326.2,-364,-361.8,-386.1,-350.5,-369.8,-328.4,-328.1,-289.3,-268.7,-232.3,-252.2,-254.2,-261.1,-251.8,-210.9,-205.2,-213.6,-181.3,-164.6,-123.5,-119.2,-66.6,-46.5,-32.3,19.4,30.8,46.2,55.2,66.4,80.4,86.6,82.7,185.9,160.6,159.6,130,109.1,49.8,-179.5,-136.8,-349.3,-387.6,-391,-458.8,-490.5,-541.1,-615.9,-525.5,-571.1,-559.4,-570.8,-513,-451,-432.7,-554.7,-475,-379.9
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","of interest receipts. Miscellaneous receipts on line 9 includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
