"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"60","39","    Rental income of persons (without CCAdj)","B049RC1","21,681.0","21,780.0","21,949.0","21,918.0","21,894.0","21,635.0","22,249.0","22,527.0","22,534.0","23,162.0","23,574.0","24,058.0","24,699.0","21,783.0","25,657.0","25,678.0","25,644.0","25,651.0","24,745.0","25,819.0","26,129.0","25,607.0","26,093.0","25,980.0","25,889.0","25,748.0","25,651.0","25,253.0","25,058.0","24,189.0","24,479.0","24,677.0","23,638.0","22,747.0","21,966.0","21,884.0","23,708.0","23,239.0","25,041.0","25,712.0","27,338.0","25,153.0","25,480.0","29,257.0","33,200.0","28,880.0","29,971.0","41,430.0","41,504.0","40,526.0","41,189.0","44,490.0","45,265.0","41,991.0","43,862.0","44,419.0","43,497.0","43,684.0","44,061.0","45,024.0","44,119.0","42,783.0","46,504.0","50,905.0","49,001.0","47,844.0","48,398.0","46,711.0","43,069.0","41,949.0","38,990.0","36,944.0","38,150.0","37,150.0","42,083.0","46,179.0","45,285.0","43,863.0","45,789.0","53,904.0","51,337.0","50,703.0","48,379.0","48,134.0","50,638.0","55,610.0","60,742.0","61,828.0","63,559.0","65,534.0","70,161.0","76,861.0","79,056.0","88,743.0","96,762.0","103,768.0","113,076.0","121,245.0","123,183.0","129,927.0","141,045.0","149,618.0","156,609.0","156,567.0","159,263.0","161,405.0","161,237.0","170,025.0","175,280.0","176,989.0","180,740.0","183,210.0","183,742.0","184,762.0","185,379.0","187,974.0","191,838.0","197,786.0","204,964.0","208,235.0","212,510.0","216,593.0","218,952.0","223,480.0","224,674.0","222,381.0","223,741.0","231,702.0","236,092.0","241,515.0","250,587.0","245,210.0","240,345.0","242,945.0","223,984.0","212,788.0","221,329.0","216,012.0","198,253.0","229,015.0","217,069.0","210,275.0","210,361.0","209,307.0","204,916.0","196,111.0","183,365.0","187,728.0","177,155.0","169,327.0","156,748.0","147,823.0","139,040.0","156,315.0","163,346.0","182,518.0","205,280.0","234,839.0","259,718.0","291,439.0","294,492.0","314,812.0","333,948.0","340,775.0","358,953.0","363,601.0","367,344.0","369,554.0","399,724.0","411,770.0","421,217.0"
"61","40","    Capital consumption adjustment","B050RC1","-892.0","-925.0","-953.0","-974.0","-989.0","-1,000.0","-1,008.0","-1,011.0","-1,074.0","-1,129.0","-1,177.0","-1,216.0","-1,245.0","-1,283.0","-1,331.0","-1,385.0","-1,450.0","-1,520.0","-1,596.0","-1,678.0","-1,764.0","-1,855.0","-1,949.0","-2,048.0","-2,152.0","-2,239.0","-2,312.0","-2,369.0","-2,413.0","-2,472.0","-2,545.0","-2,634.0","-2,739.0","-2,859.0","-2,994.0","-3,144.0","-3,306.0","-3,466.0","-3,620.0","-3,772.0","-3,916.0","-4,074.0","-4,243.0","-4,423.0","-4,615.0","-4,796.0","-4,967.0","-5,126.0","-5,274.0","-5,411.0","-5,536.0","-5,651.0","-5,752.0","-5,826.0","-5,871.0","-5,887.0","-5,876.0","-5,881.0","-5,904.0","-5,943.0","-5,998.0","-6,041.0","-6,069.0","-6,084.0","-6,085.0","-6,107.0","-6,149.0","-6,211.0","-6,293.0","-6,373.0","-6,451.0","-6,527.0","-6,600.0","-6,673.0","-6,743.0","-6,812.0","-6,880.0","-6,948.0","-7,012.0","-7,076.0","-7,138.0","-7,198.0","-7,253.0","-7,307.0","-7,355.0","-7,393.0","-7,420.0","-7,436.0","-7,441.0","-7,446.0","-7,450.0","-7,455.0","-7,459.0","-7,462.0","-7,465.0","-7,466.0","-7,615.0","-7,735.0","-7,830.0","-7,896.0","-7,936.0","-7,996.0","-8,076.0","-8,176.0","-8,296.0","-8,392.0","-8,464.0","-8,512.0","-8,538.0","-8,578.0","-8,635.0","-8,709.0","-8,796.0","-8,879.0","-8,957.0","-9,032.0","-9,099.0","-9,182.0","-9,279.0","-9,392.0","-9,520.0","-9,654.0","-9,795.0","-9,943.0","-10,097.0","-10,259.0","-10,431.0","-10,609.0","-10,798.0","-10,946.0","-11,054.0","-11,122.0","-11,151.0","-11,213.0","-11,310.0","-11,438.0","-11,603.0","-11,823.0","-12,099.0","-12,431.0","-12,820.0","-13,195.0","-13,558.0","-13,907.0","-14,245.0","-14,610.0","-15,003.0","-15,422.0","-15,829.0","-16,157.0","-16,407.0","-16,578.0","-16,602.0","-16,493.0","-16,523.0","-16,616.0","-16,399.0","-16,344.0","-16,188.0","-15,877.0","-15,645.0","-15,091.0","-14,691.0","-14,860.0","-14,848.0","-14,515.0","-14,585.0","-14,728.0","-14,756.0","-14,842.0","-14,838.0"
"62","41","  Corporate profits with IVA and CCAdj","A051RC1","99,378.0","96,361.0","93,611.0","88,534.0","80,570.0","84,419.0","84,609.0","80,426.0","92,748.0","94,557.0","96,747.0","100,244.0","106,241.0","107,851.0","112,121.0","119,487.0","126,004.0","122,829.0","123,193.0","125,994.0","118,795.0","117,362.0","114,080.0","110,269.0","111,756.0","124,503.0","144,814.0","152,167.0","164,859.0","160,343.0","160,867.0","160,350.0","170,260.0","191,456.0","206,178.0","199,476.0","192,484.0","220,218.0","225,081.0","235,925.0","226,079.0","228,042.0","226,214.0","221,079.0","216,504.0","186,340.0","192,622.0","210,225.0","220,979.0","217,165.0","235,366.0","219,562.0","197,257.0","211,598.0","210,103.0","203,906.0","225,212.0","256,137.0","273,326.0","284,649.0","311,526.0","323,195.0","316,599.0","323,107.0","325,605.0","327,365.0","346,000.0","331,210.0","324,395.0","315,088.0","307,518.0","309,502.0","323,321.0","363,124.0","389,709.0","395,214.0","405,096.0","421,361.0","428,318.0","451,697.0","431,424.0","423,868.0","428,551.0","418,405.0","427,304.0","452,364.0","426,943.0","431,187.0","462,374.0","455,824.0","453,221.0","457,680.0","491,016.0","498,678.0","480,520.0","514,695.0","509,329.0","533,647.0","543,428.0","588,411.0","590,465.0","610,023.0","643,181.0","669,236.0","674,833.0","702,185.0","737,722.0","750,001.0","783,223.0","795,855.0","802,100.0","824,827.0","855,678.0","878,761.0","911,987.0","892,907.0","817,703.0","811,526.0","820,132.0","800,324.0","859,723.0","859,444.0","848,367.0","857,561.0","840,516.0","831,709.0","814,651.0","790,014.0","782,796.0","812,272.0","764,972.0","776,621.0","830,329.0","851,951.0","869,764.0","936,724.0","917,485.0","950,059.0","992,683.0","1,050,907.0","1,187,220.0","1,226,862.0","1,292,235.0","1,281,408.0","1,408,162.0","1,428,954.0","1,454,690.0","1,532,537.0","1,590,921.0","1,597,715.0","1,655,051.0","1,589,558.0","1,515,503.0","1,565,334.0","1,500,972.0","1,460,756.0","1,360,009.0","1,333,743.0","1,328,578.0","971,207.0","1,175,249.0","1,262,304.0","1,438,828.0","1,571,574.0","1,724,203.0","1,785,821.0","1,833,065.0","1,857,402.0","1,876,432.0","1,937,551.0","1,977,448.0"
"63","42","    Corporate profits with IVA","A052RC1","90,288.0","87,260.0","84,560.0","79,896.0","72,532.0","76,636.0","76,728.0","71,864.0","84,972.0","86,786.0","88,933.0","92,489.0","97,172.0","98,145.0","102,114.0","109,025.0","116,232.0","113,481.0","114,790.0","117,109.0","111,220.0","110,859.0","108,640.0","107,503.0","111,186.0","125,555.0","147,492.0","155,759.0","168,870.0","164,714.0","164,937.0","163,982.0","174,032.0","194,577.0","208,548.0","202,089.0","195,776.0","224,054.0","229,329.0","240,549.0","231,192.0","233,985.0","233,259.0","229,546.0","226,347.0","196,854.0","202,926.0","219,508.0","222,407.0","213,789.0","226,910.0","213,358.0","186,849.0","199,155.0","193,888.0","184,536.0","197,416.0","223,483.0","236,013.0","249,304.0","273,321.0","269,356.0","257,536.0","258,302.0","252,752.0","251,506.0","269,411.0","256,271.0","258,758.0","253,457.0","248,615.0","251,257.0","263,306.0","302,051.0","328,120.0","333,963.0","343,927.0","361,590.0","370,143.0","395,336.0","378,493.0","372,364.0","377,299.0","368,264.0","390,136.0","415,685.0","391,565.0","397,796.0","432,414.0","428,259.0","427,518.0","433,060.0","466,598.0","473,377.0","462,265.0","484,081.0","481,379.0","506,462.0","515,109.0","557,057.0","554,178.0","569,624.0","599,495.0","623,084.0","627,041.0","652,784.0","686,745.0","697,479.0","729,188.0","739,751.0","743,373.0","762,921.0","790,038.0","810,291.0","841,593.0","821,491.0","746,175.0","739,047.0","745,868.0","723,435.0","779,372.0","777,964.0","768,089.0","780,818.0","769,634.0","766,101.0","753,729.0","733,186.0","730,161.0","762,649.0","708,049.0","682,206.0","713,252.0","737,729.0","761,780.0","838,363.0","837,926.0","853,488.0","903,090.0","974,257.0","1,120,488.0","1,171,279.0","1,246,027.0","1,242,799.0","1,542,887.0","1,573,468.0","1,612,960.0","1,708,524.0","1,781,894.0","1,771,368.0","1,822,766.0","1,762,719.0","1,688,302.0","1,748,675.0","1,686,024.0","1,641,484.0","1,412,270.0","1,396,955.0","1,403,102.0","1,049,581.0","1,285,743.0","1,359,693.0","1,525,043.0","1,654,575.0","1,796,951.0","1,859,931.0","1,812,560.0","1,652,166.0","1,761,082.0","1,830,231.0","1,874,181.0"
"64","43","      Profits before tax (without IVA and CCAdj)","A053RC1","95,220.0","92,480.0","89,496.0","88,288.0","81,324.0","81,216.0","82,976.0","78,452.0","88,580.0","91,454.0","94,541.0","96,941.0","102,988.0","103,993.0","107,934.0","117,981.0","132,060.0","134,533.0","133,470.0","139,825.0","142,988.0","147,603.0","158,656.0","141,859.0","123,538.0","132,535.0","159,220.0","166,875.0","179,614.0","179,614.0","180,153.0","179,574.0","195,480.0","209,901.0","218,000.0","218,657.0","216,580.0","247,254.0","252,641.0","268,069.0","266,260.0","273,969.0","277,379.0","270,926.0","279,803.0","230,882.0","245,222.0","258,260.0","259,835.0","238,097.0","245,074.0","231,962.0","199,749.0","203,899.0","200,284.0","190,516.0","195,168.0","230,547.0","251,165.0","259,116.0","279,913.0","279,164.0","257,248.0","258,106.0","252,200.0","251,162.0","262,243.0","264,251.0","239,022.0","239,533.0","243,179.0","262,109.0","277,182.0","321,223.0","343,844.0","350,147.0","362,231.0","387,070.0","396,291.0","414,100.0","412,233.0","391,256.0","377,731.0","380,592.0","393,708.0","413,665.0","421,761.0","417,616.0","420,978.0","419,659.0","426,142.0","434,764.0","464,382.0","483,973.0","465,617.0","483,633.0","487,467.0","512,786.0","514,705.0","561,133.0","562,434.0","579,800.0","615,171.0","638,720.0","659,577.0","680,992.0","696,577.0","700,039.0","727,052.0","741,403.0","738,681.0","755,813.0","771,526.0","794,591.0","826,485.0","814,451.0","731,759.0","723,675.0","726,776.0","709,343.0","755,180.0","774,188.0","782,597.0","810,094.0","794,874.0","787,149.0","762,813.0","745,050.0","748,513.0","763,733.0","691,269.0","647,374.0","684,296.0","734,337.0","783,532.0","859,223.0","858,610.0","848,168.0","910,394.0","996,721.0","1,137,340.0","1,209,655.0","1,280,963.0","1,289,655.0","1,581,055.0","1,591,644.0","1,641,396.0","1,746,540.0","1,815,262.0","1,819,772.0","1,865,114.0","1,790,731.0","1,738,554.0","1,783,483.0","1,715,084.0","1,716,304.0","1,543,526.0","1,552,355.0","1,475,830.0","868,021.0","1,209,275.0","1,343,793.0","1,545,743.0","1,723,879.0","1,825,327.0","1,865,491.0","1,844,540.0","1,742,514.0","1,877,070.0","1,890,591.0","1,921,497.0"
"65","44","        Taxes on corporate income","A054RC1","41,460.0","40,428.0","39,140.0","38,880.0","34,468.0","34,652.0","35,724.0","34,184.0","37,824.0","38,568.0","37,916.0","38,352.0","40,368.0","40,660.0","41,952.0","46,384.0","49,736.0","50,208.0","48,592.0","51,356.0","49,744.0","52,156.0","57,324.0","51,916.0","43,792.0","46,788.0","57,208.0","58,796.0","66,620.0","65,180.0","64,892.0","64,460.0","68,804.0","74,384.0","76,748.0","77,828.0","72,496.0","86,616.0","87,428.0","92,892.0","90,108.0","90,932.0","90,584.0","88,440.0","97,016.0","77,224.0","83,160.0","91,360.0","91,116.0","82,648.0","86,152.0","77,440.0","65,736.0","68,444.0","68,604.0","63,212.0","64,168.0","79,236.0","88,268.0","90,920.0","103,884.0","102,888.0","91,072.0","92,280.0","98,688.0","96,972.0","102,264.0","99,700.0","106,580.0","106,336.0","107,304.0","118,480.0","118,706.0","132,794.0","137,908.0","132,356.0","129,331.0","136,631.0","146,652.0","153,906.0","158,354.0","145,029.0","140,422.0","140,467.0","139,326.0","144,875.0","149,827.0","147,669.0","141,637.0","136,779.0","137,436.0","138,511.0","148,203.0","149,751.0","144,029.0","152,769.0","158,140.0","170,091.0","162,123.0","193,783.0","174,537.0","183,616.0","201,134.0","213,278.0","217,570.0","214,784.0","221,665.0","217,331.0","221,588.0","233,383.0","233,779.0","237,124.0","238,217.0","242,942.0","255,071.0","245,455.0","248,512.0","245,489.0","252,217.0","247,246.0","256,227.0","254,080.0","259,164.0","265,667.0","274,301.0","273,119.0","254,697.0","258,251.0","224,489.0","216,639.0","195,037.0","177,017.0","179,259.0","185,957.0","193,723.0","210,405.0","231,539.0","226,974.0","247,224.0","269,329.0","277,629.0","298,197.0","320,427.0","328,122.0","405,092.0","395,642.0","403,058.0","445,747.0","460,673.0","475,079.0","496,587.0","460,730.0","474,149.0","467,929.0","431,019.0","408,764.0","355,204.0","344,054.0","312,514.0","224,343.0","208,834.0","244,780.0","301,577.0","334,363.0","409,685.0","399,567.0","430,309.0","404,724.0","422,318.0","420,472.0","414,870.0"
"66","45","        Profits after tax (without IVA and CCAdj)","A055RC1","53,760.0","52,052.0","50,356.0","49,408.0","46,856.0","46,564.0","47,252.0","44,268.0","50,756.0","52,886.0","56,625.0","58,589.0","62,620.0","63,333.0","65,982.0","71,597.0","82,324.0","84,325.0","84,878.0","88,469.0","93,244.0","95,447.0","101,332.0","89,943.0","79,746.0","85,747.0","102,012.0","108,079.0","112,994.0","114,434.0","115,261.0","115,114.0","126,676.0","135,517.0","141,252.0","140,829.0","144,084.0","160,638.0","165,213.0","175,177.0","176,152.0","183,037.0","186,795.0","182,486.0","182,787.0","153,658.0","162,062.0","166,900.0","168,719.0","155,449.0","158,922.0","154,522.0","134,013.0","135,455.0","131,680.0","127,304.0","131,000.0","151,311.0","162,897.0","168,196.0","176,029.0","176,276.0","166,176.0","165,826.0","153,512.0","154,190.0","159,979.0","164,551.0","132,442.0","133,197.0","135,875.0","143,629.0","158,476.0","188,429.0","205,936.0","217,791.0","232,900.0","250,439.0","249,639.0","260,194.0","253,879.0","246,227.0","237,309.0","240,125.0","254,382.0","268,790.0","271,934.0","269,947.0","279,341.0","282,880.0","288,706.0","296,253.0","316,179.0","334,222.0","321,588.0","330,864.0","329,327.0","342,695.0","352,582.0","367,350.0","387,897.0","396,184.0","414,037.0","425,442.0","442,007.0","466,208.0","474,912.0","482,708.0","505,464.0","508,020.0","504,902.0","518,689.0","533,309.0","551,649.0","571,414.0","568,996.0","483,247.0","478,186.0","474,559.0","462,097.0","498,953.0","520,108.0","523,433.0","544,427.0","520,573.0","514,030.0","508,116.0","486,799.0","524,024.0","547,094.0","496,232.0","470,357.0","505,037.0","548,380.0","589,809.0","648,818.0","627,071.0","621,194.0","663,170.0","727,392.0","859,711.0","911,458.0","960,536.0","961,533.0","1,175,963.0","1,196,002.0","1,238,338.0","1,300,793.0","1,354,589.0","1,344,693.0","1,368,527.0","1,330,001.0","1,264,405.0","1,315,554.0","1,284,065.0","1,307,540.0","1,188,322.0","1,208,301.0","1,163,316.0","643,678.0","1,000,441.0","1,099,013.0","1,244,166.0","1,389,516.0","1,415,642.0","1,465,924.0","1,414,231.0","1,337,790.0","1,454,752.0","1,470,119.0","1,506,627.0"
"67","46","          Net dividends","B056RC1","23,964.0","24,124.0","24,268.0","24,600.0","24,508.0","24,260.0","24,240.0","24,220.0","25,048.0","24,956.0","25,168.0","24,936.0","26,104.0","26,428.0","27,104.0","27,708.0","28,396.0","29,308.0","30,404.0","31,520.0","32,544.0","33,308.0","33,568.0","33,456.0","32,932.0","32,680.0","32,852.0","33,376.0","36,160.0","38,112.0","39,924.0","41,860.0","42,676.0","43,940.0","45,632.0","46,828.0","48,268.0","49,456.0","51,776.0","53,672.0","55,428.0","56,944.0","58,040.0","59,668.0","61,780.0","64,280.0","64,664.0","65,556.0","68,688.0","72,688.0","75,900.0","77,748.0","77,688.0","76,520.0","77,136.0","79,512.0","81,048.0","82,100.0","84,344.0","86,364.0","88,596.0","90,852.0","91,052.0","92,728.0","95,420.0","97,004.0","98,316.0","99,468.0","103,244.0","106,368.0","107,488.0","107,620.0","108,848.0","109,848.0","113,316.0","117,236.0","121,720.0","126,420.0","132,800.0","138,736.0","148,032.0","155,712.0","161,056.0","167,096.0","170,080.0","169,864.0","170,004.0","166,300.0","175,520.0","180,504.0","183,316.0","183,392.0","184,462.0","186,929.0","189,257.0","191,460.0","193,873.0","198,326.0","205,148.0","214,373.0","225,210.0","234,071.0","240,122.0","243,489.0","244,921.0","248,868.0","256,443.0","267,384.0","280,882.0","293,403.0","304,048.0","312,556.0","319,606.0","326,971.0","334,894.0","343,349.0","351,429.0","355,096.0","353,292.0","345,999.0","335,315.0","331,043.0","335,270.0","347,960.0","366,650.0","379,510.0","384,244.0","381,089.0","371,883.0","366,860.0","368,488.0","376,441.0","389,239.0","399,011.0","404,220.0","404,553.0","402,844.0","409,790.0","428,412.0","458,398.0","496,132.0","524,396.0","539,498.0","641,313.0","534,061.0","538,806.0","559,667.0","596,746.0","646,361.0","691,105.0","727,113.0","754,532.0","756,451.0","804,370.0","809,745.0","807,424.0","835,886.0","803,366.0","780,534.0","727,637.0","671,939.0","600,946.0","584,147.0","623,027.0","684,794.0","729,285.0","760,490.0","774,792.0","793,826.0","807,432.0","820,733.0"
"68","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","29,796.0","27,928.0","26,088.0","24,808.0","22,348.0","22,304.0","23,012.0","20,048.0","25,708.0","27,930.0","31,457.0","33,653.0","36,516.0","36,905.0","38,878.0","43,889.0","53,928.0","55,017.0","54,474.0","56,949.0","60,700.0","62,139.0","67,764.0","56,487.0","46,814.0","53,067.0","69,160.0","74,703.0","76,834.0","76,322.0","75,337.0","73,254.0","84,000.0","91,577.0","95,620.0","94,001.0","95,816.0","111,182.0","113,437.0","121,505.0","120,724.0","126,093.0","128,755.0","122,818.0","121,007.0","89,378.0","97,398.0","101,344.0","100,031.0","82,761.0","83,022.0","76,774.0","56,325.0","58,935.0","54,544.0","47,792.0","49,952.0","69,211.0","78,553.0","81,832.0","87,433.0","85,424.0","75,124.0","73,098.0","58,092.0","57,186.0","61,663.0","65,083.0","29,198.0","26,829.0","28,387.0","36,009.0","49,628.0","78,581.0","92,620.0","100,555.0","111,180.0","124,019.0","116,839.0","121,458.0","105,847.0","90,515.0","76,253.0","73,029.0","84,302.0","98,926.0","101,930.0","103,647.0","103,821.0","102,376.0","105,390.0","112,861.0","131,717.0","147,293.0","132,331.0","139,404.0","135,454.0","144,369.0","147,434.0","152,977.0","162,687.0","162,113.0","173,915.0","181,953.0","197,086.0","217,340.0","218,469.0","215,324.0","224,582.0","214,617.0","200,854.0","206,133.0","213,703.0","224,678.0","236,520.0","225,647.0","131,818.0","123,090.0","121,267.0","116,098.0","163,638.0","189,065.0","188,163.0","196,467.0","153,923.0","134,520.0","123,872.0","105,710.0","152,141.0","180,234.0","127,744.0","93,916.0","115,798.0","149,369.0","185,589.0","244,265.0","224,227.0","211,404.0","234,758.0","268,994.0","363,579.0","387,062.0","421,038.0","320,220.0","641,902.0","657,196.0","678,671.0","704,047.0","708,228.0","653,588.0","641,414.0","575,469.0","507,954.0","511,184.0","474,320.0","500,116.0","352,436.0","404,935.0","382,782.0","-83,959.0","328,502.0","498,067.0","660,019.0","766,489.0","730,848.0","736,639.0","653,741.0","562,998.0","660,926.0","662,687.0","685,894.0"
"69","48","      Inventory valuation adjustment","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","28,956.0","3,392.0","-21,752.0","-20,860.0","-20,684.0","5,320.0","-7,304.0","-22,464.0","-16,852.0","-38,376.0","-34,936.0","-46,856.0","-38,168.0","-18,176.0","-28,436.0","-38,016.0","-33,368.0","-48,404.0","-42,348.0","-28,012.0","-50,252.0","-34,808.0","-29,060.0","-74,820.0","-131,256.0","-155,400.0","-72,728.0","181,560.0","76,468.0","15,900.0","-20,700.0","-69,304.0","-28,376.0","-5,560.0","-31,980.0","-90,348.0","-115,988.0","-60,360.0","-47,316.0"
"70","49","    Capital consumption adjustment","A059RC1","9,090.0","9,101.0","9,051.0","8,638.0","8,038.0","7,783.0","7,881.0","8,562.0","7,776.0","7,771.0","7,814.0","7,755.0","9,069.0","9,706.0","10,007.0","10,462.0","9,772.0","9,348.0","8,403.0","8,885.0","7,575.0","6,503.0","5,440.0","2,766.0","570.0","-1,052.0","-2,678.0","-3,592.0","-4,011.0","-4,371.0","-4,070.0","-3,632.0","-3,772.0","-3,121.0","-2,370.0","-2,613.0","-3,292.0","-3,836.0","-4,248.0","-4,624.0","-5,113.0","-5,943.0","-7,045.0","-8,467.0","-9,843.0","-10,514.0","-10,304.0","-9,283.0","-1,428.0","3,376.0","8,456.0","6,204.0","10,408.0","12,443.0","16,215.0","19,370.0","27,796.0","32,654.0","37,313.0","35,345.0","38,205.0","53,839.0","59,063.0","64,805.0","72,853.0","75,859.0","76,589.0","74,939.0","65,637.0","61,631.0","58,903.0","58,245.0","60,015.0","61,073.0","61,589.0","61,251.0","61,169.0","59,771.0","58,175.0","56,361.0","52,931.0","51,504.0","51,252.0","50,141.0","37,168.0","36,679.0","35,378.0","33,391.0","29,960.0","27,565.0","25,703.0","24,620.0","24,418.0","25,301.0","18,255.0","30,614.0","27,950.0","27,185.0","28,319.0","31,354.0","36,287.0","40,399.0","43,686.0","46,152.0","47,792.0","49,401.0","50,977.0","52,522.0","54,035.0","56,104.0","58,727.0","61,906.0","65,640.0","68,470.0","70,394.0","71,416.0","71,528.0","72,479.0","74,264.0","76,889.0","80,351.0","81,480.0","80,278.0","76,743.0","70,882.0","65,608.0","60,922.0","56,828.0","52,635.0","49,623.0","56,923.0","94,415.0","117,077.0","114,222.0","107,984.0","98,361.0","79,559.0","96,571.0","89,593.0","76,650.0","66,732.0","55,583.0","46,208.0","38,609.0","-134,725.0","-144,514.0","-158,270.0","-175,987.0","-190,973.0","-173,653.0","-167,715.0","-173,161.0","-172,799.0","-183,341.0","-185,052.0","-180,728.0","-52,261.0","-63,212.0","-74,524.0","-78,374.0","-110,494.0","-97,389.0","-86,215.0","-83,001.0","-72,748.0","-74,110.0","20,505.0","205,236.0","115,350.0","107,320.0","103,267.0"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
