"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"59","39","    Capital transfer receipts","B232RC1","3,464.0","3,688.0","3,540.0","3,560.0","3,752.0","3,700.0","3,552.0","3,724.0","3,784.0","3,840.0","4,136.0","6,592.0","6,400.0","4,612.0","4,992.0","5,440.0","5,664.0","4,680.0","4,812.0","5,212.0","5,240.0","4,888.0","4,636.0","4,416.0","4,476.0","4,932.0","5,144.0","4,996.0","5,220.0","5,496.0","5,492.0","6,124.0","12,028.0","5,488.0","5,688.0","5,424.0","5,296.0","5,144.0","5,140.0","5,268.0","5,408.0","5,344.0","5,400.0","5,824.0","6,032.0","6,484.0","6,964.0","6,576.0","6,348.0","6,724.0","7,124.0","7,368.0","9,028.0","7,756.0","7,328.0","5,948.0","5,556.0","5,804.0","6,468.0","5,264.0","6,328.0","5,896.0","5,908.0","5,748.0","6,520.0","6,080.0","6,728.0","6,164.0","6,628.0","6,956.0","7,372.0","6,928.0","7,468.0","7,248.0","7,512.0","6,604.0","7,156.0","6,916.0","8,212.0","8,288.0","8,120.0","9,116.0","8,784.0","9,576.0","9,684.0","14,644.0","11,320.0","10,740.0","11,000.0","10,364.0","11,848.0","10,788.0","11,216.0","10,460.0","11,532.0","11,916.0","11,936.0","12,628.0","12,784.0","14,264.0","15,332.0","16,184.0","14,480.0","14,436.0","14,280.0","14,008.0","15,512.0","15,992.0","16,192.0","17,444.0","18,432.0","17,888.0","19,584.0","20,020.0","21,000.0","21,652.0","23,672.0","25,016.0","25,484.0","26,464.0","27,448.0","28,632.0","28,344.0","30,656.0","28,292.0","28,400.0","27,916.0","27,796.0","28,488.0","30,092.0","26,348.0","26,876.0","26,856.0","25,092.0","26,408.0","22,852.0","22,528.0","20,576.0","20,768.0","24,044.0","23,548.0","24,188.0","26,636.0","24,068.0","24,800.0","24,216.0","25,136.0","25,820.0","31,536.0","26,620.0","27,104.0","26,064.0","24,604.0","26,624.0","25,884.0","28,772.0","27,108.0","30,228.0","26,776.0","29,040.0","22,692.0","20,932.0","20,668.0","18,136.0","21,312.0","18,124.0","15,476.0","4,996.0","1,484.0","5,656.0","1,484.0"
"60","40","  Total expenditures","W019RC1","184,256.0","187,928.0","192,116.0","194,300.0","194,884.0","208,192.0","207,592.0","210,728.0","211,324.0","223,716.0","223,824.0","226,504.0","238,316.0","248,356.0","238,804.0","258,252.0","257,884.0","265,644.0","258,020.0","266,596.0","277,980.0","283,036.0","305,712.0","313,908.0","334,432.0","356,064.0","364,784.0","374,196.0","377,692.0","376,612.0","388,916.0","401,144.0","407,632.0","415,092.0","425,788.0","437,652.0","449,520.0","456,476.0","473,516.0","488,100.0","493,056.0","506,348.0","526,808.0","542,800.0","573,120.0","596,580.0","625,676.0","638,384.0","672,400.0","682,396.0","697,976.0","727,512.0","739,008.0","758,204.0","783,484.0","813,592.0","828,612.0","835,764.0","858,444.0","860,748.0","883,408.0","904,068.0","918,980.0","954,180.0","970,904.0","990,876.0","1,006,156.0","1,023,344.0","1,028,920.0","1,049,316.0","1,084,124.0","1,064,068.0","1,074,256.0","1,093,764.0","1,096,228.0","1,116,672.0","1,127,864.0","1,128,776.0","1,132,052.0","1,160,640.0","1,183,484.0","1,201,236.0","1,223,820.0","1,236,032.0","1,273,824.0","1,293,608.0","1,304,444.0","1,357,876.0","1,292,760.0","1,354,184.0","1,398,900.0","1,407,144.0","1,456,836.0","1,479,328.0","1,497,120.0","1,516,784.0","1,517,400.0","1,523,804.0","1,537,536.0","1,560,260.0","1,531,936.0","1,549,876.0","1,582,252.0","1,601,956.0","1,627,292.0","1,637,464.0","1,620,908.0","1,640,108.0","1,693,000.0","1,700,468.0","1,698,240.0","1,699,644.0","1,715,020.0","1,704,532.0","1,734,940.0","1,760,736.0","1,740,536.0","1,749,380.0","1,764,208.0","1,789,780.0","1,792,680.0","1,804,672.0","1,832,428.0","1,885,048.0","1,856,612.0","1,899,436.0","1,911,908.0","1,934,364.0","1,968,956.0","2,002,564.0","2,037,776.0","2,046,924.0","2,109,968.0","2,153,832.0","2,168,580.0","2,217,968.0","2,240,656.0","2,351,368.0","2,355,216.0","2,369,804.0","2,421,144.0","2,440,620.0","2,489,616.0","2,510,124.0","2,598,012.0","2,620,264.0","2,737,324.0","2,714,088.0","2,768,572.0","2,815,632.0","2,845,820.0","2,768,352.0","2,928,500.0","2,989,720.0","3,021,088.0","3,045,676.0","3,127,260.0","3,270,744.0","3,273,388.0","3,475,428.0","3,529,612.0","3,779,268.0","3,724,932.0","3,763,864.0","3,836,124.0","3,935,216.0","3,921,628.0","3,934,688.0","3,882,240.0","4,009,076.0","3,923,664.0"
"61","41","    Current expenditures","W013RC1","176,652.0","182,804.0","186,512.0","190,428.0","189,904.0","204,432.0","204,552.0","207,420.0","212,544.0","221,996.0","221,520.0","226,284.0","237,244.0","245,936.0","237,816.0","259,796.0","259,160.0","263,224.0","261,868.0","266,284.0","276,528.0","289,444.0","300,096.0","311,736.0","327,236.0","351,328.0","352,672.0","361,860.0","366,824.0","369,416.0","380,696.0","389,696.0","394,680.0","402,660.0","415,244.0","427,756.0","437,844.0","445,504.0","457,156.0","471,204.0","478,496.0","489,800.0","507,676.0","527,492.0","551,704.0","572,644.0","606,112.0","627,344.0","649,696.0","663,424.0","687,008.0","706,632.0","720,972.0","732,848.0","759,912.0","796,752.0","799,400.0","821,268.0","830,948.0","826,348.0","850,496.0","873,484.0","887,900.0","913,928.0","931,468.0","945,624.0","960,272.0","974,708.0","984,672.0","1,009,384.0","1,028,528.0","1,020,036.0","1,027,192.0","1,042,096.0","1,044,812.0","1,069,392.0","1,086,628.0","1,085,148.0","1,093,568.0","1,122,432.0","1,143,764.0","1,163,700.0","1,182,588.0","1,197,844.0","1,231,540.0","1,253,004.0","1,263,964.0","1,288,296.0","1,250,820.0","1,312,688.0","1,345,056.0","1,372,808.0","1,420,976.0","1,441,280.0","1,459,712.0","1,480,012.0","1,484,336.0","1,493,952.0","1,508,316.0","1,530,644.0","1,513,008.0","1,526,136.0","1,552,676.0","1,578,228.0","1,600,428.0","1,613,424.0","1,624,296.0","1,617,868.0","1,661,968.0","1,671,420.0","1,672,104.0","1,693,248.0","1,697,988.0","1,712,204.0","1,713,024.0","1,741,944.0","1,726,092.0","1,739,524.0","1,743,380.0","1,768,132.0","1,773,216.0","1,776,292.0","1,799,912.0","1,835,212.0","1,827,664.0","1,872,216.0","1,882,876.0","1,904,984.0","1,942,528.0","1,967,964.0","1,999,256.0","2,009,328.0","2,065,388.0","2,108,056.0","2,118,808.0","2,156,160.0","2,186,856.0","2,277,760.0","2,278,804.0","2,302,436.0","2,353,648.0","2,373,416.0","2,405,792.0","2,440,768.0","2,519,584.0","2,545,380.0","2,592,796.0","2,634,596.0","2,681,140.0","2,731,220.0","2,762,852.0","2,738,056.0","2,844,420.0","2,895,980.0","2,916,624.0","2,942,780.0","3,028,924.0","3,174,160.0","3,140,412.0","3,119,396.0","3,219,848.0","3,516,932.0","3,526,976.0","3,537,928.0","3,636,584.0","3,685,804.0","3,733,064.0","3,757,784.0","3,729,008.0","3,829,456.0","3,745,248.0"
"62","42","    Gross government investment","A787RC1","16,812.0","14,436.0","15,252.0","13,364.0","15,188.0","14,692.0","14,380.0","15,052.0","11,940.0","11,588.0","12,656.0","10,596.0","11,500.0","13,220.0","10,928.0","12,352.0","14,828.0","14,144.0","12,540.0","13,004.0","14,632.0","16,496.0","17,136.0","18,216.0","18,212.0","16,672.0","21,132.0","22,032.0","22,188.0","21,304.0","23,280.0","23,452.0","24,492.0","25,344.0","24,984.0","24,044.0","24,644.0","27,140.0","28,412.0","30,152.0","29,076.0","29,964.0","34,524.0","33,000.0","35,932.0","35,872.0","35,536.0","37,788.0","38,452.0","41,608.0","43,140.0","44,512.0","43,512.0","48,684.0","47,288.0","50,464.0","52,396.0","54,836.0","57,872.0","60,504.0","62,156.0","63,544.0","62,060.0","69,748.0","68,832.0","73,212.0","78,644.0","76,984.0","74,300.0","77,760.0","86,324.0","83,276.0","82,380.0","86,804.0","88,728.0","85,412.0","79,372.0","79,756.0","79,832.0","80,420.0","81,052.0","81,680.0","86,728.0","82,388.0","86,504.0","88,672.0","89,396.0","89,480.0","86,556.0","90,664.0","89,152.0","86,616.0","87,648.0","88,896.0","89,488.0","89,028.0","85,368.0","84,552.0","81,972.0","83,144.0","74,136.0","76,920.0","82,132.0","78,296.0","80,024.0","79,736.0","77,416.0","77,344.0","84,436.0","82,852.0","80,304.0","74,200.0","71,584.0","72,196.0","76,172.0","73,760.0","73,144.0","76,220.0","79,504.0","76,808.0","75,940.0","81,544.0","83,576.0","85,436.0","80,400.0","79,768.0","80,860.0","79,244.0","78,532.0","81,844.0","82,620.0","83,136.0","85,052.0","89,672.0","93,440.0","92,424.0","92,104.0","96,304.0","97,860.0","98,620.0","98,712.0","102,168.0","106,668.0","105,504.0","105,052.0","108,436.0","113,536.0","114,824.0","118,076.0","121,796.0","119,088.0","123,792.0","121,256.0","128,324.0","130,024.0","130,104.0","134,100.0","147,272.0","154,392.0","157,700.0","150,116.0","156,080.0","159,840.0","158,256.0","161,284.0","168,528.0","170,820.0","174,680.0","160,852.0","159,628.0","163,572.0"
"63","43","    Capital transfer payments","W020RC1","5,904.0","5,836.0","5,672.0","6,028.0","5,680.0","5,360.0","4,928.0","5,072.0","5,640.0","6,444.0","5,896.0","5,816.0","5,864.0","5,452.0","7,028.0","5,860.0","5,932.0","6,392.0","5,532.0","6,132.0","7,992.0","8,840.0","6,744.0","8,128.0","8,956.0","8,100.0","11,068.0","10,720.0","10,308.0","10,012.0","10,820.0","11,328.0","10,880.0","10,936.0","12,056.0","10,900.0","11,196.0","11,780.0","12,172.0","12,788.0","13,888.0","13,384.0","14,668.0","16,148.0","16,672.0","16,948.0","16,252.0","17,084.0","16,408.0","15,992.0","15,132.0","15,412.0","14,236.0","14,908.0","14,816.0","14,720.0","16,072.0","14,344.0","16,036.0","15,876.0","16,664.0","17,332.0","18,196.0","18,940.0","17,180.0","19,572.0","20,188.0","21,320.0","19,840.0","20,664.0","21,392.0","18,428.0","18,888.0","19,696.0","18,972.0","18,840.0","19,108.0","19,968.0","20,524.0","19,416.0","20,324.0","20,080.0","18,976.0","21,464.0","22,280.0","20,336.0","20,664.0","49,540.0","25,992.0","22,180.0","37,068.0","20,788.0","21,568.0","23,188.0","22,460.0","23,236.0","24,380.0","22,632.0","25,284.0","24,920.0","23,772.0","27,540.0","26,200.0","26,676.0","27,948.0","28,236.0","28,420.0","26,996.0","29,344.0","28,100.0","27,312.0","28,924.0","28,620.0","29,516.0","29,684.0","29,036.0","27,280.0","27,548.0","29,392.0","31,372.0","28,068.0","32,372.0","34,148.0","50,788.0","35,604.0","36,060.0","35,788.0","38,908.0","40,036.0","42,680.0","42,332.0","43,004.0","48,044.0","44,980.0","44,852.0","58,920.0","54,644.0","68,680.0","66,192.0","60,840.0","61,332.0","59,916.0","70,844.0","61,904.0","71,852.0","66,764.0","133,520.0","67,008.0","72,900.0","70,892.0","70,860.0","67,340.0","74,648.0","81,740.0","85,448.0","89,424.0","88,636.0","92,380.0","106,484.0","359,512.0","309,816.0","232,988.0","161,404.0","194,564.0","166,388.0","211,020.0","146,432.0","134,432.0","126,660.0","157,020.0","154,656.0"
"64","44","    Net purchases of nonproduced assets","AD08RC1","48.0","184.0","128.0","84.0","-88.0","-312.0","-116.0","-532.0","-2,328.0","192.0","240.0","168.0","264.0","256.0","-360.0","-2,988.0","-5,224.0","-1,144.0","-4,792.0","-1,620.0","-3,748.0","-13,924.0","232.0","-5,192.0","-756.0","-592.0","-232.0","-76.0","-816.0","-2,972.0","-4,312.0","-1,356.0","160.0","-920.0","-3,448.0","-1,408.0","104.0","-3,168.0","1,072.0","-484.0","-2,520.0","-228.0","-2,704.0","-5,840.0","-2,600.0","784.0","-1,864.0","-12,456.0","248.0","-5,276.0","-13,016.0","-3,892.0","-3,460.0","-964.0","-436.0","-9,660.0","100.0","-14,584.0","-5,132.0","20.0","-2,768.0","-6,184.0","-4,260.0","-2,404.0","240.0","-136.0","-4,464.0","-232.0","20.0","-7,388.0","32.0","-4,588.0","32.0","-148.0","-780.0","-696.0","220.0","2,468.0","-2,340.0","-812.0","160.0","-1,504.0","-680.0","-752.0","-388.0","-1,312.0","-1,392.0","156.0","200.0","200.0","188.0","200.0","252.0","256.0","228.0","220.0","272.0","204.0","156.0","208.0","36.0","-860.0","1,488.0","-16.0","360.0","-2,288.0","-27,552.0","-76.0","-768.0","-28.0","452.0","-14,780.0","-744.0","-26,840.0","-1,472.0","-1,332.0","-3,632.0","-11,200.0","-5,148.0","-3,204.0","-580.0","-812.0","164.0","-272.0","136.0","-1,120.0","480.0","-456.0","-3,880.0","-1,272.0","2,344.0","152.0","284.0","4.0","624.0","248.0","-2,780.0","-716.0","3,448.0","-652.0","44.0","-744.0","1,792.0","-988.0","288.0","-592.0","-1,644.0","32.0","224.0","-2,312.0","800.0","-52,104.0","-1,324.0","-4,324.0","2,188.0","-1,736.0","-7,732.0","-23,916.0","-6,632.0","-38,456.0","-26,960.0","-2,652.0","1,784.0","-472.0","-192.0","-760.0","1,828.0","120.0","320.0","-192.0","-628.0"
"65","45","    Less: Consumption of fixed capital","A918RC1","15,160.0","15,332.0","15,448.0","15,604.0","15,800.0","15,980.0","16,152.0","16,284.0","16,472.0","16,504.0","16,488.0","16,360.0","16,556.0","16,508.0","16,608.0","16,768.0","16,812.0","16,972.0","17,128.0","17,204.0","17,424.0","17,820.0","18,496.0","18,980.0","19,216.0","19,444.0","19,856.0","20,340.0","20,812.0","21,148.0","21,568.0","21,976.0","22,580.0","22,928.0","23,048.0","23,640.0","24,268.0","24,780.0","25,296.0","25,560.0","25,884.0","26,572.0","27,356.0","28,000.0","28,588.0","29,668.0","30,360.0","31,376.0","32,404.0","33,352.0","34,288.0","35,152.0","36,252.0","37,272.0","38,096.0","38,684.0","39,356.0","40,100.0","41,280.0","42,000.0","43,140.0","44,108.0","44,916.0","46,032.0","46,816.0","47,396.0","48,484.0","49,436.0","49,912.0","51,104.0","52,152.0","53,084.0","54,236.0","54,684.0","55,504.0","56,276.0","57,464.0","58,564.0","59,532.0","60,816.0","61,816.0","62,720.0","63,792.0","64,912.0","66,112.0","67,092.0","68,188.0","69,596.0","70,808.0","71,548.0","72,564.0","73,268.0","73,608.0","74,292.0","74,768.0","75,712.0","76,956.0","77,536.0","78,192.0","78,656.0","79,016.0","79,860.0","80,244.0","81,228.0","81,468.0","81,644.0","81,672.0","82,024.0","81,980.0","81,876.0","81,932.0","81,948.0","82,428.0","82,544.0","82,468.0","82,672.0","82,348.0","82,712.0","82,920.0","83,328.0","83,964.0","84,724.0","85,372.0","86,116.0","87,192.0","87,488.0","88,096.0","88,316.0","88,260.0","88,652.0","88,776.0","88,696.0","88,800.0","88,880.0","89,144.0","89,784.0","90,168.0","90,660.0","91,088.0","91,440.0","92,592.0","94,136.0","95,480.0","97,064.0","98,764.0","99,724.0","100,884.0","102,372.0","103,768.0","105,964.0","107,780.0","108,732.0","110,500.0","112,000.0","113,196.0","114,896.0","116,668.0","119,152.0","121,268.0","122,724.0","123,208.0","124,080.0","125,072.0","126,412.0","127,940.0","129,376.0","130,516.0","132,328.0","134,600.0","136,836.0","139,184.0"
"66","46","  Net lending or net borrowing (-)","AD02RC1","10,260.0","9,936.0","3,412.0","2,664.0","-3,748.0","-16,256.0","-19,228.0","-23,080.0","-18,888.0","-28,300.0","-27,644.0","-24,616.0","-17,572.0","-26,000.0","-13,120.0","-24,392.0","-8,280.0","-12,980.0","-1,972.0","-1,324.0","-5,112.0","-108.0","-12,260.0","-24,128.0","-51,212.0","-105,548.0","-70,672.0","-71,968.0","-59,960.0","-51,720.0","-56,288.0","-62,096.0","-48,136.0","-48,248.0","-52,124.0","-53,208.0","-54,980.0","-33,692.0","-33,136.0","-28,856.0","-17,876.0","-20,108.0","-28,332.0","-33,096.0","-49,064.0","-75,048.0","-84,388.0","-67,864.0","-58,932.0","-59,116.0","-58,464.0","-96,476.0","-112,880.0","-126,996.0","-163,412.0","-191,540.0","-200,068.0","-181,336.0","-209,944.0","-196,124.0","-183,584.0","-191,952.0","-200,340.0","-220,932.0","-183,636.0","-240,192.0","-217,168.0","-227,172.0","-221,792.0","-238,656.0","-259,132.0","-214,768.0","-221,480.0","-172,188.0","-182,904.0","-189,400.0","-182,028.0","-174,580.0","-160,296.0","-167,760.0","-146,952.0","-163,288.0","-173,296.0","-173,304.0","-203,924.0","-202,628.0","-201,120.0","-244,656.0","-188,380.0","-248,188.0","-282,508.0","-282,276.0","-320,608.0","-329,764.0","-339,044.0","-323,488.0","-333,220.0","-292,544.0","-298,604.0","-266,680.0","-239,997.0","-210,465.0","-235,657.0","-230,985.0","-234,010.0","-216,270.0","-191,418.0","-192,946.0","-209,163.0","-161,147.0","-146,019.0","-99,323.0","-89,839.0","-43,355.0","-36,483.0","-38,687.0","17,150.0","35,866.0","56,958.0","58,218.0","87,079.0","96,363.0","99,295.0","97,371.0","204,619.0","176,147.0","180,663.0","177,223.0","161,419.0","114,499.0","-116,545.0","-22,717.0","-223,160.0","-270,392.0","-286,292.0","-331,980.0","-331,840.0","-428,016.0","-507,076.0","-421,868.0","-453,244.0","-427,448.0","-418,828.0","-407,788.0","-342,520.0","-338,740.0","-406,800.0","-321,340.0","-263,204.0","-287,184.0","-271,328.0","-167,204.0","-261,081.0","-304,553.0","-343,730.0","-350,815.0","-460,020.0","-830,756.0","-745,260.0","-988,680.0","-1,281,020.0","-1,544,360.0","-1,482,684.0","-1,477,244.0","-1,450,012.0","-1,509,244.0","-1,430,788.0","-1,459,160.0","-1,352,820.0","-1,449,364.0","-1,349,708.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Prior to 1960, interest payments to persons and business (line 29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and interest receipts (line 13) are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","included in interest payments (line 28), which is shown net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
