"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"54","33","      Capital consumption adjustment","B044RC1","-753.0","-783.0","-811.0","-836.0","-859.0","-887.0","-921.0","-961.0","-1,006.0","-1,049.0","-1,089.0","-1,128.0","-1,165.0","-1,189.0","-1,199.0","-1,195.0","-1,178.0","-1,204.0","-1,273.0","-1,385.0","-1,539.0","-1,718.0","-1,921.0","-2,149.0","-2,402.0","-2,598.0","-2,738.0","-2,822.0","-2,849.0","-2,895.0","-2,961.0","-3,046.0","-3,151.0","-3,256.0","-3,363.0","-3,470.0","-3,578.0","-3,697.0","-3,826.0","-3,966.0","-4,117.0","-4,311.0","-4,548.0","-4,829.0","-5,153.0","-5,458.0","-5,743.0","-6,010.0","-6,258.0","-6,485.0","-6,692.0","-6,878.0","-7,044.0","-7,146.0","-7,184.0","-7,159.0","-7,069.0","-6,991.0","-6,923.0","-6,865.0","-6,818.0","-6,739.0","-6,627.0","-6,484.0","-6,307.0","-6,184.0","-6,113.0","-6,095.0","-6,130.0","-6,134.0","-6,107.0","-6,049.0","-5,961.0","-5,886.0","-5,826.0","-5,779.0","-5,746.0","-5,725.0","-5,718.0","-5,723.0","-5,741.0","-5,748.0","-5,745.0","-5,730.0","-5,706.0","-5,689.0","-5,681.0","-5,681.0","-5,689.0","-5,691.0","-5,688.0","-5,680.0","-5,665.0","-5,643.0","-5,613.0","-5,575.0","-5,529.0","-5,491.0","-5,461.0","-5,439.0","-5,426.0","-5,419.0","-5,421.0","-5,430.0","-5,447.0","-5,448.0","-5,432.0","-5,401.0","-5,354.0","-5,301.0","-5,241.0","-5,175.0","-5,102.0","-5,032.0","-4,965.0","-4,900.0","-4,838.0","-4,793.0","-4,764.0","-4,753.0","-4,759.0","-4,755.0","-4,742.0","-4,720.0","-4,689.0","-4,665.0","-4,649.0","-4,641.0","-4,634.0","-4,635.0","-4,624.0","-4,651.0","-4,523.0","-4,502.0","-4,512.0","-4,539.0","-4,593.0","-4,488.0","-4,493.0","-4,522.0","-4,693.0","-4,798.0","-4,878.0","-5,012.0","-5,374.0","-5,413.0","-5,454.0","-5,559.0","-5,713.0","-5,845.0","-5,925.0","-5,990.0","-6,076.0","-6,078.0","-6,083.0","-6,302.0","-6,253.0","-6,431.0","-6,662.0","-6,706.0","-6,643.0","-6,399.0","-6,237.0","-6,161.0","-5,971.0","-5,855.0","-5,805.0","-5,757.0","-5,777.0","-5,891.0","-5,912.0","-5,868.0","-5,975.0","-5,849.0","-5,790.0","-5,746.0","-5,728.0","-5,759.0","-5,729.0","-5,828.0","-5,920.0","-5,882.0","-5,886.0","-5,871.0","-5,892.0"
"55","34","    Nonfarm","A045RC1","64,066.0","64,562.0","64,825.0","63,235.0","63,547.0","64,331.0","65,313.0","66,444.0","67,225.0","69,580.0","71,631.0","73,637.0","74,774.0","75,904.0","78,353.0","83,250.0","82,383.0","82,355.0","84,319.0","84,726.0","87,118.0","88,540.0","89,521.0","89,800.0","92,994.0","94,181.0","96,934.0","100,846.0","106,969.0","111,612.0","116,568.0","119,906.0","122,626.0","126,437.0","130,595.0","134,453.0","140,041.0","145,206.0","147,558.0","151,406.0","156,302.0","157,345.0","158,479.0","157,025.0","154,254.0","157,190.0","161,660.0","166,345.0","170,583.0","158,189.0","158,940.0","154,898.0","150,809.0","156,644.0","158,765.0","165,291.0","170,385.0","174,780.0","183,613.0","191,532.0","202,387.0","210,493.0","211,934.0","204,423.0","217,834.0","218,044.0","221,450.0","222,955.0","227,366.0","231,984.0","237,790.0","237,597.0","248,175.0","253,269.0","260,654.0","268,198.0","285,986.0","295,345.0","305,213.0","309,667.0","312,007.0","307,695.0","307,719.0","308,229.0","312,244.0","319,649.0","328,510.0","328,769.0","322,903.0","326,905.0","330,996.0","335,886.0","347,885.0","362,017.0","373,378.0","387,136.0","392,753.0","397,118.0","399,933.0","406,812.0","411,162.0","420,272.0","427,540.0","440,419.0","450,214.0","456,836.0","466,425.0","476,320.0","489,908.0","506,859.0","517,614.0","525,829.0","541,586.0","550,933.0","560,038.0","569,379.0","593,529.0","607,229.0","622,473.0","639,747.0","652,333.0","665,942.0","677,614.0","693,431.0","697,848.0","721,871.0","732,838.0","752,621.0","782,141.0","802,516.0","818,986.0","815,227.0","843,253.0","851,982.0","852,635.0","856,562.0","849,111.0","855,276.0","867,417.0","876,277.0","891,919.0","908,915.0","917,225.0","928,399.0","907,877.0","911,550.0","943,262.0","967,667.0","1,021,786.0","1,026,326.0","1,016,050.0","1,006,678.0","953,178.0","938,462.0","930,855.0","941,773.0","962,182.0","995,888.0","998,124.0","961,734.0","914,006.0","912,751.0","941,230.0","982,157.0","978,452.0","981,481.0","980,799.0","1,006,043.0","1,027,601.0","1,052,948.0","1,083,842.0","1,108,107.0","1,154,671.0","1,183,585.0","1,194,180.0","1,219,067.0","1,235,646.0","1,246,471.0","1,259,188.0","1,272,566.0","1,292,878.0","1,307,583.0","1,324,244.0","1,341,728.0","1,341,013.0"
"56","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","65,068.0","65,308.0","65,372.0","64,232.0","64,454.0","65,140.0","66,426.0","67,766.0","68,972.0","71,100.0","72,739.0","74,511.0","75,606.0","76,653.0","79,268.0","84,395.0","84,448.0","84,735.0","86,070.0","86,809.0","90,270.0","92,091.0","94,945.0","93,985.0","95,533.0","96,673.0","99,791.0","103,531.0","109,307.0","114,192.0","118,952.0","122,424.0","125,430.0","128,470.0","132,317.0","136,411.0","140,468.0","147,943.0","150,873.0","154,078.0","156,164.0","157,943.0","160,239.0","162,065.0","160,860.0","157,192.0","161,615.0","167,142.0","167,113.0","155,382.0","154,936.0","151,386.0","148,508.0","153,870.0","155,381.0","159,721.0","161,778.0","164,092.0","169,957.0","175,359.0","183,684.0","190,059.0","188,630.0","178,744.0","189,472.0","187,882.0","189,083.0","189,962.0","190,670.0","195,487.0","201,934.0","203,617.0","216,755.0","223,822.0","231,980.0","239,744.0","257,346.0","266,541.0","276,920.0","280,816.0","282,271.0","278,373.0","278,466.0","281,776.0","289,891.0","299,693.0","311,784.0","313,612.0","306,226.0","310,752.0","315,301.0","319,791.0","330,435.0","344,745.0","355,221.0","368,563.0","374,291.0","378,765.0","381,881.0","390,358.0","396,613.0","406,868.0","415,294.0","428,042.0","439,057.0","445,164.0","452,954.0","461,008.0","473,439.0","488,739.0","496,810.0","502,853.0","514,836.0","521,789.0","529,488.0","537,855.0","559,839.0","572,505.0","585,030.0","600,520.0","608,457.0","621,386.0","632,471.0","648,368.0","652,348.0","673,133.0","678,312.0","692,385.0","715,767.0","731,701.0","741,921.0","732,041.0","749,185.0","762,423.0","767,281.0","773,155.0","769,848.0","761,133.0","768,518.0","776,091.0","797,094.0","814,373.0","820,387.0","832,496.0","848,007.0","847,722.0","881,923.0","906,212.0","953,003.0","959,041.0","945,618.0","933,550.0","883,876.0","863,790.0","850,287.0","864,079.0","838,707.0","871,405.0","859,891.0","784,006.0","757,774.0","770,391.0","805,928.0","853,210.0","852,654.0","849,253.0","832,360.0","837,328.0","857,382.0","872,273.0","895,310.0","917,940.0","1,016,316.0","1,024,368.0","1,034,047.0","1,051,952.0","1,069,332.0","1,078,018.0","1,094,847.0","1,107,402.0","1,192,194.0","1,204,088.0","1,218,880.0","1,229,107.0","1,288,429.0"
"57","36","      Inventory valuation adjustment","B179RC1","-688.0","-400.0","-172.0","-596.0","-484.0","-344.0","-588.0","-716.0","-544.0","-680.0","-528.0","-476.0","-560.0","-552.0","-760.0","-1,012.0","-1,949.0","-2,241.0","-1,557.0","-1,801.0","-2,764.0","-3,000.0","-4,660.0","-3,148.0","-1,222.0","-946.0","-1,202.0","-1,050.0","-787.0","-1,151.0","-1,047.0","-1,255.0","-1,645.0","-953.0","-741.0","-1,105.0","340.0","-2,184.0","-3,024.0","-2,680.0","-462.0","-1,414.0","-2,686.0","-5,986.0","-6,915.0","-595.0","-1,155.0","-2,895.0","-682.0","-2,042.0","-1,050.0","-1,246.0","-836.0","-376.0","-616.0","-184.0","-236.0","-844.0","-500.0","-484.0","-216.0","-828.0","-304.0","-260.0","192.0","-152.0","120.0","-904.0","820.0","140.0","-164.0","-948.0","-588.0","-1,144.0","-912.0","-600.0","-780.0","-812.0","-1,684.0","-1,524.0","-1,964.0","-1,836.0","-476.0","-1,004.0","-744.0","-496.0","-1,584.0","-1,648.0","292.0","124.0","-412.0","-484.0","-64.0","-960.0","-624.0","-500.0","-744.0","-524.0","-44.0","-412.0","-644.0","-596.0","-1,040.0","-672.0","-2,136.0","-2,148.0","-1,164.0","-428.0","-672.0","-728.0","-48.0","-168.0","1,040.0","1,304.0","984.0","620.0","1,824.0","1,216.0","1,624.0","460.0","1,580.0","-432.0","-1,740.0","-2,948.0","-2,896.0","-2,048.0","-652.0","-1,324.0","-1,076.0","-380.0","1,672.0","3,716.0","3,524.0","1,008.0","-1,304.0","-1,496.0","-2,660.0","596.0","-1,316.0","-1,936.0","-2,444.0","-4,768.0","-4,324.0","-6,668.0","-4,564.0","-1,776.0","-4,888.0","-4,804.0","-3,776.0","-5,884.0","-3,460.0","-1,228.0","-6,276.0","-4,120.0","-3,144.0","-12,268.0","-16,924.0","-21,328.0","-9,860.0","29,752.0","16,516.0","2,892.0","-4,208.0","-9,724.0","-7,324.0","-1,404.0","-1,880.0","-14,424.0","-22,368.0","-10,424.0","-3,000.0","-4,020.0","-3,856.0","3,512.0","-4,292.0","-1,028.0","-444.0","2,940.0","-684.0","-48.0","-4,316.0","-1,396.0","904.0","8,004.0","11,868.0"
"58","37","      Capital consumption adjustment","B047RC1","-314.0","-346.0","-375.0","-401.0","-423.0","-465.0","-525.0","-606.0","-1,203.0","-840.0","-580.0","-398.0","-272.0","-197.0","-155.0","-133.0","-116.0","-139.0","-194.0","-282.0","-388.0","-551.0","-764.0","-1,037.0","-1,317.0","-1,546.0","-1,655.0","-1,635.0","-1,551.0","-1,429.0","-1,337.0","-1,263.0","-1,159.0","-1,080.0","-981.0","-853.0","-767.0","-553.0","-291.0","8.0","600.0","816.0","926.0","946.0","309.0","593.0","1,200.0","2,098.0","4,152.0","4,849.0","5,054.0","4,758.0","3,137.0","3,150.0","4,000.0","5,754.0","8,843.0","11,532.0","14,156.0","16,657.0","18,919.0","21,262.0","23,608.0","25,939.0","28,170.0","30,314.0","32,247.0","33,897.0","35,876.0","36,357.0","36,020.0","34,928.0","32,008.0","30,591.0","29,586.0","29,054.0","29,420.0","29,616.0","29,977.0","30,375.0","31,700.0","31,158.0","29,729.0","27,457.0","23,097.0","20,452.0","18,310.0","16,805.0","16,385.0","16,029.0","16,107.0","16,579.0","17,514.0","18,232.0","18,781.0","19,073.0","19,206.0","18,877.0","18,096.0","16,866.0","15,193.0","14,000.0","13,286.0","13,049.0","13,293.0","13,820.0","14,635.0","15,740.0","17,141.0","18,848.0","20,852.0","23,144.0","25,710.0","27,840.0","29,566.0","30,904.0","31,866.0","33,508.0","35,819.0","38,767.0","42,296.0","44,988.0","46,883.0","48,011.0","48,396.0","50,786.0","55,178.0","61,560.0","67,450.0","71,195.0","75,393.0","79,470.0","90,544.0","88,551.0","86,658.0","84,903.0","81,923.0","93,547.0","100,215.0","102,122.0","97,269.0","99,310.0","101,162.0","102,571.0","64,434.0","65,604.0","66,227.0","66,259.0","72,559.0","73,169.0","73,892.0","74,356.0","75,578.0","78,792.0","83,712.0","89,962.0","140,399.0","145,811.0","148,093.0","147,976.0","139,716.0","139,468.0","139,510.0","138,671.0","133,122.0","133,632.0","150,319.0","183,139.0","192,587.0","191,099.0","191,532.0","194,187.0","142,211.0","155,705.0","164,425.0","168,143.0","166,758.0","165,513.0","165,025.0","165,212.0","105,000.0","104,891.0","104,460.0","104,617.0","40,716.0"
"59","38","  Rental income of persons with CCAdj","A048RC1","20,247.0","20,314.0","20,474.0","20,465.0","20,487.0","20,274.0","20,915.0","21,220.0","21,191.0","21,776.0","22,151.0","22,600.0","23,207.0","20,259.0","23,981.0","23,856.0","23,633.0","23,485.0","22,482.0","23,433.0","23,676.0","23,079.0","23,432.0","23,170.0","22,898.0","22,642.0","22,484.0","22,092.0","21,949.0","20,767.0","20,336.0","19,434.0","17,133.0","16,625.0","15,760.0","15,264.0","16,494.0","16,188.0","17,398.0","17,558.0","17,767.0","15,588.0","15,350.0","17,572.0","19,963.0","14,130.0","17,014.0","27,830.0","26,167.0","24,423.0","24,108.0","26,959.0","27,578.0","24,048.0","25,948.0","26,983.0","27,437.0","27,433.0","27,416.0","27,668.0","26,887.0","25,162.0","27,624.0","31,867.0","30,170.0","29,176.0","30,252.0","28,425.0","24,779.0","24,247.0","20,495.0","18,096.0","18,819.0","17,365.0","20,972.0","23,673.0","22,984.0","22,630.0","23,929.0","30,918.0","26,818.0","24,713.0","22,724.0","23,399.0","25,898.0","30,152.0","34,830.0","34,550.0","36,152.0","38,583.0","43,040.0","50,244.0","53,948.0","61,050.0","68,031.0","74,278.0","83,217.0","91,889.0","96,265.0","103,181.0","112,742.0","117,371.0","120,745.0","119,027.0","122,205.0","126,095.0","130,154.0","138,290.0","143,930.0","146,040.0","147,975.0","149,860.0","148,962.0","149,865.0","152,564.0","156,795.0","161,504.0","167,196.0","172,609.0","178,146.0","180,789.0","184,119.0","183,944.0","183,565.0","184,223.0","184,349.0","186,936.0","195,379.0","201,730.0","207,523.0","210,105.0","210,814.0","215,191.0","217,416.0","216,829.0","219,771.0","226,843.0","233,983.0","239,922.0","251,339.0","254,579.0","258,696.0","254,552.0","253,839.0","246,135.0","242,931.0","231,585.0","233,109.0","223,240.0","211,898.0","204,270.0","190,677.0","177,916.0","189,605.0","192,871.0","197,247.0","225,321.0","249,954.0","273,390.0","299,757.0","310,792.0","325,036.0","344,381.0","354,589.0","380,460.0","397,251.0","408,312.0","424,995.0","460,080.0","477,973.0","491,552.0","511,576.0","516,596.0","526,549.0","537,076.0","551,663.0","575,004.0","590,803.0","604,225.0","613,273.0","622,926.0","635,372.0","646,683.0","655,960.0","662,801.0"
"60","39","    Rental income of persons (without CCAdj)","B049RC1","21,176.0","21,286.0","21,474.0","21,480.0","21,503.0","21,303.0","21,968.0","22,310.0","22,330.0","22,961.0","23,379.0","23,868.0","24,511.0","21,609.0","25,386.0","25,325.0","25,175.0","25,106.0","24,189.0","25,231.0","25,572.0","25,075.0","25,531.0","25,375.0","25,212.0","25,048.0","24,967.0","24,637.0","24,539.0","23,422.0","23,075.0","22,278.0","20,100.0","19,730.0","19,017.0","18,687.0","20,097.0","19,967.0","21,351.0","21,683.0","22,060.0","20,059.0","20,008.0","22,427.0","25,024.0","19,383.0","22,444.0","33,422.0","31,907.0","30,299.0","30,108.0","33,072.0","33,792.0","30,333.0","32,273.0","33,319.0","33,753.0","33,747.0","33,746.0","34,032.0","33,304.0","31,620.0","34,110.0","38,370.0","36,678.0","35,712.0","36,840.0","35,089.0","31,543.0","31,111.0","27,459.0","25,160.0","25,983.0","24,617.0","28,300.0","31,064.0","30,426.0","30,127.0","31,486.0","38,538.0","34,505.0","32,456.0","30,512.0","31,220.0","33,741.0","38,010.0","42,698.0","42,421.0","44,020.0","46,437.0","50,869.0","58,037.0","61,695.0","68,796.0","75,823.0","82,162.0","91,238.0","100,029.0","104,504.0","111,500.0","121,122.0","125,822.0","129,279.0","127,654.0","130,937.0","134,911.0","139,033.0","147,212.0","152,874.0","155,014.0","156,987.0","158,918.0","158,073.0","159,034.0","161,796.0","166,095.0","170,877.0","176,650.0","182,151.0","187,785.0","190,533.0","194,000.0","193,996.0","193,820.0","194,715.0","195,018.0","197,724.0","206,226.0","212,864.0","218,960.0","221,815.0","222,506.0","226,788.0","229,099.0","228,563.0","231,804.0","239,240.0","246,383.0","252,456.0","264,232.0","267,904.0","272,457.0","268,800.0","268,485.0","261,077.0","258,228.0","247,656.0","249,719.0","240,226.0","229,062.0","221,497.0","207,936.0","195,270.0","206,820.0","210,048.0","214,341.0","242,226.0","266,551.0","289,458.0","315,235.0","325,802.0","339,617.0","358,640.0","369,031.0","394,787.0","411,213.0","422,207.0","439,014.0","474,081.0","491,985.0","505,540.0","525,579.0","530,507.0","540,526.0","551,268.0","566,078.0","589,730.0","605,885.0","619,841.0","629,464.0","639,801.0","652,240.0","663,967.0","673,465.0","680,335.0"
"61","40","    Capital consumption adjustment","B050RC1","-929.0","-972.0","-1,000.0","-1,015.0","-1,016.0","-1,029.0","-1,053.0","-1,090.0","-1,139.0","-1,185.0","-1,228.0","-1,268.0","-1,304.0","-1,350.0","-1,405.0","-1,469.0","-1,542.0","-1,621.0","-1,707.0","-1,798.0","-1,896.0","-1,996.0","-2,099.0","-2,205.0","-2,314.0","-2,406.0","-2,483.0","-2,545.0","-2,590.0","-2,655.0","-2,739.0","-2,844.0","-2,967.0","-3,105.0","-3,257.0","-3,423.0","-3,603.0","-3,779.0","-3,953.0","-4,125.0","-4,293.0","-4,471.0","-4,658.0","-4,855.0","-5,061.0","-5,253.0","-5,430.0","-5,592.0","-5,740.0","-5,876.0","-6,000.0","-6,113.0","-6,214.0","-6,285.0","-6,325.0","-6,336.0","-6,316.0","-6,314.0","-6,330.0","-6,364.0","-6,417.0","-6,458.0","-6,486.0","-6,503.0","-6,508.0","-6,536.0","-6,588.0","-6,664.0","-6,764.0","-6,864.0","-6,964.0","-7,064.0","-7,164.0","-7,252.0","-7,328.0","-7,391.0","-7,442.0","-7,497.0","-7,557.0","-7,620.0","-7,687.0","-7,743.0","-7,788.0","-7,821.0","-7,843.0","-7,858.0","-7,868.0","-7,871.0","-7,868.0","-7,854.0","-7,829.0","-7,793.0","-7,747.0","-7,746.0","-7,792.0","-7,884.0","-8,021.0","-8,140.0","-8,239.0","-8,319.0","-8,380.0","-8,451.0","-8,534.0","-8,627.0","-8,732.0","-8,816.0","-8,879.0","-8,922.0","-8,944.0","-8,974.0","-9,012.0","-9,058.0","-9,111.0","-9,169.0","-9,232.0","-9,300.0","-9,373.0","-9,454.0","-9,542.0","-9,639.0","-9,744.0","-9,881.0","-10,052.0","-10,255.0","-10,492.0","-10,669.0","-10,788.0","-10,847.0","-11,134.0","-11,437.0","-11,710.0","-11,692.0","-11,597.0","-11,683.0","-11,734.0","-12,033.0","-12,397.0","-12,400.0","-12,534.0","-12,893.0","-13,325.0","-13,761.0","-14,248.0","-14,646.0","-14,942.0","-15,297.0","-16,071.0","-16,610.0","-16,986.0","-17,164.0","-17,227.0","-17,259.0","-17,354.0","-17,215.0","-17,177.0","-17,094.0","-16,905.0","-16,597.0","-16,068.0","-15,478.0","-15,010.0","-14,581.0","-14,259.0","-14,442.0","-14,327.0","-13,962.0","-13,895.0","-14,019.0","-14,001.0","-14,012.0","-13,988.0","-14,003.0","-13,911.0","-13,977.0","-14,192.0","-14,415.0","-14,726.0","-15,082.0","-15,616.0","-16,191.0","-16,875.0","-16,868.0","-17,284.0","-17,505.0","-17,534.0"
"62","41","  Corporate profits with IVA and CCAdj","A051RC1","103,476.0","100,332.0","97,418.0","92,440.0","84,663.0","88,470.0","88,383.0","83,458.0","96,622.0","98,738.0","101,436.0","105,790.0","111,518.0","113,410.0","118,171.0","125,749.0","133,496.0","131,250.0","133,028.0","135,784.0","130,296.0","128,925.0","124,284.0","119,314.0","117,750.0","128,940.0","149,762.0","158,982.0","175,111.0","173,151.0","174,747.0","174,343.0","184,122.0","204,910.0","219,642.0","214,458.0","209,938.0","239,724.0","246,224.0","258,389.0","249,692.0","252,142.0","250,072.0","244,013.0","237,466.0","207,046.0","214,614.0","235,113.0","244,352.0","240,843.0","257,842.0","246,938.0","221,847.0","236,213.0","233,675.0","227,695.0","244,581.0","274,689.0","291,244.0","308,555.0","336,608.0","338,227.0","333,584.0","343,107.0","347,882.0","351,531.0","368,854.0","349,685.0","340,696.0","326,569.0","315,553.0","314,677.0","325,851.0","362,888.0","386,385.0","388,804.0","394,495.0","409,066.0","415,729.0","440,227.0","423,892.0","415,852.0","416,482.0","400,739.0","413,498.0","433,404.0","407,100.0","414,607.0","453,969.0","451,488.0","449,372.0","450,488.0","476,546.0","477,827.0","463,208.0","483,503.0","481,265.0","509,386.0","523,613.0","573,729.0","581,572.0","604,480.0","638,544.0","663,060.0","664,687.0","689,236.0","723,155.0","734,986.0","768,943.0","781,398.0","786,566.0","807,306.0","835,260.0","857,730.0","892,617.0","877,468.0","808,482.0","805,150.0","813,248.0","789,562.0","842,186.0","835,620.0","819,168.0","823,944.0","803,288.0","792,760.0","775,771.0","752,991.0","743,624.0","774,045.0","742,296.0","756,190.0","850,714.0","881,025.0","910,082.0","986,845.0","988,174.0","1,028,859.0","1,076,363.0","1,132,103.0","1,238,712.0","1,266,792.0","1,325,678.0","1,302,198.0","1,427,763.0","1,445,994.0","1,474,257.0","1,562,902.0","1,627,434.0","1,649,195.0","1,693,540.0","1,615,854.0","1,530,945.0","1,596,852.0","1,518,143.0","1,470,026.0","1,383,409.0","1,367,634.0","1,371,310.0","1,017,895.0","1,258,954.0","1,301,012.0","1,463,252.0","1,564,670.0","1,658,485.0","1,666,427.0","1,814,036.0","1,846,731.0","1,677,381.0","1,790,002.0","1,826,643.0","1,972,487.0","1,977,914.0","2,024,754.0","2,040,999.0","2,047,550.0","2,039,420.0","2,103,560.0","2,140,651.0","2,143,803.0","1,942,146.0","2,106,165.0","2,170,745.0","2,140,276.0","2,014,843.0"
"63","42","    Corporate profits with IVA","A052RC1","95,762.0","92,583.0","89,766.0","85,019.0","77,607.0","81,770.0","82,028.0","77,438.0","90,928.0","93,068.0","95,488.0","99,263.0","104,109.0","105,437.0","109,952.0","117,600.0","125,735.0","124,017.0","126,465.0","130,029.0","125,492.0","125,463.0","122,556.0","119,712.0","120,667.0","133,846.0","156,127.0","166,275.0","182,802.0","181,031.0","182,604.0","181,967.0","191,303.0","211,847.0","226,531.0","221,499.0","217,327.0","247,550.0","254,575.0","267,351.0","259,354.0","263,029.0","262,708.0","258,924.0","255,176.0","225,618.0","232,110.0","249,595.0","253,882.0","246,382.0","260,352.0","247,379.0","221,180.0","233,356.0","227,544.0","217,210.0","228,658.0","253,630.0","265,351.0","278,130.0","301,952.0","298,293.0","287,325.0","289,475.0","285,832.0","285,005.0","301,798.0","286,045.0","284,416.0","275,297.0","266,939.0","266,368.0","275,497.0","311,285.0","334,330.0","337,093.0","343,926.0","359,702.0","367,634.0","393,467.0","378,529.0","372,719.0","376,412.0","364,564.0","382,050.0","406,029.0","383,143.0","393,414.0","434,886.0","434,049.0","433,108.0","434,934.0","461,233.0","462,524.0","447,682.0","467,521.0","464,595.0","491,078.0","502,720.0","549,300.0","552,658.0","572,280.0","604,254.0","627,880.0","629,814.0","654,014.0","686,932.0","697,108.0","728,755.0","738,664.0","741,051.0","758,774.0","783,477.0","803,443.0","836,573.0","820,415.0","751,169.0","746,542.0","752,310.0","725,260.0","773,485.0","765,425.0","750,385.0","759,478.0","746,044.0","740,932.0","727,554.0","706,580.0","701,030.0","735,788.0","687,113.0","670,787.0","732,166.0","763,545.0","799,760.0","884,828.0","903,237.0","925,054.0","975,594.0","1,035,688.0","1,156,093.0","1,192,699.0","1,260,711.0","1,251,125.0","1,552,195.0","1,583,447.0","1,622,409.0","1,726,716.0","1,781,295.0","1,812,901.0","1,867,251.0","1,801,544.0","1,706,355.0","1,777,524.0","1,699,747.0","1,651,948.0","1,435,726.0","1,423,872.0","1,436,525.0","1,085,822.0","1,352,757.0","1,382,650.0","1,537,947.0","1,643,494.0","1,754,919.0","1,767,824.0","1,868,473.0","1,807,511.0","1,603,836.0","1,717,061.0","1,748,827.0","1,884,346.0","2,088,648.0","2,130,741.0","2,141,788.0","2,145,319.0","2,167,285.0","2,234,977.0","2,273,746.0","2,278,614.0","2,272,597.0","2,437,420.0","2,501,142.0","2,466,761.0","2,561,730.0"
"64","43","      Profits before tax (without IVA and CCAdj)","A053RC1","100,694.0","97,803.0","94,702.0","93,411.0","86,399.0","86,350.0","88,276.0","84,026.0","94,536.0","97,736.0","101,096.0","103,715.0","109,925.0","111,285.0","115,772.0","126,556.0","141,563.0","145,069.0","145,145.0","152,745.0","157,260.0","162,207.0","172,572.0","154,068.0","133,019.0","140,826.0","167,855.0","177,391.0","193,546.0","195,931.0","197,820.0","197,559.0","212,751.0","227,171.0","235,983.0","238,067.0","238,131.0","270,750.0","277,887.0","294,871.0","294,422.0","303,013.0","306,828.0","300,304.0","308,632.0","259,646.0","274,406.0","288,347.0","291,310.0","270,690.0","278,516.0","265,983.0","234,080.0","238,100.0","233,940.0","223,190.0","226,410.0","260,694.0","280,503.0","287,942.0","308,544.0","308,101.0","287,037.0","289,279.0","285,280.0","284,661.0","294,630.0","294,025.0","264,680.0","261,373.0","261,503.0","277,220.0","289,373.0","330,457.0","350,054.0","353,277.0","362,230.0","385,182.0","393,782.0","412,231.0","412,269.0","391,611.0","376,844.0","376,892.0","385,622.0","404,009.0","413,339.0","413,234.0","423,450.0","425,449.0","431,732.0","436,638.0","459,017.0","473,120.0","451,034.0","467,073.0","470,683.0","497,402.0","502,316.0","553,376.0","560,914.0","582,456.0","619,930.0","643,516.0","662,350.0","682,222.0","696,764.0","699,668.0","726,619.0","740,316.0","736,359.0","751,666.0","764,965.0","787,743.0","821,465.0","813,375.0","736,753.0","731,170.0","733,218.0","711,168.0","749,293.0","761,649.0","764,893.0","788,754.0","771,284.0","761,980.0","736,638.0","718,444.0","719,382.0","736,872.0","670,333.0","635,955.0","686,046.0","750,085.0","814,132.0","905,492.0","921,489.0","918,978.0","980,642.0","1,056,696.0","1,179,497.0","1,237,907.0","1,299,215.0","1,301,821.0","1,590,919.0","1,601,891.0","1,654,781.0","1,765,704.0","1,813,575.0","1,866,877.0","1,905,747.0","1,819,492.0","1,744,999.0","1,809,760.0","1,716,435.0","1,722,472.0","1,558,770.0","1,573,752.0","1,501,417.0","895,838.0","1,259,253.0","1,361,050.0","1,558,187.0","1,711,718.0","1,795,011.0","1,788,432.0","1,886,541.0","1,892,771.0","1,747,740.0","1,806,525.0","1,781,387.0","1,891,574.0","2,120,944.0","2,119,437.0","2,155,688.0","2,148,423.0","2,169,005.0","2,219,805.0","2,270,898.0","2,281,586.0","2,297,205.0","2,450,108.0","2,497,138.0","2,435,277.0","2,500,802.0"
