"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"55","35","    Current expenditures","W024RC1","95,326.0","98,345.0","101,860.0","105,436.0","109,687.0","113,689.0","118,046.0","122,293.0","127,222.0","131,246.0","135,111.0","138,365.0","143,239.0","146,648.0","150,786.0","153,242.0","157,046.0","161,075.0","164,822.0","169,624.0","173,391.0","180,336.0","187,550.0","195,082.0","204,114.0","211,703.0","216,555.0","220,835.0","223,997.0","226,608.0","230,773.0","234,859.0","240,654.0","247,112.0","252,288.0","257,823.0","263,695.0","269,217.0","274,546.0","280,018.0","287,612.0","292,454.0","300,944.0","309,281.0","318,220.0","324,676.0","334,407.0","342,474.0","352,099.0","360,301.0","366,540.0","372,542.0","381,214.0","390,157.0","397,141.0","404,466.0","414,869.0","420,741.0","426,609.0","432,068.0","441,901.0","449,889.0","458,777.0","468,218.0","479,945.0","490,320.0","502,739.0","513,605.0","522,774.0","530,676.0","539,870.0","552,129.0","560,159.0","569,038.0","576,232.0","586,075.0","596,056.0","606,505.0","617,177.0","631,723.0","649,916.0","666,435.0","680,753.0","696,329.0","711,664.0","724,981.0","743,182.0","764,293.0","775,820.0","794,410.0","810,919.0","837,287.0","846,826.0","868,094.0","886,035.0","891,310.0","900,969.0","906,012.0","921,858.0","928,296.0","942,120.0","952,474.0","963,689.0","985,909.0","1,002,099.0","1,012,750.0","1,018,653.0","1,012,055.0","1,027,304.0","1,049,191.0","1,048,266.0","1,055,309.0","1,069,465.0","1,074,375.0","1,088,257.0","1,104,488.0","1,111,624.0","1,125,797.0","1,137,438.0","1,158,492.0","1,181,087.0","1,198,445.0","1,225,135.0","1,245,584.0","1,258,220.0","1,280,596.0","1,304,880.0","1,329,045.0","1,374,143.0","1,420,120.0","1,417,916.0","1,459,508.0","1,473,742.0","1,492,928.0","1,521,509.0","1,549,229.0","1,577,048.0","1,584,870.0","1,607,593.0","1,614,535.0","1,649,408.0","1,676,533.0","1,690,757.0","1,717,078.0","1,738,286.0","1,764,448.0","1,788,170.0","1,810,658.0","1,807,609.0","1,835,738.0","1,872,437.0","1,885,420.0","1,949,833.0","1,958,508.0","1,977,361.0","2,007,560.0","2,027,192.0","2,060,668.0","2,102,420.0","2,106,292.0","2,140,038.0","2,184,377.0","2,216,137.0","2,224,061.0","2,223,987.0","2,228,354.0","2,242,101.0","2,248,863.0","2,249,443.0","2,252,515.0","2,242,193.0","2,241,517.0","2,267,232.0","2,288,616.0","2,298,226.0","2,321,137.0","2,329,112.0","2,342,333.0","2,364,078.0","2,367,472.0","2,397,862.0","2,420,880.0","2,450,682.0","2,453,344.0","2,458,890.0"
"56","36","    Gross government investment","A799RC1","29,037.0","29,462.0","28,874.0","27,898.0","28,169.0","28,506.0","30,295.0","30,372.0","30,350.0","30,823.0","30,329.0","31,341.0","31,468.0","30,371.0","30,874.0","32,655.0","33,424.0","33,327.0","33,871.0","35,332.0","37,676.0","40,878.0","41,719.0","41,728.0","45,354.0","42,336.0","43,730.0","46,781.0","49,278.0","45,584.0","43,091.0","41,612.0","43,505.0","44,874.0","43,801.0","43,659.0","43,050.0","51,192.0","53,628.0","55,428.0","51,487.0","56,946.0","60,710.0","64,280.0","67,456.0","65,731.0","64,088.0","65,520.0","71,023.0","65,789.0","64,055.0","66,799.0","65,326.0","66,276.0","67,177.0","69,193.0","67,781.0","67,249.0","70,334.0","69,943.0","73,320.0","76,079.0","79,713.0","81,242.0","83,130.0","87,641.0","89,376.0","89,240.0","93,989.0","96,092.0","98,227.0","96,492.0","100,126.0","100,557.0","102,967.0","105,124.0","106,101.0","110,633.0","110,641.0","114,273.0","114,415.0","117,849.0","120,009.0","124,582.0","130,713.0","129,938.0","131,407.0","136,594.0","135,041.0","135,829.0","138,102.0","140,206.0","144,791.0","141,088.0","137,220.0","135,795.0","136,036.0","141,853.0","142,613.0","144,309.0","142,108.0","146,165.0","152,622.0","154,355.0","156,845.0","161,293.0","160,014.0","161,764.0","161,071.0","165,835.0","172,045.0","181,686.0","188,902.0","187,657.0","184,685.0","182,067.0","180,613.0","189,620.0","200,895.0","203,827.0","208,209.0","209,924.0","213,449.0","222,856.0","231,360.0","229,616.0","233,135.0","237,402.0","242,936.0","258,209.0","240,986.0","257,027.0","262,543.0","260,967.0","263,400.0","266,271.0","266,485.0","264,767.0","273,116.0","271,242.0","271,622.0","278,563.0","279,133.0","280,500.0","281,498.0","288,193.0","292,483.0","300,876.0","300,999.0","315,283.0","318,543.0","322,369.0","332,530.0","339,028.0","342,539.0","349,040.0","350,711.0","357,955.0","363,724.0","362,977.0","365,289.0","368,468.0","364,085.0","354,344.0","345,321.0","355,845.0","357,645.0","348,618.0","340,149.0","339,395.0","340,547.0","341,876.0","335,142.0","336,351.0","330,719.0","324,370.0","320,699.0","328,536.0","330,496.0","331,626.0","323,595.0","336,061.0","339,434.0","343,555.0","331,323.0"
"57","37","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17,856.0","0.0","0.0","0.0","2,564.0","23,200.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"58","38","    Net purchases of nonproduced assets","AD09RC1","1,091.0","991.0","929.0","913.0","956.0","1,029.0","1,136.0","1,271.0","1,490.0","1,609.0","1,688.0","1,725.0","1,660.0","1,655.0","1,652.0","1,657.0","1,681.0","1,704.0","1,735.0","1,772.0","1,820.0","1,860.0","1,897.0","1,927.0","1,961.0","1,963.0","1,945.0","1,907.0","1,842.0","1,779.0","1,713.0","1,650.0","1,566.0","1,540.0","1,545.0","1,581.0","1,671.0","1,752.0","1,823.0","1,882.0","1,923.0","1,970.0","2,020.0","2,075.0","2,120.0","2,166.0","2,203.0","2,223.0","2,248.0","2,246.0","2,244.0","2,242.0","2,228.0","2,221.0","2,211.0","2,197.0","2,180.0","2,191.0","2,227.0","2,294.0","2,393.0","2,502.0","2,615.0","2,734.0","2,852.0","2,987.0","3,130.0","3,283.0","3,449.0","3,603.0","3,753.0","3,891.0","4,044.0","4,143.0","4,214.0","4,262.0","4,240.0","4,290.0","4,365.0","4,469.0","4,601.0","4,771.0","4,971.0","5,193.0","5,505.0","5,692.0","5,823.0","5,899.0","5,847.0","5,853.0","5,849.0","5,841.0","5,868.0","5,856.0","5,843.0","5,832.0","5,835.0","5,855.0","5,897.0","5,957.0","6,037.0","6,136.0","6,257.0","6,399.0","6,560.0","6,629.0","6,609.0","6,498.0","6,294.0","6,104.0","5,924.0","5,758.0","5,603.0","5,637.0","5,861.0","6,276.0","6,879.0","7,403.0","7,848.0","8,214.0","8,502.0","8,668.0","8,711.0","8,632.0","8,429.0","8,413.0","8,582.0","8,936.0","9,476.0","9,950.0","10,354.0","10,692.0","10,961.0","11,164.0","11,301.0","11,370.0","11,373.0","11,394.0","11,434.0","11,492.0","11,614.0","11,555.0","11,314.0","10,897.0","10,309.0","9,956.0","9,831.0","9,928.0","10,253.0","10,676.0","11,198.0","11,815.0","12,861.0","13,594.0","14,012.0","14,118.0","13,905.0","13,778.0","13,733.0","13,772.0","13,070.0","12,482.0","12,009.0","11,649.0","11,090.0","10,657.0","10,349.0","10,166.0","9,709.0","9,335.0","9,042.0","8,832.0","8,704.0","8,654.0","8,682.0","8,788.0","8,972.0","9,044.0","9,004.0","8,853.0","8,590.0","8,364.0","8,173.0","8,019.0","7,901.0"
"59","39","    Less: Consumption of fixed capital","A919RC1","9,217.0","9,548.0","9,757.0","10,093.0","10,400.0","10,764.0","11,106.0","11,517.0","11,817.0","12,113.0","12,347.0","12,654.0","12,922.0","13,142.0","13,442.0","13,798.0","14,187.0","14,611.0","15,033.0","15,592.0","16,516.0","17,759.0","19,052.0","20,005.0","20,573.0","20,837.0","21,065.0","21,369.0","21,676.0","21,992.0","22,170.0","22,436.0","22,879.0","23,250.0","23,692.0","24,107.0","24,558.0","25,172.0","25,805.0","26,427.0","27,181.0","28,114.0","29,121.0","30,170.0","31,285.0","32,466.0","33,780.0","35,032.0","36,264.0","37,382.0","38,371.0","39,337.0","40,160.0","41,037.0","41,728.0","42,099.0","42,403.0","42,609.0","42,936.0","43,243.0","43,645.0","44,152.0","44,684.0","45,173.0","45,890.0","46,512.0","47,191.0","47,980.0","48,765.0","49,767.0","50,730.0","51,844.0","52,708.0","53,661.0","54,620.0","55,424.0","56,409.0","57,280.0","58,253.0","59,190.0","60,161.0","61,302.0","62,434.0","63,568.0","64,773.0","66,071.0","67,473.0","68,474.0","69,446.0","70,512.0","71,409.0","72,102.0","72,695.0","73,723.0","74,566.0","75,578.0","76,810.0","77,952.0","78,796.0","79,832.0","81,111.0","82,203.0","83,587.0","84,852.0","86,384.0","87,716.0","88,909.0","90,134.0","91,173.0","91,972.0","93,075.0","94,111.0","95,150.0","96,339.0","97,250.0","98,682.0","99,714.0","100,816.0","102,456.0","104,026.0","105,457.0","107,307.0","108,877.0","110,952.0","112,942.0","115,356.0","117,318.0","119,095.0","120,852.0","122,279.0","123,638.0","125,183.0","126,754.0","128,405.0","129,841.0","131,092.0","132,698.0","133,884.0","135,138.0","136,424.0","138,118.0","141,341.0","145,762.0","149,893.0","151,917.0","155,398.0","159,509.0","162,361.0","164,249.0","168,620.0","171,780.0","176,570.0","181,709.0","184,951.0","188,067.0","191,574.0","194,892.0","197,904.0","201,649.0","206,172.0","208,468.0","208,128.0","207,703.0","208,448.0","210,014.0","211,930.0","213,594.0","215,395.0","217,725.0","220,672.0","223,799.0","226,483.0","228,871.0","231,279.0","233,081.0","234,137.0","235,621.0","237,321.0","239,255.0","241,395.0","243,104.0","244,704.0","246,544.0","247,583.0","248,037.0"
"60","40","  Net lending or net borrowing (-)","AD03RC1","-10,317.0","-10,133.0","-8,889.0","-7,446.0","-7,837.0","-8,755.0","-11,422.0","-13,240.0","-13,435.0","-12,289.0","-12,398.0","-11,957.0","-10,821.0","-1,054.0","-8,356.0","4,297.0","-1,147.0","-3,029.0","-5,012.0","-6,419.0","-8,359.0","-11,058.0","-13,742.0","-17,066.0","-24,132.0","-20,059.0","-16,826.0","-19,480.0","-17,995.0","-12,227.0","-8,021.0","-754.0","-4,045.0","-2,910.0","2,949.0","1,978.0","4,555.0","3,806.0","-5,006.0","-3,204.0","-1,942.0","-8,002.0","-7,961.0","-11,249.0","-13,023.0","-14,699.0","-10,011.0","-5,300.0","-10,198.0","-7,953.0","-6,421.0","-13,041.0","-14,571.0","-14,477.0","-16,034.0","-19,344.0","-19,693.0","-10,772.0","-5,085.0","-512.0","5,986.0","8,798.0","983.0","5,255.0","1,962.0","-402.0","-3,161.0","-3,505.0","-518.0","-6,951.0","-4,596.0","-12,529.0","-22,402.0","-8,638.0","-18,818.0","-21,554.0","-17,150.0","-20,995.0","-11,655.0","-17,766.0","-16,722.0","-24,282.0","-32,941.0","-51,682.0","-43,572.0","-48,682.0","-52,906.0","-65,470.0","-66,235.0","-70,001.0","-69,893.0","-80,133.0","-83,471.0","-81,921.0","-84,821.0","-77,965.0","-86,657.0","-83,061.0","-79,301.0","-61,977.0","-67,878.0","-70,641.0","-65,264.0","-72,720.0","-73,620.0","-91,452.0","-78,120.0","-66,661.0","-57,497.0","-63,447.0","-62,375.0","-65,524.0","-69,694.0","-64,200.0","-51,244.0","-46,532.0","-39,881.0","-50,779.0","-55,641.0","-46,711.0","-63,461.0","-67,186.0","-62,281.0","-66,407.0","-61,584.0","-56,911.0","-74,660.0","-91,616.0","-108,255.0","-148,650.0","-146,847.0","-198,202.0","-208,314.0","-214,376.0","-209,057.0","-222,290.0","-252,396.0","-224,596.0","-203,317.0","-180,682.0","-207,866.0","-221,896.0","-215,392.0","-176,497.0","-151,712.0","-157,296.0","-153,752.0","-176,111.0","-115,180.0","-120,902.0","-150,071.0","-160,351.0","-175,217.0","-162,359.0","-182,190.0","-205,221.0","-225,274.0","-230,824.0","-295,858.0","-345,305.0","-375,865.0","-377,038.0","-381,193.0","-351,340.0","-341,727.0","-341,203.0","-292,481.0","-265,661.0","-274,480.0","-255,862.0","-279,098.0","-269,113.0","-279,537.0","-279,567.0","-267,369.0","-240,928.0","-239,980.0","-252,288.0","-254,899.0","-260,660.0","-259,704.0","-254,687.0","-241,112.0","-250,922.0","-224,158.0"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","net of interest payments.  Interest payments includes interest accrued on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","actuarial liabilities of defined benefit pension plans for state and local government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
