"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"53","34","    Other","B853RC1","2,520.0","3,320.0","3,320.0","3,280.0","3,480.0","3,508.0","3,652.0","3,748.0","3,808.0","3,964.0","4,012.0","3,768.0","5,020.0","4,772.0","5,260.0","5,656.0","6,432.0","7,140.0","7,496.0","8,112.0","7,720.0","8,428.0","9,508.0","9,516.0","9,164.0","8,696.0","9,100.0","9,896.0","10,552.0","11,044.0","11,540.0","12,108.0","11,688.0","12,292.0","13,168.0","13,784.0","15,817.0","17,208.0","17,851.0","19,026.0","20,155.0","21,856.0","22,181.0","23,764.0","26,402.0","27,178.0","26,327.0","27,966.0","29,048.0","30,518.0","31,738.0","34,006.0","33,966.0","34,456.0","32,283.0","28,223.0","31,620.0","32,050.0","36,261.0","40,034.0","44,299.0","48,732.0","50,334.0","50,143.0","46,986.0","46,895.0","47,038.0","49,617.0","51,157.0","54,188.0","57,233.0","57,160.0","57,888.0","62,450.0","65,548.0","68,966.0","72,010.0","74,873.0","76,409.0","80,534.0","79,495.0","82,789.0","81,969.0","81,360.0","81,464.0","82,653.0","84,184.0","83,602.0","84,418.0","83,074.0","82,337.0","83,756.0","86,232.0","88,522.0","92,945.0","94,487.0","97,038.0","102,751.0","104,966.0","110,534.0","117,791.0","123,081.0","131,829.0","137,527.0","145,057.0","155,428.0","160,276.0","159,881.0","158,704.0","152,141.0","152,084.0","153,990.0","157,903.0","164,973.0","169,792.0","174,552.0","177,923.0","174,925.0","174,108.0","175,213.0","178,435.0","187,060.0","193,888.0","203,948.0","214,391.0","232,399.0","240,173.0","239,005.0","225,986.0","194,917.0","180,615.0","173,304.0","175,026.0","186,290.0","189,074.0","186,463.0","189,344.0","194,676.0","197,004.0","206,641.0","221,107.0","230,349.0","237,923.0","242,630.0","248,935.0","263,863.0","266,688.0","274,581.0","282,472.0","290,678.0","298,213.0","298,792.0","299,907.0","307,533.0","314,805.0","314,377.0","321,559.0","329,464.0","328,966.0","307,910.0","260,632.0","235,558.0","243,400.0","257,194.0","267,016.0","291,897.0","314,700.0","333,801.0","345,225.0","353,555.0","361,978.0","371,965.0","388,736.0","394,565.0","392,267.0","381,688.0","384,180.0","388,409.0","392,262.0","395,049.0"
"54","35","  Automotive vehicles, engines, and parts","B651RC1","4,040.0","5,168.0","5,552.0","5,468.0","5,296.0","5,724.0","5,820.0","5,888.0","6,892.0","7,248.0","8,184.0","7,900.0","8,812.0","8,780.0","8,692.0","9,680.0","10,296.0","10,756.0","10,652.0","11,128.0","11,724.0","12,756.0","13,268.0","11,952.0","10,460.0","10,928.0","13,144.0","13,808.0","15,860.0","16,860.0","17,392.0","17,016.0","17,472.0","18,744.0","19,932.0","21,288.0","22,804.0","25,537.0","25,306.0","26,506.0","26,337.0","27,179.0","25,971.0","27,027.0","28,374.0","26,414.0","28,103.0","30,138.0","29,555.0","31,058.0","30,407.0","32,941.0","33,201.0","35,895.0","36,550.0","31,531.0","37,395.0","41,696.0","42,623.0","50,465.0","54,266.0","55,798.0","57,226.0","58,797.0","59,540.0","63,140.0","66,666.0","70,278.0","71,546.0","77,667.0","82,153.0","80,875.0","83,391.0","86,008.0","83,650.0","87,647.0","86,634.0","86,471.0","86,425.0","92,262.0","93,775.0","89,305.0","82,364.0","84,155.0","85,712.0","90,574.0","89,238.0","87,275.0","83,739.0","80,602.0","88,231.0","89,262.0","90,025.0","90,191.0","90,488.0","95,143.0","100,444.0","101,268.0","99,958.0","106,548.0","107,544.0","115,883.0","121,182.0","127,908.0","129,093.0","127,140.0","120,296.0","118,368.0","123,397.0","130,164.0","133,602.0","127,804.0","138,790.0","138,846.0","140,583.0","139,495.0","144,364.0","145,613.0","142,716.0","161,851.0","169,680.0","174,442.0","182,787.0","186,055.0","196,656.0","194,548.0","196,190.0","192,421.0","188,294.0","189,403.0","190,488.0","186,796.0","192,467.0","202,503.0","208,008.0","208,130.0","204,406.0","210,819.0","203,977.0","217,486.0","220,221.0","228,788.0","229,392.0","230,926.0","231,141.0","233,778.0","239,248.0","250,692.0","256,001.0","255,727.0","250,958.0","261,162.0","254,874.0","257,691.0","265,838.0","255,587.0","257,901.0","252,500.0","229,188.0","193,226.0","129,809.0","129,163.0","174,394.0","203,386.0","203,121.0","225,466.0","234,180.0","239,798.0","250,109.0","232,151.0","264,651.0","274,003.0","292,656.0","297,292.0","302,990.0","301,187.0","292,012.0","308,098.0","320,359.0","316,823.0"
"55","36","  Consumer goods, except automotive","A652RC1","5,496.0","6,796.0","6,796.0","6,860.0","7,072.0","7,148.0","7,564.0","7,828.0","8,016.0","8,696.0","7,912.0","8,928.0","11,144.0","10,644.0","11,112.0","11,516.0","12,632.0","12,780.0","12,952.0","13,204.0","13,008.0","14,584.0","15,276.0","14,652.0","13,072.0","12,344.0","13,036.0","14,392.0","15,616.0","16,444.0","17,816.0","18,784.0","20,560.0","21,728.0","21,736.0","23,160.0","27,550.0","29,588.0","29,844.0","30,507.0","29,898.0","31,092.0","31,301.0","32,756.0","33,877.0","34,431.0","33,579.0","35,183.0","37,109.0","37,618.0","37,641.0","41,125.0","40,688.0","38,566.0","40,209.0","39,224.0","44,230.0","44,512.0","47,622.0","52,741.0","57,563.0","61,323.0","62,655.0","62,834.0","64,037.0","64,615.0","66,181.0","70,509.0","73,878.0","77,975.0","81,381.0","84,183.0","85,619.0","89,611.0","88,767.0","91,300.0","94,942.0","93,614.0","96,423.0","100,717.0","101,404.0","105,238.0","103,404.0","104,485.0","105,353.0","106,280.0","104,499.0","103,712.0","104,053.0","103,073.0","106,732.0","116,746.0","117,944.0","120,877.0","124,619.0","126,251.0","129,041.0","132,278.0","136,609.0","136,864.0","138,226.0","143,508.0","147,909.0","153,967.0","158,642.0","160,797.0","161,593.0","157,850.0","165,875.0","167,934.0","175,624.0","180,693.0","184,164.0","192,331.0","199,032.0","205,320.0","212,074.0","218,384.0","220,826.0","222,625.0","231,699.0","236,232.0","248,523.0","259,289.0","269,235.0","283,130.0","289,574.0","296,856.0","294,200.0","289,090.0","285,181.0","280,054.0","290,275.0","309,530.0","321,408.0","324,538.0","330,578.0","332,222.0","338,595.0","352,833.0","360,392.0","381,336.0","377,548.0","393,855.0","410,463.0","415,004.0","410,208.0","416,007.0","432,544.0","439,530.0","451,321.0","468,130.0","484,916.0","476,521.0","474,212.0","484,334.0","490,948.0","499,674.0","498,341.0","457,923.0","426,757.0","420,746.0","426,914.0","451,204.0","456,774.0","481,440.0","504,534.0","503,319.0","511,410.0","521,096.0","516,651.0","520,673.0","511,050.0","519,684.0","520,993.0","526,771.0","527,056.0","537,735.0","534,893.0","540,680.0"
"56","37","    Durable goods","B697RC1","3,396.0","4,132.0","4,156.0","4,232.0","4,268.0","4,244.0","4,484.0","4,652.0","4,788.0","5,272.0","4,592.0","5,524.0","6,976.0","6,736.0","6,872.0","7,196.0","7,888.0","8,028.0","8,176.0","8,124.0","8,368.0","9,268.0","9,764.0","9,212.0","7,920.0","7,292.0","7,512.0","7,932.0","8,580.0","8,940.0","9,936.0","10,908.0","12,892.0","13,176.0","13,152.0","14,396.0","16,949.0","18,092.0","18,526.0","18,607.0","17,914.0","18,939.0","19,340.0","20,232.0","20,782.0","21,320.0","20,610.0","21,601.0","22,748.0","22,965.0","22,977.0","24,857.0","25,160.0","22,808.0","23,015.0","22,772.0","26,344.0","25,427.0","27,280.0","30,695.0","32,564.0","34,330.0","35,903.0","36,626.0","37,677.0","37,485.0","38,157.0","39,916.0","42,108.0","45,539.0","46,735.0","48,112.0","47,667.0","48,908.0","48,989.0","50,364.0","51,582.0","50,962.0","52,849.0","55,855.0","57,151.0","58,327.0","56,620.0","55,859.0","56,179.0","56,200.0","55,232.0","55,004.0","54,595.0","54,552.0","56,624.0","61,743.0","61,906.0","63,525.0","65,311.0","64,987.0","68,236.0","68,306.0","71,827.0","72,523.0","73,127.0","76,191.0","77,689.0","81,614.0","83,357.0","84,051.0","84,238.0","83,059.0","87,691.0","88,845.0","93,208.0","93,796.0","95,964.0","99,228.0","102,208.0","105,920.0","110,116.0","113,344.0","114,155.0","116,694.0","119,038.0","125,449.0","131,550.0","136,410.0","145,556.0","150,704.0","153,259.0","158,347.0","154,358.0","148,488.0","147,323.0","145,826.0","153,278.0","165,488.0","168,827.0","167,456.0","167,221.0","169,448.0","177,181.0","187,094.0","189,689.0","202,951.0","202,513.0","214,231.0","221,462.0","222,481.0","227,016.0","228,206.0","238,101.0","237,738.0","245,431.0","258,364.0","264,673.0","258,667.0","263,607.0","271,108.0","269,085.0","275,900.0","277,197.0","247,234.0","222,965.0","222,994.0","223,923.0","236,484.0","242,348.0","258,672.0","271,940.0","269,272.0","273,051.0","273,549.0","271,324.0","276,007.0","269,898.0","275,751.0","278,512.0","287,817.0","281,334.0","293,412.0","291,346.0","294,612.0"
"57","38","    Nondurable goods","B698RC1","2,100.0","2,664.0","2,640.0","2,628.0","2,804.0","2,904.0","3,080.0","3,176.0","3,228.0","3,424.0","3,320.0","3,404.0","4,168.0","3,908.0","4,240.0","4,320.0","4,744.0","4,752.0","4,776.0","5,080.0","4,640.0","5,316.0","5,512.0","5,440.0","5,152.0","5,052.0","5,524.0","6,460.0","7,036.0","7,504.0","7,880.0","7,876.0","7,668.0","8,552.0","8,584.0","8,764.0","10,601.0","11,496.0","11,318.0","11,900.0","11,984.0","12,153.0","11,961.0","12,524.0","13,095.0","13,111.0","12,969.0","13,582.0","14,361.0","14,653.0","14,664.0","16,268.0","15,528.0","15,758.0","17,194.0","16,452.0","17,886.0","19,085.0","20,342.0","22,046.0","24,999.0","26,993.0","26,752.0","26,208.0","26,360.0","27,130.0","28,024.0","30,593.0","31,770.0","32,436.0","34,646.0","36,071.0","37,952.0","40,703.0","39,778.0","40,936.0","43,360.0","42,652.0","43,574.0","44,862.0","44,253.0","46,911.0","46,784.0","48,626.0","49,174.0","50,080.0","49,267.0","48,708.0","49,458.0","48,521.0","50,108.0","55,003.0","56,038.0","57,352.0","59,308.0","61,264.0","60,805.0","63,972.0","64,782.0","64,341.0","65,099.0","67,317.0","70,220.0","72,353.0","75,285.0","76,746.0","77,355.0","74,791.0","78,184.0","79,089.0","82,416.0","86,897.0","88,200.0","93,103.0","96,824.0","99,400.0","101,958.0","105,040.0","106,671.0","105,931.0","112,661.0","110,783.0","116,973.0","122,879.0","123,679.0","132,426.0","136,315.0","138,509.0","139,842.0","140,602.0","137,858.0","134,228.0","136,997.0","144,042.0","152,581.0","157,082.0","163,357.0","162,774.0","161,414.0","165,739.0","170,703.0","178,385.0","175,035.0","179,624.0","189,001.0","192,523.0","183,192.0","187,801.0","194,443.0","201,792.0","205,890.0","209,766.0","220,243.0","217,854.0","210,605.0","213,226.0","221,863.0","223,774.0","221,144.0","210,689.0","203,792.0","197,752.0","202,991.0","214,720.0","214,426.0","222,768.0","232,594.0","234,047.0","238,359.0","247,547.0","245,327.0","244,666.0","241,152.0","243,933.0","242,481.0","238,954.0","245,722.0","244,323.0","243,547.0","246,068.0"
"58","39","  Other","A653RC1","2,008.0","2,384.0","2,428.0","2,396.0","2,452.0","2,396.0","2,576.0","2,504.0","2,584.0","2,720.0","2,760.0","2,644.0","2,972.0","2,780.0","3,176.0","3,204.0","3,388.0","3,576.0","3,556.0","2,512.0","4,412.0","4,296.0","2,872.0","3,224.0","3,336.0","3,152.0","3,836.0","2,924.0","4,176.0","3,680.0","3,744.0","3,608.0","5,092.0","5,218.0","4,858.0","5,196.0","5,778.0","5,570.0","6,250.0","6,456.0","7,750.0","5,964.0","6,102.0","7,432.0","8,810.0","7,938.0","9,148.0","10,318.0","11,172.0","12,890.0","12,232.0","13,096.0","13,170.0","14,910.0","12,462.0","12,774.0","13,272.0","13,954.0","13,646.0","13,650.0","14,370.0","15,702.0","15,778.0","17,268.0","17,060.0","19,074.0","18,240.0","18,842.0","18,536.0","19,812.0","19,110.0","20,454.0","20,980.0","21,472.0","21,636.0","23,136.0","22,792.0","23,392.0","24,254.0","26,940.0","25,432.0","26,222.0","27,018.0","28,908.0","30,428.0","31,094.0","32,682.0","32,402.0","31,604.0","34,236.0","32,734.0","33,070.0","35,808.0","33,922.0","34,698.0","34,146.0","34,078.0","35,616.0","35,926.0","37,604.0","38,568.0","41,670.0","40,284.0","41,798.0","42,092.0","44,554.0","41,534.0","44,068.0","45,120.0","45,718.0","43,952.0","43,996.0","47,342.0","49,640.0","53,450.0","54,552.0","54,700.0","56,380.0","61,116.0","65,498.0","64,526.0","66,030.0","67,414.0","66,156.0","71,050.0","69,718.0","81,350.0","78,872.0","74,832.0","78,126.0","76,796.0","76,268.0","75,526.0","77,626.0","79,136.0","79,670.0","73,698.0","76,726.0","72,710.0","76,346.0","71,904.0","73,928.0","79,678.0","78,726.0","84,368.0","77,946.0","82,604.0","81,024.0","85,114.0","90,052.0","81,006.0","78,788.0","89,540.0","84,490.0","86,370.0","79,988.0","81,922.0","87,180.0","81,608.0","79,178.0","77,970.0","76,234.0","73,582.0","74,050.0","92,976.0","86,416.0","87,700.0","105,150.0","81,018.0","90,220.0","81,882.0","87,132.0","91,294.0","92,252.0","91,786.0","87,094.0","97,528.0","107,262.0","94,608.0","94,800.0"
"59","40","Imports of services \1\","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","192,437.0","198,312.0","203,580.0","206,837.0","217,482.0","221,158.0","229,438.0","227,953.0","226,081.0","231,037.0","219,604.0","212,366.0","225,428.0","226,673.0","232,067.0","242,406.0","242,052.0","237,908.0","253,447.0","265,796.0","277,092.0","286,293.0","290,935.0","301,854.0","302,111.0","308,035.0","312,378.0","317,130.0","337,609.0","342,107.0","343,202.0","354,911.0","363,174.0","372,787.0","382,313.0","382,784.0","399,290.0","406,865.0","420,505.0","413,299.0","387,278.0","381,776.0","388,235.0","397,469.0","399,107.0","403,548.0","418,514.0","421,884.0","420,349.0","433,045.0","444,647.0","443,063.0","444,644.0","447,822.0","448,561.0","449,916.0","455,344.0","459,263.0","461,495.0","467,451.0"
"60","41","  Direct defense expenditures","B752RC1","4,790.0","4,747.0","4,884.0","5,003.0","4,713.0","5,034.0","4,843.0","4,831.0","4,696.0","4,823.0","4,814.0","4,944.0","4,888.0","5,089.0","4,419.0","4,739.0","4,678.0","4,923.0","4,266.0","4,649.0","4,612.0","5,193.0","5,059.0","5,265.0","5,268.0","4,739.0","4,383.0","4,792.0","4,626.0","4,864.0","4,950.0","5,126.0","5,469.0","5,848.0","5,933.0","6,043.0","6,720.0","7,009.0","7,495.0","8,182.0","8,004.0","7,744.0","8,348.0","9,082.0","10,540.0","10,275.0","10,778.0","11,809.0","11,110.0","12,388.0","10,836.0","11,921.0","11,816.0","12,672.0","12,576.0","12,772.0","12,908.0","12,996.0","13,164.0","13,280.0","12,212.0","12,860.0","12,056.0","12,932.0","12,984.0","12,680.0","12,212.0","14,560.0","13,736.0","14,040.0","13,280.0","13,868.0","14,452.0","14,432.0","15,152.0","15,768.0","15,324.0","15,472.0","15,404.0","16,216.0","15,784.0","15,632.0","14,888.0","14,944.0","16,024.0","15,640.0","17,852.0","20,608.0","20,676.0","15,732.0","14,388.0","14,840.0","14,856.0","13,752.0","13,236.0","13,496.0","12,708.0","12,776.0","11,676.0","11,188.0","10,780.0","10,676.0","9,948.0","9,464.0","10,288.0","9,788.0","9,784.0","10,312.0","10,980.0","10,764.0","11,244.0","11,256.0","11,420.0","10,948.0","11,844.0","12,616.0","11,688.0","11,420.0","12,744.0","12,888.0","12,136.0","12,512.0","12,768.0","12,408.0","12,444.0","12,748.0","13,260.0","12,340.0","12,584.0","12,656.0","13,304.0","15,604.0","16,292.0","16,556.0","17,924.0","18,896.0","20,592.0","21,248.0","23,524.0","26,548.0","25,792.0","26,384.0","25,532.0","26,732.0","27,552.0","27,844.0","27,968.0","27,340.0","28,344.0","27,184.0","26,956.0","26,836.0","27,524.0","28,188.0","27,988.0","27,968.0","28,248.0","28,112.0","28,224.0","28,660.0","29,580.0","30,648.0","30,912.0","30,756.0","28,864.0","28,356.0","28,712.0","27,980.0","28,228.0","28,416.0","27,660.0","26,704.0","25,916.0","25,012.0","24,480.0","23,528.0","22,660.0","22,148.0","21,452.0","20,352.0"
"61","42","  Travel","B768RC1","3,284.0","3,336.0","3,400.0","3,472.0","3,784.0","4,020.0","4,040.0","4,076.0","4,332.0","4,312.0","4,236.0","4,612.0","4,928.0","4,924.0","5,000.0","5,316.0","5,352.0","5,576.0","5,500.0","5,676.0","5,780.0","5,996.0","5,936.0","6,208.0","6,192.0","6,116.0","6,508.0","6,852.0","6,728.0","6,632.0","6,860.0","7,204.0","7,328.0","7,516.0","7,320.0","7,640.0","8,032.0","8,112.0","8,924.0","8,832.0","8,920.0","9,508.0","9,524.0","9,700.0","10,412.0","9,924.0","10,444.0","10,808.0","11,652.0","11,044.0","11,576.0","11,644.0","12,296.0","12,660.0","11,780.0","12,840.0","11,864.0","13,036.0","14,004.0","13,696.0","21,868.0","22,816.0","23,968.0","23,000.0","24,420.0","25,496.0","25,092.0","23,228.0","26,264.0","22,920.0","26,928.0","27,536.0","28,376.0","29,440.0","28,748.0","30,672.0","31,960.0","30,768.0","32,324.0","33,404.0","32,616.0","32,332.0","33,616.0","35,108.0","36,788.0","37,960.0","37,540.0","37,112.0","33,736.0","36,260.0","35,264.0","36,028.0","37,900.0","38,300.0","38,576.0","39,432.0","39,320.0","39,308.0","40,180.0","44,044.0","43,516.0","43,528.0","44,180.0","43,904.0","43,928.0","45,208.0","44,336.0","46,200.0","47,796.0","46,908.0","48,560.0","49,048.0","51,580.0","51,360.0","52,600.0","52,664.0","54,700.0","56,524.0","56,784.0","57,924.0","57,700.0","58,656.0","59,484.0","61,488.0","65,856.0","65,020.0","64,868.0","65,720.0","64,284.0","67,504.0","58,940.0","52,920.0","59,300.0","58,696.0","58,564.0","61,420.0","59,204.0","52,660.0","59,220.0","62,160.0","64,828.0","66,616.0","67,188.0","68,320.0","70,352.0","70,660.0","69,180.0","69,528.0","71,956.0","72,396.0","72,552.0","74,932.0","75,536.0","75,792.0","77,360.0","79,820.0","82,572.0","80,924.0","79,792.0","78,688.0","76,392.0","71,328.0","74,180.0","74,628.0","74,696.0","72,988.0","76,536.0","77,800.0","75,732.0","78,372.0","79,000.0","79,812.0","83,840.0","84,556.0","82,836.0","82,572.0","83,968.0","85,252.0","85,316.0","87,080.0"
"62","43","  Passenger fares","B769RC1","1,020.0","1,056.0","1,108.0","1,136.0","1,168.0","1,172.0","1,280.0","1,240.0","1,100.0","1,328.0","1,260.0","1,472.0","1,508.0","1,580.0","1,604.0","1,692.0","1,860.0","1,796.0","1,756.0","1,748.0","1,928.0","2,016.0","2,052.0","2,384.0","2,276.0","2,104.0","2,296.0","2,376.0","2,536.0","2,452.0","2,580.0","2,704.0","2,704.0","2,760.0","2,692.0","2,836.0","2,924.0","2,840.0","2,920.0","2,900.0","3,040.0","3,176.0","3,208.0","3,312.0","3,360.0","3,564.0","3,804.0","3,700.0","4,508.0","4,400.0","4,476.0","4,564.0","4,932.0","4,732.0","4,592.0","4,832.0","5,344.0","6,068.0","6,168.0","6,436.0","5,256.0","5,980.0","5,724.0","5,976.0","5,944.0","6,968.0","6,640.0","6,224.0","6,628.0","6,112.0","6,544.0","6,732.0","6,964.0","7,284.0","7,344.0","7,544.0","7,728.0","7,668.0","7,512.0","8,012.0","8,236.0","8,240.0","8,360.0","8,160.0","10,024.0","10,676.0","10,908.0","10,508.0","9,192.0","10,108.0","10,064.0","10,688.0","10,504.0","10,316.0","10,516.0","11,076.0","10,864.0","11,016.0","11,624.0","12,136.0","12,716.0","12,908.0","13,392.0","13,232.0","13,616.0","14,620.0","14,980.0","15,444.0","15,468.0","15,576.0","16,008.0","16,184.0","17,224.0","18,516.0","18,920.0","17,892.0","18,600.0","19,924.0","20,556.0","20,804.0","20,256.0","20,652.0","21,100.0","21,776.0","22,444.0","23,988.0","24,364.0","23,656.0","22,484.0","23,948.0","23,084.0","18,168.0","18,408.0","18,848.0","18,700.0","20,800.0","18,848.0","18,820.0","21,436.0","21,396.0","21,876.0","24,528.0","24,468.0","24,048.0","23,536.0","24,992.0","26,372.0","25,856.0","25,608.0","27,072.0","27,040.0","26,864.0","25,544.0","27,388.0","29,244.0","28,548.0","30,148.0","31,680.0","32,908.0","32,628.0","25,632.0","24,096.0","25,316.0","25,424.0","24,624.0","26,876.0","28,348.0","29,176.0","29,672.0","30,604.0","32,280.0","31,760.0","33,864.0","35,136.0","34,940.0","34,676.0","36,332.0","36,744.0","36,520.0","39,036.0"
"63","44","  Other transportation","B770RC1","2,073.0","2,524.0","2,528.0","2,699.0","2,544.0","2,890.0","3,072.0","2,866.0","3,076.0","3,232.0","3,296.0","2,915.0","3,489.0","3,360.0","3,452.0","3,779.0","4,422.0","4,538.0","4,812.0","5,004.0","5,326.0","5,865.0","6,055.0","6,519.0","5,900.0","5,410.0","5,580.0","5,942.0","6,460.0","6,584.0","7,014.0","7,349.0","7,592.0","8,087.0","8,064.0","8,146.0","8,580.0","8,862.0","9,285.0","9,768.0","9,882.0","10,518.0","11,312.0","11,912.0","12,221.0","11,992.0","11,253.0","11,695.0","12,477.0","12,758.0","12,497.0","12,164.0","12,064.0","11,932.0","11,492.0","11,356.0","11,524.0","11,460.0","12,632.0","13,284.0","14,204.0","14,656.0","15,132.0","15,396.0","15,040.0","15,512.0","15,272.0","16,744.0","17,516.0","17,068.0","18,324.0","18,156.0","16,832.0","18,832.0","19,344.0","21,032.0","21,112.0","21,224.0","20,764.0","20,464.0","21,496.0","21,960.0","22,616.0","22,608.0","24,096.0","24,248.0","25,236.0","26,288.0","24,492.0","25,048.0","25,412.0","24,956.0","23,608.0","23,180.0","24,296.0","23,996.0","24,120.0","24,864.0","24,308.0","24,812.0","24,700.0","25,756.0","27,108.0","26,516.0","27,016.0","27,124.0","27,444.0","26,556.0","26,108.0","27,964.0","27,968.0","27,584.0","28,484.0","28,900.0","28,452.0","30,008.0","29,616.0","29,824.0","30,268.0","31,748.0","28,818.0","30,115.0","33,139.0","33,921.0","35,021.0","36,406.0","38,848.0","38,575.0","38,042.0","36,122.0","32,559.0","32,925.0","32,417.0","34,808.0","35,478.0","37,521.0","38,973.0","40,457.0","41,076.0","41,969.0","47,002.0","48,053.0","49,465.0","51,262.0","55,106.0","53,851.0","52,750.0","55,141.0","54,501.0","55,751.0","55,716.0","55,312.0","54,833.0","57,572.0","56,670.0","54,017.0","55,132.0","57,260.0","59,349.0","55,041.0","45,486.0","41,193.0","40,866.0","42,857.0","47,236.0","51,532.0","54,600.0","51,441.0","53,688.0","55,092.0","55,360.0","54,380.0","54,456.0","55,456.0","55,912.0","55,956.0","57,948.0","59,080.0","60,116.0","60,976.0"
"64","45","  Royalties and license fees","B908RC1","220.0","212.0","216.0","244.0","220.0","236.0","220.0","224.0","224.0","224.0","248.0","268.0","276.0","292.0","280.0","324.0","384.0","368.0","368.0","420.0","472.0","460.0","448.0","444.0","616.0","628.0","512.0","576.0","644.0","636.0","532.0","560.0","620.0","580.0","584.0","688.0","796.0","760.0","788.0","820.0","924.0","940.0","920.0","1,060.0","852.0","676.0","624.0","1,260.0","1,024.0","528.0","840.0","824.0","760.0","792.0","788.0","840.0","824.0","912.0","960.0","1,080.0","1,100.0","1,080.0","1,224.0","1,276.0","1,132.0","1,120.0","1,256.0","1,180.0","1,308.0","1,452.0","1,452.0","1,392.0","1,568.0","1,896.0","1,856.0","2,108.0","2,464.0","2,576.0","2,688.0","2,684.0","2,488.0","2,588.0","2,324.0","2,712.0","2,928.0","2,840.0","3,188.0","3,584.0","3,664.0","4,132.0","4,244.0","4,100.0","5,568.0","4,548.0","5,988.0","4,536.0","4,572.0","5,032.0","5,200.0","5,324.0","6,448.0","5,248.0","5,684.0","6,032.0","6,276.0","6,616.0","7,092.0","7,692.0","7,176.0","7,248.0","9,164.0","7,764.0","8,832.0","8,744.0","9,740.0","9,328.0","10,920.0","10,636.0","11,344.0","12,044.0","12,588.0","13,124.0","13,392.0","14,108.0","15,176.0","15,504.0","18,660.0","17,092.0","16,584.0","16,384.0","16,456.0","17,216.0","19,704.0","19,124.0","20,232.0","18,912.0","18,168.0","18,668.0","19,932.0","20,264.0","21,320.0","22,608.0","25,568.0","25,276.0","23,976.0","25,636.0","27,076.0","25,620.0","25,540.0","24,200.0","23,436.0","26,976.0","27,276.0","26,880.0","26,400.0","25,356.0","28,924.0","28,304.0","33,056.0","28,208.0","30,264.0","30,988.0","31,268.0","32,664.0","34,244.0","30,488.0","32,756.0","32,712.0","32,552.0","31,940.0","36,456.0","38,196.0","38,968.0","39,912.0","41,256.0","39,416.0","40,710.0","41,498.0","42,302.0","42,613.0"
