"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"74","54","      Federal","A890RC1","7,308.0","4,680.0","5,076.0","2,724.0","3,932.0","2,980.0","2,116.0","2,488.0","-952.0","-1,428.0","-292.0","-2,128.0","-1,236.0","676.0","-1,920.0","-444.0","1,864.0","828.0","-1,292.0","-1,732.0","-16.0","1,108.0","1,228.0","1,620.0","912.0","-608.0","3,640.0","4,304.0","4,136.0","3,276.0","4,608.0","4,460.0","5,388.0","5,992.0","5,840.0","4,660.0","4,556.0","6,784.0","8,092.0","9,704.0","8,536.0","9,028.0","12,224.0","10,168.0","13,064.0","12,040.0","11,520.0","12,820.0","13,036.0","15,144.0","15,456.0","16,972.0","14,844.0","18,260.0","16,764.0","19,284.0","20,160.0","22,068.0","24,532.0","26,744.0","26,728.0","28,124.0","27,052.0","34,844.0","33,912.0","38,628.0","43,124.0","41,040.0","37,036.0","39,164.0","46,972.0","43,108.0","42,536.0","46,732.0","47,680.0","42,672.0","34,336.0","32,520.0","30,724.0","29,140.0","27,636.0","26,376.0","29,868.0","24,344.0","27,252.0","28,176.0","27,260.0","25,536.0","20,040.0","21,916.0","18,492.0","15,124.0","15,600.0","15,780.0","15,356.0","13,136.0","8,408.0","6,620.0","3,272.0","3,296.0","-5,744.0","-3,524.0","1,076.0","-3,608.0","-2,808.0","-2,936.0","-5,604.0","-5,516.0","1,120.0","-372.0","-2,764.0","-8,424.0","-11,048.0","-10,768.0","-6,744.0","-8,732.0","-8,756.0","-6,028.0","-2,820.0","-6,052.0","-7,152.0","-2,000.0","104.0","1,280.0","-3,660.0","-4,700.0","-3,616.0","-4,472.0","-4,188.0","224.0","2,352.0","3,808.0","7,772.0","13,992.0","19,216.0","20,004.0","21,208.0","26,912.0","27,852.0","28,184.0","28,604.0","31,612.0","35,620.0","33,700.0","31,504.0","33,464.0","36,272.0","32,828.0","36,640.0","39,076.0","35,216.0","38,444.0","34,820.0","40,416.0","40,256.0","38,992.0","39,500.0","50,020.0","53,584.0","54,644.0","44,728.0","49,440.0","52,480.0","51,116.0","49,932.0","55,404.0","55,928.0","57,272.0","43,044.0","41,852.0","37,200.0","33,588.0","21,992.0","24,428.0","23,088.0","17,656.0","7,108.0","9,772.0","10,972.0","932.0"
"75","55","      State and local","A893RC1","19,819.0","19,915.0","19,116.0","17,805.0","17,770.0","17,741.0","19,189.0","18,856.0","18,533.0","18,710.0","17,982.0","18,687.0","18,545.0","17,229.0","17,432.0","18,856.0","19,237.0","18,717.0","18,838.0","19,739.0","21,161.0","23,120.0","22,667.0","21,721.0","24,780.0","21,499.0","22,664.0","25,413.0","27,601.0","23,591.0","20,921.0","19,176.0","20,627.0","21,624.0","20,110.0","19,552.0","18,493.0","26,020.0","27,823.0","29,001.0","24,305.0","28,831.0","31,588.0","34,110.0","36,172.0","33,265.0","30,309.0","30,487.0","34,758.0","28,406.0","25,684.0","27,461.0","25,165.0","25,239.0","25,447.0","27,093.0","25,378.0","24,639.0","27,398.0","26,700.0","29,675.0","31,927.0","35,030.0","36,069.0","37,241.0","41,129.0","42,185.0","41,261.0","45,224.0","46,324.0","47,496.0","44,647.0","47,418.0","46,896.0","48,347.0","49,700.0","49,693.0","53,353.0","52,388.0","55,083.0","54,254.0","56,547.0","57,575.0","61,014.0","65,941.0","63,868.0","63,934.0","68,120.0","65,596.0","65,318.0","66,693.0","68,106.0","72,097.0","67,365.0","62,653.0","60,219.0","59,225.0","63,901.0","63,817.0","64,476.0","60,997.0","63,962.0","69,035.0","69,503.0","70,461.0","73,578.0","71,104.0","71,631.0","69,899.0","73,863.0","78,969.0","87,574.0","93,752.0","91,317.0","87,435.0","83,385.0","80,899.0","88,804.0","98,439.0","99,800.0","102,753.0","102,618.0","104,571.0","111,905.0","118,417.0","114,261.0","115,818.0","118,307.0","122,084.0","135,930.0","117,348.0","131,845.0","135,790.0","132,563.0","133,560.0","135,179.0","133,787.0","130,884.0","137,978.0","134,818.0","133,504.0","137,222.0","133,372.0","130,607.0","129,581.0","132,794.0","132,973.0","138,515.0","136,749.0","146,663.0","146,761.0","145,800.0","150,820.0","154,077.0","154,472.0","157,467.0","155,819.0","160,050.0","162,076.0","156,805.0","156,821.0","160,340.0","156,382.0","145,896.0","135,309.0","143,915.0","144,052.0","133,225.0","120,289.0","115,072.0","113,324.0","113,503.0","106,428.0","108,158.0","102,186.0","97,431.0","91,173.0","91,261.0","97,235.0","98,572.0"
"76","56","  Gross saving as a percentage of gross national income","W206RC1","23.1","22.8","23.0","22.2","21.5","21.5","21.2","20.6","21.1","21.1","21.2","21.1","21.3","21.1","21.6","22.5","22.8","22.9","23.4","24.2","23.5","22.5","22.0","21.8","20.4","19.9","21.0","21.1","21.5","21.6","21.3","20.9","20.8","22.1","22.7","22.5","22.5","23.2","23.5","23.8","24.1","23.7","23.2","22.8","22.2","21.8","21.8","22.6","22.9","22.8","23.8","23.5","22.4","22.7","21.6","19.7","19.9","19.7","19.3","20.5","21.9","21.9","22.1","21.8","21.1","20.8","19.9","20.0","20.1","19.4","18.5","18.6","19.3","19.4","19.7","20.2","20.2","20.5","20.7","20.5","20.8","19.9","19.5","19.1","19.0","19.3","18.6","18.6","20.0","18.9","18.4","18.5","18.3","18.3","17.4","17.3","17.2","17.5","16.9","17.5","17.6","18.2","18.1","18.3","18.8","18.5","18.8","19.1","19.3","19.5","19.7","19.9","20.2","20.8","20.9","20.8","21.4","21.1","21.2","20.7","21.3","20.5","20.1","20.1","20.8","20.4","20.3","19.5","19.9","19.6","18.9","18.1","18.3","18.0","17.6","17.7","17.1","17.2","17.0","17.4","17.2","17.5","17.7","17.1","17.5","17.5","17.5","18.1","19.1","18.8","18.5","18.6","17.8","17.6","16.9","16.5","16.1","15.4","15.2","15.1","14.7","14.1","13.7","14.7","14.4","14.7","15.3","15.2","15.2","15.3","15.7","15.8","16.2","16.0","15.8","16.8","17.0","17.5","17.7","....."
"77","57","  Net saving as a percentage of gross national income","W207RC1","11.0","10.6","10.8","9.9","9.0","8.8","8.5","7.6","8.3","8.3","8.4","8.4","8.7","8.4","9.1","10.1","10.5","10.6","10.9","11.7","10.7","9.4","8.6","8.1","6.3","5.7","6.9","7.2","7.8","7.8","7.4","7.0","6.9","8.3","8.9","8.7","8.7","9.5","9.7","10.0","10.2","9.6","9.0","8.4","7.6","6.7","6.6","7.7","7.9","7.7","8.7","8.1","6.7","6.9","5.7","3.7","4.1","4.1","3.9","5.4","7.1","7.1","7.4","7.1","6.5","6.1","5.2","5.2","5.2","4.4","3.4","3.4","4.1","4.3","4.7","5.3","5.3","5.7","5.8","5.7","6.1","5.0","4.6","4.1","4.1","4.4","3.6","3.5","4.8","3.6","3.1","3.3","3.4","3.5","2.6","2.5","2.3","2.6","2.0","2.8","2.9","3.6","3.4","3.6","4.0","3.7","4.0","4.4","4.6","4.9","5.1","5.4","5.8","6.3","6.6","6.5","7.0","6.8","6.9","6.4","7.0","6.1","5.6","5.6","6.3","5.9","5.8","4.9","5.3","4.8","4.0","3.0","3.4","3.0","2.6","2.8","2.1","2.2","2.1","2.6","2.4","2.7","3.0","2.2","2.6","2.5","2.5","3.1","4.2","3.7","3.4","3.3","2.3","2.2","1.3","0.8","0.3","-0.5","-0.8","-1.3","-1.9","-2.4","-2.6","-1.3","-1.6","-1.2","-0.3","-0.4","-0.3","-0.2","0.3","0.4","0.8","0.6","0.3","1.4","1.6","2.1","2.3","....."
"78","58","  Disaster losses \2\","W771RC1",".....",".....",".....",".....",".....",".....",".....",".....","472.0","0.0","0.0","0.0","0.0","6,348.0","0.0","0.0","0.0","2,517.0","0.0","0.0","0.0","724.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","636.0","0.0","0.0","0.0","1,332.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,700.0","2,708.0","0.0","995.0","1,190.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,485.0","0.0","0.0","4,344.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,420.0","3,403.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16,927.0","18,904.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,076.0","0.0","0.0","71,769.0","0.0","8,411.0","0.0","8,143.0","0.0","81,662.0","0.0","0.0","0.0","0.0","0.0","0.0","9,700.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,998.0","0.0","0.0","0.0","0.0","0.0","0.0","13,856.0","62,947.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","117,796.0","0.0","0.0","0.0","414,197.0","27,463.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76,331.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","183,748.0","0.0","0.0","0.0","0.0"
"79","59","    Private","W772RC1",".....",".....",".....",".....",".....",".....",".....",".....","472.0","0.0","0.0","0.0","0.0","6,348.0","0.0","0.0","0.0","2,517.0","0.0","0.0","0.0","724.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","636.0","0.0","0.0","0.0","1,332.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,700.0","2,708.0","0.0","995.0","1,190.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,485.0","0.0","0.0","4,344.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,420.0","3,403.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16,927.0","14,820.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,076.0","0.0","0.0","71,769.0","0.0","8,411.0","0.0","8,143.0","0.0","73,466.0","0.0","0.0","0.0","0.0","0.0","0.0","9,700.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,998.0","0.0","0.0","0.0","0.0","0.0","0.0","13,856.0","55,987.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","117,796.0","0.0","0.0","0.0","369,229.0","27,463.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76,331.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","153,332.0","0.0","0.0","0.0","0.0"
"80","60","      Domestic business","W773RC1",".....",".....",".....",".....",".....",".....",".....",".....","272.0","0.0","0.0","0.0","0.0","3,816.0","0.0","0.0","0.0","1,893.0","0.0","0.0","0.0","268.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","396.0","0.0","0.0","0.0","1,036.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,288.0","1,976.0","0.0","743.0","1,038.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,249.0","0.0","0.0","2,528.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","992.0","983.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,495.0","9,220.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,372.0","0.0","0.0","32,608.0","0.0","3,763.0","0.0","6,303.0","0.0","54,354.0","0.0","0.0","0.0","0.0","0.0","0.0","4,824.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,922.0","0.0","0.0","0.0","0.0","0.0","0.0","5,900.0","55,987.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","69,636.0","0.0","0.0","0.0","180,036.0","15,180.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43,068.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","69,857.0","0.0","0.0","0.0","0.0"
"81","61","      Households and institutions","W774RC1",".....",".....",".....",".....",".....",".....",".....",".....","200.0","0.0","0.0","0.0","0.0","2,532.0","0.0","0.0","0.0","624.0","0.0","0.0","0.0","456.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","240.0","0.0","0.0","0.0","296.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","412.0","732.0","0.0","252.0","152.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,236.0","0.0","0.0","1,816.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,428.0","2,420.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7,432.0","5,600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,704.0","0.0","0.0","39,161.0","0.0","4,648.0","0.0","1,840.0","0.0","19,112.0","0.0","0.0","0.0","0.0","0.0","0.0","4,876.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,076.0","0.0","0.0","0.0","0.0","0.0","0.0","7,956.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","48,160.0","0.0","0.0","0.0","189,193.0","12,283.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33,263.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","83,475.0","0.0","0.0","0.0","0.0"
"82","62","    Government","W775RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,084.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,196.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,960.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44,968.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30,416.0","0.0","0.0","0.0","0.0"
"83","63","      Federal","W776RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,972.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"84","64","      State and local","W777RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,084.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,196.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,960.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42,996.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30,416.0","0.0","0.0","0.0","0.0"
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
