"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"363","356","      Education services to households","DEDRRX0",93916,95993,98254,93825,91589,89386,88614,88365,88723,88704,87367,86888,86962,86496,85581,84289,83590
"364","357","      Social services to households","DSSRRX0",36846,39973,44111,46629,47555,48873,49469,49119,49600,50025,50621,52168,51825,50746,50127,49950,50597
"365","358","      Religious organizations' services to households","DRELRX0",6374,6177,6041,5867,5845,5948,5909,5920,6104,5945,5916,5610,5354,5419,5544,5470,5462
"366","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1094,933,703,534,602,735,819,1051,1311,1162,1064,1115,1136,1106,1176,1186,1141
"367","360","      Services of social advocacy establishments to households","DSASRX0",2082,2079,2040,2037,2272,2275,2297,2528,2662,2780,2765,2890,2989,2933,2945,3145,3207
"368","361","      Civic and social organizations' services to households","DCISRX0",7010,7102,7078,7156,7264,7078,6647,6506,6431,6191,5943,5997,5865,5946,6154,6102,6139
"369","362","      Professional advocacy services to households","DSNRRX0",29524,28662,27660,26806,27088,26961,26910,27484,27748,27947,27832,27271,26820,27150,27242,27521,27366
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  control group","DCGPRX0",1816010,1931128,1987519,2068788,2190373,2322514,2454200,2583791,2670072,2649474,2574364,2687763,2793238,2869369,2968417,3075549,3191094
"372","364","  PCE food and energy","DPFERX0",1166002,1184268,1191013,1201289,1223612,1245309,1277461,1292727,1306603,1277375,1269591,1290287,1285399,1274764,1293934,1301583,1313443
"373","365","  PCE energy goods and services \1\","DNRGRX0",499991,500026,496087,504118,509357,513927,517902,511041,514712,496317,499633,504009,492060,482168,492902,496374,507233
"374","366","  PCE excluding food","DPXFRX0",7110568,7488114,7690282,7902759,8155109,8478817,8774710,9041407,9250463,9225312,9077011,9249866,9468260,9617573,9786991,10068292,10405438
"375","367","  PCE excluding energy","DPXERX0",7290545,7678735,7890895,8097893,8358913,8692381,9010960,9308375,9525276,9512373,9347337,9532552,9775483,9939278,10105304,10389240,10716914
"376","368","  PCE excluding food and energy \2\","DPCCRX0",6626329,6996934,7199143,7402246,7646723,7963121,8253924,8528058,8734152,8730507,8577378,8746089,8980371,9143859,9302200,9582330,9909717
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRX0",6909228,7240781,7428660,7629398,7868469,8168699,8457300,8695597,8897854,8848180,8705503,8880066,9096737,9257583,9419987,9675384,9983914
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRX0",301938,311566,327443,350481,360532,370855,364962,349985,357654,307713,287703,294159,304128,326835,341870,360824,372901
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",374262,420737,443090,482025,530331,592795,650108,707774,749919,742511,706260,762929,819748,879068,934837,990901,1062098
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",667687,684177,693668,696691,712969,729444,757246,780358,790931,781490,769564,786125,794872,795392,802875,806996,807698
"384","373","  Market-based PCE clothing and footwear","DCLMRX0",242890,254628,257019,264839,277839,290818,306407,317041,323465,321882,306048,322262,334941,338535,343109,348103,359306
"385","374","  Market-based PCE gasoline and other energy goods","DGOERX0",302321,294435,294152,296443,296758,299290,297997,297429,296838,283403,284500,282220,274345,270012,274727,276766,285942
"386","375","  Market-based PCE other nondurable goods","DNDXRX0",599712,629232,648831,668068,702387,734096,760011,797756,819956,823256,807650,827252,856071,873553,900293,939191,980342
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRX0",4511882,4716449,4826398,4913621,5012620,5160896,5321905,5442021,5553634,5588388,5543777,5607054,5722077,5792764,5847575,5986889,6160894
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRX0",1259892,1299832,1344010,1349234,1366828,1407591,1472697,1512756,1526389,1550341,1570857,1588113,1616652,1627604,1632770,1655331,1672256
"391","378","    Market-based PCE household utilities","DUTLRX0",274311,281783,279025,285101,289597,290059,294878,289380,293372,288923,289422,295494,290850,282728,287339,287275,286838
"392","379","    Market-based PCE health care","DHLCRX0",1178313,1218812,1279578,1355577,1392522,1442266,1490444,1525245,1563233,1598825,1627380,1649189,1690339,1726972,1743871,1791602,1875384
"393","380","    Market-based PCE transportation services","DTRSRX0",317464,332782,330532,320820,322948,331523,334702,335529,339008,321283,289695,287109,294129,299196,308699,323852,341362
"394","381","    Market-based PCE recreation services","DRCMRX0",236731,241892,240684,238980,243592,253408,258611,265959,278228,279163,270990,277119,284836,290665,295813,304453,308962
"395","382","    Market-based PCE food services and accommodations","DFSMRX0",499749,522883,521737,529672,549078,571246,591027,609075,616635,610466,584734,594703,609444,625796,636111,655577,686023
"396","383","    Market-based PCE financial services and insurance","DFIMRX0",88117,112025,109906,114073,113909,116044,119813,125132,129227,126295,125608,118153,117078,112659,111020,112138,114040
"397","384","    Market-based PCE other services","DOTMRX0",665499,706605,721844,721783,736353,750351,760639,779252,807808,813354,785090,797233,818655,826700,831437,855877,875147
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRX0",130000,148854,156788,159277,163635,171940,178902,191338,210646,221555,217855,227029,243200,253013,258091,273149,282804
"400","386","      Market-based PCE education","DTEDRX0",213808,221295,225384,220307,218826,214333,214202,216368,219462,220463,219859,224950,225175,220877,218075,217551,220490
"401","387","      Market-based PCE professional services","DPRMRX0",147618,149200,153499,154363,160189,159930,159928,160796,162771,159375,149038,146226,146271,145247,143905,145679,147184
"402","388","      Market-based PCE personal care and clothing services","DPERRX0",103186,108250,107667,109297,112492,117265,119506,120756,120383,117746,109887,112549,116181,118811,121384,128157,133471
"403","389","      Market-based PCE child care","DCHCRX0",26973,27364,28268,28411,28590,28794,28476,28897,30581,30426,30183,29859,29744,29700,29747,29936,29952
"404","390","      Market-based PCE household maintenance","DHMMRX0",59810,61776,58993,57174,58506,61584,62044,62365,64077,63679,58268,56665,58813,60764,62697,65484,66072
"405","391","Market-based PCE food and energy","DPMFRX0",1165555,1183893,1190709,1200949,1223330,1244990,1277096,1292268,1306249,1276998,1269197,1289939,1285120,1274487,1293384,1301058,1312883
"406","392","Market-based PCE excluding food","DMXFRX0",6243969,6558334,6736377,6933502,7156109,7439518,7700401,7915678,8107037,8066687,7935939,8093951,8301817,8462211,8617181,8868662,9177055
"407","393","Market-based PCE excluding energy","DPMERX0",6423410,6748715,6936809,7128256,7359574,7652720,7936340,8182303,8381714,8353444,8205870,8376319,8609009,8784311,8935625,9189777,9488519
"408","394","Market-based PCE excluding food and energy","DPCXRX0",5759383,6067126,6245198,6432748,6647477,6923632,7179494,7402342,7590867,7571962,7436306,7590198,7814206,7989305,8133278,8383780,8682601
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption; food services, which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
