"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"345","338","Q1MEF1 D         Medical expenditures of foreigners","Q1MEF10",1117,1083,1047,1024,1024,1053,1183,1269,1329,1432,1501,1568,1256,1260,1259,1413
"346","339","Q1EFS1 D         Expenditures of foreign students in the U.S.","Q1EFS10",8651,8905,9008,9204,9315,9330,9333,9409,9780,10013,10348,10912,11248,10947,10243,9864
"347",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","340","Q1TGD1 D   Goods","Q1TGD10",1917689,1884834,1941466,2019908,2117350,2176737,2265522,2365071,2511360,2680611,2810542,2887157,3000310,3120517,3258964,3414612
"349","341","Q1CGP1 D   Control Group","Q1CGP10",1683633,1677540,1719475,1787090,1871725,1936701,2014676,2095192,2209824,2349765,2466789,2521305,2612527,2722077,2855950,3011974
"350","342","Q1PXC1 D   PCE except computers, peripherals, and software","Q1PXC10",4830032,4832309,4986641,5145727,5331060,5464703,5636511,5832154,6109886,6406900,6695545,6856238,7032264,7216793,7486891,7738711
"351","343","Q1GXC1 D     Goods except computers, peripherals, and software","Q1GXC10",1974018,1934538,1989097,2062332,2155100,2205758,2281095,2364650,2495045,2648902,2766708,2832998,2932849,3040778,3166857,3309093
"352","344","Q1DXC1 D       Durables except computers, peripherals, and software","Q1DXC10",497514,463808,487950,519894,557787,573546,605768,643055,702469,772551,819492,846380,896426,939039,990291,1035084
"353","345","Q1FXC1 D         Furniture and household equipment except computers, peripherals, and software","Q1FXC10",151545,148687,154136,164845,178288,189947,200505,210934,226035,248500,269073,277363,295100,314081,345837,372464
"354",NA,"         Market-based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","346","Q1MBP1   Market-based PCE","Q1MBP10",NA,NA,NA,NA,NA,NA,NA,5013289,5260696,5538132,5785944,5933775,6109147,6285618,6520990,6751907
"356","347","Q1MBF1     Market-based PCE food","Q1MBF10",NA,NA,NA,NA,NA,NA,NA,836057,856235,884085,915505,930455,944746,967506,1000702,1054918
"357","348","Q1MBE1     Market-based PCE energy","Q1MBE10",NA,NA,NA,NA,NA,NA,NA,313747,323080,330472,334781,334132,342237,346087,350435,353104
"358","349","Q1MBX1     Market-based PCE excluding food and energy","Q1MBX10",NA,NA,NA,NA,NA,NA,NA,3866921,4083725,4324296,4535658,4669324,4822448,4972306,5171104,5346634
"359","350","Q1MBV1       Market-based PCE motor vehicles and parts","Q1MBV10",NA,NA,NA,NA,NA,NA,NA,270295,303724,336075,349024,366374,393717,405514,413161,414675
"360","351","Q1DXM1       Market-based PCE durables excluding motor vehicles and parts","Q1DXM10",NA,NA,NA,NA,NA,NA,NA,342854,381923,432360,476808,494774,536070,579908,639175,700035
"361","352","Q1MPC1       Market-based PCE clothing and shoes","Q1MPC10",NA,NA,NA,NA,NA,NA,NA,245650,262792,282391,297401,303417,317889,333687,350567,372373
"362","353","Q1MBN1       Market-based PCE other nondurables","Q1MBN10",NA,NA,NA,NA,NA,NA,NA,454069,478268,505889,529638,545818,563349,589699,615423,641233
"363","354","Q1MBH1       Market-based PCE housing","Q1MBH10",NA,NA,NA,NA,NA,NA,NA,912428,938586,968040,995742,1022866,1031111,1040849,1080599,1111626
"364","355","Q1MBO1       Market-based PCE other household operation","Q1MBO10",NA,NA,NA,NA,NA,NA,NA,211253,224756,238239,251687,255691,255075,258973,268064,273342
"365","356","Q1MBT1       Market-based PCE transportation services","Q1MBT10",NA,NA,NA,NA,NA,NA,NA,333683,344181,356593,364749,362830,355109,355576,360350,360886
"366","357","Q1MBM1       Market-based PCE medical care services","Q1MBM10",NA,NA,NA,NA,NA,NA,NA,646593,661098,668586,694022,734178,782128,815629,843251,872545
"367","358","Q1MBR1       Market-based PCE recreation services","Q1MBR10",NA,NA,NA,NA,NA,NA,NA,159511,166021,174553,180583,184998,186521,189498,197218,201303
"368","359","Q1PER1       Market-based PCE personal care services","Q1PER10",NA,NA,NA,NA,NA,NA,NA,75000,79531,83464,87029,86912,88845,91205,97065,98399
"369","360","Q1MBB1       Market-based PCE personal business","Q1MBB10",NA,NA,NA,NA,NA,NA,NA,144733,162220,188576,213131,210448,214612,220098,224608,230045
"370","361","Q1GED1       Market-based PCE public higher education","Q1GED10",NA,NA,NA,NA,NA,NA,NA,36797,37955,39233,40794,43582,44046,44149,43248,43257
"371","362","Q1VED1       Market-based PCE commercial and vocational schools","Q1VED10",NA,NA,NA,NA,NA,NA,NA,23728,25841,27223,29533,30342,29878,28918,27571,27283
"372","363","Q1CHC1       Market-based PCE child care","Q1CHC10",NA,NA,NA,NA,NA,NA,NA,22843,23235,24448,25517,26878,27424,27859,28213,28241
"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","  the Survey of Current Business monthly (NIPA table 2.8.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","  Business annually (NIPA table 2.5.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
