"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"108","90","  Prisons","G160881","1,380.0","1,618.0","1,905.0","2,136.0","2,458.0","2,939.0","3,407.0","3,802.0","4,266.0","4,825.0","5,456.0","6,208.0","7,180.0","8,381.0","9,567.0","10,881.0","12,606.0","14,130.0","15,989.0","18,017.0","20,756.0","23,831.0","26,217.0","28,554.0","30,621.0","33,674.0","36,549.0","39,207.0","41,658.0","44,248.0","48,283.0","52,324.0","56,697.0","58,964.0","60,095.0","62,561.0","65,634.0","69,702.0","74,586.0","78,439.0","78,413.0","76,499.0","76,606.0","77,737.0"
"109","91","Economic affairs","G160891","12,033.0","13,365.0","14,721.0","15,894.0","17,631.0","21,015.0","24,145.0","25,405.0","26,827.0","30,286.0","32,839.0","36,926.0","40,690.0","43,734.0","45,004.0","46,506.0","49,828.0","53,069.0","55,622.0","58,005.0","61,236.0","65,319.0","68,909.0","72,623.0","75,148.0","78,472.0","82,345.0","85,452.0","89,421.0","93,581.0","100,540.0","107,246.0","122,518.0","122,047.0","123,386.0","129,291.0","137,765.0","146,840.0","158,058.0","168,294.0","170,437.0","169,500.0","174,319.0","181,345.0"
"110","92","  Transportation","G160941","9,044.0","9,984.0","10,917.0","11,648.0","12,895.0","15,555.0","17,444.0","17,961.0","18,814.0","20,511.0","22,475.0","25,434.0","28,599.0","31,334.0","32,444.0","33,544.0","35,737.0","37,988.0","39,416.0","40,983.0","42,778.0","45,479.0","48,009.0","50,088.0","52,009.0","54,376.0","57,324.0","59,805.0","62,753.0","65,763.0","70,672.0","75,288.0","79,648.0","83,162.0","85,642.0","89,917.0","97,197.0","104,410.0","114,129.0","121,987.0","123,433.0","124,384.0","129,304.0","134,697.0"
"111","93","    Highways","G160951","9,019.0","9,960.0","10,883.0","11,595.0","12,814.0","15,439.0","17,286.0","17,772.0","18,604.0","20,272.0","22,148.0","25,080.0","28,197.0","30,880.0","32,002.0","33,159.0","35,410.0","37,682.0","39,141.0","40,631.0","42,402.0","45,105.0","47,597.0","49,700.0","51,646.0","54,036.0","57,014.0","59,474.0","62,317.0","65,317.0","70,243.0","74,754.0","79,007.0","82,638.0","85,239.0","89,549.0","96,826.0","104,037.0","113,752.0","121,598.0","123,026.0","123,959.0","128,863.0","134,240.0"
"112","94","    Transit and railroad","G160981","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","641.0","524.0","403.0","369.0","372.0","373.0","377.0","389.0","407.0","425.0","441.0","457.0"
"113","95","  Other economic affairs","W693RC1","2,990.0","3,381.0","3,804.0","4,245.0","4,736.0","5,460.0","6,701.0","7,444.0","8,013.0","9,775.0","10,364.0","11,493.0","12,091.0","12,400.0","12,560.0","12,962.0","14,091.0","15,081.0","16,206.0","17,022.0","18,458.0","19,840.0","20,900.0","22,535.0","23,140.0","24,096.0","25,020.0","25,648.0","26,668.0","27,818.0","29,868.0","31,958.0","42,870.0","38,884.0","37,744.0","39,373.0","40,567.0","42,430.0","43,929.0","46,307.0","47,003.0","45,116.0","45,015.0","46,648.0"
"114","96","    General economic and labor affairs","G160901","1,480.0","1,721.0","2,012.0","2,328.0","2,566.0","2,994.0","3,827.0","4,446.0","4,870.0","6,255.0","6,481.0","7,038.0","7,114.0","7,009.0","6,802.0","6,818.0","7,338.0","7,879.0","8,613.0","8,863.0","9,731.0","10,507.0","10,930.0","12,053.0","12,319.0","12,598.0","12,859.0","13,044.0","13,599.0","14,194.0","15,199.0","16,092.0","18,704.0","20,347.0","19,504.0","19,711.0","20,749.0","21,616.0","21,867.0","22,990.0","23,547.0","22,434.0","22,221.0","23,476.0"
"115","97","    Agriculture","G160911","633.0","710.0","778.0","824.0","897.0","1,004.0","1,146.0","1,235.0","1,294.0","1,431.0","1,560.0","1,764.0","1,944.0","2,097.0","2,293.0","2,456.0","2,653.0","2,830.0","2,922.0","3,024.0","3,246.0","3,541.0","3,687.0","3,764.0","3,822.0","3,870.0","3,935.0","4,053.0","4,234.0","4,464.0","5,089.0","5,664.0","5,887.0","5,914.0","5,838.0","5,783.0","5,738.0","5,754.0","5,890.0","6,031.0","5,996.0","5,982.0","6,282.0","6,557.0"
"116","98","    Energy","G160921",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,024.0","385.0","-319.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"117","99","    Natural resources","G160931","870.0","961.0","1,046.0","1,109.0","1,270.0","1,459.0","1,737.0","1,793.0","1,861.0","2,087.0","2,341.0","2,720.0","3,063.0","3,305.0","3,488.0","3,691.0","4,075.0","4,335.0","4,665.0","5,150.0","5,478.0","5,798.0","6,291.0","6,717.0","7,061.0","7,695.0","8,223.0","8,535.0","8,817.0","9,126.0","9,527.0","10,162.0","11,220.0","12,204.0","12,540.0","13,558.0","13,790.0","14,971.0","16,226.0","17,330.0","17,524.0","16,765.0","16,564.0","16,655.0"
"118","100","    Other \4\","G160991","8.0","-11.0","-33.0","-15.0","3.0","3.0","-9.0","-30.0","-12.0","3.0","-18.0","-29.0","-30.0","-12.0","-24.0","-3.0","25.0","37.0","6.0","-15.0","4.0","-7.0","-8.0","1.0","-62.0","-67.0","3.0","16.0","19.0","35.0","54.0","40.0","34.0","34.0","180.0","321.0","290.0","88.0","-54.0","-44.0","-64.0","-66.0","-52.0","-40.0"
"119","101","Housing and community services \8\","G161001","993.0","1,109.0","1,233.0","1,317.0","1,431.0","1,560.0","1,711.0","1,780.0","1,889.0","2,144.0","2,253.0","2,507.0","2,686.0","2,720.0","2,722.0","2,787.0","2,951.0","3,137.0","3,282.0","3,767.0","4,310.0","4,831.0","5,332.0","5,596.0","5,490.0","5,770.0","5,829.0","6,114.0","6,292.0","6,411.0","6,993.0","7,742.0","8,318.0","8,600.0","8,694.0","8,866.0","9,500.0","9,079.0","15,535.0","11,972.0","10,183.0","9,751.0","8,522.0","7,960.0"
"120","102","Health (net)","G161051","10,180.0","12,048.0","14,125.0","16,012.0","18,065.0","21,162.0","25,025.0","26,605.0","29,485.0","32,658.0","35,744.0","40,704.0","45,955.0","49,232.0","52,637.0","56,605.0","61,744.0","66,761.0","72,886.0","80,407.0","90,768.0","106,725.0","131,408.0","151,118.0","163,128.0","173,426.0","183,055.0","191,605.0","194,760.0","202,418.0","222,089.0","239,408.0","268,835.0","298,049.0","313,855.0","343,591.0","366,005.0","362,267.0","395,810.0","416,671.0","445,688.0","470,508.0","477,490.0","491,184.0"
"121","103","  Gross expenditures","Y652RC1","13,742.0","15,970.0","18,877.0","21,728.0","24,768.0","28,722.0","33,640.0","36,627.0","40,544.0","45,524.0","51,129.0","58,252.0","67,130.0","73,907.0","80,630.0","86,142.0","93,900.0","101,696.0","110,116.0","120,944.0","135,959.0","156,966.0","188,609.0","216,605.0","236,474.0","252,440.0","268,226.0","278,332.0","284,781.0","296,017.0","318,938.0","343,547.0","385,140.0","418,937.0","438,856.0","474,671.0","498,466.0","503,773.0","545,803.0","574,502.0","612,856.0","646,019.0","662,197.0","683,382.0"
"122","104","  Less: Sales to other sectors","Y653RC1","3,562.0","3,922.0","4,752.0","5,717.0","6,702.0","7,560.0","8,615.0","10,022.0","11,059.0","12,866.0","15,385.0","17,548.0","21,176.0","24,675.0","27,993.0","29,537.0","32,157.0","34,935.0","37,230.0","40,537.0","45,191.0","50,240.0","57,201.0","65,487.0","73,347.0","79,014.0","85,171.0","86,727.0","90,021.0","93,599.0","96,850.0","104,139.0","116,305.0","120,888.0","125,001.0","131,080.0","132,460.0","141,507.0","149,993.0","157,831.0","167,168.0","175,511.0","184,707.0","192,198.0"
"123","105","Recreation and culture","G161061","1,416.0","1,558.0","1,745.0","1,925.0","2,122.0","2,430.0","2,764.0","2,868.0","3,090.0","3,504.0","3,869.0","4,200.0","4,586.0","5,047.0","5,486.0","5,915.0","6,674.0","7,185.0","7,465.0","7,991.0","8,965.0","9,855.0","10,605.0","11,392.0","11,652.0","12,475.0","13,109.0","13,551.0","14,271.0","15,142.0","16,335.0","17,714.0","19,370.0","20,928.0","21,440.0","22,528.0","23,945.0","25,976.0","27,618.0","29,015.0","28,995.0","28,707.0","28,556.0","28,710.0"
"124","106","Education","G161071","40,610.0","46,872.0","53,368.0","59,156.0","64,140.0","71,606.0","82,295.0","89,275.0","96,457.0","103,628.0","113,821.0","123,715.0","134,157.0","143,573.0","151,995.0","164,391.0","178,548.0","193,194.0","207,424.0","222,493.0","243,022.0","264,650.0","280,075.0","296,682.0","312,137.0","328,681.0","348,085.0","364,670.0","383,830.0","407,809.0","435,543.0","470,898.0","504,797.0","520,934.0","543,767.0","577,954.0","607,326.0","641,249.0","683,172.0","718,895.0","731,910.0","746,915.0","742,213.0","744,315.0"
"125","107","  Elementary and secondary","G161081","32,529.0","37,173.0","41,974.0","46,350.0","50,196.0","55,337.0","62,801.0","68,129.0","73,540.0","79,022.0","87,079.0","94,419.0","101,711.0","108,695.0","116,054.0","126,357.0","136,713.0","148,860.0","161,114.0","172,874.0","188,045.0","204,687.0","217,844.0","232,013.0","242,213.0","253,561.0","269,205.0","283,182.0","298,911.0","317,392.0","339,599.0","365,989.0","389,266.0","408,479.0","431,948.0","456,876.0","479,528.0","507,298.0","535,908.0","561,827.0","571,671.0","581,731.0","569,318.0","551,414.0"
"126","108","  Higher","G161091","5,573.0","6,739.0","7,903.0","8,881.0","9,734.0","11,450.0","13,897.0","15,105.0","16,432.0","17,607.0","19,238.0","21,189.0","23,754.0","25,732.0","26,594.0","28,007.0","30,668.0","32,254.0","33,404.0","35,894.0","39,823.0","43,414.0","44,923.0","46,395.0","50,450.0","54,008.0","55,815.0","57,396.0","60,112.0","63,971.0","67,537.0","73,758.0","81,493.0","76,821.0","73,897.0","80,106.0","84,049.0","88,741.0","100,252.0","107,113.0","108,100.0","111,206.0","117,453.0","135,608.0"
"127","109","  Libraries and other","W694RC1","2,507.0","2,960.0","3,491.0","3,925.0","4,210.0","4,819.0","5,597.0","6,041.0","6,486.0","6,999.0","7,504.0","8,108.0","8,691.0","9,146.0","9,347.0","10,027.0","11,167.0","12,080.0","12,906.0","13,724.0","15,154.0","16,549.0","17,309.0","18,274.0","19,474.0","21,112.0","23,065.0","24,091.0","24,806.0","26,446.0","28,408.0","31,151.0","34,039.0","35,633.0","37,922.0","40,972.0","43,749.0","45,210.0","47,013.0","49,955.0","52,140.0","53,977.0","55,442.0","57,293.0"
"128","110","    Libraries","G161101","593.0","665.0","738.0","820.0","893.0","998.0","1,121.0","1,183.0","1,266.0","1,376.0","1,507.0","1,651.0","1,819.0","2,013.0","2,150.0","2,357.0","2,623.0","2,852.0","3,059.0","3,303.0","3,619.0","3,927.0","4,233.0","4,529.0","4,628.0","4,906.0","5,176.0","5,528.0","5,919.0","6,238.0","6,691.0","7,209.0","7,731.0","8,091.0","8,457.0","9,136.0","9,594.0","10,036.0","10,699.0","11,466.0","11,713.0","11,561.0","11,410.0","11,499.0"
"129","111","    Other","G161111","1,914.0","2,295.0","2,753.0","3,105.0","3,317.0","3,821.0","4,476.0","4,857.0","5,220.0","5,623.0","5,997.0","6,457.0","6,872.0","7,133.0","7,196.0","7,670.0","8,544.0","9,229.0","9,847.0","10,421.0","11,535.0","12,622.0","13,076.0","13,745.0","14,845.0","16,206.0","17,890.0","18,563.0","18,887.0","20,208.0","21,716.0","23,941.0","26,308.0","27,542.0","29,465.0","31,836.0","34,154.0","35,174.0","36,314.0","38,490.0","40,427.0","42,416.0","44,032.0","45,793.0"
"130","112","Income security","G161121","10,364.0","12,723.0","15,084.0","16,778.0","18,059.0","17,831.0","20,767.0","22,892.0","24,976.0","26,425.0","28,502.0","32,901.0","35,744.0","37,639.0","41,312.0","43,988.0","47,191.0","50,595.0","53,480.0","57,332.0","61,797.0","69,155.0","76,272.0","82,263.0","85,603.0","89,529.0","91,030.0","89,970.0","91,033.0","94,945.0","100,733.0","107,308.0","115,353.0","123,484.0","128,802.0","132,544.0","138,723.0","139,526.0","144,089.0","151,534.0","157,259.0","158,196.0","157,172.0","157,122.0"
"131","113","  Disability","G161131","983.0","1,044.0","1,100.0","1,232.0","1,386.0","1,526.0","1,652.0","1,896.0","2,164.0","2,421.0","2,802.0","3,103.0","3,544.0","4,074.0","4,428.0","4,898.0","5,408.0","6,022.0","7,047.0","7,970.0","8,840.0","10,395.0","11,892.0","13,033.0","13,115.0","13,006.0","13,048.0","13,340.0","13,341.0","13,205.0","13,409.0","14,106.0","15,684.0","18,297.0","20,485.0","21,538.0","21,807.0","21,690.0","21,190.0","21,252.0","21,061.0","20,744.0","20,470.0","20,404.0"
"132","114","  Welfare and social services","G161141","9,381.0","11,679.0","13,984.0","15,546.0","16,673.0","16,305.0","19,115.0","20,996.0","22,812.0","24,003.0","25,700.0","29,797.0","32,199.0","33,565.0","36,884.0","39,090.0","41,783.0","44,573.0","46,433.0","49,362.0","52,957.0","58,760.0","64,380.0","69,230.0","72,488.0","76,523.0","77,982.0","76,630.0","77,692.0","81,740.0","87,324.0","93,202.0","99,669.0","105,187.0","108,318.0","111,006.0","116,916.0","117,836.0","122,899.0","130,281.0","136,198.0","137,452.0","136,702.0","136,718.0"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","1. Equals federal government current expenditures less grants-in-aid to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","plus state and local government current expenditures. Federal grants-in-aid to state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","governments by function are shown in table 3.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","2. Prior to 1960, federal interest receipts are not available separately but are included in interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","payments, which is shown net of federal interest receipts.  Interest payments includes interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","accrued on the actuarial liabilities of defined benefit pension plans for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","3. Equals unallocable state and local government expenditures; includes federal government revenue sharing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","grants to state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","4. Consists of state and local government publicly owned liquor store systems, government-administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","5. Consists of social insurance funds, including old age, survivors, and disability insurance (social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","security), and railroad retirement.  Excludes government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","6. Consists primarily of federal government revenue sharing grants to state and local governments beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","7. Equals unallocable state and local government expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","8. Consists of current expenditures for sanitation.  Beginning with 2007, includes housing subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","related to Hurricanes Katrina and Rita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
