"","Table 2#5#5# Personal Consumption Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"104","86","        Motion picture theaters","DMOVRC1","1,507.0","1,629.0","1,733.0","1,744.0","1,647.0","2,022.0","2,197.0","2,074.0","2,368.0","2,752.0","2,823.0","2,578.0","2,721.0","3,134.0","3,188.0","3,421.0","3,244.0","3,338.0","3,443.0","3,884.0","4,572.0","5,136.0","5,231.0","4,939.0","5,056.0","5,308.0","5,612.0","6,099.0","6,608.0","7,226.0","7,948.0","8,611.0","8,993.0","9,597.0","9,907.0","9,950.0","9,741.0","10,371.0","10,885.0","10,957.0","11,497.0","11,766.0","11,439.0","11,682.0"
"105","87","        Live entertainment, excluding sports","DLIGRC1","433.0","454.0","454.0","489.0","533.0","597.0","668.0","800.0","918.0","1,126.0","1,296.0","1,520.0","1,746.0","1,828.0","2,093.0","2,407.0","2,738.0","3,346.0","3,470.0","3,770.0","3,799.0","4,458.0","4,656.0","5,167.0","6,102.0","6,530.0","7,040.0","7,494.0","7,851.0","8,742.0","9,504.0","10,364.0","11,104.0","11,880.0","13,854.0","15,903.0","18,253.0","20,735.0","23,647.0","24,338.0","25,198.0","26,305.0","28,221.0","29,401.0"
"106","88","        Spectator sports","DSPERC1","1,053.0","1,136.0","1,222.0","1,198.0","1,207.0","1,249.0","1,333.0","1,423.0","1,582.0","1,842.0","2,070.0","2,292.0","2,361.0","2,692.0","3,062.0","3,472.0","3,279.0","3,283.0","3,365.0","3,738.0","4,504.0","4,808.0","5,293.0","5,633.0","6,357.0","6,790.0","7,433.0","8,851.0","9,202.0","10,092.0","10,675.0","11,642.0","12,213.0","13,541.0","14,158.0","14,959.0","15,707.0","17,296.0","19,041.0","19,437.0","18,824.0","19,191.0","19,979.0","18,675.0"
"107","89","      Museums and libraries","DMUSRC1","185.0","218.0","244.0","273.0","313.0","384.0","428.0","485.0","556.0","634.0","710.0","809.0","929.0","977.0","1,049.0","1,123.0","1,241.0","1,317.0","1,401.0","1,548.0","1,731.0","1,850.0","1,906.0","2,072.0","2,281.0","2,375.0","2,499.0","2,548.0","2,643.0","2,945.0","3,306.0","3,800.0","4,051.0","4,787.0","5,199.0","5,581.0","6,357.0","6,476.0","6,153.0","6,222.0","6,068.0","6,129.0","6,333.0","6,093.0"
"108","90","    Magazines, newspapers, books, and stationery","DNBSRC1","8,153.0","9,081.0","9,278.0","9,862.0","10,699.0","11,560.0","12,525.0","13,406.0","14,867.0","17,693.0","20,576.0","22,840.0","25,177.0","26,888.0","28,886.0","31,574.0","32,717.0","34,341.0","37,555.0","41,228.0","44,109.0","47,345.0","48,832.0","50,281.0","53,658.0","58,417.0","62,467.0","66,308.0","69,897.0","72,772.0","77,003.0","80,990.0","79,791.0","80,704.0","81,640.0","83,658.0","84,981.0","86,237.0","84,801.0","85,515.0","84,598.0","89,921.0","95,081.0","100,910.0"
"109","91","    Gambling","DGAMRC1","1,518.0","1,667.0","1,869.0","2,177.0","2,654.0","3,037.0","3,447.0","3,930.0","4,411.0","5,182.0","5,865.0","6,702.0","8,427.0","9,678.0","11,053.0","12,564.0","14,253.0","15,516.0","16,938.0","19,686.0","21,255.0","23,660.0","24,664.0","28,080.0","33,277.0","39,608.0","45,418.0","50,291.0","54,513.0","55,881.0","62,341.0","67,556.0","69,990.0","74,057.0","81,251.0","90,109.0","96,477.0","104,657.0","109,967.0","110,153.0","105,010.0","105,559.0","108,947.0","112,488.0"
"110","92","    Pets, pet products, and related services","DPETRC1","2,361.0","2,711.0","2,956.0","3,130.0","3,737.0","4,366.0","4,772.0","5,506.0","6,132.0","6,491.0","7,200.0","8,393.0","9,693.0","10,309.0","11,334.0","12,158.0","13,484.0","13,681.0","14,788.0","15,960.0","17,242.0","18,813.0","19,623.0","20,595.0","22,482.0","24,935.0","27,333.0","30,025.0","32,489.0","34,532.0","37,025.0","39,650.0","41,851.0","44,639.0","47,925.0","52,322.0","57,193.0","62,559.0","68,865.0","73,056.0","73,303.0","75,946.0","79,468.0","85,133.0"
"111","93","    Photographic goods and services","DPHORC1","3,088.0","3,314.0","3,663.0","4,176.0","4,904.0","5,374.0","5,748.0","6,654.0","6,821.0","7,503.0","8,353.0","9,068.0","9,539.0","9,940.0","11,159.0","12,181.0","12,906.0","13,995.0","15,172.0","16,087.0","16,682.0","16,701.0","16,619.0","16,841.0","17,536.0","17,995.0","18,649.0","18,836.0","18,567.0","19,162.0","19,548.0","19,721.0","19,258.0","18,999.0","18,958.0","18,737.0","17,744.0","16,721.0","16,884.0","16,496.0","15,263.0","15,380.0","15,868.0","15,585.0"
"112","94","    Package tours \14\","DXHLRC1","127.0","147.0","164.0","197.0","241.0","288.0","313.0","379.0","456.0","512.0","627.0","737.0","825.0","950.0","1,065.0","1,137.0","1,395.0","1,497.0","1,669.0","2,167.0","2,627.0","3,225.0","3,365.0","3,905.0","4,262.0","4,805.0","5,176.0","5,672.0","5,709.0","6,004.0","6,569.0","6,702.0","6,176.0","5,959.0","6,253.0","6,835.0","7,188.0","7,518.0","8,452.0","9,249.0","8,305.0","9,072.0","9,721.0","10,334.0"
"113","95","  Education","DEDURC1","8,652.0","9,913.0","10,853.0","11,748.0","13,004.0","14,202.0","15,886.0","17,433.0","18,809.0","20,877.0","22,869.0","25,444.0","28,258.0","30,968.0","34,349.0","37,699.0","41,171.0","44,485.0","48,789.0","54,435.0","60,571.0","65,957.0","70,561.0","76,442.0","81,087.0","86,364.0","92,304.0","99,626.0","107,120.0","115,245.0","123,931.0","134,290.0","143,615.0","149,528.0","159,516.0","168,997.0","180,507.0","193,073.0","205,998.0","218,374.0","229,051.0","244,931.0","260,275.0","274,543.0"
"114","96","    Educational books","DEBKRC1","583.0","737.0","751.0","743.0","778.0","827.0","940.0","957.0","1,100.0","1,346.0","1,546.0","1,746.0","1,986.0","2,175.0","2,508.0","2,913.0","3,235.0","3,646.0","4,246.0","4,645.0","4,923.0","5,298.0","5,404.0","5,641.0","6,054.0","6,484.0","6,802.0","7,007.0","7,335.0","7,855.0","8,564.0","9,043.0","9,230.0","9,702.0","9,854.0","9,877.0","9,774.0","9,666.0","9,422.0","9,451.0","9,192.0","9,429.0","9,393.0","9,668.0"
"115","97","    Higher education","DHEDRC1","4,457.0","5,188.0","5,889.0","6,487.0","7,107.0","7,637.0","8,170.0","8,861.0","9,640.0","10,258.0","11,409.0","12,862.0","14,767.0","17,007.0","18,806.0","20,533.0","22,260.0","24,130.0","26,097.0","28,465.0","31,516.0","34,742.0","38,400.0","42,334.0","45,449.0","48,628.0","51,912.0","56,361.0","61,261.0","66,027.0","70,774.0","76,776.0","82,917.0","86,986.0","94,981.0","102,481.0","110,853.0","119,676.0","128,285.0","136,912.0","146,658.0","158,260.0","170,570.0","182,364.0"
"116","98","    Nursery, elementary, and secondary schools","DNEHRC1","2,193.0","2,439.0","2,656.0","2,929.0","3,327.0","3,868.0","4,356.0","4,638.0","4,808.0","5,620.0","6,014.0","6,652.0","7,021.0","7,182.0","7,949.0","8,705.0","9,450.0","9,969.0","10,904.0","11,864.0","13,570.0","14,849.0","15,620.0","16,679.0","17,297.0","18,112.0","19,170.0","20,086.0","20,706.0","21,487.0","22,770.0","24,124.0","25,687.0","26,856.0","27,696.0","28,564.0","29,559.0","31,003.0","32,758.0","34,139.0","34,815.0","35,273.0","37,048.0","37,807.0"
"117","99","    Commercial and vocational schools \15\","DVEDRC1","1,419.0","1,549.0","1,557.0","1,589.0","1,792.0","1,870.0","2,420.0","2,977.0","3,261.0","3,653.0","3,900.0","4,184.0","4,484.0","4,604.0","5,086.0","5,548.0","6,226.0","6,740.0","7,542.0","9,461.0","10,562.0","11,068.0","11,137.0","11,788.0","12,287.0","13,140.0","14,420.0","16,172.0","17,818.0","19,876.0","21,823.0","24,347.0","25,781.0","25,984.0","26,985.0","28,075.0","30,321.0","32,728.0","35,533.0","37,872.0","38,386.0","41,969.0","43,264.0","44,704.0"
"118","100","  Food services and accommodations","DFSARC1","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,407.0","308,298.0","316,137.0","326,558.0","343,428.0","361,836.0","380,330.0","408,782.0","419,663.0","436,311.0","461,897.0","496,424.0","530,642.0","566,252.0","595,634.0","612,466.0","600,334.0","617,711.0","658,685.0","701,719.0"
"119","101","    Food services","DFSERC1","34,736.0","38,589.0","40,728.0","45,014.0","50,509.0","55,905.0","63,531.0","71,615.0","78,783.0","89,238.0","101,668.0","111,466.0","122,022.0","129,826.0","139,699.0","148,776.0","156,206.0","167,450.0","182,348.0","201,641.0","216,670.0","235,116.0","244,186.0","254,140.0","265,709.0","273,396.0","279,587.0","286,661.0","298,533.0","314,619.0","330,526.0","353,822.0","367,569.0","383,060.0","404,589.0","432,059.0","458,108.0","486,255.0","509,596.0","523,673.0","517,914.0","532,208.0","567,570.0","604,215.0"
"120","102","      Purchased meals and beverages \16\","DPMBRC1","32,683.0","36,524.0","38,740.0","43,004.0","48,337.0","53,183.0","60,363.0","68,006.0","75,034.0","84,967.0","96,740.0","105,929.0","115,851.0","123,279.0","133,273.0","142,393.0","149,978.0","161,472.0","176,606.0","195,568.0","210,214.0","228,346.0","237,257.0","247,054.0","258,399.0","265,877.0","271,808.0","278,675.0","290,322.0","306,196.0","321,821.0","344,894.0","358,434.0","373,590.0","394,363.0","421,183.0","445,973.0","472,333.0","494,869.0","508,661.0","502,315.0","516,903.0","550,792.0","587,087.0"
"121","103","      Food furnished to employees (including military)","DFOORC1","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,470.0","10,226.0","10,876.0","12,135.0","13,922.0","14,727.0","15,012.0","15,599.0","15,305.0","16,778.0","17,128.0"
"122","104","    Accommodations \17\","DACCRC1","2,725.0","3,035.0","3,069.0","3,872.0","4,323.0","4,709.0","5,290.0","6,186.0","6,882.0","7,866.0","9,253.0","10,255.0","11,893.0","12,682.0","13,851.0","16,140.0","18,094.0","19,237.0","22,031.0","24,206.0","25,927.0","27,619.0","29,208.0","32,173.0","32,698.0","34,902.0","36,550.0","39,897.0","44,895.0","47,217.0","49,804.0","54,960.0","52,094.0","53,251.0","57,308.0","64,365.0","72,534.0","79,997.0","86,038.0","88,793.0","82,420.0","85,503.0","91,115.0","97,504.0"
"123","105","  Financial services and insurance","DIFSRC1","28,502.0","31,073.0","34,139.0","38,339.0","41,501.0","45,906.0","54,018.0","59,262.0","67,792.0","80,634.0","87,631.0","95,609.0","102,006.0","116,335.0","145,888.0","156,571.0","188,094.0","199,804.0","205,301.0","219,809.0","238,375.0","247,390.0","266,788.0","295,090.0","332,586.0","346,875.0","366,379.0","392,349.0","429,244.0","467,277.0","509,124.0","566,284.0","552,822.0","562,584.0","588,472.0","635,347.0","689,633.0","724,208.0","768,491.0","771,483.0","718,956.0","763,238.0","801,067.0","821,049.0"
"124","106","    Financial services","DFNLRC1","14,128.0","15,343.0","17,068.0","18,940.0","20,321.0","23,662.0","30,130.0","32,214.0","35,763.0","43,140.0","47,198.0","51,749.0","54,145.0","62,068.0","87,174.0","90,037.0","115,048.0","127,008.0","133,214.0","134,415.0","138,620.0","135,653.0","142,950.0","161,829.0","184,657.0","197,739.0","212,882.0","233,805.0","259,823.0","286,798.0","319,633.0","360,027.0","341,159.0","347,295.0","357,424.0","387,385.0","417,448.0","446,170.0","480,341.0","486,591.0","452,240.0","473,277.0","490,327.0","496,095.0"
"125","107","      Financial services furnished without payment","DIMPRC1","9,113.0","10,924.0","11,813.0","13,176.0","15,131.0","18,613.0","24,074.0","25,054.0","28,170.0","34,171.0","36,984.0","38,258.0","38,667.0","42,690.0","62,746.0","64,275.0","84,303.0","88,525.0","90,562.0","93,515.0","92,347.0","87,170.0","88,441.0","99,548.0","112,212.0","123,942.0","130,988.0","139,769.0","152,471.0","161,821.0","170,701.0","185,403.0","178,086.0","179,140.0","183,461.0","200,884.0","216,057.0","221,834.0","236,571.0","241,158.0","229,379.0","248,903.0","259,694.0","259,078.0"
"126","108","      Financial service charges, fees, and commissions","DOFIRC1","5,015.0","4,419.0","5,255.0","5,764.0","5,190.0","5,049.0","6,056.0","7,160.0","7,593.0","8,969.0","10,214.0","13,491.0","15,478.0","19,378.0","24,428.0","25,762.0","30,745.0","38,483.0","42,652.0","40,900.0","46,273.0","48,483.0","54,509.0","62,281.0","72,445.0","73,797.0","81,894.0","94,036.0","107,352.0","124,977.0","148,932.0","174,624.0","163,073.0","168,155.0","173,963.0","186,501.0","201,391.0","224,336.0","243,770.0","245,433.0","222,861.0","224,374.0","230,633.0","237,017.0"
"127","109","    Insurance","DINSRC1","14,374.0","15,730.0","17,071.0","19,399.0","21,180.0","22,244.0","23,888.0","27,048.0","32,029.0","37,494.0","40,433.0","43,860.0","47,861.0","54,267.0","58,714.0","66,534.0","73,046.0","72,796.0","72,087.0","85,394.0","99,755.0","111,737.0","123,838.0","133,261.0","147,929.0","149,136.0","153,497.0","158,544.0","169,421.0","180,479.0","189,491.0","206,257.0","211,663.0","215,289.0","231,048.0","247,962.0","272,185.0","278,038.0","288,150.0","284,892.0","266,716.0","289,961.0","310,740.0","324,954.0"
"128","110","      Life insurance \18\","DLIFRC1","6,258.0","6,885.0","6,933.0","7,501.0","8,398.0","9,055.0","10,037.0","11,883.0","13,302.0","15,312.0","16,912.0","19,054.0","20,470.0","22,808.0","23,498.0","25,026.0","28,304.0","28,751.0","28,091.0","33,483.0","38,578.0","42,312.0","51,781.0","53,610.0","59,192.0","54,612.0","54,340.0","52,030.0","55,171.0","55,982.0","56,936.0","64,975.0","61,949.0","58,796.0","60,397.0","72,143.0","79,035.0","84,092.0","87,475.0","87,455.0","80,020.0","87,555.0","100,556.0","103,319.0"
"129","111","      Net household insurance \19\","DFINRC1","300.0","341.0","389.0","444.0","501.0","570.0","617.0","696.0","844.0","1,021.0","1,174.0","1,284.0","1,338.0","1,421.0","1,508.0","1,623.0","1,706.0","1,861.0","2,124.0","2,421.0","2,552.0","2,478.0","2,441.0","2,296.0","2,310.0","2,502.0","2,633.0","2,895.0","2,903.0","3,358.0","3,588.0","3,835.0","4,188.0","4,267.0","4,928.0","5,758.0","6,171.0","6,107.0","7,435.0","8,093.0","7,340.0","7,619.0","8,003.0","8,088.0"
"130","112","      Net health insurance","DHINRC1","4,105.0","4,431.0","5,181.0","6,323.0","6,695.0","6,910.0","7,307.0","8,068.0","10,547.0","12,856.0","13,047.0","13,571.0","15,512.0","18,863.0","21,521.0","26,487.0","28,365.0","25,629.0","23,571.0","29,082.0","36,575.0","43,437.0","45,186.0","50,051.0","56,049.0","59,272.0","62,028.0","66,917.0","73,540.0","80,757.0","85,733.0","94,377.0","101,092.0","106,528.0","116,652.0","116,545.0","129,363.0","130,646.0","131,261.0","127,392.0","119,390.0","135,846.0","143,265.0","154,515.0"
"131","113","        Medical care and hospitalization \20\","DMINRC1","1,918.0","2,146.0","2,580.0","3,497.0","3,602.0","3,556.0","3,240.0","3,594.0","5,415.0","6,396.0","7,158.0","7,605.0","9,101.0","11,811.0","14,453.0","18,916.0","20,562.0","16,519.0","14,148.0","18,878.0","25,963.0","31,825.0","34,120.0","38,426.0","43,496.0","46,954.0","49,154.0","52,080.0","56,158.0","63,449.0","68,610.0","75,529.0","80,701.0","86,494.0","97,742.0","97,504.0","106,891.0","106,232.0","105,039.0","102,234.0","97,534.0","116,755.0","124,817.0","127,868.0"
"132","114","        Income loss \21\","DIINRC1","1,181.0","1,125.0","1,345.0","1,555.0","1,701.0","1,734.0","2,189.0","2,193.0","2,407.0","3,357.0","2,275.0","1,868.0","1,875.0","2,462.0","2,098.0","2,103.0","2,064.0","2,440.0","2,191.0","2,490.0","2,356.0","2,617.0","1,825.0","2,102.0","1,500.0","1,800.0","1,400.0","1,105.0","1,172.0","1,321.0","1,488.0","1,697.0","1,892.0","1,999.0","2,134.0","2,222.0","2,316.0","2,471.0","2,616.0","2,720.0","2,694.0","2,647.0","2,688.0","2,763.0"
"133","115","        Workers' compensation \22\","DPWCRC1","1,006.0","1,160.0","1,256.0","1,271.0","1,392.0","1,620.0","1,878.0","2,281.0","2,725.0","3,103.0","3,614.0","4,098.0","4,536.0","4,590.0","4,970.0","5,468.0","5,739.0","6,670.0","7,232.0","7,714.0","8,256.0","8,995.0","9,241.0","9,523.0","11,053.0","10,518.0","11,474.0","13,732.0","16,210.0","15,987.0","15,635.0","17,151.0","18,499.0","18,035.0","16,776.0","16,819.0","20,156.0","21,943.0","23,606.0","22,438.0","19,162.0","16,444.0","15,760.0","23,884.0"
"134","116","      Net motor vehicle and other transportation insurance \23\","DTINRC1","3,711.0","4,073.0","4,568.0","5,131.0","5,586.0","5,709.0","5,927.0","6,401.0","7,336.0","8,305.0","9,300.0","9,951.0","10,541.0","11,175.0","12,187.0","13,398.0","14,671.0","16,555.0","18,301.0","20,408.0","22,050.0","23,510.0","24,430.0","27,304.0","30,378.0","32,750.0","34,496.0","36,702.0","37,807.0","40,382.0","43,234.0","43,070.0","44,434.0","45,698.0","49,071.0","53,516.0","57,616.0","57,193.0","61,979.0","61,952.0","59,966.0","58,941.0","58,916.0","59,032.0"
"135","117","  Other goods and services","DOISRC1","41,000.0","44,263.0","46,963.0","50,985.0","56,931.0","62,206.0","67,806.0","76,274.0","83,765.0","93,178.0","100,408.0","110,675.0","121,230.0","127,772.0","143,434.0","157,656.0","173,267.0","190,019.0","208,167.0","225,392.0","245,652.0","262,298.0","268,009.0","290,056.0","304,538.0","316,870.0","332,720.0","350,832.0","368,397.0","393,720.0","429,351.0","458,495.0","477,903.0","496,803.0","526,522.0","559,062.0","589,541.0","624,535.0","657,602.0","672,974.0","672,712.0","700,647.0","730,148.0","755,065.0"
"136","118","    Personal care \24\","DPCRRC1","12,539.0","13,235.0","13,472.0","14,318.0","15,839.0","17,240.0","18,809.0","20,592.0","23,460.0","26,113.0","28,571.0","30,819.0","33,143.0","34,467.0","39,945.0","43,325.0","47,494.0","51,887.0","56,686.0","62,482.0","67,406.0","72,410.0","71,720.0","77,031.0","81,599.0","87,341.0","93,820.0","99,722.0","106,163.0","113,686.0","122,551.0","132,191.0","137,466.0","143,292.0","152,540.0","164,511.0","175,404.0","185,767.0","194,466.0","199,735.0","194,865.0","204,419.0","213,946.0","223,228.0"
"137","119","    Personal items \25\","DPEORC1","6,445.0","6,712.0","7,361.0","8,032.0","9,646.0","10,975.0","12,536.0","14,855.0","16,424.0","18,023.0","18,625.0","20,156.0","20,957.0","20,303.0","22,791.0","25,773.0","27,532.0","31,537.0","34,349.0","36,960.0","38,848.0","39,977.0","40,144.0","42,214.0","44,739.0","46,943.0","48,739.0","50,945.0","50,992.0","54,303.0","59,659.0","63,653.0","61,451.0","63,392.0","67,774.0","73,851.0","78,829.0","85,681.0","90,645.0","89,272.0","83,600.0","87,798.0","98,400.0","106,312.0"
"138","120","    Social services and religious activities \26\","DSOCRC1","3,602.0","3,871.0","4,384.0","5,053.0","5,459.0","5,854.0","6,499.0","7,494.0","8,598.0","10,020.0","11,881.0","13,993.0","16,138.0","17,944.0","19,618.0","21,833.0","25,060.0","28,034.0","31,435.0","33,873.0","38,580.0","41,177.0","43,546.0","47,510.0","51,123.0","54,381.0","58,127.0","61,111.0","64,627.0","69,261.0","74,416.0","81,144.0","88,365.0","93,357.0","98,615.0","104,061.0","110,230.0","116,774.0","124,599.0","130,060.0","133,185.0","138,863.0","143,651.0","147,314.0"
"139","121","    Professional and other services","DPRSRC1","8,620.0","9,653.0","10,408.0","11,389.0","12,746.0","14,038.0","14,894.0","16,546.0","18,303.0","20,741.0","22,146.0","24,847.0","28,162.0","30,755.0","33,565.0","37,482.0","42,370.0","46,404.0","51,151.0","57,332.0","62,207.0","67,743.0","70,190.0","75,293.0","78,376.0","80,877.0","82,829.0","87,635.0","92,767.0","100,054.0","107,189.0","113,015.0","120,915.0","126,620.0","137,134.0","142,975.0","148,402.0","155,313.0","163,631.0","167,498.0","161,542.0","163,305.0","165,893.0","169,389.0"
"140","122","      Legal services","DGALRC1","4,195.0","4,956.0","5,481.0","6,033.0","6,951.0","7,686.0","7,986.0","8,787.0","9,700.0","11,121.0","11,738.0","13,182.0","15,543.0","17,236.0","18,937.0","21,485.0","24,600.0","27,348.0","30,927.0","34,729.0","37,692.0","40,984.0","41,751.0","44,889.0","46,204.0","47,035.0","47,420.0","50,608.0","53,861.0","57,899.0","62,157.0","65,378.0","70,075.0","73,878.0","79,273.0","81,473.0","83,771.0","86,955.0","90,498.0","92,420.0","90,082.0","91,410.0","92,926.0","93,650.0"
"141","123","      Accounting and other business services \27\","DPRORC1","829.0","863.0","884.0","993.0","1,094.0","1,195.0","1,313.0","1,481.0","1,704.0","1,944.0","2,056.0","2,163.0","2,349.0","2,405.0","2,874.0","3,111.0","3,471.0","3,729.0","3,975.0","4,846.0","5,744.0","6,532.0","7,089.0","7,722.0","8,643.0","9,894.0","10,155.0","10,995.0","11,959.0","13,796.0","15,484.0","17,155.0","18,569.0","20,049.0","21,932.0","24,407.0","25,026.0","26,951.0","29,685.0","30,579.0","27,362.0","26,997.0","27,722.0","28,775.0"
"142","124","      Labor organization dues","DUNSRC1","1,177.0","1,281.0","1,343.0","1,478.0","1,670.0","1,950.0","2,193.0","2,465.0","2,758.0","3,092.0","3,510.0","4,007.0","4,384.0","4,857.0","5,039.0","5,454.0","6,005.0","6,561.0","6,924.0","7,377.0","7,767.0","8,279.0","8,738.0","9,136.0","9,302.0","9,465.0","9,752.0","10,127.0","10,551.0","10,346.0","10,323.0","10,233.0","10,194.0","10,006.0","10,447.0","10,745.0","10,947.0","11,420.0","11,887.0","12,516.0","12,505.0","12,349.0","12,319.0","12,426.0"
"143","125","      Professional association dues","DAXSRC1","178.0","210.0","246.0","295.0","335.0","384.0","474.0","554.0","637.0","754.0","846.0","950.0","1,050.0","1,187.0","1,285.0","1,388.0","1,527.0","1,675.0","1,839.0","2,040.0","2,237.0","2,422.0","2,498.0","2,577.0","2,754.0","2,863.0","3,125.0","3,184.0","3,395.0","3,689.0","4,077.0","4,478.0","4,945.0","5,388.0","5,812.0","6,045.0","6,500.0","7,053.0","7,548.0","7,437.0","7,648.0","7,928.0","8,171.0","8,540.0"
"144","126","      Funeral and burial services","DFUNRC1","2,241.0","2,343.0","2,454.0","2,590.0","2,696.0","2,823.0","2,928.0","3,259.0","3,504.0","3,830.0","3,996.0","4,545.0","4,836.0","5,070.0","5,430.0","6,044.0","6,767.0","7,091.0","7,486.0","8,340.0","8,767.0","9,526.0","10,114.0","10,969.0","11,473.0","11,620.0","12,377.0","12,721.0","13,001.0","14,324.0","15,148.0","15,771.0","17,132.0","17,299.0","19,670.0","20,305.0","22,158.0","22,934.0","24,013.0","24,546.0","23,945.0","24,621.0","24,755.0","25,998.0"
"145","127","    Tobacco","DTOBRC1","9,794.0","10,792.0","11,338.0","12,193.0","13,241.0","14,099.0","15,068.0","16,787.0","16,980.0","18,281.0","19,185.0","20,860.0","22,830.0","24,303.0","27,515.0","29,243.0","30,811.0","32,157.0","34,546.0","34,745.0","38,611.0","40,991.0","42,409.0","48,008.0","48,701.0","47,328.0","49,205.0","51,419.0","53,848.0","56,416.0","65,536.0","68,492.0","69,706.0","70,142.0","70,459.0","73,664.0","76,676.0","81,000.0","84,261.0","86,409.0","99,520.0","106,262.0","108,258.0","108,822.0"
"146","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC1","4,044.0","4,514.0","4,778.0","5,237.0","4,721.0","4,708.0","4,445.0","3,790.0","4,311.0","4,250.0","4,075.0","3,540.0","416.0","2,509.0","5,435.0","6,565.0","7,741.0","3,296.0","6,063.0","2,781.0","-3,696.0","-7,673.0","-15,220.0","-20,034.0","-20,674.0","-17,417.0","-21,291.0","-24,236.0","-21,480.0","-15,645.0","-17,111.0","-17,190.0","-12,044.0","-10,122.0","-6,476.0","-5,382.0","-8,498.0","-7,996.0","-16,471.0","-26,285.0","-21,020.0","-27,608.0","-37,876.0","-47,341.0"
"147","129","    Foreign travel by U.S. residents","DFTRRC1","4,717.0","5,414.0","5,853.0","6,832.0","7,324.0","8,127.0","8,759.0","9,380.0","10,285.0","11,107.0","12,063.0","13,304.0","15,001.0","16,522.0","18,394.0","26,109.0","27,904.0","27,795.0","33,932.0","37,336.0","38,434.0","42,702.0","41,678.0","45,907.0","48,806.0","53,419.0","54,881.0","58,721.0","64,603.0","69,067.0","73,178.0","81,778.0","77,906.0","75,450.0","76,769.0","89,333.0","94,926.0","100,822.0","104,122.0","109,935.0","97,933.0","103,404.0","105,770.0","110,021.0"
"148","130","    Less: Expenditures in the United States by nonresidents","DEXFRC1","2,327.0","2,663.0","2,941.0","3,295.0","3,954.0","4,627.0","5,372.0","6,508.0","6,982.0","8,095.0","9,402.0","11,558.0","16,637.0","16,677.0","15,664.0","22,365.0","23,323.0","27,477.0","30,944.0","37,054.0","44,830.0","52,967.0","59,247.0","66,901.0","70,596.0","72,171.0","77,726.0","84,661.0","89,041.0","87,953.0","93,418.0","102,187.0","93,353.0","89,606.0","87,875.0","99,433.0","107,950.0","113,386.0","125,625.0","141,565.0","125,472.0","136,353.0","150,523.0","163,587.0"
"149","131","    Net expenditures abroad by U.S. residents","DNFRRC1","1,654.0","1,763.0","1,866.0","1,700.0","1,351.0","1,208.0","1,058.0","918.0","1,008.0","1,238.0","1,414.0","1,794.0","2,052.0","2,664.0","2,705.0","2,821.0","3,160.0","2,978.0","3,075.0","2,499.0","2,700.0","2,592.0","2,349.0","960.0","1,116.0","1,335.0","1,554.0","1,704.0","2,958.0","3,241.0","3,129.0","3,219.0","3,403.0","4,034.0","4,630.0","4,718.0","4,526.0","4,568.0","5,032.0","5,345.0","6,519.0","5,341.0","6,877.0","6,225.0"
"150","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRC1","9,443.0","10,474.0","11,704.0","12,814.0","13,755.0","15,497.0","17,013.0","18,982.0","20,635.0","23,018.0","26,120.0","30,033.0","34,140.0","37,964.0","40,756.0","45,383.0","47,907.0","52,610.0","55,697.0","63,293.0","68,037.0","75,861.0","80,127.0","87,934.0","90,065.0","97,762.0","102,328.0","110,044.0","105,588.0","123,807.0","138,229.0","158,041.0","179,082.0","198,342.0","205,512.0","206,372.0","210,268.0","239,185.0","248,780.0","282,144.0","276,017.0","275,350.0","277,902.0","290,489.0"
"151","133","  Gross output of nonprofit institutions \29\","DNPERC1","34,009.0","38,091.0","42,770.0","47,353.0","51,832.0","58,803.0","67,193.0","76,310.0","85,160.0","96,659.0","109,356.0","126,100.0","145,650.0","163,805.0","179,216.0","194,432.0","209,278.0","227,298.0","246,863.0","275,519.0","301,238.0","334,437.0","362,892.0","396,390.0","418,746.0","440,076.0","458,544.0","483,135.0","502,624.0","542,521.0","576,319.0","621,641.0","676,441.0","737,060.0","774,643.0","818,994.0","868,456.0","932,226.0","983,141.0","1,040,912.0","1,072,564.0","1,105,893.0","1,141,592.0","1,194,126.0"
