"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"118","111","    Gasoline and other energy goods","DGOERG3",11.147,11.345,11.359,11.416,11.445,11.338,11.725,12.004,12.396,12.622,13.009,13.192,13.407,13.566,14.981,20.834,22.297,23.365,25.033,26.185,35.271,49.045,55.319,52.75,50.711,50.186,50.294,39.485,40.944,41.25,44.906,51.424,50.563,50.178,49.685,49.808,50.475,53.913,53.911,47.001,50.888,65.775,63.487,59.385,69.378,81.545,100,112.928,123.9,146.278,106.517,125.907,159.226
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRG3",12.289,12.644,12.52,12.598,12.568,12.486,12.958,13.256,13.694,13.896,14.354,14.482,14.588,14.777,16.19,21.871,23.339,24.331,25.74,26.858,35.994,49.955,55.584,52.772,51.047,50.283,50.689,39.81,41.34,41.691,45.539,51.843,51.162,50.963,50.446,50.685,51.491,54.645,54.634,47.555,51.788,66.17,63.776,59.915,69.782,82.086,100,112.842,123.921,144.927,106.069,125.441,158.481
"120","113","        Gasoline and other motor fuel","DGASRG3",12.205,12.559,12.425,12.499,12.465,12.375,12.849,13.144,13.575,13.768,14.219,14.338,14.432,14.616,16.029,21.715,23.173,24.163,25.57,26.674,35.925,50.043,55.707,52.776,50.991,50.214,50.608,39.519,41.094,41.415,45.279,51.705,50.919,50.734,50.212,50.416,51.16,54.35,54.34,47.124,51.432,65.998,63.477,59.501,69.491,81.926,100,112.773,123.873,144.896,105.157,124.695,157.977
"121","114","        Lubricants and fluids","DLUBRG3",17.331,17.606,18.422,18.897,19.21,19.885,20.112,20.643,21.569,22.578,23.585,24.658,25.861,26.637,27.562,31.379,33.475,34.404,35.811,37.826,41.061,48.734,53.213,55.547,56.706,56.526,57.494,57.327,56.291,58.352,61.44,61.874,66.095,65.276,64.913,66.583,70.073,71.784,71.66,71.426,71.711,75.524,80.485,83.822,86.001,90.513,100,116.158,126.271,146.396,160.957,166.964,182.817
"122","115","      Fuel oil and other fuels (29)","DFULRG3",6.46,6.365,6.601,6.609,6.734,6.611,6.755,6.934,7.149,7.377,7.532,7.823,8.32,8.372,9.596,15.249,16.546,17.748,20.082,21.234,29.274,41.107,50.292,49.32,45.47,46.482,44.67,34.976,35.885,35.869,38.004,45.768,43.574,41.8,41.512,40.757,40.377,45.763,45.838,40.62,41.316,60.575,59.392,52.949,64.078,74.588,100,114.203,123.49,168.372,114.129,133.927,171.675
"123","116","        Fuel oil","DOILRG3",6.345,6.237,6.495,6.496,6.62,6.481,6.62,6.797,7.007,7.233,7.382,7.658,8.136,8.183,9.382,14.927,16.156,17.344,19.638,20.79,28.837,40.569,49.687,48.636,44.635,45.623,43.792,34.047,35.141,35.097,37.332,45.047,42.679,40.862,40.53,39.768,39.366,44.912,44.837,39.282,40.018,60.31,58.297,51.758,62.897,73.623,100,114.174,123.599,170.437,113.471,133.849,173.828
"124","117","        Other fuels","DLPFRG3",7.589,7.742,7.559,7.681,7.808,7.998,8.226,8.385,8.669,8.88,9.15,9.668,10.428,10.582,12.055,18.85,21.228,22.436,25.127,26.016,32.059,43.43,52.087,52.757,52.391,53.668,52.501,45.432,42.947,43.381,43.962,51.853,51.68,50.415,50.587,49.914,49.742,53.789,55.18,53.153,53.472,64.918,70.633,64.921,76.082,84.442,100,114.513,122.155,145.347,124.033,134.973,145.53
"125","118","    Other nondurable goods","DONGRG3",19.065,19.361,19.408,19.472,19.742,20.035,20.314,20.719,21.226,22.039,22.855,23.921,24.837,25.456,26.15,28.723,32.021,33.678,35.629,37.567,40.024,43.679,47.382,51.049,54.565,56.587,58.777,61.117,63.579,66.424,70.094,73.641,77.564,80.484,81.841,82.414,83.874,85.461,86.354,87.979,91.415,93.42,95.588,97.166,97.347,98.505,100,102.184,103.608,106.135,110.791,112.788,114.597
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRG3",19.207,19.166,18.694,18.15,17.835,17.746,17.682,17.72,17.593,17.572,17.769,18.132,18.364,18.377,18.398,18.969,20.436,21.636,23,24.648,26.327,28.653,31.798,35.143,38.242,41.09,44.009,46.784,49.516,52.411,55.953,60.232,64.868,68.572,70.607,72.264,72.803,74.509,75.71,77.605,80.955,84,87.974,91.831,94.446,97.142,100,103.963,105.442,107.79,111.241,115.239,119.187
"127","120","        Pharmaceutical products","DPNPRG3",19.085,19.041,18.563,18.013,17.697,17.607,17.543,17.581,17.452,17.43,17.626,17.985,18.213,18.226,18.245,18.809,20.26,21.449,22.8,24.44,26.11,28.424,31.556,34.883,37.979,40.832,43.758,46.531,49.27,52.18,55.721,60.017,64.679,68.399,70.424,72.083,72.59,74.3,75.502,77.403,80.779,83.848,87.862,91.763,94.401,97.116,100,103.992,105.477,107.85,111.325,115.399,119.396
"128","121","          Prescription drugs","DRXDRG3",19.415,19.32,18.658,17.93,17.508,17.3,17.112,17.056,16.755,16.478,16.686,16.964,16.968,16.903,16.847,17.256,18.321,19.32,20.471,21.946,23.388,25.284,27.884,30.781,33.763,36.556,39.533,42.34,44.993,47.799,51.26,55.863,60.949,65.008,66.916,68.762,69.343,71.111,72.338,74.457,78.373,81.82,86.242,90.677,93.491,96.599,100,104.289,105.744,108.301,111.952,116.752,121.688
"129","122","          Nonprescription drugs","DNRDRG3",23.047,23.082,22.816,22.458,22.259,22.375,22.544,22.789,23.017,23.605,23.813,24.465,25.38,25.634,25.889,27.044,29.976,31.976,34.2,36.652,39.334,43.347,48.683,53.948,57.979,61.55,64.87,68.059,71.578,75.335,79.729,83.615,87.423,90.335,93.077,94.11,94.334,95.914,97.072,97.801,97.874,98.462,99.544,99.478,100.821,100.671,100,102.058,103.732,104.981,107.364,107.024,105.612
"130","123","        Other medical products","DOMPRG3",29.396,29.447,29.084,28.648,28.359,28.288,28.214,28.289,28.182,28.235,28.523,29.189,29.669,29.738,29.837,30.899,33.465,35.487,37.796,40.166,42.578,45.971,50.2,54.946,58.37,61.07,63.733,66.836,69.342,71.602,75.464,79.112,82.61,85.695,88.565,90.235,93.169,94.629,95.726,96.968,97.85,98.624,98.665,98.291,98.644,99.526,100,101.454,102.419,102.723,104.115,101.927,102.209
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRG3",41.167,41.916,42.588,43.294,43.919,44.837,44.887,45.219,46.226,48.356,50.649,52.537,54.565,55.944,56.94,59.797,63.715,65.818,67.541,70.28,74.67,82.195,89.049,93.338,94.916,96.145,97.63,98.823,101.651,105.343,109.265,112.024,114.469,115.893,115.747,116.621,117.11,118.265,117.63,115.336,111.496,109.582,108.729,106.351,103.194,102.666,100,99.394,98.7,100.44,100.453,97.161,95.995
"132","125","        Games, toys, and hobbies","DDOLRG3",68.098,69.378,70.539,71.765,72.677,72.286,71.742,71.583,73.114,77.204,82.787,86.631,90.652,92.109,92.7,96.928,104.219,106.741,108.01,112.755,118.413,127.526,136.574,143.557,145.038,145.639,145.04,145.602,147.935,154.892,160.12,161.8,161.985,163.998,165.379,166.797,164.261,165.959,164.174,155.282,145.204,135.972,129.224,120.861,112.687,107.251,100,95.482,90.93,86.169,81.475,76.196,72.92
"133","126","        Pets and related products","DPRPRG3",21.832,22.148,22.397,22.735,23.001,23.7,24.485,25.516,26.649,28.606,30.073,31.716,33.375,34.232,35.296,37.374,39.76,41.443,43.184,44.532,47.928,53.47,58.995,62.116,64.173,66.294,68.283,69.739,71.236,73.475,77.493,79.934,82.831,82.2,82.673,84.047,84.894,89.233,91.602,92.087,92.723,92.621,94.142,96.051,96.444,99.135,100,103.743,106.905,116.955,125.451,124.136,126.13
"134","127","        Flowers, seeds, and potted plants","DFLORG3",27.702,28.384,29.046,29.647,30.154,30.871,31.162,31.679,32.479,34.015,35.286,36.852,38.765,39.905,40.92,43.426,46.914,49.139,51.277,53.886,58.245,65.294,71.867,75.185,75.917,76.077,78.475,78.879,82.257,84.202,86.156,89.845,93.567,96.546,94.205,94.432,97.31,94.198,91.207,92.401,90.312,94.314,97.543,97.761,97.219,100.218,100,100.806,101.964,105.908,105.292,104.265,104.591
"135","128","        Film and photographic supplies","DFLMRG3",67.553,68.234,68.786,69.347,70.797,78.862,75.829,72.921,71.275,68.393,67.094,65.246,63.774,66.284,67.068,69.052,70.501,71.576,71.934,74.468,77.227,85.552,88.557,90.945,91.867,92.969,94.005,97.236,103.242,107.676,112.204,114.487,116.149,117.843,118.691,116.464,116.937,116.841,117.038,115.327,111.785,109.815,109.22,106.632,103.312,100.138,100,97.173,97.053,98.292,99.932,101.358,103.308
"136","129","      Household supplies (parts of 32 and 36)","DHOURG3",25.961,26.242,26.176,26.095,26.199,26.191,26.295,26.693,27.395,28.186,28.809,29.928,31.044,31.566,32.319,37.812,45.42,48.633,52.4,55.399,59.29,64.838,70.116,74.644,77.442,79.11,81.417,82.796,84.98,87.039,90.344,92.635,94.568,94.831,94.763,94.887,96.596,97.644,97.649,98.099,98.985,101.371,103.378,103.081,99.823,99.106,100,101.398,100.961,103.828,106.979,106.155,106.588
"137","130","        Household cleaning products","DCLERG3",24.176,24.063,23.79,23.738,23.946,23.863,23.969,24.297,24.811,25.077,25.389,26.309,27.232,27.571,28.137,32.937,40.16,43.361,46.098,48.765,51.905,57.17,62.606,66.561,69.222,70.264,72.378,74.482,77.007,78.641,82.737,85.216,89.03,89.26,88.975,88.853,90.219,91.142,92.619,93.325,94.932,97.429,101.071,101.892,100.298,99.142,100,103.38,104.042,107.376,112.556,111.741,112.469
"138","131","        Household paper products","DPAPRG3",15.523,15.743,15.721,15.713,15.727,15.717,15.728,16.048,16.618,17.417,18.094,19.227,20.094,20.425,21.035,25.975,33.965,37.542,41.485,44.518,47.761,51.852,55.52,58.49,59.594,60.839,62.824,62.732,63.483,65.037,68.509,71.119,71.92,71.955,71.81,72.018,76.053,79.938,80.002,82.257,84.113,90.739,94.648,95.071,93.507,96.321,100,105.248,108.127,117.023,124.485,126.035,129.001
"139","132","        Household linens","DLINRG3",45.83,46.411,46.778,46.662,46.682,46.857,47.219,47.843,49.163,51.041,52.571,53.66,54.906,55.909,57.16,64.501,69.342,72.685,76.421,81.083,87.541,95.035,101.305,110.277,117.581,121.919,125.319,127.901,131.733,135.48,136.014,136.905,136.927,137.937,137.909,137.94,135.734,132.73,129.916,127.044,125.614,122.248,119.415,115.896,107.291,102.524,100,93.211,86.76,82.125,78.479,74.903,72.476
"140","133","        Sewing items","DSEWRG3",49.683,49.96,50.155,50.072,50.445,50.733,51.139,52.181,54.559,57.716,60.875,63.283,65.491,67.097,69.401,73.595,75.34,77.456,79.884,79.469,82.119,88.173,93.624,96.63,98.121,98.672,99.9,101.908,101.627,107.519,108.947,114.618,115.62,116.708,115.907,115.002,120.274,120.808,113.285,107.169,104.113,103.984,103.914,103.512,101.266,101.827,100,99.118,95.365,95.6,98.289,101.085,103.868
"141","134","        Miscellaneous household products","DMHPRG3",24.581,26.896,26.721,26.124,26.14,26.113,25.88,26.23,26.588,27.167,26.611,28.303,30.991,32.313,33.371,38.295,47.904,47.378,54.462,54.611,58.459,64.873,71.43,75.149,76.419,77.565,79.07,79.418,81.546,83.218,86.118,87.716,88.86,88.439,89.655,90.793,92.771,93.03,94.307,96.134,96.724,98.059,99.494,100.945,99.726,98.958,100,104.295,106.779,109.324,109.833,109.949,110.885
"142","135","      Personal care products (part of 118)","DOPCRG3",27.59,27.569,27.506,27.763,27.852,27.887,27.778,27.43,27.908,28.757,30.054,30.806,31.809,32.65,33.51,37.206,41.893,44.301,46.787,49.114,52.282,56.615,61.772,66.638,70.312,72.509,74.608,76.84,78.328,80.785,83.82,86.874,89.733,91.771,93.14,94.459,95.163,95.455,95.668,97.108,98.503,99.803,100.772,100.589,99.622,99.76,100,100.883,102.443,103.085,105.085,104.081,103.54
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRG3",28.879,28.856,28.789,29.062,29.159,29.196,29.076,28.707,29.206,30.083,31.472,32.254,33.303,34.199,35.069,38.934,43.839,46.396,48.974,51.646,54.942,59.971,66.323,71.476,75.282,77.424,79.589,81.839,83.412,86.243,89.874,92.645,94.698,98.031,98.5,99.104,100.368,99.784,98.713,99.424,99.862,101.469,102.56,102.626,100.697,100.332,100,100.768,101.81,102.49,103.538,102.424,100.62
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRG3",25.683,25.666,25.608,25.842,25.923,25.955,25.859,25.538,25.985,26.786,27.965,28.67,29.604,30.374,31.199,34.642,39.005,41.223,43.554,45.563,48.525,52.225,56.389,60.878,64.323,66.472,68.447,70.58,71.955,74.072,76.583,79.75,83.194,84.034,86.224,88.243,88.34,89.618,91.39,93.77,96.478,97.34,98.131,97.57,98.053,98.937,100,101.042,103.299,103.893,107.175,106.319,107.542
"145","138","        Electric appliances for personal care","DEAPRG3",28.89,28.849,28.786,29.066,29.163,29.192,29.076,28.706,29.199,30.08,31.47,32.25,33.297,34.198,35.068,38.927,43.831,46.387,48.965,51.644,54.936,59.966,66.317,71.471,75.284,77.423,79.588,81.837,83.409,86.244,89.873,92.643,94.695,98.027,98.496,99.099,100.364,99.78,98.71,99.413,99.862,101.475,102.557,102.617,100.688,100.321,100,100.774,101.812,102.488,103.539,102.429,100.622
"146","139","      Tobacco (127)","DTOBRG3",7.023,7.257,7.315,7.373,7.597,7.777,8.107,8.545,8.865,9.423,9.926,10.756,11.211,11.824,12.151,12.743,13.651,14.23,14.915,15.739,16.651,17.92,19.326,21.45,25.6,27.239,28.801,30.73,32.856,35.78,40.299,44.39,49.499,53.681,55.606,53.37,54.689,56.353,58.85,63.968,79.644,85.268,88.387,92.202,93.282,95.065,100,103.414,110.235,117.115,144.831,160.563,166.059
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRG3",15.27,15.528,15.76,16.021,16.706,17.615,18.151,18.782,19.517,20.568,21.391,22.73,24.162,24.601,25.453,29.613,33.144,34.61,36.566,38.011,40.335,44.215,48.217,51.735,54.624,56.367,58.29,59.896,61.578,63.586,66.057,68.364,72.671,76.448,78.781,81.328,85.775,89.602,91.542,93.603,94.648,95.071,96.245,97.415,97.846,98.315,100,101.459,102.859,104.958,109.044,109.929,110.571
"148","141","        Newspapers and periodicals","DMAGRG3",11.81,12.046,12.331,12.578,13.368,14.391,14.852,15.345,15.911,16.952,17.763,19.027,20.667,21.098,21.658,24.711,27.844,29.052,30.669,32.054,34.027,37.729,41.423,44.546,47.301,48.957,50.857,52.656,54.626,56.78,59.013,61.166,66.219,69.882,72.518,75.508,79.921,83.552,84.216,85.897,87.852,89.467,91.198,92.877,94.7,97.494,100,101.59,102.638,105.358,112.154,113.433,114.708
"149","142","        Stationery and miscellaneous printed materials","DSTYRG3",22.937,23.209,23.236,23.493,23.752,24.25,24.927,25.853,26.951,27.954,28.771,30.229,31.065,31.489,33.01,39.723,43.931,45.943,48.614,50.027,53.048,56.861,61.198,65.378,68.289,70.085,71.908,72.964,73.935,75.565,78.449,81.011,83.897,87.88,89.73,91.545,96.052,100.219,104.632,107.418,106.702,104.919,105.053,105.242,103.102,99.611,100,101.266,103.146,104.43,104.98,105.338,105.118
"150","143","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","144","        Expenditures abroad by U.S. residents","DABDRG3",6.624,6.748,6.877,7.045,7.236,7.403,7.631,7.885,8.106,8.426,8.829,9.311,9.804,9.973,12.217,15.463,19.191,20.391,26.6,32.187,36.901,43.783,39.737,40.907,39.4,38.4,39.391,51.042,58.956,62.337,61.457,70.084,72.585,77.856,75.037,76.298,85.213,83.553,74.877,74.178,74.742,68.403,68.389,72.447,85.104,94.028,100,105.924,119.159,125.363,120.473,119.046,127.019
"152","145","          Government employees' expenditures abroad","DARTRG3",6.624,6.747,6.876,7.045,7.235,7.403,7.631,7.884,8.105,8.426,8.829,9.311,9.804,9.972,12.215,15.463,19.19,20.39,26.6,32.188,36.896,43.779,39.735,40.902,39.397,38.397,39.388,51.038,58.953,62.331,61.448,70.07,72.584,77.851,75.035,76.297,85.211,83.55,74.874,74.171,74.741,68.401,68.389,72.445,85.101,94.025,100,105.921,119.156,125.359,120.469,119.043,127.167
"153","146","          Private employees' expenditures abroad","DARSRG3",6.631,6.754,6.883,7.051,7.242,7.409,7.634,7.887,8.112,8.43,8.829,9.321,9.808,9.982,12.277,15.434,19.19,20.414,26.602,32.146,36.978,43.836,39.742,41.001,39.448,38.43,39.418,51.126,58.912,62.408,61.66,70.421,72.605,77.96,75.096,76.314,85.264,83.631,74.949,74.342,74.78,68.453,68.387,72.507,85.174,94.111,100,105.996,119.247,125.452,120.557,119.128,127.258
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRG3",24.145,24.353,24.498,24.691,24.906,25.171,25.492,26.12,26.602,27.601,28.904,30.194,31.231,32.202,34.631,38.734,42.149,43.907,46.509,49.758,54.873,61.31,66.56,68.632,69.935,71.853,72.853,71.211,73.161,75.097,78.103,81.754,83.439,84.358,85.265,86.051,87.356,89.016,89.734,88.967,90.148,93.112,94.045,93.468,94.37,96.621,100,102.276,104.474,109.146,106.038,109.137,115.017
"155","148","Services","DSERRG3",13.229,13.58,13.826,14.089,14.305,14.572,14.845,15.276,15.785,16.467,17.324,18.285,19.284,20.102,21.077,22.866,24.834,26.556,28.558,30.777,33.35,36.802,40.555,43.709,46.429,48.846,51.049,53.375,55.409,58.123,60.84,63.808,66.581,69.236,71.294,73.2,75.365,77.473,79.812,81.689,83.509,85.818,88.422,90.801,93.686,96.688,100,103.414,106.981,110.584,112.353,114.465,116.513
"156","149","  Household consumption expenditures (for services)","DHCERG3",12.635,13.012,13.251,13.506,13.712,13.976,14.233,14.642,15.13,15.787,16.603,17.531,18.488,19.273,20.198,21.871,23.749,25.409,27.33,29.465,31.914,35.226,38.879,42.082,44.905,47.388,49.631,52.021,54.101,56.857,59.733,62.925,65.925,68.863,71.11,73.081,75.317,77.45,79.758,81.522,83.299,85.516,88.057,90.498,93.565,96.708,100,103.469,107.123,110.854,112.859,115.126,117.161
"157","150","    Housing and utilities","DHUTRG3",15.567,15.86,16.072,16.244,16.417,16.563,16.704,16.935,17.226,17.62,18.185,18.977,19.949,20.705,21.634,22.831,24.626,26.409,28.748,30.777,33.266,36.749,40.804,44.566,47.45,49.864,52.49,54.988,56.964,59.22,61.606,64.282,66.415,68.268,70.242,72.055,74.004,76.193,78.269,80.114,82.02,84.79,88.725,91.304,94.172,96.667,100,104.288,107.967,111.798,113.095,113.417,115.005
"158","151","      Housing","DHSGRG3",16.252,16.511,16.739,16.944,17.152,17.327,17.499,17.764,18.105,18.549,19.162,19.981,20.909,21.663,22.584,23.43,24.947,26.579,28.819,30.796,33.173,36.22,39.909,43.193,45.79,48.175,51.051,54.074,56.532,59.069,61.522,64.414,66.449,68.268,70.129,72.101,74.328,76.58,78.728,81.221,83.472,86.06,89.456,93.043,95.383,97.607,100,103.599,107.267,110.237,112.197,112.269,113.713
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRG3",16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882,19.675,20.571,21.29,22.225,23.047,24.589,26.232,28.46,30.408,32.773,35.816,39.53,42.815,45.475,48.052,51.218,54.415,56.863,59.18,61.539,64.216,66.589,68.388,70.065,71.745,73.453,75.352,77.479,79.835,82.171,85.065,88.746,92.125,94.689,97.085,100,103.562,107.955,111.85,114.34,114.489,116.349
"160","153","          Tenant-occupied mobile homes","DTMHRG3",15.99,16.183,16.575,16.633,16.836,16.972,17.18,17.356,17.681,18.113,18.711,19.476,20.378,21.104,22.019,22.854,24.361,25.965,28.206,30.13,32.477,35.499,39.178,42.37,44.986,47.514,50.656,53.833,56.254,58.546,60.886,63.535,65.88,67.653,69.305,70.965,72.709,74.625,76.804,79.221,81.66,84.662,88.431,91.88,94.567,97.097,100,103.54,107.98,111.912,114.503,114.765,116.703
"161","154","          Tenant-occupied stationary homes","DTSPRG3",15.965,16.202,16.41,16.614,16.8,16.947,17.121,17.364,17.664,18.1,18.676,19.46,20.347,21.058,21.983,22.795,24.321,25.947,28.149,30.077,32.415,35.424,39.098,42.353,44.984,47.534,50.665,53.826,56.247,58.54,60.872,63.518,65.864,67.643,69.299,70.956,72.704,74.628,76.809,79.238,81.661,84.629,88.395,91.863,94.557,97.095,100,103.58,107.985,111.939,114.475,114.736,116.673
"162","155","          Tenant landlord durables","DTLDRG3",24.519,24.883,25.218,25.517,25.776,26.026,26.287,26.661,27.153,27.792,28.673,29.869,31.243,32.345,33.752,35.019,37.339,39.823,43.225,46.182,49.783,54.42,60.059,64.89,68.925,72.854,77.648,82.545,86.272,89.761,93.438,97.584,101.281,104.026,106.705,109.553,108.785,109.167,108.347,106.845,104.736,103.907,103.595,102.992,99.992,96.684,100,102.924,106.815,108.373,108.935,104.262,102.781
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRG3",16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039,19.832,20.746,21.474,22.401,23.246,24.792,26.442,28.697,30.671,33.058,36.129,39.855,43.243,45.862,48.216,51.051,54.085,56.586,59.175,61.638,64.595,66.474,68.264,70.09,72.063,74.448,76.811,79.049,81.61,83.834,86.328,89.639,93.285,95.563,97.74,100,103.473,106.976,109.678,111.494,111.48,112.783
"164","157","          Owner-occupied mobile homes","DOMHRG3",16.275,16.526,16.733,16.931,17.111,17.293,17.458,17.687,18.013,18.461,19.045,19.837,20.741,21.457,22.402,23.251,24.801,26.438,28.703,30.677,33.072,36.138,39.861,43.237,45.87,48.215,51.056,54.082,56.585,59.174,61.64,64.595,66.48,68.264,70.087,72.06,74.448,76.815,79.049,81.607,83.833,86.348,89.661,93.275,95.56,97.732,100,103.448,106.996,109.698,111.532,111.517,112.821
"165","158","          Owner-occupied stationary homes","DOSTRG3",16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039,19.832,20.746,21.475,22.401,23.246,24.792,26.442,28.697,30.671,33.057,36.129,39.854,43.243,45.862,48.215,51.05,54.085,56.586,59.175,61.638,64.595,66.473,68.264,70.09,72.063,74.448,76.81,79.049,81.61,83.834,86.327,89.638,93.285,95.563,97.741,100,103.474,106.976,109.677,111.493,111.479,112.782
"166","159","        Rental value of farm dwellings (22)","DFARRG3",19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409,29.339,31.124,33.116,33.728,34.885,35.018,35.871,37.681,40.083,42.187,44.134,45.743,44.312,44.723,45.157,44.586,43.549,43.964,47.95,51.618,55.163,58.912,62.766,70.504,78.489,81.732,84.399,80.904,81.601,83.846,86.338,89.621,93.281,95.572,97.756,100,111.192,113.34,117.24,118.85,123.141,125.784
"167","160","        Group housing (23)","DGRHRG3",16.17,16.418,16.531,16.712,16.952,17.108,17.361,17.614,17.888,18.184,18.924,19.655,20.509,21.194,22.061,23.179,24.722,26.288,28.408,30.466,32.828,35.87,39.166,42.324,44.959,47.514,50.615,53.795,56.25,58.542,60.898,63.51,65.865,67.631,69.304,70.954,72.714,74.634,76.807,79.244,81.659,84.625,88.365,91.86,94.563,97.083,100,103.584,107.999,111.944,114.49,114.753,116.689
"168","161","      Household utilities","DUTLRG3",12.909,13.337,13.485,13.534,13.57,13.603,13.629,13.731,13.83,14.032,14.414,15.099,16.232,16.994,17.953,20.529,23.431,25.809,28.542,30.781,33.712,38.951,44.508,50.265,54.338,56.871,58.428,58.644,58.51,59.54,61.625,63.343,65.901,67.9,70.373,71.461,72.112,73.999,75.726,74.483,74.713,78.363,84.993,82.465,87.963,91.821,100,107.977,111.708,120.258,117.871,119.567,121.952
"169","162","        Water supply and sanitation (25)","DWRSRG3",7.989,8.242,8.458,8.676,8.941,9.073,9.297,9.641,9.864,10.334,11.033,11.907,13.174,13.662,14.397,15.272,16.754,18.63,20.647,23.045,24.129,25.79,28.907,32.382,35.116,37.482,39.79,42.099,44.592,47.235,50.27,53.818,57.966,62.1,65.528,68.753,70.97,73.508,75.323,77.761,79.483,81.434,83.784,86.485,89.667,95.008,100,104.931,110.285,116.713,123.927,131.82,138.753
"170","163","          Water supply and sewage maintenance","DWSMRG3",8.032,8.29,8.512,8.728,8.992,9.124,9.346,9.694,9.917,10.397,11.099,11.975,13.248,13.735,14.479,15.355,16.85,18.735,20.764,23.189,24.284,25.961,29.101,32.606,35.366,37.726,40.035,42.227,44.499,46.926,49.758,53.055,56.933,60.782,64.091,67.302,69.377,72.19,74.126,76.711,78.319,80.28,82.764,85.543,88.81,94.58,100,104.874,110.349,116.867,125.018,134.299,142.163
"171","164","          Garbage and trash collection","DREFRG3",7.426,7.639,7.813,8.035,8.293,8.424,8.647,8.954,9.17,9.566,10.217,11.049,12.229,12.709,13.36,14.192,15.544,17.295,19.163,21.308,22.287,23.789,26.646,29.81,32.278,34.602,36.826,39.781,43.527,47.392,51.542,56.397,61.915,67.502,71.481,74.705,77.59,78.786,80.038,81.847,84.019,85.933,87.758,90.139,92.968,96.628,100,105.143,110.053,116.152,119.855,122.418,125.827
"172","165","        Electricity and gas","DELGRG3",14.507,14.992,15.12,15.121,15.087,15.09,15.056,15.086,15.151,15.282,15.583,16.224,17.337,18.189,19.226,22.341,25.702,28.26,31.241,33.486,36.971,43.294,49.629,56.122,60.639,63.256,64.598,64.143,63.132,63.628,65.4,66.503,68.532,69.845,72.015,72.41,72.536,74.203,75.901,73.37,73.074,77.324,85.467,81.084,87.394,90.741,100,109.031,112.186,121.491,115.689,115.255,116.119
"173","166","          Electricity (27)","DELCRG3",19.575,19.865,19.939,19.939,19.865,19.798,19.724,19.724,19.865,20.014,20.452,21.114,22.511,23.611,25.075,29.624,33.436,35.636,38.001,40.378,43.456,50.338,57.873,63.61,65.692,69.889,72.394,73.338,73.12,74.12,76.198,77.97,80.877,82.448,84.064,84.096,85.993,87.419,87.886,84.487,83.826,85.182,91.221,90.335,92.47,94.187,100,112.079,116.7,124.17,128.025,128.221,130.555
"174","167","          Natural gas (28)","DGHERG3",7.726,8.213,8.344,8.344,8.344,8.391,8.391,8.433,8.433,8.522,8.658,9.145,9.81,10.297,10.789,12.118,14.515,17.002,20.186,22.014,25.536,30.531,34.797,41.549,48.673,48.993,48.678,46.323,44.225,43.95,45.154,45.195,45.762,46.605,49.461,50.387,47.732,49.673,53.126,52.133,52.508,61.966,73.815,62.933,77.237,83.73,100,102.549,102.574,115.785,90.438,88.739,86.696
"175","168","    Health care","DHLCRG3",7.035,7.508,7.677,7.872,8.094,8.37,8.631,9.015,9.589,10.194,10.913,11.737,12.342,12.866,13.474,14.753,16.413,17.994,19.494,21.139,23.2,26.009,29.185,32.47,35.441,38.093,40.403,42.806,45.559,49.111,53.429,57.989,62.469,66.861,70.434,73.297,75.97,77.758,79.315,80.811,82.585,84.91,87.759,90.056,93.473,96.927,100,103.053,106.866,109.749,112.725,115.561,117.489
