"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"40","32","    Lumber and other construction materials wholesalers","PK42133",94.817,95.455,95.311,96.068,97.206,95.602,95.947,95.404,95.456,94.634,95.113,94.555,93.48,93.162,92.838,92.696,91.901,89.917,90.853,91.287,91.049,91.035,90.831,91.408,92.126,92.721,93.408,93.283,94.554,96.028,98.46,96.945,96.176,95.205,95.895,96.274,96.44,95.775,95.44,94.812,93.567,93.144,92.366,91.532,91.502,92.363,92.323,92.27,91.243,91.067,90.954,91.132,94.402,95.44,93.356,93.313,92.94,92.163,91.912,91.395,92.084,92.152,92.602,92.37,92.365,91.642,91.788,92.415,91.972,92.412,92.605,92.715,92.4,92.432,91.731,91.618,91.9,92.428,93.613,94.017,95.986,96.163,96.939,97.528,97.644,98.856,100.839,102.882,105.504,104.716,104.711,108.185,107.855,105.588,103.652,104.226,104.454,105.836,105.67,105.338,103.329,104.754,103.955,103.409,104.198,105.466,105.691,106.583,107.872,107.653,107.137,106.845,107.048,105.13,104.306,103.538,103.463,102.5,102.296,102.71,103.118,102.545,102.207,101.989,101.192,101.632,102.439,102.234,101.427,101.819,101.542,101.919,100.278,99.587,99.493,99.983,101.303,102.16,102.507,103.713,104.205,103.73,103.6,103.453,101.452,99.884,99.363,99.121,98.188,98.207,99.786,99.595,100.339,100.99,101.446,102.026,102.306,104.462,105.726,107.123,108.31,105.798,105.014,104.084,103.805,104.432,105.21,105.622,106.17,105.901,106.124,105.647,105.332,105.566,106.121,106.704,106.222,107.181,106.572,106.18,106.306,105.85,106.268,106.772,108.515,109.293,108.474,109.592,110.058,109.583,111.515,112.59,114.327,115.707,117.196,118.632,116.309,115.137,115.001,116.276,117.396,118.998,120.159,120.091,120.363,121.001,121.222,120.934,121.098,121.7,122.497,122.633,123.605,123.29,122.967,122.305
"41","33","    Professional and commercial equipment wholesalers","PK42143",301.917,298.409,295.463,293.183,285.822,283.16,279.969,275.59,272.736,269.453,266.224,264.323,258.341,252.671,249.359,243.808,240.039,237.9,234.642,227.593,225.322,221.528,219.128,215.706,212.113,209.415,207.208,204.082,202.178,199.945,198.179,195.81,194.687,192.649,192.197,190.622,189.48,187.963,186.768,185.424,184.342,183.322,183.423,181.189,180.81,179.84,178.654,177.05,170.511,168.206,165.323,165.015,163.804,163.232,161.755,158.508,157.24,155.48,153.822,152.794,151.885,150.804,150.386,149.319,149.123,148.288,147.022,145.745,145.195,143.982,143.214,142.69,141.9,139.767,139.129,139.131,138.462,138.061,137.297,136.743,136.974,136.394,136.075,135.365,135.317,135.244,134.968,134.476,134.335,133.014,132.592,131.916,131.224,130.483,129.812,129.721,128.217,128.142,127.036,126.145,124.992,124.559,123.441,123.218,121.669,121.126,120.295,119.565,119.076,118.102,117.605,116.595,116.172,115.376,114.73,114.182,113.424,112.917,112.885,112.639,111.605,111.157,110.602,110.672,110.088,109.463,108.835,108.256,107.889,107.551,107.146,106.79,106.033,105.698,105.201,104.98,104.948,104.529,104.389,104.055,103.507,103.201,102.909,102.746,102.628,101.636,101.208,100.743,100.829,99.94,99.651,99.681,99.001,99.039,98.245,98.023,97.96,97.899,97.778,97.354,97.235,96.722,96.887,96.743,97.177,97.113,96.96,96.817,96.321,96.298,95.694,95.499,94.954,94.66,94.681,93.976,94.401,94.043,94.163,94.137,94.525,94.353,94.011,93.77,93.755,93.655,93.532,93.362,93.185,93.216,92.329,92.108,92.157,92.08,92.017,91.897,91.711,91.681,91.656,91.47,91.455,91.252,91.268,91.007,90.958,91.065,90.918,90.908,91.221,91.162,91.118,90.802,90.611,90.653,90.417,90.337
"42","34","      Computers and software wholesalers","PK42433",798.539,784.234,770.064,758.039,726.429,715.395,702.506,684.27,672.218,658.263,644.876,636.146,613.424,589.929,577.165,557.105,543.461,535.561,523.906,498.517,490.528,476.918,467.915,456.477,444.435,435.472,427.865,416.888,410.372,403.188,397.25,389.215,385.903,379.461,377.521,372.562,369.077,364.212,360.366,355.924,352.364,348.893,348.757,341.807,339.705,336.442,333.825,328.559,308.86,302.526,293.722,292.35,288.378,286.555,282.015,271.921,267.713,262.322,257.589,254.212,251.622,247.897,247.105,244.556,243.776,241.113,237.396,233.411,231.736,228.147,225.6,223.983,220.603,215.149,212.915,212.505,210.76,209.339,207.116,205.45,205.857,203.089,201.926,200,198.764,198.375,197.566,196.037,195.556,191.846,190.605,188.683,186.288,184.663,182.44,181.902,177.5,176.165,173.064,171.061,167.829,166.456,163.354,162.477,158.467,156.907,154.78,152.496,151.226,148.659,147.337,144.573,143.229,141.139,139.275,137.797,135.921,134.605,134.025,133.477,131.909,130.715,128.921,127.89,126.375,124.644,123.087,121.467,120.494,119.67,118.536,117.626,115.641,114.535,112.942,112.212,112.039,111.107,110.474,109.593,108.254,107.61,107.139,106.527,106.047,103.953,102.642,101.491,101.508,99.854,99.237,99.491,98.007,97.817,96.63,96.217,96.155,95.999,95.623,94.919,94.799,93.859,93.656,93.372,94.315,94.074,93.646,93.212,91.988,91.771,90.971,90.37,89.491,88.884,88.673,87.561,87.501,86.971,86.918,87.062,87.396,87.075,86.32,85.937,85.911,85.612,85.636,85.208,84.916,84.917,83.105,82.751,82.731,82.56,82.495,82.312,81.856,81.604,81.668,81.411,81.448,80.983,81.016,80.668,80.468,80.396,80.211,80.091,80.495,80.523,80.27,79.858,79.422,79.523,79.239,79.244
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",88.136,87.896,88.034,88.339,88.277,88.193,88.061,88.046,88.08,88.128,88.144,88.332,88.074,88.337,88.317,88.149,88.088,88.094,88.052,88.085,88.049,88.073,88.262,88.145,88.102,88.126,88.248,88.449,88.548,88.505,88.604,88.823,88.723,88.714,88.888,88.861,88.794,88.805,88.812,88.886,88.948,89.048,89.231,89.266,89.642,89.725,89.301,89.481,89.403,89.167,89.211,89.392,89.513,89.59,89.65,89.736,89.925,89.977,89.861,90.003,89.974,90.21,90.029,89.756,89.848,89.937,89.946,90.112,90.152,90.199,90.335,90.359,90.861,90.498,90.662,90.838,90.737,90.849,90.859,90.888,91.015,91.546,91.677,91.643,92.224,92.338,92.368,92.461,92.505,92.515,92.548,92.582,92.836,92.635,92.839,92.965,93.159,93.788,93.886,93.687,93.851,94.013,94.152,94.346,94.395,94.486,94.471,94.716,94.75,94.825,94.874,95.006,95.193,95.256,95.441,95.541,95.563,95.62,95.972,95.952,95.317,95.391,95.697,96.541,96.62,96.796,96.836,97.014,97.092,97.131,97.311,97.395,97.599,97.862,98.242,98.435,98.525,98.556,98.855,99,99.169,99.161,99.04,99.316,99.569,99.556,99.942,100.103,100.254,100.087,100.126,99.947,100.078,100.362,99.997,99.987,99.912,99.952,100.119,100.03,99.908,99.938,100.566,100.593,100.35,100.503,100.706,100.94,101.407,101.642,101.294,101.647,101.571,101.705,102.051,101.935,103.03,102.916,103.279,103.019,103.477,103.515,103.761,103.724,103.722,103.901,103.579,103.775,103.772,103.862,104.289,104.265,104.402,104.456,104.4,104.381,104.59,104.892,104.732,104.66,104.568,104.759,104.747,104.616,104.794,105.162,105.073,105.234,105.403,105.216,105.48,105.313,105.486,105.441,105.279,105.078
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",64.711,65.08,65.315,65.115,65.157,65.301,65.25,65.386,65.412,65.18,65.07,64.965,64.46,64.378,63.92,63.804,63.686,63.196,62.679,61.982,61.259,60.266,59.501,59.05,58.371,58.442,58.035,57.981,58.279,58.412,58.493,58.909,59.096,59.587,60.04,60.679,61.469,61.587,62.031,62.039,61.757,61.661,61.736,61.563,61.4,60.775,59.884,59.866,59.673,59.565,59.292,58.822,58.769,58.313,58.372,58.131,58.044,57.554,57.223,56.994,57.092,57.274,57.788,58.395,59.101,59.97,60.481,60.704,61.526,61.724,61.778,61.82,61.868,62.52,62.58,62.378,62.142,62.041,62.088,62.735,63.146,63.755,64.715,66.271,68.884,72.718,75.609,78.126,78.822,78.912,82.953,85.882,86.418,88.627,90.138,90.115,90.728,90.548,89.796,89.681,87.517,84.633,83.796,84.434,86.651,86.842,89.665,90.338,91.4,93.007,93.652,95.812,99.382,101.106,102.966,102.585,104.217,104.164,102.544,103.136,102.693,104.565,108.353,110.669,110.33,110.212,110.032,108.592,107.69,107.791,107.957,109.05,112.702,115.818,120.926,131.272,137.691,142.647,146.698,146.406,139.117,124.179,112.418,104.718,102.489,99.951,97.011,93.622,93.274,93.953,96.663,100.954,104.333,105.763,105.182,107.763,111.916,113.151,117.088,121.929,122.767,121.222,118.162,118.104,119.267,120.246,121.822,124.063,129.204,133.062,135.24,137.251,136.882,136.67,137.351,137.083,136.905,134.668,132.653,133.484,134.524,134.345,134.211,132.911,131.498,127.078,124.365,124.303,125.092,122.994,124.119,125.034,123.9,123.243,123.349,122.222,119.966,119.17,119.466,119.96,119.463,120.02,121.626,122.965,124.788,123.701,122.823,123.383,123.079,122.784,123.275,123.48,123.739,122.337,120.781,120.108
"45","37","    Electrical goods wholesalers","PK42163",112.902,112.706,112.874,112.417,112.195,112.32,112.231,111.85,111.601,111.216,110.976,110.601,110.386,109.865,109.822,109.683,109.558,109.17,108.719,108.703,108.57,108.758,108.727,108.615,108.655,108.732,108.591,108.402,108.022,107.749,107.433,107.414,107.384,107.169,106.963,106.868,106.694,106.545,106.345,106.487,106.437,106.378,106.325,106.103,106.043,105.96,105.789,105.363,105.348,105.166,105.078,104.723,104.595,104.36,104.208,104.01,103.83,103.854,103.835,103.69,103.838,103.778,103.773,103.475,103.26,103.25,102.782,102.895,102.854,102.581,102.484,102.171,102.134,101.843,101.803,101.883,101.779,101.593,101.52,101.34,101.332,101.094,101.115,100.654,100.283,99.872,99.886,99.85,99.901,99.815,99.398,99.434,99.397,99.3,99.344,99.389,99.574,99.68,99.657,99.643,99.479,99.411,99.295,99.336,99.061,99.049,98.797,98.687,98.657,98.748,99.749,100.167,100.204,100.391,100.651,101.068,101.303,101.278,101.225,101.052,101.16,100.347,100.095,99.777,99.617,99.803,99.568,99.466,99.451,99.409,99.452,99.309,99.42,99.714,99.689,99.69,99.945,99.96,99.988,100.156,100.258,100.397,100.18,100.061,99.98,99.991,100.121,100.185,100.169,100.068,99.862,99.935,99.961,99.984,100.051,99.714,99.744,99.722,99.462,99.384,99.425,99.38,99.336,99.214,99.138,99.086,98.909,98.952,98.983,99.135,99.299,99.335,99.372,99.558,99.454,99.425,99.265,99.277,99.232,99.575,99.926,100.017,99.998,99.92,100.072,99.929,99.898,99.817,99.731,99.651,99.588,99.568,99.78,99.731,99.714,99.758,99.765,99.781,99.787,99.829,99.724,99.761,99.757,99.825,99.716,99.679,99.541,99.459,99.479,99.477,99.525,99.512,99.516,99.482,99.29,99.319
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",75.108,75.235,75.312,75.345,75.387,75.387,75.339,75.495,75.54,75.639,75.669,75.709,75.675,75.89,75.77,75.795,75.856,75.752,75.815,75.768,75.835,75.893,75.991,75.964,76.138,75.961,75.993,76.117,76.188,76.404,76.429,76.562,76.634,76.686,76.787,76.933,76.913,77.097,77.178,77.359,77.353,77.446,77.585,77.669,77.602,77.665,77.639,77.636,77.864,78.14,77.985,77.915,78.263,78.285,78.222,78.278,78.419,78.519,78.661,78.682,78.663,78.648,78.74,78.721,78.744,78.65,78.634,78.803,78.918,78.84,78.736,78.858,79.119,79.27,79.324,79.364,79.414,79.503,79.518,79.573,79.653,79.68,79.904,80.009,80.476,80.613,80.834,81.059,81.518,81.851,82.152,82.315,82.756,83.2,83.424,83.69,84.622,85.195,85.39,85.497,85.605,85.658,85.628,86.166,86.273,86.523,87.006,87.146,87.305,87.272,87.537,88.1,88.368,88.952,89.557,89.875,90.447,90.816,91.289,91.673,92,92.505,92.767,93.086,93.542,93.632,93.582,93.881,94.081,94.125,94.299,94.313,94.849,95.563,95.96,96.803,97.699,98.411,99.6,100.201,100.872,100.992,101.03,101.112,100.508,99.874,100.077,99.867,99.675,99.829,99.583,99.721,99.988,100.176,100.27,100.424,100.465,100.461,100.24,100.703,100.882,100.895,101.173,101.211,101.271,101.368,101.596,101.812,102.042,102.622,102.944,103.452,103.923,104.079,104.579,104.898,105.065,105.007,105.172,105.22,105.607,105.888,105.946,105.88,105.794,106.11,106.106,106.108,106.579,106.985,106.93,107.003,107.05,107.087,107.421,107.431,107.435,107.286,107.433,107.327,107.598,107.59,107.704,107.861,107.944,108.361,108.615,108.835,108.718,108.782,108.913,108.812,109.037,109.253,109.283,109.427
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",76.133,76.218,76.162,76.221,76.252,76.304,76.372,76.409,76.355,76.482,76.583,76.633,76.745,76.763,76.858,76.828,76.863,76.869,76.86,76.909,77.048,77.168,77.296,77.304,77.404,77.461,77.445,77.55,77.499,77.48,77.495,77.515,77.584,77.703,77.797,77.831,77.925,78.035,78.043,78.101,78.113,78.143,78.269,78.283,78.383,78.414,78.415,78.51,78.625,78.709,78.725,78.823,78.875,78.927,78.907,78.983,79.067,79.166,79.184,79.178,79.154,79.17,79.277,79.285,79.308,79.386,79.548,79.686,79.766,79.799,79.838,79.95,80.042,80.11,80.239,80.305,80.346,80.553,80.63,80.7,80.74,80.856,81.066,81.193,81.404,81.609,81.899,82.272,82.542,82.766,83.042,83.273,83.572,84.032,84.357,84.762,85.28,85.674,86.163,86.49,86.948,87.046,87.207,87.34,87.548,87.733,88.018,88.247,88.568,88.895,89.041,89.211,89.529,89.874,90.241,90.442,90.716,90.977,91.215,91.384,91.881,92.197,92.404,92.627,92.844,93.077,93.345,93.535,93.674,93.87,94.276,94.484,94.963,95.378,95.659,96.234,96.704,97.134,98.157,98.619,99.098,99.35,99.778,99.907,100.236,100.139,100.124,100.063,100.05,99.957,99.921,99.806,99.814,99.844,99.912,100.087,100.023,100.175,100.291,100.509,100.673,100.709,100.804,100.997,100.932,101.086,101.201,101.434,101.861,102.379,102.736,103.183,103.758,104.15,104.536,104.786,105.194,105.321,105.564,105.706,105.951,106.276,106.5,106.709,106.839,106.959,107.043,107.203,107.388,107.528,107.689,107.832,107.947,108.112,108.131,108.182,108.278,108.281,108.393,108.463,108.617,108.778,108.926,108.978,109.329,109.515,109.656,109.79,109.818,110.049,110.139,110.19,110.234,110.354,110.384,110.384
"48","40","    Miscellaneous durable goods wholesalers","PK42193",83.467,83.474,83.783,83.578,83.236,83.189,82.953,83.731,83.117,83.326,83.636,83.469,83.463,83.342,82.956,82.606,82.396,81.41,80.624,80.123,80.089,79.475,78.925,78.737,78.602,78.947,78.679,78.482,78.573,79.338,79.849,80.26,80.755,81.447,82.676,83.056,83.356,83.147,83.036,83.01,82.833,82.98,82.221,80.801,81.05,81.141,80.831,80.006,79.567,79.115,79.504,79.076,79.357,79.057,78.279,78.405,78.56,78.223,78.182,77.651,77.264,77.31,77.43,77.884,78.12,79.045,79.135,78.485,78.793,80.053,79.053,78.959,79.21,79.626,79.903,79.428,80.356,80.4,79.88,80.366,81.143,81.599,82.501,83.977,85.316,86.796,87.662,86.588,84.733,85.131,88.039,89.371,88.434,90.347,91.118,90.513,89.912,88.733,88.681,88.914,87.708,86.236,86.456,88.377,90.3,90.169,91.254,92.398,92.616,93.693,93.654,94.077,97.337,97.584,98.124,97.104,97.344,97.221,98.046,99.113,99.802,101.476,104.464,102.621,101.927,102.408,102.456,103.804,104.613,106.885,107.066,107.597,108.943,110.143,112.544,115.361,116.628,117.388,120.01,118.008,111.491,103.449,94.331,94.454,95.136,94.968,93.972,93.018,94.934,97.059,98.812,102.007,103.267,105.028,107.468,111.041,113.021,112.607,115.06,115.446,112.356,110.398,107.944,108.802,111.8,117.175,121.103,123.813,124.44,125.357,124.589,123.774,123.012,124.565,124.766,125.103,127.245,127.928,128.258,130.015,126.504,126.531,125.661,123.904,122.532,120.71,118.331,119.299,120.727,121.877,125.472,124.795,122.684,122.443,121.985,120.606,118.351,118.99,119.2,119.322,119.666,120.556,122.377,121.566,121.727,121.131,120.49,120.784,121.307,122.015,122.919,122.871,123,122.2,121.246,119.7
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",69.417,69.023,69.07,68.418,67.981,67.254,67.052,67.46,67.375,67.758,67.372,67.48,66.384,66.139,65.694,65.539,65.272,64.878,65.141,63.981,63.78,64.464,64.142,63.795,64.461,63.649,64.3,65.477,65.509,65.637,65.967,67.015,67.715,67.581,68.029,69.12,69.299,70.91,71.812,70.647,71.172,71.849,71.514,71.004,72.343,72.78,73.415,73.081,73.336,73.153,72.581,72.609,72.836,72.341,71.195,71.428,72.006,69.889,69.274,68.764,68.834,69.21,70.395,70.54,70.304,70.385,71.435,71.998,72.714,73.676,73.051,73.176,74.741,77.226,77.411,74.444,73.638,74.468,74.438,75.156,75.385,76.238,76.777,77.889,78.824,78.755,79.121,79.727,80.876,80.131,80.392,80.738,81.383,83.773,84.093,82.672,83.265,84.343,86.15,85.907,85.103,85.999,87.158,88.417,91.159,93.22,90.307,91.543,92.232,90.928,91.078,92.969,93.403,94.383,94.499,95.474,92.482,92.448,93.456,95.049,93.733,95.984,96.759,97.88,98.391,98.327,99.244,98.593,101.365,103.448,108.723,109.083,111.16,112.166,114.854,114.906,117.712,120.853,122.545,119.442,120.275,111.122,102.822,95.395,96.658,96.203,94.511,95.93,97.569,100.847,97.778,101.756,101.574,104.091,105.963,107.58,110.563,109.392,110.887,110.456,107.835,104.758,105.165,107.221,109.781,113.828,115.637,119.464,122.067,126.385,127.364,129.184,127.08,125.439,125.711,125.02,127.939,127.186,129.331,129.773,130.213,131.269,132.004,130.472,126.758,124.173,125.474,128.576,132.139,132.433,130.171,130.143,130.482,132.841,129.81,127.643,128.236,129.293,130.254,129.716,128.715,128.229,126.898,128.203,128.304,129.295,128.889,130.241,130.138,130.699,129.642,128.903,127.581,125.386,124.599,120.078
"50","42","    Paper and paper products wholesalers","PK42213",74.138,73.455,72.276,71.705,71.723,72.109,72.344,73.463,74.489,75.124,76.152,76.942,77.201,77.004,76.63,76.185,75.91,75.975,75.575,75.052,74.3,73.727,73.084,72.783,72.516,72.43,72.899,73.241,73.63,74.204,74.952,75.835,76.947,77.56,77.983,78.303,78.936,79.316,81.199,82.396,83.561,83.996,83.986,84.046,84.13,84.412,84.445,84.361,84.506,84.104,83.83,83.464,82.663,82.102,81.583,80.421,80.166,79.781,79.547,79.691,79.268,78.786,78.368,78.134,77.681,77.905,78.169,78.955,79.31,79.78,79.744,79.626,79.641,79.794,79.872,80.172,80.272,80.255,79.828,79.732,79.311,79.212,79.162,79.338,78.728,78.784,79.131,80.315,81.278,82.662,83.723,84.748,85.17,85.287,85.324,85.71,86.218,86.752,87.254,87.337,87.234,86.622,86.343,85.411,85.518,85.761,86.859,87.189,87.732,89.604,90.137,90.222,92.141,93.268,93.543,94.199,94.57,94.611,94.455,94.631,94.703,94.624,94.573,94.601,94.365,94.585,94.68,94.972,95.657,96.937,97.277,97.613,98.59,99.174,99.542,100.133,100.412,100.884,101.869,105.414,106.518,106.529,106.43,106.116,105.052,104.056,103.072,101.739,100.052,99.425,98.475,98.163,97.989,97.413,97.692,97.671,97.819,99.824,100.779,101.758,105.167,106.283,106.688,106.683,107.346,107.242,107.305,107.524,107.977,107.341,107.888,108.172,108.443,109.186,109.212,108.962,108.467,108.32,107.679,108.38,107.671,107.854,108.143,107.921,108.141,107.78,107.337,107.553,107.157,108.297,109.706,109.91,109.858,110.018,109.851,109.845,110.606,111.517,111.969,112.443,112.011,112.876,113.118,113.255,113.158,113.562,113.568,113.602,113.512,113.161,113.211,113.086,112.861,112.723,112.726,112.945
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",71.065,70.769,70.537,70.347,70.475,70.547,70.573,70.754,70.866,71.096,71.295,71.543,71.597,71.951,74.925,74.924,75.231,75.505,75.748,75.808,75.874,76.133,76.344,76.467,76.363,76.252,76.385,76.187,76.253,76.992,77.173,77.21,77.526,77.741,77.907,77.877,78.025,78.027,77.888,77.945,78.127,77.999,78.262,78.635,78.708,78.652,78.614,78.728,78.818,78.956,78.905,79.01,78.675,78.98,78.797,78.807,78.92,79.126,79.211,79.21,79.258,79.38,79.452,79.523,79.573,79.806,79.897,80.199,80.351,80.616,80.587,80.651,80.794,80.72,80.988,81.162,81.304,81.545,81.708,81.737,81.999,82.183,82.421,82.551,82.998,83.08,83.259,83.665,83.747,83.616,83.631,83.864,83.93,84.286,84.547,85.004,85.142,85.782,85.919,86.267,86.763,87.102,87.802,87.948,87.818,88.003,88.468,88.49,88.754,88.942,89.082,88.913,89.527,89.617,89.898,89.935,90.038,90.267,90.444,90.833,91.211,91.418,91.375,91.636,91.781,91.975,92.218,92.765,93.022,93.369,93.563,93.755,94.045,94.743,94.925,95.324,95.654,96.184,96.601,96.846,97.255,97.66,97.994,98.069,98.795,98.476,98.929,99.233,99.413,99.676,100.226,100.452,100.59,101.077,101.367,101.769,102.284,102.555,103.123,103.216,103.427,103.694,104.179,104.398,104.715,105.034,105.131,105.158,105.682,105.868,105.252,105.402,105.412,105.285,105.524,106.078,106.453,106.967,107.221,107.42,108.228,108.192,108.602,108.808,109.298,109.535,110.004,110.815,110.545,110.985,111.188,111.343,112.16,112.901,113.039,113.654,114.136,114.906,115.118,115.239,114.354,114.846,114.971,115.88,118.152,118.084,118.826,119.22,119.265,120.186,120.261,120.398,121.683,122.593,122.7,123.23
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",97.222,97.394,97.488,97.539,97.675,97.609,97.693,97.809,97.937,97.924,97.925,97.947,98.353,98.247,98.167,98.138,98.131,97.963,97.856,97.889,98.018,97.991,97.834,97.622,97.605,97.468,97.56,97.519,97.445,97.286,97.372,97.287,97.414,97.297,97.149,97.409,97.346,97.404,97.434,97.427,97.363,96.928,97.154,97.175,97.249,97.173,97.073,97.027,97.03,97.098,97.655,97.492,97.355,97.259,97.172,97.296,96.929,96.773,96.699,96.589,96.343,96.221,95.779,95.626,95.634,95.549,95.482,95.523,95.376,95.565,95.521,96.126,95.929,95.854,96.001,96.063,96.152,95.96,95.884,96.079,96.193,96.148,96.17,96.227,96.317,96.253,96.186,96.26,96.296,96.277,96.298,96.219,96.305,96.325,96.344,96.319,96.458,96.475,96.513,96.445,96.515,96.577,96.649,96.73,97.092,96.864,96.777,96.809,96.997,97.11,96.942,97.141,97.24,97.205,97.248,97.371,97.32,97.451,97.457,97.366,97.68,97.672,97.869,97.9,97.857,97.834,97.915,98.007,98.216,98.249,98.301,98.435,98.582,98.605,98.716,98.969,98.931,98.902,99.247,99.619,99.671,99.829,100.048,100.003,100.179,100.275,100.247,100.121,99.948,100,99.858,99.889,99.924,99.98,99.957,99.622,99.762,99.797,99.844,100.118,100.052,100.289,100.677,100.817,100.819,100.877,101.274,101.811,102.949,103.833,104.664,105.522,106.503,106.972,107.83,108.46,108.903,108.858,108.985,109.295,109.26,109.595,109.564,109.614,109.586,109.263,109.244,109.169,109.207,109.669,109.765,109.729,109.661,109.826,110.05,109.875,109.628,109.867,109.31,109.612,109.633,109.682,109.812,109.975,109.65,109.768,109.906,110.156,110.113,110.083,110.155,110.302,110.483,110.449,110.47,110.492
"53","45","    Grocery and related products wholesalers","PK42243",76.341,76.382,77.232,76.423,76.8,75.797,75.478,75.91,75.898,76.827,76.018,76.578,75.908,76.426,76.137,76.715,76.033,75.737,76.533,76.043,76.301,76.776,76.323,76.625,77.635,76.476,76.874,76.546,76.75,77.028,76.636,76.617,77.496,77.271,76.606,77.304,76.697,76.811,77.032,77.383,78.054,76.936,76.993,76.349,77.219,77.736,77.965,77.278,78.334,78.778,79.324,79.192,79.716,79.36,78.722,79.477,80.033,79.717,79.307,79.696,80.26,80.752,81.608,78.216,78.535,78.402,78.585,78.384,78.161,78.609,78.473,78.332,79.7,79.442,79.703,80.249,80.64,80.273,80.325,81.274,82.44,83.555,83.351,83.87,82.531,82.129,83.235,84.192,85.733,84.965,83.829,84.221,85.31,87.522,87.339,86.897,86.41,86.972,87.448,87.712,87.507,86.955,86.186,86.224,87.256,87.465,88.094,89.34,89.16,87.049,87.231,88.014,87.204,88.044,88.735,90.391,91.023,90.855,89.892,91.74,92.042,93.76,94.887,95.571,94.375,94.25,94.268,94.195,95.172,96.645,96.583,98.393,99.241,98.378,99.561,99.416,99.932,100.939,101.044,101.107,102.244,102.123,102.421,101.609,100.797,99.671,99.342,100.096,98.786,99.559,98.792,98.964,99.114,100.818,101.222,102.997,103.093,103.571,106.439,105.74,105.035,102.267,102.98,102.942,103.503,103.594,104.474,106.002,107.082,110.785,109.902,108.905,107.494,109.62,110.68,111.542,112.316,111.703,113.515,112.794,112.349,111.984,112.36,112.204,111.453,111.89,111.782,112.611,113.08,113.546,114.82,114.358,115.578,114.07,115.398,114.234,114.971,115.145,115.113,116.266,115.273,115.849,115.99,115.408,116.138,116.658,117.027,119.218,118.826,119.547,119.88,120.272,120.078,121.097,121.267,120.459
