"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"81","74","        Air transportation (64)","DAITRG3",34.337,23.826,23.748,20.97,20.918,17.767,18.718,18.734,18.751,16.531,17.805,16.747,16.93,18.529,19.347,20.406,19.047,17.863,19.424,22.219,22.593,22.219,22.43,22.697,22.672,22.335,22.023,22.005,22.008,23.525,24.493,26.209,27.917,29.356,27.238,27.115,27.235,27.3,27.335,27.917,30.046,32.348,34.755,35.591,37.06,40.121,43.693,47.385,50.218,52.2,56.014,75.778,89.413,87.36,88.693,92.489,90.802,81.016,85.364,92.04,97.771,100.91,98.856,100.133,106.512,101.125,102.578,97.795,103.714,105.227,105.359,110.346,101.631,91.409,93.59,93.606,100,107.334,108.489,119.566
"82","75","        Water transportation (65)","DWATRG3",25.064,24.509,24.639,24.496,24.32,24.829,24.45,24.892,24.892,23.709,24.099,23.896,24.731,25.276,25.997,27.037,27.02,27.028,26.979,28.513,27.508,27.22,27.22,27.22,26.621,26.825,26.621,26.835,26.835,26.835,27.786,28.894,29.525,29.94,30.698,31.043,32.009,33.26,34.287,35.861,38.274,41.373,43.574,45.519,47.518,51.444,56.24,60.579,65.029,69.949,73.495,78.644,82.807,86.253,89.251,91.99,95.343,100.206,102.748,104.245,108.251,113.109,117.718,121.444,124.831,127.591,131.494,134.908,138.513,145.453,140.867,125.979,114.001,109.477,100.4,98.818,100,99.627,99.109,97.477
"83","76","    Recreation services","DRCARG3",7.711,7.567,7.228,6.882,6.49,6.538,6.632,6.76,7.007,7.137,7.073,7.136,7.394,7.786,8.361,9.39,9.857,10.495,11.306,11.718,11.927,12.024,12.423,12.876,13.465,14.05,14.519,14.952,15.505,16.09,16.475,17.087,17.56,17.978,18.367,18.881,19.266,19.773,20.465,21.56,22.476,23.514,24.548,25.177,26.071,27.879,29.934,31.416,32.919,34.887,37.191,40.004,42.553,44.873,46.821,48.845,50.953,52.922,54.974,57.083,59.921,63.192,66.478,68.541,70.736,72.246,73.839,76.299,78.766,80.716,83.311,86.536,89.372,91.943,94.761,97.27,100,103.37,106.213,109.517
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRG3",6.259,6.179,5.914,5.635,5.277,5.298,5.367,5.488,5.684,5.788,5.743,5.813,6.017,6.315,6.823,7.768,8.189,8.62,9.149,9.352,9.514,9.592,9.889,10.117,10.543,11.045,11.489,11.804,12.247,12.712,13.032,13.725,14.278,14.756,15.227,15.863,16.377,17.019,17.777,18.862,19.957,21.344,22.435,23.164,24.069,25.867,27.91,29.579,31.277,33.386,35.536,37.944,40.094,42.344,44.474,46.53,48.677,51.016,53.184,55.144,58.136,61.202,64.296,66.019,67.81,70.105,71.747,74.283,76.634,78.54,82.167,86.016,89.303,91.738,95.119,97.41,100,103.61,106.916,109.797
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRG3",12.723,11.761,10.855,10.078,9.751,10.007,10.274,10.383,10.809,10.921,10.787,10.831,11.024,11.785,12.428,13.099,13.438,14.075,15.761,16.307,16.668,17.284,18.433,19.535,20.669,21.663,22.307,23.171,23.995,24.97,25.524,25.883,26.142,26.374,26.5,26.632,26.496,26.343,26.819,27.893,28.042,27.985,28.644,28.851,29.273,30.333,31.957,32.794,33.466,34.871,36.769,39.393,41.694,43.728,45.236,47.097,49.273,51.195,53.253,55.536,58.309,61.936,66.036,68.798,71.945,72.19,73.454,76.371,80.064,82.835,84.677,87.073,89.335,93.041,95.619,98.058,100,103.166,104.739,107.172
"86","79","      Gambling (91)","DGAMRG3",5.358,5.33,5.046,4.807,4.896,5.059,5.154,5.057,5.36,5.723,5.528,5.37,5.959,6.436,6.673,7.195,7.54,9.333,10.95,12.744,13.035,12.507,12.253,13.383,14.086,14.345,14.435,14.797,15.456,16.015,16.456,16.699,16.879,17.078,17.292,17.521,17.794,18.332,18.838,19.642,20.706,21.921,22.853,23.602,25.088,27.834,30.379,32.155,34.231,36.572,39.998,44.345,48.468,51.304,53.414,55.597,57.475,58.531,60.473,62.709,65.378,68.669,71.186,73.052,74.943,76.554,78.423,80.542,82.258,83.479,85.331,88.179,90.659,92.118,94.223,96.739,100,103.225,106.186,110.214
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRG3",9.733,9.587,9.555,9.436,9.277,9.413,9.47,9.603,9.811,9.752,9.805,9.829,9.95,10.4,10.769,11.416,11.685,12.238,13.14,13.857,13.798,13.834,14.466,14.859,15.167,15.318,15.432,15.855,16.121,16.453,16.567,16.877,17.029,17.299,17.512,17.975,18.514,19.249,19.98,21.306,22.395,23.28,24.972,25.769,26.694,28.799,31.055,32.629,34.379,36.273,38.463,41.251,43.831,46.228,48.055,49.937,51.849,53.751,55.244,57.028,59.52,62.23,64.898,66.455,67.914,69.633,71.291,72.944,74.418,76.166,78.711,82.817,86.488,89.421,92.827,96.248,100,103.532,107.842,112.821
"88","81","    Food services and accommodations","DFSARG3",7.205,6.762,5.834,4.925,4.763,5.126,5.512,5.521,5.717,5.449,5.339,5.401,5.889,6.883,7.722,8.053,8.322,9.257,10.333,10.803,10.513,10.698,11.502,11.76,11.658,11.789,11.762,11.896,12.288,12.6,13.05,13.403,13.672,14.012,14.315,14.537,14.823,15.396,16.25,17.098,18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.348,111.599
"89","82","      Food services","DFSERG3",7.362,6.886,5.897,4.948,4.813,5.231,5.652,5.655,5.852,5.554,5.431,5.502,6.023,7.073,7.959,8.309,8.592,9.585,10.725,11.207,10.871,11.055,11.89,12.145,12.011,12.135,12.09,12.215,12.615,12.933,13.404,13.775,14.058,14.422,14.751,14.984,15.281,15.895,16.789,17.665,18.715,20.096,21.183,21.989,23.543,26.361,28.773,30.651,32.848,35.618,39.378,43.067,46.83,49.288,51.38,53.541,55.683,57.959,60.163,62.637,65.464,68.469,71.112,72.553,73.873,75.07,76.719,78.605,80.785,82.778,84.833,86.973,89.647,92.103,94.138,96.989,100,103.188,106.985,111.681
"90","83","        Purchased meals and beverages (102)","DPMBRG3",7.276,6.795,5.831,4.893,4.761,5.168,5.581,5.578,5.772,5.485,5.364,5.435,5.877,6.8,7.631,7.957,8.197,9.441,10.587,11.021,10.682,10.805,11.505,11.765,11.719,11.948,12.017,12.217,12.631,12.93,13.408,13.78,14.062,14.425,14.754,14.987,15.281,15.888,16.788,17.665,18.712,20.092,21.182,21.986,23.531,26.339,28.746,30.62,32.81,35.573,39.32,42.997,46.752,49.207,51.298,53.458,55.602,57.882,60.083,62.558,65.382,68.384,71.036,72.48,73.802,74.999,76.647,78.534,80.714,82.716,84.776,86.945,89.664,92.125,94.122,96.978,100,103.182,106.989,111.697
"91","84","        Food furnished to employees (including military) (103)","DFOORG3",7.682,7.309,6.102,5.115,4.955,5.471,5.954,6.04,6.245,5.824,5.697,5.761,7.284,9.562,10.914,11.443,11.983,11.372,12.472,13.556,13.269,14.274,16.793,17.017,15.877,14.751,13.299,12.473,12.675,13.263,13.647,14.01,14.313,14.692,15.037,15.29,15.634,16.363,17.194,18.084,19.197,20.623,21.683,22.553,24.331,27.44,29.993,32.022,34.407,37.373,41.487,45.538,49.54,52.108,54.289,56.5,58.638,60.834,63.153,65.622,68.56,71.678,73.988,75.351,76.608,77.783,79.455,81.316,83.515,85.174,87.025,88.07,88.972,91.248,94.78,97.397,100,103.407,106.867,111.11
"92","85","      Accommodations (104)","DACCRG3",7.073,6.934,6.563,5.992,5.381,5.071,5.066,5.165,5.412,5.556,5.607,5.537,5.621,5.933,6.181,6.274,6.353,6.497,6.839,7.246,7.56,7.808,8.323,8.685,9.077,9.36,9.61,9.907,10.282,10.561,10.811,10.999,11.14,11.234,11.266,11.395,11.6,11.803,12.336,12.973,13.826,14.868,15.512,15.883,16.552,17.695,18.996,20.45,22.104,24.84,28.189,31.915,35.429,39.202,41.187,44.272,47.372,49.359,52.495,55.575,58.164,60.762,63.872,65.728,67.775,69.704,72.231,75.459,78.699,81.939,84.611,88.494,89.698,89.899,91.304,96.227,100,104.402,109.71,111.124
"93","86","    Financial services and insurance","DIFSRG3",5.774,5.64,5.129,4.565,4.354,4.509,4.704,4.916,5.131,5.009,4.972,5.113,5.248,5.605,5.86,6.103,6.335,7.005,7.303,7.685,7.824,7.976,8.074,8.566,9.539,9.882,10.176,10.499,10.85,11.019,11.65,12.159,12.57,13.088,13.103,13.651,13.998,14.842,15.183,16.307,17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.726,109.986
"94","87","      Financial services","DFNLRG3",6.075,5.917,5.339,4.756,4.498,4.469,4.905,5.172,5.393,5.268,5.207,5.453,5.59,5.868,6.17,6.561,6.711,7.665,8.291,8.696,9.078,9.476,9.835,10.134,11.712,12.163,13.141,14.311,14.636,14.351,15.36,16.239,16.724,17.743,17.652,18.62,18.742,20.176,20.504,21.795,24.756,25.863,26.534,27.828,28.466,32.509,35.815,35.85,36.968,43.013,46.394,51.058,54.301,55.182,59.793,61.272,63.673,69.51,72.838,75.442,73.96,75.462,79.343,85.971,82.894,82.284,84.372,85.593,90.853,92.373,91.882,91.366,89.636,91.773,94.386,97.264,100,102.169,106.185,109.941
"95","88","        Financial services furnished without payment (107)","DIMPRG3",4.878,4.525,3.742,3.002,2.735,2.695,3.106,3.368,3.556,3.33,3.276,3.493,3.62,3.868,4.189,4.603,4.806,5.776,6.246,6.517,6.841,7.408,7.804,8.095,9.928,10.346,11.533,12.738,12.918,12.351,13.446,14.104,14.495,14.875,13.713,15.002,15.656,16.968,17.803,17.869,21.319,22.728,22.367,23.25,24.431,29.007,31.606,31.061,32.093,37.477,40.592,43.659,45.252,44.326,49.014,50.64,52.511,58.021,62.381,64.979,61.876,63.042,67.304,74.953,70.015,71.108,72.585,73.768,79.918,84.396,86.812,90.103,89.307,92.625,95.81,97.657,100,101.128,105.44,110.188
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRG3",9.224,9.488,9.628,9.959,9.823,9.846,10.163,10.346,10.613,11.012,10.964,11.141,11.187,11.317,11.251,11.326,11.231,11.853,12.826,13.594,14.041,13.725,13.895,14.141,14.396,14.838,15.077,15.945,16.608,17.096,17.779,19.05,19.688,22.011,24.643,24.595,23.433,24.982,24.293,27.87,29.344,29.375,33.247,35.574,33.955,34.147,39.246,42.068,43.07,49.437,52.499,62.168,70.813,78.405,80.961,81.258,84.898,90.088,88.975,91.002,94.835,97.031,99.098,101.993,103.98,99.31,102.596,103.794,106.836,102.99,98.199,92.95,90.117,90.861,92.841,96.838,100,103.233,106.958,109.682
"97","90","      Insurance","DINSRG3",4.39,4.304,3.942,3.506,3.365,3.585,3.623,3.765,3.932,3.836,3.818,3.885,3.991,4.304,4.484,4.61,4.831,5.217,5.291,5.58,5.586,5.603,5.577,6.025,6.553,6.777,6.732,6.659,6.937,7.233,7.573,7.822,8.111,8.313,8.364,8.627,8.984,9.403,9.678,10.495,10.988,11.624,12.724,13.664,13.996,14.289,14.901,16.252,18.395,20.185,20.734,21.786,23.74,26.269,29.283,32.805,34.367,34.428,34.089,37.671,42.208,46.016,47.612,50.702,54.594,57.275,60.704,65.521,69.178,71.652,74.352,77.034,78.479,81.14,87.147,95.327,100,102.509,107.592,110.02
"98","91","        Life insurance (110)","DLIFRG3",4.196,4.07,3.776,3.315,3.105,3.273,3.315,3.441,3.608,3.483,3.44,3.524,3.65,3.944,4.196,4.447,4.574,4.909,5.119,5.497,5.748,6.042,6.462,6.672,7.007,7.175,7.343,7.678,7.972,8.266,8.661,9.029,9.296,9.611,9.834,10.205,10.465,10.84,11.218,11.867,12.456,13.204,13.786,14.506,15.299,16.418,17.604,18.986,20.732,22.481,24.132,26.128,27.815,29.499,31.731,33.725,36.872,40.065,42.964,45.543,47.556,50.321,52.295,55.275,57.319,59.014,61.218,65.065,68.57,72.38,75.946,81.485,81.779,88.044,91.641,96.098,100,102.862,106.059,106.724
"99","92","        Net household insurance (111)","DFINRG3",1.844,1.769,1.675,1.653,1.692,1.753,1.802,1.776,1.849,1.799,1.783,1.818,1.937,2.056,2.213,2.361,2.421,2.522,2.81,2.993,3.083,3.157,3.362,3.568,3.672,3.811,3.886,3.975,4.063,4.183,4.374,4.338,4.396,4.479,4.764,5.246,6.056,6.795,7.571,8.099,8.559,9.041,10.008,10.409,10.388,9.373,9.525,11.256,12.61,12.888,13.762,15.421,16.942,18.841,20.601,21.516,22.815,25.143,26.554,28.276,29.785,30.449,31.485,32.587,35.068,37.767,42.253,45.79,50.697,51.432,54.602,58.583,64.258,71.583,89.131,95.115,100,101.266,106.316,112.828
"100","93","        Net health insurance (112)","DHINRG3",4.836,4.89,3.863,3.315,3.667,4.452,4.623,5.074,5.422,5.501,5.543,5.538,5.515,6.091,6.375,6.207,6.906,7.406,7.047,6.841,5.795,5.389,4.44,4.971,5.75,6.272,5.945,5.366,5.645,5.713,5.969,6.115,6.591,6.801,6.581,6.722,7.072,7.456,7.535,9.03,9.274,9.508,11.015,12.626,12.673,12.476,12.524,13.04,16.206,18.734,17.441,17.377,20.189,24.697,29.186,35.003,34.729,30.12,25.808,30.425,37.885,43.802,44.498,46.744,51.393,54.457,59.24,65.478,70.858,72.163,73.522,75.845,77.987,78.492,85.262,96.196,100,103.684,108.407,111.342
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRG3",4.253,4.327,4.387,4.417,4.398,4.446,4.282,4.218,4.16,4.12,4.213,4.238,4.349,4.469,4.094,4.02,4.014,4.567,4.645,5.384,6.163,5.979,6.157,7.012,7.68,7.675,7.579,7.379,7.676,8.316,8.714,8.95,9.092,9.12,9.2,9.415,9.909,10.442,10.764,11.015,11.724,12.794,14.171,14.56,14.671,14.659,15.347,17.935,19.138,20.021,21.831,23.159,24.078,24.733,26.819,29.48,31.632,34.669,36.693,39.857,43.088,45.013,47.77,53.1,59.23,63.002,65.743,69.625,70.291,73.215,77.263,76.615,77.713,80.107,85.969,92.212,100,99.198,107.789,110.851
"102","95","    Other services","DOTSRG3",6.628,6.394,5.928,5.452,5.206,5.283,5.343,5.427,5.7,5.66,5.726,5.773,6.039,6.576,7.341,8.109,8.62,9.019,9.637,10.119,10.344,10.595,11.138,11.547,11.974,12.174,12.364,12.792,13.222,13.574,13.964,14.353,14.517,14.754,15.074,15.41,15.805,16.262,16.782,17.524,18.373,19.258,20.395,21.439,22.699,25.154,26.957,28.642,30.113,31.693,33.994,37.082,40.878,44.06,46.547,48.916,50.698,53.357,54.646,56.933,59.081,61.488,64.426,67.158,69.489,72.092,74.479,76.639,78.786,80.394,82.357,83.942,86.539,89.912,93.234,96.358,100,103.422,106.374,110.819
"103","96","      Communication","DCOMRG3",28.643,28.638,28.487,28.454,28.437,28.274,28.267,28.063,27.951,27.8,27.713,27.851,28.251,29.855,31.035,32.143,32.727,32.958,34.016,35.848,37.297,39.821,40.915,42.592,44.037,43.682,43.401,44.001,44.871,46.202,47.419,48.281,48.484,48.539,49.47,49.749,49.195,48.309,49.037,49.879,50.648,51.21,54.49,57.596,58.985,62.248,64.244,68.021,68.828,70.13,70.344,71.42,78.846,87.032,91.891,97.828,101.327,104.403,102.209,102.214,102.456,102.221,104.362,104.559,105.016,106.92,107.359,107.627,108.227,107.393,105.313,102.328,101.386,102.24,102.273,100.759,100,100.058,97.734,99.408
"104","97","        Telecommunication services (71)","DTCSRG3",36.84,37.104,37.242,37.311,37.131,36.606,36.39,36.189,35.701,35.7,35.652,35.719,35.901,37.878,39.098,40.241,40.911,40.909,41.541,43.667,45.54,49.008,50.032,51.893,53.711,52.871,52.288,52.945,53.968,55.573,56.872,57.77,57.967,57.962,57.979,58.058,57.236,55.976,56.716,56.719,57.467,58.137,60.991,64.425,66.073,68.864,71.089,73.617,74.454,75.291,75.034,76.301,83.573,92.074,97.879,105.009,108.095,111.573,108.883,107.589,107.414,107.083,107.948,108.016,108.541,110.801,110.361,110.555,111.084,109.735,107.213,103.892,102.171,102.715,102.258,100.703,100,100.634,102.431,104.14
"105","98","        Postal and delivery services (68)","DPSSRG3",4.694,4.505,4.254,4.176,4.275,4.45,4.583,4.509,4.717,4.567,4.513,4.608,4.901,5.223,5.633,6.018,6.17,6.426,7.162,7.64,7.854,8.035,8.553,9.085,9.337,9.677,9.874,10.085,10.311,10.612,11.092,11.472,11.58,11.687,13.412,13.847,13.956,14.068,14.448,16.385,16.875,16.997,19.868,21.094,21.389,24.725,25.471,32.14,32.651,35.338,37.295,37.412,43.86,49.109,49.232,49.37,53.651,54.521,54.695,59.882,61.896,62.171,70.498,71.599,71.91,72.201,78.81,79.089,79.33,79.858,82.505,83.269,87.017,91.728,96.587,98.649,100,105.902,109.44,115.871
"106","99","        Internet access (72)","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.155,160.259,151.609,144.439,133.543,123.17,112.228,98.457,93.707,96.432,100.196,107.213,103.926,100.656,102.532,103.407,104.282,101.717,100,95.632,76.535,77.244
"107","100","      Education services","DTEDRG3",2.744,2.752,2.631,2.564,2.325,2.368,2.351,2.37,2.425,2.439,2.445,2.441,2.555,2.695,2.947,3.152,3.266,3.503,3.814,4.088,4.157,4.249,4.493,4.542,4.616,4.711,4.817,5.056,5.238,5.374,5.57,5.697,5.812,5.959,6.103,6.253,6.467,6.757,7.037,7.359,7.809,8.349,8.794,9.248,9.95,11.256,12.244,13.137,13.992,14.729,16.019,17.802,19.889,22.132,24.026,26.101,28.072,30.008,32.126,34.52,36.977,39.538,42.828,46.459,49.908,52.924,55.889,58.85,61.689,64.499,67.718,71.031,74.83,79.654,85.83,93.155,100,106.339,112.362,118.874
"108","101","        Higher education (97)","DHEDRG3",2.57,2.569,2.469,2.345,2.171,2.22,2.196,2.221,2.27,2.295,2.295,2.27,2.345,2.47,2.67,2.844,2.994,3.194,3.393,3.567,3.617,3.692,3.868,3.892,3.916,4.016,4.116,4.267,4.367,4.416,4.639,4.759,4.878,5.063,5.248,5.445,5.682,5.968,6.272,6.652,7.1,7.598,8.073,8.52,8.987,9.762,10.486,11.209,11.947,12.605,13.613,14.909,16.756,19.013,20.992,23.141,25.248,27.287,29.345,31.576,34.075,36.827,40.566,44.929,49.144,52.586,55.745,58.913,61.907,64.524,67.076,69.852,73.406,78.415,84.983,93.034,100,106.7,113.382,120.457
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRG3",2.107,2.055,1.951,2.08,1.769,1.795,1.795,1.795,1.847,1.847,1.847,1.873,2.003,2.106,2.287,2.493,2.621,2.825,3.157,3.512,3.587,3.714,3.991,4.091,4.242,4.342,4.467,4.667,4.866,5.041,5.157,5.29,5.419,5.486,5.549,5.581,5.711,5.932,6.093,6.254,6.642,7.217,7.572,7.959,9.054,10.911,12.151,13.216,14.003,14.466,15.755,17.663,19.672,21.855,23.673,25.697,27.665,29.726,32.131,34.853,37.546,40.447,43.576,46.731,49.841,52.732,55.994,58.753,61.771,65.726,69.68,74.241,78.781,83.882,89.009,94.327,100,105.722,111.224,117.27
"110","103","        Commercial and vocational schools (99)","DVEDRG3",5.641,5.798,5.528,5.155,4.778,4.843,4.812,4.858,4.949,4.955,5.018,5.013,5.256,5.574,6.247,6.603,6.51,7.02,7.84,8.41,8.568,8.642,9.151,9.18,9.285,9.343,9.423,10.226,10.782,11.281,11.552,11.67,11.667,11.827,11.982,12.247,12.559,13.042,13.501,13.92,14.497,15.069,15.487,16.072,16.895,19.885,21.649,22.977,24.613,26.478,29.321,33.58,36.994,38.562,39.461,40.659,41.448,42.278,43.924,46.393,48.25,49.444,51.067,52.33,53.17,54.705,56.544,59.044,61.146,63.362,68.017,71.854,75.752,79.679,85.54,92.346,100,105.685,109.914,114.943
"111","104","      Professional and other services (121)","DPRSRG3",3.388,3.28,3.017,2.75,2.584,2.614,2.689,2.77,2.889,2.859,2.88,2.914,3.091,3.273,3.464,3.823,4.105,4.2,4.646,4.896,5.062,5.209,5.542,5.852,6.107,6.33,6.588,6.924,7.266,7.53,7.723,7.919,8.075,8.217,8.391,8.692,9.01,9.242,9.62,10.001,10.658,11.497,12.251,13.107,14.073,15.344,16.462,17.473,18.594,19.874,21.63,24.545,27.655,30.891,34.557,37.371,39.554,41.96,44.87,46.748,49.239,52.417,55.291,57.904,60.206,62.474,64.835,67.423,70.246,73.517,76.951,80.656,84.57,88.665,92.393,95.981,100,104.655,108.91,113.343
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRG3",6.554,6.505,6.354,5.994,5.725,5.752,5.712,5.67,5.96,6.074,6.061,6.058,6.26,6.855,7.477,8.084,8.304,8.785,9.525,10,10.202,10.368,11.099,11.37,11.697,11.824,12.1,12.595,13.121,13.43,13.768,14.314,14.429,14.64,14.99,15.34,15.784,16.57,17.394,18.226,19.19,20.149,20.794,21.174,22.228,24.478,26.487,28.232,30.085,32.719,36.219,40.302,44.216,47.123,49.222,51.636,53.929,55.927,57.978,60.437,63.372,65.893,68.325,70.128,72.146,73.932,75.585,77.232,79.618,80.896,83.029,85.784,89.289,91.376,93.59,96.313,100,103.609,107.328,112.683
"113","106","      Social services and religious activities (120)","DSOCRG3",6.833,6.554,6.038,5.654,5.532,5.819,5.913,6.071,6.393,6.272,6.272,6.281,6.487,6.989,7.394,7.666,7.903,8.658,9.993,10.702,10.763,11.153,12.002,12.075,12.318,12.579,12.849,13.338,13.816,14.096,14.47,14.685,14.813,14.964,15.214,15.402,15.749,16.151,16.56,17.25,18.312,18.999,19.974,20.913,22.085,25.191,27.449,29.042,30.919,32.988,36.218,40.907,44.765,46.753,47.968,49.56,50.678,52.076,53.967,57.013,59.742,62.308,64.989,67.146,69.065,71.002,73.276,75.418,77.463,79.901,82.311,86.034,88.456,91.163,93.751,96.179,100,103.329,106.648,109.857
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRG3",4.557,4.236,3.717,3.22,3.017,3.097,3.174,3.297,3.618,3.433,3.513,3.609,3.875,4.475,5.666,6.844,7.714,8.24,8.639,8.907,8.956,9.013,9.5,10.136,10.582,10.779,10.846,11.101,11.481,11.828,12.309,12.943,13.114,13.429,13.667,14.065,14.649,15.378,15.953,17.301,18.51,19.926,21.083,22.065,23.419,25.701,27.78,30.719,32.928,35.385,38.742,42.013,45.713,48.64,50.124,51.883,53.819,55.272,56.472,58.314,59.81,61.384,64.71,67.018,68.987,70.285,72.607,74.756,76.67,78.799,81.201,84.71,88.391,91.334,93.754,96.101,100,103.593,106.183,109.58
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRG3",13.826,12.793,10.669,8.812,9.032,9.469,9.899,10.286,10.582,10.8,11.586,11.582,11.369,11.271,11.439,12.116,15.072,15.804,15.435,16.497,16.934,16.776,16.398,16.174,17.319,17.954,17.809,18.275,18.333,18.471,19.13,18.747,18.892,19.414,19.893,20.295,21.11,21.887,21.729,22.685,23.192,23.536,25.749,27.344,29.917,36.212,39.825,40.612,43.067,44.893,49.986,56.259,59.667,57.246,55.277,53.196,51.593,56.778,55.578,58.979,59.604,63.247,67.255,70.418,70.809,72.936,75.103,77.055,77.982,76.183,78.319,78.897,79.81,82.524,87.678,93.655,100,104.246,111.007,120.02
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRG3",7.17,7.162,6.589,6.091,5.716,6.261,6.756,7.088,7.203,6.651,6.409,6.76,6.779,7.381,6.782,6.945,7.452,8.937,10.302,11.042,11.025,11.169,12.018,12.329,12.492,12.552,12.588,12.788,13.239,13.634,14.574,14.751,14.934,15.089,15.256,15.495,15.725,16.185,16.656,17.344,18.265,19.372,20.113,20.8,21.977,23.882,25.724,27.632,29.528,32.095,35.188,39.492,43.651,47.17,49.553,52.347,54.859,56.683,59.461,61.808,63.894,67.447,71.755,73.594,74.634,75.35,76.524,78.535,80.464,81.513,83.69,87.67,88.457,88.579,91.275,95.306,100,104.743,108.903,114.22
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",22.11,21.266,19.443,18.068,17.389,18.346,18.484,18.984,19.977,19.449,19.481,19.456,20.397,22.132,23.742,24.826,25.684,28.332,32.957,35.502,35.806,37.233,40.352,40.438,41.166,42.206,43.294,45.3,47.346,48.578,49.452,46.284,46.749,47.411,48.173,48.393,49.743,51.569,53.242,55.28,58.721,61.268,64.628,67.272,71.595,81.93,89.516,94.258,100.718,107.37,117.927,129.131,135.99,129.701,120.696,115.921,113.63,110.239,108.437,107.544,101.09,93.192,86.681,79.268,75.32,75.252,75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.525,104.531
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.811,11.082,11.288,11.501,11.778,12.063,12.413,12.845,13.433,14.14,15.062,16.044,16.815,17.608,18.735,20.988,23.099,24.893,26.751,28.785,31.674,35.46,39.333,42.394,44.678,46.836,48.715,50.416,52.626,55.727,58.789,61.571,64.43,66.767,68.823,70.801,72.809,74.808,76.723,79.019,81.179,84.377,87.611,90.203,93.108,96.179,100,103.617,106.807,109.691
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.494,6.995,7.157,7.309,7.514,7.768,7.998,8.268,8.697,9.211,9.823,10.552,11.03,11.577,12.317,13.686,15.104,16.411,17.671,19.074,21.002,23.686,26.724,29.952,32.815,35.354,37.465,39.567,42.072,45.462,49.701,54.117,58.676,63.096,66.607,69.112,71.652,73.828,75.372,76.845,78.744,81.427,84.316,87.498,91.913,96.172,100,104.129,107.947,111.53
