"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"83","73","  Personal current transfer receipts","A577RC1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718,1875.9
"84","74","    Imputations (-136)","A2111C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.3,-0.3,-0.3,-0.3,-0.5,-0.4,-0.5,-0.3,-0.6,-1.4,-4,-2.1,-7.9,-3.6
"85","75","    Excluding imputations (73-74)","A2112C1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.3,209.7,235.4,279.6,318.6,355.1,384,400.4,425.2,451.1,467.8,496.6,542.8,595.1,666.1,746.1,791.1,826.9,879.2,924.3,949.5,978.3,1022,1083.4,1188.6,1282.4,1342.3,1416.9,1512.6,1607.1,1726,1879.5
"86","76","  Less: Contributions for government social insurance, domestic","A061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.3,990.6
"87","77","    Imputations (175)","A1676C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,0.8,0.4,0.4,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.4,0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.2,4.5,4.6,5,5,5.3
"88","78","    Excluding imputations (76-77)","W531RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.2,5.1,4.8,4.2,4.5,5.4,6.6,6.9,7,7.9,8.9,9.9,11.3,11.2,13.6,16.3,16.8,18.9,21.5,22.2,23.2,31.2,34.6,38.3,43.7,45.8,50.3,58.3,74.7,84.3,88,99.8,111.7,130.1,151.4,164.7,194.1,207.4,224.2,255.7,279.5,301.4,320.9,359,382.6,407.1,426.8,450.8,473.3,504.7,529.7,552.1,584.4,621.8,658.3,702.7,729.7,747.6,774.7,822.8,868.1,916.8,954.3,985.3
"89","79","Personal current taxes","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1490.9,1432.4
"90","80","  Imputations (-135-142)","A2115C1",-1.2,-1.2,-1.2,-1.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.1,-1.1,-1.2,-1.3,-1.3,-1.4,-1.5,-1.8,-1.9,-2.1,-2.4,-2.6,-2.9,-3.3,-3.8,-4.3,-4.8,-5.1,-5.6,-6.2,-6.7,-7.4,-8.1,-8.8,-9.5,-10.6,-12,-13.4,-15.2,-16.7,-18.1,-19.5,-20.8,-22.9,-25.3,-27.9,-28.5,-29.3,-31.9,-35.4,-38.6,-41.3,-44.5,-47.3,-50.2,-54.8,-58.4,-63.2,-67.2,-72,-74.5,-74.5,-78.1,-78.2,-80.8,-83.7,-85.5,-88.6,-91.5,-96.6,-104.3,-110.6,-117.8,-125.4,-133.1,-141.8,-146.5
"91","81","  Excluding imputations (79-80)","A2116C1",2.9,2.8,2.2,1.8,1.8,1.9,2.1,2.3,2.9,2.9,2.5,2.7,3.4,6,17.9,18.9,20.7,18.5,21.2,20.7,18.5,20.8,29.2,34.4,35.9,33.1,36.2,40.4,43.2,43.3,47.4,51.7,53.4,58.3,62,60.2,66.5,75.9,83.6,99,117.9,118.3,118.5,141.7,151.9,171.9,170.5,197.6,225.4,257.9,298,330.8,380.5,392.7,393.6,421.9,464.6,487.4,543.9,563.4,629.3,659.9,658.7,685.1,721.1,768.6,822.1,912.8,1009.9,1111.9,1196.1,1323.7,1331.5,1154.7,1111,1165.7,1333.9,1485.5,1632.7,1578.9
"92","82","Disposable personal income","A067RC1",83.2,74.6,64.2,49.1,46,52.8,59.3,67.3,72.2,66.5,71.4,76.8,93.7,118.5,135.4,148.3,152.2,161.4,171.1,190.5,190.2,209.9,230.8,243.2,258.4,264.1,283.1,302.9,319.7,330.4,350.1,365.2,381.6,404.9,425,462.3,497.8,537.4,575.1,624.7,673.8,735.5,801.4,869,978.1,1071.7,1187.3,1302.3,1435,1607.3,1790.9,2002.7,2237.1,2412.7,2599.8,2891.5,3079.3,3258.8,3435.3,3726.3,3991.4,4254,4444.9,4736.7,4921.6,5184.3,5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7,8377.8,8889.4,9277.3,9915.7,10403.1,10806.4
"93","83","  Imputations (59-80)","A2117C1",6.5,6,5.2,4.3,3.7,3.6,3.9,4,4.3,4.3,4.3,4.4,5,6.2,7.7,8.8,9.6,8.7,8.5,9.7,10.2,11.3,13.2,14.7,16.5,17.8,19,20.2,21.6,23.1,25.1,27.2,29.2,31.2,32.7,34.9,37.1,39.8,42.8,46.1,51.4,57.3,62.5,67.5,71.8,79.8,93.6,100.9,109.8,123.2,131.6,144.3,159.3,178.4,214,222.7,246.3,260.2,280.6,307.1,327.6,362.5,403.8,460.9,503.9,544.5,545.1,574.7,596.6,645.5,709.2,764,814.9,845.7,871.7,922.3,945.9,931.4,969.3,1062.1
"94","84","  Excluding imputations (82-83)","A2118C1",76.7,68.6,59,44.8,42.2,49.2,55.3,63.3,67.8,62.2,67.1,72.4,88.7,112.3,127.7,139.5,142.6,152.8,162.6,180.8,180.1,198.6,217.7,228.5,241.9,246.3,264.2,282.6,298,307.3,325,338,352.4,373.7,392.2,427.4,460.7,497.6,532.3,578.6,622.4,678.2,738.9,801.5,906.4,991.9,1093.6,1201.5,1325.2,1484.2,1659.2,1858.3,2077.8,2234.3,2385.9,2668.8,2833.1,2998.6,3154.7,3419.2,3663.8,3891.5,4041.1,4275.8,4417.7,4639.8,4911.9,5185,5478,5853.4,6094.2,6563.1,6833.5,7164,7506,7967.2,8331.4,8984.2,9433.9,9744.3
"95","85","Personal outlays","A068RC1",79.6,71.6,61.8,49.7,46.8,52.3,56.7,63.1,67.9,65.2,68.2,72.4,82.3,90,100.8,109.7,121.2,145.9,163.8,177.3,180.9,195,211.5,222.9,237.1,244.3,263.6,277.2,292.8,302.2,324,338.9,349.7,371.4,391.8,421.7,455.1,493.1,520.9,572.2,621.4,666.1,721,791.5,875.2,957.5,1061.3,1179.6,1309.7,1465,1633.4,1806.4,2000.4,2148.8,2372.9,2595.2,2825.7,3012.4,3211.9,3469.7,3726.4,3977.3,4131.7,4388.7,4636.2,4913.6,5170.8,5478.5,5794.2,6157.5,6595.5,7114.1,7443.5,7727.5,8088,8585.7,9149.6,9680.7,10224.3,10520
"96","86","  Imputations (5-138+198)","A2119C1",4.9,5.1,4.8,4.5,4,3.7,3.8,3.7,3.9,3.8,3.3,3.1,3.3,5.9,8,9.2,9.6,3.4,0.1,-1.7,-0.4,-4.6,-0.8,1,2.4,2,0,2.9,5.9,8.2,5.3,9,12,12.9,12.6,13.6,15.2,19.7,22.9,23.3,27.5,35.5,31.2,26.7,26.7,43,57.9,48.5,35.6,37.5,48.2,80.5,100.7,130,127.2,115.1,136.7,127.5,134.5,154.1,178.5,229.8,283.8,312.2,338.1,350.4,366.3,368,373.2,385.3,428.1,470.3,505.3,511,487.8,457.4,413.5,428.4,601.1,833.5
"97","87","  Excluding imputations (85-86)","A2120C1",74.7,66.5,57.1,45.2,42.7,48.5,52.9,59.4,64,61.4,64.9,69.3,79,84.1,92.8,100.5,111.6,142.5,163.7,179,181.3,199.6,212.3,221.8,234.8,242.3,263.6,274.4,286.9,294,318.7,329.9,337.7,358.5,379.2,408.1,439.9,473.4,498,548.9,593.9,630.6,689.7,764.9,848.5,914.5,1003.5,1131,1274.1,1427.4,1585.3,1725.8,1899.7,2018.8,2245.7,2480.1,2689,2884.8,3077.4,3315.6,3547.9,3747.5,3847.9,4076.5,4298.1,4563.2,4804.5,5110.4,5420.9,5772.2,6167.5,6643.7,6938.3,7216.5,7600.2,8128.3,8736.1,9252.4,9623.2,9686.5
"98","88","Personal saving","A071RC1",3.6,2.9,2.4,-0.5,-0.8,0.5,2.5,4.2,4.3,1.3,3.2,4.3,11.4,28.6,34.6,38.6,31,15.5,7.3,13.2,9.4,14.9,19.3,20.3,21.3,19.8,19.5,25.6,26.9,28.2,26.1,26.3,31.9,33.5,33.1,40.5,42.7,44.3,54.2,52.5,52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.8,303.7,127.7,235,178.9,286.4
"99","89","  Imputations (177+178+179-140-144)","A2121C1",1.6,0.8,0.4,-0.1,-0.3,-0.2,0.1,0.3,0.5,0.5,1,1.3,1.7,0.3,-0.3,-0.4,0,5.2,8.4,11.4,10.6,15.9,14,13.7,14.2,15.8,18.9,17.4,15.7,14.9,19.8,18.1,17.2,18.3,20.1,21.3,21.9,20.1,19.9,22.8,23.9,21.8,31.3,40.8,45.1,36.8,35.8,52.3,74.2,85.7,83.5,63.8,58.6,48.4,86.8,107.6,109.5,132.7,146.2,153,149.1,132.6,120,148.7,165.8,194.1,178.8,206.6,223.3,260.2,281.1,293.7,309.6,334.7,383.9,464.9,532.4,503.1,368.2,228.6
"100","90","  Excluding imputations (88-89)","A2122C1",2.1,2.1,2,-0.4,-0.5,0.7,2.4,3.9,3.8,0.8,2.2,3.1,9.7,28.3,34.9,39,31.1,10.3,-1.1,1.8,-1.3,-1,5.4,6.7,7.1,4,0.6,8.3,11.1,13.3,6.3,8.2,14.7,15.1,13,19.3,20.8,24.2,34.3,29.7,28.5,47.6,49.1,36.6,57.9,77.4,90.2,70.5,51.1,56.7,74,132.5,178.1,215.6,140.2,188.6,144.1,113.8,77.3,103.6,115.9,144.1,193.2,199.3,119.6,76.6,107.4,74.5,57.1,81.2,-73.3,-80.6,-104.7,-52.5,-94.2,-161.1,-404.7,-268.1,-189.3,57.8
"101",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","91","Government current receipts","W021RC1",10.5,10,8.7,8.2,8.6,9.7,10.5,11.9,14.3,13.9,14.2,16.6,23.8,31.2,47.6,49.4,51.4,50.4,55.4,56.8,53.6,66.1,81.9,86.4,90.8,85.9,96.7,104.2,109.8,108.2,123,134.4,139,150.6,162.2,166.6,180.3,202.8,217.7,252.1,283.5,286.9,303.6,347,390.4,431.8,442.1,505.9,567.3,646.1,728.9,798.7,917.7,939.3,1000.3,1113.5,1214.6,1290.1,1403.2,1502.4,1627.2,1709.3,1759.7,1845.1,1948.2,2091.9,2215.5,2380.4,2557.2,2729.8,2902.5,3132.4,3118.2,2967.9,3043.4,3265.7,3659.3,3995.2,4209.2,4057.6
"103","92","  Imputations (148+161+175)","W568RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.4,0.6,1.9,1,0.7,0.7,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1,1,1.3,1.4,1.8,2.5,3.1,3.3,3.1,3.4,4.6,4.6,4.7,3.8,3.2,2.8,2.5,3.9,5.1,4.6,6.7,7.5,6.4,6.1,6,6.8,8.4,9,8.4,7.6,7.1,7.5,7.9,8.1,9.3,9.5,9.1,10,9.7,10.2,10,10.4,11.9,13.7
"104","93","  Excluding imputations (91-92)","W514RC1",10.4,9.8,8.5,8,8.5,9.5,10.3,11.7,14.1,13.7,14,16.5,23.6,31,47.3,49,50.8,48.5,54.4,56,52.9,65.8,81.6,86.1,90.4,85.4,96.1,103.6,109.2,107.4,122.2,133.6,138.2,149.7,161.2,165.5,179.3,201.8,216.4,250.6,281.7,284.4,300.5,343.7,387.3,428.4,437.5,501.3,562.7,642.3,725.8,795.9,915.2,935.4,995.2,1108.9,1207.9,1282.6,1396.8,1496.4,1621.2,1702.4,1751.3,1836.1,1939.8,2084.3,2208.4,2373,2549.3,2721.7,2893.2,3123,3109.1,2957.9,3033.7,3255.5,3649.2,3984.7,4197.2,4043.8
"105","94","Government current expenditures","W022RC1",8,8.4,9.8,8.8,9.2,10.7,11.2,12.8,12,13.2,14.3,15,19.6,38.4,60.2,74.7,78.7,53.9,48.7,51.9,57.7,59.2,69.7,79.7,85.5,84.4,87.5,92.2,102.4,110.7,115.9,123,132.2,142.9,151.2,159.3,170.6,192.8,220,247,267,295.2,325.8,356.3,386.5,436.9,510.2,552.2,600.3,656.3,729.9,846.5,966.9,1076.8,1171.7,1261,1370.9,1464,1540.5,1623.6,1741,1879.5,1984,2149,2229.4,2304,2412.5,2505.7,2581.1,2649.3,2761.9,2906,3093.6,3274.7,3458.6,3653.5,3916.4,4147.9,4424,4740.3
"106","95","  Imputations (148+161+175+181-182)","A2047C1",-1.8,-2.2,-2.1,-1.3,-1,-1.6,-1.6,-2.9,-2.5,-2.8,-3,-2.9,-8.9,-25.1,-32.8,-27.6,-13.8,8.8,6.6,2.9,-0.8,-2.1,-9.3,-13,-13.8,-11.6,-9.4,-10.4,-11.1,-12.9,-15.1,-13.5,-16.1,-17.2,-16.5,-16.9,-17.2,-20.5,-22.1,-21.2,-18.9,-17,-13.2,-13,-15.9,-21.3,-23.6,-24.7,-23.2,-30.5,-38.5,-44.4,-44.3,-42.2,-47.7,-60.1,-72.3,-80.1,-85.9,-81.8,-86.6,-96,-91.8,-89.4,-80.5,-77.5,-84.2,-92.3,-96.3,-102.9,-119.6,-128,-140.4,-156.2,-163.3,-168.7,-173.3,-190,-207.3,-223.1
"107","96","  Excluding imputations (94-95)","A2114C1",9.8,10.6,11.8,10.1,10.1,12.2,12.9,15.7,14.5,16.1,17.3,17.9,28.5,63.5,93.1,102.4,92.4,45.1,42,49,58.5,61.3,78.9,92.8,99.3,96,96.9,102.7,113.5,123.6,131.1,136.5,148.3,160.1,167.7,176.2,187.7,213.3,242.1,268.2,286,312.2,339,369.3,402.4,458.2,533.9,576.9,623.5,686.8,768.3,890.9,1011.2,1119,1219.3,1321.1,1443.2,1544.1,1626.4,1705.4,1827.6,1975.5,2075.7,2238.4,2309.9,2381.5,2496.7,2597.9,2677.4,2752.2,2881.4,3034,3234,3430.9,3621.9,3822.3,4089.6,4337.9,4631.2,4963.4
"108","97","Net government saving","A922RC1",2.6,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.6,-25.3,-27.3,-3.5,6.7,4.9,-4.1,6.9,12.2,6.7,5.3,1.5,9.2,11.9,7.4,-2.6,7,11.4,6.8,7.7,11,7.3,9.8,10,-2.3,5.1,16.5,-8.4,-22.2,-9.3,3.9,-5.2,-68.2,-46.3,-33,-10.2,-1,-47.8,-49.2,-137.5,-171.4,-147.5,-156.3,-173.9,-137.4,-121.2,-113.8,-170.3,-224.2,-303.9,-281.2,-212.2,-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-214.8,-682.7
"109","98","  Imputations (182-181)","A2010C1",2,2.4,2.2,1.5,1.2,1.8,1.8,3.1,2.7,3,3.3,3.1,9,25.3,33.1,28.1,14.4,-6.9,-5.6,-2.1,1.5,2.4,9.6,13.4,14.2,12.1,10,11,11.7,13.6,15.9,14.4,16.9,18,17.5,18,18.2,21.5,23.4,22.6,20.8,19.4,16.3,16.3,19,24.7,28.2,29.3,27.9,34.3,41.6,47.2,46.8,46.1,52.8,64.6,79.1,87.6,92.3,87.9,92.5,102.8,100.2,98.4,88.9,85.1,91.4,99.7,104.2,111,128.9,137.5,149.5,166.2,173,179,183.3,200.4,219.2,236.8
"110","99","  Excluding imputations (97-98)","A2011C1",0.6,-0.8,-3.3,-2.1,-1.7,-2.7,-2.6,-4,-0.4,-2.4,-3.3,-1.4,-4.9,-32.5,-45.8,-53.4,-41.7,3.5,12.3,7,-5.6,4.5,2.7,-6.7,-9,-10.6,-0.8,0.9,-4.3,-16.2,-8.8,-2.9,-10.1,-10.4,-6.5,-10.7,-8.4,-11.4,-25.7,-17.5,-4.2,-27.8,-38.5,-25.6,-15.1,-29.8,-96.4,-75.6,-60.9,-44.5,-42.6,-95.1,-96,-183.5,-224.1,-212.2,-235.3,-261.5,-229.7,-209.1,-206.4,-273.1,-324.4,-402.3,-370.1,-297.3,-288.4,-225,-128.1,-30.5,11.8,89,-125,-473,-588.2,-566.8,-440.4,-353.1,-434,-919.5
"111",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","100","Current receipts from the rest of the world","A120RC1",7.1,5.5,3.7,2.5,2.4,3,3.3,3.6,4.8,4.5,4.7,5.5,6.2,5.1,4.7,5.6,7.5,15.2,20.3,17.6,16.4,14.5,19.9,19.3,18.2,18.9,21.2,25.2,28.3,24.4,27,31.9,32.9,35,37.6,42.3,45,49,52.1,58,63.7,72.5,77,87.1,118.8,156.5,166.7,181.9,196.6,233.1,298.5,359.9,397.3,384.2,378.9,424.2,414.5,431.3,486.6,595.5,680.3,740.6,764.7,786.8,810.8,904.8,1041.1,1113.5,1233.9,1240.1,1308.8,1473.7,1350.8,1316.5,1394.4,1628.8,1878.1,2192.1,2517.7,2640.3
"113","101","  Imputations (150+165+166)","W522RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,5.5,5.3,4.7,4.3,5.4,7,8.4,8.6,9,8.1,8.3,8.8,9.3,9.6,10.2,11,11.8,11.8,13.3,9.8,12.9,14.6,15.3
"114","102","  Excluding imputations (100-101)","W523RC1",7,5.4,3.6,2.5,2.4,3,3.3,3.5,4.7,4.4,4.6,5.4,6.1,5,4.6,5.5,7.4,15.1,20.2,17.5,16.3,14.4,19.7,19.1,18,18.7,21,25,28.1,24.2,26.8,31.7,32.7,34.8,37.4,42,44.8,48.8,51.9,57.7,63.3,72.1,76.5,86.6,118.2,155.5,165.1,180.7,195.3,232,297.5,359.1,396.8,382.7,375.4,421.1,409.9,425.9,481.3,590.8,676,735.2,757.7,778.4,802.2,895.8,1033,1105.2,1225.1,1230.8,1299.2,1463.5,1339.7,1304.7,1382.6,1615.5,1868.3,2179.2,2503.1,2625.1
"115","103","  Exports of goods and services","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.3,363.8,443.9,503.1,552.1,596.6,635,655.6,720.7,811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1655.9,1831.1
"116","104","    Imputations (150+158+165)","W512RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,5,5.3,5.1,4.6,4.1,4.9,6.2,7.6,7.7,8,7.2,7.6,8.1,8.1,8,8.3,7.8,8,7.6,8.2,7.6,9,9.8,12.2
"117","105","    Excluding imputations (103-104)","W513RC1",5.9,4.4,2.9,1.9,2,2.5,2.7,3,4,3.8,3.9,4.8,5.4,4.3,3.9,4.7,6.6,14,18.6,15.4,14.4,12.2,16.9,16.2,15.1,15.6,17.5,21.1,23.8,20.3,22.4,26.8,27.3,28.7,30.8,34.7,36.7,40.5,43,47.5,51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.7,804.7,860.1,946.3,945.8,981.3,1085,1019.9,995.1,1033.4,1172,1297.4,1462.1,1646.1,1818.9
"118","106","  Income receipts from the rest of the world","B645RC1",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.8,3,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.4,111,122.8,151.6,177.2,188.5,168.1,151.8,155.2,184.1,229.3,245.8,279.5,286.2,319.5,380.5,323,313.5,353.3,448.6,573,721.1,861.8,809.2
"119","107","    Imputations (-158+166)","W526RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.1,-0.5,-0.7,-1.2,-2.1,-2.7,-3.6,-1.4,-0.5,-0.9,-0.5,0.1,0.2,0.1,0.3,0.5,0.8,0.8,0.9,1.1,0.9,0.7,0.7,1.3,1.6,1.9,3.2,3.9,4.2,5.1,2.2,3.9,4.8,3
"120","108","    Excluding imputations (106-107)","W527RC1",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.9,3.1,3.5,4,4.3,3.9,4.3,5,5.4,6.1,6.6,7.4,8.1,8.3,8.9,10.3,11.9,13,14.1,16.4,23.8,30.3,28.2,32.9,37.9,47.4,70.4,81.8,95.6,102.4,102.4,122.8,112.9,110.9,122.6,151.5,176.9,188,167.3,151,154.3,183,228.3,245.1,278.8,285,317.9,378.6,319.8,309.6,349.2,443.4,570.8,717.1,857,806.2
"121","109","Current payments to the rest of the world","W163RC1",6.3,4.8,3.5,2.3,2.3,2.6,3.3,3.7,4.6,3.3,3.6,4,4.9,5.1,6.8,7.6,8.9,10.3,11.1,15.2,15.6,16.4,19,18.7,19.5,18.7,20.8,22.5,23.6,23.6,28.3,28.8,28.7,31.2,32.7,34.8,38.9,45.2,48.7,56.5,62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,528.8,574,640.7,711.2,772.7,815.6,756.9,832.4,889.4,1019.5,1146.2,1227.6,1363.3,1444.6,1600.7,1884.1,1742.4,1768.1,1910.5,2253.4,2618.6,2990.5,3242.4,3347.6
"122","110","  Imputations (150+165+166)","W522RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,5.5,5.3,4.7,4.3,5.4,7,8.4,8.6,9,8.1,8.3,8.8,9.3,9.6,10.2,11,11.8,11.8,13.3,9.8,12.9,14.6,15.3
