"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"128","121","P1FFWG D         Farm fuel","P1FFWG3",11.7,11.945,11.663,11.852,12.02,12.362,12.694,12.952,13.384,13.715,14.076,15.004,16.095,16.328,18.585,29.268,32.683,34.67,38.717,40.159,48.985,66.992,80.284,81.329,80.829,82.907,80.978,70.555,65.977,66.672,67.493,79.388,79.422,77.474,77.853,76.733,76.334,81.823,86.612,81.657,82.04,100,108.274,99.39,116.724,129.421,154.781
"129","122","P1TONG B   Other","P1TONG3",20.83,21.14,21.179,21.227,21.482,21.704,21.974,22.394,22.92,23.763,24.632,25.721,26.642,27.293,28.01,30.676,34.277,36.151,38.274,40.458,43.104,46.939,50.843,54.894,58.737,60.856,63.216,65.724,68.338,71.376,75.15,78.938,82.884,85.97,87.365,87.878,89.152,90.511,91.307,93.32,97.442,100,102.763,105.006,105.161,106.182,107.83
"130","123","P1TOBG C     Tobacco products (7)","P1TOBG3",7.394,7.64,7.702,7.763,7.999,8.188,8.536,8.997,9.334,9.922,10.451,11.325,11.804,12.449,12.794,13.417,14.374,14.983,15.704,16.572,17.532,18.868,20.348,22.585,26.954,28.68,30.325,32.356,34.594,37.673,42.431,46.738,52.118,56.521,58.547,56.193,57.582,59.334,62.095,69.897,90.075,100,107.666,116.837,118.762,121.032,127.314
"131","124","P1TLGG C     Toilet articles and preparations (21)","P1TLGG3",27.566,27.534,27.445,27.67,27.773,27.797,27.704,27.404,27.887,28.702,29.947,30.715,31.718,32.533,33.375,37.197,42.145,44.645,47.176,49.496,52.686,57.062,62.274,67.178,70.882,73.092,75.207,77.453,78.953,81.437,84.514,87.562,90.376,92.526,93.812,95.058,95.827,96.007,96.042,97.385,98.664,100,100.975,100.814,99.803,99.922,100.127
"132","125","P1SOAG D       Soap","P1SOAG3",23.637,23.53,23.265,23.208,23.411,23.327,23.433,23.752,24.258,24.52,24.82,25.719,26.631,26.959,27.527,32.315,39.293,42.41,45.118,46.811,49.86,53.662,57.94,62.541,66.073,68.279,70.313,72.501,73.911,76.099,78.674,81.947,85.469,86.324,88.566,90.646,90.74,92.05,93.88,96.323,99.102,100,100.807,100.237,100.726,101.641,102.726
"133","126","P1CSMG D       Cosmetics and perfumes","P1CSMG3",26.384,26.365,26.307,26.546,26.63,26.663,26.563,26.236,26.695,27.517,28.728,29.452,30.412,31.204,32.05,35.583,40.072,42.346,44.741,46.804,49.846,53.647,57.924,62.537,66.077,68.285,70.313,72.505,73.918,76.087,78.668,81.911,85.457,86.323,88.572,90.65,90.748,92.063,93.882,96.327,99.1,100,100.803,100.239,100.731,101.638,102.726
"134","127","P1OPHG D       Other personal hygiene goods","P1OPHG3",28.46,28.438,28.372,28.641,28.736,28.773,28.654,28.291,28.782,29.646,31.015,31.787,32.819,33.703,34.561,38.362,43.201,45.719,48.255,50.898,54.143,59.099,65.358,70.438,74.195,76.304,78.437,80.654,82.204,84.997,88.574,91.304,93.327,96.611,97.072,97.669,98.914,98.337,97.283,97.989,98.414,100,101.074,101.153,99.244,98.889,98.562
"135","128","P1SDHG C     Semidurable house furnishings (33)","P1SDHG3",37.489,37.965,38.264,38.17,38.186,38.329,38.625,39.136,40.215,41.753,43.005,43.896,44.914,45.733,46.76,52.776,56.725,59.463,62.512,66.323,71.605,77.735,82.862,90.207,96.183,99.731,102.512,104.624,107.758,110.82,111.261,111.988,112.007,112.832,112.8,112.842,111.034,108.581,106.271,103.92,102.749,100,97.67,94.801,87.75,83.854,81.758
"136","129","P1CLPG C     Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","P1CLPG3",22.069,22.289,22.115,22.04,22.163,22.111,22.157,22.508,23.076,23.624,24.045,25.16,26.238,26.66,27.304,32.413,40.506,43.694,47.479,50.197,53.615,58.791,63.895,67.636,69.67,70.861,72.972,74.139,76.055,77.745,81.668,84.237,86.672,86.755,86.686,86.847,89.522,91.676,92.619,94.141,95.814,100,103.643,104.429,102.813,103.254,105.31
"137","130","P1CLEG D       Cleaning preparations","P1CLEG3",24.809,24.694,24.414,24.36,24.574,24.488,24.597,24.934,25.461,25.735,26.055,26.999,27.946,28.294,28.874,33.8,41.212,44.497,47.304,50.045,53.266,58.671,64.249,68.305,71.036,72.105,74.274,76.435,79.026,80.705,84.908,87.452,91.366,91.599,91.308,91.182,92.584,93.532,95.047,95.773,97.422,100,103.726,104.581,102.948,101.755,102.632
"138","131","P1LIGG D       Lighting supplies","P1LIGG3",25.063,27.423,27.245,26.636,26.653,26.625,26.388,26.744,27.109,27.699,27.133,28.858,31.599,32.947,34.026,39.046,48.843,48.307,55.53,55.681,59.606,66.145,72.831,76.622,77.918,79.086,80.621,80.975,83.145,84.85,87.807,89.436,90.602,90.173,91.412,92.573,94.588,94.855,96.157,98.031,98.603,100,101.472,102.92,101.69,100.894,102.019
"139","132","P1PAPG D       Paper products","P1PAPG3",17.109,17.351,17.327,17.318,17.333,17.323,17.335,17.688,18.316,19.196,19.942,21.19,22.147,22.511,23.183,28.623,37.433,41.374,45.721,49.062,52.636,57.141,61.187,64.463,65.681,67.055,69.242,69.141,69.968,71.68,75.508,78.384,79.266,79.305,79.145,79.375,83.821,88.103,88.174,90.658,92.701,100,104.259,104.724,103,106.097,110.152
"140","133","P1DRGG C     Drug preparations and sundries (45)","P1DRGG3",23.389,23.344,22.812,22.208,21.853,21.755,21.679,21.71,21.588,21.609,21.896,22.353,22.671,22.726,22.787,23.608,25.513,27.013,28.705,30.709,32.78,35.674,39.546,43.59,47.24,50.514,53.862,57.087,60.217,63.563,67.726,72.651,77.942,82.25,84.61,86.514,87.24,89.164,90.504,92.682,96.496,100,104.615,109.03,112.011,115.136,118.475
"141","134","P1RXDG D       Prescription drugs","P1RXDG3",23.731,23.615,22.806,21.916,21.401,21.147,20.917,20.848,20.48,20.142,20.396,20.735,20.74,20.66,20.593,21.092,22.394,23.616,25.022,26.825,28.587,30.906,34.084,37.624,41.27,44.684,48.322,51.753,54.996,58.426,62.656,68.282,74.499,79.461,81.794,84.05,84.76,86.921,88.42,91.014,95.799,100,105.47,110.889,114.325,118.125,122.285
"142","135","P1NRXG D       Nonprescription drugs","P1NRXG3",23.409,23.444,23.174,22.81,22.609,22.726,22.898,23.147,23.378,23.975,24.186,24.848,25.779,26.036,26.295,27.468,30.446,32.477,34.736,37.227,39.952,44.027,49.447,54.795,58.889,62.516,65.888,69.127,72.701,76.517,80.98,84.927,88.795,91.752,94.537,95.586,95.814,97.419,98.595,99.331,99.411,100,101.116,101.043,102.4,102.26,101.561
"143","136","P1MDSG D       Medical supplies","P1MDSG3",29.806,29.858,29.489,29.047,28.754,28.682,28.607,28.683,28.575,28.629,28.92,29.594,30.082,30.153,30.254,31.335,33.937,35.987,38.323,40.751,43.202,46.662,50.972,55.712,59.178,61.916,64.617,67.763,70.309,72.561,76.475,80.189,83.731,86.89,89.807,91.516,94.472,95.948,97.06,98.317,99.208,100,100.038,99.666,100.011,100.9,101.398
"144","137","P1GYNG D       Gynecological goods","P1GYNG3",28.474,28.433,28.368,28.645,28.743,28.77,28.661,28.293,28.784,29.655,31.019,31.784,32.824,33.707,34.559,38.408,43.217,45.74,48.302,50.894,54.157,59.111,65.372,70.446,74.179,76.298,78.429,80.649,82.198,84.985,88.567,91.299,93.323,96.607,97.07,97.651,98.91,98.353,97.28,97.989,98.414,100,101.074,101.153,99.244,98.889,98.562
"145","138","P1TOYG C     Nondurable toys and sport supplies (89)","P1TOYG3",55.035,55.903,56.686,57.503,58.224,58.642,57.977,57.781,58.755,61.022,64.046,65.521,66.94,67.932,68.541,71.285,75.648,77.494,78.554,81.538,85.329,92.04,97.723,101.813,102.89,103.345,102.887,103.438,105.779,110.376,113.861,115.862,117.087,118.429,118.978,119.888,118.439,119.084,117.951,112.642,105.886,100,95.864,90.644,85.84,82.456,78.179
"146","139","P1DOLG D       Toys, dolls, and games","P1DOLG3",50.086,51.028,51.883,52.785,53.454,53.167,52.767,52.651,53.778,56.789,60.893,63.721,66.68,67.748,68.182,71.281,76.652,78.51,79.444,82.937,87.095,93.792,100.453,105.589,106.678,107.12,106.679,107.092,108.81,113.933,117.774,119.008,119.142,120.623,121.64,122.682,120.817,122.066,120.753,114.222,106.825,100,95.031,88.863,82.859,78.858,73.524
"147","140","P1AMMG D       Sport supplies, including ammunition","P1AMMG3",59.494,60.056,60.581,61.089,61.32,58.902,58.898,60.495,62.774,66.163,69.048,69.254,69.087,67.799,68.667,71.162,75.577,78.011,79.892,81.944,85.529,91.073,96.245,98.997,100.139,100.157,98.654,97.777,99.265,102.765,104.871,108.674,112.867,113.605,112.47,114.239,113.45,112.294,111.366,109.238,103.727,100,97.847,95.313,94.528,93.381,92.33
"148","141","P1FLMG D       Film and photo supplies","P1FLMG3",61.505,62.125,62.628,63.138,64.459,71.802,69.04,66.392,64.893,62.27,61.087,59.404,58.064,60.35,61.063,62.869,64.189,65.168,65.493,67.8,70.313,77.892,80.629,82.802,83.642,84.646,85.588,88.53,93.999,98.036,102.158,104.237,105.749,107.292,108.064,106.036,106.467,106.38,106.56,104.988,101.773,100,99.435,97.073,94.094,91.175,91.037
"149","142","P1STYG C     Stationery and writing supplies (35)","P1STYG3",21.761,22.021,22.045,22.288,22.535,23.006,23.649,24.527,25.567,26.521,27.298,28.68,29.474,29.875,31.323,37.701,41.679,43.587,46.123,47.461,50.329,53.947,58.061,62.025,64.783,66.488,68.219,69.219,70.141,71.686,74.422,76.852,79.589,83.368,85.132,87.248,91.545,95.516,99.721,102.37,101.681,100,100.091,100.321,98.287,94.944,95.335
"150","143","P1STSG D       Stationery and school supplies","P1STSG3",21.86,22.12,22.146,22.392,22.638,23.112,23.762,24.64,25.68,26.645,27.426,28.811,29.603,30.012,31.457,37.878,41.87,43.785,46.334,47.671,50.556,54.186,58.316,62.306,65.083,66.791,68.524,69.537,70.465,72.008,74.764,77.195,79.947,83.746,85.526,87.25,91.529,95.504,99.722,102.382,101.68,100,100.093,100.32,98.275,94.943,95.33
"151","144","P1GREG D       Greeting cards","P1GREG3",21.694,21.954,21.976,22.216,22.465,22.934,23.568,24.451,25.493,26.437,27.209,28.593,29.394,29.785,31.244,37.582,41.555,43.461,45.985,47.332,50.184,53.8,57.907,61.848,64.59,66.295,68.027,69.015,69.932,71.482,74.203,76.635,79.362,83.129,84.883,87.246,91.554,95.523,99.72,102.362,101.682,100,100.089,100.321,98.295,94.944,95.33
"152","145","P1NFRG C     Net foreign remittances (111 less 113)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","146","P1ABDG C       Expenditures abroad by U.S. residents","P1ABDG3",9.643,9.823,10.011,10.257,10.534,10.778,11.11,11.479,11.8,12.267,12.853,13.555,14.273,14.518,17.785,22.511,27.938,29.685,38.725,46.857,53.719,63.739,57.849,59.551,57.358,55.902,57.345,74.307,85.827,90.749,89.468,102.026,105.667,113.341,109.238,111.073,124.052,121.635,109.004,107.98,108.758,100,99.869,105.865,125.504,140.222,147.597
"154","147","P1ARTG D         Government expenditures abroad","P1ARTG3",9.643,9.823,10.011,10.256,10.533,10.777,11.109,11.478,11.8,12.266,12.853,13.555,14.272,14.518,17.783,22.512,27.938,29.684,38.725,46.86,53.715,63.735,57.848,59.547,57.355,55.899,57.342,74.302,85.825,90.744,89.459,102.01,105.67,113.338,109.238,111.076,124.053,121.634,109.003,107.979,108.758,100,99.869,105.865,125.504,140.222,147.756
"155","148","P1ARSG D         Other private services","P1ARSG3",9.645,9.824,10.012,10.256,10.534,10.777,11.105,11.473,11.8,12.262,12.843,13.558,14.266,14.52,17.858,22.45,27.913,29.694,38.694,46.758,53.786,63.762,57.807,59.638,57.38,55.898,57.335,74.366,85.691,90.776,89.689,102.433,105.609,113.399,109.232,111.004,124.022,121.646,109.018,107.988,108.758,100,99.869,105.865,125.504,140.222,147.756
"156","149","P1REMG C       Less: Personal remittances in kind to nonresidents","P1REMG3",25.927,26.151,26.306,26.514,26.744,27.028,27.374,28.048,28.565,29.639,31.038,32.422,33.536,34.579,37.187,41.593,45.26,47.148,49.942,53.43,58.922,65.834,71.472,73.698,75.096,77.156,78.23,76.467,78.561,80.639,83.867,87.788,89.598,90.584,91.558,92.402,93.803,95.586,96.357,95.544,96.798,100,101.013,100.362,101.316,103.729,107.355
"157","150","P1MAGG C     Magazines, newspapers, and sheet music (88)","P1MAGG3",14.3,14.51,14.768,14.993,15.668,16.262,16.717,17.273,17.845,18.932,19.95,21.242,22.865,23.602,24.246,26.446,30.427,32.807,35.079,37.409,39.988,44.151,48.602,53.085,56.629,58.234,61.395,63.859,65.733,68.069,70.638,73.94,78.137,81.184,83.739,86.221,89.391,93.046,93.969,96.024,98.211,100,101.951,103.813,105.859,109.004,111.792
"158","151","P1MGZG D       Magazines and sheet music","P1MGZG3",15.947,16.035,16.155,16.263,16.497,16.054,16.388,16.935,17.382,18.307,19.477,20.541,21.797,22.879,23.529,24.014,28.484,32.21,35.077,38.471,41.518,45.579,50.348,56.115,60.213,61.445,65.867,68.844,70.312,72.542,75.174,79.413,82.082,84.09,86.264,87.919,89.428,92.711,93.804,96.024,98.211,100,101.951,103.813,105.859,109.004,111.78
"159","152","P1NWPG D       Newspapers","P1NWPG3",13.202,13.466,13.784,14.061,14.944,16.088,16.603,17.154,17.787,18.95,19.856,21.267,23.102,23.586,24.211,27.622,31.126,32.476,34.284,35.833,38.037,42.175,46.304,49.796,52.873,54.725,56.848,58.859,61.062,63.473,65.968,68.375,74.021,78.119,81.069,84.411,89.346,93.402,94.144,96.024,98.211,100,101.951,103.813,105.859,109.004,111.78
"160","153","P1FLOG C     Flowers, seeds, and potted plants (95)","P1FLOG3",29.368,30.091,30.794,31.431,31.968,32.728,33.036,33.585,34.432,36.059,37.407,39.067,41.096,42.305,43.382,46.038,49.736,52.095,54.358,57.126,61.745,69.21,76.188,79.706,80.483,80.652,83.194,83.621,87.206,89.257,91.342,95.249,99.179,102.341,99.875,100.118,103.164,99.863,96.694,97.99,95.767,100,103.373,103.618,103.02,106.172,105.887
"161","154","P1TSSG B Services","P1TSSG3",15.485,15.887,16.173,16.466,16.701,17.016,17.334,17.81,18.349,19.128,20.106,21.175,22.34,23.304,24.381,26.345,28.595,30.603,32.933,35.464,38.316,42.332,46.746,50.528,53.799,56.68,59.295,62.04,64.299,67.493,70.708,74.197,77.497,80.684,83.345,85.748,88.32,90.844,93.305,95.319,97.393,100,103.257,106.018,109.246,112.695,116.195
"162","155","P1HOSG B   Housing","P1HOSG3",18.563,18.859,19.119,19.352,19.585,19.785,19.985,20.289,20.694,21.219,21.941,22.901,23.964,24.818,25.874,26.871,28.619,30.503,33.069,35.407,38.219,41.791,46.062,49.897,52.877,55.681,59.03,62.481,65.371,68.345,71.2,74.54,76.96,79.073,81.244,83.529,86.124,88.79,91.343,94.285,96.92,100,103.867,107.775,110.455,113.232,116.117
"163","156","P1OWNG C     Owner-occupied nonfarm dwellings--space rent (24)","P1OWNG3",18.856,19.146,19.383,19.609,19.826,20.018,20.21,20.494,20.871,21.381,22.057,22.976,24.034,24.878,25.952,26.931,28.722,30.633,33.246,35.533,38.298,41.856,46.172,50.097,53.132,55.858,59.142,62.658,65.555,68.554,71.408,74.834,77.009,79.082,81.198,83.483,86.246,88.985,91.576,94.544,97.113,100,103.852,108.025,110.663,113.181,115.812
"164","157","P1OMHG D       Owner occupied mobile homes","P1OMHG3",18.852,19.142,19.382,19.612,19.82,20.023,20.222,20.492,20.865,21.384,22.06,22.978,24.024,24.854,25.948,26.932,28.727,30.623,33.247,35.533,38.307,41.859,46.171,50.082,53.132,55.848,59.138,62.644,65.543,68.542,71.397,74.822,77.004,79.07,81.182,83.468,86.234,88.975,91.565,94.525,97.097,100,103.86,107.97,110.64,113.162,115.787
"165","158","P1OSTG D       Owner occupied stationary homes","P1OSTG3",18.856,19.146,19.384,19.609,19.826,20.018,20.21,20.494,20.872,21.381,22.057,22.976,24.035,24.879,25.952,26.931,28.722,30.633,33.246,35.533,38.298,41.856,46.172,50.097,53.132,55.858,59.143,62.659,65.555,68.555,71.408,74.834,77.009,79.082,81.199,83.484,86.247,88.985,91.577,94.545,97.113,100,103.852,108.027,110.664,113.182,115.805
"166","159","P1TENG C     Tenant-occupied nonfarm dwellings--rent (25)","P1TENG3",18.946,19.227,19.475,19.716,19.936,20.111,20.318,20.607,20.963,21.479,22.163,23.094,24.147,24.99,26.088,27.052,28.862,30.79,33.406,35.693,38.468,42.04,46.4,50.256,53.378,56.404,60.119,63.872,66.745,69.465,72.234,75.376,78.161,80.273,82.241,84.214,86.218,88.447,90.942,93.788,96.604,100,104.339,108.297,111.308,114.12,117.551
"167","160","P1TMHG D       Tenant occupied mobile homes","P1TMHG3",18.865,19.092,19.439,19.623,19.862,20.023,20.217,20.518,20.894,21.369,22.075,22.977,24.041,24.898,25.977,26.963,28.74,30.632,33.276,35.546,38.315,41.877,46.235,49.983,53.068,56.062,59.757,63.511,66.372,69.069,71.836,74.953,77.714,79.805,81.765,83.722,85.778,88.04,90.617,93.54,96.487,100,104.503,108.553,111.735,114.736,118.167
"168","161","P1TSPG D       Tenant occupied stationary homes","P1TSPG3",18.835,19.114,19.36,19.6,19.82,19.993,20.199,20.486,20.839,21.353,22.033,22.959,24.005,24.844,25.935,26.893,28.693,30.611,33.21,35.484,38.242,41.793,46.127,49.966,53.07,56.079,59.773,63.502,66.358,69.063,71.814,74.937,77.704,79.804,81.757,83.712,85.775,88.045,90.615,93.563,96.498,100,104.461,108.544,111.726,114.722,118.162
"169","162","P1TLDG D       Tenant landlord durables","P1TLDG3",23.596,23.947,24.269,24.556,24.805,25.047,25.298,25.658,26.121,26.746,27.594,28.745,30.067,31.128,32.482,33.701,35.933,38.324,41.598,44.444,47.909,52.372,57.798,62.448,66.331,70.112,74.725,79.439,83.025,86.383,89.922,93.912,97.469,100.111,102.689,105.43,104.691,105.059,104.27,102.825,100.794,100,99.697,99.116,96.227,93.051,96.236
"170","163","P1FARG C     Rental value of farm dwellings (26)","P1FARG3",23.061,23.763,24.774,25.285,26.296,27.047,27.361,28.482,29.883,30.679,32.762,35.07,37.204,39.585,40.316,41.699,41.858,42.878,45.042,47.913,50.427,52.755,54.678,52.967,53.459,53.978,53.295,52.055,52.551,57.316,61.701,65.938,70.419,75.026,84.276,93.82,97.696,100.884,96.708,96.528,97.538,100,105.11,106.996,111.001,116.978,121.328
"171","164","P1OHOG C     Other (27)","P1OHOG3",12.618,12.832,12.982,13.109,13.168,13.302,13.536,13.767,14.33,15.001,15.924,17.033,17.793,18.237,19.016,20.277,21.758,23.394,25.284,28.327,32.044,36.211,40.164,44.401,46.671,50.138,53.643,55.921,59.452,62.919,65.842,68.783,72.281,74.381,76.689,78.865,81.708,85.33,88.973,92.602,95.642,100,101.821,102.195,103.819,109.377,113.492
"172","165","P1HOTG D       Hotels and motels","P1HOTG3",11.313,11.531,11.688,11.78,11.786,11.922,12.163,12.411,13.131,13.98,15.081,16.435,17.121,17.469,18.198,19.55,21.013,22.72,24.554,27.999,32.267,36.886,41.052,45.794,48.102,51.865,55.486,57.555,61.162,64.687,67.345,70.032,73.438,74.955,77.061,78.989,81.757,85.503,89.101,92.712,95.545,100,101.113,100.031,100.412,105.605,108.902
"173","166","P1HFRG D       Clubs and fraternity housing","P1HFRG3",19.11,19.368,19.472,19.715,20.065,20.136,20.518,20.801,21.105,21.442,22.304,23.153,24.222,25.009,26.069,27.309,29.209,30.986,33.491,35.975,38.781,42.366,46.236,49.948,53.067,56,59.692,63.477,66.337,69.149,71.889,74.961,77.643,79.797,81.753,83.705,85.78,88.045,90.62,93.577,96.518,100,104.431,108.541,111.725,114.707,118.155
"174","167","P1HHEG D       Higher education housing","P1HHEG3",14.773,14.937,15.091,15.242,15.402,15.561,15.765,15.928,16.187,16.55,17.127,17.81,18.652,19.28,20.116,21.167,22.635,24.043,25.998,27.848,29.928,32.693,35.945,38.644,40.627,43.216,46.273,49.02,52.296,55.581,59.459,63.321,67.239,71.588,74.7,77.846,81.049,84.297,88.235,92.011,95.989,100,104.615,110.488,117.035,124.371,132.155
"175","168","P1HESG D       Elem and second education housing","P1HESG3",13.735,14.307,14.218,14.372,14.699,14.757,14.812,15.049,15.124,15.757,16.429,16.729,18.5,19.211,20.566,20.337,22.092,23.685,25.799,27.322,29.49,32.179,35.046,38.128,40.685,43.179,46.278,48.971,52.256,55.866,59.681,63.591,67.352,71.585,74.697,77.851,81.051,84.291,88.228,92.006,95.982,100,104.596,110.452,117.017,124.349,132.152
"176","169","P1TGRG D       Tenant group room and board","P1TGRG3",18.782,18.982,19.246,19.551,19.736,19.989,20.227,20.457,20.73,21.226,21.914,22.921,24.016,24.768,25.885,27.226,29.05,30.892,33.305,35.908,38.673,42.213,46.043,49.845,53.167,56.078,59.801,63.513,66.399,69.056,71.884,74.911,77.695,79.765,81.763,83.704,85.784,88.046,90.606,93.577,96.507,100,104.439,108.546,111.73,114.712,118.161
"177","170","P1TGLG D       Tenant group employee lodging","P1TGLG3",16.44,16.629,16.831,17.179,16.947,16.931,17.122,17.62,18.782,18.861,19.587,19.707,21.367,21.994,24.038,24.849,26.328,28.353,30.295,35.96,38.736,42.376,46.194,49.971,53.054,56.032,59.741,63.507,66.31,69.044,71.795,74.911,77.69,79.8,81.76,83.709,85.772,88.051,90.616,93.566,96.498,100,104.464,108.56,111.729,114.722,118.153
"178","171","P1HOPG B   Household operation","P1HOPG3",21.514,22.229,22.444,22.618,22.863,23.093,23.279,23.509,23.908,24.626,25.426,26.478,28.316,29.741,31.135,34.432,37.715,41.059,43.988,46.565,49.667,54.907,61.784,68.87,73.552,77.337,79.769,80.982,80.615,81.796,83.783,85.319,88.42,90.389,92.72,94.343,95.482,97.333,99.01,98.15,98.093,100,104.618,103.681,107.691,110.003,115.73
"179","172","P1GELG B     Electricity and gas","P1GELG3",18.843,19.469,19.635,19.636,19.591,19.595,19.551,19.589,19.674,19.844,20.235,21.066,22.509,23.615,24.964,29.025,33.37,36.656,40.478,43.375,47.852,56.02,64.222,72.565,78.311,81.733,83.499,82.955,81.677,82.333,84.626,86.067,88.709,90.409,93.197,93.696,93.891,96.041,98.219,94.94,94.569,100,111.206,105.259,113.47,117.902,130.157
"180","173","P1ELCG C       Electricity (37)","P1ELCG3",22.964,23.304,23.391,23.392,23.304,23.226,23.139,23.139,23.304,23.479,23.993,24.77,26.409,27.699,29.416,34.753,39.225,41.806,44.58,47.369,50.98,59.053,67.893,74.623,77.066,81.989,84.928,86.035,85.779,86.952,89.39,91.469,94.88,96.723,98.619,98.656,100.882,102.554,103.102,99.116,98.43,100,107.998,106.809,109.323,111.373,118.22
"181","174","P1NGSG C       Gas (38)","P1NGSG3",12.519,13.308,13.52,13.52,13.52,13.596,13.596,13.665,13.664,13.808,14.029,14.818,15.895,16.684,17.481,19.636,23.52,27.549,32.708,35.671,41.375,49.473,56.384,67.323,78.867,79.385,78.875,75.057,71.659,71.214,73.164,73.23,74.148,75.518,80.148,81.641,77.34,80.489,86.081,84.472,84.897,100,119.144,101.2,124.114,134.727,160.944
"182","175","P1HLUG B     Other household operation","P1HLUG3",24.425,25.236,25.5,25.841,26.369,26.821,27.234,27.653,28.366,29.637,30.86,32.144,34.394,36.154,37.591,40.095,42.259,45.66,47.654,49.9,51.63,54.008,59.614,65.496,69.155,73.295,76.341,79.111,79.524,81.148,82.874,84.483,87.942,90.117,92.092,94.555,96.374,98.01,99.349,100.02,100.154,100,100.857,102.79,104.349,105.424,107.304
"183","176","P1WATG C       Water and other sanitary services (39)","P1WATG3",9.806,10.117,10.383,10.65,10.975,11.137,11.412,11.834,12.108,12.685,13.543,14.616,16.171,16.77,17.672,18.746,20.566,22.868,25.344,28.288,29.619,31.658,35.483,39.749,43.104,46.009,48.842,51.677,54.737,57.98,61.706,66.062,71.153,76.227,80.435,84.394,87.116,90.232,92.459,95.452,97.598,100,102.919,106.232,110.136,116.707,122.821
"184","177","P1WSMG D         Water and sewerage maintenance","P1WSMG3",10,10.322,10.598,10.867,11.196,11.36,11.637,12.07,12.347,12.945,13.819,14.91,16.495,17.1,18.027,19.118,20.979,23.326,25.853,28.871,30.234,32.322,36.232,40.596,44.033,46.971,49.845,52.575,55.403,58.424,61.95,66.055,70.884,75.676,79.796,83.794,86.378,89.88,92.291,95.508,97.552,100,103.142,106.598,110.657,117.859,124.572
"185","178","P1REFG D         Refuse collection","P1REFG3",8.641,8.889,9.091,9.349,9.65,9.802,10.061,10.419,10.67,11.13,11.888,12.856,14.229,14.788,15.545,16.513,18.087,20.124,22.298,24.794,25.933,27.68,31.004,34.686,37.557,40.262,42.85,46.288,50.647,55.145,59.979,65.626,72.037,78.543,83.174,86.925,90.282,91.673,93.129,95.233,97.765,100,102.112,104.882,108.192,112.412,116.354
"186","179","P1TELG C       Telephone and telegraph (41)","P1TELG3",55.169,56.039,56.227,56.222,56.24,56.319,55.52,54.294,55.013,55.016,55.742,56.393,59.16,62.49,64.089,66.797,68.954,71.407,72.218,73.012,72.732,74.011,81.183,89.539,94.986,102.001,104.836,108.089,105.487,104.23,104.116,103.766,104.561,104.661,105.173,107.45,107.011,107.272,107.517,106.118,103.542,100,97.979,98.126,97.223,95.315,94.546
"187","180","P1LOCG D         Local and cellular telephone","P1LOCG3",36.668,37.254,37.351,37.351,37.35,37.449,36.863,36.092,36.57,36.569,37.057,37.45,39.297,41.537,42.602,44.352,45.81,47.462,47.995,48.88,48.52,49.976,56.472,62.917,67.958,77.403,83.102,91.561,96.22,97.514,101.022,102.887,105.922,106.757,106.665,106.605,107.958,105.44,105.538,104.134,101.482,100,98.841,100.897,102.734,103.047,103.386
"188","181","P1CELG D           Cellular telephone","P1CELG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.689,172.517,168,160.894,165.677,168.194,169.912,167.068,161.632,158.988,155.972,140.877,136.205,125.308,111.568,100,89.969,89.018,88.29,87.458,85.85
"189","182","P1OLCG D           Local telephone","P1OLCG3",30.241,30.724,30.804,30.804,30.804,30.885,30.401,29.766,30.16,30.159,30.562,30.886,32.409,34.256,35.135,36.578,37.78,39.143,39.582,40.313,40.015,41.216,46.574,51.889,56.046,63.836,68.546,75.584,79.478,80.617,83.535,85.095,87.752,88.721,89.141,89.404,91.345,91.603,92.889,94.361,96.098,100,105.247,110.004,114.506,116.226,119.374
"190","183","P1LDTG D         Long distance telephone","P1LDTG3",86.438,87.785,88.147,88.131,88.189,88.197,87.085,85.055,86.179,86.194,87.316,88.435,92.753,97.903,100.4,104.768,108.088,111.877,113.163,113.523,113.514,114.051,121.268,132.329,137.713,138.606,135.706,129.976,116.895,112.414,108.106,105.289,103.623,102.94,104.101,109.019,106.436,110.251,110.686,109.29,106.828,100,96.372,92.156,84.319,76.452,72.501
