"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214"
"51","43","    Drugs and druggists' sundries wholesalers","KS42220",18399,18113,18510,18218,18561,18991,19212,19913,20086,19595,20205,20322,20365,20754,20802,20758,21050,20522,20595,20754,20737,21012,21528,21795,22032,22287,22392,23272,23647,24008,24492,24902,24851,25828,25967,26260,26990,27370,27941,28249,28225,29193,29805,29843,30276,30831,31123,32243,31988,31713,33005,34113,35621,36536,36174,37648,39367,39079,40329,41393,41776,41858,42052,41812,41577,42116,41414,41066,41370,42103,41474,42492,42234,42304,42333,42663,42410,41447,42479,42566,41817,42197,42873,42192,41583,42203,42229,40936,41231,41303,41998,41806,41253,41591,41941,41348,42344,41135,40916,40728,40544,39965,38800,38239,39088,38532,38125,38954,38035,38793,39346,39173,38845,40052,39378,41312,40196,38219,39367,39459,39261,39067,38880,39767,40070,40163,39740,40642,40152,39614,40293,40303,40302,40000,39803,39478,39749,39005,40808,41512,39731,40180,40456,39710,39957,40912,39856,40040,39818,38823,38986,38925,38650,39462,39247,39286,39636,39350,39219,39504,39982,40168,40192,40195,40363,40312,39835,40571,39964,40020,41037,41185,40421,41482,41271,40954,41980,41056,41212,41837,41098,41297,41644,40689,41140,40751,41525,41794,41280,39793,41735,40674,42354,41301,41247,41353,42355,42669,42667,43630,43574,44393,45156,45107,46183,46876,47043,47951,48564,48447,49537
"52","44","    Apparel, piece goods, and notions wholesalers","KS42230",11936,12009,12091,12131,12209,12423,12453,12429,12403,12981,13111,13125,13278,13058,13142,13261,13230,13341,13246,13414,13307,13371,13489,13415,13104,13832,13373,13162,12957,12599,12572,12497,12323,12357,12536,12740,12959,12793,12655,12777,12867,12529,12728,12597,12770,12726,12814,12859,13096,13533,13473,13565,13637,13645,13220,13102,13121,13263,12977,12830,13198,13095,12949,12635,12778,13165,13379,13707,14153,13773,13731,13968,13954,13793,14071,14202,14052,14300,14237,13987,13737,13406,13677,13699,13478,13608,13727,13643,13828,13508,13715,14053,14416,14631,15259,14514,14880,14913,15057,15402,15433,15488,15435,15522,15656,16005,16142,15957,15634,15941,16053,16000,15987,15908,16022,15939,16030,15867,15789,16044,16168,16070,16086,15635,15972,16251,16437,16527,16371,16434,16351,16393,16459,16493,16989,16527,16359,16385,16218,15868,16452,16565,16506,16946,16821,16751,16412,16174,15903,15488,15064,14683,14475,14067,14146,13872,14051,14221,14136,14107,14271,14474,15097,15483,16260,16549,16805,16569,16849,16698,16802,16477,16992,17335,17824,17644,17196,16899,17040,16999,16921,16855,16910,17024,17306,16965,16773,16529,16358,16389,16237,16647,16414,16909,17250,17109,17109,17031,17071,17106,17390,17437,17527,17873,18109,18113,18451,18733,18742,18787,19200
"53","45","    Grocery and related products wholesalers","KS42240",21560,21446,21430,21170,21468,21709,21710,21598,21554,22289,22499,22591,22675,22818,22166,22808,23132,22734,22737,22686,22493,22347,22556,22338,22405,22733,22802,23240,23011,22239,22861,22916,23117,23560,24107,23867,23660,23711,23524,23519,23383,23155,23318,23304,23665,23922,24453,23754,23531,23270,23032,22930,22543,22717,22234,22359,21954,21305,21549,21733,21793,21613,22093,22460,23183,23921,24075,24279,23626,23979,23430,23556,23981,23811,23443,22854,22309,22309,22483,22290,22457,21700,21358,21970,21645,21805,21931,21853,21753,21744,22142,21915,21443,22018,22101,21598,21995,22067,22013,22209,22229,22018,22155,22552,22798,22900,23099,23358,23274,23622,23563,23580,23332,23830,23974,24195,24165,24098,24787,24602,24559,24948,25350,25306,25724,25995,25955,25615,25547,25431,25575,25725,25719,25378,25674,26058,26181,26187,26328,26770,26682,26860,26533,26762,26746,26709,26259,26659,26353,26249,25978,25634,26061,25803,25807,25589,25255,25690,25314,25410,25855,26598,26911,27059,26593,26688,26250,26774,26864,26424,26997,27058,27479,27270,27363,27663,27945,28094,27756,28055,28048,28492,28228,27847,28715,28719,28651,28183,28287,28352,28744,28666,29169,29173,29426,29381,29202,29151,29274,29445,29965,29869,29752,29650,29393,28843,29371,29584,28913,28964,29201
"54","46","    Farm product raw material wholesalers","KS42250",17316,17667,17481,17628,17417,17790,18459,18138,18022,19241,19976,18844,18925,19099,19177,18632,18782,19853,20000,20454,21535,21752,21558,20845,20649,20695,21090,21773,21575,21564,21751,22952,23185,23574,22878,22581,23041,22637,23033,23159,23318,22958,22648,22806,22941,23320,23258,23226,22947,23144,22877,23066,23594,23458,23710,23626,23318,23122,23525,23471,23498,23501,23560,23056,22736,22667,23598,22364,21786,20874,21665,22109,21981,21449,21127,21153,21375,21611,21761,22000,22567,26210,25495,24186,24536,24489,24277,23913,23089,22454,21607,21323,20805,20681,20523,20566,21030,21724,22837,23343,23091,23299,23850,23793,23369,23040,22550,22892,23003,23308,22999,22984,23559,23384,23576,23381,22200,24004,24737,23180,22105,21412,21629,21343,21452,22053,23233,24252,25383,25107,25274,24984,24993,25025,24263,24522,24633,25814,25024,24756,23586,22565,23084,23155,23736,22705,24090,24560,25845,23891,23138,22909,21558,22766,27327,26646,25794,25555,25014,24527,24948,25078,26579,27551,29028,33078,31053,29940,29153,27875,27153,26795,27090,26242,26003,26013,23473,24635,24566,24357,24095,24537,24571,24304,23032,24570,25511,25177,25668,25598,25183,24368,24510,23943,24063,24155,23700,23676,22719,22260,22961,25871,27397,26382,26145,26595,26753,26197,25051,24415,23924
"55","47","    Chemical and allied products wholesalers","KS42260",7369,7545,7640,7474,7314,7795,7828,7820,7593,7593,7826,7769,7864,7787,7823,8074,8395,8007,8375,8262,8292,8209,8490,8574,8752,8926,8897,8967,9046,8951,9214,8949,8834,8753,8768,8989,8818,8892,8995,8899,8845,8835,8857,8711,8418,8334,8394,8534,8333,8216,8509,8805,8773,8801,8918,8757,8854,8903,8891,9050,8999,9170,9196,9099,9280,9180,9052,9198,9178,9117,9238,9292,9432,9218,8959,8848,9023,9036,9145,8837,8837,8741,8645,9054,8438,8710,8704,8792,8966,8974,9172,9000,8917,8926,8862,8786,8847,9023,8984,9199,9077,9106,9006,9010,8887,8886,8917,8908,8961,8808,8851,8854,8808,8884,8738,8845,8793,8623,8688,8783,9061,9075,9026,8965,8853,9239,9400,9107,9138,8915,9182,9220,9105,9264,9340,9434,9316,9166,9613,9617,9527,9432,9265,9442,9192,9246,8873,8619,8438,8487,8452,8280,8300,8072,8079,8025,8092,8223,8088,8127,8152,8382,8623,8608,8663,8441,8501,8703,8747,8680,8763,8810,8989,9096,9141,9188,9055,9014,8961,9196,8983,9088,9100,9127,9161,9122,9335,9335,9474,9556,9460,9794,9488,9566,9391,9247,9427,9518,9666,9506,9610,9677,9829,10319,10167,9946,9883,9951,10005,10285,10153
"56","48","    Petroleum and petroleum products wholesalers","KS42270",12323,12428,12410,12573,12900,12563,12456,12217,12404,12432,12355,12557,12536,12391,13029,13659,14322,14179,14282,14540,15654,14973,14608,14544,15001,14946,14269,13330,12489,12582,12459,11849,12105,12080,12172,11561,11570,11270,11208,11293,11098,11261,10985,11358,10899,10889,11331,10822,10794,11321,11564,11751,12283,12410,12802,12661,12495,13003,13974,14264,14804,14692,14293,14004,13473,12834,12957,12490,12702,11995,11850,12534,11983,11042,10877,11461,12118,12330,11715,12237,12523,12589,12445,12116,11723,11984,11817,11717,11728,11898,13682,13762,13089,13139,12762,13607,13587,13275,13795,13492,13484,12863,13712,13987,13799,13194,13527,13793,15145,15113,14467,14087,14696,14338,14813,14553,15446,15438,15591,14281,13893,13915,14061,14856,14972,15137,15007,14658,15105,14804,14488,14762,13732,13444,11969,12734,12055,12806,13181,13151,13044,11667,12797,14212,15685,16082,17258,17240,16784,16493,15674,16505,16281,16495,17593,18174,17991,17543,17973,18580,17815,17651,17821,17861,17689,17748,16881,16704,16577,17033,16701,16714,16952,16506,16624,16203,15092,15678,15639,15735,15573,16165,15296,15846,15388,14747,14691,15442,15445,14902,15431,15909,16027,15955,15680,15831,15743,15717,15870,16155,15888,16146,15481,14878,14910,14787,15252,15398,15621,15654,15241
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",6235,6031,5853,6109,5919,6268,6219,6309,6476,6282,6301,6689,6485,6609,6997,6504,6482,6721,6580,6738,6792,6895,7188,6907,7017,7258,7678,7340,7576,7335,7468,7411,7234,7220,7179,7257,7350,7380,7311,7366,7415,7180,7185,7229,7239,7298,7337,7407,7353,7331,7233,7234,7198,7372,7232,7222,7306,7240,7063,7108,7234,7192,7412,7481,7444,7321,7356,7145,7431,7567,7627,7640,7656,7564,7643,7500,7578,7592,7673,7422,7715,7722,7973,7881,7816,7746,7725,7861,7917,8064,8066,8014,7857,7886,8046,8295,8362,8392,8348,8429,8389,8428,8299,8716,8737,8899,8940,8859,8731,8638,8981,9076,9263,9066,9061,9231,9391,9374,9517,9602,9845,9885,9848,10135,9960,10092,10465,10173,10597,10603,10578,10714,10884,10983,10929,10750,10993,11074,11198,11153,11457,11516,11553,11705,11456,11423,11666,11504,11334,11541,11225,11354,11053,10997,11063,10738,10973,10931,10835,10599,10786,10812,11001,11094,10944,10840,10941,11053,10877,11172,11337,11416,11466,11467,11303,11404,11311,11710,11630,11683,11825,11808,11721,11861,12127,11956,12344,12344,12413,12301,12313,12518,12563,12532,12641,12914,12849,12830,12703,12742,12946,12934,12935,12955,13170,13081,13256,13386,13334,13347,13398
"58","50","    Miscellaneous nondurable goods wholesalers","KS42290",23004,22493,22348,22615,22594,22438,22211,22986,23635,23216,23155,23561,23178,23950,24208,23757,23960,24307,24368,24206,24365,24022,24716,24654,24648,24180,24349,24544,23376,23705,24016,24419,24525,24186,24204,24224,24327,24278,24048,23822,23896,23926,23797,23943,23823,24104,23740,23775,23431,23727,23417,23630,23856,24048,23876,23943,23303,23039,22777,22218,22034,22063,22162,22224,22518,22328,22726,22603,22476,22570,22527,22883,22711,22490,22740,22447,21951,21908,21988,22164,22781,22689,22758,22622,23270,22947,22211,22476,22753,23142,23982,23582,23544,24227,24689,24786,24730,24892,24439,24996,24858,25088,24799,24664,24801,24451,24283,24630,24478,24285,24482,24483,24456,24265,24227,24455,24366,24283,24076,24126,23878,24614,25195,25295,24373,24238,24456,24409,24491,24866,25142,25073,25491,25594,25785,25900,26144,26093,25665,25470,25558,25399,25250,25191,24949,25351,25119,24788,24410,24366,24885,24431,24162,24034,23834,23793,23933,23634,23822,23756,23699,23455,23463,23729,24087,24169,24574,24207,24182,24151,24271,24455,24940,25255,25199,24914,24697,24867,24710,25217,25026,24910,24644,24697,24525,24634,24818,25040,24945,24910,25032,25350,25241,25479,25549,25783,24941,24245,23919,24623,25032,25629,25713,24913,25172,25167,25341,25264,24906,24634,24696
"59","51","Retail trade industries","KS440",354669,358100,356322,360767,362562,362590,365422,364407,367062,368624,370082,370399,371447,374028,378201,381989,379593,378870,379746,379217,381300,382375,385680,386621,391084,393386,397104,398432,399180,401008,401860,402082,403325,406245,409506,414082,413248,414239,416280,418669,422915,425879,427936,431057,431612,434410,435830,435858,434714,431190,429909,431026,432188,431733,432471,434451,434618,424679,419834,424564,428578,429891,430328,431250,434823,437713,439240,438572,443058,445193,450409,452278,454779,456746,459802,461583,460853,461908,463823,460931,466356,467836,471280,471420,473033,475395,479829,485012,486208,487601,488166,490682,490913,493498,495404,496592,498520,501172,500721,499400,499469,497964,490099,492601,496348,498993,500153,501752,502294,499816,504380,500818,504911,506428,505555,508382,509751,506691,507191,511518,509621,511754,509501,511764,511809,512821,515453,518977,517153,519988,517969,518079,516590,513436,508143,505480,503912,502707,507345,500355,497415,496469,492048,487931,480417,477153,473371,471241,463743,458582,452475,440819,442198,442040,439158,438217,438547,439291,441345,443788,444618,448099,450412,453152,456454,455546,455053,456639,456336,453684,458058,457787,456376,455026,453512,455548,454652,453857,456275,455538,457713,461147,463129,465052,469123,471309,475560,477751,476840,478470,478630,481145,487186,488940,486981,489583,492063,493137,495864,496406,500520,503688,507920,509517,510671,511138,510511,512449,513172,514210,519042
"60","52","  Motor vehicle and parts dealers","KS4410",98897,99974,99289,101525,101588,100985,102490,102510,102330,103726,104823,104186,104339,105290,106652,109096,108535,105099,104509,103124,104060,104931,106313,106012,108480,110068,112183,112088,112134,112326,112930,112450,112954,115046,116436,118360,118633,117957,118862,120922,122401,124657,126761,127676,128551,129473,129878,130059,128680,125281,123615,124631,125706,125879,127244,127313,127999,118461,116060,120889,123481,124885,125747,126171,128085,130333,129809,128964,131035,133837,137868,138069,139787,140660,142307,143651,144264,145267,145797,144127,147191,147781,150434,150985,152308,153164,154686,157828,157780,158077,158227,158802,158546,159973,159607,158536,158427,160397,159306,158104,157001,154548,148319,149171,152637,155693,155655,155626,155162,154030,155829,153380,155509,155852,154991,154987,155992,152392,152002,154942,153120,153294,152698,154878,152910,153477,156280,159037,158109,159419,159768,157853,156660,155340,154581,151617,151978,152319,156202,151063,148423,146895,146351,145610,139623,136933,134947,134355,129274,125403,120252,110482,114401,113901,113111,112679,114034,115506,115296,116119,116839,119779,121404,123605,125731,125425,124530,124368,124492,123424,125041,125705,124785,123493,123484,124125,123928,123792,125705,125540,128459,130976,133136,135132,137000,138876,142054,144062,144248,144509,144904,146693,148671,149505,150106,151066,152739,154199,155433,155554,158342,160949,163176,164262,163878,163528,162653,164279,165408,165944,169996
"61","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",14443,14496,14394,14258,14557,14558,14708,14601,14724,14882,14905,14929,14949,15141,15386,15496,15428,15435,15576,15682,15769,15913,16077,16087,16257,16469,16341,16572,16574,16792,16977,17035,17112,17211,17259,17515,17357,17582,17940,17920,18055,18474,18426,18692,18364,18686,19265,19050,19123,18953,19237,19290,19078,18797,18683,18709,18628,18782,18927,18904,19374,19499,19504,19466,19797,19614,19972,19988,20420,20521,20599,20664,20818,21099,21013,21201,21216,21665,21683,21714,21975,22445,22512,22487,22471,22831,23491,23826,24200,24181,24403,24876,24830,24600,24942,25751,25597,25648,25855,26080,26626,26927,26784,26862,26676,26479,26643,27009,27170,27399,27638,27674,27847,27873,27835,27829,27838,27765,27874,28094,28413,28728,28634,28450,28364,28550,28684,28669,28911,29418,29519,29343,28899,28624,28043,28146,27611,27638,28106,28005,28083,28124,26123,25704,25524,25293,25062,24985,24662,24485,24297,24242,24290,24739,24091,23967,24052,24025,24399,24561,25062,25204,25309,25536,25800,25807,26086,26307,26190,25824,26209,26163,25904,26010,25953,26022,25616,25670,25568,25574,25717,25782,25871,26077,26376,26605,26576,26576,26410,26740,26931,27001,27145,27982,26937,26741,27200,26689,26700,26667,26879,26994,27176,27343,27061,27890,27600,28283,28123,28278,28326
"62","54","  Building material and garden equipment and supplies dealers","KS4440",40877,40952,41149,41300,41463,41734,41700,41869,42344,42143,42115,42530,42692,43247,43215,43279,42693,43397,43732,44362,44360,44333,44805,44993,45291,45483,45754,45905,45954,46189,46430,46481,46464,46812,46974,47460,47503,47717,47607,48025,48070,48251,48503,48840,48914,48885,49267,48917,49118,49005,48969,49063,49328,49133,48754,49125,49125,49249,49027,48950,49237,49248,49744,50037,49893,49909,49888,49955,50390,51137,50853,51149,50605,51355,51555,51244,51139,51298,51291,51462,52286,52014,52024,52160,52154,52432,52702,53117,53538,53585,53789,53748,53486,54062,54080,54600,55705,55271,54754,54350,54767,54907,54866,55045,55625,55724,56188,56680,56949,55714,56248,56316,56359,56626,57118,57794,57273,56994,56943,56597,56328,56641,55693,57435,57365,57644,57563,57455,56871,57431,57294,57348,57391,56697,55766,55804,55464,55123,54847,54605,54195,53628,53249,52158,51652,51603,51620,51230,50970,50542,50353,50148,50045,49767,48956,49618,49216,49149,49274,49465,49797,49289,49017,48906,49060,49143,49471,49789,50057,50015,50250,50151,49985,49872,49694,49669,49821,49849,49787,49384,49652,49873,49735,49928,50173,50158,50433,50630,50683,50821,50619,50471,51154,51207,51135,51224,51184,51233,51321,51525,51828,51768,52039,51859,51906,52003,52169,52153,51805,51982,52261
"63","55","  Food and beverage stores","KS4450",36871,36910,37036,36966,37177,37185,37111,37502,37642,37453,37641,37393,37624,37475,37721,38037,37995,38317,38510,38408,38272,38272,38670,38654,39045,39104,39261,39145,39555,39764,39941,40186,40440,40475,40510,40670,40600,40632,40645,40609,40755,40030,39909,39939,40154,40123,39770,39940,40063,40201,40213,40282,40280,40401,40365,40365,40405,40603,40625,40459,40396,40553,40621,40671,40764,40836,40772,41022,41550,40781,40962,41533,41183,41177,41257,40935,40641,40364,40576,40514,40791,40251,40084,40082,40162,40063,40170,40213,40397,40401,40506,40445,40469,40409,40556,40439,40716,40640,40497,40475,40464,40482,40363,40466,39940,40177,40253,40186,40366,40552,40623,40682,40892,40975,41059,41066,41101,41073,41120,41180,41023,40836,40972,40533,40994,41386,41567,42018,42025,42303,42248,42388,42234,42311,42236,42399,42343,42311,42186,42102,42112,42281,42115,41943,42409,42499,42571,42522,42559,42320,42410,42172,42223,42277,42307,41611,41904,41848,41941,41668,41583,41721,41754,41768,41893,41867,41885,41944,41853,41500,41422,41682,41656,41686,41758,41851,41811,41730,41778,41801,41799,41992,42237,41899,41867,41894,41939,41874,41950,41768,41837,41946,42179,42259,42006,42267,42625,42542,42657,42627,42658,42910,43138,43069,42826,42964,43140,43348,43096,43075,43117
"64","56","  Clothing and clothing accessories stores","KS4480",29787,30134,29456,30306,30437,30320,30435,30254,30699,30680,30628,30910,31077,31004,31479,31640,31499,31855,31944,32037,32432,32308,32345,32367,32717,33004,32793,32926,33075,33349,33059,32995,32746,33002,33320,33933,33336,34040,34537,34845,35476,35272,35730,36240,36255,36911,36955,37246,36926,37093,36863,36680,36445,36574,36335,36329,36621,37040,36129,35965,36218,35866,35667,36216,36320,36811,37437,37433,37762,37707,37766,38228,38678,38629,38765,38451,38407,38299,38553,38652,38570,38485,38987,38927,39015,39194,39292,39953,40293,40334,40371,40849,41017,41387,41707,41720,42344,42809,43067,42875,42735,43241,43239,43323,43406,43627,43317,43115,42932,43292,44142,44450,44821,44920,44800,44911,45161,45332,45811,46595,46661,47234,46628,46171,46249,45878,45691,45604,45757,45462,45293,45408,45339,45147,44602,44686,44126,43991,44235,44019,44139,44086,43713,43153,42711,43000,42146,41561,41169,40816,40418,39950,39237,38879,38652,38237,38061,38050,38169,38450,38573,38611,38654,38580,38562,38529,38119,38592,38463,38425,38495,38203,38296,37920,37637,37844,37846,37951,37729,37220,37197,36991,37019,36548,36815,37456,37676,37526,37398,37277,37251,37408,37693,37852,37535,37913,37822,37689,37785,37729,37792,37716,37949,38447,38809,38642,38740,38706,38948,39032,39107
"65","57","  General merchandise stores","KS4520",66811,67416,67126,67826,67830,68046,67959,67434,67701,67240,67072,67403,67461,67378,67351,67381,66328,67304,67666,67648,68014,68035,67931,67818,67823,68029,68682,69202,69300,69295,69468,69756,69863,69501,70549,70889,71188,71478,70997,71057,71389,71728,71329,71437,71489,72009,71918,72066,72404,72474,73519,73124,73643,73721,73072,74095,73680,73677,72887,72242,72113,72400,71890,71795,72397,71961,73001,73226,73205,73193,74265,74550,74473,74215,74789,75852,75142,75130,75508,74930,75741,76471,75776,75981,76301,76830,77670,77809,77920,78578,78307,78751,78863,79171,80190,80905,81010,81170,82612,82560,82860,82867,82466,83473,83525,83130,83359,83993,83478,82771,83342,81893,82665,82864,83596,84292,84228,84627,84969,85074,85232,85577,85219,85416,85597,85386,84792,84826,84551,84824,83782,84827,85203,84967,83008,83402,83031,82427,82471,81872,82249,82426,81893,80756,80204,79803,79970,79461,79147,79257,78875,78350,77932,78406,78145,77886,77396,76841,78094,78589,78360,78780,79384,79565,79887,79648,79987,80074,79862,79635,81215,80745,80655,80857,80364,80850,80739,80504,80639,81004,80662,80866,80187,80289,80934,80473,80559,80773,79789,80760,80149,80954,82551,82268,81992,82380,82298,82281,82734,82589,83256,83470,83661,83808,84427,84346,84493,83985,84086,84034,84214
"66","58","    Department stores","KS45210",46021,46426,46368,46781,46756,46958,46786,46435,46625,46436,46293,46504,46379,46184,46076,45964,45114,45782,46099,45956,46000,45770,45580,45448,45610,45411,45814,46011,45944,45849,45837,45819,45691,45317,46066,46142,46185,46322,45828,45795,45961,45963,45421,45401,45233,45681,45542,45455,45620,45504,45927,45695,45754,45597,44838,45371,45273,44677,43955,43403,42847,42923,42468,42072,41910,41795,42062,41940,41682,41300,41865,41928,41647,41134,41415,42082,41373,41194,40967,40579,40879,41134,40485,40407,40533,40539,40802,40901,40924,40944,40851,40941,40629,40909,41039,41147,41150,41237,42371,41496,41371,41521,41571,41666,41552,41319,41287,41794,41117,40617,40780,40423,40332,40027,40143,40357,40348,40255,40666,40685,40721,40794,40356,40548,40309,40383,40204,40016,39828,40094,39206,39751,39306,39439,38772,38473,38370,37862,37765,37340,37534,37645,36861,36290,35619,35505,35554,35249,35028,35240,34836,34734,34586,34589,34231,34114,34690,34605,34464,34756,34718,34879,35291,35334,35206,35454,36017,35883,35768,35581,35752,35400,35356,35021,34818,34864,34782,34572,34519,34378,33357,32657,31514,31162,30615,29941,29221,28569,27259,27215,26516,26140,26326,26523,26349,26406,26256,26228,26284,26218,26431,26464,26430,26430,26654,26487,26384,26011,25908,25805,25637
"67","59","    Other general merchandise stores","KS45290",19787,19967,19709,19994,20024,20030,20128,19961,20034,19755,19735,19852,20054,20180,20272,20429,20255,20548,20581,20718,21057,21334,21432,21457,21285,21720,21964,22294,22470,22569,22764,23087,23339,23367,23646,23921,24187,24342,24376,24474,24640,24991,25162,25296,25533,25590,25644,25892,26066,26264,26894,26735,27209,27460,27602,28090,27765,28402,28359,28283,28747,28963,28922,29250,30049,29720,30511,30876,31131,31529,32034,32261,32482,32766,33058,33443,33468,33647,34280,34096,34611,35093,35063,35355,35551,36087,36672,36711,36802,37452,37272,37631,38073,38095,39001,39619,39723,39796,40084,40943,41381,41231,40770,41699,41870,41711,41978,42096,42277,42076,42488,41379,42264,42788,43413,43900,43843,44347,44266,44353,44476,44752,44840,44843,45272,44981,44565,44792,44706,44709,44565,45062,45893,45521,44228,44924,44658,44562,44703,44529,44714,44781,45028,44463,44582,44296,44413,44210,44116,44015,44036,43614,43344,43815,43912,43769,42711,42244,43629,43834,43643,43901,44095,44233,44679,44198,43981,44199,44102,44060,45460,45339,45294,45826,45536,45973,45944,45918,46106,46609,47279,48174,48628,49075,50255,50459,51250,52098,52400,53402,53475,54634,56030,55560,55457,55784,55848,55859,56252,56172,56625,56805,57026,57170,57565,57646,57890,57746,57945,57992,58329
"68","60","  Other retail stores","KS44X0",70814,72003,71708,72458,73292,73699,74782,74062,75662,76263,76590,76848,77177,78303,80157,80616,80644,81646,82116,82461,82778,82795,83742,85084,85683,85158,86013,86489,86563,87289,86930,87159,87726,87973,88148,88804,88150,88413,89067,88477,89907,90130,89723,90610,90313,90590,90805,90650,90643,90886,90280,90638,90363,89911,90543,91144,90710,90448,89861,90294,90544,90016,89661,89408,89842,90391,90515,90251,90816,89747,89420,89514,90435,90772,91218,91127,90782,90405,90958,90174,90269,90685,91614,90896,90632,90806,91612,91877,91683,92062,92162,92745,93275,93464,93927,94262,94487,94873,94288,94634,94724,94854,94298,94477,94555,94043,94631,95040,96160,95985,96450,96415,96746,97252,96166,97556,98165,98669,98653,99107,98948,99545,99746,98954,100458,100621,100916,101353,100919,101111,100031,100920,100897,100389,99903,99455,99371,98911,99348,98709,98243,99037,98606,98631,98313,98036,97053,97139,95958,95748,95862,95483,94087,94096,93915,94243,93897,93866,94204,94983,94474,94753,94920,95197,95511,95136,95033,95638,95490,94922,95538,95243,95164,95281,94717,95273,94945,94420,95123,95093,94359,94837,95123,95434,96240,96116,96577,96588,96637,96934,97294,97051,98181,98347,97670,98336,98590,98862,99581,100053,100170,100320,101228,101199,102176,102268,102160,102241,102267,102456,102716
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
