"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"135","127","        Flowers, seeds, and potted plants","DFLORX0",24592,24590,25877,26452,26812,24807,26067,26742,26289,26482,25550,25290,26312,26335,26122,25742,26235,25650,26127,26582,25573,26791,27162,27052,27992,29197,29251,30654,31443,30967,30590,31281,31846,31213,31276,30570,29675,28964,29429,26721,25773,26118,25406,25379,25269,26630,26075,26544,26429,25613,26057,26441,27574,27657,28631,28544,28424,27787,26142
"136","128","        Film and photographic supplies","DFLMRX0",2624,2650,2625,2761,2688,2750,2781,2945,2819,2696,2646,2576,2627,2687,2737,2726,2666,2673,2720,2747,2725,2760,2701,2634,2594,2534,2456,2387,2415,2279,2209,2157,2054,1917,1838,1817,1817,1875,1826,1737,1687,1601,1544,1568,1587,1624,1598,1658,1661,1643,1633,1563,1568,1514,1489,1437,1427,1436,1427
"137","129","      Household supplies (parts of 32 and 36)","DHOURX0",87005,87189,87658,89349,89367,88694,87982,88321,88759,89194,89034,89527,90502,90349,90894,93097,95113,96391,98466,100388,101164,101466,102778,103341,104024,105493,106472,108309,109445,108842,108799,109849,110391,110385,111501,111664,110700,111532,110960,107409,105249,104590,104581,106258,107438,109157,109836,111543,112738,114555,114754,114325,116081,117345,119247,120160,122802,123194,125935
"138","130","        Household cleaning products","DCLERX0",34427,34325,34305,34865,34320,34471,34281,34382,34015,34151,34308,34507,34330,34368,34338,34841,34853,35128,36013,35935,36065,36148,36301,36731,36921,36975,36778,36617,36955,36647,36148,36034,35837,35671,35619,35726,35583,35788,35676,34129,33558,33251,33086,33182,33691,34285,34103,34509,34613,35498,35233,34487,35084,35313,35587,35653,36090,36387,37001
"139","131","        Household paper products","DPAPRX0",34219,34666,34337,34950,34649,34083,33517,33623,34237,34574,34439,35375,35644,35554,36060,36359,37000,36879,37157,37375,37112,37144,36485,36548,36459,37035,37235,37787,37264,36445,36454,36454,36242,36210,36269,35936,35602,35532,35181,33467,32845,32641,32619,33047,33310,33203,32652,32838,33357,33831,33683,33163,33159,33084,33115,33034,33189,32894,33386
"140","132","        Household linens","DLINRX0",14442,14355,14755,15132,15516,15404,15433,15618,15687,15717,15750,15583,16192,16083,16142,17103,18148,18651,19186,20325,20867,21029,22060,22040,22433,23079,23792,24710,25510,26025,26470,27468,28225,28362,29253,29493,29260,29758,29749,29941,29137,28893,28996,29875,30257,31308,32624,33572,34041,34193,34942,35668,36703,37715,39230,39802,41701,41934,43115
"141","133","        Sewing items","DSEWRX0",1106,1115,1141,1155,1185,1227,1188,1170,1192,1192,1208,1269,1276,1275,1289,1350,1306,1351,1366,1336,1381,1343,1369,1364,1377,1369,1370,1394,1420,1359,1368,1323,1358,1400,1341,1352,1325,1367,1320,1330,1311,1286,1239,1279,1282,1270,1297,1298,1259,1299,1292,1271,1305,1322,1297,1373,1432,1433,1469
"142","134","        Miscellaneous household products","DMHPRX0",7570,7674,7690,7818,7882,7603,7467,7359,7550,7567,7278,7045,7050,7097,7179,7202,7253,7623,7898,8151,8221,8245,8532,8693,8733,8813,8861,9180,9394,9201,9067,9075,9071,9051,9196,9271,9041,9146,9077,8528,8394,8519,8641,8878,8893,9095,9221,9428,9580,9827,9754,9977,10147,10325,10594,10932,11241,11445,11940
"143","135","      Personal care products (part of 118)","DOPCRX0",67899,67988,68285,70455,70525,71701,72474,73421,72773,73764,73838,75530,76310,76268,75991,76666,78441,80320,83355,84452,85486,86363,87811,88701,91228,91736,92155,94398,96366,97494,98047,98652,99979,100755,102502,102491,103098,104271,103925,101498,99969,99396,99510,101477,102772,104986,106358,108889,109318,111440,113190,113132,114370,114913,115446,116705,117621,118161,119025
"144","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",36307,36422,36803,38325,37869,38822,39108,39469,39355,40133,40488,41801,41988,41747,41443,41823,42997,44059,45755,46239,46774,47485,48281,48666,50077,50190,50331,51732,52854,53178,53387,53685,54675,55168,56147,56033,56570,57144,57097,56132,55690,55044,55131,56323,56460,57965,59025,60493,60577,61931,63166,63058,63639,64064,64117,64808,65224,65727,66079
"145","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRX0",29092,29020,28832,29336,29850,29937,30368,30892,30292,30402,30008,30217,30730,30856,30875,31099,31604,32276,33447,34011,34448,34519,35061,35502,36473,36795,37064,37762,38468,39312,39635,39916,40148,40426,41109,41214,41321,41837,41604,40292,39324,39464,39445,40114,41214,41798,42069,43009,43280,43895,44328,44332,44937,45040,45445,45924,46275,46291,46778
"146","138","        Electric appliances for personal care","DEAPRX0",2638,2675,2758,2882,2922,3032,3098,3172,3213,3294,3374,3510,3603,3687,3706,3773,3854,3993,4160,4215,4278,4358,4467,4534,4678,4756,4769,4907,5046,5016,5040,5067,5164,5168,5252,5252,5213,5297,5230,5074,4954,4888,4934,5041,5098,5222,5264,5388,5460,5619,5710,5755,5803,5823,5891,5981,6129,6160,6178
"147","139","      Tobacco (127)","DTOBRX0",123747,121850,120424,119513,119120,118737,118313,117794,117562,116811,115960,115003,113158,111114,109670,108831,108666,108975,109532,110290,111729,112299,112475,112251,111028,110770,110886,111398,114148,112425,110859,116272,111386,110349,110866,110155,105705,107612,108108,105972,106595,97552,97565,96368,97976,95290,94920,95159,94557,96347,93970,92796,94035,93591,91371,92314,89218,89328,87531
"148","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",62174,62611,62319,63905,64082,65269,65267,65647,63788,63151,61947,61275,61404,61485,61378,61804,61100,61205,61862,62246,63547,63299,63147,62498,62955,63069,63526,63923,64605,63438,63204,63163,62165,60863,60710,61564,60684,62459,61431,58322,57995,57445,58265,58989,60319,61640,62853,64320,65820,66568,67207,68678,68263,68787,70298,71118,71437,72490,74113
"149","141","        Newspapers and periodicals","DMAGRX0",41803,42152,41796,42707,42322,43218,43081,43825,42976,42658,41708,41163,41279,41681,41522,41879,41198,40739,40839,40746,41451,41066,40966,40229,40412,40250,40486,40710,41161,40065,39563,39057,38250,37109,37018,37917,37122,38635,37909,35701,35211,34833,35497,36175,37291,38097,39170,40097,41331,41955,42377,43483,42722,43116,44327,44805,44673,45363,45921
"150","142","        Stationery and miscellaneous printed materials","DSTYRX0",20720,20825,20851,21501,21958,22276,22384,22118,21175,20873,20587,20440,20460,20202,20237,20318,20254,20733,21246,21682,22269,22387,22336,22398,22665,22925,23142,23313,23545,23452,23698,24133,23929,23744,23681,23661,23558,23847,23539,22625,22783,22612,22770,22814,23026,23542,23679,24218,24480,24600,24817,25178,25545,25673,25954,26299,26788,27147,28281
"151","143","      Net expenditures abroad by U.S. residents (131)","DNFRRX0",6128,5982,6621,6278,6651,7602,7579,7102,7354,7888,7804,7858,8862,8614,8210,7634,8286,7854,7306,6629,6819,7105,6595,6091,5699,5831,6068,6260,6638,5188,5823,4874,4681,5923,5015,5370,5178,4528,4544,6246,6435,6801,6597,6244,5549,5763,5629,6031,7046,6437,7124,6740,6893,6800,7002,6161,6629,6494,6420
"152","144","        Expenditures abroad by U.S. residents","DABDRX0",7555,7833,8049,7773,8242,8986,9249,8668,9061,9773,9507,9418,10602,10164,9889,9542,9930,9753,9551,8688,8885,9172,8647,8278,7926,8120,8343,8635,8779,8058,8103,8064,8391,8343,8157,7763,7780,7738,7956,10052,9874,9542,9420,9144,9921,10667,10528,10220,9995,9614,9912,10054,9810,9574,9638,8920,9727,9822,9636
"153","145","          Government employees' expenditures abroad","DARTRX0",7256,7524,7732,7466,7916,8631,8885,8325,8704,9386,9132,9046,10184,9762,9500,9165,9522,9332,9125,8290,8470,8736,8227,7865,7520,7694,7897,8166,8289,7599,7629,7580,7873,7817,7637,7266,7285,7249,7455,9420,9251,8940,8824,8566,9294,9993,9863,9575,9363,9007,9286,9419,9190,8969,9029,8357,9112,9201,9027
"154","146","          Private employees' expenditures abroad","DARSRX0",299,309,318,307,326,355,364,342,358,386,375,372,418,402,389,377,408,420,426,399,415,436,420,412,405,425,446,469,490,460,474,485,518,526,520,497,495,489,501,632,623,603,596,578,627,674,665,645,631,607,626,635,620,605,609,563,614,620,609
"155","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1427,1851,1428,1495,1591,1385,1669,1566,1707,1884,1703,1559,1740,1550,1679,1909,1644,1899,2244,2059,2066,2068,2051,2186,2227,2289,2275,2375,2141,2870,2280,3190,3710,2420,3142,2393,2601,3211,3412,3806,3439,2742,2823,2900,4372,4904,4898,4189,2949,3177,2788,3314,2918,2774,2636,2760,3098,3328,3215
"156","148","Services","DSERRX0",5253000,5310972,5375014,5440045,5523947,5587952,5641897,5692436,5716324,5731854,5739217,5757613,5794649,5829633,5853537,5882148,5909200,5943034,5985768,6024465,6084070,6123749,6173440,6235171,6271944,6328258,6382134,6415415,6457824,6504468,6536521,6580240,6620316,6640716,6664335,6676270,6703598,6710570,6696621,6691737,6655296,6634652,6639525,6648506,6668343,6707235,6744608,6788523,6818228,6854132,6896632,6915511,6951205,6981360,6993443,7004680,7031100,7051472,7052224
"157","149","  Household consumption expenditures (for services)","DHCERX0",5115790,5172694,5235822,5298982,5377177,5440774,5487461,5532097,5554936,5565795,5569165,5582763,5615734,5644135,5658520,5681233,5708246,5738739,5780675,5819217,5875257,5915994,5966642,6028850,6073665,6124366,6177130,6198315,6231223,6269238,6296870,6342485,6381627,6405357,6425047,6424811,6444799,6441314,6418697,6403718,6376214,6361763,6366342,6369592,6389203,6425634,6467125,6513546,6544485,6578784,6610136,6634727,6667980,6688315,6698036,6703226,6743181,6766101,6765480
"158","150","    Housing and utilities","DHUTRX0",1531197,1546073,1562209,1562348,1570511,1592101,1606656,1632833,1641322,1639633,1646294,1644905,1644706,1651617,1654422,1664544,1668048,1673011,1675315,1687556,1698335,1710582,1720338,1742366,1760857,1782259,1802123,1808224,1803771,1824542,1835961,1828474,1837500,1840125,1845439,1840048,1854624,1860228,1854743,1870817,1874043,1877955,1881417,1890556,1897157,1896528,1906495,1916842,1918871,1925078,1937327,1932353,1927801,1949202,1955465,1941917,1964472,1964791,1953702
"159","151","      Housing","DHSGRX0",1263136,1273153,1283015,1292750,1302773,1313952,1325978,1339226,1353117,1364357,1370137,1371126,1369242,1368328,1369456,1372632,1377744,1383066,1390595,1399334,1408373,1420107,1434294,1450990,1469960,1487869,1502372,1514170,1524143,1531814,1537539,1541051,1542286,1544260,1548276,1554145,1561644,1568370,1574504,1580019,1584429,1588069,1593703,1600081,1602718,1605271,1610063,1616932,1625539,1634119,1641158,1647208,1652911,1658301,1660764,1661676,1663079,1664726,1666419
"160","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",302385,303379,304104,304554,304883,305605,306730,308360,310380,312122,312976,313120,312750,311461,309220,306009,302700,300237,299119,299138,299908,300980,302088,303234,304535,306083,307565,309145,311138,314028,318042,323165,328926,333623,337009,339013,340031,341781,344792,349082,354181,358353,361839,364341,366251,369256,373629,379354,386173,392725,398427,403398,407753,411340,413454,414429,415980,418032,420103
"161","153","          Tenant-occupied mobile homes","DTMHRX0",8227,8122,8096,8151,8289,8473,8714,9003,9325,9608,9831,9987,10080,10151,10216,10266,10284,10284,10283,10274,10262,10253,10245,10240,10225,10144,9975,9739,9439,9145,8878,8639,8427,8202,7960,7697,7419,7158,6923,6710,6539,6510,6644,6939,7352,7662,7816,7816,7698,7600,7552,7555,7595,7622,7627,7611,7586,7561,7536
"162","154","          Tenant-occupied stationary homes","DTSPRX0",288791,289811,290476,290775,290866,291302,292089,293333,294938,296314,296880,296818,296312,294906,292543,289219,285800,283239,282019,281940,282622,283607,284636,285712,286954,288500,290063,291784,293974,297079,301310,306650,312631,317558,321178,323424,324690,326685,329934,334455,339759,344000,347378,349607,351136,353851,358068,363769,370667,377292,383050,388054,392425,396028,398171,399181,400763,402846,404947
"163","155","          Tenant landlord durables","DTLDRX0",5651,5715,5784,5857,5936,6017,6098,6181,6264,6340,6396,6437,6470,6504,6545,6588,6658,6738,6829,6926,7023,7115,7199,7274,7345,7425,7510,7603,7703,7782,7834,7858,7856,7856,7867,7888,7918,7933,7932,7916,7883,7844,7817,7794,7760,7737,7736,7755,7788,7802,7785,7739,7673,7624,7585,7565,7556,7546,7537
"164","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",943070,951876,960523,969030,977717,987356,997774,1009280,1021356,1031040,1036076,1036964,1035440,1035770,1039014,1045198,1053376,1060977,1069485,1078132,1086396,1097035,1110055,1125512,1143079,1159362,1172326,1182513,1190492,1195299,1197060,1195526,1191091,1188431,1189089,1192963,1199456,1204459,1207605,1208851,1208184,1207676,1209841,1213737,1214476,1214034,1214459,1215605,1217400,1219426,1220745,1221790,1223103,1224869,1225171,1225058,1224882,1224454,1224045
"165","157","          Owner-occupied mobile homes","DOMHRX0",34688,34743,34794,34850,34995,35521,36565,38128,40079,41608,42455,42552,41998,41424,40978,40624,40378,40144,39902,39630,39347,39102,38892,38721,38542,38126,37393,36421,35215,34011,32874,31819,30860,29983,29195,28484,27862,27392,27096,26964,26942,26828,26588,26224,25795,25499,25359,25370,25509,25641,25736,25801,25829,25815,25760,25670,25568,25466,25363
"166","158","          Owner-occupied stationary homes","DOSTRX0",908387,917138,925733,934185,942727,951840,961214,971157,981281,989436,993625,994416,993446,994350,998041,1004578,1013002,1020837,1029587,1038505,1047054,1057937,1071167,1086795,1104541,1121241,1134937,1146096,1155279,1161290,1164187,1163709,1160232,1158449,1159893,1164479,1171595,1177067,1180510,1181887,1181242,1180848,1183253,1187513,1188681,1188535,1189099,1190235,1191891,1193785,1195009,1195989,1197274,1199055,1199411,1199388,1199315,1198988,1198682
"167","159","        Rental value of farm dwellings (22)","DFARRX0",17340,17510,18016,18877,20021,20930,21429,21468,21119,20828,20679,20660,20730,20776,20833,20895,20946,20966,20980,20960,20901,20856,20840,20846,20861,20874,20886,20889,20879,20868,20865,20863,20857,20846,20841,20834,20818,20798,20784,20768,20746,20721,20702,20685,20668,20649,20628,20605,20571,20533,20496,20458,20415,20387,20384,20402,20402,20390,20382
"168","160","        Group housing (23)","DGRHRX0",1269,1265,1263,1262,1261,1259,1255,1249,1239,1221,1195,1161,1122,1094,1080,1079,1107,1136,1153,1156,1149,1141,1137,1136,1136,1139,1145,1152,1163,1178,1198,1225,1254,1277,1291,1296,1293,1292,1295,1302,1311,1318,1323,1323,1326,1334,1344,1358,1376,1404,1444,1495,1555,1603,1637,1656,1667,1679,1691
"169","161","      Household utilities","DUTLRX0",269706,274951,281858,270727,268448,279992,282428,296264,289975,275886,276527,273714,275575,284459,286269,294103,292075,291511,285566,289234,290959,291296,286213,291769,291026,294520,299946,294021,279683,292559,298218,287060,295034,295732,297049,285673,292731,291625,280619,290717,289612,289898,287703,290476,294423,291277,296404,299872,293393,291084,296207,285326,275080,291083,294885,280284,301523,300201,287494
"170","162","        Water supply and sanitation (25)","DWRSRX0",75197,75811,76255,76487,76574,76588,76714,76933,77104,77320,77530,77720,77777,77996,78296,78680,79004,78633,77958,77121,76580,76693,76606,76373,75988,75582,75610,76349,77130,77594,77426,77080,76692,76485,76350,76101,76216,76504,76314,76007,75304,74519,73761,73572,73285,73346,73382,73432,73438,73396,73570,73375,73260,72992,72684,72432,72172,72042,71993
"171","163","          Water supply and sewage maintenance","DWSMRX0",60547,60937,61220,61358,61354,61391,61523,61731,61982,62258,62570,62903,63234,63536,63815,64066,63821,63295,62780,62193,61526,60951,60504,60175,59931,59813,59840,59990,60212,60326,60311,60146,59846,59584,59428,59359,59336,59265,59148,58964,58703,58417,58135,57848,57411,57029,56826,56802,56896,56940,56907,56790,56593,56445,56388,56415,56381,56305,56240
"172","164","          Garbage and trash collection","DREFRX0",14755,14969,15123,15212,15295,15275,15273,15288,15219,15170,15081,14956,14707,14637,14661,14791,15317,15451,15292,15046,15151,15792,16130,16220,16084,15805,15808,16379,16920,17259,17111,16935,16847,16898,16918,16741,16875,17223,17152,17032,16599,16105,15628,15723,15872,16327,16576,16655,16564,16475,16698,16618,16713,16586,16312,16005,15755,15698,15717
"173","165","        Electricity and gas","DELGRX0",194587,199232,205736,194361,192039,203596,205856,219249,212828,198874,199229,196226,197993,206610,208100,215534,213192,212985,207762,212191,214429,214655,209686,215428,215064,218902,224184,217683,203099,215112,220748,210167,218352,219241,220660,209722,216524,215170,204687,214757,214326,215367,213928,216912,221186,217937,223118,226625,220007,217693,222751,211723,201170,218189,222539,207409,230170,228933,215594
"174","166","          Electricity (27)","DELCRX0",139696,142316,148449,140114,140504,149600,147580,152491,151594,145170,140452,141960,145245,152081,154204,154474,154910,154540,151270,155445,158096,157607,152336,160106,158859,160937,172090,164756,153360,163288,165519,158863,161785,161756,166647,160173,161542,161012,156851,161296,157704,155035,154622,160671,165320,163360,168744,168591,165998,164790,165475,157237,154453,162750,163327,160004,165335,158527,158405
"175","167","          Natural gas (28)","DGHERX0",54149,56272,56539,53726,51063,53553,57712,65478,60341,53477,57864,53483,52128,54033,53438,60498,57722,57745,55846,56237,56031,56650,56640,55416,56039,57607,53685,53701,50380,52769,55794,52099,56760,57520,54776,50539,55255,54498,49200,54066,56757,60336,59292,56115,55773,54516,54299,58077,53912,52772,57306,54501,46005,55567,59867,46633,66079,72490,57969
"176","168","    Health care","DHLCRX0",1167289,1171920,1181428,1192613,1199568,1215413,1223682,1236585,1254419,1268636,1287347,1307909,1333862,1353259,1363879,1371309,1379637,1386684,1397204,1406561,1416198,1432786,1453037,1467043,1473802,1483295,1501563,1503115,1511958,1519805,1527960,1541257,1549487,1556273,1570401,1576769,1593680,1596752,1600080,1604790,1616025,1628555,1634899,1630042,1626026,1640900,1657072,1672761,1681699,1692690,1689212,1709559,1730073,1731353,1741108,1750936,1756469,1771922,1775866
"177","169","      Outpatient services","DOUTRX0",510234,513509,518313,523966,530262,537826,543862,551576,558608,566701,575757,584955,595818,605964,614836,622769,627780,634979,642749,650101,657262,664964,672869,677908,683902,689101,694022,698219,701819,706505,710198,713772,714072,717888,723484,729823,735857,741464,744831,746705,743962,744388,744928,745691,748156,749268,752004,756242,763092,767827,770834,775045,782155,787603,789370,796317,796093,802830,807397
"178","170","        Physician services (44)","DPHYRX0",250450,252129,255006,258971,263707,268197,272261,275806,278893,282653,287389,293031,299498,306065,311917,317658,321554,326604,331444,336552,340442,345507,350282,354770,358467,361966,364756,366841,370828,374936,377495,378509,376223,376110,378431,383133,387883,392361,395273,396438,394108,392592,392361,392289,393036,392114,392789,394782,398776,401779,403321,404951,408884,411594,411515,417052,418731,423450,425405
"179","171","        Dental services (45)","DDENRX0",90890,91355,92041,92898,93866,94876,95934,97013,98085,99263,100594,102057,103535,104480,104837,104558,103554,102906,102939,103532,104371,105178,105700,105905,105766,105485,105115,104656,104269,104052,104062,104343,104689,104914,105108,105368,105474,105268,104892,104391,103075,102047,101556,101644,101664,101461,101795,101852,102049,101638,101227,101313,101942,102142,102181,100676,97758,96533,96490
"180","172","        Paramedical services (46)","DPMSRX0",171514,172633,173836,174597,175105,177109,177996,181087,183983,187144,190113,192168,195015,197516,199999,202219,204065,206600,209334,210900,213309,215086,217612,217881,220203,222080,224485,226973,226909,227655,228750,231011,233270,236984,240045,241386,242537,243858,244687,245890,246780,249745,251011,251760,253463,255709,257445,259643,262311,264470,266367,268886,271439,273997,275831,278825,279969,283330,286036
"181","173","          Home health care","DHHCRX0",52078,51858,51684,50792,49436,49713,48913,49183,50062,51077,51699,51148,51266,51339,51424,52501,53372,54740,55967,56046,56546,57123,58121,58331,58680,59513,60988,62107,62175,62083,62250,63129,64401,66111,67547,68076,68620,69534,70610,71382,71740,73264,74364,74816,74989,75653,76526,77386,78698,79554,79808,80353,80786,82124,83417,85061,86061,88075,89851
"182","174","          Medical laboratories","DMLBRX0",16634,17008,17479,18034,18661,19325,20023,20747,21465,22049,22469,22717,22832,23012,23318,23742,24262,24783,25322,25845,26226,26644,26961,27264,27379,27574,27818,28180,28605,28992,29197,29228,28884,28827,29121,29736,30336,30944,31480,31876,31934,32168,32412,32453,32520,32546,32560,32927,33576,33730,33801,33885,33904,33698,33515,33190,33018,33053,33119
"183","175","          Other professional medical services","DOMDRX0",102700,103689,104609,105773,107128,108174,109225,111351,112597,114120,116063,118549,121266,123595,125753,126400,126788,127353,128264,129229,130767,131530,132718,132444,134331,135160,135803,136784,136199,136649,137376,138730,140069,142135,143453,143621,143605,143386,142598,142631,143106,144313,144234,144493,145953,147506,148355,149331,150057,151207,152766,154644,156727,158146,158873,160536,160855,162180,163068
"184","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",67782,68206,68455,68852,69379,69669,70066,71659,72461,73334,74329,75533,76683,77611,78661,78558,79194,79916,80785,81576,82843,83242,83990,83230,84753,85353,85981,87200,87393,88598,89618,90832,91913,93679,94761,94855,95403,95826,95605,96023,96248,97325,97173,97372,98671,99772,100451,100755,100639,101222,102285,103927,106165,107646,108392,109513,109523,110156,110780
"185","177","            All other professional medical services","DOMORX0",34919,35484,36155,36921,37749,38506,39160,39693,40137,40787,41735,43016,44584,45985,47093,47843,47595,47438,47479,47654,47925,48288,48729,49214,49579,49808,49822,49584,48806,48051,47758,47898,48156,48456,48693,48766,48202,47560,46993,46608,46858,46988,47061,47121,47282,47734,47904,48576,49418,49985,50481,50717,50561,50500,50481,51023,51332,52024,52288
"186","178","      Hospital and nursing home services","DHPNRX0",660405,661590,666227,671679,671879,680114,682035,686985,697945,703848,713431,724814,740020,749109,750404,749439,752645,752181,754722,756530,758857,767761,780193,789230,789852,794103,807592,804825,810084,813226,817692,827450,835442,838399,846947,846931,857817,855247,855189,858023,872049,884169,889973,884362,877910,891631,905037,916472,918572,924820,918394,934450,947815,943742,951664,954614,960284,968991,968458
"187","179","        Hospitals (51)","DHSPRX0",534596,536711,541054,546466,547035,553978,556689,561776,572130,578139,588284,598806,613184,622354,623195,620694,621809,619645,621778,624059,626687,634410,644682,653390,655006,657159,668514,664776,669181,673773,678410,688485,693295,695877,702143,701548,711177,708866,710344,713711,728156,738092,743237,736849,730653,743170,755388,764443,767093,772149,764622,782549,796799,794541,801835,803603,808005,818327,817924
"188","180","          Nonprofit hospitals' services to households","DNPHRX0",360317,362565,366159,370026,369223,373461,373750,375692,381086,383303,390036,397664,408290,415421,415540,413208,413964,411734,413089,414672,417237,424454,434390,443678,445412,446018,455256,451010,452355,455158,459186,465591,471318,474663,476236,474002,479412,476234,476491,475670,486750,493130,496641,492556,487718,496991,507157,514174,513156,514375,504179,518522,529687,524637,530689,528252,532729,542166,542371
"189","181","          Proprietary hospitals","DFPHRX0",61039,60587,60576,60975,60852,61653,61718,62062,63985,65228,66719,68372,71540,73706,75000,76054,77170,77320,77702,77683,76908,76997,77466,77606,78672,80759,82516,81796,82970,83119,82491,85377,84080,82892,86945,87775,91051,90760,90532,93023,94659,97267,98873,97499,95270,96638,97007,97567,100021,102827,104604,107452,109996,112332,113149,116983,116559,117063,116036
"190","182","          Government hospitals","DGVHRX0",113243,113562,114322,115468,116963,118867,121223,124024,127061,129610,131530,132772,133356,133228,132656,131434,130676,130592,130988,131705,132542,132959,132827,132106,130923,130382,130741,131969,133856,135497,136734,137519,137898,138323,138962,139772,140714,141872,143322,145018,146747,147695,147724,146794,147665,149541,151224,152702,153916,154947,155839,156576,157115,157571,157996,158367,158715,159098,159516
"191","183","        Nursing homes (52)","DNRSRX0",125910,124924,125194,125200,124823,126113,125304,125159,125767,125669,125149,126032,126903,126861,127301,128808,130888,132587,132994,132517,132216,133395,135556,135872,134865,136974,139110,140105,140966,139477,139289,138927,142153,142527,144819,145403,146653,146392,144848,144311,143893,146074,146735,147517,147272,148467,149644,152028,151477,152671,153785,151864,150939,149113,149732,150930,152209,150498,150367
"192","184","          Nonprofit nursing homes' services to households","DNPNRX0",44226,43972,44200,44348,43971,44504,44300,44374,44909,45011,44933,45325,45584,45587,45752,46315,47116,47692,47747,47507,47222,47550,48198,48810,48578,49880,50552,50254,50671,49583,50144,50337,51015,50873,51064,51267,50819,50671,49976,49542,49127,51322,51547,51489,51209,50805,50702,51585,51060,51036,50608,50969,50901,50118,51674,50297,50945,50299,50191
"193","185","          Proprietary and government nursing homes","DFPNRX0",81684,80953,80995,80853,80853,81609,81004,80785,80859,80658,80216,80707,81319,81274,81549,82493,83773,84895,85248,85010,84994,85845,87358,87063,86288,87095,88558,89851,90296,89894,89146,88591,91138,91654,93756,94136,95833,95721,94872,94769,94766,94753,95188,96028,96063,97661,98942,100443,100416,101634,103176,100894,100038,98995,98057,100633,101263,100198,100176
"194","186","    Transportation services","DTRSRX0",310529,314364,320654,324309,328635,332272,334500,335721,336180,334717,328462,322770,323324,320300,319786,319871,321660,320561,323811,325761,329028,331804,331776,333485,333905,334982,335934,333987,333245,335219,335063,338587,340306,340336,338947,336445,332118,326510,319565,306938,296540,291074,286952,284213,284593,286171,288039,289634,290431,293785,296062,296965,296549,298046,298774,298590,300760,300824,301780
"195","187","      Motor vehicle services","DMVSRX0",235151,239027,242890,245108,247548,249130,249941,250698,250516,250055,247741,245213,241278,238640,236851,236084,236861,237133,238616,239549,240056,241542,243101,244809,246547,247353,247903,248573,248941,248416,248954,250383,251242,252193,252103,249434,246500,242789,236958,227952,217551,210946,207497,205691,207148,209699,211630,213846,215672,217511,220155,221539,221858,223072,224970,223579,222481,222273,223473
"196","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",167615,169002,170431,171802,173038,174228,175423,176572,177509,177886,177660,176772,175414,174582,174614,175471,176899,178093,179112,179725,179673,180025,180693,181536,182447,182810,182594,181628,179198,177238,176567,177108,178111,178303,177327,175075,171486,167478,163431,159210,154096,150165,147258,145365,146989,148735,150222,152040,153068,155021,156856,157628,157201,157659,158311,155543,154255,151340,150770
"197","189","        Other motor vehicle services (61)","DOVSRX0",66784,69050,71281,72093,73224,73622,73319,73006,72033,71292,69399,67882,65492,63812,62132,60639,60053,59201,59654,59965,60496,61593,62463,63314,64132,64569,65321,66926,69695,71128,72341,73234,73085,73854,74769,74362,75064,75411,73629,68765,63447,60781,60239,60333,60158,60966,61407,61792,62607,62450,63260,63884,64678,65465,66772,68327,68567,71557,73494
"198","190","          Motor vehicle leasing","DMVLRX0",38739,40434,42136,42634,43472,43685,43288,42906,41981,41327,40083,38652,36989,35632,34184,32840,31966,30753,30654,30379,30304,30836,31286,31868,32604,32945,33493,35013,37545,38712,39536,40281,40083,40782,41342,41047,41914,42464,40950,37415,33623,31662,31256,31329,30869,31386,31787,31898,31809,31207,31545,32248,33095,34453,35860,37290,38423,40938,42781
"199","191","            Auto leasing","DALERX0",21937,22703,23298,23187,23184,23118,23045,23449,23688,23892,23342,22499,21294,20405,19700,19083,19019,18365,17952,16997,15872,15382,15021,15112,15445,15785,16498,17821,19653,20842,21670,22394,22584,23230,23794,24036,25032,25891,25315,23427,21249,20290,20379,20854,20906,21625,22182,22428,22428,22075,22373,22907,23605,24615,25614,26643,27304,28989,30097
"200","192","            Truck leasing","DTLERX0",16804,17733,18840,19450,20291,20571,20247,19460,18295,17436,16743,16154,15696,15228,14485,13758,12947,12387,12704,13384,14435,15459,16271,16762,17165,17167,17000,17197,17896,17875,17870,17891,17503,17556,17551,17013,16884,16575,15636,13988,12374,11372,10878,10475,9963,9761,9606,9470,9381,9132,9172,9340,9489,9838,10246,10647,11119,11949,12684
