"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"42","31","  Housing, utilities, and fuels","DHUFRX0",1239365,1250528,1240500,1255276,1261403,1262152,1271165,1278015,1265499,1262890,1278765,1279411,1281099,1290213,1288235,1286250,1288962,1286470,1280076,1289285,1285366,1292839,1297282,1295736,1302889,1298594,1293867,1312996,1311693,1307147,1317564,1316068,1322696,1340965,1327711,1340165,1324027,1340026,1348089,1343173,1355196,1365447,1361778,1364668,1368885,1362469,1361540,1370288,1379630,1374381,1389338,1391274,1393908,1402043,1408874,1408942,1410356,1411129,1402136,1410746,1415216,1414475,1407407,1421971,1432171,1440653,1436394,1445523,1448754,1448685,1462500,1488064,1468701,1473661,1482415,1470505,1474751,1474464,1479022,1478947,1479831,1486301,1470168,1477705,1475975,1476634,1482567,1482920,1489827,1484047,1488826,1487346,1488557,1500532,1497555,1495140,1503808,1504555,1491270,1509096,1505795,1493757,1502700,1504243,1505376,1509687,1513032,1520588,1524269,1529841,1509475,1526424,1529211,1530902,1533406,1532536,1544992,1551606,1559939,1569620,1572667,1571912,1594431,1588379,1600623,1608998,1612031,1615493,1616106,1614740,1618519,1632509,1592427,1624539,1633733,1629176,1643451,1640410,1656935,1645106,1641016,1654038,1641662,1631397,1650635,1661710,1639189,1664243,1641228,1646779,1646561,1662389,1652798,1642869,1655824,1653280,1656080,1663651,1659635,1662383,1659937,1662290,1658941,1648664,1656591,1664428,1674987,1676452,1679435,1672044,1673645,1673377,1667865,1669215,1665963,1671805,1676178,1684606,1671183,1692155,1692007,1698619,1688107
"43","32","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",248708,244767,245483,246008,248972,250354,251552,250068,252020,250508,254766,255055,248265,253204,255664,257840,260083,260374,260544,259948,262171,264323,265454,266599,264974,268082,269062,268006,268150,270541,272800,274570,275333,276202,278729,279347,282890,283574,283758,284650,286699,289430,289722,291000,293259,295550,298813,300612,300409,305292,307894,304863,309135,311247,310419,315295,318792,319563,321327,327015,325537,329193,332039,330710,333116,332508,332231,334099,335085,336518,334683,332908,340553,336294,335945,338366,339923,339298,341132,343104,336050,341929,345668,349570,350952,353682,354491,354720,355168,354665,353955,356069,355194,358145,361542,363275,363165,357627,366460,365073,373020,376786,379793,384583,386852,387392,391481,391437,391597,392549,401475,398970,400377,401032,407784,406744,407943,408140,409292,416154,412577,415716,413876,419777,416403,424183,422169,426797,429781,435689,435553,433787,444760,443334,444169,442356,438978,440521,440325,442024,446419,444602,444582,450114,455884,451744,455915,451843,454976,451008,455158,457212,458325,457589,461339,459287,456508,452480,451778,456045,455413,453093,451769,446370,438499,433946,434422,429121,427899,429129,422958,421577,420365,419223,421400,425306,427248,429565,434710,436225,438043,444660,448821
"44","33","  Health","DHLTRX0",1074739,1078814,1084622,1082460,1087794,1087859,1088937,1094946,1095559,1098565,1098157,1103139,1102741,1095983,1108271,1113436,1113695,1119141,1118335,1121412,1126077,1132374,1135369,1145130,1143482,1145498,1146926,1149679,1152419,1159073,1165451,1169911,1173361,1178607,1184246,1189652,1198593,1199941,1203801,1207207,1208707,1217675,1218156,1222335,1222929,1223433,1229670,1228209,1233430,1236416,1236803,1239951,1242978,1243903,1241490,1252928,1258291,1265542,1278048,1284988,1267746,1269614,1284834,1297098,1303470,1306981,1306309,1313461,1319608,1323732,1328997,1342535,1338947,1345057,1349053,1349668,1363122,1365428,1377358,1388486,1388092,1403472,1407432,1417361,1430425,1435050,1439905,1445203,1446648,1461732,1461830,1460627,1468154,1470993,1474855,1474239,1481072,1484609,1489021,1488370,1482256,1497710,1497859,1505719,1507312,1507675,1519257,1519908,1518779,1513559,1526424,1533143,1539764,1544501,1552153,1558103,1565461,1568926,1570944,1575742,1583607,1594129,1589290,1595746,1596916,1597760,1603172,1607613,1610445,1608030,1609942,1620824,1624069,1627370,1631114,1633868,1633784,1635270,1631800,1632043,1632795,1640302,1650189,1660837,1662139,1670064,1677456,1676359,1675474,1678478,1678242,1682594,1686085,1688247,1689365,1696942,1703372,1702418,1710321,1718322,1720774,1720512,1722571,1720472,1723684,1723929,1726931,1721264,1739480,1739899,1741006,1747829,1747541,1757558,1753528,1751089,1756607,1758808,1765328,1767536,1771167,1769367,1770659
"45","34","  Transportation","DTRNRX0",674576,670707,681821,665223,673219,695476,676126,693563,696616,684375,698045,713477,697696,712023,719483,725657,724055,713562,719582,727577,724821,731362,733662,730741,754246,751210,761885,747297,743408,755408,769686,786617,768877,770778,790413,798237,778179,779842,783699,800405,824786,814933,804611,823017,843267,859371,855152,878665,842135,852087,851080,873090,882977,896260,891607,890072,887328,877452,876205,892425,904012,927288,912212,886543,896751,884959,884940,897468,916182,904639,896347,900298,897903,925105,913185,891346,899518,913336,906677,920933,887194,1021044,967496,906653,920863,938137,930306,950945,910518,932188,964558,986352,930809,915426,920137,960340,944246,926503,934892,955033,952205,957122,960514,996961,966946,962838,977173,968336,967227,969420,978316,968983,998211,952667,970457,968629,992726,982176,980702,991364,985653,971567,983181,1006495,970150,1006900,1056090,987766,946846,929540,947250,960693,965444,948945,950633,960394,947949,957948,979016,952015,962961,966708,962717,972400,972673,973490,969216,973727,978984,969695,963664,969491,980859,978233,965840,963260,950303,934066,940344,924228,914724,906616,872850,898569,869564,859721,852101,848770,860913,854440,852835,839086,855622,862689,876384,934561,836681,858020,865270,865411,855513,852940,881783
"46","35","  Communication","DCMCRX0",86995,87248,87672,88364,88883,89606,90458,91292,92178,92633,93470,94384,94595,95229,96050,96936,97870,98458,98789,99074,99708,100582,101447,102210,103181,104115,105035,105308,106068,107137,108818,109960,111119,112318,113296,114167,114609,115171,115740,116043,116749,117591,119369,120705,121543,121779,122804,123943,124764,126307,128254,130490,132560,134473,136609,138280,139256,140243,141773,143906,145243,147071,149487,152306,154612,156555,157917,159437,160094,161248,161941,162134,162759,162825,163803,164944,166560,167946,168190,168539,168324,168152,168514,169187,169431,169896,170077,171875,173357,172120,172019,172289,172212,172378,172565,173233,173816,174071,174505,175227,176076,176716,177245,177568,177721,178271,178976,179747,180401,181341,182632,184093,185466,186506,187422,188114,188584,188713,188667,188918,189275,189813,190429,191273,192120,192763,193188,193691,194262,194860,195395,196033,199048,200978,203031,204711,206160,207301,208058,209681,211955,214569,217009,219005,220271,221369,222467,223496,224232,224774,225080,225878,226995,228682,230533,231383,232082,232198,232195,232232,232497,232652,233171,233209,232722,231566,231581,230909,232405,233220,232666,231646,231037,231204,231108,231260,231558,232056,232986,233573,233988,234613,234784
"47","36","  Recreation","DRRLRX0",376372,373686,380064,379543,386090,392457,391288,396006,399990,399730,402551,405831,403799,405303,409236,413453,415970,421545,425340,425377,425858,430012,432344,437765,433900,440900,443917,445209,446781,449725,453934,456635,459055,461399,465835,467847,473321,476330,477432,482273,487068,489727,498742,502329,507092,512391,514085,520518,520765,529899,533800,538087,541963,546116,550426,557905,568055,571025,574168,583728,584072,590122,597608,597767,594668,596016,600953,602367,610327,609136,611857,612073,617266,613770,616385,618886,620752,620411,626420,628645,614044,626593,638534,641588,646782,649374,647184,654470,654021,653499,655617,658724,664047,665575,669772,674020,672501,669816,675085,679706,687795,696938,703084,714035,716399,720408,724425,729082,732927,738572,746191,743877,750112,751120,757997,763402,766800,769334,771881,780477,780311,794059,797829,802153,800359,804007,805621,813718,810323,824588,828784,827005,855414,848009,851564,856616,854414,854510,858298,864393,877846,882972,893214,902698,903402,900526,916695,909068,918588,917797,931449,934298,939247,945471,953461,950908,945788,946639,948038,956703,961549,964484,963134,955401,946074,933889,937700,930942,943913,948363,939093,938261,935641,937905,939228,948066,958233,955067,973511,972472,975119,986023,997790
"48","37","  Education","DEDURX0",164243,163580,163444,164017,164263,164372,164909,164755,165133,164969,165577,165771,166262,166167,166815,167595,168112,168234,168651,170172,169743,170294,170508,171380,171846,171446,171668,171704,172026,172476,172910,172945,173915,174462,175216,175350,175776,176726,176949,177195,177215,177689,177610,178312,178739,179110,179848,180714,180575,181312,181512,181775,181743,182026,182684,181433,182294,183485,184679,185500,184412,185967,186434,187269,187913,188426,189035,188752,189707,190131,190258,190081,189639,191848,192227,191814,192120,191546,191080,191260,190481,190329,189921,189747,189488,187469,187244,186982,186473,186162,186753,186763,186986,185815,185507,185100,185896,185053,184780,185521,185773,186574,185912,185914,185241,184450,184507,183917,184047,183495,182968,182247,181693,181240,180800,180591,180176,180192,180265,180770,180739,180949,180934,180366,180325,180243,180661,180698,180473,180803,180749,180949,180931,181036,181134,181306,181380,181419,180518,179999,180868,181399,181961,182128,182555,182513,182848,183108,183595,183756,184365,183819,184423,184776,184924,185017,184712,184925,185000,185162,185249,185404,185657,186449,185855,185596,185364,185449,185858,185996,186118,185799,185411,185321,184861,185207,184832,184651,184662,184854,185241,185349,185710
"49","38","  Food services and accommodations","DFSARX0",418851,412472,414964,416956,416491,414920,415712,417367,417005,415650,415521,416498,413608,415113,419178,417745,418730,417674,418653,417998,419312,420874,423792,422664,426880,426879,426096,426659,425680,427128,430149,432111,430805,428034,425765,430319,431924,432723,433795,436545,437537,440399,438247,438908,442311,444552,444728,448640,442531,446306,444585,447039,447185,447272,447069,447389,452452,458347,460297,459916,462903,465647,472483,470688,470750,471927,472017,470027,476314,474657,473329,465810,478667,473822,471854,468847,470828,470837,470078,474400,458426,463038,464204,473664,473477,475768,472195,478769,475823,477903,477928,478555,478734,476426,479444,481722,482981,480251,484654,483533,492324,493893,497077,503229,497257,503582,504634,499334,505072,505083,508061,505449,506350,506690,509777,506154,511035,513062,511733,516543,514581,520162,514793,525833,522210,525367,525125,526398,530083,529940,535768,533438,548566,541439,543979,540511,539480,536091,534316,539200,542463,542167,542839,548158,545310,542081,548543,544259,546660,548463,548297,547817,547923,552124,549092,551241,549545,546560,546402,551012,551854,549958,548540,547539,545710,541101,536275,530329,532060,537712,531334,531439,530715,529478,530356,527780,525482,524800,526702,528321,527151,541285,543266
"50","39","  Financial services and insurance","DIFSRX0",480468,481802,483877,485600,488303,489033,491582,490568,494904,492278,495004,499644,500151,502878,508616,506019,510147,509728,505187,504625,509839,509315,512494,514119,516987,517583,516886,514728,520827,519266,527622,533428,532919,537660,530336,534469,534892,541434,544662,549367,548898,560829,557371,563150,573088,572157,577423,580339,584118,580653,583816,595402,598175,600262,605139,611300,614871,617551,633973,642213,650608,663904,672672,667869,659066,665628,664419,666794,668291,669053,664155,672112,664760,655337,657301,659424,658710,658446,653191,655768,660696,665595,669138,670417,663884,663308,659778,657056,656780,659846,667799,657414,652892,655964,655727,649560,648471,646773,648373,646708,653418,659439,659044,657951,665549,664922,668787,674104,681558,682850,685006,688502,686515,685106,687966,690048,693902,700758,706583,712516,702789,703145,703656,709540,709345,713368,714635,718730,718219,716858,718958,722190,723958,726209,727936,728877,732734,732323,731343,735905,739638,743891,748304,754116,755755,763564,769118,773302,777173,779482,779346,784829,773132,771327,772470,767821,769491,764283,764658,764354,763989,762975,762522,754744,758191,756166,747165,748597,746946,752317,754982,753790,756199,758380,759126,762111,764042,758503,755569,756441,754930,755234,756074
"51","40","  Other goods and services","DOISRX0",428738,426794,428932,430015,431966,431257,432736,432190,434785,433933,437075,437448,437187,441426,444808,444250,447277,447634,446792,447826,450283,451685,452210,455967,452866,455054,454746,455943,456342,458998,461672,461345,464870,465471,467744,468293,471836,473068,474105,476027,476796,481625,482618,482939,481607,483703,485557,489252,492639,494161,496791,494908,496546,497347,499010,500154,501681,505101,506545,512703,509925,512690,511183,513469,518515,519403,520774,520990,524991,523983,523152,524203,525329,525618,523959,525866,526533,523750,525706,529342,525849,528919,531366,531263,532025,535285,536091,536359,536598,536027,535540,538531,537192,540288,542220,545585,546403,546604,548266,548906,552236,556184,558164,559096,559762,561572,564521,568577,567131,567457,568675,567970,569597,570343,572729,574571,576415,578021,577231,577707,579718,581594,579989,585016,581088,581890,578209,579396,576195,581390,582285,584333,587240,590739,591326,588470,591055,590073,590200,590169,592085,594670,598024,598969,600249,597208,600899,601656,603156,600424,603067,605057,605115,604962,606496,602222,603267,598922,602117,597579,598423,600134,598456,598094,593695,591723,590879,583949,587882,591392,590699,586943,584729,584225,584672,588586,590093,589131,589174,584810,596648,595725,596223
"52","41","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-27383,-18770,-17881,-26949,-27405,-15677,-30077,-29151,-33433,-29754,-31866,-33985,-28504,-23016,-31193,-27606,-35093,-33589,-20863,-23020,-23665,-38494,-38791,-34061,-28147,-26166,-27402,-25775,-25548,-25118,-23005,-22714,-22240,-22624,-17964,-17089,-16229,-13673,-10408,-14779,-12518,-8313,-4818,-6209,-4814,-7212,-8560,-13852,-9220,-9371,-7817,-7336,-9860,-11177,-10105,-9303,-11915,-10067,-10540,-7986,-10795,-8844,-1857,-10666,-1553,-1653,476,191,647,1062,-293,-2134,-2395,-1375,-3435,11150,10110,6158,5741,4065,4548,1369,1131,1764,7202,8243,5539,6182,4039,5890,1979,-6010,210,-1920,-5224,-404,8394,5852,6399,5539,19,3532,6272,6726,2734,-479,-1555,-253,6738,3458,1493,70,4587,5114,1155,3185,1232,1750,24,76,1575,497,304,-2627,-4649,-3819,-1881,191,854,667,4607,3213,1837,5922,6623,5709,4708,6432,5389,4467,3026,2267,763,-337,2546,4171,-1449,2167,-184,367,-6368,-8564,-9687,-15837,-17238,-18565,-12307,-10654,-17464,-15108,-22312,-23668,-26956,-26334,-19356,-18111,-10707,-16040,-12984,-12930,-10447,-9622,-12875,-9271,-8167,-7342,-11261,-12569,-12111,-9485,-10666,-10085,-11871
"53","42","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142503,139457,138881,141386,141321,142079,141878,141506,143303,144065,144967,146176,147649,151185,151023,150428,151085,153810,153518,153158,152131,151446,149488,146225,143331,139462,139811,139614,139664,140304,137634,140235,141332,139673,141705,143921,144575,146218,148344,149169,150906,153009,154830,156334,158282,160119,162132,163178,162853,162703,163303,163380,164249,164831,165089,165579,165598,165822,167820,168684,171824,172893,173659,172880,173699,174100,178326,179971,181482,184159,185399,185719,185148,185785,187296,189156,189880,190398,191356,192744,194586,195945,196607,197976,199311,199975,201785,203178,205291,206513,210180,213236,214940,215831,218649,219693,219157,217084,216611,218859,221300,221336,221635,219980,218455,220284,219530,217912,219923,219895,220317,219090,217980,217163,216694,217204,217039,218425,218937,217099,214027,213780,212490,212709,213534,214743,213391,212782,212141,214289,216972,218049,220185,222492,225676,227733,232561,236009,241154,243647,244603,243230,243938,243544,242666,240941,239414,236591,236212,238254,242852,246118,248739,254519,256544,255532,257996,261217,262445,262183,262126,262237,264619,268437,272189,277074,277243,271907,264509,257009,256570,252589,251545,251903,253743,257923,257866,258840,260532,261602,262660,265433,268192
"54","43","  Gross output of nonprofit institutions \2\","DNPERX0",632756,631350,633760,632742,635656,635955,634815,637808,638211,640471,640229,643500,643924,641149,647621,649572,649461,655506,653576,655387,657650,660899,661373,664884,660808,656295,656363,657530,659650,661716,662576,666369,667571,668080,671935,676676,681343,685367,688107,689271,691699,694865,698515,701390,704321,706614,708729,710473,711383,713292,715328,715859,717015,718681,720853,722952,724581,727523,731153,732978,734609,736610,739620,741210,744108,747141,749705,752761,755356,759039,762861,764872,768208,770312,774215,776740,779099,781594,786303,790256,792844,797030,800756,806273,811451,815300,819115,824006,827729,832200,835114,839391,840654,842053,843150,843156,842852,841088,841660,842650,843389,843965,844825,844393,844082,844957,846086,848230,850240,851835,852430,854042,856080,858923,861292,863965,867070,869631,870627,871109,870635,872380,871832,871399,872168,872970,874496,874407,874467,874436,880269,886129,888581,891429,894411,896010,899274,901774,903123,903821,904279,905992,910063,913413,917493,919174,921791,920089,919713,919622,921008,924131,926565,931793,934855,938519,945219,950311,953089,955243,955297,954507,954350,957156,960024,965004,966157,963991,960903,956431,956119,956883,958228,959369,957100,956387,957506,958433,960776,962120,964239,966360,969165
"55","44","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",493158,494946,498026,494341,497377,496885,495936,499374,497891,499387,498198,500251,499142,492675,499385,501980,501180,504474,502820,505029,508389,512394,514915,521882,520774,520263,519969,521366,523473,524911,528617,529731,529808,532118,533877,536348,540437,542784,543281,543580,544164,545096,546835,548126,548975,549294,549232,549861,551145,553266,554689,555147,555367,556430,558377,559992,561654,564451,565941,566852,564996,565861,568108,570649,572719,575412,573229,574526,575493,576251,578793,580512,584643,586090,588395,588865,590474,592465,596248,598746,599309,602090,605189,609334,613163,616384,618267,621743,623193,626436,625307,626305,625724,626189,624242,623147,623457,623920,625033,623639,621826,622388,622969,624276,625570,624567,626486,630311,630276,631903,632083,634933,638093,641766,644611,646777,650049,651232,651722,654025,656607,658598,659335,658685,658633,658240,661102,661627,662344,660143,663291,668075,668387,668929,668742,668298,666786,665890,662196,660465,659997,663038,666397,670108,675011,678354,682430,683470,683463,681411,678361,678318,678216,677878,678996,683564,687835,689816,691396,693765,693873,692991,690592,689773,689081,689418,690403,693237,697021,699505,699595,703939,706191,706980,703112,698662,699799,699832,700599,700953,702067,701669,701963
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
