"","Table 7#5# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"89","81","  Other","B178RA",16.39,15.86,15.22,13.91,13.4,13.18,14.01,14.73,15.26,14.87,14.93,15.08,15.61,15.64,16.57,16.68,17.05,18.14,18.5,18.9,18.95,19.61,19.76,20.53,21.21,22.17,23.06,23.89,24.63,25.72,26.98,27.96,29.18,29.91,31.11,33.21,35.42,37.35,39.73,41.26,41.88,43.39,44.29,46.44,47.52,46.1,46.9,50.11,52.47,55.4,56.26,56.08,55.38,57.98,63.53,66.74,71.82,74.7,78.47,81.44,83.35,85.51,86.25,88.55,91.88,95.32,96.99,100,104.47,111.1,116.73,124.08,125.12
"90","82","    Personal care","B488RA",37.63,35.57,31.13,26.05,23.52,25.96,28.55,31.72,33.63,32.02,32.61,34.63,37.81,39.77,44.44,45.32,48.11,52.53,52.29,51.77,50.73,50.88,50.52,52.31,54,56.44,57.57,59.26,60.2,59.91,62.06,62.31,64.24,66.3,66.52,69.68,72.5,75.96,77.6,78.68,76.88,75.68,71.52,72.99,72.27,67.84,65.68,64.34,66.1,65.79,63.66,60.77,57.88,54.89,62.23,62.67,65.96,69.99,74.72,83.07,86.88,90.02,82.69,89.61,90.01,91.5,94.97,100,101.73,108.06,113.73,118.91,118.28
"91","83","      Cleaning, storage, and repair of clothing and shoes (17)","B478RA",93.23,86.01,73.55,58.6,53.37,58.37,64.05,72.62,77.43,75.37,76.28,82.63,94.09,100.7,118.44,121.88,132.2,155.27,156.7,156.55,151.82,150.49,148.12,152.11,154.39,155.84,156.38,156.19,153.84,149.43,150.46,148.07,147.22,147.92,147.37,152.47,156.93,157.48,156.1,157.63,156.43,149.81,139.85,141.88,133.8,121.23,114.24,110.07,108.71,104.79,97.43,89.69,82.26,75.97,78.24,81.52,82.07,83.68,87.6,96.48,101.76,104.75,97.84,97.14,95.02,94.14,97.65,100,101.14,104.56,108.58,112.29,108.21
"92","84","      Barbershops, beauty parlors, and health clubs (22)","BBBBRA",34.52,34.31,31.62,28.96,26.1,28.98,32.39,35.16,36.85,34.02,34.62,35.35,35.9,36.38,36.96,37.4,37.88,38.22,37.34,36.71,36.97,37.89,38.58,40.28,43.18,48.25,50.21,54.05,56.95,58.29,61.91,62.71,67.16,72.04,71.92,75.57,77.93,84.49,87.22,87.41,83.27,84.08,79.19,79.87,78.43,74.85,72.06,68.65,72.3,71.12,69.05,65.97,62.22,58.29,67.42,67.85,70.65,74.71,81.15,86.09,88.1,87.36,86.15,94.41,92.16,92.96,98.29,100,104.87,109.73,112.92,117.33,118.22
"93","85","      Other (19)","BCOTRA",9.1,8.59,7.25,5.94,4.98,5.77,5.94,6.26,6.72,6.24,6.77,7.46,8.07,8.65,9.54,9.37,10.18,8.36,7.85,7.3,7.07,7.3,7.07,7.67,7.85,8.22,8.78,9.3,9.99,10.31,11.47,12.59,13.41,13.26,14.25,15.73,18.03,19.79,21.94,23.71,24.12,23.82,23.77,25.75,29.95,29.19,30.5,33.2,34.39,37.27,38.07,38.21,38.94,38.92,47.23,46.04,51.48,56.9,60.23,71.98,76.87,84.29,70.13,80.08,84.77,88.35,89.84,100,98.65,108.3,117.7,124.6,124.29
"94","86","    Personal business","B479RA",17.24,15.86,15.42,14.64,15.35,14.6,15.83,16.24,16.79,16.26,16.6,16.55,16.68,16.08,16.26,15.75,15.89,16.87,17.53,17.78,17.68,18.62,19.02,18.85,19.4,20.26,21.1,21.38,22.02,23.08,23.72,24.42,25.69,25.62,26.6,28.09,30.05,31.47,32.94,34.32,34.6,35.58,36.66,38.18,40.24,40.4,42.23,47.2,50.43,53.75,55.39,55.8,55.54,57.94,63.12,65.27,70.68,74.41,77.23,79.42,81.66,83.47,87.03,88.2,93.06,95.28,97.53,100,106.2,111.32,118.16,126.4,126.43
"95","87","      Brokerage charges and investment counseling (61)","BBRORA",63.21,41.93,29.71,24.19,37.87,19.06,23.38,25.59,23.58,16.56,14.36,12.01,9.92,7.74,11.29,11.09,14.75,13.44,11.11,11.07,9.74,14.77,12.78,10.57,9.9,12.6,12.56,10.59,10.3,11.65,15.04,12.97,17.6,13.91,13.08,14.6,18.02,19.59,24.2,23.23,18.53,14.29,15.14,14.9,12.14,9.91,11.36,13.34,13.19,13.15,14.05,15.81,14.43,17.31,26.54,27.41,32.68,40.98,47.82,40.15,44.49,44.19,49.73,57.49,69.81,75.39,83.44,100,116.86,139.55,185.02,228.71,199.31
"96","88","      Bank service charges, trust services, and safe deposit box rental (62)","BBNKRA",6.8,5.41,4.93,4.08,4.39,5.07,5.15,5.41,5.39,4.97,5.22,5.28,5.61,5.87,6.64,7.35,7.96,7.93,7.5,7.71,7.92,9.27,10.03,10.47,11.15,11.9,12.69,12.45,12.86,13.12,13.7,14.17,14.55,15.02,15.29,16.6,18.4,20.29,21.94,23.06,24.98,26.14,27.4,29.72,33.29,37.18,36,37.41,40.42,43,46.34,51.37,56.73,61.24,60.01,63.71,69.55,76.51,78.73,80.11,83.86,85.01,86.88,90.36,94.12,92.58,94.34,100,106.4,120.34,132.35,137.09,141.46
"97","89","      Services furnished without payment by financial intermediaries except life insurance carriers (63)","BIMPRA",11.34,11,10.98,9.7,8.21,7.93,8.84,9.46,10.18,9.89,10.24,10.21,10.72,10.62,9.26,8.79,9.24,11.7,12.63,12.84,12.63,12.89,13.15,13.54,14.34,15.05,15.68,15.88,15.91,16.94,17.2,18.02,18.22,18.45,19.77,20.81,21.41,22.2,23.44,25.35,26.59,28.65,30.73,32.81,35.92,35.65,38.31,44.58,49.52,53.26,55.47,53.33,51.59,53.84,64.26,66.41,71.85,76.39,81.52,82.72,83.31,87.13,88.83,88.61,92.2,97.36,98.24,100,106.45,110.5,113.81,124.28,128.47
"98","90","      Expense of handling life insurance and pension plans (64)","BLIFRA",16.86,17.91,18.92,20.81,22.06,21.61,23.76,23.05,22.96,23.23,23.82,23.6,23.02,21,20.72,20.12,19.32,19.44,22.4,22.65,22.56,23.58,23.99,23.85,24.35,25.01,26.89,29.52,30.91,31.68,29.59,31.99,32.46,32.87,34.11,36.89,39.96,39.87,38.85,40.59,41.66,43.81,42.81,44.35,47.89,49.68,53.1,60.32,63.47,68.21,71.37,75.61,77.57,82.4,79.93,82.26,87.34,84,77.94,86.32,88.81,87.6,100.09,97.02,104.47,102.15,107.03,100,104.16,100.58,101.24,100.94,98.78
"99","91","      Legal services (65)","BGALRA",25.09,24.5,26.51,23.79,24.53,26.55,27.44,27.39,28.18,28.03,29.3,29.66,30.56,30.89,29.91,28.22,27.34,29.89,29.2,31.53,32.71,32.65,33.93,32.83,33.04,34.73,35.08,33.13,35.15,37.79,41.1,40.99,45.5,47.34,50.66,50.94,52.34,57.35,57.46,58.23,59.17,63.11,64.36,64.54,68.03,69.53,67.58,69.64,71.88,77.1,75.08,74.49,77.54,75.91,73.27,76.11,81.8,85.31,89.39,96.67,99.26,100.77,97.4,99.72,99.12,98.31,96.48,100,102.61,104.87,106.22,105.62,108.12
"100","92","      Funeral and burial expenses (66)","BFUNRA",62.18,59.68,58.5,57.78,56.78,59.43,59.14,63.3,61.73,58.4,58.79,60.1,59.19,58.44,61.94,59.65,59.22,58.95,61.11,61.03,60.8,61.32,64.41,64.87,66.22,64.72,66.89,68.63,71.56,72.02,72.44,74.65,74.18,76.5,78.75,78.5,80.57,82.98,83.38,87.68,87.75,88.23,88.97,90.82,90.71,88.83,86.78,92.53,95.31,97.75,94.09,94.28,88.63,81.84,77.21,78.67,82.71,81.32,80.35,86.24,86.87,88.93,88.93,92.27,94.32,93.11,96.31,100,99.59,102.62,100.64,97.49,100.58
"101","93","      Other (67)","BPBORA",7.41,6.69,6.21,4.57,5.13,7.41,8.47,8.93,13.78,15.19,16.15,16.88,18.66,18.61,21.44,20.71,19.86,20.44,19.36,18.59,18.61,18.85,19.8,19.22,19.98,20.37,20.81,21.88,23.15,23.95,25.26,26.79,27.1,28.23,28.7,30.67,33,35.54,38.29,40.96,44.72,45.53,45.32,48.69,51.44,51.82,53.68,57.12,60.69,64.07,64.18,62.06,60.56,60.72,61.84,62.98,66.38,68.73,69.91,75.55,80.17,84.37,85.51,87.18,90.34,93.92,95.3,100,103.85,109.26,113.41,116.68,118.83
"102","94","    Education and research","B482RA",9.73,10.09,10.39,9.21,8.63,8.51,8.88,9.36,9.96,10.21,10.29,10.53,10.94,11.85,12.42,11.75,11.38,11.65,13.02,13.72,14.61,15.21,15.54,16.36,17.17,17.95,19.31,20.4,21.9,23.43,24.53,26.04,27.43,29.19,31.08,33.47,36.71,39.99,42.75,46.48,49.15,51.67,53.89,56.26,57.82,56.04,57.34,58.45,58.83,61.69,62.37,62.94,63.79,65.19,67.72,69.73,72.61,75.15,77.83,81.74,85.75,87.93,89.02,91.37,92.76,94.64,97.42,100,102.97,106.81,111.83,115.51,118.44
"103","95","      Higher education (105)","BHEDRA",8.4,9.27,9.91,9.32,9.01,9.1,9.57,9.87,10,10.12,10.38,10.88,10.86,11.05,11.37,11.45,11.11,12.04,14.56,15.44,16.57,16.91,16.94,17.63,18.49,19.22,20.53,21.97,24.05,26.28,27.2,28.68,30.6,32.34,34.21,37.47,42.5,46.09,48.2,51.27,54.15,58.16,61.48,64.01,66.05,65.24,64.94,65.69,66.78,66.4,68.1,69.67,71.92,75.44,77.21,78.71,80.06,82.05,84.05,85.73,88.61,90.9,92.84,95.08,96.02,97.3,99.24,100,101.19,103.93,108.23,109.29,111.29
"104","96","      Nursery, elementary, and secondary schools (106)","BEEDRA",10.02,10.92,12.76,10.2,9.34,9.1,9.16,10.41,12.45,13.85,14.08,14.22,14.02,14.19,14.09,14.32,15.29,12.98,13.96,14.66,15.32,16.08,16.75,17.8,18.65,19.75,21.06,22.4,24.04,25.67,27.96,30.44,33.62,36.91,39.75,42.37,44.75,46.61,48.8,52.06,53.99,55.36,57.54,60.37,60.42,58.47,59.29,57.98,56.69,65.16,64.57,66.09,65.55,65.32,69.19,72.23,76.13,78.24,81.78,83.14,88.33,91.31,91.44,93.5,94.53,97.32,99.8,100,102.3,102.19,106.41,108.63,109.13
"105","97","      Other (107)","BOEDRA",10.38,9.67,8.57,7.46,6.71,6.36,6.75,6.98,7.4,7.14,6.84,6.73,8.11,10.39,11.65,9.46,8.26,9.16,9.02,9.39,10.04,10.84,11.28,12.05,12.7,13.24,14.6,14.91,15.39,15.79,16.15,16.84,16.03,16.51,17.57,18.33,19.34,22.96,26.91,31.75,34.44,35.29,35.6,37.21,39.17,36,40.22,44.1,44.9,47.58,47.76,45.95,45.89,45.4,47.81,49.68,54.2,58.09,61.19,71.63,76.63,77.81,78.08,80.91,83.62,85.99,90.97,100,107.69,117.83,125.25,136.13,143.29
"106","98","    Religious and welfare activities (108)","BRAWRA",8.9,9.46,9.68,9,8.21,7.75,7.6,7.74,7.4,7.85,7.98,8.65,8.71,9.14,10.21,11.55,11.69,11.9,10.57,10.71,10.65,10.82,10.75,12.31,12.77,13.4,13.58,14.77,14.95,15.81,17.43,18.15,18.91,19.54,20.59,23.59,25.04,26.69,29.02,30.49,30.86,32.67,34.7,37.39,37.78,36.1,36.22,38.74,40.12,43.47,44.9,45.47,47.04,49.14,51.97,56.23,59.25,64.08,65.92,70.89,73.6,78.54,79.42,85.24,86.36,92.99,94.49,100,99.15,105.8,107.31,112.34,113.38
"107","99","    Net foreign travel"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","100","      Foreign travel by U.S. residents (110)","BFTRRA",5.95,6.22,5.43,4.94,3.72,3.8,3.99,4.66,5.33,4.57,3.74,1.93,2.17,1.48,1.63,1.88,2.31,3.71,5.04,5.74,6.54,7.14,7.34,8.41,8.83,9.16,10.65,11.57,12.35,13.4,14.48,16.19,16.26,17.46,18.74,19.32,20.8,21.62,25.66,24.3,26.69,30.19,29.83,32.79,32.13,29.45,28.86,30.31,31.34,32.47,31.67,31.03,33.01,37.9,43.7,64.45,71.02,64.28,80.56,83.71,85.76,89.71,82.07,86.3,91.43,96.93,96.06,100,108.4,119.96,123.02,136.53,127.21
"109","101","      Less: Expenditures in the United States by nonresidents (112)","BEXFRA",1.77,1.65,1.33,1.01,1.1,1.21,1.4,1.54,1.74,1.82,2.01,1.39,1.24,1.48,1.85,2.18,2.44,3.6,3.63,3.23,3.66,3.85,4.23,4.62,5.03,5.24,5.9,6.43,6.73,6.86,6.82,7.12,7.28,7.19,7.47,8.57,9.39,10.32,10.45,10.98,12.05,13.01,13.84,14.99,17.02,18.33,19.76,22.28,22.37,23.86,25.28,27.69,36.36,33.84,30.57,41.08,40.94,44.84,48.64,56.52,65.68,73,76.7,84.05,87.81,88.46,93.96,100,102.82,100.05,102.28,107.12,97.84
"110",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","102","      Personal consumption expenditures","B002RG",12.38,11.85,10.57,9.32,8.99,9.41,9.63,9.72,10.07,9.84,9.75,9.83,10.43,11.72,12.8,13.53,14.07,15.07,16.62,17.57,17.44,17.66,18.85,19.23,19.5,19.68,19.76,20.16,20.77,21.29,21.63,22,22.23,22.49,22.75,23.07,23.41,24.02,24.62,25.58,26.74,28,29.2,30.22,31.86,35.14,38.01,40.08,42.73,45.78,49.83,55.21,60.08,63.48,66.19,68.63,70.99,72.72,75.49,78.44,81.86,85.63,88.91,91.62,93.81,95.7,97.9,100,101.94,103.03,104.73,107.39,109.56
"112","103","Durable goods","B003RG",23.59,22.19,19.86,17.6,17.07,18,17.9,18.01,18.74,18.8,18.61,18.78,20.13,23.47,25.54,28.61,30.15,31.4,34.23,35.96,36.4,36.6,39.03,39.4,39.09,38.23,38.08,39.01,40.51,41.28,41.97,41.77,41.86,42.05,42.2,42.4,42.03,41.83,42.48,43.89,45.1,46.09,47.77,48.28,48.98,52.08,56.84,59.99,62.61,66.2,70.6,76.54,81.62,84.76,86.38,87.58,88.59,89.69,92.21,93.49,95.14,96,97.39,98.28,99.06,100.56,101.06,100,97.75,95.4,93.03,91.46,89.7
"113","104","  Motor vehicles and parts","B165RG",11.64,11.21,10.46,9.81,9.2,9.63,9.49,9.54,9.78,10.16,9.93,9.95,10.81,13.85,14.59,15.67,15.92,19.92,22.22,23.94,24.78,24.85,26.12,27.2,26.69,25.77,26.06,27.24,28.96,30.06,31.56,30.98,31.14,31.64,31.88,32.14,31.89,31.67,32.12,33.24,33.92,34.86,36.66,36.82,37.04,39.41,43.34,46.61,49.35,52.75,56.7,60.99,65.54,68.52,70.51,72.43,74.16,76.34,79.67,80.86,83.29,83.84,86.35,88.71,91.72,95,98.37,100,99.76,98.93,99.09,99.47,99.84
"114","105","    New autos (70)","B136RG",17.92,17.4,16.61,15.58,14.07,14.91,14.67,14.79,15.06,15.82,15.42,15.46,16.61,19.81,21.05,23.66,18.46,21.76,24.68,26.99,29.56,29.76,31.03,33.88,34.16,34.72,31.39,33.05,34.96,36.22,37.82,37.32,37.32,37.18,36.94,36.84,36.05,35.35,35.69,36.72,37.28,38.35,39.94,39.66,39.66,41.85,45.63,48.48,51.02,54.9,59.12,63.73,67.47,70.12,71.86,73.8,76.05,79.33,82.03,83.49,85.08,86.22,89.26,91.29,93.45,96.45,98.45,100,100.08,99.31,98.52,98.54,98.08
"115","106","    Net purchases of used autos (71)","B137RG",0.25,0.26,0.35,0.44,0.42,0.37,0.28,0.23,0.25,0.33,0.32,0.53,1.11,2.06,2.22,2.36,2.57,5.44,6.67,7.18,5.7,5.42,5.59,4.59,3.53,1.1,6.93,7.09,8.13,8.72,9.82,9.46,10.12,11.5,12.4,13.34,13.76,14.26,14.65,15.61,16.11,16.41,18.06,19.08,20.51,22.26,25.7,29.66,31.96,33.91,35.15,35.27,42.22,46.95,53.71,59.09,59.22,58.92,69.04,69.6,74.72,69.83,70.75,74.71,82.81,88.74,97.7,100,97.48,95.48,96.4,98.33,100.35
"116","107","    Other motor vehicles (72)","BOAURG",14.96,14.57,13.86,12.99,11.77,12.38,12.21,12.3,12.55,13.15,12.82,12.83,13.88,14.74,15.6,16.45,17.31,18.17,20.38,22.24,24.33,24.54,25.56,27.92,28.21,28.54,25.9,27.21,28.85,29.85,31.14,30.93,30.87,30.84,30.75,30.76,30.25,30,30.41,31.38,32.16,31.99,34.83,35.23,35.79,38.62,42.4,44.86,47.45,50.86,54.68,59.28,63.03,65.44,67.04,69.52,72.31,75.07,76.2,77.23,79.56,82.48,85.99,88.53,91.49,95.12,97.87,100,101.01,100.82,101.67,101.61,101.18
"117","108","    Tires, tubes, accessories, and other parts (73)","BTBARG",39.9,37.13,31.74,29.23,29.83,30.7,30.95,31.1,32.73,32.09,31.67,29.99,30.42,34.86,35.89,38.4,38.46,39.37,40.79,41.6,41.5,42.65,48.18,48.1,47.44,46.41,46.53,47.12,47.53,47.66,47.36,45.91,44.57,44.67,45.39,45.42,47.15,48.13,49.31,51.11,52.77,55.29,57.32,57.71,56.21,60.01,65.44,70.09,74.81,78.29,85.93,95.51,100.35,102.8,99.89,96.09,96.03,95.8,96.6,98.1,100.15,100.58,101.48,102.11,100.42,99.84,100.18,100,99.43,98.55,98.02,98.33,100.8
"118","109","  Furniture and household equipment","B166RG",43.47,39.74,33.89,28.68,28.35,30.55,30.67,30.87,32.81,32.32,32.03,32.31,34.41,39.64,44.6,50.97,54.95,55.01,59.48,62.13,61.7,62.57,67.69,66.5,66.28,65.46,64.46,64.93,66.27,66.38,65.87,66.24,66.1,65.58,65.37,65.24,64.47,64.27,65.22,67.2,69.09,70.36,71.58,72.5,73.81,78.55,85.08,88.15,90.59,94.56,99.69,106.33,112.84,116.94,117.45,117.07,116.27,114.93,115.11,114.96,114.37,113.64,112.33,110.64,108.43,107.61,104.49,100,95.04,90.4,85.21,81.51,76.92
"119","110","    Furniture, including mattresses and bedsprings (29)","BFNRRG",15.27,14.81,13.05,10.61,10.98,11.92,11.7,12.1,13.23,12.92,12.69,12.87,14.23,16.76,19.92,23.93,26.96,27.01,28.13,29.85,28.95,29.4,32.83,32.88,32.83,32.97,32.74,33.2,34.01,34.01,34.06,34.12,34.47,34.64,34.78,34.83,35.04,35.92,37.26,39.18,41.42,43.08,44.41,45.18,46.73,50.71,54.83,56.75,58.9,62.03,66.17,71.71,76.37,79.59,81.57,83.2,85.41,87.32,88.84,90.86,90.53,91.08,91.12,93.36,94.93,97.56,98.66,100,99.9,99.7,99.45,99.09,97.43
"120","111","    Kitchen and other household appliances (30)","BAPPRG",55.72,53.24,49.2,42.64,40.15,40.52,39.88,40.47,41.93,42.08,41.54,40.05,42.09,48.47,53.79,57.34,60.57,60.45,66.48,70.22,68.18,67.33,72.15,72.09,71.6,70.47,68.18,65.04,64.14,62.58,62.42,61.57,60.31,58.92,57.8,57.16,55.82,54.88,54.93,56.08,57.32,58.73,59.94,60.25,60.31,63.4,70.41,74.32,77.02,80.96,85.36,89.62,94.82,100.64,103.57,103.77,101.48,100.99,101.77,101.96,101.82,101.12,100.08,99.45,99.67,100.87,100.1,100,99.48,98.22,96.04,95.08,94.4
"121","112","    China, glassware, Tableware, and utensils (31)","BCHNRG",11.96,11.62,10.54,9.85,9.62,10.65,11.62,10.92,11.08,11.08,11.08,11.08,11.31,12.73,14.31,16.12,16.73,16.62,17.04,17.35,17.97,18.62,20.39,20.89,21.43,21.73,22.16,24,25.31,26.04,26.02,26.84,27.17,27.87,28.8,29.33,29.32,29.95,30.82,33.22,34.6,35.69,36.74,38.37,40.56,45.81,53.62,57.03,59.42,63.71,68.96,76.13,83.75,87.26,88.9,89.08,89.45,91.86,94.11,94.83,96.26,98.15,100.42,102.42,101.86,103.21,101.18,100,99.34,101.12,98.73,97.54,94.92
"122","113","    Video and audio goods, including musical instruments, and computer goods (91)","BRADRG",442.09,338.47,238.29,175.06,158.72,171.03,168.33,166.8,170.69,165.04,158.55,160.34,165.12,197.47,199.47,215.3,215.26,217.54,268.24,285.58,301.41,299.57,296.68,272.75,263.99,249.87,237.09,237.77,246.53,251.32,239.31,239,234.42,226.35,222.6,218.7,210.21,199.91,197,197.06,197.55,198.26,199.74,200.61,200.14,204.58,211.68,214.32,214.72,218.31,224.3,228.42,233.25,231.82,220.22,210.18,198.91,185.56,179.54,172.85,167.97,160.28,152.3,141.37,131.23,124.45,114.37,100,86.31,74.39,64.23,57.3,49.94
"123","114","      Video and audio goods, including musical instruments (92)","BVAMRG",284.71,217.98,153.46,112.74,102.22,110.15,108.41,107.42,109.93,106.29,102.11,103.26,106.34,127.18,128.46,138.66,138.63,140.1,172.75,183.92,194.11,192.93,191.07,175.66,170.02,160.92,152.69,153.13,158.77,161.86,154.12,153.92,150.97,145.78,143.36,140.85,135.38,128.75,126.87,126.91,127.23,127.68,128.64,129.2,128.9,131.75,136.33,138.03,138.28,140.6,144.49,147.64,151.17,151.6,147.97,142.5,135.19,129.31,126.4,122.75,120.33,117.73,115.33,113.07,110.71,107.78,104.29,100,95.9,91.33,85.17,79.23,73.42
"124","115","      Computers, peripherals, and software (93)","BCPTRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3368.36,3368.36,3280.6,2210.8,1878.99,1512.4,1071.09,941.25,868.03,654.1,590.82,540.83,502.17,422.04,353.25,268.29,206.91,180.8,144.01,100,67.8,47.08,34.55,28.23,21.58
"125","116","    Other durable house furnishings (32)","BODHRG",20.11,19.29,16.99,14.94,15.32,16.93,16.85,17.14,18.87,18.45,18.68,19.47,20.94,23.43,26.23,29.56,31.73,31.82,33.77,34.37,33.86,35.42,39.77,38.61,38.9,38.67,39.09,40.35,41.49,41.82,41.98,43.04,43.45,43.42,43.39,43.67,43.51,43.96,45.09,46.3,47.41,47.4,47.62,48.15,49.23,52.72,56.77,58.73,60.54,63.15,66.62,72.92,78.9,83.33,85.29,86.88,88.87,89.38,90.91,92.61,93.95,96.28,97.84,98.85,99.14,99.64,99.68,100,100.4,100.8,99.52,98.85,97.65
"126","117","  Other","B167RG",22.02,21.74,21.23,19.89,19.28,19.04,18.72,18.93,18.99,18.74,18.97,19.56,20.67,23.14,23.55,25.82,26.48,26.53,28.54,28.95,29.34,28.85,30.65,31.04,31.33,30.84,30.48,30.87,31.47,32.05,31.88,32.16,32.37,32.57,32.87,33.39,33.24,33.17,33.93,35.15,36.8,37.4,39.01,40.02,41.28,43.71,47.69,50.15,52.09,54.97,58.91,67.37,71.38,73.3,75.29,76.47,77.73,78.94,82.35,85.89,88.75,92.85,95.83,97.63,98.21,99.62,100.27,100,98.97,98.24,96.61,95.78,96.08
"127","118","    Ophthalmic products and orthopedic appliances (46)","BOPTRG",17.45,17.28,17.24,16.43,15.73,15.76,15.76,15.68,15.77,15.77,15.97,16.09,16.15,16.27,16.82,17.2,17.41,17.78,18.46,19.22,19.85,20.02,20.99,21.22,20.94,20.71,21.02,21.33,22.18,22.38,22.64,23.18,23.95,24.32,24.49,24.76,25.27,25.99,27.24,28.16,29.36,30.95,32.8,34.05,35.31,37.75,40.79,43.3,45.83,48.31,50.92,55.55,59.3,61.93,64.22,66.2,68.65,70.84,74.91,78.68,81.23,84.66,87.89,91.5,93.85,95.66,98.44,100,101.54,103.41,104.43,107.46,110.91
"128","119","    Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","BWHGRG",31.77,31.93,30.36,27,25.63,25.72,25.25,23.94,24.84,25.6,25.1,26,26.26,29.53,27.11,30.97,31.98,33.11,36.63,37.62,37.55,36.33,39.61,39.76,39.56,39.05,38.29,39.04,39.87,41.04,39.91,40.5,40.67,41.03,41.43,41.51,41.28,41.77,42.74,44.15,45.63,45.02,47.17,47.82,49.17,52.68,56.74,58.98,61.28,64.05,67.66,73.39,77.57,80.21,81.23,82.72,83.59,83.81,85.27,88.26,90.69,93.37,96.1,97.36,97.39,99.14,100.02,100,99.4,98.28,96.35,95.19,94.29
"129","120","    Jewelry and watches (18)","BJRYRG",26.47,26.26,26.16,24.53,24.55,23.77,22.84,24.25,23.57,22.04,22.79,24.19,27.45,33.47,34.4,39.14,39.98,38.71,41.25,39.95,39.72,38.53,41.23,40.96,41.35,40.03,38.85,39.11,38.49,38,38.01,38,37.98,38,38.22,40.57,39.44,37.59,38.05,39.23,41.45,42.17,42.97,44.03,45.58,48.21,51.67,53.37,54.13,57,62.2,77.73,80.89,78.99,80.27,80.82,80.01,80.75,86.81,91.52,94.96,100.63,103.77,105.02,104.25,104.91,103.74,100,96.07,92.55,90.28,87.91,87.89
"130","121","    Books and maps (87)","BBKSRG",9.32,9,8.57,8.23,7.81,7.73,7.73,7.81,7.93,8.06,8.13,8.1,8.2,8.23,8.85,9.1,9.44,9.79,10.58,11.57,12.34,12.52,12.81,13.63,14.23,14.38,14.65,14.85,15.91,16.93,17.2,17.29,17.43,17.54,17.79,17.32,17.68,18.27,18.78,19.75,21,22.18,23.51,24.66,25.38,25.87,30.7,34.72,37.95,41.47,44.78,49.2,54.35,60.52,64.95,66.27,71.05,74.28,75.84,78.24,81.1,85.64,88.54,90.72,93.05,94.84,96.46,100,101.18,103.98,102.13,102.01,103.19
"131","122","Nondurable goods","B004RG",13.86,13.13,11.23,9.6,9.54,10.54,10.93,10.96,11.34,10.78,10.6,10.7,11.6,13.51,15.09,15.94,16.62,18.13,20.46,21.68,20.97,21.06,22.8,23.05,22.94,23.02,22.87,23.19,23.87,24.45,24.6,24.95,25.1,25.3,25.59,25.92,26.39,27.26,27.91,28.98,30.32,31.82,32.8,33.9,36.56,41.82,45.09,46.83,49.61,52.93,58.5,65.31,70.37,72.34,73.89,75.64,77.3,77.01,79.66,82.34,86.26,90.98,93.76,95.2,96.15,96.83,97.93,100,101.34,101.31,103.69,107.59,109.17
"132","123","  Food","B168RG",12.45,11.65,9.51,7.81,7.81,8.73,9.41,9.42,9.72,9.03,8.92,8.98,9.89,11.74,13.4,13.8,14.23,15.84,18.16,19.04,18.32,18.45,20.23,20.69,20.34,20.38,20.08,20.24,20.87,21.66,21.66,21.95,22.14,22.41,22.72,23.16,23.62,24.62,25,25.92,27.18,28.83,29.74,31.07,34.47,39.35,42.47,43.87,46.61,50.86,55.92,60.8,65.43,67.73,69.17,71.48,72.94,75.04,77.53,80.15,84.14,88.16,91.15,92.25,93.66,95.2,97.27,100,102.23,104.05,106.14,108.65,111.89
