"","Table 2#6# Personal Consumption Expenditures by Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"91","84","      Barbershops, beauty parlors, and health clubs (22)","BBBBRC",0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1,1,1.1,1.2,1.3,1.4,1.6,1.7,2,2.2,2.3,2.5,2.6,2.8,3.1,3.2,3.4,3.6,4,4.4,4.6,4.6,4.9,4.8,4.9,5.2,5.5,5.8,6.2,7.3,8,8.3,8.6,8.7,8.7,10.5,11,11.9,12.9,14.5,15.9,17.1,17.7,18,20.1,20.1,20.8,22.4,23.5,25.5,27.2,28.9,31.2,32.6
"92","85","      Other (19)","ACOTRC",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.2,1.3,1.3,1.5,1.8,1.9,2.2,2.5,2.7,3.2,3.7,4.2,4.8,5.1,6.5,6.7,7.8,9,9.9,12.3,13.8,15.8,13.7,16,17.4,18.6,19.2,21.7,22,24.4,27,29.5,30.8
"93","86","    Personal business","A479RC",3.9,3.5,3,2.6,2.5,2.5,2.8,3,3.2,3.1,3.1,3.2,3.3,3.4,3.7,3.9,4.2,4.8,5.3,5.8,6,6.6,7.2,7.5,8.4,9.1,10.1,11,11.8,12.7,13.6,14.6,15.8,16.4,17.2,19,20.7,22.8,24.4,26.9,29.7,32.6,34.8,38.2,42.3,47.2,54,60.6,67.4,81.7,92.1,103.6,110.7,123.8,147.7,160.9,188.1,212.9,238.1,254.4,268.2,284.7,316.7,342.6,365.9,381.6,406.8,435.1,489,529.8,575.2,632.5,634.3
"94","87","      Brokerage charges and investment counseling (61)","BBRORC",0.8,0.5,0.3,0.2,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.6,0.7,0.7,0.7,0.9,1.2,1.2,1.6,1.5,1.7,1.9,2.2,2.6,3,3.5,3,2.3,3,3.4,2.5,2.1,2.9,3.6,3.6,4.4,4.9,6.9,6.9,8.8,12.7,12.3,15.2,20.3,23.4,19.6,22.3,22.1,24.7,28.8,33.6,33.4,36.5,43.2,50.9,58.1,72.2,88.4,74.2
"95","88","      Bank service charges, trust services, and safe deposit box rental (62)","BBNKRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.3,2.6,2.8,3.1,3.4,3.9,4.4,5.1,6.5,8.3,10.4,11.5,13.4,15.6,18.2,19.9,21.4,23.6,25.5,28.2,30.9,34,35.5,38.3,42.9,47.9,55.7,63.2,68.4,73.5
"96","89","      Services furnished without payment by financial intermediaries except life insurance carriers (63)","AIMPRC",1,0.9,0.7,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.5,2.7,3.1,3.4,3.5,3.7,4,4.4,4.5,4.7,4.8,5.4,5.8,6.5,7.1,7.8,9.7,11.4,11.9,13.1,15.4,18,21.5,22.7,25.3,33.1,38.5,41,40.7,43.9,58.7,63.7,75.5,86.8,102.9,107.9,108.2,115,129,141.5,145.5,156.3,166.1,177,204.2,221.2,233.8,258.1,259.5
"97","90","      Expense of handling life insurance and pension plans (64)","BLIFRC",0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.4,1.6,1.6,1.8,1.9,2,2.1,2.2,2.5,2.8,3.1,3.3,3.2,3.6,3.8,3.9,4.2,4.7,5.2,5.4,5.4,6,6.5,7.2,7.4,8,9.1,10.2,11.7,14.3,16.4,19.1,21.5,24.7,26.9,30.3,31.7,34.6,40.2,42,41.8,49.1,52.7,55,65.3,66.9,74.8,75.3,81.8,81.3,89.3,90.9,96.2,102.8,103.9
"98","91","      Legal services (65)","BGALRC",0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.4,1.4,1.6,1.8,2,2,2.3,2.4,2.6,2.8,3,3.4,3.6,3.8,4.2,4.9,5.4,6,6.9,7.6,7.9,8.7,9.6,11,11.7,13.1,15.5,17.2,18.9,21.4,24.5,27.2,30.8,34.6,37.6,40.9,41.7,44.9,46.4,47.4,48,51.5,55,58.7,62.4,65.2,70.4
"99","92","      Funeral and burial expenses (66)","BFUNRC",0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.5,2.6,2.7,2.8,2.9,3.3,3.5,3.8,4,4.5,4.8,5.1,5.4,6,6.8,7.1,7.5,8.3,8.8,9.5,10.1,11,11.7,12.1,13.3,14.5,15.2,16.2,16.5,16.4,17.5
"100","93","      Other (67)","APBORC",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.5,2.8,3.1,3.5,4,4.5,5.1,5.8,6.3,7,7.6,8.2,8.8,9.5,10.3,11.2,11.8,13.5,15,16.6,17.6,18.6,19.9,21.6,22.7,24.8,26.6,28.9,31,33.2,35.3
"101","94","    Education and research","A482RC",0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.1,1.1,1.1,1.2,1.5,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.7,3,3.4,3.7,4,4.4,4.7,5.1,5.6,6.2,7,8,8.9,10.1,11.3,12.7,13.9,15.3,16.9,18.5,20.6,22.5,24.2,26.8,29.8,33.5,37.6,41.3,45.3,49.4,53.8,58.1,63.2,70.2,77.6,83.7,89.2,96,101.2,107.2,114.5,122.3,130.5,140.2,152.1,164,174.9
"102","95","      Higher education (105)","BHEDRC",0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,3.2,3.8,4.3,4.8,5.4,6.1,7,7.8,8.6,9.3,10,10.7,11.6,12.6,13.3,14.8,16.6,19.1,22,24.2,26.5,28.7,31.1,33.6,36.4,40,43.8,47.9,52.2,55.7,59.2,62.9,66.1,69.4,74,79.3,83.1,87.6
"103","96","      Nursery, elementary, and secondary schools (106)","BEEDRC",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.6,2.8,3.2,3.5,3.8,4.3,5,5.7,6.1,6.3,7.5,8.3,9.5,10.4,10.9,12,13.2,14.3,15.1,16.5,17.7,19.8,21.2,21.9,23.1,23.8,25,26.4,27.4,29,29.9,32,34,35.5
"104","97","      Other (107)","BOEDRC",0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1.1,1.2,1.4,1.8,2.1,2.4,2.6,2.7,2.9,3.2,3.4,4.2,4.9,5.3,6.1,6.7,7.4,8.1,8.4,9.1,9.7,10.9,11.9,13,16.1,17.9,18.7,19.5,20.7,21.8,23,25.2,28.8,32.1,36.3,40.8,46.9,51.7
"105","98","    Religious and welfare activities (108)","BRAWRC",1.2,1.2,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.5,1.7,1.8,2,2.1,2.3,2.3,2.4,2.6,3,3.1,3.3,3.5,3.9,4.1,4.4,5,5.3,5.6,5.8,6.2,7.2,7.8,8.5,9.5,10.4,11.1,12.2,13.7,15.4,16.5,18.1,19.8,22.4,24.7,28.7,32.5,37.2,41.9,45.9,50,56.1,60.4,67.1,71.7,81.2,88.1,97.1,101.8,112.4,116.6,127.9,134.9,146.8,149.5,163.9,172.9,190.1,199.6
"106","99","    Net foreign travel","A492RC",0.5,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0,0,0,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1.1,1.2,1.2,1.4,1.6,1.6,1.8,1.8,2.4,2.2,2.4,2.8,2.9,3.5,3.4,3.5,3.4,2.9,3.3,3,2.7,1.7,-1.6,-0.2,2.5,3.6,4.4,1.2,3.6,0.7,-5.6,-8.9,-16,-18.9,-20.1,-17,-21.4,-24.8,-23.1,-16.6,-17.3,-17.4,-14.3
"107","100","      Foreign travel by U.S. residents (110)","BFTRRC",0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.5,1.6,1.7,1.9,2.1,2.3,2.3,2.6,2.8,3,3.3,3.6,4.2,4.2,4.7,5.4,5.9,6.8,7.3,8.1,8.8,9.4,10.3,11.1,12.1,13.3,15,16.5,18.4,26.1,27.9,27.8,33.9,37.3,38.4,42.7,41.7,45.9,48.7,53,54.1,57.6,63.6,68.8,72.3,80.9,76.3
"108","101","      Less: Expenditures in the United States by nonresidents (112)","BEXFRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.4,1.6,1.8,1.8,2,2.3,2.7,2.9,3.3,4,4.6,5.4,6.5,7,8.1,9.4,11.6,16.6,16.7,15.9,22.5,23.5,26.6,30.3,36.6,44,51.6,57.7,64.9,68.7,69.9,75.4,82.4,86.7,85.4,89.6,98.3,90.6
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","  Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
