"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"104","86","    Financial services and insurance","DIFSRC1","28,501.0","31,071.0","34,137.0","38,337.0","41,497.0","45,903.0","54,014.0","59,257.0","67,786.0","80,627.0","87,623.0","95,599.0","101,995.0","116,322.0","145,873.0","156,555.0","180,539.0","196,665.0","207,127.0","219,409.0","235,741.0","253,218.0","281,979.0","311,759.0","341,016.0","349,027.0","364,689.0","393,631.0","431,297.0","469,649.0","514,234.0","569,962.0","562,791.0","576,166.0","602,466.0","651,686.0","698,429.0","732,625.0","790,290.0","806,980.0","741,766.0","796,272.0","807,054.0"
"105","87","      Financial services","DFNLRC1","14,127.0","15,341.0","17,066.0","18,938.0","20,317.0","23,659.0","30,126.0","32,209.0","35,757.0","43,133.0","47,190.0","51,739.0","54,134.0","62,055.0","87,159.0","90,021.0","107,493.0","123,869.0","135,040.0","134,015.0","135,986.0","141,481.0","158,141.0","178,498.0","193,165.0","200,564.0","212,473.0","237,909.0","267,042.0","295,231.0","331,246.0","370,013.0","358,088.0","366,443.0","371,634.0","400,727.0","424,035.0","453,286.0","501,753.0","524,895.0","477,339.0","512,503.0","518,101.0"
"106","88","        Financial services furnished without payment (107)","DIMPRC1","9,112.0","10,922.0","11,811.0","13,174.0","15,127.0","18,610.0","24,070.0","25,049.0","28,164.0","34,164.0","36,976.0","38,248.0","38,656.0","42,677.0","62,731.0","64,259.0","76,748.0","85,386.0","92,388.0","93,115.0","89,713.0","92,998.0","103,632.0","116,217.0","120,720.0","126,767.0","130,579.0","143,873.0","159,690.0","170,254.0","182,314.0","195,389.0","195,015.0","198,288.0","193,692.0","212,458.0","219,902.0","224,557.0","250,814.0","273,210.0","250,863.0","283,384.0","283,730.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRC1","5,015.0","4,419.0","5,255.0","5,764.0","5,190.0","5,049.0","6,056.0","7,160.0","7,593.0","8,969.0","10,214.0","13,491.0","15,478.0","19,378.0","24,428.0","25,762.0","30,745.0","38,483.0","42,652.0","40,900.0","46,273.0","48,483.0","54,509.0","62,281.0","72,445.0","73,797.0","81,894.0","94,036.0","107,352.0","124,977.0","148,932.0","174,624.0","163,073.0","168,155.0","177,942.0","188,269.0","204,133.0","228,729.0","250,939.0","251,685.0","226,476.0","229,119.0","234,371.0"
"108","90","      Insurance","DINSRC1","14,374.0","15,730.0","17,071.0","19,399.0","21,180.0","22,244.0","23,888.0","27,048.0","32,029.0","37,494.0","40,433.0","43,860.0","47,861.0","54,267.0","58,714.0","66,534.0","73,046.0","72,796.0","72,087.0","85,394.0","99,755.0","111,737.0","123,838.0","133,261.0","147,851.0","148,463.0","152,216.0","155,722.0","164,255.0","174,418.0","182,988.0","199,949.0","204,703.0","209,723.0","230,832.0","250,959.0","274,394.0","279,339.0","288,537.0","282,085.0","264,427.0","283,769.0","288,953.0"
"109","91","        Life insurance (110)","DLIFRC1","6,258.0","6,885.0","6,933.0","7,501.0","8,398.0","9,055.0","10,037.0","11,883.0","13,302.0","15,312.0","16,912.0","19,054.0","20,470.0","22,808.0","23,498.0","25,026.0","28,304.0","28,751.0","28,091.0","33,483.0","38,578.0","42,312.0","51,781.0","53,610.0","59,192.0","54,612.0","54,340.0","52,030.0","55,171.0","55,982.0","56,936.0","64,975.0","61,949.0","58,796.0","60,263.0","70,770.0","76,627.0","81,120.0","83,788.0","82,350.0","75,258.0","82,456.0","85,602.0"
"110","92","        Net household insurance (111)","DFINRC1","300.0","341.0","389.0","444.0","501.0","570.0","617.0","696.0","844.0","1,021.0","1,174.0","1,284.0","1,338.0","1,421.0","1,508.0","1,623.0","1,706.0","1,861.0","2,124.0","2,421.0","2,552.0","2,478.0","2,441.0","2,296.0","2,310.0","2,502.0","2,633.0","2,895.0","2,903.0","3,358.0","3,588.0","3,835.0","4,188.0","4,267.0","4,928.0","5,755.0","6,167.0","6,069.0","7,356.0","7,984.0","7,262.0","7,504.0","7,856.0"
"111","93","        Net health insurance (112)","DHINRC1","4,105.0","4,431.0","5,181.0","6,323.0","6,695.0","6,910.0","7,307.0","8,068.0","10,547.0","12,856.0","13,047.0","13,571.0","15,512.0","18,863.0","21,521.0","26,487.0","28,365.0","25,629.0","23,571.0","29,082.0","36,575.0","43,437.0","45,186.0","50,051.0","55,971.0","58,599.0","60,747.0","64,095.0","68,374.0","74,696.0","79,230.0","88,070.0","94,132.0","100,962.0","116,570.0","120,919.0","133,986.0","135,176.0","135,626.0","130,033.0","122,185.0","135,331.0","136,362.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRC1","3,711.0","4,073.0","4,568.0","5,131.0","5,586.0","5,709.0","5,927.0","6,401.0","7,336.0","8,305.0","9,300.0","9,951.0","10,541.0","11,175.0","12,187.0","13,398.0","14,671.0","16,555.0","18,301.0","20,408.0","22,050.0","23,510.0","24,430.0","27,304.0","30,378.0","32,750.0","34,496.0","36,702.0","37,807.0","40,382.0","43,234.0","43,069.0","44,434.0","45,698.0","49,071.0","53,515.0","57,614.0","56,974.0","61,767.0","61,718.0","59,722.0","58,478.0","59,133.0"
"113","95","    Other services","DOTSRC1","50,460.0","54,595.0","58,051.0","63,677.0","69,332.0","74,361.0","80,344.0","88,620.0","97,744.0","108,319.0","117,213.0","127,144.0","137,178.0","150,931.0","169,849.0","187,441.0","207,851.0","221,175.0","242,433.0","262,845.0","281,310.0","297,888.0","300,866.0","325,813.0","344,216.0","370,704.0","390,469.0","415,340.0","452,274.0","499,783.0","540,863.0","591,076.0","633,995.0","662,679.0","702,848.0","740,448.0","777,095.0","824,692.0","867,406.0","892,553.0","894,708.0","922,819.0","956,155.0"
"114","96","      Communication","DCOMRC1","10,709.0","11,585.0","12,741.0","14,328.0","16,103.0","17,657.0","19,922.0","22,386.0","24,260.0","26,862.0","29,048.0","31,144.0","34,984.0","39,857.0","43,614.0","47,177.0","51,884.0","55,600.0","58,679.0","61,703.0","65,651.0","68,311.0","71,996.0","79,093.0","83,465.0","90,587.0","95,932.0","104,928.0","116,370.0","126,417.0","139,921.0","156,553.0","165,481.0","171,226.0","175,327.0","180,424.0","184,398.0","195,215.0","207,094.0","216,620.0","215,690.0","223,585.0","232,811.0"
"115","97","        Telecommunication services (71)","DTCSRC1","9,285.0","10,095.0","11,048.0","12,444.0","14,153.0","15,546.0","17,741.0","19,829.0","21,565.0","23,874.0","25,717.0","27,574.0","30,889.0","35,140.0","38,639.0","41,786.0","45,978.0","49,261.0","51,879.0","54,390.0","58,135.0","60,702.0","64,003.0","70,998.0","75,008.0","81,291.0","85,168.0","92,770.0","103,149.0","111,081.0","120,001.0","130,226.0","137,580.0","139,841.0","140,170.0","143,124.0","145,902.0","154,275.0","159,437.0","164,412.0","159,106.0","161,491.0","168,978.0"
"116","98","        Postal and delivery services (68)","DPSSRC1","1,424.0","1,490.0","1,693.0","1,884.0","1,950.0","2,111.0","2,181.0","2,557.0","2,695.0","2,988.0","3,331.0","3,570.0","4,095.0","4,717.0","4,975.0","5,391.0","5,906.0","6,339.0","6,800.0","7,288.0","7,466.0","7,509.0","7,793.0","7,790.0","8,045.0","8,491.0","9,153.0","9,483.0","9,646.0","9,787.0","9,865.0","9,890.0","9,658.0","9,456.0","9,029.0","8,849.0","8,608.0","8,885.0","9,228.0","9,261.0","8,600.0","8,376.0","8,186.0"
"117","99","        Internet access (72)","DINTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","25.0","50.0","100.0","200.0","305.0","412.0","805.0","1,611.0","2,675.0","3,575.0","5,549.0","10,055.0","16,437.0","18,243.0","21,929.0","26,128.0","28,451.0","29,888.0","32,055.0","38,429.0","42,947.0","47,984.0","53,718.0","55,647.0"
"118","100","      Education services","DTEDRC1","8,069.0","9,176.0","10,102.0","11,005.0","12,226.0","13,375.0","14,946.0","16,476.0","17,709.0","19,531.0","21,323.0","23,698.0","26,272.0","28,793.0","31,841.0","34,786.0","37,936.0","40,839.0","44,543.0","49,791.0","55,648.0","60,660.0","65,157.0","70,801.0","75,032.0","79,880.0","85,502.0","92,620.0","99,785.0","107,390.0","115,367.0","125,247.0","134,385.0","139,825.0","149,525.0","158,898.0","170,343.0","182,386.0","195,685.0","209,258.0","221,200.0","236,961.0","252,194.0"
"119","101","        Higher education (97)","DHEDRC1","4,457.0","5,188.0","5,889.0","6,487.0","7,107.0","7,637.0","8,170.0","8,861.0","9,640.0","10,258.0","11,409.0","12,862.0","14,767.0","17,007.0","18,806.0","20,533.0","22,260.0","24,130.0","26,097.0","28,465.0","31,516.0","34,742.0","38,400.0","42,334.0","45,449.0","48,628.0","51,912.0","56,361.0","61,261.0","66,027.0","70,774.0","76,776.0","82,917.0","86,986.0","94,350.0","101,175.0","108,747.0","116,557.0","124,974.0","134,261.0","144,970.0","156,662.0","167,519.0"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRC1","2,193.0","2,439.0","2,656.0","2,929.0","3,327.0","3,868.0","4,356.0","4,638.0","4,808.0","5,620.0","6,014.0","6,652.0","7,021.0","7,182.0","7,949.0","8,705.0","9,450.0","9,969.0","10,904.0","11,864.0","13,570.0","14,849.0","15,620.0","16,679.0","17,297.0","18,112.0","19,170.0","20,086.0","20,706.0","21,487.0","22,770.0","24,124.0","25,687.0","26,856.0","28,337.0","29,943.0","31,740.0","33,749.0","36,029.0","38,032.0","38,778.0","39,396.0","41,404.0"
"121","103","        Commercial and vocational schools (99)","DVEDRC1","1,419.0","1,549.0","1,557.0","1,589.0","1,792.0","1,870.0","2,420.0","2,977.0","3,261.0","3,653.0","3,900.0","4,184.0","4,484.0","4,604.0","5,086.0","5,548.0","6,226.0","6,740.0","7,542.0","9,461.0","10,562.0","11,068.0","11,137.0","11,788.0","12,287.0","13,140.0","14,420.0","16,172.0","17,818.0","19,876.0","21,823.0","24,347.0","25,781.0","25,984.0","26,838.0","27,779.0","29,856.0","32,080.0","34,682.0","36,965.0","37,452.0","40,903.0","43,271.0"
"122","104","      Professional and other services (121)","DPRSRC1","8,620.0","9,653.0","10,408.0","11,389.0","12,746.0","14,038.0","14,894.0","16,546.0","18,303.0","20,741.0","22,146.0","24,847.0","28,162.0","30,755.0","33,565.0","37,482.0","42,370.0","46,404.0","51,151.0","57,332.0","62,207.0","67,743.0","70,190.0","75,293.0","78,376.0","80,877.0","82,829.0","87,635.0","92,767.0","100,054.0","107,189.0","113,015.0","120,915.0","126,620.0","136,635.0","142,038.0","148,580.0","155,065.0","163,757.0","168,500.0","163,160.0","164,609.0","166,856.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC1","10,301.0","10,589.0","10,335.0","10,755.0","11,294.0","11,666.0","12,296.0","13,109.0","14,622.0","16,035.0","17,004.0","17,947.0","18,651.0","18,837.0","22,674.0","24,120.0","26,698.0","29,441.0","32,685.0","37,827.0","41,469.0","44,875.0","42,814.0","47,452.0","49,553.0","52,482.0","56,547.0","59,444.0","64,274.0","68,984.0","74,055.0","80,170.0","82,893.0","86,467.0","90,261.0","96,762.0","102,485.0","107,388.0","111,136.0","113,859.0","109,234.0","110,915.0","117,188.0"
"124","106","      Social services and religious activities (120)","DSOCRC1","3,602.0","3,871.0","4,384.0","5,053.0","5,459.0","5,854.0","6,499.0","7,494.0","8,598.0","10,020.0","11,881.0","13,993.0","16,138.0","17,944.0","19,618.0","21,833.0","25,060.0","28,034.0","31,435.0","33,873.0","38,580.0","41,177.0","43,546.0","47,510.0","51,123.0","54,381.0","58,127.0","61,111.0","64,627.0","70,334.0","76,698.0","84,953.0","93,930.0","100,819.0","107,266.0","113,874.0","120,994.0","128,508.0","137,767.0","144,016.0","147,411.0","153,545.0","159,109.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRC1","6,769.0","6,970.0","7,169.0","7,610.0","8,134.0","8,271.0","8,400.0","9,737.0","10,949.0","12,118.0","13,150.0","13,769.0","14,607.0","14,900.0","15,807.0","18,299.0","19,322.0","20,539.0","20,952.0","22,037.0","24,151.0","25,387.0","24,732.0","26,575.0","28,445.0","31,329.0","34,548.0","35,817.0","38,914.0","43,584.0","44,561.0","47,685.0","47,202.0","46,903.0","49,115.0","52,855.0","55,275.0","57,656.0","61,214.0","63,008.0","57,439.0","55,993.0","59,906.0"
"126","108","      Net foreign travel","DFORRC1","2,390.0","2,751.0","2,912.0","3,537.0","3,370.0","3,500.0","3,387.0","2,872.0","3,303.0","3,012.0","2,661.0","1,746.0","-1,636.0","-155.0","2,730.0","3,744.0","4,581.0","318.0","2,988.0","282.0","-6,396.0","-10,265.0","-17,569.0","-20,911.0","-21,778.0","-18,832.0","-23,016.0","-26,215.0","-24,463.0","-16,980.0","-16,928.0","-16,547.0","-10,811.0","-9,181.0","-5,281.0","-4,403.0","-4,980.0","-1,526.0","-9,247.0","-22,708.0","-19,426.0","-22,789.0","-31,909.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRC1","4,717.0","5,414.0","5,853.0","6,832.0","7,324.0","8,127.0","8,759.0","9,380.0","10,285.0","11,107.0","12,063.0","13,304.0","15,001.0","16,522.0","18,394.0","26,109.0","27,904.0","27,795.0","33,932.0","37,336.0","38,434.0","42,702.0","41,678.0","45,990.0","48,818.0","53,339.0","54,710.0","58,446.0","64,578.0","70,973.0","75,408.0","84,257.0","80,629.0","78,097.0","80,461.0","92,314.0","99,762.0","108,528.0","113,895.0","119,808.0","107,086.0","114,823.0","120,791.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC1","2,327.0","2,663.0","2,941.0","3,295.0","3,954.0","4,627.0","5,372.0","6,508.0","6,982.0","8,095.0","9,402.0","11,558.0","16,637.0","16,677.0","15,664.0","22,365.0","23,323.0","27,477.0","30,944.0","37,054.0","44,830.0","52,967.0","59,247.0","66,901.0","70,596.0","72,171.0","77,726.0","84,661.0","89,041.0","87,953.0","92,336.0","100,804.0","91,440.0","87,278.0","85,742.0","96,717.0","104,742.0","110,054.0","123,142.0","142,516.0","126,512.0","137,612.0","152,700.0"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","10,082.0","11,089.0","12,329.0","13,615.0","14,629.0","16,433.0","18,050.0","20,069.0","21,791.0","24,473.0","27,799.0","31,888.0","36,264.0","40,090.0","42,908.0","47,591.0","50,346.0","55,367.0","58,532.0","66,761.0","71,716.0","79,614.0","84,245.0","92,343.0","94,622.0","102,369.0","107,170.0","115,715.0","112,248.0","130,995.0","145,407.0","165,368.0","186,204.0","205,005.0","211,261.0","209,375.0","211,707.0","239,977.0","253,916.0","284,586.0","279,508.0","279,656.0","291,943.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERC1","34,648.0","38,706.0","43,395.0","48,154.0","52,706.0","59,739.0","68,230.0","77,397.0","86,316.0","98,114.0","111,035.0","127,955.0","147,774.0","165,931.0","181,368.0","196,640.0","211,717.0","230,055.0","249,698.0","278,987.0","304,917.0","338,190.0","367,010.0","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,929.0","827,580.0","874,298.0","935,158.0","989,366.0","1,046,516.0","1,078,720.0","1,113,350.0","1,164,469.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRC1","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,668.0","618,205.0","662,591.0","695,181.0","735,450.0","761,930.0","799,212.0","833,694.0","872,526.0"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
