"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"136","124","    Excluding imputations (122-123)","W527RC1",11.9,13,14.1,16.4,23.8,30.3,28.2,32.9,37.9,47.4,70.4,81.8,95.6,102.4,102.4,122.8,112.9,110.9,122.6,151.5,176.9,188,167.3,151,154.4,183,228.3,245.1,278.8,285,319.4,380.2,321.6,311.4,351.1,445.5,572.5,718.3,868.9,848.1,634.9,712.9,796.7,813.1
"137","125","Current payments to the rest of the world","W163RC1",62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,530.2,575,641.3,712.4,774.3,815.6,755.4,830.7,888.9,1020.2,1147.7,1228.1,1363.2,1444.3,1602.5,1886.1,1743.9,1770.4,1913,2256.2,2623.3,2998.4,3250.3,3378.4,2608.7,3018.1,3360.9,3453.5
"138","126","  Imputations (173+185+186)","W522RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,6.4,5.9,5.9,6,5.5,5.6,6.7,8.2,9.7,9.6,8.7,8.7,9,8.7,9.7,9.8,10.7,11.6,13.1,10.3,14.2,15,18.2,18.2,16.4,16.4,16.2
"139","127","  Excluding imputations (125-126)","W529RC1",61.7,68.3,76.2,90.6,109.3,149.5,145.3,173.6,206.2,244.6,298.7,350.6,393.4,386,410.4,511.2,524.3,568.6,635.4,706.6,768.4,810.1,749.9,824,880.8,1010.5,1138.1,1219.4,1354.4,1435.3,1593.8,1876.4,1734.1,1759.8,1901.4,2243.1,2612.9,2984.2,3235.4,3360.2,2590.5,3001.6,3344.5,3437.3
"140","128","  Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1250.6,1474.4,1397.8,1429.7,1544.3,1797.9,2026.1,2240.9,2375.5,2556.4,1976,2362,2669.9,2743.1
"141","129","    Imputations (186)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.1,8.2
"142","130","    Excluding imputations (128-129)","W515RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1247.6,1470.7,1392.9,1424.2,1538.3,1791,2021.6,2233.5,2367.2,2546,1965.7,2353.3,2661.8,2735
"143","131","  Income payments to the rest of the world","A655RC1",5.7,6.4,6.4,7.7,10.9,14.3,15,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,87.3,94.4,105.8,129.5,152.9,154.2,136.8,121,123.6,160.7,201.1,214.6,256,268.5,294.3,345.7,273.5,267.2,288.1,361.4,482.3,655.7,749.1,683.8,496.5,514.1,542.1,565.7
"144","132","    Imputations (173+185)","W532RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,5.8,5.1,5.1,5,4.4,4.3,5.4,6.7,7.9,7.8,7,6.8,6.3,5.7,6,4.9,5.1,5.6,6.2,5.9,6.8,6.7,7.8,7.9,7.8,8.3,8
"145","133","    Excluding imputations (131-132)","W533RC1",5.3,6,5.9,7.1,10.3,13.3,13.4,14.3,15.7,23.5,35.4,44.1,58.6,63,61.3,82.4,81.4,88.6,100.7,124.4,147.9,149.7,132.5,115.6,117,152.8,193.3,207.7,249.1,262.3,288.6,339.7,268.6,262.1,282.5,355.2,476.4,649,742.4,676,488.6,506.3,533.8,557.7
"146","134","  Current taxes and transfer payments to the rest of the world (net)","A123RC1",5.9,6.6,7.9,9.2,7.9,8.7,9.1,8.1,8.1,8.8,10.6,12.6,17,19.8,20.5,23.6,25.7,27.8,26.8,29,30.4,31.7,-4.9,41.9,45.4,46.1,44.1,49.5,51.4,60,57.6,66.1,72.6,73.5,80.7,96.9,114.9,101.7,125.7,138.3,136.1,142,149,144.6
"147",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","135","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1",234.7,233.6,255.6,284.8,341.4,356.7,361.5,420,478.9,571.3,658.6,674.6,781.9,734.7,773.6,923.2,935.2,944.5,992.7,1079.6,1177.8,1208.9,1246.3,1263.5,1320.2,1435.9,1520.1,1637.9,1795.8,1872.2,1960.7,2014.9,1952.5,1918.6,1979.7,2143.5,2303.6,2437.3,2526.9,2380.9,2144,2298.1,2407.7,2655.2
"149","136","  Imputations (208+213)","W558RC1",96.3,95.6,105.2,118.5,130,135.3,145.7,170.1,199.2,228.2,246.2,248.5,260.2,263.4,318.5,365,397.3,443.6,479.1,495.7,509.7,519,514.8,550.1,569.2,606.1,611.7,658,691.5,753.3,816.7,866.2,946.7,1021.8,1116.6,1252.1,1376.6,1409.4,1323.4,1208.2,1109.9,1100.7,1085.2,1112
"150","137","  Excluding imputations (135-136)","W559RC1",138.4,138,150.5,166.2,211.4,221.3,215.8,249.9,279.7,343.1,412.4,426.1,521.8,471.2,455.1,558.2,537.9,500.9,513.6,583.9,668,689.9,731.5,713.5,751,829.8,908.4,979.9,1104.3,1118.8,1144.1,1148.7,1005.8,896.8,863.1,891.4,927,1027.9,1203.5,1172.7,1034.1,1197.4,1322.5,1543.2
"151","138","Net saving","W201RC1",108.2,91.4,97.3,116.8,157.2,143.1,110.7,140.3,171.3,223.1,242.7,204.6,260.2,193.6,158.9,290.2,247.3,185.6,224.2,297.7,277.5,230.7,226.8,192.9,164.3,243.6,306.8,405.3,543.6,622.1,592.3,595.2,460.1,326.7,264.5,318.2,355.5,516.5,242.4,-81.5,-296.6,-126.6,8.8,129.4
"152","139","  Imputations (208+213-164-167-212)","W534RC1",48.3,43.5,49.1,58.5,64.3,60.4,62,79.5,99.4,116.5,120.3,105.5,100.2,89.3,134,167.4,185.8,215.5,232.6,229.9,224.8,216.5,196.9,220.6,223.5,244.6,232.9,267.6,287.5,332.7,371.7,391.5,444.9,497.4,559.2,647.8,713.3,691.3,563.1,423,321.2,301.3,265.9,272.7
"153","140","  Excluding imputations (138-139)","W535RC1",59.9,47.9,48.2,58.2,93,82.7,48.7,60.8,71.9,106.6,122.3,99.1,160,104.3,24.9,122.8,61.5,-29.9,-8.4,67.9,52.7,14.2,29.9,-27.7,-59.3,-1,73.9,137.7,256.1,289.4,220.6,203.7,15.2,-170.8,-294.7,-329.6,-357.9,-174.8,-320.8,-504.5,-617.8,-427.8,-257.1,-143.4
"154","141","  Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.7,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,293,297.9,331.2,403.9,410.8,413.2,242.7,336.9,317.2,551.3,670.7,634.2,668.2,687.4
"155","142","    Imputations (198+208-164-167)","A2121C1",57.9,61.7,76.3,89.5,92.2,86.8,92.5,106,132.4,148.5,148.7,130.6,128.4,121.4,166.4,227.3,224.5,244.6,264.8,282.6,293.8,287.8,274.7,319.7,325.1,354,339.6,349.4,366.9,385.9,394.7,388.5,439.4,484.5,555.4,645.4,705.8,652.4,509.4,375.9,295.8,286.2,262.1,286.2
"156","143","    Excluding imputations (141-142)","A2122C1",17.1,34.4,33.8,19.7,39.6,54.9,66.5,41.3,15.8,18.1,28.8,82.6,124.1,156.3,80.6,84.8,40.6,24.8,-12.8,12.2,22.7,47.7,91.2,106.3,42.5,-22.6,13.4,-4.2,-14.7,19.5,-101.7,-90.5,-108.2,-80.6,-144.6,-232.2,-463.2,-315.5,-192.2,175.5,374.9,348,406.1,401.2
"157","144","  Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,554.4,806,801.9,804.3
"158","145","    Imputations (187-189+194-195-196+197-198)","Y677RC1",-12.5,-13.8,-15.5,-16.1,-14.8,-17.2,-24,-24.7,-30,-29.8,-33.7,-38.4,-41.8,-45.2,-51.7,-100.4,-98.4,-97.7,-110,-120.6,-125,-136.1,-130.3,-130.3,-121.8,-124.8,-120.9,-113.6,-115.8,-99.8,-85.9,-71.8,-65.1,-62.4,-52.5,-50.3,-54,-40.2,-66,-97.4,-58.7,-47.6,-39.2,-20.9
"159","146","    Excluding imputations (144-145)","Y509RC1",46.7,41,52.9,64.1,68.3,56.9,78.3,94.7,116.5,132.7,135.2,110.7,131.2,130.9,167.4,250,256,206.2,233.2,263.9,235.2,238.7,262.5,267.4,267.4,317.6,347.2,364.6,396.7,298.4,309.5,203.2,245.3,377.1,431.1,463.5,538.8,487.3,330.5,264.7,613.1,853.6,841.1,825.2
"160","147","  Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.8,165.8,-51.3,-391.9,-524.9,-508.1,-372,-267.5,-339.4,-800.2,-1521.7,-1566.8,-1461.3,-1362.3
"161","148","    Imputations (213-190-191-194-212)","A2010C1",3,-4.3,-11.8,-14.8,-13.1,-9.2,-6.4,-1.8,-3,-2.2,5.4,13.3,13.7,13.1,19.4,40.5,59.7,68.6,77.8,67.8,56,64.9,52.5,31.2,20.2,15.4,14.3,31.8,36.4,46.6,63,74.9,70.6,75.4,56.3,52.7,61.5,79.1,119.7,144.6,84,62.6,43.1,7.5
"162","149","    Excluding imputations (147-148)","A2011C1",-4,-27.5,-38.5,-25.6,-14.9,-29.1,-96.1,-75.2,-60.5,-44.2,-41.7,-94.2,-95.3,-182.8,-223.1,-211.9,-235.1,-260.8,-228.8,-208.2,-205.2,-272.2,-323.8,-401.4,-369.2,-296,-286.7,-222.7,-125.9,-28.5,12.8,90.9,-121.9,-467.2,-581.2,-560.9,-433.5,-346.6,-459.1,-944.7,-1605.8,-1629.4,-1504.4,-1369.8
"163","150","Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2452.6,2542.9
"164","151","  Imputations (164+167+212)","A2092C1",48,52,56.1,60,65.7,75,83.7,90.5,99.8,111.7,125.8,142.9,160,174.2,184.5,197.6,211.5,228.1,246.5,265.9,285,302.4,317.9,329.5,345.6,361.5,378.8,390.4,404,420.7,444.9,474.7,501.8,524.4,557.4,604.3,663.3,718,760.2,785.2,788.7,799.5,819.3,839.3
"165","152","  Excluding imputations (150-151)","A2093C1",76.8,84.7,92.7,100.9,112.4,131.2,153.9,168.7,188.6,213.4,245.3,283.1,325.1,360.1,376.1,396.7,425.2,454.1,481.4,516.5,551.1,584.4,613.3,630.3,658,694,744,785.6,836,889.6,955.9,1039.6,1102.2,1137.7,1169.8,1227.4,1318.6,1418,1504.1,1578.2,1579.7,1582.1,1633.3,1703.6
"166",NA,"          Specific imputations and associated reclassifications"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","153","  Imputed rental of owner-occupied housing","A2013C1",59,63.8,70,76.7,84,92.8,101.9,111.9,124.7,141.8,160.7,182.5,205.2,222.5,240,261.5,284.6,309.1,333,361.6,388.9,417.6,441.4,468,494.5,530.3,566.2,599.9,636.4,681.4,726.3,777.7,838.2,878.5,922.9,980.3,1057.9,1123.1,1156.1,1199.3,1223.7,1228.7,1248.9,1279.8
"169",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","154","  Intermediate inputs","A2014C1",5.8,6.5,6.7,7.9,9.3,10.8,11.6,14.1,18.3,21.2,25.1,27.3,29.9,29,29.5,34.1,39.8,43.8,45.2,47.8,51.3,54.7,58.9,64.4,61.3,63.1,65.5,71.4,76.9,87.7,87.4,90.6,98.2,100.8,108.7,115.9,129.2,139,145.5,131.9,131.2,132.8,135.9,149
"171","155","    Imputed services (178+184)","Y680RC1",0.9,0.8,0.7,0.8,1.3,1.5,0.5,1.4,1.9,3,4.7,6.1,7.4,5.3,2.3,4.3,6.1,5.3,5.2,6.2,7.9,8.9,8.9,8.8,9.4,10.5,11.6,13.6,16,18.1,20.6,24.4,25,25.5,28.4,31.1,37.2,44.9,50.3,43.5,37.7,36.5,34.5,37.1
"172","156","    Intermediate inputs excluding imputations (154-155)","Y681RC1",4.9,5.7,6.1,7.1,8.1,9.2,11,12.7,16.4,18.2,20.4,21.2,22.5,23.7,27.2,29.8,33.7,38.5,40,41.6,43.4,45.8,50,55.6,51.8,52.5,53.8,57.8,61,69.7,66.9,66.2,73.2,75.3,80.3,84.8,92,94.1,95.2,88.4,93.5,96.2,101.5,111.9
"173","157","  Taxes on production and imports","A2016C1",12.7,14.4,15.8,17.1,18.5,19.8,21.8,24.1,26.6,27.2,28.1,30.6,33.9,37,39.4,42.3,44.9,47.5,51.8,55.2,59.8,63.5,68.2,70.5,70.3,73.7,73.8,76.2,78.9,80.2,83,85.7,90.5,97.4,103.1,109.4,117.5,125.1,134.4,137.6,144.7,144.6,145.2,146.9
"174","158","  Subsidies","B1154C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6,2,1.5,0.9,0.7
"175","159","  Net interest (225-178-184)","A2015C1",14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,139.3,155.2,166.4,177.6,192,205.6,211.2,213.4,210,213.1,232.3,239.3,252.8,262.8,279.1,305.8,326.3,329.3,320.3,322.1,365.7,418.6,460.6,470.3,430.1,388.5,355.1,324.8
"176","160","    Imputations (-178-184)","Y682RC1",-0.9,-0.8,-0.7,-0.8,-1.3,-1.5,-0.5,-1.4,-1.9,-3,-4.7,-6.1,-7.4,-5.3,-2.3,-4.3,-6.1,-5.3,-5.2,-6.2,-7.9,-8.9,-8.9,-8.8,-9.4,-10.5,-11.6,-13.6,-16,-18.1,-20.6,-24.4,-25,-25.5,-28.4,-31.1,-37.2,-44.9,-50.3,-43.5,-37.7,-36.5,-34.5,-37.1
"177","161","    Monetary interest (225)","W498RC1",15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.4,220.1,222.2,219.4,223.6,243.9,252.9,268.7,280.9,299.6,330.2,351.2,354.8,348.7,353.3,402.9,463.5,510.9,513.8,467.8,425,389.6,361.9
"178","162","  Current transfer payments","W536RC1",0,0,0.1,0.2,0.1,-0.3,-0.2,0.1,0.4,0.5,-0.1,-0.3,0.2,0,-0.1,-0.1,-0.3,1,1.6,0.7,-0.9,-0.8,-0.6,-1.4,1.5,1.8,1.7,-0.7,4.6,1.8,2,0.8,-1,2.6,4.4,5.8,11.3,10.7,9.1,3.4,5.6,3.8,-4.7,0
"179","163","  Rental income of persons with capital consumption adjustment (153-154-157+158-159-162-164)","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327.4,367.3
"180","164","  Consumption of fixed capital","B2607C1",11.6,12.4,13.7,15.3,17.5,20.2,22.9,25.5,29.9,35.6,41.8,47.9,52.5,55.4,57.5,61.2,65.3,71.3,78,84.1,90.3,94.8,98.1,101.7,109.1,117,124.6,131.3,138.6,147.9,160.1,174.3,190.1,202.4,221.6,248.2,280.2,307.5,318.1,312.4,297.4,292.6,290.8,292.6
"181","165","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \1\","A2050C1",3.8,4.3,4.8,5.4,6.2,7.3,8.6,9.4,10.4,12,13.9,16.2,18.7,20.9,22.8,26,26.7,29.1,31,34,37.1,39.5,42.2,44.8,48.9,49.5,52.3,54.5,57.2,60.8,65.2,70.2,74.4,78,82.2,87.2,93.1,99.3,106,112.2,115.3,116.5,120,124.5
"182","166","  Monetary interest (226)","W319RC1",0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9,14.2,13.4,12.6,12
"183","167","  Consumption of fixed capital","B1157C1",3.2,3.6,4,4.5,5.1,6.1,7.1,7.8,8.7,9.8,11.2,12.8,14.3,15.7,16.7,17.8,18.8,20,21.5,23.3,25.4,27.7,29.9,32,34,35.7,37.5,38.8,40.8,43.9,47.9,52.6,56.8,60.8,65.6,71.1,77.5,84,90.7,97.3,101.1,103.1,107.3,112.5
"184","168","Financial services furnished without payment (169+174)","W537RC1",21.6,24.7,25.5,27.8,32.5,39.4,44,46.6,52.1,63.5,73.4,81.3,89.6,94.3,105.4,112,128.7,128.8,129.5,135.1,138,136,135.6,149.5,163.1,177.2,183.7,195.1,214.1,231.4,248.7,272.5,268.1,272.2,281.6,301.3,328.8,350.8,384.1,380.6,343.9,354.4,352.2,365.3
"185","169","  Depositor services","Y521RC1",13.8,17.5,20,21.5,21.4,25.8,40.4,35.4,37.4,41,38.7,37.7,36,56.8,89.8,80.3,107,110.4,110,111.6,109.2,104.5,105.2,119.7,132.1,141.8,145.3,150.6,161.6,170.4,178.8,190.7,184,190.1,197,212.1,226.6,228.1,240.6,241.5,221.9,231.2,232.2,229.1
"186","170","    Persons","B1611C1",7.2,9,10.1,11.1,11.8,14.4,21.6,19.9,21.5,25,24.3,22.9,21,27.7,51.7,48.5,69.5,72.7,74.4,76.1,75.2,71.8,74.2,86.9,96.3,104.2,106,109.7,117.1,125.6,133.1,143.2,137.3,140.9,145.1,159.2,171.5,171.5,180.7,187.5,179.3,191.3,201.2,196.2
"187","171","    Government","W538RC1",1.4,1.8,2.3,2.4,2.3,2.4,3.2,3,3.2,2.5,1.8,1.3,0.8,2.3,3.3,2.7,5.3,5.7,4.3,4,4,3.6,4.1,3.8,3.9,4.1,4.5,4.6,4.7,4.8,5.5,5.7,4.4,4.8,5.1,5.2,5.5,5.7,5.7,5.2,4.4,4.8,4.6,5
"188","172","    Private enterprises","W539RC1",4.8,6.2,7.1,7.4,6.7,8,14,11.3,11.5,12.4,11.6,12.8,13.7,25.3,31.3,26,26.3,26.6,26.6,26.7,25.3,25,23,24,25.8,26.3,27.7,30.1,33.7,34.6,35.4,36.9,38.4,40.7,43,43.6,45.1,46.2,49.5,43.2,32.4,29.3,20.2,22.4
"189","173","    Rest of the world \2\","W540RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,5.4,4.7,4.8,4.7,4.1,4,4.9,6.2,7.3,7.1,6.2,6.1,5.4,4.7,4.9,3.9,3.8,3.8,4.1,4.5,4.7,4.7,5.6,5.7,5.8,6.2,5.6
"190","174","  Borrower services","W541RC1",7.8,7.1,5.5,6.4,11.2,13.6,3.7,11.2,14.6,22.4,34.6,43.6,53.6,37.4,15.6,31.6,21.7,18.4,19.4,23.5,28.8,31.4,30.4,29.8,31.1,35.4,38.4,44.5,52.5,61,69.8,81.8,84,82.1,84.5,89.2,102.2,122.7,143.5,139.1,122.1,123.2,120,136.2
"191","175","    Persons","W542RC1",1.7,1.6,1.3,1.5,2.6,3,0.8,2.7,3.6,5.6,8.3,10.1,11.6,7.9,3.3,6.7,3.3,3,2.9,3.4,4.2,4.4,4.4,4.2,4.5,5.5,6.3,7.6,8.6,9.1,9.7,10.7,10.7,10.3,10.4,11.2,12,14,16,14.8,13.4,19.1,17.9,20.6
"192","176","    Government","W543RC1",0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1,1.1,1.5
"193","177","    Private enterprises","W544RC1",5.4,5.1,4.2,4.7,8.3,10.1,2.7,8,10.3,15.7,24.2,30.8,38.4,28.1,11.8,24.1,18,15.1,16.2,19.8,24.2,26.6,25.6,25.2,26,29.4,31.5,36.1,43,50.7,58.8,69.6,71.8,70.3,72.7,76.5,88.5,106.6,125.1,121.7,106.3,101.6,98.9,111.5
"194","178","      Of which: Owner-occupied housing","W546RC1",0.8,0.7,0.6,0.7,1.2,1.4,0.4,1.2,1.7,2.8,4.5,5.9,7.1,5,2,3.9,5.7,4.8,4.6,5.6,7.3,8.2,8.1,8,8.5,9.5,10.7,12.6,14.9,17,19.4,23.3,23.8,24.2,27.1,29.8,35.9,43.5,48.9,42.1,36.5,35.3,33.2,35.8
"195","179","    Rest of the world \3\","W548RC1",0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.5,0.7,1.2,2.1,2.7,3.6,1.4,0.5,0.9,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.2,1.1,1.1,1,1.2,1.6,1.6,1.8,1.5,1.6,2,2.7
"196","180","Premium supplements for property and casualty insurance (181+182+183+185-186)","Y524RC1",0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.2,19.2,19.7,20.6,21.8,22.7,23.2,25.9,27.3,26.8,27.6,27.6,28.2,28.6,30.1,31.1,33,34.5,33.8,32,32.8,32.2,33.5,27.5,24,24.9,30.2
"197","181","  Persons and nonprofit institutions serving households","W549RC1",0.5,0.5,0.7,0.7,0.8,0.9,1.1,1.3,1.7,1.9,2.2,2.6,3,3.4,4,4.8,6,7.5,8.7,9.4,10.2,10.9,11.3,11.6,12.6,12.8,12.4,12.9,12.8,13.2,12.9,14.1,14.3,13.4,13.5,12.8,12.8,12.5,12.3,11.6,9.5,7.5,7.4,11.5
"198","182","  Government","W550RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
"199","183","  Private enterprises","W551RC1",0.4,0.5,0.7,0.8,0.8,0.9,1.1,1.3,1.7,2,2.2,2.5,2.7,3.1,3.5,4.2,6.1,9.8,10.7,10.5,10.9,11.5,12.1,12.4,14.1,15.5,15.4,15.6,15.8,16.5,17.6,18.3,20.5,23.5,25,25.6,21.9,25.4,26,29.8,25.9,23,23.4,24.2
"200","184","    Of which: Owner-occupied housing","W553RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.2,1.2,1.2,1.3
"201","185","  To the rest of the world (exports)","W554RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1,1.4,1.7,2,1.4,2.1,2,2.2,2.2,2,2.1,2.5
"202","186","  From the rest of the world (imports)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.1,8.2
"203",NA,"Defined benefit pension plans:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","187","  Output","Y616RC1",0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.3,1.5,1.8,2,2.5,2.8,3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,21,21.3
"205","188","  Imputed employer contributions","Y604RC1",8.4,7.8,8,8.4,3.7,-0.1,0.8,-8.3,-11.8,-15.6,-17.7,-21.8,-24.8,-25.9,-22.2,-28.6,-23.4,-14.5,-11.9,-4.6,10.5,15.6,12.3,28.2,23.4,19.6,19.7,30.6,42.3,48.9,63.2,67.8,64.3,31.7,-0.9,37,36.1,34.9,39.2,-5.8,-22.9,-24.3,-44.9,-70.2
"206","189","    Corporate business","Y240RC1",-1.2,-2.2,-3.6,-4.4,-7.8,-10.2,-7.1,-12.5,-13.1,-17.2,-17.6,-18.1,-19.4,-18.8,-14.1,-12.9,-6.6,2.9,7.7,12.7,20.5,23.2,18.1,23.5,20,15.4,13.8,27.3,36.1,35,43,40,28.7,-5.4,-36.8,-10.1,-6.3,-2.2,23.3,-15.3,-25.3,-39,-47.3,-62.4
