"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"83","76","      Information processing equipment","DIPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5388.605,5414.165,5411.034,5300.448,5294.566,5295.735,5559.305,5828.3,6021.459,6333.626,6683.66,6932.196,7402.748,7890.048,8141.897,8433.258,8979.95,9587.889,10172.08,10940.405,11498.637,11049.195,11037.475,10027.156,7644.292,6886.206,6485.958,5099.475,4673.963,4328.09,4055.9,3467.684,2942.108,2272.879,1778.633,1563.557,1254.88,880.76,605.28,422.449,310.563,254.179,195.733,157.106,129.494,114.923,100,87.238,79.309,71.535
"84","77","      Services related to video and audio goods and computers","DSVCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.038,25.421,25.565,25.606,25.681,25.677,25.248,24.861,25.233,25.768,25.765,25.33,25.838,26.018,26.569,27.399,28.5,29.272,30.173,31.594,33.408,35.85,38.101,40.117,41.54,43.489,45.68,47.214,49.417,52.133,54.966,58.727,63.138,66.063,69.517,69.311,70.214,73.312,77.341,80.63,82.834,85.494,87.974,91.964,94.799,97.705,100,103.548,105.209,107.74
"85","78","    Sports and recreational goods and related services","DODRRG3",28.158,27.168,23.937,19.73,19.67,22.405,23.559,22.716,25.794,23.558,21.791,22.888,22.771,27.248,28.683,33.211,34.61,35.34,38.635,41.685,41.25,40.41,42.802,43.698,43.008,41.909,42.247,42.439,43.336,43.999,43.638,44.43,44.963,45.606,46.12,45.817,45.791,46.341,47.586,49.928,52.476,53.03,56.216,57.171,58.597,62.712,67.897,70.496,73.12,76.534,81.025,87.959,94.041,97.92,99.017,100.192,101.057,101.003,102.693,106.356,109.26,112.21,114.834,116.692,116.389,117.863,118.429,118.051,116.546,114.396,110.84,109.063,107.98,105.206,102.731,101.682,100,99.274,97.601,97.875
"86","79","      Sports and recreational vehicles","DWHLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.538,28.169,28.067,28.347,28.718,28.915,29.015,29.465,30.204,31.264,32.539,31.4,35.285,36.554,38.196,42.514,46.888,49.22,52.305,55.52,59.286,64.879,68.961,71.7,72.608,75.118,77.255,77.23,77.612,80.088,82.5,84.524,86.238,88.052,88.982,91.061,93.608,94.397,93.745,93.933,96.106,97.905,99.298,98.823,98.046,98.412,100,102.351,101.542,102.617
"87","80","      Other sporting and recreational goods","DORIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.242,54.144,54.965,55.793,56.398,55.857,55.765,56.379,57.92,61.029,64.374,66.367,68.406,68.862,69.748,72.943,78.155,80.637,82.44,85.578,90.157,97.479,104.479,108.854,110.01,110.261,110.239,110.191,112.62,116.796,119.869,123.167,126.123,128.011,127.236,128.459,128.216,127.363,125.493,122.343,116.439,113.285,111.281,107.671,104.54,102.944,100,98.137,96.143,96.123
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.144,29.054,28.82,29.16,29.7,30.205,30.548,31.264,32.132,33.353,34.972,32.594,38.745,40.619,43.07,49.222,55.185,58.176,62.47,66.017,70.251,76.632,81.758,85.078,86.108,88.722,90.568,89.998,90.384,93.675,96.23,99.522,102.632,104.099,104.063,105.871,107.002,106.91,106.145,105.522,104.186,103.044,102.621,100.841,99.852,99.616,100,101.456,100.839,102.523
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRG3",6.259,6.179,5.914,5.635,5.277,5.298,5.367,5.488,5.684,5.788,5.743,5.813,6.017,6.315,6.823,7.768,8.189,8.62,9.149,9.352,9.514,9.592,9.889,10.117,10.543,11.045,11.489,11.804,12.247,12.712,13.032,13.725,14.278,14.756,15.227,15.863,16.377,17.019,17.777,18.862,19.957,21.344,22.435,23.164,24.069,25.867,27.91,29.579,31.277,33.386,35.536,37.944,40.094,42.344,44.474,46.53,48.677,51.016,53.184,55.144,58.136,61.202,64.296,66.019,67.81,70.105,71.747,74.283,76.634,78.54,82.167,86.016,89.303,91.738,95.119,97.41,100,103.61,106.916,109.797
"90","83","      Membership clubs and participant sports centers","DMDFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.809,14.71,15.443,16.108,16.724,17.29,17.288,17.563,18.129,18.796,19.359,20.147,21.093,21.645,22.494,23.778,25.232,26.631,28.07,30.336,32.528,35.492,38.781,42.119,44.782,47.179,49.788,52.59,55.687,58.726,62.036,65.335,69.081,71.945,75.354,79.154,79.046,81.556,84.948,87.226,90.076,92.749,95.097,96.188,98.891,99.372,100,103.772,105.357,107.162
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.675,16.121,16.461,16.696,17.032,17.318,17.725,18.342,18.963,19.931,21.242,23.014,24.245,25.211,26.221,28.654,31.22,33.708,36.194,38.592,40.586,43.423,45.642,47.583,49.167,50.658,52.554,55.231,56.652,57.49,59.738,62.471,65.063,66.96,68.728,70.277,72.437,74.334,76.37,78.412,81.86,85.563,88.943,91.653,95.394,97.711,100,103.501,106.776,109.446
"92","85","      Admissions to specified spectator amusements","DADMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.078,11.718,12.231,12.689,13.124,13.944,14.769,15.589,16.488,17.819,19.01,20.388,21.424,22.051,22.885,24.394,26.278,27.36,28.504,30.235,32.449,34.121,35.537,37.479,39.837,42.238,44.33,46.004,48.15,50.358,53.902,57.172,60.333,60.994,61.634,63.734,65.98,69.25,71.177,72.686,77.029,81.802,85.732,88.863,92.27,95.743,100,103.594,108.127,112.105
"93","86","        Motion picture theaters","DMOVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.595,10.221,10.745,11.214,11.627,12.569,13.561,14.602,15.697,17.213,18.619,20.441,21.64,22.22,23.1,24.72,26.75,27.847,29.012,30.711,32.965,34.653,36.098,38.065,40.462,42.912,45.039,46.745,48.975,51.17,54.756,58.132,61.232,61.957,62.617,64.782,67.067,70.355,72.31,73.854,78.444,83.43,86.502,89.223,93.883,96.853,100,103.504,107.582,110.027
"94","87","        Live entertainment, excluding sports","DLIGRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.601,10.222,10.74,11.219,11.635,12.597,13.54,14.612,15.692,17.214,18.632,20.427,21.629,22.233,23.134,24.651,26.765,27.884,29.009,30.737,32.978,34.691,36.123,38.086,40.497,42.925,45.059,46.754,48.898,51.168,54.801,58.064,61.365,61.998,62.639,64.769,67.023,70.357,72.341,73.866,78.394,83.417,86.491,89.313,93.839,96.865,100,103.529,107.569,110.026
"95","88","        Spectator sports","DSPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.543,16.002,16.301,16.6,17.055,17.357,17.654,17.809,18.205,19.108,19.862,20.414,21.164,21.871,22.619,23.974,25.535,26.585,27.717,29.511,31.67,33.305,34.684,36.594,38.885,41.226,43.26,44.895,46.978,49.154,52.601,55.788,58.907,59.539,60.164,62.192,64.41,67.616,69.479,70.951,74.969,79.386,84.679,88.379,89.986,94.153,100,103.697,108.868,114.809
"96","89","      Museums and libraries","DMUSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.608,10.226,10.755,11.216,11.656,12.581,13.562,14.593,15.726,17.225,18.66,20.444,21.637,22.237,23.147,24.655,26.764,27.885,29.017,30.724,32.974,34.692,36.127,38.087,40.487,42.901,45.056,46.739,48.963,51.172,54.743,58.081,61.322,61.991,62.639,64.772,67.021,70.354,72.341,73.878,78.379,83.417,86.522,89.297,93.85,96.868,100,103.531,107.57,110.018
"97","90","    Magazines, newspapers, books, and stationery","DNBSRG3",7.57,7.419,7.096,6.921,6.601,6.641,6.622,6.686,6.88,7.051,7.111,7.189,7.207,7.588,8.173,8.55,8.715,8.981,9.774,10.685,11.202,11.468,11.985,12.583,12.996,13.08,13.442,13.792,14.647,15.376,15.608,15.837,16.05,16.282,16.882,17.497,17.993,18.612,19.298,20.329,21.241,22.539,23.942,24.546,25.367,28.709,32.525,34.517,36.715,38.553,41.057,45.027,49.236,53.25,56.427,58.081,60.551,62.461,64.113,66.19,68.726,71.457,75.48,78.928,81.248,83.613,87.368,91.081,92.801,95.023,95.278,95.543,96.699,98.412,98.474,98.943,100,100.792,101.966,104.007
"98","91","    Gambling","DGAMRG3",5.358,5.33,5.046,4.807,4.896,5.059,5.154,5.057,5.36,5.723,5.528,5.37,5.959,6.436,6.673,7.195,7.54,9.333,10.95,12.744,13.035,12.507,12.253,13.383,14.086,14.345,14.435,14.797,15.456,16.015,16.456,16.699,16.879,17.078,17.292,17.521,17.794,18.332,18.838,19.642,20.706,21.921,22.853,23.602,25.088,27.834,30.379,32.155,34.231,36.572,39.998,44.345,48.468,51.304,53.414,55.597,57.475,58.531,60.473,62.709,65.378,68.669,71.186,73.052,74.943,76.554,78.423,80.542,82.258,83.479,85.331,88.179,90.659,92.118,94.223,96.739,100,103.225,106.186,110.214
"99","92","    Pets, pet products, and related services","DPETRG3",10.047,9.573,8.202,7.105,7.098,7.801,8.285,8.319,8.622,8.186,8.13,8.147,8.698,10.021,11.238,11.467,11.817,13.075,15.107,16.037,15.624,15.832,17.324,17.734,17.654,17.724,17.567,17.84,18.328,19.019,18.947,19.215,19.431,19.733,19.956,20.557,21.244,22.145,23.108,24.82,26.077,27.52,28.951,29.693,30.59,32.388,34.462,35.911,37.42,38.748,41.579,45.92,50.259,53.044,55.019,57.004,58.918,60.544,62.105,64.18,67.654,70.132,72.915,73.007,73.855,75.365,76.422,79.754,81.782,82.872,84.391,86.494,89.283,92.084,93.988,97.495,100,103.88,108.142,116.808
"100","93","    Photographic goods and services","DPHORG3",25.151,25.017,24.239,23.067,22.484,22.948,23.45,23.646,24.642,25.127,24.791,25.279,25.261,27.566,28.085,31.102,32.453,33.874,36.67,38.83,39.063,38.928,41.503,42.161,42.835,42.766,42.981,44.357,45.124,46.057,46.113,46.609,47.22,47.967,48.712,52.123,51.361,50.509,50.415,50.872,50.683,50.397,50.497,51.756,52.233,54.078,56.489,57.629,58.003,60.048,62.691,68.182,71.196,73.689,75.305,76.915,78.819,82.234,85.702,88.032,91.583,94.819,97.765,100.078,102.055,102.888,105.142,106.99,109.016,108.827,107.969,107.997,107.579,107.425,106.102,102.809,100,96.766,92.705,91.131
"101","94","    Package tours \14\","DXHLRG3",14.15,13.837,13.91,13.829,13.73,14.017,13.803,14.053,14.053,13.385,13.605,13.49,13.962,14.269,14.676,15.263,15.254,15.258,15.231,16.097,15.53,15.367,15.367,15.367,15.029,15.144,15.029,15.15,15.15,15.15,15.674,16.117,16.463,16.695,17.028,17.32,17.729,18.361,18.977,19.927,21.246,23.014,24.249,25.213,26.229,28.65,31.226,33.725,36.202,38.595,40.6,43.392,45.644,47.602,49.167,50.663,52.575,55.24,56.654,57.501,59.758,62.491,65.052,66.963,68.738,70.269,72.448,74.356,76.368,78.433,81.881,85.551,88.935,91.641,95.394,97.712,100,103.521,106.768,109.423
"102","95","  Education","DEDURG3",2.866,2.862,2.735,2.661,2.422,2.461,2.444,2.465,2.52,2.537,2.545,2.541,2.651,2.781,3.036,3.232,3.35,3.575,3.888,4.177,4.27,4.36,4.594,4.672,4.762,4.856,4.963,5.19,5.395,5.554,5.746,5.868,5.976,6.104,6.239,6.379,6.605,6.904,7.186,7.517,7.974,8.507,8.969,9.44,10.132,11.402,12.387,13.286,14.15,14.918,16.201,17.974,20.087,22.376,24.316,26.406,28.419,30.408,32.565,34.979,37.449,40.08,43.315,46.889,50.231,53.174,56.082,59.069,61.92,64.748,67.938,71.356,75.191,80.077,86.178,93.319,100,106.339,112.499,119.084
"103","96","    Educational books","DEBKRG3",4.707,4.544,4.33,4.157,3.944,3.905,3.906,3.943,4.006,4.068,4.106,4.092,4.144,4.157,4.469,4.595,4.77,4.945,5.344,5.845,6.232,6.321,6.471,6.884,7.186,7.261,7.399,7.498,8.038,8.55,8.689,8.731,8.725,8.547,8.537,8.54,8.959,9.401,9.707,10.208,10.776,11.185,11.933,12.719,13.134,13.591,14.482,15.459,16.439,17.743,18.875,20.456,22.953,25.926,28.562,30.878,33.483,36.225,38.935,41.663,44.351,47.963,50.451,53.228,55.087,57.078,59.265,62.632,65.68,68.767,71.565,76.548,80.936,86.817,91.743,95.991,100,106.342,115.048,123.073
"104","97","    Higher education","DHEDRG3",2.57,2.569,2.469,2.345,2.171,2.22,2.196,2.221,2.27,2.295,2.295,2.27,2.345,2.47,2.67,2.844,2.994,3.194,3.393,3.567,3.617,3.692,3.868,3.892,3.916,4.016,4.116,4.267,4.367,4.416,4.639,4.759,4.878,5.063,5.248,5.445,5.682,5.968,6.272,6.652,7.1,7.598,8.073,8.52,8.987,9.762,10.486,11.209,11.947,12.605,13.613,14.909,16.756,19.013,20.992,23.141,25.248,27.287,29.345,31.576,34.075,36.827,40.566,44.929,49.144,52.586,55.745,58.913,61.907,64.524,67.076,69.852,73.406,78.415,84.983,93.034,100,106.7,113.382,120.457
"105","98","    Nursery, elementary, and secondary schools","DNEHRG3",2.107,2.055,1.951,2.08,1.769,1.795,1.795,1.795,1.847,1.847,1.847,1.873,2.003,2.106,2.287,2.493,2.621,2.825,3.157,3.512,3.587,3.714,3.991,4.091,4.242,4.342,4.467,4.667,4.866,5.041,5.157,5.29,5.419,5.486,5.549,5.581,5.711,5.932,6.093,6.254,6.642,7.217,7.572,7.959,9.054,10.911,12.151,13.216,14.003,14.466,15.755,17.663,19.672,21.855,23.673,25.697,27.665,29.726,32.131,34.853,37.546,40.447,43.576,46.731,49.841,52.732,55.994,58.753,61.771,65.726,69.68,74.241,78.781,83.882,89.009,94.327,100,105.722,111.224,117.27
"106","99","    Commercial and vocational schools \15\","DVEDRG3",5.641,5.798,5.528,5.155,4.778,4.843,4.812,4.858,4.949,4.955,5.018,5.013,5.256,5.574,6.247,6.603,6.51,7.02,7.84,8.41,8.568,8.642,9.151,9.18,9.285,9.343,9.423,10.226,10.782,11.281,11.552,11.67,11.667,11.827,11.982,12.247,12.559,13.042,13.501,13.92,14.497,15.069,15.487,16.072,16.895,19.885,21.649,22.977,24.613,26.478,29.321,33.58,36.994,38.562,39.461,40.659,41.448,42.278,43.924,46.393,48.25,49.444,51.067,52.33,53.17,54.705,56.544,59.044,61.146,63.362,68.017,71.854,75.752,79.679,85.54,92.346,100,105.685,109.914,114.943
"107","100","  Food services and accommodations","DFSARG3",7.205,6.762,5.834,4.925,4.763,5.126,5.512,5.521,5.717,5.449,5.339,5.401,5.889,6.883,7.722,8.053,8.322,9.257,10.333,10.803,10.513,10.698,11.502,11.76,11.658,11.789,11.762,11.896,12.288,12.6,13.05,13.403,13.672,14.012,14.315,14.537,14.823,15.396,16.25,17.098,18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.348,111.599
"108","101","    Food services","DFSERG3",7.362,6.886,5.897,4.948,4.813,5.231,5.652,5.655,5.852,5.554,5.431,5.502,6.023,7.073,7.959,8.309,8.592,9.585,10.725,11.207,10.871,11.055,11.89,12.145,12.011,12.135,12.09,12.215,12.615,12.933,13.404,13.775,14.058,14.422,14.751,14.984,15.281,15.895,16.789,17.665,18.715,20.096,21.183,21.989,23.543,26.361,28.773,30.651,32.848,35.618,39.378,43.067,46.83,49.288,51.38,53.541,55.683,57.959,60.163,62.637,65.464,68.469,71.112,72.553,73.873,75.07,76.719,78.605,80.785,82.778,84.833,86.973,89.647,92.103,94.138,96.989,100,103.188,106.985,111.681
"109","102","      Purchased meals and beverages \16\","DPMBRG3",7.276,6.795,5.831,4.893,4.761,5.168,5.581,5.578,5.772,5.485,5.364,5.435,5.877,6.8,7.631,7.957,8.197,9.441,10.587,11.021,10.682,10.805,11.505,11.765,11.719,11.948,12.017,12.217,12.631,12.93,13.408,13.78,14.062,14.425,14.754,14.987,15.281,15.888,16.788,17.665,18.712,20.092,21.182,21.986,23.531,26.339,28.746,30.62,32.81,35.573,39.32,42.997,46.752,49.207,51.298,53.458,55.602,57.882,60.083,62.558,65.382,68.384,71.036,72.48,73.802,74.999,76.647,78.534,80.714,82.716,84.776,86.945,89.664,92.125,94.122,96.978,100,103.182,106.989,111.697
"110","103","      Food furnished to employees (including military)","DFOORG3",7.682,7.309,6.102,5.115,4.955,5.471,5.954,6.04,6.245,5.824,5.697,5.761,7.284,9.562,10.914,11.443,11.983,11.372,12.472,13.556,13.269,14.274,16.793,17.017,15.877,14.751,13.299,12.473,12.675,13.263,13.647,14.01,14.313,14.692,15.037,15.29,15.634,16.363,17.194,18.084,19.197,20.623,21.683,22.553,24.331,27.44,29.993,32.022,34.407,37.373,41.487,45.538,49.54,52.108,54.289,56.5,58.638,60.834,63.153,65.622,68.56,71.678,73.988,75.351,76.608,77.783,79.455,81.316,83.515,85.174,87.025,88.07,88.972,91.248,94.78,97.397,100,103.407,106.867,111.11
"111","104","    Accommodations \17\","DACCRG3",7.073,6.934,6.563,5.992,5.381,5.071,5.066,5.165,5.412,5.556,5.607,5.537,5.621,5.933,6.181,6.274,6.353,6.497,6.839,7.246,7.56,7.808,8.323,8.685,9.077,9.36,9.61,9.907,10.282,10.561,10.811,10.999,11.14,11.234,11.266,11.395,11.6,11.803,12.336,12.973,13.826,14.868,15.512,15.883,16.552,17.695,18.996,20.45,22.104,24.84,28.189,31.915,35.429,39.202,41.187,44.272,47.372,49.359,52.495,55.575,58.164,60.762,63.872,65.728,67.775,69.704,72.231,75.459,78.699,81.939,84.611,88.494,89.698,89.899,91.304,96.227,100,104.402,109.71,111.124
"112","105","  Financial services and insurance","DIFSRG3",5.774,5.64,5.129,4.565,4.354,4.509,4.704,4.916,5.131,5.009,4.972,5.113,5.248,5.605,5.86,6.103,6.335,7.005,7.303,7.685,7.824,7.976,8.074,8.566,9.539,9.882,10.176,10.499,10.85,11.019,11.65,12.159,12.57,13.088,13.103,13.651,13.998,14.842,15.183,16.307,17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.726,109.986
"113","106","    Financial services","DFNLRG3",6.075,5.917,5.339,4.756,4.498,4.469,4.905,5.172,5.393,5.268,5.207,5.453,5.59,5.868,6.17,6.561,6.711,7.665,8.291,8.696,9.078,9.476,9.835,10.134,11.712,12.163,13.141,14.311,14.636,14.351,15.36,16.239,16.724,17.743,17.652,18.62,18.742,20.176,20.504,21.795,24.756,25.863,26.534,27.828,28.466,32.509,35.815,35.85,36.968,43.013,46.394,51.058,54.301,55.182,59.793,61.272,63.673,69.51,72.838,75.442,73.96,75.462,79.343,85.971,82.894,82.284,84.372,85.593,90.853,92.373,91.882,91.366,89.636,91.773,94.386,97.264,100,102.169,106.185,109.941
"114","107","      Financial services furnished without payment","DIMPRG3",4.878,4.525,3.742,3.002,2.735,2.695,3.106,3.368,3.556,3.33,3.276,3.493,3.62,3.868,4.189,4.603,4.806,5.776,6.246,6.517,6.841,7.408,7.804,8.095,9.928,10.346,11.533,12.738,12.918,12.351,13.446,14.104,14.495,14.875,13.713,15.002,15.656,16.968,17.803,17.869,21.319,22.728,22.367,23.25,24.431,29.007,31.606,31.061,32.093,37.477,40.592,43.659,45.252,44.326,49.014,50.64,52.511,58.021,62.381,64.979,61.876,63.042,67.304,74.953,70.015,71.108,72.585,73.768,79.918,84.396,86.812,90.103,89.307,92.625,95.81,97.657,100,101.128,105.44,110.188
"115","108","      Financial service charges, fees, and commissions","DOFIRG3",9.224,9.488,9.628,9.959,9.823,9.846,10.163,10.346,10.613,11.012,10.964,11.141,11.187,11.317,11.251,11.326,11.231,11.853,12.826,13.594,14.041,13.725,13.895,14.141,14.396,14.838,15.077,15.945,16.608,17.096,17.779,19.05,19.688,22.011,24.643,24.595,23.433,24.982,24.293,27.87,29.344,29.375,33.247,35.574,33.955,34.147,39.246,42.068,43.07,49.437,52.499,62.168,70.813,78.405,80.961,81.258,84.898,90.088,88.975,91.002,94.835,97.031,99.098,101.993,103.98,99.31,102.596,103.794,106.836,102.99,98.199,92.95,90.117,90.861,92.841,96.838,100,103.233,106.958,109.682
"116","109","    Insurance","DINSRG3",4.39,4.304,3.942,3.506,3.365,3.585,3.623,3.765,3.932,3.836,3.818,3.885,3.991,4.304,4.484,4.61,4.831,5.217,5.291,5.58,5.586,5.603,5.577,6.025,6.553,6.777,6.732,6.659,6.937,7.233,7.573,7.822,8.111,8.313,8.364,8.627,8.984,9.403,9.678,10.495,10.988,11.624,12.724,13.664,13.996,14.289,14.901,16.252,18.395,20.185,20.734,21.786,23.74,26.269,29.283,32.805,34.367,34.428,34.089,37.671,42.208,46.016,47.612,50.702,54.594,57.275,60.704,65.521,69.178,71.652,74.352,77.034,78.479,81.14,87.147,95.327,100,102.509,107.592,110.02
"117","110","      Life insurance \18\","DLIFRG3",4.196,4.07,3.776,3.315,3.105,3.273,3.315,3.441,3.608,3.483,3.44,3.524,3.65,3.944,4.196,4.447,4.574,4.909,5.119,5.497,5.748,6.042,6.462,6.672,7.007,7.175,7.343,7.678,7.972,8.266,8.661,9.029,9.296,9.611,9.834,10.205,10.465,10.84,11.218,11.867,12.456,13.204,13.786,14.506,15.299,16.418,17.604,18.986,20.732,22.481,24.132,26.128,27.815,29.499,31.731,33.725,36.872,40.065,42.964,45.543,47.556,50.321,52.295,55.275,57.319,59.014,61.218,65.065,68.57,72.38,75.946,81.485,81.779,88.044,91.641,96.098,100,102.862,106.059,106.724
"118","111","      Net household insurance \19\","DFINRG3",1.844,1.769,1.675,1.653,1.692,1.753,1.802,1.776,1.849,1.799,1.783,1.818,1.937,2.056,2.213,2.361,2.421,2.522,2.81,2.993,3.083,3.157,3.362,3.568,3.672,3.811,3.886,3.975,4.063,4.183,4.374,4.338,4.396,4.479,4.764,5.246,6.056,6.795,7.571,8.099,8.559,9.041,10.008,10.409,10.388,9.373,9.525,11.256,12.61,12.888,13.762,15.421,16.942,18.841,20.601,21.516,22.815,25.143,26.554,28.276,29.785,30.449,31.485,32.587,35.068,37.767,42.253,45.79,50.697,51.432,54.602,58.583,64.258,71.583,89.131,95.115,100,101.266,106.316,112.828
"119","112","      Net health insurance","DHINRG3",4.836,4.89,3.863,3.315,3.667,4.452,4.623,5.074,5.422,5.501,5.543,5.538,5.515,6.091,6.375,6.207,6.906,7.406,7.047,6.841,5.795,5.389,4.44,4.971,5.75,6.272,5.945,5.366,5.645,5.713,5.969,6.115,6.591,6.801,6.581,6.722,7.072,7.456,7.535,9.03,9.274,9.508,11.015,12.626,12.673,12.476,12.524,13.04,16.206,18.734,17.441,17.377,20.189,24.697,29.186,35.003,34.729,30.12,25.808,30.425,37.885,43.802,44.498,46.744,51.393,54.457,59.24,65.478,70.858,72.163,73.522,75.845,77.987,78.492,85.262,96.196,100,103.684,108.407,111.342
"120","113","        Medical care and hospitalization \20\","DMINRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.612,3.99,4.506,4.757,4.721,4.843,5.113,5.278,5.037,7.306,6.722,7.177,8.375,10.653,10.347,9.625,7.792,8.221,12.104,13.815,14.544,14.42,16.408,20.822,25.335,32.448,33.338,25.89,20.856,26.824,36.406,43.572,45.293,48.352,53.334,57.001,60.88,63.898,66.858,68.338,70.251,72.336,74.923,77.123,84.542,96.816,100,103.284,107.169,110.023
"121","114","        Income loss \21\","DIINRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.723,68.104,72.016,71.315,65.33,65.547,68.523,77.127,85.237,82.055,95.479,83.503,102.093,113.661,124.929,124.327,164.25,164.936,185.31,253.148,150.244,123.333,150.802,231.07,251.235,245.418,222.167,293.045,263.634,306.992,286.899,318.554,237.184,233.148,131.106,166.872,126.5,93.45,82.346,83.486,85.314,88.188,90.662,92.113,94.216,96.743,100,103.199,106.155,110.165
"122","115","        Workers' compensation \22\","DPWCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.259,9.958,10.063,10.427,10.207,10.531,11.084,11.342,11.504,12.2,13.611,15.323,16.573,15.34,15.039,16.737,18.781,19.88,20.096,20.247,21.382,23.858,28.223,28.559,32.43,34.303,31.147,32.185,31.079,30.406,32.539,33.921,34.179,34.212,41.82,41.575,51.555,72.406,89.124,89.696,88.325,91.778,91.651,83.797,87.876,93.155,100,105.631,114.71,117.924
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRG3",4.253,4.327,4.387,4.417,4.398,4.446,4.282,4.218,4.16,4.12,4.213,4.238,4.349,4.469,4.094,4.02,4.014,4.567,4.645,5.384,6.163,5.979,6.157,7.012,7.68,7.675,7.579,7.379,7.676,8.316,8.714,8.95,9.092,9.12,9.2,9.415,9.909,10.442,10.764,11.015,11.724,12.794,14.171,14.56,14.671,14.659,15.347,17.935,19.138,20.021,21.831,23.159,24.078,24.733,26.819,29.48,31.632,34.669,36.693,39.857,43.088,45.013,47.77,53.1,59.23,63.002,65.743,69.625,70.291,73.215,77.263,76.615,77.713,80.107,85.969,92.212,100,99.198,107.789,110.851
