"","Table 2#4# Personal Consumption Expenditures by Type of Expendit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"92","85","    Other (s.) \20\","BTRORC",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,1,1.2,1.3,1.4,1.7,1.8,2.1,2.6,2.9,3.3,3.3,3.6,3.6,4,4.3,4.7,4.7,4.9,5.3,5.2,4.8
"93","86","Recreation","A539RC",4.4,4,3.3,2.5,2.2,2.5,2.6,3,3.4,3.3,3.5,3.8,4.3,4.7,5,5.4,6.2,8.6,9.3,9.7,10,11.2,11.7,12.3,13.1,13.6,14.6,15.5,15.9,16.3,17.7,18.5,19.3,20.8,22.5,24.6,26.9,30.9,33.1,36.7,40,43.1,46,51.5,57.6,63.4,70.5,78.2,85.5,95.9,108.4,116.7,129.5,138.9,155,172.9,187.6,204.7,224.5,248.4,268.2,284.9,295.3,313.8,340.1,368.7,401.6,429.6,456.6,489.1,526.5,564.7,593.9
"94","87","  Books and maps (d.)","BBKSRC",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2,2.3,2.9,3,2.9,3.1,3.2,3.6,3.6,4.1,5,5.7,6.5,7.3,8,9,10,10.6,11.4,13,14.2,15,16.2,16.4,17.1,18.8,20.8,23.1,24.9,26.3,28.2,30.8,33.2,35.1
"95","88","  Magazines, newspapers, and sheet music (n.d.)","BMAGRC",0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1,2.2,2,2.3,2.5,2.5,2.7,3.2,3.3,3.4,3.7,4.1,4.4,4.8,5.3,5.9,6.4,7,7.7,9.1,10.9,12,13,13.8,14.6,15.7,15.9,16.5,17.6,19.2,20.1,21.6,22.1,22,23.1,24.9,26.2,27.6,29.1,31,32.5,34.2,35.2
"96","89","  Nondurable toys and sport supplies (n.d.)","BTOYRC",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.9,1.1,1.2,1.4,1.7,1.7,1.7,1.6,1.8,2,2,2.1,2.4,2.5,2.7,2.9,3.1,3.4,3.6,4,4.3,4.8,5.2,5.5,5.8,6.6,7.4,8.2,9,10,10.8,12.3,13.6,14.6,16,17.1,18.4,20.5,21.4,22.9,25.3,27.7,30.7,32.8,34.6,36.5,39.5,43.4,47.2,50.6,53.2,56.5,60.4,62.7,66.7
"97","90","  Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (d.)","AWHGRC",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.8,1,1,0.8,0.9,0.9,1,1.1,1.2,1.4,1.6,1.7,1.9,2,2,2,2,2.2,2.5,2.9,3.6,4.1,4.8,5.2,5.2,5.6,7.4,8.5,9,10.1,11.4,12.8,14.1,16.2,15.6,16.4,16.3,16.9,20.4,21.2,23,25.6,27.7,29.3,29.7,29.5,30.1,32.5,35.2,38.5,40.5,42.8,46.2,50.4,55.3,60.8
"98","91","  Video and audio goods, including musical instruments, and computer goods (d.)","BRADRC",1,0.9,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,0.3,1.1,1.4,1.5,1.7,2.4,2.2,2.4,2.6,2.8,2.9,3,2.9,2.8,3.1,3,3.2,3.4,3.7,4.3,5.1,6.3,7,7.6,8,8.5,8.9,10.1,11.3,12.1,13.5,14.8,15.8,17.3,19.4,20.6,22.2,23,28.5,32,35.9,41.8,46.2,50.8,52.4,52.9,55.1,57,62.6,71,77,80,83.7,90.3,98.1,106.3,105.6
"99","92","    Video and audio goods, including musical instruments (d.)","BVAMRC",1,0.9,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,0.3,1.1,1.4,1.5,1.7,2.4,2.2,2.4,2.6,2.8,2.9,3,2.9,2.8,3.1,3,3.2,3.4,3.7,4.3,5.1,6.3,7,7.6,8,8.5,8.9,10.1,11.3,12.1,13.5,14.8,15.8,17.3,19.3,20.4,21.8,21.7,25.6,29,33,36.6,40,42.6,44,43.9,43.2,45,48.1,53,55.9,56.4,57.9,61.6,66.7,71.8,72.7
"100","93","    Computers, peripherals, and software (d.)","BCPTRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.2,0.4,1.4,2.9,3,2.9,5.2,6.2,8.2,8.3,8.9,11.9,12.1,14.5,18,21,23.6,25.9,28.7,31.4,34.5,32.9
"101","94","  Radio and television repair (s.)","BRTVRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.2,2.3,2.5,2.4,2.4,2.5,2.5,2.6,2.8,2.8,3.2,3.2,3.5,3.8,3.7,3.7,3.4,3.4,3.3,3.3,3.6,3.7,4,4.1,4.1,4.1,4.2
"102","95","  Flowers, seeds, and potted plants (n.d.)","BFLORC",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.4,1.5,1.7,1.7,1.8,1.9,2.2,2.3,2.6,2.7,2.9,2.9,3.6,4.2,4.7,5.3,5.7,6,6.5,6.9,7.7,9.2,9.7,10.5,10.9,11,12,12.5,13.2,13.8,14.9,15.3,15.9,16.7,17.5,18.5
"103","96","  Admissions to specified spectator amusements","A481RC",0.9,0.9,0.9,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.1,2,1.9,1.9,1.8,1.8,1.7,1.7,1.8,2,2.1,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.2,2.4,2.5,2.9,3.1,3.3,3.5,3.5,3.5,4,4.3,4.4,5,5.9,6.4,6.6,7.1,8,8.7,9.7,9.7,10.5,10.8,11.9,13.3,14.8,15.6,16.1,17.5,18.2,19.2,20.7,22.1,23.4,25,27.1,29.4
"104","97","    Motion picture theaters (s.)","BMOVRC",0.7,0.7,0.7,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1,1.3,1.3,1.5,1.7,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.2,1.1,1,1,1,1,1,1,1.2,1.2,1.2,1.4,1.5,1.6,1.7,1.7,1.6,2,2.2,2.1,2.4,2.8,2.8,2.6,2.7,3.1,3.2,3.4,3.2,3.3,3.4,3.9,4.6,5.1,5.2,4.9,5,5.2,5.5,5.8,6.3,6.9,7.6,7.8,8.7
"105","98","    Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)(s.)","BLEGRC",0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.8,2,2.1,2.4,2.8,3.2,3.9,4,4.4,4.4,5.2,5.4,6,6.8,7.2,7.6,8,8.6,8.7,8.9,9.9,10.6
"106","99","    Spectator sports (s.) \21\","BSPERC",0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.4,2.7,3.1,3.5,3.3,3.3,3.4,3.6,4.3,4.5,4.9,5.1,5.7,5.8,6.1,6.9,7.1,7.7,8.5,9.5,10.1
"107","100","  Clubs and fraternal organizations (s.) \22\","BCLURC",0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.8,2,2.1,2.2,2.1,2.5,2.9,3.4,4.1,4.4,4.7,5.5,6.1,6.7,7.1,8,8.7,9.5,10.2,11.1,11.8,12.7,14,14.6,14.9,15.9,16.7,17.3
"108","101","  Commercial participant amusements (s.) \23\","ACOMRC",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.4,2.6,3,3.5,4.2,4.9,5.6,6.4,7.2,8,9.1,10.8,11.6,12.9,13.8,15.1,16,17.3,19.8,21.8,24.6,25.7,29.9,34,38.6,43.9,48.3,52.8,57.3,63,68.4,73.3
"109","102","  Pari-mutuel net receipts (s.)","BPARRC",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2,2.1,2.3,2.5,2.6,2.6,2.8,2.8,2.9,3,3.4,3.3,3.5,3.4,3.4,3.3,3.4,3.5,3.5,3.6,4.3,4.5,4.7,4.8
"110","103","  Other (s.) \24\","AREORC",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,1.9,2.1,2.4,2.6,2.8,3.2,3.5,4.1,4.8,5.4,6,6.6,7.8,9.1,10.4,12.1,13.4,14.9,16.8,19.4,23,26,30.4,34.1,39.2,42.7,46.3,53,59.9,65.4,68.8,76.1,81.9,84.7,93.1,100.8,109.1,117,125.1,134.4,142.9
"111","104","Education and research","A482RC",0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.1,1.1,1.1,1.2,1.5,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.7,3,3.4,3.7,4,4.4,4.7,5.1,5.6,6.2,7,8,8.9,10.1,11.3,12.7,13.9,15.3,16.9,18.5,20.6,22.5,24.2,26.8,29.8,33.5,37.6,41.3,45.3,49.4,53.8,58.1,63.2,70.2,77.6,83.7,89.2,96,101.2,107.2,114.5,122.3,130.5,140.2,152.1,164,174.9
"112","105","  Higher education (s.) \25\","BHEDRC",0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,3.2,3.8,4.3,4.8,5.4,6.1,7,7.8,8.6,9.3,10,10.7,11.6,12.6,13.3,14.8,16.6,19.1,22,24.2,26.5,28.7,31.1,33.6,36.4,40,43.8,47.9,52.2,55.7,59.2,62.9,66.1,69.4,74,79.3,83.1,87.6
"113","106","  Nursery, elementary, and secondary schools (s.) \26\","BEEDRC",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.6,2.8,3.2,3.5,3.8,4.3,5,5.7,6.1,6.3,7.5,8.3,9.5,10.4,10.9,12,13.2,14.3,15.1,16.5,17.7,19.8,21.2,21.9,23.1,23.8,25,26.4,27.4,29,29.9,32,34,35.5
"114","107","  Other (s.) \27\","BOEDRC",0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,0.9,0.9,1,1.1,1.2,1.4,1.8,2.1,2.4,2.6,2.7,2.9,3.2,3.4,4.2,4.9,5.3,6.1,6.7,7.4,8.1,8.4,9.1,9.7,10.9,11.9,13,16.1,17.9,18.7,19.5,20.7,21.8,23,25.2,28.8,32.1,36.3,40.8,46.9,51.7
"115","108","Religious and welfare activities (s.) \28\","BRAWRC",1.2,1.2,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.5,1.7,1.8,2,2.1,2.3,2.3,2.4,2.6,3,3.1,3.3,3.5,3.9,4.1,4.4,5,5.3,5.6,5.8,6.2,7.2,7.8,8.5,9.5,10.4,11.1,12.2,13.7,15.4,16.5,18.1,19.8,22.4,24.7,28.7,32.5,37.2,41.9,45.9,50,56.1,60.4,67.1,71.7,81.2,88.1,97.1,101.8,112.4,116.6,127.9,134.9,146.8,149.5,163.9,172.9,190.1,199.6
"116","109","Foreign travel and other, net","A540RC",0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.2,0.3,0.6,1.2,-0.1,0,0.3,0.6,0.7,0.9,1.1,1.5,1.5,1.6,1.7,1.7,1.9,2,2.1,2,2.3,2.5,2.6,2.9,3.1,3.8,3.7,4,4.5,4.8,5.2,4.7,4.7,4.4,3.8,4.3,4.3,4.1,3.5,0.4,2.5,5.2,6.4,7.5,4.1,6.7,3.2,-2.9,-6.3,-13.7,-18,-19.3,-16.2,-20.7,-24.1,-21.8,-15.1,-16,-16.1,-12.9
"117","110","  Foreign travel by U.S. residents (s.) \29\","BFTRRC",0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.5,1.6,1.7,1.9,2.1,2.3,2.3,2.6,2.8,3,3.3,3.6,4.2,4.2,4.7,5.4,5.9,6.8,7.3,8.1,8.8,9.4,10.3,11.1,12.1,13.3,15,16.5,18.4,26.1,27.9,27.8,33.9,37.3,38.4,42.7,41.7,45.9,48.7,53,54.1,57.6,63.6,68.8,72.3,80.9,76.3
"118","111","  Expenditures abroad by U.S. residents (n.d.)","AABDRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1.2,0.1,0.2,0.3,0.4,0.3,0.6,0.8,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1.1,1.2,1.5,1.6,1.7,1.9,2,2.1,1.9,1.6,1.5,1.3,1.2,1.2,1.5,1.7,2.2,2.5,3.1,3.2,3.3,3.9,3.7,3.9,3.5,3.6,3.6,3.5,2.6,2.5,2.4,2.3,2.2,2.9,3.1,3.2,3.3,3.6
"119","112","  Less: Expenditures in the United States by nonresidents (s.) \30\","BEXFRC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.4,1.6,1.8,1.8,2,2.3,2.7,2.9,3.3,4,4.6,5.4,6.5,7,8.1,9.4,11.6,16.6,16.7,15.9,22.5,23.5,26.6,30.3,36.6,44,51.6,57.7,64.9,68.7,69.9,75.4,82.4,86.7,85.4,89.6,98.3,90.6
"120","113","  Less: Personal remittances in kind to nonresidents (n.d.)","BREMRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.8,1,0.9,1,1.1,1.6,1.7,1.6,1.6,1.5,1.6,1.6,1.9,2,2.2
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122"," 1. Consists of purchases (including tips) of meals and beverages from retail, service, and amusement establishments, hotels, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","dining and buffet cars, schools, school fraternities, institutions, clubs,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","and industrial lunchrooms.  Includes meals and beverages consumed both on- and off-premise.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125"," 2. Includes luggage.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126"," 3. Consists of watch, clock, and jewelry repairs, costume and dress suit rental, and miscellaneous personal services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127"," 4. Consists of rent for space and for heating and plumbing facilities, water heaters, lighting fixtures, kitchen cabinets, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","linoleum, storm windows and doors, window screens, and screen doors, but excludes rent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","for appliances and furniture and purchases of fuel and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130"," 5. Consists of space rent (see footnote 4) and rent for appliances, furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131"," 6. Consists of transient hotels, motels, clubs, schools, and other group housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132"," 7. Consists of refrigerators and freezers, cooking ranges, dishwashers, laundry equipment, stoves, room air conditioners, sewing ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","machines, vacuum cleaners, and other appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134"," 8. Includes such house furnishings as floor coverings, comforters, quilts, blankets, pillows, picture frames, mirrors, art ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","products, portable lamps, and clocks. Also includes writing equipment and hand,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","power, and garden tools.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137"," 9. Consists largely of textile house furnishings, including piece goods allocated to house furnishing use. Also includes lamp ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","shades, brooms, and brushes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139"," 10. Consists of maintenance services for appliances and house furnishings, moving and warehouse expenses, postage and express ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
