"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"86","79","    Admissions to specified spectator amusements (96)","B481RA3",42.36,41.809,41.766,32.492,32.021,35.219,37.347,41.412,43.303,42.143,43.014,46.36,48.809,56.254,63.006,58.543,61.189,71.489,66.28,63.036,60.301,57.519,55.733,54.23,51.582,51.931,53.177,54.629,45.614,40.746,40.347,40.059,39.103,39.131,39.013,38.591,40.105,41.245,40.396,42.636,43.03,43.066,43.359,42.5,40.534,43.434,43.862,43.395,47.317,52.57,53.112,52.378,53.891,57.127,58.691,61.777,58.946,61.512,60.622,64.193,67.422,71.301,71.204,73.298,80.75,83.016,86.052,91.335,94.459,97.109,99.317,100,101.522,105.107,104.283
"87","80","    Other (94+100+101+102+103)","B491RA3",3.832,3.831,3.639,3.148,2.91,3.081,3.264,3.539,3.846,3.541,3.678,3.983,4.202,4.216,4.218,4.528,4.897,5.589,5.447,5.42,5.478,5.709,5.946,6.242,6.566,6.764,7.163,7.592,7.994,8.337,9.123,9.854,10.587,11.306,11.957,12.574,12.871,13.565,14.116,15.031,16.09,16.925,17.688,18.947,21.109,22.592,24.042,26.146,27.643,28.635,30.201,32.003,35.154,37.678,40.814,42.853,46.826,48.566,50.808,55.759,59.873,62.651,63.087,67.991,71.872,75.522,81.162,84.47,87.024,90.588,95.701,100,102.593,104.922,108.741
"88","81","  Other","B178RA3",12.9,12.491,11.931,10.972,10.671,10.496,11.089,11.639,12.003,11.711,11.734,11.871,12.252,12.303,13.19,13.279,13.534,14.296,14.503,14.81,14.863,15.399,15.511,16.141,16.667,17.42,18.131,18.799,19.411,20.199,21.164,21.876,22.821,23.316,24.164,25.757,27.463,28.878,30.66,31.808,32.395,33.726,34.592,36.244,36.983,36.122,37.425,39.135,40.808,42.598,42.776,42.514,41.919,44.511,50.065,52.034,56.707,58.05,61.04,62.531,64.256,65.742,66.735,69.054,71.982,73.597,74.473,77.241,80.835,86.89,92.777,100,101.52,102.665,104.731
"89","82","    Personal care","B488RA3",27.708,26.197,22.924,19.186,17.321,19.111,21.024,23.361,24.763,23.579,24.013,25.501,27.84,29.286,32.728,33.372,35.435,38.692,38.512,38.132,37.369,37.476,37.211,38.531,39.778,41.572,42.403,43.655,44.342,44.129,45.715,45.901,47.319,48.838,49.001,51.326,53.401,55.952,57.162,57.96,56.628,55.748,52.686,53.767,53.232,49.971,48.379,47.393,48.687,48.461,46.892,44.766,42.634,40.43,46.624,47.674,50.763,54.376,58.448,65.148,68.321,70.807,65.848,71.714,72.764,75.09,79.679,81.931,86.178,91.385,95.904,100,99.865,100.259,100.167
"90","83","      Cleaning, storage, and repair of clothing and shoes (17)","B478RA3",81.75,75.425,64.495,51.375,46.786,51.167,56.152,63.67,67.89,66.085,66.883,72.448,82.501,88.307,103.847,106.879,115.937,136.183,137.453,137.324,133.181,132.009,129.93,133.438,135.436,136.712,137.18,137.018,134.958,131.087,131.99,129.889,129.142,129.762,129.278,133.749,137.662,138.146,136.937,138.281,137.229,131.415,122.684,124.465,117.372,106.347,100.213,96.554,95.365,91.927,85.471,78.68,72.164,66.647,68.637,71.513,71.99,73.402,76.843,84.655,88.919,90.349,84.344,85.211,83.322,83.278,86.308,86.434,91.987,95.138,98.188,100,96.48,93.801,85.422
"91","84","      Barbershops, beauty parlors, and health clubs (22)","BBBBRA3",23.946,23.802,21.933,20.088,18.103,20.104,22.468,24.393,25.559,23.602,24.014,24.521,24.9,25.236,25.639,25.947,26.274,26.514,25.903,25.467,25.647,26.282,26.761,27.939,29.952,33.471,34.828,37.496,39.505,40.435,42.946,43.499,46.584,49.975,49.892,52.422,54.059,58.609,60.505,60.638,57.766,58.323,54.931,55.403,54.405,51.924,49.984,47.623,50.154,49.337,47.899,45.759,43.16,40.437,48.549,50.49,53.951,58.236,64.061,68.727,71.128,71.522,71.7,78.559,76.729,77.329,81.692,82.924,89.117,93.775,96.342,100,101.154,102.661,104.97
"92","85","      Other (19)","BCOTRA3",6.547,6.18,5.217,4.272,3.586,4.15,4.272,4.503,4.836,4.493,4.874,5.367,5.804,6.223,6.867,6.744,7.327,6.016,5.649,5.25,5.09,5.25,5.09,5.522,5.649,5.913,6.321,6.693,7.191,7.417,8.254,9.059,9.646,9.541,10.253,11.322,12.977,14.239,15.787,17.06,17.356,17.139,17.104,18.533,21.552,21.003,21.949,23.889,24.749,26.82,27.394,27.499,28.021,28.011,33.986,33.128,37.046,40.949,43.339,51.799,55.318,60.659,50.466,57.626,63.253,68.608,74.188,78.593,80.016,86.833,94.302,100,99.985,100.563,101.658
"93","86","    Personal business","B479RA3",12.801,11.78,11.33,10.917,11.71,11.134,11.93,12.184,12.486,12.112,12.32,12.333,12.338,11.928,12.399,12.006,12.03,12.551,12.882,13.041,12.995,13.734,14.024,13.92,14.309,14.941,15.579,15.807,16.332,16.986,17.394,17.967,19.03,18.974,19.651,20.805,22.252,23.216,24.25,25.292,25.669,26.669,27.641,28.792,30.211,30.616,33.16,35.407,37.395,39.176,39.489,39.584,39.352,42.099,48.186,48.741,53.926,55.502,57.344,57.789,59.926,61.215,64.74,66.574,70.674,70.976,71.779,74.63,79.085,84.2,91.878,100,98.845,98.548,101.525
"94","87","      Brokerage charges and investment counseling (61)","BBRORA3",15.853,10.514,7.451,6.066,9.498,4.78,5.864,6.418,5.912,4.154,3.602,3.012,2.487,1.941,2.831,2.78,3.699,3.37,2.786,2.776,2.442,3.704,3.204,2.65,2.482,3.161,3.151,2.655,2.583,2.921,3.772,3.253,4.414,3.487,3.28,3.662,4.518,4.912,6.069,5.825,4.648,3.584,3.798,3.736,3.044,2.485,2.848,3.345,3.308,3.298,3.523,3.966,3.62,4.34,6.656,6.874,8.195,10.277,12.533,10.717,12.099,12.215,14.175,16.675,21.289,23.965,27.945,33.98,41.09,52.813,73.468,100,85.926,86.473,85.251
"95","88","      Bank service charges, trust services, and safe deposit box rental (62)","BBNKRA3",5.378,4.282,3.905,3.23,3.474,4.008,4.076,4.282,4.267,3.933,4.126,4.179,4.441,4.647,5.256,5.818,6.298,6.277,5.93,6.102,6.267,7.335,7.937,8.283,8.823,9.413,10.038,9.853,10.178,10.384,10.838,11.214,11.511,11.887,12.096,13.133,14.56,16.056,17.363,18.243,19.768,20.684,21.678,23.517,26.343,29.417,28.485,29.6,31.979,34.027,36.669,40.649,44.884,48.458,47.485,50.414,55.028,60.539,66.392,68.927,70.577,71.456,74.178,76.695,78.295,76.144,75.863,76.65,77.213,84.611,95.922,100,104.703,112.049,120.136
"96","89","      Services furnished without payment by financial intermediaries except life insurance carriers (63)","BIMPRA3",8.994,8.781,8.394,7.904,7.397,7.134,7.41,7.756,7.991,7.834,7.949,8.104,8.208,8.318,8.314,7.899,7.998,9.434,9.684,9.773,9.69,9.983,10.192,10.628,11.253,11.794,12.356,12.565,12.703,13.159,13.16,13.986,14.419,14.636,15.585,16.551,16.947,17.306,18.138,19.78,21.34,23.826,26.071,27.889,30.189,30.729,36.157,37.42,40.508,41.746,41.147,38.688,37.027,41.998,58.354,56.82,65.069,65.113,67.168,64.31,65.589,69.195,73.317,76.11,78.418,79.674,77.571,81.367,85.608,89.918,95.052,100,105.354,108.192,111.39
"97","90","      Expense of handling life insurance and pension plans (64)","BLIFRA3",17.847,18.962,20.032,22.028,23.352,22.88,25.148,24.401,24.301,24.594,25.216,24.976,24.37,22.233,21.929,21.299,20.452,20.575,23.708,23.976,23.885,24.956,25.396,25.244,25.779,26.475,28.468,31.246,32.721,33.538,31.323,33.863,34.358,34.795,36.112,39.047,42.302,42.209,41.124,42.97,44.1,46.377,45.322,46.946,50.693,52.592,56.211,63.855,66.697,71.406,74.641,78.934,80.975,85.832,83.423,85.938,91.481,88.044,81.538,88.47,91.788,89.706,99.99,95.16,104.406,98.981,100.95,96.984,101.269,96.926,95.098,100,93.806,82.673,85.933
"98","91","      Legal services (65)","BGALRA3",24.272,23.699,25.642,23.011,23.73,25.684,26.541,26.49,27.259,27.113,28.338,28.692,29.556,29.882,28.933,27.302,26.445,28.911,28.242,30.5,31.637,31.586,32.819,31.761,31.963,33.591,33.934,32.044,33.999,36.559,39.759,39.647,44.009,45.788,49.001,49.273,50.632,55.479,55.578,56.325,57.238,61.046,62.255,62.428,65.806,67.256,65.372,67.364,69.532,74.58,72.623,72.052,75.007,73.432,70.875,73.619,79.127,82.525,86.469,93.508,96.013,97.477,94.219,96.465,95.465,94.266,92.096,94.909,97.045,99.226,100.543,100,101.077,100.116,103.375
"99","92","      Funeral and burial expenses (66)","BFUNRA3",74.839,71.83,70.41,69.537,68.339,71.531,71.179,76.181,74.292,70.293,70.762,72.338,71.244,70.332,74.553,71.793,71.28,70.947,73.555,73.454,73.172,73.796,77.521,78.074,79.705,77.893,80.51,82.604,86.127,86.681,87.187,89.851,89.274,92.07,94.785,94.48,96.965,99.874,100.353,105.524,105.613,106.195,107.075,109.312,109.17,106.915,104.443,111.36,114.706,117.652,113.243,113.475,106.667,98.501,92.926,94.685,99.541,97.874,96.708,103.796,104.559,107.033,107.035,111.053,111.034,107.196,107.812,105.592,102.588,105.166,103.163,100,100.874,96.35,99.417
"100","93","      Other (67)","BPBORA3",6.417,5.794,5.384,3.96,4.446,6.417,7.339,7.734,11.936,13.162,13.993,14.626,16.17,16.125,18.576,17.943,17.213,17.71,16.778,16.109,16.125,16.337,17.158,16.657,17.31,17.654,18.034,18.956,20.06,20.754,21.886,23.21,23.479,24.458,24.872,26.575,28.592,30.794,33.178,35.49,38.753,39.452,39.276,42.19,44.574,44.909,46.515,49.498,52.596,55.521,55.616,53.788,52.514,52.704,53.667,54.679,57.594,59.54,60.534,65.45,69.53,73.164,74.162,75.65,79.253,82.346,83.84,85.923,90.241,94.915,99.126,100,100.832,102.273,103.568
"101","94","    Education and research","B482RA3",8.479,8.797,9.054,8.026,7.521,7.416,7.743,8.157,8.687,8.901,8.967,9.178,9.54,10.33,10.827,10.241,9.918,10.153,11.352,11.958,12.741,13.263,13.544,14.26,14.971,15.65,16.839,17.786,19.092,20.427,21.388,22.706,23.914,25.446,27.101,29.184,32.006,34.865,37.27,40.526,42.847,45.045,46.984,49.046,50.409,48.855,49.987,50.956,51.289,53.783,54.381,54.892,55.638,56.876,59.082,60.859,63.362,65.531,67.854,71.263,74.796,76.689,77.633,79.69,80.938,82.3,84.543,87.152,88.952,92.751,96.04,100,103.821,106.086,106.67
"102","95","      Higher education (105)","BHEDRA3",7.444,8.207,8.775,8.257,7.984,8.063,8.475,8.738,8.858,8.96,9.191,9.638,9.619,9.787,10.068,10.145,9.839,10.668,12.898,13.673,14.676,14.973,15.008,15.611,16.379,17.025,18.188,19.461,21.302,23.278,24.088,25.403,27.106,28.64,30.299,33.191,37.645,40.824,42.692,45.41,47.962,51.513,54.452,56.694,58.5,57.778,57.515,58.178,59.146,58.806,60.333,61.73,63.733,66.873,68.445,69.8,70.987,72.692,74.448,75.942,78.534,80.551,82.259,84.27,85.201,86.304,87.962,89.521,90.067,93.226,96.403,100,104.937,108.259,110.871
"103","96","      Nursery, elementary, and secondary schools (106)","BEEDRA3",9.194,10.021,11.71,9.356,8.574,8.35,8.403,9.556,11.428,12.712,12.92,13.053,12.862,13.026,12.931,13.141,14.03,11.915,12.807,13.453,14.062,14.755,15.375,16.337,17.118,18.125,19.326,20.557,22.059,23.554,25.661,27.937,30.855,33.873,36.479,38.884,41.064,42.777,44.783,47.781,49.545,50.803,52.81,55.406,55.45,53.66,54.408,53.214,52.024,59.794,59.26,60.668,60.176,59.981,63.533,66.336,69.906,71.81,75.04,76.3,81.082,83.813,83.933,85.779,87.393,89.315,92.242,93.827,94.266,96.102,98.462,100,101.21,102.702,102.736
"104","97","      Other (107)","BOEDRA3",8.349,7.777,6.893,6.004,5.399,5.12,5.43,5.619,5.952,5.743,5.505,5.411,6.522,8.36,9.377,7.611,6.647,7.373,7.259,7.559,8.08,8.723,9.074,9.698,10.216,10.651,11.744,11.994,12.379,12.701,12.991,13.547,12.895,13.282,14.136,14.75,15.56,18.47,21.654,25.547,27.713,28.394,28.646,29.938,31.514,28.966,32.363,35.481,36.129,38.285,38.428,36.975,36.936,36.56,38.502,40.017,43.652,46.749,49.228,57.632,61.689,62.624,62.841,65.149,66.708,68.122,70.997,76.665,82.234,89.033,93.327,100,103.675,104.4,101.252
"105","98","    Religious and welfare activities (108)","BRAWRA3",8.761,9.311,9.528,8.853,8.08,7.625,7.482,7.617,7.281,7.728,7.854,8.512,8.569,8.99,10.051,11.367,11.498,11.714,10.399,10.54,10.477,10.645,10.575,12.108,12.564,13.189,13.36,14.538,14.708,15.553,17.153,17.445,17.784,18.001,18.675,21.18,22.45,23.746,25.678,26.815,27.159,28.824,31.131,33.479,33.675,32.657,32.857,35.433,37.028,39.618,41.106,41.688,43.151,45.158,46.976,50.898,53.564,57.931,60.161,63.712,66.4,70.366,71.256,76.234,77.445,81.669,82.67,87.013,86.727,91.576,94.083,100,105.191,111.154,112.458
"106","99","    Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","100","      Foreign travel by U.S. residents (110)","BFTRRA3",4.236,4.426,3.865,3.512,2.647,2.701,2.836,3.315,3.792,3.252,2.663,1.376,1.54,1.052,1.158,1.338,1.642,2.638,3.584,4.084,4.651,5.082,5.221,5.981,6.281,6.518,7.576,8.235,8.785,9.532,10.305,11.521,11.566,12.424,13.331,13.748,14.801,15.385,18.26,17.289,18.992,21.48,21.226,23.331,22.86,20.957,20.538,21.567,22.3,23.103,22.535,22.082,23.491,26.967,31.092,45.859,50.534,45.74,57.02,59.092,60.22,63.188,57.929,60.932,64.412,68.349,68.16,70.989,77.625,87.282,90.17,100,94.36,87.335,84.094
"108","101","      Less: Expenditures in the United States by nonresidents (112)","BEXFRA3",1.617,1.505,1.214,0.925,1,1.108,1.281,1.405,1.587,1.657,1.834,1.268,1.132,1.35,1.686,1.987,2.224,3.289,3.313,2.95,3.34,3.516,3.859,4.218,4.595,4.781,5.383,5.874,6.149,6.264,6.23,6.501,6.647,6.561,6.818,7.822,8.57,9.421,9.544,10.022,11.006,11.876,12.632,13.685,15.543,16.737,18.041,20.347,20.427,21.789,23.083,25.284,33.195,30.792,27.532,37.211,37.027,42.219,45.325,52.213,61.108,68.397,71.912,79.175,82.29,83.291,88.347,93.58,96.09,93.668,95.868,100,89.912,86.03,82.435
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
