"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"48","29","Other","B119RC1","7,306.0","7,615.0","8,296.0","8,064.0","8,034.0","7,540.0","6,958.0","5,177.0","4,758.0","5,797.0","6,238.0","8,166.0","8,814.0","18,419.0","9,862.0","24,371.0","18,662.0","15,439.0","14,255.0","13,265.0","11,444.0","10,266.0","9,621.0","4,485.0","206.0","2,096.0","3,099.0","2,610.0","5,153.0","5,930.0","5,698.0","10,304.0","8,799.0","10,855.0","14,661.0","14,286.0","15,547.0","21,612.0","14,515.0","17,078.0","12,862.0","10,120.0","12,124.0","9,803.0","9,201.0","4,810.0","5,957.0","9,892.0","10,390.0","6,740.0","6,365.0","1,510.0","-1,952.0","-2,684.0","-3,850.0","-5,198.0","-8,555.0","1,827.0","8,546.0","12,888.0","21,109.0","25,264.0","19,655.0","24,017.0","23,394.0","22,773.0","20,391.0","17,586.0","25,209.0","18,402.0","20,559.0","11,267.0","5,314.0","17,713.0","9,023.0","7,090.0","9,902.0","9,596.0","19,070.0","20,292.0","24,905.0","23,744.0","19,351.0","3,220.0","13,319.0","7,017.0","2,413.0","-5,915.0","-8,750.0","-10,358.0","-4,866.0","-8,694.0","-3,272.0","-3,394.0","-8,035.0","-3,433.0","-14,014.0","-7,709.0","-7,992.0","9,182.0","779.0","-942.0","10,534.0","3,986.0","6,541.0","-6,492.0","5,299.0","15,179.0","17,056.0","15,527.0","22,430.0","25,662.0","28,534.0","31,979.0","39,366.0","40,630.0","44,214.0","40,858.0","43,215.0","52,561.0","42,269.0","35,731.0","39,907.0","42,515.0","49,440.0","50,933.0","36,519.0","20,242.0","12,366.0","-8,533.0","-25,609.0","-52,306.0","-57,564.0","-59,237.0","-48,389.0","-57,202.0","-83,503.0","-55,166.0","-29,256.0","-969.0","-28,565.0","-27,759.0","-10,925.0","6,170.0","17,460.0","11,155.0","17,898.0","27,565.0","56,625.0","58,136.0","38,138.0","32,576.0","27,197.0","27,864.0","8,460.0","-22,048.0","-43,664.0","-30,926.0","-102,969.0","-116,185.0","-119,576.0","-76,946.0","-75,694.0","-46,599.0","-34,095.0","-30,122.0","-7,180.0","-37,622.0","-59,459.0","-42,546.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Total receipts","W077RC1","107,026.0","110,230.0","114,094.0","117,838.0","121,688.0","124,873.0","128,143.0","130,466.0","135,130.0","140,662.0","143,783.0","148,145.0","154,191.0","166,037.0","163,040.0","179,547.0","178,351.0","180,008.0","181,952.0","186,304.0","189,677.0","195,926.0","200,050.0","203,347.0","208,404.0","216,945.0","226,188.0","230,709.0","237,358.0","241,561.0","247,148.0","256,708.0","260,736.0","269,342.0","278,951.0","283,071.0","290,588.0","303,016.0","301,457.0","310,078.0","314,431.0","317,796.0","329,156.0","336,913.0","346,354.0","348,291.0","359,765.0","372,661.0","381,912.0","386,188.0","391,251.0","392,717.0","397,088.0","406,253.0","412,248.0","417,930.0","426,200.0","440,404.0","454,711.0","464,960.0","484,261.0","497,647.0","502,018.0","516,954.0","525,970.0","538,346.0","548,783.0","559,093.0","575,222.0","578,363.0","591,485.0","593,542.0","594,799.0","616,955.0","615,694.0","624,172.0","638,210.0","648,919.0","667,982.0","679,383.0","698,174.0","709,947.0","717,081.0","718,354.0","746,914.0","754,441.0","768,656.0","781,779.0","790,311.0","805,290.0","823,688.0","841,517.0","851,489.0","869,739.0","880,475.0","890,832.0","890,420.0","904,114.0","923,150.0","947,770.0","952,811.0","961,356.0","984,837.0","1,000,029.0","1,017,413.0","1,014,023.0","1,030,306.0","1,035,196.0","1,057,296.0","1,078,087.0","1,084,162.0","1,096,152.0","1,112,209.0","1,121,096.0","1,143,323.0","1,162,144.0","1,173,850.0","1,186,633.0","1,203,736.0","1,237,336.0","1,245,964.0","1,261,555.0","1,294,690.0","1,318,657.0","1,341,985.0","1,366,619.0","1,374,426.0","1,382,414.0","1,415,705.0","1,438,848.0","1,420,406.0","1,425,870.0","1,436,320.0","1,447,311.0","1,480,896.0","1,495,837.0","1,486,797.0","1,527,779.0","1,573,815.0","1,602,697.0","1,605,882.0","1,629,354.0","1,668,411.0","1,708,156.0","1,743,273.0","1,769,877.0","1,803,652.0","1,829,817.0","1,856,977.0","1,887,564.0","1,901,696.0","1,902,047.0","1,959,521.0","1,983,029.0","1,989,546.0","1,995,847.0","2,002,349.0","2,056,452.0","2,011,155.0","1,960,615.0","1,951,164.0","2,015,349.0","2,044,670.0","2,072,560.0","2,097,647.0","2,121,332.0","2,170,134.0","2,183,020.0","2,164,791.0","2,203,689.0"
"51","31","    Current receipts","W023RC1","100,108.0","103,358.0","107,489.0","110,861.0","115,096.0","118,561.0","122,203.0","124,462.0","128,496.0","133,155.0","136,713.0","141,344.0","147,186.0","159,409.0","154,873.0","172,267.0","171,019.0","172,364.0","175,108.0","178,876.0","180,437.0","185,834.0","192,026.0","194,023.0","198,280.0","207,608.0","213,843.0","218,619.0","225,760.0","230,232.0","234,875.0","243,824.0","247,886.0","256,304.0","265,182.0","270,380.0","277,748.0","289,536.0","287,493.0","295,522.0","298,799.0","302,780.0","312,800.0","319,045.0","327,958.0","329,523.0","341,517.0","353,677.0","363,516.0","368,072.0","374,039.0","375,309.0","380,788.0","389,121.0","395,028.0","400,798.0","407,572.0","423,576.0","436,391.0","446,896.0","465,325.0","478,095.0","481,642.0","495,550.0","506,540.0","516,425.0","526,113.0","535,198.0","552,624.0","554,805.0","567,091.0","572,020.0","572,793.0","594,072.0","593,460.0","601,979.0","615,810.0","625,615.0","644,104.0","656,601.0","674,553.0","686,540.0","694,692.0","694,175.0","721,551.0","730,171.0","743,902.0","756,206.0","764,232.0","779,077.0","797,999.0","816,278.0","825,576.0","842,438.0","853,686.0","863,239.0","864,034.0","876,961.0","893,492.0","918,127.0","924,130.0","932,283.0","954,530.0","968,398.0","984,628.0","980,948.0","998,766.0","1,003,196.0","1,022,797.0","1,044,659.0","1,051,343.0","1,061,538.0","1,077,714.0","1,085,776.0","1,107,724.0","1,126,674.0","1,139,890.0","1,152,186.0","1,167,297.0","1,198,634.0","1,210,334.0","1,221,473.0","1,252,852.0","1,277,007.0","1,299,129.0","1,323,444.0","1,331,638.0","1,336,197.0","1,368,267.0","1,388,654.0","1,363,658.0","1,375,446.0","1,380,973.0","1,395,216.0","1,429,488.0","1,445,119.0","1,440,976.0","1,473,232.0","1,519,208.0","1,551,836.0","1,555,210.0","1,580,224.0","1,610,718.0","1,657,699.0","1,690,809.0","1,714,265.0","1,741,256.0","1,775,353.0","1,800,616.0","1,830,252.0","1,842,452.0","1,845,332.0","1,906,738.0","1,923,393.0","1,926,166.0","1,935,922.0","1,942,888.0","1,993,208.0","1,945,573.0","1,897,534.0","1,893,294.0","1,952,843.0","1,969,238.0","1,999,160.0","2,033,953.0","2,043,343.0","2,082,144.0","2,099,305.0","2,092,493.0","2,128,030.0"
"52","32","    Capital transfer receipts","AD06RC1","6,918.0","6,872.0","6,605.0","6,977.0","6,592.0","6,312.0","5,940.0","6,004.0","6,634.0","7,507.0","7,070.0","6,801.0","7,005.0","6,628.0","8,167.0","7,280.0","7,332.0","7,644.0","6,844.0","7,428.0","9,240.0","10,092.0","8,024.0","9,324.0","10,124.0","9,337.0","12,345.0","12,090.0","11,598.0","11,329.0","12,273.0","12,884.0","12,850.0","13,038.0","13,769.0","12,691.0","12,840.0","13,480.0","13,964.0","14,556.0","15,632.0","15,016.0","16,356.0","17,868.0","18,396.0","18,768.0","18,248.0","18,984.0","18,396.0","18,116.0","17,212.0","17,408.0","16,300.0","17,132.0","17,220.0","17,132.0","18,628.0","16,828.0","18,320.0","18,064.0","18,936.0","19,552.0","20,376.0","21,404.0","19,430.0","21,921.0","22,670.0","23,895.0","22,598.0","23,558.0","24,394.0","21,522.0","22,006.0","22,883.0","22,234.0","22,193.0","22,400.0","23,304.0","23,878.0","22,782.0","23,621.0","23,407.0","22,389.0","24,179.0","25,363.0","24,270.0","24,754.0","25,573.0","26,079.0","26,213.0","25,689.0","25,239.0","25,913.0","27,301.0","26,789.0","27,593.0","26,386.0","27,153.0","29,658.0","29,643.0","28,681.0","29,073.0","30,307.0","31,631.0","32,785.0","33,075.0","31,540.0","32,000.0","34,499.0","33,428.0","32,819.0","34,614.0","34,495.0","35,320.0","35,599.0","35,470.0","33,960.0","34,447.0","36,439.0","38,702.0","35,630.0","40,082.0","41,838.0","41,650.0","42,856.0","43,175.0","42,788.0","46,217.0","47,438.0","50,194.0","56,748.0","50,424.0","55,347.0","52,095.0","51,408.0","50,718.0","45,821.0","54,547.0","54,607.0","50,861.0","50,672.0","49,130.0","57,693.0","50,457.0","52,464.0","55,612.0","62,396.0","54,464.0","56,361.0","57,312.0","59,244.0","56,715.0","52,783.0","59,636.0","63,380.0","59,925.0","59,461.0","63,244.0","65,582.0","63,081.0","57,870.0","62,506.0","75,432.0","73,400.0","63,694.0","77,989.0","87,990.0","83,715.0","72,298.0","75,659.0"
"53","33","  Total expenditures","W079RC1","113,412.0","116,320.0","118,891.0","121,144.0","125,421.0","129,421.0","135,191.0","139,018.0","143,353.0","147,246.0","149,705.0","153,146.0","158,128.0","159,398.0","163,634.0","167,941.0","172,798.0","176,829.0","180,896.0","186,581.0","191,419.0","199,979.0","206,386.0","212,580.0","224,190.0","228,296.0","234,652.0","242,607.0","249,286.0","248,862.0","250,952.0","253,424.0","260,255.0","267,433.0","270,851.0","275,734.0","280,658.0","293,788.0","300,536.0","307,084.0","309,866.0","321,031.0","331,787.0","342,889.0","354,847.0","358,660.0","365,734.0","374,079.0","388,047.0","389,963.0","393,609.0","401,546.0","408,208.0","417,408.0","424,740.0","433,553.0","442,021.0","446,938.0","455,796.0","461,215.0","474,391.0","485,277.0","497,631.0","508,376.0","521,337.0","535,862.0","549,019.0","559,899.0","573,565.0","583,586.0","594,840.0","606,200.0","615,803.0","624,177.0","633,701.0","645,409.0","656,278.0","669,992.0","678,071.0","692,125.0","704,818.0","720,552.0","734,446.0","753,816.0","776,441.0","789,508.0","807,993.0","832,869.0","841,006.0","857,038.0","871,715.0","895,082.0","902,895.0","914,966.0","925,906.0","928,182.0","938,291.0","949,335.0","965,894.0","973,901.0","984,774.0","997,660.0","1,013,666.0","1,034,826.0","1,049,887.0","1,062,612.0","1,066,384.0","1,061,560.0","1,077,538.0","1,105,034.0","1,110,123.0","1,125,966.0","1,145,709.0","1,148,055.0","1,158,928.0","1,172,808.0","1,180,249.0","1,204,145.0","1,226,882.0","1,250,580.0","1,275,814.0","1,293,543.0","1,322,682.0","1,351,400.0","1,372,712.0","1,391,200.0","1,415,293.0","1,438,646.0","1,482,588.0","1,537,995.0","1,511,929.0","1,565,535.0","1,580,950.0","1,594,087.0","1,618,599.0","1,644,401.0","1,664,997.0","1,665,564.0","1,692,255.0","1,692,597.0","1,720,818.0","1,748,030.0","1,775,633.0","1,784,252.0","1,803,697.0","1,836,229.0","1,859,527.0","1,911,016.0","1,883,274.0","1,922,273.0","1,955,645.0","1,964,408.0","2,038,637.0","2,057,038.0","2,080,424.0","2,124,050.0","2,154,654.0","2,196,712.0","2,222,270.0","2,181,411.0","2,179,287.0","2,198,587.0","2,208,824.0","2,198,572.0","2,208,997.0","2,221,201.0","2,239,180.0","2,278,729.0","2,278,470.0","2,289,682.0"
"54","34","    Current expenditures","W024RC1","92,672.0","95,590.0","99,025.0","102,612.0","106,887.0","110,847.0","115,067.0","119,092.0","123,532.0","127,130.0","130,239.0","132,936.0","138,123.0","140,719.0","144,755.0","147,632.0","152,090.0","156,618.0","160,534.0","165,276.0","168,641.0","175,201.0","182,023.0","189,131.0","197,653.0","205,049.0","210,262.0","215,511.0","220,072.0","223,722.0","228,554.0","232,838.0","238,313.0","244,532.0","249,469.0","254,893.0","260,882.0","266,493.0","271,433.0","276,791.0","284,255.0","290,878.0","298,862.0","307,432.0","317,327.0","324,026.0","334,027.0","342,163.0","351,804.0","360,032.0","366,371.0","372,508.0","381,463.0","390,568.0","397,672.0","404,820.0","414,975.0","420,592.0","426,636.0","432,690.0","442,810.0","451,361.0","460,532.0","470,156.0","481,868.0","492,418.0","504,433.0","516,153.0","525,771.0","534,600.0","544,582.0","558,694.0","565,394.0","574,211.0","582,232.0","592,559.0","603,469.0","613,493.0","622,477.0","633,739.0","647,126.0","660,406.0","673,082.0","688,805.0","706,229.0","721,201.0","739,512.0","760,148.0","770,863.0","787,161.0","800,436.0","822,359.0","826,088.0","842,839.0","858,455.0","863,132.0","874,220.0","880,558.0","897,156.0","904,444.0","918,719.0","928,539.0","939,329.0","959,841.0","973,738.0","983,256.0","989,516.0","984,321.0","1,002,292.0","1,026,071.0","1,026,285.0","1,033,745.0","1,047,674.0","1,052,653.0","1,067,357.0","1,085,004.0","1,094,273.0","1,109,641.0","1,122,248.0","1,144,224.0","1,166,274.0","1,184,037.0","1,211,278.0","1,232,828.0","1,247,977.0","1,270,674.0","1,293,081.0","1,313,621.0","1,353,219.0","1,394,390.0","1,386,605.0","1,425,480.0","1,436,827.0","1,453,082.0","1,476,525.0","1,500,685.0","1,522,284.0","1,525,508.0","1,544,741.0","1,548,049.0","1,577,868.0","1,601,190.0","1,614,297.0","1,643,943.0","1,665,635.0","1,695,401.0","1,715,959.0","1,740,978.0","1,738,022.0","1,767,011.0","1,800,075.0","1,809,389.0","1,876,913.0","1,893,607.0","1,916,199.0","1,956,615.0","1,985,364.0","2,022,984.0","2,047,367.0","2,012,424.0","2,011,403.0","2,028,165.0","2,043,198.0","2,043,964.0","2,066,216.0","2,071,589.0","2,087,350.0","2,134,833.0","2,149,740.0","2,168,209.0"
"55","35","    Gross government investment","A799RC1","28,547.0","28,955.0","28,349.0","27,356.0","27,609.0","27,927.0","29,698.0","29,762.0","29,724.0","30,183.0","29,674.0","30,675.0","30,790.0","29,675.0","30,165.0","31,932.0","32,682.0","32,568.0","33,090.0","34,528.0","36,850.0","40,026.0","40,842.0","40,829.0","44,430.0","41,383.0","42,756.0","45,785.0","48,260.0","44,545.0","42,027.0","40,524.0","42,387.0","43,721.0","42,614.0","42,427.0","41,776.0","49,868.0","52,259.0","54,016.0","50,031.0","55,449.0","59,168.0","62,686.0","65,812.0","64,033.0","62,335.0","63,704.0","69,145.0","63,855.0","62,068.0","64,758.0","63,234.0","64,140.0","64,987.0","66,948.0","65,483.0","64,898.0","67,931.0","67,483.0","70,807.0","73,506.0","77,069.0","78,519.0","80,317.0","84,733.0","86,366.0","86,121.0","90,754.0","92,747.0","94,785.0","92,958.0","96,508.0","96,856.0","99,182.0","101,251.0","102,135.0","106,573.0","106,485.0","110,022.0","110,065.0","113,396.0","115,453.0","119,915.0","125,939.0","125,057.0","126,425.0","131,524.0","129,888.0","130,607.0","132,826.0","134,889.0","139,448.0","135,720.0","131,822.0","130,370.0","130,575.0","136,349.0","137,061.0","138,698.0","136,431.0","140,425.0","146,823.0","148,500.0","150,936.0","155,322.0","153,972.0","155,643.0","154,860.0","159,520.0","165,611.0","175,121.0","182,190.0","180,813.0","177,725.0","175,010.0","173,471.0","182,379.0","193,540.0","196,345.0","200,586.0","202,144.0","205,497.0","214,716.0","223,017.0","221,082.0","224,418.0","228,513.0","233,900.0","249,011.0","231,617.0","247,479.0","252,803.0","251,062.0","253,347.0","256,085.0","256,873.0","255,301.0","263,917.0","262,168.0","262,629.0","270,035.0","271,270.0","272,496.0","272,587.0","278,943.0","283,105.0","291,577.0","291,601.0","305,595.0","308,485.0","311,788.0","322,566.0","326,713.0","330,195.0","336,657.0","340,876.0","348,608.0","353,626.0","352,110.0","352,987.0","355,131.0","349,711.0","339,403.0","329,485.0","338,331.0","342,291.0","335,865.0","322,777.0","318,603.0"
"56","36","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17,856.0","0.0","0.0","0.0","2,564.0","23,200.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"57","37","    Net purchases of nonproduced assets","AD09RC1","1,091.0","991.0","929.0","913.0","956.0","1,029.0","1,136.0","1,271.0","1,490.0","1,609.0","1,688.0","1,725.0","1,660.0","1,655.0","1,652.0","1,657.0","1,681.0","1,704.0","1,735.0","1,772.0","1,820.0","1,860.0","1,897.0","1,927.0","1,961.0","1,963.0","1,945.0","1,907.0","1,842.0","1,779.0","1,713.0","1,650.0","1,566.0","1,540.0","1,545.0","1,581.0","1,589.0","1,602.0","1,620.0","1,641.0","1,661.0","1,681.0","1,700.0","1,718.0","1,723.0","1,748.0","1,783.0","1,826.0","1,895.0","1,937.0","1,972.0","2,000.0","2,008.0","2,030.0","2,058.0","2,092.0","2,134.0","2,187.0","2,249.0","2,322.0","2,406.0","2,503.0","2,609.0","2,726.0","2,848.0","2,986.0","3,132.0","3,286.0","3,451.0","3,604.0","3,752.0","3,889.0","4,040.0","4,136.0","4,204.0","4,248.0","4,223.0","4,271.0","4,347.0","4,455.0","4,593.0","4,769.0","4,974.0","5,200.0","5,514.0","5,700.0","5,827.0","5,895.0","5,831.0","5,833.0","5,834.0","5,838.0","5,885.0","5,884.0","5,874.0","5,857.0","5,845.0","5,856.0","5,892.0","5,951.0","6,034.0","6,136.0","6,258.0","6,400.0","6,560.0","6,629.0","6,609.0","6,498.0","6,296.0","6,105.0","5,924.0","5,755.0","5,596.0","5,628.0","5,852.0","6,268.0","6,875.0","7,403.0","7,850.0","8,216.0","8,503.0","8,668.0","8,710.0","8,631.0","8,429.0","8,413.0","8,582.0","8,936.0","9,477.0","9,950.0","10,354.0","10,691.0","10,959.0","11,162.0","11,301.0","11,374.0","11,382.0","11,402.0","11,433.0","11,475.0","11,574.0","11,529.0","11,337.0","11,000.0","10,517.0","10,220.0","10,111.0","10,188.0","10,452.0","10,831.0","11,327.0","11,938.0","13,006.0","13,767.0","14,219.0","14,364.0","14,194.0","14,101.0","14,084.0","14,145.0","14,282.0","14,372.0","14,414.0","14,408.0","14,355.0","14,404.0","14,556.0","14,809.0","15,166.0","15,454.0"
"58","38","    Less: Consumption of fixed capital","A919RC1","8,898.0","9,216.0","9,412.0","9,737.0","10,031.0","10,382.0","10,710.0","11,107.0","11,393.0","11,676.0","11,896.0","12,190.0","12,445.0","12,651.0","12,938.0","13,280.0","13,655.0","14,061.0","14,463.0","14,995.0","15,892.0","17,108.0","18,376.0","19,307.0","19,854.0","20,099.0","20,311.0","20,596.0","20,888.0","21,184.0","21,342.0","21,588.0","22,011.0","22,360.0","22,777.0","23,167.0","23,589.0","24,175.0","24,776.0","25,364.0","26,081.0","26,977.0","27,943.0","28,947.0","30,015.0","31,147.0","32,411.0","33,614.0","34,797.0","35,861.0","36,802.0","37,720.0","38,497.0","39,330.0","39,977.0","40,307.0","40,571.0","40,739.0","41,020.0","41,280.0","41,632.0","42,093.0","42,579.0","43,025.0","43,696.0","44,275.0","44,912.0","45,661.0","46,411.0","47,365.0","48,279.0","49,341.0","50,139.0","51,026.0","51,917.0","52,649.0","53,549.0","54,345.0","55,238.0","56,091.0","56,966.0","58,019.0","59,063.0","60,104.0","61,241.0","62,450.0","63,771.0","64,698.0","65,576.0","66,563.0","67,381.0","68,004.0","68,526.0","69,477.0","70,245.0","71,177.0","72,349.0","73,428.0","74,215.0","75,192.0","76,410.0","77,440.0","78,744.0","79,915.0","81,347.0","82,595.0","83,713.0","84,902.0","85,910.0","86,662.0","87,697.0","88,655.0","89,751.0","91,039.0","92,006.0","93,474.0","94,370.0","95,278.0","96,756.0","98,205.0","99,549.0","101,306.0","102,803.0","104,775.0","106,711.0","108,969.0","110,788.0","112,424.0","114,008.0","115,356.0","116,647.0","118,115.0","119,639.0","121,219.0","122,574.0","123,743.0","125,542.0","126,647.0","127,836.0","129,095.0","131,253.0","134,724.0","139,127.0","143,187.0","145,042.0","148,335.0","152,212.0","154,927.0","156,801.0","161,164.0","164,242.0","168,707.0","173,848.0","177,049.0","180,189.0","183,586.0","185,780.0","188,981.0","192,807.0","197,268.0","199,385.0","199,081.0","198,499.0","199,203.0","201,059.0","203,123.0","205,017.0","206,778.0","209,213.0","212,584.0"
"59","39","  Net lending or net borrowing (-)","AD03RC1","-6,386.0","-6,090.0","-4,797.0","-3,306.0","-3,733.0","-4,548.0","-7,048.0","-8,552.0","-8,223.0","-6,584.0","-5,922.0","-5,001.0","-3,937.0","6,639.0","-594.0","11,606.0","5,553.0","3,179.0","1,056.0","-277.0","-1,742.0","-4,053.0","-6,336.0","-9,233.0","-15,786.0","-11,351.0","-8,464.0","-11,898.0","-11,928.0","-7,301.0","-3,804.0","3,284.0","481.0","1,909.0","8,100.0","7,337.0","9,930.0","9,228.0","921.0","2,994.0","4,565.0","-3,235.0","-2,631.0","-5,976.0","-8,493.0","-10,369.0","-5,969.0","-1,418.0","-6,135.0","-3,775.0","-2,358.0","-8,829.0","-11,120.0","-11,155.0","-12,492.0","-15,623.0","-15,821.0","-6,534.0","-1,085.0","3,745.0","9,870.0","12,370.0","4,387.0","8,578.0","4,633.0","2,484.0","-236.0","-806.0","1,657.0","-5,223.0","-3,355.0","-12,658.0","-21,004.0","-7,222.0","-18,007.0","-21,237.0","-18,068.0","-21,073.0","-10,089.0","-12,742.0","-6,644.0","-10,605.0","-17,365.0","-35,462.0","-29,527.0","-35,067.0","-39,337.0","-51,090.0","-50,695.0","-51,748.0","-48,027.0","-53,565.0","-51,406.0","-45,227.0","-45,431.0","-37,350.0","-47,871.0","-45,221.0","-42,744.0","-26,131.0","-31,963.0","-36,304.0","-28,829.0","-34,797.0","-32,474.0","-48,589.0","-36,078.0","-26,364.0","-20,242.0","-26,947.0","-25,961.0","-29,814.0","-33,500.0","-26,959.0","-15,605.0","-10,664.0","-6,399.0","-17,512.0","-23,146.0","-13,244.0","-29,850.0","-31,988.0","-27,992.0","-32,743.0","-30,727.0","-24,581.0","-40,867.0","-56,232.0","-66,883.0","-99,147.0","-91,523.0","-139,665.0","-144,630.0","-146,776.0","-137,703.0","-148,564.0","-178,200.0","-137,785.0","-118,440.0","-89,900.0","-114,936.0","-118,676.0","-107,222.0","-76,096.0","-60,424.0","-66,352.0","-55,875.0","-81,199.0","-26,297.0","-34,709.0","-53,949.0","-62,361.0","-79,116.0","-74,009.0","-90,878.0","-128,203.0","-152,305.0","-140,260.0","-211,115.0","-220,796.0","-228,123.0","-183,238.0","-164,154.0","-126,012.0","-111,350.0","-99,869.0","-69,046.0","-95,709.0","-113,679.0","-85,993.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
