"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"148","141","        Newspapers and periodicals","DMAGRC0",2133,2182,2045,2329,2494,2531,2703,3186,3271,3436,3692,4097,4426,4775,5291,5881,6356,7033,7727,9119,10881,12015,13039,13843,14588,15729,15910,16503,17587,19244,20056,21632,22053,21959,23434,25601,27525,29477,31153,31740,32981,34382,34246,34434,34509,35572,36072,36193,34387,35080,35429,39108,43258,47078,52038
"149","142","        Stationery and miscellaneous printed materials","DSTYRC0",1258,1322,1323,1433,1544,1685,1805,2146,2195,2413,2734,2799,2627,2886,3133,3314,3539,3754,4166,4936,5523,6121,6793,7195,7802,8784,9458,10066,11211,12419,13941,14861,15738,16814,17429,18184,18533,18715,19053,20149,21331,22185,20796,20367,20617,21218,21934,22880,23336,23271,22745,23697,24796,26005,27342
"150","143","      Net expenditures abroad by U.S. residents (131)","DNFRRC0",959,918,856,905,881,983,1072,1291,1379,1496,1654,1763,1866,1700,1351,1208,1058,918,1008,1238,1414,1794,2052,2664,2705,2821,3160,2978,3075,2499,2700,2592,2349,960,1116,1335,1554,1704,2958,3241,3129,3219,3403,4034,4630,4718,4526,4568,5032,5345,6519,5341,6877,6225,5287
"151","144","        Expenditures abroad by U.S. residents","DABDRC0",1068,1053,985,1022,1013,1130,1243,1461,1611,1730,1871,2029,2095,1930,1625,1494,1328,1177,1247,1464,1714,2172,2465,3062,3161,3333,3897,3697,3888,3473,3608,3641,3474,2570,2690,2775,2879,2874,4087,4379,4449,4585,4925,5552,6378,6628,6690,7100,7906,8698,9495,10065,10192,9291,8731
"152","145","          Government employees' expenditures abroad","DARTRC0",1036,1020,951,987,977,1093,1205,1421,1570,1687,1826,1983,2047,1879,1576,1445,1277,1125,1198,1403,1647,2103,2396,3006,3105,3275,3839,3638,3828,3398,3505,3513,3326,2441,2563,2650,2755,2755,3925,4206,4273,4404,4730,5333,6100,6309,6337,6689,7407,8149,8895,9429,9548,8704,8180
"153","146","          Private employees' expenditures abroad","DARSRC0",32,33,34,35,36,37,38,40,41,43,45,46,48,51,49,49,51,52,49,61,67,69,69,56,57,58,58,59,60,76,102,129,148,129,128,125,124,118,162,173,176,181,195,219,279,319,354,411,499,549,600,636,644,587,551
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRC0",109,135,129,117,132,147,171,170,232,234,217,266,229,230,274,286,270,259,239,226,300,378,413,398,457,512,737,719,813,975,907,1049,1125,1610,1574,1440,1325,1170,1129,1138,1320,1366,1522,1518,1749,1910,2165,2532,2874,3353,2976,4724,3315,3066,3444
"155","148","Services","DSERRC0",144901,154563,163157,174139,184328,198939,213906,230977,248421,272834,299809,328894,358874,395616,434507,480460,541421,603867,676290,762606,851558,954824,1068139,1174621,1312739,1434455,1585068,1702782,1835754,2009581,2169011,2334328,2462716,2652385,2828655,2994464,3168646,3350398,3553956,3794314,4030126,4348776,4581627,4786716,5042800,5357502,5710063,6061662,6382871,6629799,6644494,6839069,7109078,7379892,7615688
"156","149","  Household consumption expenditures (for services)","DHCERC0",140037,149504,157911,168660,178559,192506,206944,223522,240372,264041,290366,318420,347170,382802,420752,464963,524408,584885,655655,739588,825438,924791,1033999,1136657,1271983,1389072,1537161,1650172,1780057,1946288,2100974,2258467,2382589,2564451,2738590,2896702,3066318,3240354,3448368,3670507,3891897,4190735,4402545,4588374,4837288,5151130,5499795,5822477,6134091,6347655,6368477,6563719,6831176,7089403,7326183
"157","150","    Housing and utilities","DHUTRC0",52849,56720,60301,64476,68208,72148,76618,81226,86344,92748,100982,109421,119981,131185,143486,158579,176527,194663,217806,244279,273403,312453,352071,387499,421227,457510,500609,536976,571559,614437,655168,696539,735247,771112,814940,863343,913679,962439,1009822,1065472,1123133,1198556,1287492,1333584,1394121,1469083,1583621,1682374,1758184,1839073,1880993,1908992,1960869,2013884,2082524
"158","151","      Housing","DHSGRC0",43954,46976,49955,53381,56469,59764,63627,67511,71866,77316,84207,91040,99725,108730,118990,130045,142420,156034,173353,194495,218026,246551,277949,303011,327228,357682,394623,430519,461501,497330,531037,570621,601495,634457,666385,709460,756072,795427,839196,894167,948579,1010487,1085509,1133336,1177145,1242248,1332487,1416172,1480001,1543692,1591571,1609675,1659983,1719881,1768527
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRC0",12532,13279,14150,15115,16045,17034,18156,19238,20390,22168,24042,25962,28395,30791,33696,35817,38983,42569,47016,51117,55676,62468,71097,78908,85696,94548,108430,119848,126866,133874,140120,150832,157682,164023,169140,176092,186587,192003,199248,208954,218167,227926,242254,249635,248669,256024,268346,286759,315958,336427,359679,372623,402256,430413,450272
"160","153","          Tenant-occupied mobile homes","DTMHRC0",33,36,42,51,64,79,99,122,150,188,238,292,333,408,503,609,766,888,1003,1111,1340,1411,1538,1776,2034,2153,2311,2549,2769,2978,3183,3752,4198,4744,5036,5476,5947,6027,6091,5986,5812,6374,7482,8168,8492,8693,8752,8161,7610,6893,6658,7679,7748,7967,8132
"161","154","          Tenant-occupied stationary homes","DTSPRC0",11971,12694,13547,14489,15391,16347,17429,18466,19566,21284,23084,24926,27294,29591,32338,34262,37129,40503,44714,48544,52682,59184,67451,74807,81208,89868,103475,114515,121127,127717,133396,143289,149490,155068,159726,166051,175809,180907,187894,197567,206827,215776,228727,235299,233947,240984,252738,271235,300636,321651,345186,357530,387169,414870,434724
"162","155","          Tenant landlord durables","DTLDRC0",528,549,561,575,590,608,628,650,674,696,720,744,768,792,855,946,1088,1178,1299,1462,1654,1874,2108,2325,2455,2527,2644,2783,2970,3179,3541,3791,3994,4211,4378,4565,4832,5070,5263,5401,5528,5776,6045,6168,6230,6347,6857,7363,7712,7884,7834,7415,7339,7576,7416
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC0",29047,31273,33285,35714,37787,39991,42668,45338,48329,51883,56627,61300,67344,73716,80980,89677,98778,108670,121336,138123,156871,178387,200995,218426,235901,257440,280603,305241,329147,357477,384442,412808,436345,462602,488510,523673,559360,592870,629509,674320,718919,768887,829184,869184,913250,968464,1044314,1108796,1142269,1185472,1209860,1214483,1233825,1263690,1291544
"164","157","          Owner-occupied mobile homes","DOMHRC0",400,438,472,523,592,693,815,943,1089,1294,1563,1821,2124,2634,3338,4072,4399,4500,5123,5950,6558,6992,8770,9563,10598,11607,12782,13741,14612,15624,16565,17591,19234,20290,20599,21208,21856,23074,24298,25299,26141,28114,33512,34513,34294,34198,33735,31060,28426,26881,26645,25503,25967,26592,26837
"165","158","          Owner-occupied stationary homes","DOSTRC0",28647,30835,32813,35191,37195,39298,41853,44395,47240,50589,55064,59479,65220,71082,77642,85605,94379,104170,116213,132173,150313,171395,192225,208863,225303,245833,267822,291501,314535,341853,367877,395217,417112,442312,467912,502465,537504,569796,605211,649021,692777,740773,795672,834671,878956,934265,1010579,1077737,1113842,1158591,1183214,1188980,1207859,1237098,1264707
"166","159","        Rental value of farm dwellings (22)","DFARRC0",2031,2098,2202,2258,2360,2443,2481,2599,2747,2838,3046,3268,3475,3713,3784,3961,3998,4115,4369,4684,4924,5170,5345,5148,5171,5201,5114,4983,5041,5474,5907,6341,6774,7207,8067,9021,9404,9759,9636,10023,10591,12746,13142,13640,14286,16793,18829,19539,20567,20526,20713,21225,22444,24090,24898
"167","160","        Group housing (23)","DGRHRC0",344,326,318,294,277,296,322,336,400,427,492,510,511,510,530,590,661,680,632,571,555,526,512,529,460,493,476,447,447,505,568,640,694,625,668,674,721,795,803,870,902,928,929,877,940,967,998,1078,1207,1267,1319,1344,1458,1688,1813
"168","161","      Household utilities","DUTLRC0",8895,9744,10346,11095,11739,12384,12991,13715,14478,15432,16775,18381,20256,22455,24496,28534,34107,38629,44453,49784,55377,65902,74122,84488,93999,99828,105986,106457,110058,117107,124131,125918,133752,136655,148555,153883,157607,167012,170626,171305,174554,188069,201983,200248,216976,226835,251134,266202,278183,295381,289422,299317,300886,294003,313997
"169","162","        Water supply and sanitation (25)","DWRSRC0",1214,1375,1478,1615,1821,1929,2062,2161,2225,2416,2758,3162,3559,4011,4438,4920,5460,6005,6669,7531,8409,9398,10476,11657,13107,14938,16978,19078,21074,22881,25260,27149,28819,30294,33498,36733,39337,42069,44058,46214,48740,50440,52379,54609,56608,58735,61266,65491,68003,71866,74289,77961,82082,85927,88783
"170","163","          Water supply and sewage maintenance","DWSMRC0",1058,1199,1289,1408,1588,1682,1798,1884,1940,2107,2405,2757,3103,3497,3869,4290,4761,5236,5815,6555,7305,8137,9077,10082,11483,13064,14835,16545,18117,19688,21457,22721,24150,25239,27598,30102,32034,34032,35326,36606,38215,39483,41319,43556,44760,45980,47900,50529,52530,55323,58276,61253,64667,68289,71400
"171","164","          Garbage and trash collection","DREFRC0",156,176,189,207,233,247,264,277,285,309,353,405,456,514,569,630,699,769,854,976,1104,1261,1399,1575,1624,1874,2143,2533,2957,3193,3803,4428,4669,5055,5901,6630,7304,8037,8732,9608,10525,10957,11060,11053,11848,12754,13365,14963,15473,16543,16014,16708,17415,17637,17383
"172","165","        Electricity and gas","DELGRC0",7681,8369,8868,9480,9918,10455,10929,11554,12253,13016,14017,15219,16697,18444,20058,23614,28647,32624,37784,42253,46968,56504,63646,72831,80892,84890,89008,87379,88984,94226,98871,98769,104933,106361,115057,117150,118270,124943,126568,125091,125814,137629,149604,145639,160368,168100,189868,200711,210180,223515,215133,221356,218804,208076,225214
"173","166","          Electricity (27)","DELCRC0",4714,5061,5327,5678,5950,6294,6607,7043,7527,8093,8772,9604,10622,11803,13303,16101,19388,21633,25174,28042,30741,37187,42472,47018,51576,55321,59254,60621,63253,66834,69681,71809,76636,76774,82749,84505,87581,90491,90704,93408,93578,98359,103368,107106,111476,115754,128524,140654,148295,155433,157008,166782,166714,163352,169106
"174","167","          Natural gas (28)","DGHERC0",2967,3308,3541,3802,3968,4161,4322,4511,4726,4923,5245,5615,6075,6641,6755,7513,9259,10991,12610,14211,16227,19317,21174,25813,29316,29569,29754,26758,25731,27392,29190,26960,28297,29587,32308,32645,30689,34452,35864,31683,32236,39270,46236,38533,48892,52346,61344,60057,61885,68082,58125,54574,52090,44724,56108
"175","168","    Health care","DHLCRC0",14831,16030,17120,19135,20978,24150,26038,28678,31929,36576,42059,47663,53725,59842,67175,76083,89000,101849,115691,131202,148840,171661,201914,225182,253125,276478,302195,330160,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996564,1082873,1154646,1240115,1322285,1394226,1481787,1556486,1627380,1690701,1767774,1847646,1918601
"176","169","      Outpatient services","DOUTRC0",8653,9155,9618,10712,11506,13528,14450,15395,16279,17813,19946,22305,24093,26305,29855,33157,38494,43353,49497,54731,61534,70635,83585,90693,103303,115770,129444,143356,164431,186187,204641,232126,253768,282638,297450,314563,336597,351312,369147,390430,407136,436625,475796,514722,550551,590492,626165,653000,689892,725646,744742,767927,797212,827457,852072
"177","170","        Physician services (44)","DPHYRC0",5533,5768,5945,6529,6954,8193,8559,9095,10067,10948,12431,14012,15344,16657,18452,20398,23571,25893,29728,32714,37171,43271,50993,55822,62858,69928,77489,85370,99137,112466,121895,134774,144894,158661,162051,168259,177849,183405,190873,202021,212102,229244,249300,269306,291452,314240,333931,348465,365689,383714,392838,402797,418371,433877,448354
"178","171","        Dental services (45)","DDENRC0",1950,2028,2115,2272,2307,2685,2849,3002,3387,3719,4326,4872,5139,5644,6592,7253,8218,9250,10274,11335,12281,13730,16121,17370,18868,20601,22569,24217,26767,28414,30328,32421,34082,37636,39573,42224,45389,47800,50931,54627,58491,63573,69324,75568,77817,83278,87873,91505,96992,101962,102080,104483,106768,109427,107297
"179","172","        Paramedical services (46)","DPMSRC0",1170,1359,1558,1911,2245,2650,3042,3298,2825,3146,3189,3421,3610,4004,4811,5506,6705,8210,9495,10682,12082,13634,16471,17501,21577,25241,29386,33769,38527,45307,52418,64931,74792,86341,95826,104080,113359,120107,127343,133782,136543,143808,157172,169848,181282,192974,204361,213030,227211,239970,249824,260647,272073,284153,296421
"180","173","          Home health care","DHHCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10987,11999,14347,18399,22086,27026,31874,36662,41608,44450,45667,45303,43177,42801,45424,47032,50307,53832,57035,59392,64462,68976,73546,76998,80499,84457,90143
"181","174","          Medical laboratories","DMLBRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3640,4596,5429,6407,7344,8256,8550,9129,9453,10127,11445,13247,14542,16910,19744,21024,23011,24802,26646,27927,28812,30869,32242,32625,33850,33694,32796
"182","175","          Other professional medical services","DOMDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23900,28712,32642,40125,45362,51059,55402,58289,62298,65530,70231,75232,78824,84097,92004,101792,107964,114340,120680,125711,133937,140125,144036,151024,157724,166002,173482
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19610,23284,25952,31249,34605,38472,41614,43557,46379,47879,47933,50435,51686,54169,58960,63795,67837,72250,76424,81630,88278,93759,97030,102101,105743,112988,117920
"184","177","            All other professional medical services","DOMORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4290,5428,6690,8876,10757,12586,13788,14732,15919,17651,22298,24797,27138,29929,33044,37997,40127,42090,44255,44081,45659,46366,47007,48924,51981,53014,55562
"185","178","      Hospital and nursing home services","DHPNRC0",6178,6875,7502,8423,9472,10622,11588,13283,15650,18763,22113,25358,29632,33537,37320,42926,50506,58496,66194,76471,87306,101026,118329,134489,149822,160708,172751,186804,201580,223864,246568,274076,301991,330147,351359,365898,383289,400755,421802,441616,456454,481800,520768,568151,604095,649623,696120,741226,791895,830840,882638,922774,970562,1020189,1066529
"186","179","        Hospitals (51)","DHSPRC0",5863,6303,6770,7545,8341,9080,9996,11330,13234,15736,18303,20901,24314,27580,30628,35260,41685,48625,55141,63623,72948,84662,100035,115176,127394,135803,145777,157413,170922,188785,207699,228784,253293,277619,295473,307246,318444,330073,345494,360080,373236,393892,427107,469536,498438,537865,577152,617043,658084,690052,736583,770481,811375,861180,905279
"187","180","          Nonprofit hospitals' services to households","DNPHRC0",4404,4762,5144,5664,6304,6824,7424,8355,9691,11397,13393,15390,17763,19926,21971,25448,30329,35363,40396,46570,52764,61317,72107,82386,90397,95969,102109,109484,119014,131745,144714,159601,175876,192120,203075,208104,211946,218718,230865,241608,252256,264796,283610,312928,331339,361471,392196,417220,446792,462872,492269,516304,538959,569278,599262
"188","181","          Proprietary hospitals","DFPHRC0",510,549,593,652,727,787,857,960,1116,1309,1540,1771,2044,2291,2539,2945,3510,4099,4652,5438,6370,7544,8967,10698,12089,13620,15371,17344,19235,21453,23776,26115,28511,30345,30941,32410,35334,38841,40766,42167,42038,43704,48296,56124,62094,64926,70633,76036,80521,88644,97074,99459,109083,121897,130743
"189","182","          Government hospitals","DGVHRC0",949,992,1033,1229,1310,1469,1715,2015,2427,3030,3370,3740,4507,5363,6118,6867,7846,9163,10093,11615,13814,15801,18961,22092,24908,26214,28297,30585,32673,35587,39209,43068,48906,55154,61457,66732,71164,72514,73863,76306,78943,85392,95201,100484,105005,111468,114324,123786,130771,138536,147240,154718,163334,170005,175274
"190","183","        Nursing homes (52)","DNRSRC0",315,572,732,878,1131,1542,1592,1953,2416,3027,3810,4457,5318,5957,6692,7666,8821,9871,11053,12848,14358,16364,18294,19313,22428,24905,26974,29391,30658,35079,38869,45292,48698,52528,55886,58652,64845,70682,76308,81536,83218,87908,93661,98615,105657,111758,118968,124183,133811,140788,146055,152293,159187,159009,161250
"191","184","          Nonprofit nursing homes' services to households","DNPNRC0",93,169,216,259,334,455,470,577,714,894,1126,1317,1571,1760,1977,2265,2606,2916,3265,3796,4242,4834,5404,5705,6626,7357,7969,8683,10103,12378,13106,15081,15750,17654,19011,20018,21593,23398,25948,28199,29344,31058,33575,35438,37958,39907,43016,44620,47524,48602,50871,52075,53164,53727,54278
"192","185","          Proprietary and government nursing homes","DFPNRC0",222,403,516,619,797,1086,1122,1376,1702,2133,2684,3140,3747,4197,4715,5401,6215,6955,7788,9053,10116,11530,12889,13607,15802,17547,19005,20708,20555,22701,25763,30211,32948,34874,36875,38635,43252,47284,50360,53337,53874,56850,60086,63177,67698,71850,75952,79564,86286,92185,95184,100218,106023,105282,106971
"193","186","    Transportation services","DTRSRC0",8696,9180,9562,10133,10621,11350,12133,13067,14275,15872,17977,20043,22359,24544,26078,28472,32045,36155,41395,45200,50705,55366,59790,61729,68899,80016,90145,95009,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227631,244091,263548,264704,258159,265464,276562,289385,302056,312216,311715,289694,292922,308232,318105,324349
"194","187","      Motor vehicle services","DMVSRC0",5467,5829,6169,6566,7023,7516,8029,8628,9351,10301,11487,12981,14565,15831,16645,17745,20624,23000,26637,29487,33200,35126,38409,39809,45019,52972,62038,65799,71804,79521,84778,87203,84378,93132,102619,115903,129137,142756,157235,165235,177652,189290,194784,191783,195093,201451,211800,220606,228507,226730,210421,211939,223037,230585,231498
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRC0",4814,5136,5433,5779,6183,6602,7041,7568,8221,9055,10110,11449,12862,13975,14685,15710,18327,20468,23785,26438,29818,31190,33861,35109,39861,45869,53365,56247,61515,68261,72452,73905,69368,73722,78866,86470,93475,100134,106305,112771,119890,127418,133841,136837,143466,148481,155091,157329,162378,158903,149221,152364,161922,166400,161701
"196","189","        Other motor vehicle services (61)","DOVSRC0",653,693,736,787,840,914,988,1060,1130,1246,1377,1532,1703,1856,1960,2035,2297,2532,2852,3049,3382,3936,4548,4700,5158,7103,8673,9552,10289,11260,12326,13298,15010,19410,23753,29433,35662,42622,50930,52464,57762,61872,60943,54946,51627,52970,56709,63277,66129,67827,61200,59575,61115,64185,69797
"197","190","          Motor vehicle leasing","DMVLRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,67,129,201,268,336,487,697,960,1046,1237,1931,2537,2872,3184,3477,3955,4836,5960,9540,12797,17292,22903,28330,34844,34639,38412,41115,39909,33753,29231,28375,30328,35463,36911,37703,31967,29799,29202,30713,35117
"198","191","            Auto leasing","DALERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059,3237,3575,4091,4757,8170,10509,12786,15860,18063,21731,20268,21358,22019,23016,19459,17094,14023,14836,19220,21179,23104,20693,20619,20680,21938,24788
"199","192","            Truck leasing","DTLERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,240,380,745,1203,1370,2288,4506,7043,10267,13113,14371,17054,19096,16893,14294,12136,14352,15492,16244,15732,14598,11275,9180,8522,8775,10329
"200","193","          Motor vehicle rental","DMVRRC0",118,126,133,142,151,162,173,185,201,230,273,327,389,434,447,460,515,552,626,637,662,710,750,713,896,1522,2133,2544,2866,3154,3164,3292,3504,3443,4092,4860,4993,5887,6604,7138,7887,8439,8175,8446,8893,10146,10976,12008,12798,13170,12266,12390,13483,14583,15382
"201","194","          Parking fees and tolls","DPFTRC0",535,567,603,646,689,752,816,874,929,1016,1104,1205,1314,1423,1491,1508,1652,1779,1958,2076,2233,2529,2837,2941,3025,3650,4004,4135,4239,4629,5207,5171,5546,6427,6864,7281,7766,8405,9482,10687,11463,12318,12859,12747,13504,14449,15405,15806,16421,16954,16967,17386,18429,18888,19298
"202","195","      Public transportation","DPUBRC0",3229,3351,3393,3567,3598,3834,4104,4439,4924,5571,6490,7062,7794,8713,9433,10727,11421,13155,14758,15713,17505,20240,21381,21920,23880,27044,28107,29210,31294,34629,37070,39169,39296,40490,43480,45993,48809,52199,57073,62396,66439,74258,69920,66376,70371,75111,77585,81450,83709,84985,79273,80983,85195,87520,92851
"203","196","        Ground transportation (63)","DGRDRC0",2637,2672,2630,2682,2670,2749,2823,2962,3109,3331,3639,3982,4308,4578,4712,5173,5519,6013,6450,6598,7098,7445,7973,8405,8743,9349,9777,9874,9969,11191,11796,12938,14015,14764,15435,16135,16679,17436,18050,20126,21313,22874,24746,24562,25324,27865,29590,32486,33362,34767,34538,35601,38005,37119,37584
"204","197","          Railway transportation","DIRRRC0",454,448,433,428,409,425,429,445,424,397,398,395,370,401,419,490,474,505,508,495,556,588,660,675,699,664,616,559,539,605,668,696,697,546,526,488,482,489,490,519,555,635,697,726,721,736,757,847,957,1052,971,1091,1165,1240,1300
"205","198","          Road transportation","DROTRC0",2183,2224,2197,2254,2262,2324,2394,2516,2685,2934,3242,3587,3939,4177,4292,4683,5045,5508,5942,6103,6542,6858,7313,7730,8044,8685,9161,9315,9430,10585,11127,12242,13317,14219,14909,15647,16197,16948,17559,19607,20758,22238,24049,23837,24603,27129,28833,31639,32405,33715,33568,34509,36840,35879,36283
"206","199","            Intercity buses","DIBURC0",156,154,155,161,159,184,206,236,258,273,284,311,340,354,383,446,455,475,518,576,719,873,987,1029,928,847,754,603,667,832,717,615,674,682,724,776,836,895,1022,1118,1202,1360,1410,1412,1435,1432,1420,1455,1383,1493,1250,1076,1173,1286,1404
"207","200","            Taxicabs","DTAXRC0",603,609,570,588,595,595,612,638,692,856,1013,1180,1403,1573,1581,1687,1968,2208,2397,2220,2043,1866,1689,1513,1851,2296,2572,2514,2359,2276,2299,2577,2625,2586,2713,2799,2989,3162,3258,3499,3269,3071,3367,3454,3237,3842,4134,4603,4574,4530,4550,4742,4988,5259,5678
"208","201","            Intracity mass transit","DIMTRC0",1259,1295,1304,1327,1332,1340,1346,1381,1444,1491,1609,1726,1787,1815,1853,1994,2051,2218,2354,2556,2845,2998,3380,3864,3997,4265,4521,4941,5013,5669,6222,7124,7843,8567,8794,8962,8749,8796,8673,9606,10444,11516,12204,11298,12089,13061,13875,15294,15392,16380,16950,17143,18299,19123,18649
"209","202","            Other road transportation service","DORTRC0",166,166,169,177,176,204,229,262,291,314,335,370,408,435,476,555,571,607,672,751,934,1120,1257,1324,1269,1278,1314,1257,1391,1808,1890,1926,2175,2384,2678,3109,3623,4094,4606,5385,5843,6291,7068,7673,7842,8794,9404,10287,11056,11313,10817,11549,12381,10211,10552
"210","203","        Air transportation (64)","DAITRC0",591,678,762,884,927,1084,1279,1475,1812,2236,2846,3075,3480,4128,4712,5543,5890,7128,8291,9096,10384,12768,13377,13480,15066,17552,18088,18987,20935,22987,24840,25891,25069,25581,27742,29226,31072,33269,37216,40269,43042,49166,42873,39515,42678,44734,45446,46318,47572,47413,42196,42652,44328,47331,51698
"211","204","        Water transportation (65)","DWATRC0",1,1,1,1,1,1,2,2,3,4,5,5,6,7,9,11,12,14,17,19,23,27,31,35,71,143,242,349,390,451,434,340,212,145,303,632,1058,1494,1807,2001,2084,2218,2301,2299,2369,2512,2549,2646,2775,2805,2539,2730,2862,3070,3569
"212","205","    Recreation services","DRCARC0",5921,6480,6945,7455,7926,8480,8976,9768,10452,11703,12925,14001,15118,16329,18348,20948,23653,26535,29562,32850,36725,40837,47125,52473,59430,66117,73958,80369,87276,99233,110665,121766,127181,139799,153375,164661,181092,195583,208318,220205,238056,254392,262290,271404,289178,312103,328899,351945,375845,384491,375999,385051,399715,416556,427153
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC0",3476,3799,4073,4333,4566,4808,5048,5443,5711,6346,6926,7575,8091,8628,9364,10775,12106,13211,14961,16623,18282,20149,22611,24641,27214,29383,31994,33921,35799,40016,45305,49733,52106,57425,61233,64206,69535,74607,78995,83320,87287,91930,94315,97513,103805,110303,117938,127219,137296,140466,137923,141760,147590,153668,153032
"214","207","        Membership clubs and participant sports centers","DMDFRC0",990,1131,1262,1343,1402,1432,1439,1494,1546,1576,1585,1609,1610,1676,1901,2228,2640,3080,3528,3718,4049,4457,4905,5461,6351,7154,8648,9873,11002,12142,13385,14289,14973,16282,16840,17474,18599,20272,24329,24955,25890,26391,26619,27475,29294,31834,34315,37352,40722,41187,39124,39532,40154,42445,43023
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRC0",795,892,991,1096,1203,1310,1336,1482,1605,1836,2163,2529,2828,3248,3763,4295,4840,5349,6009,6551,7334,8493,9949,10549,11471,11806,12844,12764,13118,14934,17314,19192,20047,23332,24597,25729,28352,29343,28362,29360,29964,31122,31335,30233,31393,32076,33565,34989,36848,38325,37212,38837,41464,45372,47476
"216","209","        Admissions to specified spectator amusements","DADMRC0",1631,1707,1741,1806,1865,1959,2162,2343,2425,2779,2993,3219,3409,3431,3387,3868,4198,4297,4868,5720,6189,6390,6828,7654,8343,9300,9261,9967,10278,11392,12875,14402,15180,15739,17514,18628,20085,22443,23660,26060,28127,30616,32310,35018,37919,40812,43701,48402,53573,54732,55519,57261,59639,59759,56272
"217","210","          Motion picture theaters","DMOVRC0",1043,1045,1044,1033,1029,1038,1163,1219,1227,1400,1507,1629,1733,1744,1647,2022,2197,2074,2368,2752,2823,2578,2721,3134,3188,3421,3244,3338,3443,3884,4572,5136,5231,4939,5056,5308,5612,6099,6608,7226,7948,8611,8993,9597,9907,9950,9741,10371,10885,10957,11497,11766,11439,11682,11394
"218","211","          Live entertainment, excluding sports","DLIGRC0",277,298,285,304,309,334,339,380,418,420,433,454,454,489,533,597,668,800,918,1126,1296,1520,1746,1828,2093,2407,2738,3346,3470,3770,3799,4458,4656,5167,6102,6530,7040,7494,7851,8742,9504,10364,11104,11880,13854,15903,18253,20735,23647,24338,25198,26305,28221,29401,26657
"219","212","          Spectator sports","DSPERC0",311,364,412,469,527,587,660,744,780,959,1053,1136,1222,1198,1207,1249,1333,1423,1582,1842,2070,2292,2361,2692,3062,3472,3279,3283,3365,3738,4504,4808,5293,5633,6357,6790,7433,8851,9202,10092,10675,11642,12213,13541,14158,14959,15707,17296,19041,19437,18824,19191,19979,18675,18222
"220","213","        Museums and libraries","DMUSRC0",60,69,79,88,96,107,111,124,135,155,185,218,244,273,313,384,428,485,556,634,710,809,929,977,1049,1123,1241,1317,1401,1548,1731,1850,1906,2072,2281,2375,2499,2548,2643,2945,3306,3800,4051,4787,5199,5581,6357,6476,6153,6222,6068,6129,6333,6093,6260
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC0",1562,1718,1832,1935,2059,2183,2315,2537,2803,3164,3538,3800,4116,4300,4981,5689,6464,7497,8051,8622,9653,10733,12350,14012,16608,18967,21928,24482,27161,31144,34656,37875,39388,42597,45979,46500,49994,52772,55540,60011,65508,70138,72652,73441,76101,81308,81497,84419,89293,92658,93555,96050,99833,104156,110352
