"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"47","37","    Total, billions of chained (2005) dollars \4\","A067RX1",2922,2951.6,3011.6,3033.5,3048.6,3102,3144,3133.7,3195.9,3243.9,3258.3,3292.7,3313.5,3344.6,3413,3548.8,3589.1,3624.5,3642.8,3687.2,3630.6,3599.5,3610.7,3594.4,3580.3,3747.5,3696.9,3734.3,3789.3,3820.5,3854.9,3882.6,3885.8,3930,3989,4069.4,4094.5,4141.5,4175.1,4207.9,4253.9,4224.2,4248.3,4282.3,4294.3,4234.2,4277.8,4366.1,4356.1,4356.7,4453.3,4462.3,4467.5,4498.8,4518.5,4534.4,4570.1,4603.4,4672.5,4768.9,4873.2,4957.1,5034.3,5082.2,5069.7,5170.4,5138.4,5191.6,5253.4,5313,5340.9,5344.1,5376.9,5318.6,5413.7,5490.6,5559.6,5611.8,5655,5705.9,5770.8,5747.1,5784.3,5828.6,5872.5,5911.1,5915.4,5875.5,5893.6,5938.3,5950.9,5989.7,6080.1,6126.7,6157.8,6245.4,6153.8,6249.5,6262.8,6355.1,6329.7,6437.7,6485,6571,6613.6,6614.2,6663.7,6703.2,6774.6,6847.4,6905.7,6943.6,7005.7,7058.3,7139.1,7238.3,7402.9,7508.6,7587.5,7643.1,7694.9,7712.5,7762.4,7884.1,8049.8,8132.3,8218.6,8230.9,8292.7,8270,8480.6,8381.7,8607.6,8655,8625.3,8645.7,8677.5,8808.8,8932.1,8983.5,9023.4,9112.6,9173.5,9301.8,9188.5,9253.2,9308.4,9359.3,9534.6,9619.1,9665.3,9792,9836.3,9851,9889.7,9944.1,10087.4,10288.5,10053.7,10047.9,9927.3,9915.6,9760.2,9746.4,9881.6,10034.1,10063.3,10087.4,10195.7,10157.8,10125.6,10121.5,10213.9,10270.6,10282.7
"48",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","38","      Current dollars","A229RC0",3211,3277,3376,3430,3478,3567,3638,3661,3757,3846,3889,3942,3999,4050,4159,4348,4442,4562,4657,4799,4856,4940,5076,5168,5233,5532,5543,5678,5813,5898,6026,6149,6250,6414,6590,6800,6939,7145,7309,7483,7688,7822,8037,8272,8519,8582,8846,9227,9414,9551,9896,10041,10158,10304,10484,10612,10766,10921,11204,11485,11840,12136,12391,12556,12636,12955,12923,13128,13353,13485,13622,13698,13937,13879,14238,14529,14807,15079,15342,15591,15927,16035,16182,16391,16727,16966,17135,17184,17294,17474,17582,17775,18131,18335,18481,18794,18553,18891,18933,19255,19202,19576,19817,20114,20299,20362,20534,20682,20972,21275,21485,21683,21932,22092,22335,22656,23123,23443,23695,23870,24046,24173,24379,24823,25506,25817,26172,26287,26609,26600,27211,26840,27567,27873,27847,27976,28221,28606,29121,29353,29669,30118,30430,31026,30765,31105,31563,31934,32597,33055,33366,33710,34116,34381,34618,35081,35848,36888,36343,35722,35031,35058,34689,34820,35393,35926,36074,36284,36904,37028,37052,37064,37571,37779,37900
"50","39","      Chained (2005) dollars","A229RX0",14468,14581,14836,14901,14938,15153,15305,15202,15457,15644,15665,15782,15843,15954,16238,16840,16994,17124,17167,17334,17034,16851,16861,16741,16642,17378,17092,17221,17437,17543,17656,17736,17709,17867,18085,18397,18467,18632,18728,18820,18978,18796,18847,18938,18938,18621,18756,19092,19009,18969,19337,19326,19307,19399,19434,19455,19568,19670,19917,20280,20684,20997,21273,21423,21331,21708,21519,21687,21902,22104,22165,22125,22218,21930,22268,22528,22766,22932,23048,23198,23415,23266,23352,23467,23590,23672,23605,23364,23363,23466,23432,23504,23789,23891,23924,24181,23756,24052,24022,24298,24136,24476,24577,24827,24921,24852,24958,25029,25232,25431,25565,25623,25784,25903,26113,26393,26924,27234,27435,27553,27669,27657,27747,28098,28616,28838,29065,29031,29182,29034,29696,29275,29999,30097,29918,29915,29963,30349,30697,30800,30877,31114,31245,31603,31152,31305,31411,31504,32024,32235,32306,32646,32721,32697,32741,32837,33238,33826,32974,32878,32417,32313,31733,31615,31990,32425,32455,32470,32764,32587,32420,32345,32586,32711,32686
"51","40","  Population (midperiod, thousands)","B230RC0",201955,202419,202986,203584,204086,204721,205419,206130,206763,207362,208000,208642,209142,209637,210181,210737,211192,211663,212191,212708,213144,213602,214147,214700,215135,215652,216289,216848,217314,217776,218338,218917,219427,219956,220573,221201,221719,222281,222933,223583,224152,224737,225418,226117,226754,227389,228070,228689,229155,229674,230301,230903,231395,231906,232498,233074,233546,234028,234603,235153,235605,236082,236657,237232,237673,238176,238789,239387,239861,240368,240962,241539,242009,242520,243120,243721,244208,244716,245354,245966,246460,247017,247698,248374,248936,249711,250595,251482,252258,253063,253965,254835,255585,256439,257386,258277,259039,259826,260714,261547,262250,263020,263870,264678,265388,266142,267000,267820,268487,269251,270128,270991,271709,272487,273391,274246,274950,275703,276564,277400,278103,278864,279751,280592,281304,282002,282769,283518,284169,284838,285584,286311,286935,287574,288303,289007,289609,290253,290974,291669,292237,292875,293603,294334,294957,295588,296340,297086,297736,298408,299180,299946,300609,301284,302062,302829,303494,304160,304902,305616,306237,306866,307573,308285,308899,309457,310070,310670,311184,311717,312330,312929,313443,313976,314589
"52",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Disposable personal income, current dollars","A067RP1",4.7,9.5,13.8,7.8,6.8,12,9.7,3.9,12.3,11,5.8,6.9,6.9,6.2,12.3,20.8,9.8,12.3,9.7,13.9,5.7,8,12.6,8.5,6,26,2,11.3,10.8,6.9,10.1,9.6,7.8,12,12.7,14.6,9.5,13.6,10.8,11.2,12.5,8.3,12.8,13.6,13.8,4.1,14.3,19.6,9.3,6.9,16.5,7.1,5.6,6.8,8.3,6,6.8,6.8,11.9,11.4,13.8,11.3,9.7,6.5,3.3,11.4,0.1,7.5,7.9,4.9,5.2,3.2,8,-0.8,11.9,9.5,8.8,8.4,8.3,7.7,9.8,3.7,4.9,6.4,9.4,7.2,5.5,2.6,3.8,5.6,4,5.9,9.5,6,4.8,8.4,-3.9,8.8,2.3,8.3,0,9.3,6.4,7.4,4.9,2.4,4.8,4.2,6.8,7.1,5.4,5.1,5.8,4.1,5.8,7.2,9.6,6.8,5.7,4.2,4,3.2,4.8,8.8,12.6,6,6.8,2.8,6,0.8,10.7,-4.4,12.3,5.4,0.6,2.9,4.4,6.5,8.5,4.2,5.2,7.1,5.3,9.2,-2.5,5.4,7.1,5.8,9.5,6.7,4.9,5.3,5.8,4.1,3.9,6.5,10,13.1,-4.9,-5.8,-6.8,1.1,-3.3,2.5,7.6,6.9,2.5,3.1,7.7,2,1.1,0.9,6.3,2.9,2.1
"54","42","    Disposable personal income, chained (2005) dollars","A067RL1",0.7,4.1,8.4,3,2,7.2,5.5,-1.3,8.2,6.1,1.8,4.3,2.5,3.8,8.4,16.9,4.6,4,2,5,-6,-3.4,1.3,-1.8,-1.6,20,-5.3,4.1,6,3.3,3.6,2.9,0.3,4.6,6.1,8.3,2.5,4.7,3.3,3.2,4.4,-2.8,2.3,3.2,1.1,-5.5,4.2,8.5,-0.9,0.1,9.2,0.8,0.5,2.8,1.8,1.4,3.2,2.9,6.1,8.5,9,7.1,6.4,3.9,-1,8.2,-2.5,4.2,4.8,4.6,2.1,0.2,2.5,-4.3,7.3,5.8,5.1,3.8,3.1,3.7,4.6,-1.6,2.6,3.1,3,2.7,0.3,-2.7,1.2,3.1,0.8,2.6,6.2,3.1,2,5.8,-5.7,6.4,0.9,6,-1.6,7,3,5.4,2.6,0,3,2.4,4.3,4.4,3.4,2.2,3.6,3,4.7,5.7,9.4,5.8,4.3,3,2.7,0.9,2.6,6.4,8.7,4.2,4.3,0.6,3,-1.1,10.6,-4.6,11.2,2.2,-1.4,1,1.5,6.2,5.7,2.3,1.8,4,2.7,5.7,-4.8,2.8,2.4,2.2,7.7,3.6,1.9,5.3,1.8,0.6,1.6,2.2,5.9,8.2,-8.8,-0.2,-4.7,-0.5,-6.1,-0.6,5.7,6.3,1.2,1,4.4,-1.5,-1.3,-0.2,3.7,2.2,0.5
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Social security benefits include old-age, survivors, and disability insurance benefits that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","are distributed from the federal old-age and survivors insurance trust fund and the disability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Medicare benefits include hospital and supplementary medical insurance benefits that are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","distributed from the federal hospital insurance trust fund and the supplementary medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4. The current-dollar measure is deflated by the implicit price deflator for personal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
