"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"357","349","Q1MPC1    Market-based PCE clothing & shoes","Q1MPC10",NA,NA,NA,NA,NA,NA,NA,245650,262792,282391,297401,303417,316348,329663,352025
"358","350","Q1MBN1    Market-based PCE other nondurables","Q1MBN10",NA,NA,NA,NA,NA,NA,NA,454069,478268,505889,529638,545818,562587,586134,614415
"359","351","Q1MBH1    Market-based PCE housing","Q1MBH10",NA,NA,NA,NA,NA,NA,NA,912428,938586,968040,995742,1022866,1050717,1064687,1083591
"360","352","Q1MBO1    Market-based PCE other household operation","Q1MBO10",NA,NA,NA,NA,NA,NA,NA,211253,224756,238239,251687,255691,256215,260657,268536
"361","353","Q1MBT1    Market-based PCE transportation services","Q1MBT10",NA,NA,NA,NA,NA,NA,NA,333683,344181,356593,364749,362830,354755,351523,355305
"362","355","Q1MBM1    Market-based PCE medical care services","Q1MBM10",NA,NA,NA,NA,NA,NA,NA,646593,661098,668586,694022,734178,783919,821521,856538
"363","356","Q1MBR1    Market-based PCE recreation services","Q1MBR10",NA,NA,NA,NA,NA,NA,NA,159511,166021,174553,180583,184998,187319,191263,196807
"364","357","Q1PER1    Personal care services","Q1PER10",NA,NA,NA,NA,NA,NA,NA,75000,79531,83464,87029,86912,87254,87174,86938
"365","358","Q1MBB1    Market-based PCE personal business","Q1MBB10",NA,NA,NA,NA,NA,NA,NA,144733,162220,188576,213131,210448,213689,218282,226361
"366","359","Q1GED1    Public higher education","Q1GED10",NA,NA,NA,NA,NA,NA,NA,36797,37955,39233,40794,43582,46272,47897,48987
"367","360","Q1VED1    Commercial & vocational schools","Q1VED10",NA,NA,NA,NA,NA,NA,NA,23728,25841,27223,29533,30342,29848,28802,28203
"368","361","Q1CHC1    Child care","Q1CHC10",NA,NA,NA,NA,NA,NA,NA,22843,23235,24448,25517,26878,27460,27650,28586
"369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","  the Survey of Current Business monthly (NIPA table 2.8.5; B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","  Business annually (NIPA table 2.5.6; B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5 and table B.4,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
