"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"86","79","      Sports and recreational vehicles","DWHLRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,0.7,0.8,0.9,1.2,1.4,1.7,1.9,2.6,3.3,3.5,4.2,5.5,6.4,6.2,7.5,8.6,10,10.8,11.7,9.8,10.4,10.3,10.7,13.8,14.6,15.7,16.4,17,17.3,16.6,16,15.9,18,20.4,22.5,24.1,26,28.7,31.8,34.9,35.4,36.5,40.6,45,47.7,49.7,51.1,49
"87","80","      Other sporting and recreational goods","DORIRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.8,4.1,4.4,4.8,5.2,5.7,6.7,7.2,7.9,8.3,8.4,8.7,9.9,10.9,12.1,13.6,15.8,16.9,19.3,21.5,23.2,25.5,26.8,28.6,31.9,33.9,36.7,41.8,46.3,51.5,55.4,58.4,62.8,67.2,73,77,81.3,84.8,91.5,99.7,108.7,113.3,118,121.5,128.1,135.2,144.2,152.1,156.9
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.6,0.6,0.7,0.8,0.8,1.1,1.1,1.3,1.5,1.7,2,2.1,2.1,2,2.1,2.1,2.4,2.4,2.6,3.1,3.6,4.2,4.6,5,5.1,5.1,5.4,5.8,6.1,5.5
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRC1",1.3,1.3,1.2,0.9,0.8,0.9,1,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.9,2,2.2,2.7,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.9,3.1,3.3,3.2,3.2,3.5,3.8,4.1,4.3,4.6,4.8,5,5.4,5.7,6.3,6.9,7.6,8.1,8.6,9.4,10.8,12.1,13.2,15,16.6,18.3,20.1,22.6,24.6,27.2,29.4,32,33.9,35.8,40,45.3,49.7,52.1,57.4,61.2,64.2,69.5,74.6,79,83.3,87.3,91.9,94.3,97.5,101.9,106.5,110.6,117.8,125.1,128.3
"90","83","      Membership clubs and participant sports centers","DMDFRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.9,2.2,2.6,3.1,3.5,3.7,4,4.5,4.9,5.5,6.4,7.2,8.6,9.9,11,12.1,13.4,14.3,15,16.3,16.8,17.5,18.6,20.3,24.3,25,25.9,26.4,26.6,27.5,28.1,29.4,30.5,31.9,33.3,33.9
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,1,1.1,1.2,1.3,1.3,1.5,1.6,1.8,2.2,2.5,2.8,3.2,3.8,4.3,4.8,5.3,6,6.6,7.3,8.5,9.9,10.5,11.5,11.8,12.8,12.8,13.1,14.9,17.3,19.2,20,23.3,24.6,25.7,28.4,29.3,28.4,29.4,30,31.1,31.3,30.2,31.5,33.1,34.9,37.4,40.2,41.7
"92","85","      Admissions to specified spectator amusements","DADMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.7,1.7,1.8,1.9,2,2.2,2.3,2.4,2.8,3,3.2,3.4,3.4,3.4,3.9,4.2,4.3,4.9,5.7,6.2,6.4,6.8,7.7,8.3,9.3,9.3,10,10.3,11.4,12.9,14.4,15.2,15.7,17.5,18.6,20.1,22.4,23.7,26.1,28.1,30.6,32.3,35,37.1,38.5,39.2,42.1,44.5,45.6
"93","86","        Motion picture theaters","DMOVRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1.2,1.2,1.2,1.4,1.5,1.6,1.7,1.7,1.6,2,2.2,2.1,2.4,2.8,2.8,2.6,2.7,3.1,3.2,3.4,3.2,3.3,3.4,3.9,4.6,5.1,5.2,4.9,5.1,5.3,5.6,6.1,6.6,7.2,7.9,8.6,9,9.6,9.9,9.9,9.1,9.4,9.6,9.5
"94","87","        Live entertainment, excluding sports","DLIGRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.7,1.8,2.1,2.4,2.7,3.3,3.5,3.8,3.8,4.5,4.7,5.2,6.1,6.5,7,7.5,7.9,8.7,9.5,10.4,11.1,11.9,12.7,13.2,13.8,14.9,15.3,15.5
"95","88","        Spectator sports","DSPERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.4,2.7,3.1,3.5,3.3,3.3,3.4,3.7,4.5,4.8,5.3,5.6,6.4,6.8,7.4,8.9,9.2,10.1,10.7,11.6,12.2,13.5,14.5,15.5,16.3,17.8,19.5,20.5
"96","89","      Museums and libraries","DMUSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,1.9,2.1,2.3,2.4,2.5,2.5,2.6,2.9,3.3,3.8,4.1,4.8,5.2,5.5,5.9,6.4,7,7.2
"97","90","    Magazines, newspapers, books, and stationery","DNBSRC1",1,0.9,0.8,0.6,0.6,0.7,0.7,0.8,0.9,0.8,0.9,1,1.1,1.2,1.4,1.6,1.8,2.1,2.2,2.4,2.5,2.6,2.9,3,3.2,3.3,3.5,3.6,3.8,4,4.2,4.4,4.3,4.7,5.1,5.4,5.7,6.7,6.9,7.4,8.2,9.1,9.3,9.9,10.7,11.6,12.5,13.4,14.9,17.7,20.6,22.8,25.2,26.9,28.9,31.6,32.7,34.3,37.6,41.2,44.1,47.3,48.8,50.3,53.7,58.4,62.5,66.3,69.9,72.8,77,81,79.8,80.7,83.5,88.3,93.1,98.2,103.4,105.6
"98","91","    Gambling","DGAMRC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.2,2.7,3,3.4,3.9,4.4,5.2,5.9,6.7,8.4,9.7,11.1,12.6,14.3,15.5,16.9,19.7,21.3,23.7,24.7,28.1,33.3,39.6,45.4,50.3,54.5,55.9,62.3,67.6,70,74.1,80.9,89.8,95.6,103.9,109.6,113.7
"99","92","    Pets, pet products, and related services","DPETRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.3,1.5,1.7,1.8,2.1,2.4,2.7,3,3.1,3.7,4.4,4.8,5.5,6.1,6.5,7.2,8.4,9.7,10.3,11.3,12.2,13.5,13.7,14.8,16,17.2,18.8,19.6,20.6,22.5,24.9,27.3,30,32.5,34.5,37,39.7,41.9,44.6,46.8,49.8,53.1,56.9,61.6,65.1
"100","93","    Photographic goods and services","DPHORC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.3,1.5,1.7,1.9,2.2,2.4,2.7,3.1,3.3,3.7,4.2,4.9,5.4,5.7,6.7,6.8,7.5,8.4,9.1,9.5,9.9,11.2,12.2,12.9,14,15.2,16.1,16.7,16.7,16.6,16.8,17.5,18,18.6,18.8,18.6,19.2,19.5,19.7,19.3,19,19.3,19.1,18.7,18.2,18.9,19
"101","94","    Package tours \14\","DXHLRC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,1,1.1,1.1,1.4,1.5,1.7,2.2,2.6,3.2,3.4,3.9,4.3,4.8,5.2,5.7,5.7,6.4,7.3,7.8,7.4,7.4,7.6,8,8.5,8.3,8.8,8.6
"102","95","  Education","DEDURC1",0.6,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,0.9,1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.4,2.6,2.9,3.1,3.4,3.6,4,4.3,4.8,5.5,6.2,6.9,7.7,8.7,9.9,10.9,11.7,13,14.2,15.9,17.4,18.8,20.9,22.9,25.4,28.3,31,34.3,37.7,41.2,44.5,48.8,54.4,60.6,66,70.6,76.4,81.1,86.4,92.3,99.6,107.1,115.2,123.9,134.3,143.6,149.5,159.7,169.4,180.7,192.7,206.8,220.8
"103","96","    Educational books","DEBKRC1",0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.2,2.5,2.9,3.2,3.6,4.2,4.6,4.9,5.3,5.4,5.6,6.1,6.5,6.8,7,7.3,7.9,8.6,9,9.2,9.7,10.1,10.4,10.2,10.2,10.4,10.3
"104","97","    Higher education","DHEDRC1",0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.6,1.8,2,2.3,2.7,3.1,3.5,3.9,4.5,5.2,5.9,6.5,7.1,7.6,8.2,8.9,9.6,10.3,11.4,12.9,14.8,17,18.8,20.5,22.3,24.1,26.1,28.5,31.5,34.7,38.4,42.3,45.4,48.6,51.9,56.4,61.3,66,70.8,76.8,82.9,87,94.4,101.2,108.8,116.6,125,135
"105","98","    Nursery, elementary, and secondary schools","DNEHRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.4,1.6,1.7,1.8,2,2.2,2.4,2.7,2.9,3.3,3.9,4.4,4.6,4.8,5.6,6,6.7,7,7.2,7.9,8.7,9.5,10,10.9,11.9,13.6,14.8,15.6,16.7,17.3,18.1,19.2,20.1,20.7,21.5,22.8,24.1,25.7,26.9,28.3,30,31.8,33.8,36.6,38.5
"106","99","    Commercial and vocational schools \15\","DVEDRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.6,1.6,1.8,1.9,2.4,3,3.3,3.7,3.9,4.2,4.5,4.6,5.1,5.5,6.2,6.7,7.5,9.5,10.6,11.1,11.1,11.8,12.3,13.1,14.4,16.2,17.8,19.9,21.8,24.3,25.8,26,26.8,27.8,29.8,32,34.7,37
"107","100","  Food services and accommodations","DFSARC1",3.4,3.3,3,2.4,2.1,2.6,3,3.4,4,3.9,4.1,4.4,5.3,6.9,9.1,10.9,12.7,12.7,12.5,12.6,12.4,12.7,15,16,16.5,16.6,17,17.7,18.5,18.7,19.7,20.5,21,22.3,23.3,24.9,27.2,29.6,31,34.6,37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.6,308.7,316.7,327.4,344.6,363,381.6,410.1,421.2,438.2,462.8,492.9,525.3,559.7,587.9,608.7
"108","101","    Food services","DFSERC1",3.2,3,2.7,2.3,2,2.4,2.8,3.2,3.8,3.6,3.9,4.2,5.1,6.6,8.8,10.5,12.3,12.2,11.9,12.1,11.8,12.2,14.3,15.3,15.7,15.8,16.2,16.8,17.5,17.7,18.7,19.3,19.7,20.9,21.8,23.3,25.4,27.7,28.8,32.1,34.7,38.6,40.7,45,50.5,55.9,63.5,71.6,78.8,89.2,101.7,111.5,122,129.8,139.7,148.8,156.2,167.5,182.3,201.6,216.7,235.1,244.2,254.1,265.9,273.8,280.2,287.5,299.7,315.7,331.6,354.9,368.7,384.3,405.7,429.8,455.3,484.6,507.9,525.2
"109","102","      Purchased meals and beverages \16\","DPMBRC1",2.9,2.8,2.5,2.1,1.8,2.2,2.6,3,3.5,3.4,3.6,3.9,4.6,5.7,7.1,8.1,9.5,10.9,10.9,11,10.8,11.1,12.7,13.6,14.1,14.4,14.9,15.6,16.3,16.4,17.5,18.1,18.5,19.6,20.5,21.9,23.9,25.9,26.8,30.2,32.7,36.5,38.7,43,48.3,53.2,60.4,68,75,85,96.7,105.9,115.9,123.3,133.3,142.4,150,161.5,176.6,195.6,210.2,228.3,237.3,247.1,258.6,266.2,272.4,279.5,291.5,307.3,322.9,346,359.6,374.9,395.6,419.1,443.5,471.2,493.9,511.5
"110","103","      Food furnished to employees (including military)","DFOORC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.9,1.7,2.4,2.8,1.3,1,1,1,1.1,1.6,1.8,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.8,1.9,2,2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.3,7.5,7.8,8,8.2,8.4,8.7,8.9,9.1,9.5,10.1,10.7,11.8,13.4,14,13.7
"111","104","    Accommodations \17\","DACCRC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.4,1.5,1.6,1.8,1.9,2.2,2.5,2.7,3,3.1,3.9,4.3,4.7,5.3,6.2,6.9,7.9,9.3,10.3,11.9,12.7,13.9,16.1,18.1,19.2,22,24.2,25.9,27.6,29.2,32.2,32.7,34.9,36.6,39.9,44.9,47.3,50,55.2,52.5,53.9,57.1,63.2,70,75.1,80,83.5
"112","105","  Financial services and insurance","DIFSRC1",2.9,2.6,2.2,1.9,1.9,1.8,2.1,2.2,2.4,2.3,2.3,2.4,2.5,2.6,2.8,3,3.2,3.8,4.2,4.7,4.9,5.6,6.3,6.7,7.8,8.6,9.6,10.4,11.1,11.6,12.5,13.6,14.8,15.4,15.9,17.7,19.4,21.3,22.8,25.8,28.5,31.1,34.1,38.3,41.5,45.9,54,59.3,67.8,80.6,87.6,95.6,102,116.3,145.9,156.6,180.5,196.7,207.1,219.4,235.7,253.2,282,311.8,341,349,364.7,393.6,431.3,469.6,514.2,570,562.8,576.2,601.8,667.5,712.6,752.4,824.2,835.6
"113","106","    Financial services","DFNLRC1",1.7,1.4,1,0.8,0.8,0.7,0.8,0.9,1,0.9,0.8,0.9,0.9,0.9,1.1,1.1,1.3,1.7,1.7,1.9,2,2.3,2.5,2.6,3.1,3.6,4.2,4.6,4.7,5,5.7,6.1,6.8,6.9,7.1,8,8.8,9.9,11.1,12.4,14.1,15.3,17.1,18.9,20.3,23.7,30.1,32.2,35.8,43.1,47.2,51.7,54.1,62.1,87.2,90,107.5,123.9,135,134,136,141.5,158.1,178.5,193.2,200.6,212.5,237.9,267,295.2,331.2,370,358.1,366.4,371.1,403.2,427.2,457.8,515.1,520.9
"114","107","      Financial services furnished without payment","DIMPRC1",0.9,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.2,1.2,1.3,1.4,1.6,1.7,2.2,2.4,2.8,3.1,3.2,3.2,3.5,3.9,4.1,4.3,4.2,4.9,5.2,5.8,6.4,7,9.1,10.9,11.8,13.2,15.1,18.6,24.1,25,28.2,34.2,37,38.2,38.7,42.7,62.7,64.3,76.7,85.4,92.4,93.1,89.7,93,103.6,116.2,120.7,126.8,130.6,143.9,159.7,170.3,182.3,195.4,195,198.3,193.8,212.8,220,224.8,254.6,271.4
"115","108","      Financial service charges, fees, and commissions","DOFIRC1",0.9,0.6,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.2,1.4,1.4,1.5,1.8,2.2,2.2,2.7,2.6,2.9,3.1,3.5,4.1,4.7,5.3,5,4.4,5.3,5.8,5.2,5,6.1,7.2,7.6,9,10.2,13.5,15.5,19.4,24.4,25.8,30.7,38.5,42.7,40.9,46.3,48.5,54.5,62.3,72.4,73.8,81.9,94,107.4,125,148.9,174.6,163.1,168.2,177.3,190.4,207.2,233,260.5,249.5
"116","109","    Insurance","DINSRC1",1.2,1.2,1.2,1.1,1.1,1.1,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2.1,2.5,2.8,2.9,3.3,3.9,4.2,4.7,5,5.4,5.8,6.3,6.6,6.8,7.5,8,8.4,8.8,9.7,10.6,11.4,11.8,13.4,14.4,15.7,17.1,19.4,21.2,22.2,23.9,27,32,37.5,40.4,43.9,47.9,54.3,58.7,66.5,73,72.8,72.1,85.4,99.8,111.7,123.8,133.3,147.9,148.5,152.2,155.7,164.3,174.4,183,199.9,204.7,209.7,230.7,264.3,285.4,294.6,309.2,314.7
"117","110","      Life insurance \18\","DLIFRC1",0.9,0.9,0.9,0.8,0.8,0.9,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2,2.1,2.2,2.4,2.8,3,3.2,3.2,3.6,3.7,3.9,4.1,4.6,5.1,5.3,5.4,5.9,6.3,6.9,6.9,7.5,8.4,9.1,10,11.9,13.3,15.3,16.9,19.1,20.5,22.8,23.5,25,28.3,28.8,28.1,33.5,38.6,42.3,51.8,53.6,59.2,54.6,54.3,52,55.2,56,56.9,65,61.9,58.8,59.7,70.5,76.5,80.9,83.8,82.7
"118","111","      Net household insurance \19\","DFINRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.6,2.5,2.4,2.3,2.3,2.5,2.6,2.9,2.9,3.4,3.6,3.8,4.2,4.3,4.9,5.8,6.2,6.1,7.3,8.3
"119","112","      Net health insurance","DHINRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.5,1.5,1.7,1.8,2,2.1,2.2,2.4,2.6,2.9,2.9,3.8,4.1,4.4,5.2,6.3,6.7,6.9,7.3,8.1,10.5,12.9,13,13.6,15.5,18.9,21.5,26.5,28.4,25.6,23.6,29.1,36.6,43.4,45.2,50.1,56,58.6,60.7,64.1,68.4,74.7,79.2,88.1,94.1,101,116.9,134.4,145.1,150.6,156.3,161.8
"120","113","        Medical care and hospitalization \20\","DMINRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.3,2,1.9,2.1,2.6,3.5,3.6,3.6,3.2,3.6,5.4,6.4,7.2,7.6,9.1,11.8,14.5,18.9,20.6,16.5,14.1,18.9,26,31.8,34.1,38.4,43.4,46.3,47.9,49.3,51,57.3,62.1,69.2,73.8,80.9,94.6,110.3,117.8,121.4,127.2,133.4
"121","114","        Income loss \21\","DIINRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.1,1.3,1.6,1.7,1.7,2.2,2.2,2.4,3.4,2.3,1.9,1.9,2.5,2.1,2.1,2.1,2.4,2.2,2.5,2.4,2.6,1.8,2.1,1.5,1.8,1.4,1.1,1.2,1.4,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,3,3.2
"122","115","        Workers' compensation \22\","DPWCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.2,1.3,1.3,1.4,1.6,1.9,2.3,2.7,3.1,3.6,4.1,4.5,4.6,5,5.5,5.7,6.7,7.2,7.7,8.3,9,9.2,9.5,11.1,10.5,11.5,13.7,16.2,16,15.6,17.2,18.5,18,20.2,21.8,24.7,26.4,26,25.2
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.1,1.3,1.4,1.5,1.6,1.6,1.7,1.9,2,2.1,2.2,2.3,2.5,2.6,2.9,3.2,3.5,3.7,4.1,4.6,5.1,5.6,5.7,5.9,6.4,7.3,8.3,9.3,10,10.5,11.2,12.2,13.4,14.7,16.6,18.3,20.4,22.1,23.5,24.4,27.3,30.4,32.8,34.5,36.7,37.8,40.4,43.2,43.1,44.4,45.7,49.1,53.5,57.6,57,61.7,62
"124","117","  Other goods and services","DOISRC1",5.4,4.9,4.5,3.8,3.4,3.8,4,4.3,4.8,4.8,5,5.3,6,6.8,8,8.5,9.3,10.3,11.1,11.7,11.8,12.2,13.3,14.3,15,15.4,16.3,17.5,18.8,19.9,21.4,22.4,23.7,24.9,26.2,27.8,30.2,33.3,35.8,38.6,41,44.3,47,51,56.9,62.2,67.8,76.3,83.8,93.2,100.4,110.7,121.2,127.8,143.4,157.7,173.3,190,208.2,225.4,245.7,262.3,268,290.1,304.5,316.9,332.7,350.8,368.4,394.8,431.6,462.3,483.5,504.3,529.9,557,580.9,611.2,647.1,667.9
"125","118","    Personal care \24\","DPCRRC1",1.3,1.2,1.1,0.9,0.7,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.6,1.9,2.1,2.3,2.4,2.5,2.6,2.6,2.8,3,3.3,3.5,3.8,4.2,4.7,5.1,5.5,5.9,6.3,6.9,7.5,7.9,8.5,9.2,10.2,11.2,12.1,12.5,13.2,13.5,14.3,15.8,17.2,18.8,20.6,23.5,26.1,28.6,30.8,33.1,34.5,39.9,43.3,47.5,51.9,56.7,62.5,67.4,72.4,71.7,77,81.6,87.3,93.8,99.7,106.2,113.7,122.6,132.2,137.5,143.3,150.2,160.6,169.1,178.8,189.5,198.8
"126","119","    Personal items \25\","DPEORC1",0.9,0.8,0.6,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.9,1.1,1.4,1.6,1.8,2.2,2.2,2.2,2.1,2.1,2.3,2.5,2.6,2.6,2.8,2.9,2.9,3,3.1,3.1,3.1,3.3,3.5,3.9,4.3,5,5.4,6,6.4,6.7,7.4,8,9.6,11,12.5,14.9,16.4,18,18.6,20.2,21,20.3,22.8,25.8,27.5,31.5,34.3,37,38.8,40,40.1,42.2,44.7,46.9,48.7,50.9,51,54.3,59.7,63.7,61.5,63.4,65.8,69.5,72.6,77.3,80.4,78.9
"127","120","    Social services and religious activities \26\","DSOCRC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.7,1.8,2.1,2.4,2.7,3,3.3,3.6,3.9,4.4,5.1,5.5,5.9,6.5,7.5,8.6,10,11.9,14,16.1,17.9,19.6,21.8,25.1,28,31.4,33.9,38.6,41.2,43.5,47.5,51.1,54.4,58.1,61.1,64.6,70.3,76.7,85,93.9,100.8,107.1,113.2,118.7,125.9,135.9,144.4
