"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237"
"52","44","Government consumption expenditures and gross investment","B822RA3",19.479,19.596,19.777,19.482,19.865,20.819,21.229,22.13,22.75,23.784,24.03,23.506,23.11,23.486,23.041,24.531,27.136,30.867,34.355,36.241,37.388,38.642,39.035,39.737,41.07,41.973,41.469,41.351,40.23,38.8,37.866,37.628,37.585,37.206,37.437,36.623,36.594,37.369,37.015,37.962,38.752,38.499,38.8,39.511,39.06,40.045,40.286,41.142,40.874,41.499,42.02,41.564,40.737,41.067,42.061,42.349,42.902,42.999,43.848,44.806,45.608,45.853,46.891,46.963,46.68,46.619,48.615,48.174,48.347,48.662,48.694,48.551,48.442,49.061,50.755,51.854,52.78,53.716,55.166,56.058,58.44,58.123,58.725,59.129,60.156,60.429,60.56,60.6,60.666,60.407,60.491,59.597,59.278,58.511,58.769,58.773,57.821,57.639,57.592,57.161,57.37,57.723,56.533,56.887,57.442,57.105,56.374,56.783,57.976,58.361,58.448,58.655,59.367,58.913,59.955,60.463,60.607,59.943,59.628,59.583,60.124,60.747,60.858,60.663,60.762,62.402,62.898,63.468,62.901,63.566,63.656,64.072,65.104,65.307,64.405,64.342,65.199,65.34,65.192,65.794,65.725,66.112,66.565,67.716,68.228,68.808,70.003,68.817,69.505,71.001,71.525,73.063,73.895,75.56,77.522,77.983,78.827,80.5,82.334,81.877,82.089,82.66,82.805,83.938,83.449,83.638,83.527,85.147,84.613,85.922,86.722,87.184,88.534,88.684,88.68,89.578,89.937,90.247,89.832,89.472,90.168,90.074,90.553,90.574,89.626,89.535,89.28,89.61,88.7,89.084,90.543,89.773,90.142,90.51,90.216,89.192,89.735,91.212,90.908,91.729,91.866,92.829,92.847,92.812,92.305,94.177,95.029,95.906,96.55,97.136,98.343,99.92,99.169,100.517,99.995,100.318,101.628,103.567,103.164,105.289,106.411,107.658,108.266,109.539,109.454,111.378,111.528,111.675,112.595,113.236,113.753,114.008,114.537,115.248
"53","45","  Federal","B823RA3",32.008,32.06,32.079,30.958,32.003,33.947,34.65,36.543,37.258,38.666,38.257,36.329,34.586,35.354,34.122,38.2,45.637,55.391,64.871,70.103,73.279,76.155,78.162,79.423,82.438,85.031,82.723,81.556,77.171,73.018,69.4,68.572,66.931,65.391,66.093,63.614,63.112,64.791,63.617,65.854,67.051,65.997,66.25,67.197,64.759,66.859,66.576,68.121,67.009,68.614,70.027,69.013,65.886,65.633,67.682,67.915,67.827,68.443,70.382,71.606,74.255,74.553,76.781,76.378,74.532,73.839,77.93,75.857,75.458,74.959,74.379,73.324,72.424,72.548,75.473,77.588,79.344,81.447,84.734,85.424,91.281,89.964,91.385,91.21,92.783,92.027,91.249,90.665,90.179,88.729,88.79,86.401,84.701,82.037,80.841,80.409,77.278,76.17,75.824,73.473,73.778,74.945,70.904,70.67,71.829,70.731,67.737,67.777,69.921,69.796,70.144,70.676,69.865,69.304,71.047,71.224,70.555,70.406,70.206,70.385,70.971,72.14,72.558,71.849,72.103,73.822,74.075,74.723,74.835,75.759,75.637,75.628,78.045,80.01,78.926,79.189,80.837,83.239,83.149,84.046,84.162,84.934,86.213,88.764,89.837,91.744,94.318,91.004,91.788,94.662,94.301,97.447,98.47,100.882,104.266,104.212,103.672,106.967,111.034,109.343,110.005,111.574,111.721,113.397,110.331,109.213,108.4,111.646,109.359,111.818,112.879,112.322,114.019,114.159,113.152,114.162,115.033,115.365,113.255,111.062,111.121,111.035,112.314,112.38,108.934,107.371,105.824,106.094,102.948,102.387,104.845,102.019,101.83,101.644,100.681,96.859,98.881,100.839,98.412,98.231,96.968,99.097,98.463,97.735,95.359,97.77,96.938,97.814,97.248,97.67,99.642,101.926,98.169,102.139,99.97,99.722,101.679,103.91,103.92,106.124,107.667,110.873,111.7,114.438,114.521,120.383,119.77,120.68,123.791,124.774,125.881,125.704,126.446,127.188
"54","46","    National defense","B824RA3",41.246,38.512,40.485,40.761,40.65,40.32,39.727,41.721,42.802,43.585,43.489,40.736,39.072,39.406,41.997,47.867,60.604,75.099,90.482,98.494,101.962,107.416,109.945,111.913,115.292,116.195,114.692,112.528,104.917,100.488,95.321,92.018,91.54,88.185,89.138,86.119,85.758,88.075,87.809,90.574,91.11,91.831,92.593,91.495,90.456,91.355,91.284,91.98,89.413,88.352,90.595,89.427,87.831,86.53,89.292,88.257,90.586,90.003,92.612,94.201,97.735,96.662,98.196,97.056,94.769,93.788,97.116,94.666,93.264,91.471,91.183,89.298,87.35,86.927,89.951,93.384,96.78,98.823,105.278,107.939,114.391,114.475,117.329,116.091,118.945,118.809,116.492,115.417,114.218,111.631,111.462,109.107,106.22,101.182,99.624,98.883,94.238,90.637,88.791,86.255,85.014,86.342,80.237,80.092,81.662,80.199,75.452,75.976,77.723,78.968,77.088,77.079,76.478,75.286,78.153,77.99,76.896,76.851,76.69,76.388,77.238,78.414,78.446,76.289,76.772,78.504,78.705,79.056,79.457,81.059,80.811,81.266,83.659,83.858,84.007,85.117,86.733,89.344,90.111,91.755,92.78,95.367,97.029,99.799,100.406,102.719,103.428,106.082,106.409,107.542,107.11,111.685,112.449,115.701,120.366,120.905,119.963,124.485,129.334,125.702,127.551,130.63,132.563,132.372,130.956,129.837,128.568,131.282,127.033,129.739,131.305,129.995,130.274,129.9,127.681,130.032,131.144,130.788,127.297,122.973,121.05,121.133,122.795,121.852,117.228,115.249,113.116,113.849,108.886,108.956,112.203,106.989,106.676,106.588,105.21,101.898,103.682,105.631,102.839,102.439,99.154,101.632,101.208,100.937,95.973,98.744,100.181,99.702,98.313,98.276,101.501,103.969,97.925,101.841,99.901,100.334,102.041,103.132,103.734,106.838,107.801,110.78,111.897,115.835,114.772,124.259,122.2,124.558,128.643,128.908,131.709,130.621,131.595,132.791
"55","47","      Consumption expenditures","B997RA3",51.652,48.165,48.999,48.965,47.645,46.821,46.394,48.135,48.259,48.1,47.72,45.14,45.256,45.699,47.841,54.566,65.776,78.025,90.756,94.013,99.549,106.142,108.393,110.412,111.563,110.594,109.953,111.28,100.571,97.702,95.559,92.265,92.801,86.956,91.386,89.673,88.205,91.713,88.604,93.004,95.045,97.354,97.263,96.339,94.905,95.924,93.14,93.392,85.668,86.129,88.358,88.604,87.34,87.385,89.281,88.774,88.611,88.911,91.011,92.879,96.089,95.997,97.144,97.11,96.794,96.467,98.792,98.519,96.724,95.311,95.324,92.964,92.011,92.851,95.843,101.01,102.548,106.914,111.77,114.227,121.057,123.056,124.234,124.232,129.29,129.656,127.185,127.334,123.255,124.415,122.764,122.841,116.847,111.845,110.623,109.15,107.864,104.309,100.98,100.496,100.179,99.878,94.964,93.259,92.762,91.79,87.726,87.889,88.329,88.952,85.809,85.49,85.263,85.219,84.9,84.537,83.459,84.759,83.076,82.768,83.399,84.758,85.571,83.742,84.707,85.68,85.897,84.845,86.072,87.871,85.131,86.395,88.535,89.507,90.328,90.581,92.858,94.587,95.15,96.75,98.597,99.551,102.401,104.21,104.974,106.566,106.507,108.308,108.372,109.44,109.549,111.981,113.425,114.663,118.372,119.298,118.976,122.568,124.241,121.269,123.982,125.855,126.996,128.244,128.66,127.226,125.903,129.058,124.127,127.604,127.62,127.806,127.543,126.347,123.542,126.285,129.334,127.929,124.639,121.303,118.754,118.303,120.058,120.014,116.309,114.329,113.14,113.037,109.241,108.644,111.117,107.159,106.416,106.322,105.922,102.032,102.949,104.389,102.381,103.653,101.324,103.59,101.837,101.454,97.261,100.128,99.827,100.695,99.927,98.458,101.237,104.27,97.594,102.064,99.743,100.6,102.598,103.043,103.289,106.717,107.775,109.941,110.474,115.557,114.057,124.005,121.452,123.873,127.433,127.559,130.593,128.582,131.219,131.542
"56","48","      Gross investment","B788RA3",6.51,6.36,12.707,14.107,18.163,19.505,18.294,21.141,25.519,29.581,30.526,27.126,19.289,19.289,23.488,26.647,44.434,66.358,90.478,113.886,110.627,112.418,115.618,117.293,128.061,135.002,130.712,117.176,119.772,110.12,94.905,91.532,87.624,92.748,81.802,74.348,77.789,76.198,85.331,82.757,78.345,73.861,77.378,75.695,75.95,76.421,85.448,87.571,101.897,95.75,97.98,92.205,89.557,83.857,89.461,86.665,97.254,93.725,98.014,98.691,103.32,98.97,101.795,96.978,88.076,84.883,91.576,81.691,81.631,78.502,77.157,76.944,71.467,66.534,69.695,66.806,77.084,70.587,83.01,86.475,91.669,84.599,93.825,87.895,82.394,80.329,78.534,72.633,82.513,65.497,71.02,59.039,68.324,62.905,59.899,61.903,43.774,39.955,44.108,33.349,28.53,35.286,25.77,30.839,39.183,36.155,29.356,31.078,37.3,40.646,43.33,44.412,42.424,36.985,51.938,52.541,51.311,46.174,51.675,51.368,53.073,53.561,50.68,47.305,45.965,50.514,50.649,56.308,53.5,54.346,63.72,61.021,64.512,61.603,59.045,63.716,62.536,68.855,70.475,72.334,69.927,79.391,76.114,82.936,82.877,88.256,92.208,98.516,100.042,101.532,98.683,113.047,110.654,123.298,132.499,131.131,127.102,136.244,156.848,149.816,147.393,156.832,163.017,155.182,143.948,144.545,143.576,143.921,143.357,141.862,151.867,142.398,145.623,149.776,150.786,150.973,141.295,146.835,142.211,132.275,133.93,137.106,138.206,132.045,122.143,120.179,112.603,118.167,106.504,110.418,118.084,105.679,107.799,107.755,100.808,100.87,107.696,112.677,105.239,94.8,85.639,89.389,97.099,97.526,87.802,89.969,102.318,93.42,88.083,97.072,103.115,101.996,100.078,100.385,100.96,98.576,98.287,103.727,106.748,107.615,107.912,116.707,122.01,117.631,119.815,125.809,127.471,129.352,137.428,138.755,139.732,145.788,133.838,141.86
"57","49","    Nondefense","B825RA3",15.963,21.57,18.151,14.704,17.611,23.603,26.707,28.517,28.567,31.136,30.188,29.696,27.888,29.332,21.217,22.075,20.131,21.884,21.384,22.06,24.594,23.022,24.074,24.087,26.577,31.947,28.326,28.834,29.922,26.25,25.276,28.694,25.059,26.604,26.884,25.312,24.561,25.164,22.336,23.702,26.125,21.82,21.185,25.837,20.893,25.141,24.444,27.464,28.804,35.046,35.061,34.31,28.471,30.046,30.878,33.291,29.062,31.718,32.509,33.107,34.256,36.878,40.295,41.147,40.054,39.847,45.201,43.766,45.066,46.739,45.687,46.028,46.878,47.915,50.652,50.533,49.523,51.709,49.685,47.087,51.873,48.241,47.261,48.862,48.293,46.524,48.3,48.532,49.226,49.677,50.124,47.716,48.01,49.257,48.675,48.756,48.156,51.154,53.273,51.261,54.188,55.089,54.658,54.27,54.716,54.247,54.364,53.526,56.408,53.811,58.177,59.696,58.482,59.028,58.79,59.561,59.649,59.316,59.045,60.083,60.196,61.36,62.464,64.336,64.186,65.899,66.253,67.45,67.034,66.728,66.833,65.966,68.444,73.704,70.323,69.022,70.75,72.788,71.098,70.604,69.019,66.395,66.979,69.16,71.143,72.308,78.394,63.746,65.331,71.653,71.381,71.774,73.347,74.185,75.168,73.976,74.2,75.213,77.855,79.788,78.225,76.973,73.779,78.96,72.793,71.678,71.708,75.969,77.306,79.308,79.435,80.252,84.578,85.672,86.902,85.453,85.884,87.468,87.869,89.579,93.283,92.879,93.454,95.379,94.08,93.269,92.783,92.216,92.342,90.646,91.686,93.154,93.18,92.814,92.593,87.866,90.308,92.281,90.509,90.722,93.088,94.587,93.573,92.033,94.272,96.043,91.166,94.46,95.355,96.595,96.338,98.297,98.601,102.669,100.091,98.639,101.033,105.298,104.25,104.852,107.428,111.04,111.358,111.938,114.102,113.414,115.415,113.704,115.064,117.336,115.399,116.865,117.188,117.12
"58","50","      Consumption expenditures","B542RA3",15.429,22.845,21.306,16.481,17.846,26.87,30.763,31.43,32.678,36.079,31.703,29.825,29.432,30.167,18.717,22.806,19.988,21.779,22.32,20.354,25.007,23.635,25.321,25.16,29.406,36.112,31.563,32.176,34.444,28.313,28.304,33.23,28.707,31.293,32.307,29.755,28.519,28.558,24.071,26.019,29.301,23.411,22.353,28.73,21.116,27.051,25.832,29.69,31.592,39.53,39.932,38.899,30.942,32.151,33.036,35.383,29.269,33.16,33.797,33.942,35.405,38.263,42.315,42.558,41.342,40.444,46.436,44.401,45.495,47.983,45.795,45.42,46.436,46.914,50.269,49.65,47.969,51.22,48.747,46.285,53.662,50.075,48.758,50.795,50.776,48.961,51.729,52.055,53.159,53.839,54.847,52.122,52.77,54.011,53.328,53.25,52.649,56.115,58.384,56.19,59.594,60.557,60.272,59.92,59.764,59.488,59.7,58.596,62.716,57.825,64.525,65.684,63.87,65.163,64.828,65.24,65.233,64.213,63.991,65.379,65.733,66.722,67.221,69.953,69.034,70.331,69.613,71.783,71.919,71.507,70.942,71.217,72.8,79.332,74.746,73.568,75.409,78.269,76.098,75.587,74.316,70.896,72.004,74.76,75.547,77.124,84.096,66.054,67.342,74.87,74.753,74.846,76.134,77.733,77.985,76.676,76.696,78.382,81.708,83.21,81.08,78.428,74.661,80.885,74.76,73.365,73.072,78.602,79.855,81.596,81.691,82.401,86.263,87.697,89.668,88.424,88.219,89.017,89.229,89.926,94.085,93.98,94.627,95.757,93.449,93.093,93.251,93.614,94.575,93.007,93.985,94.677,93.963,93.849,93.993,88.74,90.014,91.156,89.955,91.313,93.327,93.979,93.833,93.555,93.386,93.836,89.599,93.779,94.426,93.571,94.661,95.374,98.273,102.05,100.24,99.437,101.537,105.194,105.312,105.839,107.856,110.723,112.185,113.141,115.592,112.892,116.826,115.413,116.928,117.444,116.903,118.067,118.308,117.072
"59","51","      Gross investment","B798RA3",16.077,16.133,7.905,8.536,15.496,12.678,13.359,17.749,14.645,14.726,23.386,26.826,21.147,24.175,26.307,18.784,19.033,20.4,17.095,24.541,21.262,19.385,18.766,19.315,16.715,17.938,17.114,17.272,15.038,18.555,14.911,13.802,12.996,11.332,9.421,10.843,11.586,13.816,15.955,15.55,15.326,15.817,16.428,15.945,19.082,18.012,18.972,19.295,18.79,19.588,18.476,18.612,19.414,21.958,22.576,25.039,26.798,25.496,26.715,28.664,28.785,30.537,31.821,34.505,33.847,35.763,38.854,39.334,41.172,40.27,42.765,45.337,45.639,48.43,49.003,50.534,51.801,50.326,49.901,47.004,42.97,39.42,39.611,39.708,37.35,35.823,34.198,34.086,33.382,33.046,31.594,30.383,29.463,30.668,30.454,31.065,30.501,31.768,33.272,31.977,33.139,33.783,32.874,32.376,34.867,33.755,33.545,33.663,32.196,37.475,33.776,36.412,37.252,35.294,35.384,37.329,37.733,39.744,39.321,39.099,38.371,40.105,43.299,42.04,44.625,47.757,51.914,49.592,47.229,47.32,49.805,44.896,50.499,51.011,52.06,50.362,51.639,50.621,50.731,50.324,47.658,48.004,46.652,46.632,52.995,52.568,55.174,53.762,56.469,58.04,57.175,58.735,61.398,59.19,63.083,62.379,63.449,61.727,61.56,65.214,65.948,70.43,69.626,70.51,64.194,64.237,65.598,64.619,66.27,69.334,69.59,70.862,77.145,76.804,74.882,72.541,75.65,80.642,81.848,88.02,89.741,88.012,88.285,93.883,97.287,94.358,90.838,85.843,81.953,79.625,80.966,86.193,89.856,88.25,86.235,84.059,92.399,98.571,93.882,88.231,92.451,98.412,92.769,84.437,99.683,108.64,100.196,98.597,100.821,113.803,105.935,115.034,100.47,106.251,99.256,94.023,98.12,105.93,98.011,99.054,105.015,113.237,106.427,104.656,105.013,117.18,106.717,103.034,103.322,117.337,105.976,109.476,110.36,118.291
"60","52","  State and local","B829RA3",12.86,13.035,13.339,13.555,13.534,13.923,14.17,14.515,15.114,15.976,16.642,16.959,17.38,17.527,17.541,17.55,17.378,17.674,17.759,17.73,17.785,18.164,17.673,18.088,18.477,18.446,18.94,19.4,20.096,20.177,20.737,20.833,21.708,21.993,21.957,22.087,22.327,22.601,22.71,22.942,23.519,23.72,24.054,24.649,25.347,25.712,26.275,26.756,26.968,27.042,27.066,26.92,27.389,28.058,28.476,28.803,29.736,29.537,29.787,30.613,30.395,30.614,31.004,31.343,31.932,32.222,33.083,33.545,34.044,34.825,35.205,35.578,35.915,36.825,37.861,38.408,38.884,39.184,39.636,40.655,41.158,41.383,41.545,42.269,43.01,43.846,44.477,44.859,45.226,45.604,45.7,45.605,46.026,46.278,47.323,47.561,47.777,48.098,48.217,48.835,48.996,48.892,49.291,49.985,50.21,50.296,50.824,51.447,52.123,52.791,52.734,52.763,54.328,53.927,54.595,55.293,55.89,54.933,54.549,54.376,54.902,55.225,55.165,55.256,55.27,56.89,57.529,58.065,57.108,57.638,57.848,58.505,58.783,58.013,57.197,56.952,57.381,56.281,56.1,56.547,56.374,56.552,56.555,56.948,57.157,57.014,57.468,57.433,58.08,58.83,59.856,60.524,61.259,62.532,63.738,64.482,66.081,66.894,67.544,67.738,67.717,67.768,67.913,68.765,69.611,70.476,70.727,71.513,71.878,72.595,73.261,74.241,75.415,75.569,76.071,76.909,77.006,77.305,77.755,78.332,79.356,79.26,79.327,79.327,79.663,80.33,80.74,81.102,81.344,82.217,83.16,83.45,84.106,84.76,84.811,85.237,85.014,86.243,87.038,88.378,89.239,89.6,89.957,90.282,90.741,92.333,94.053,94.929,96.195,96.865,97.679,98.896,99.679,99.696,100.007,100.618,101.601,103.394,102.784,104.869,105.782,106.033,106.532,107.067,106.895,106.814,107.351,107.109,106.911,107.377,107.592,108.069,108.489,109.183
"61","53","    Consumption expenditures","B991RA3",14.804,15.064,15.341,15.429,15.193,15.264,15.302,15.519,16.05,16.47,16.916,17.266,17.733,17.76,17.689,17.66,17.549,17.582,17.693,17.797,17.604,18.258,17.726,17.99,18.347,18.289,18.689,18.677,18.955,19.075,19.475,19.633,20.299,20.444,20.637,20.842,20.833,21.165,21.45,21.755,21.861,22.181,22.641,23.048,23.545,24.05,24.438,24.707,24.816,24.999,25.299,25.624,26.019,26.58,26.761,27.148,27.731,28.148,28.104,28.362,28.414,28.761,29.037,29.364,29.622,30.032,30.576,31.003,31.579,32.067,32.508,33.073,33.496,34.156,34.76,35.284,35.77,36.229,36.743,37.372,37.432,37.834,38.504,39.057,39.801,40.291,41.008,41.626,42.306,42.924,43.546,44.273,44.94,45.451,46.186,46.828,47.373,47.804,48.346,48.915,49.245,49.713,50.201,50.576,50.816,51.266,51.997,52.574,53.168,53.721,54.264,54.911,55.997,56.615,57.076,57.077,57.148,57.246,57.585,57.919,58.181,58.316,58.74,59.041,59.39,59.43,59.855,60.317,60.447,60.072,59.82,60.227,60.257,60.131,59.948,59.731,59.489,59.528,59.935,60.18,60.442,60.702,60.686,60.843,61.407,61.317,61.335,61.363,61.592,62.11,62.823,63.446,64.152,65.054,66.374,67.456,68.8,69.659,70.292,71.013,70.503,70.635,70.581,71.415,72.476,72.967,73.407,73.939,74.467,75.006,75.662,76.332,77.062,77.541,78.146,78.524,78.904,79.269,79.575,79.968,80.59,81.063,81.713,81.989,82.518,82.696,83.144,83.479,84.22,84.882,85.408,85.711,86.402,86.809,87.152,87.595,87.546,88.518,88.83,89.363,89.822,90.51,91.341,92.21,92.991,93.934,94.905,95.796,96.951,97.77,98.499,99.172,99.413,99.841,100.098,100.649,101.287,101.938,102.987,104.002,104.809,105.451,105.91,106.315,106.273,106.25,106.214,106.283,106.271,106.47,106.851,107.302,107.519,107.736
"62","54","    Gross investment","B799RA3",8.619,8.605,8.975,9.48,9.947,11.059,11.784,12.426,13.19,15.087,16.283,16.527,16.848,17.301,17.529,17.63,17.308,18.226,18.255,17.914,18.56,18.286,17.883,18.668,19.138,19.171,19.906,21.563,23.358,23.341,24.332,24.26,25.704,26.375,25.719,25.649,26.548,26.672,26.329,26.381,28.184,28.078,28.092,29.187,30.424,30.407,31.455,32.524,33.036,32.813,32.06,30.566,31.231,32.201,33.309,33.454,35.424,33.374,34.517,37.073,36.028,35.845,36.582,36.952,38.558,38.47,40.303,40.869,41.114,42.803,42.986,42.739,42.797,44.482,46.863,47.472,47.903,47.689,47.936,50.193,52.139,51.779,50.244,51.518,52.217,54.178,54.493,54.068,53.367,52.932,51.262,48.408,47.989,47.362,49.407,48.287,47.395,47.337,46.04,46.798,46.391,44.376,44.464,46.203,46.377,45.235,45.056,45.799,46.696,47.691,45.778,43.941,46.836,43.393,44.668,47.502,49.759,45.52,42.852,41.055,42.388,43.302,41.642,41.027,39.916,46.741,48.066,48.825,44.316,47.809,49.53,50.982,52.054,49.195,46.347,46.02,48.61,43.866,41.801,42.879,41.315,41.226,41.287,42.427,41.467,41.152,43.052,42.796,44.858,46.4,48.503,49.322,50.16,52.751,53.538,53.054,55.557,56.192,56.893,55.191,56.932,56.686,57.554,58.462,58.518,60.734,60.297,62.006,61.761,63.132,63.833,65.954,68.783,67.724,67.835,70.416,69.423,69.469,70.476,71.766,74.371,72.05,69.831,68.745,68.31,70.905,71.162,71.628,69.901,71.608,74.201,74.438,74.948,76.574,75.479,75.84,74.941,77.172,79.853,84.376,86.85,85.923,84.399,82.557,81.74,85.906,90.604,91.415,93.132,93.203,94.364,97.778,100.762,99.102,99.641,100.495,102.888,109.377,101.93,108.422,109.772,108.414,109.081,110.154,109.43,109.103,112.068,110.5,109.508,111.121,110.627,111.213,112.504,115.248
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
