"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"121","114","        Lubricants and fluids","DLUBRA3",18.643,19.517,18.669,19.092,19.307,19.566,21,22.242,22.701,23.544,24.851,25.458,25.634,26.241,29.228,32.975,33.975,35.832,47.552,52.182,66.749,69.38,75.045,61.535,63.419,71.856,67.041,59.331,60.626,65.283,68.777,76.69,79.317,93.071,97.205,97.037,89.496,84.825,78.796,89.198,77.617,81.862,75.517,73.644,81.344,84.904,100,100.672,99.87,86.723,64.541,65.469
"122","115","      Fuel oil and other fuels (29)","DFULRA3",310.42,299.039,281.453,281.506,294.938,309.264,324.403,333.587,334.221,315.811,299.422,279.105,270.402,297.999,322.93,253.25,251.469,280.954,271.104,267.431,241.721,185.089,154.422,144.294,147.158,146.72,149.255,159.323,153.545,159.769,154.316,139.467,140.95,145.336,149.007,156.364,161.006,155.789,144.431,142.469,149.599,131.371,130.565,135.006,130.244,119.844,100,90.157,88.282,77.083,89.036,84.892
"123","116","        Fuel oil","DOILRA3",325.969,313.675,295.257,296.134,309.227,325.2,342.495,353.621,356.245,335.578,316.381,292.83,283.412,313.151,339.313,264.372,266.376,297.921,288.04,283.909,256.372,195.617,162.748,151.786,154.746,154.129,156.712,167.401,160.667,165.302,158.238,141.655,141.783,146.309,149.173,155.795,159.365,152.683,142.861,142.19,146.995,127.475,128.7,133.527,129.837,120.014,100,91.022,89.88,76.964,92.32,87.078
"124","117","        Other fuels","DLPFRA3",180.259,176.502,165.881,158.816,175.295,175.795,173.142,166.343,150.639,150.922,157.739,163.919,161.096,171.126,185.731,159.393,127.87,140.434,131.071,131.121,120.603,98.764,86.785,83.825,85.959,87.053,89.239,94.312,96.153,115.534,123.546,123.476,136.615,139.925,150.247,163.68,177.042,183.807,159.471,147.345,172.139,164.712,145.906,147.181,133.591,118.238,100,81.4,72.058,79.609,56.254,62.759
"125","118","    Other nondurable goods","DONGRA3",19.328,20.243,21.294,22.794,23.833,24.889,26.394,28.493,29.332,30.517,31.357,32.401,32.539,34.115,36.426,36.299,35.119,36.598,37.172,39.803,42.109,42.847,43.815,43.659,44.768,47.21,48.478,49.573,51.406,52.585,54.345,55.727,55.421,56.54,58.595,61.559,64.075,66.916,70.596,74.398,79.012,83.059,85.757,88.586,92.897,96.683,100,103.801,106.715,107.033,105.027,108.633
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",6.472,7.112,8.019,8.926,9.643,9.943,10.384,10.81,11.626,12.833,13.905,15.767,16.504,17.972,19.407,20.422,20.517,21.142,21.116,22.646,24.619,25.676,26.28,26.247,27.586,28.967,29.892,31.222,32.716,34.383,36.419,38.533,39.4,39.825,41.14,42.95,45.894,49.128,53.757,60.6,67.912,74.31,80.774,85.572,92.121,97.148,100,104.303,108.608,110.174,111.802,112.621
"127","120","        Pharmaceutical products","DPNPRA3",6.366,6.972,7.873,8.764,9.586,9.842,10.266,10.663,11.576,12.763,13.816,15.64,16.36,17.853,19.273,20.176,20.276,20.951,20.909,22.413,24.403,25.502,26.165,26.16,27.486,28.835,29.732,31.042,32.522,34.181,36.187,38.275,39.13,39.579,40.928,42.786,45.804,49.11,53.81,60.649,67.967,74.353,80.85,85.655,92.21,97.192,100,104.252,108.501,110.062,111.741,112.441
"128","121","          Prescription drugs","DRXDRA3",4.278,4.696,5.353,6.018,6.622,6.935,7.385,7.821,8.709,9.906,10.873,12.533,13.462,14.963,16.124,16.881,17.101,17.623,17.525,18.602,20.138,20.988,21.551,21.521,22.751,23.913,24.632,25.705,26.928,28.869,31.105,33.228,34.381,35.482,37.243,39.376,42.656,46.367,51.836,59.682,67.561,74.712,82.079,86.788,93.459,98.155,100,103.767,107.456,108.696,110.934,110.675
"129","122","          Nonprescription drugs","DNRDRA3",16.328,17.823,19.85,21.779,23.614,23.543,23.788,23.95,24.939,26.061,27.518,30.108,29.904,31.438,34.064,35.657,35.267,36.628,36.804,40.18,44.21,46.418,47.561,47.649,49.532,51.785,53.497,55.905,58.582,59.193,60.374,62.436,61.969,59.364,58.759,59.294,61.038,62.349,63.237,64.99,69.326,71.497,73.028,78.363,84.18,90.937,100,107.507,115.538,119.279,117.117,124.592
"130","123","        Other medical products","DOMPRA3",12.819,15.404,16.77,18.564,13.438,16.237,17.64,19.755,15.188,17.623,19.79,23.901,25.657,25.821,28.194,35.397,35.239,33.234,34.086,37.099,38.281,37.14,34.437,32.866,35.045,38.362,41.056,43.633,46.095,48.35,52.379,56.174,57.905,56.638,55.463,53.892,51.531,49.687,49.191,56.244,63.044,70.278,74.155,78.303,84.334,93.303,100,108.868,118.395,120.412,117.179,129.69
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRA3",6.285,6.736,7.05,7.613,8.268,9.044,9.955,11.118,11.495,12.237,12.627,13.098,13.46,14.437,16.072,17.148,17.321,18.753,19.56,21.116,22.379,22.452,23.386,23.966,25.526,27.511,29.039,30.117,32.33,33.963,36.255,38.176,39.309,41.499,44.046,46.956,49.402,51.715,54.503,59.273,66.118,71.836,75.184,80.366,85.296,90.399,100,107.768,115.54,115.981,111.019,122.204
"132","125","        Games, toys, and hobbies","DDOLRA3",4.682,4.863,5.182,5.57,5.967,6.479,6.889,7.739,7.978,8.119,7.893,7.569,7.292,7.728,8.866,9.543,9.973,11.046,12.082,13.089,14.002,13.664,14.246,14.831,15.822,17.306,18.191,19.206,20.625,21.931,24.114,25.986,28.078,29.746,31.621,34.287,37.412,39.341,41.899,47.132,54.159,60.924,65.508,72.776,80.365,87.876,100,110.478,123.044,134.183,140.647,161.011
"133","126","        Pets and related products","DPRPRA3",7.192,8.212,8.602,8.748,9.251,11.504,12.664,13.794,14.355,15.108,15.784,18.028,18.798,19.122,22.768,25.579,26.02,28.885,31.066,31.424,32.275,33.714,35.371,35.379,37.556,38.735,41.664,40.055,41.544,43.527,44.766,47.655,47.35,50.04,53.807,58.056,61.693,63.131,65.516,68.566,73.071,77.684,80.864,84.655,89.203,93.314,100,105.018,111.863,109.073,102.842,112.43
"134","127","        Flowers, seeds, and potted plants","DFLORA3",7.257,8.002,7.884,9.059,10.449,11.03,12.953,14.299,14.43,15.376,15.88,15.839,16.337,17.826,18.458,19.266,18.47,19.44,18.211,21.483,23.417,23.655,24.698,25.36,26.705,29.43,30.961,34.406,39.163,41.597,45.512,47.125,47.736,51.156,54.759,57.187,57.252,62.117,66.71,71.935,80.571,85.083,86.74,89.963,89.823,91.028,100,106.199,107.555,98.87,89.179,92.72
"135","128","        Film and photographic supplies","DFLMRA3",13.66,14.311,15.459,16.772,17.908,17.503,19.383,22.785,24.782,31.881,39.051,45.877,53.747,62.744,65.063,63.857,62.87,62.854,61.858,67.005,70.469,69.2,69.939,72.319,79.349,87.626,89.506,92.188,93.773,91.687,89.355,85.485,81.531,78.979,75.542,73.77,69.632,65.325,60.564,62.953,67.964,71.178,68.454,68.697,78.223,90.614,100,113.88,128.464,122.502,55.627,56.444
"136","129","      Household supplies (parts of 32 and 36)","DHOURA3",20.421,21.484,23.519,25.777,27.137,29.637,31.882,34.684,35.563,36.968,37.458,37.601,36.738,38.411,41.947,39.98,36.191,36.496,36.83,39.709,42.797,43.97,44.977,45.019,46.466,49.46,50.559,52.808,53.453,55.523,56.275,57.307,57.545,60.424,64.127,68.889,71.345,74.558,78.057,79.514,82.977,83.724,84.232,86.196,91.945,95.969,100,103.666,106.691,105.624,100.761,105.178
"137","130","        Household cleaning products","DCLERA3",23.694,25.631,29.128,32.16,33.981,36.876,39.045,41.905,43.307,46.46,49.997,53.019,53.524,57.116,60.513,56.784,49.488,47.449,46.533,50.368,54.642,56.228,56.523,56.893,58.49,62.977,65.37,67.662,68.533,69.533,67.791,67.094,63.928,64.336,68.747,73.787,76.912,80.229,82.997,83.247,85.066,84.778,84.486,85.004,90.147,95.056,100,103.172,105.986,104.912,99.187,102.558
"138","131","        Household paper products","DPAPRA3",21.107,23.003,25.347,27.75,29.454,32.056,35.975,40.032,40.478,40.412,39.54,38.196,35.331,36.014,42.035,41.607,37.43,38.613,39.953,43.191,47.288,49.956,52.089,53.104,53.965,55.192,54.352,54.98,54.405,57.701,59.844,62.604,65.281,68.709,72.017,75.857,75.308,75.341,78.449,80.197,84.741,83.331,85.019,88.071,93.629,95.664,100,102.846,106.217,102.737,96.548,97.697
"139","132","        Household linens","DLINRA3",15.814,16.069,16.816,18.35,19.011,20.909,22.302,24.202,24.773,25.52,24.454,23.556,22.954,23.785,25.576,23.687,22.75,23.233,23.943,25.024,26.042,26.433,27.66,26.817,27.849,30.01,31.06,33.799,34.535,36.358,38.318,39.833,41.774,45.815,48.829,53.291,57.434,62.537,66.688,69.4,73.383,77.494,78.45,81.976,90.155,96.155,100,107.535,113.145,116.551,115.145,127.196
"140","133","        Sewing items","DSEWRA3",17.119,17.519,18.405,20.068,20.645,22.663,24.166,26.041,26.197,25.804,22.953,20.543,18.635,18.534,20.797,22.525,24.871,28.204,30.98,34.376,37.071,37.735,39.323,40.037,42.277,44.183,43.467,44.065,44.655,45.393,46.833,46.026,47.297,51.441,55.486,61.61,63.014,67.341,75.268,81.567,89.911,94.967,96.783,103.265,103.221,101.714,100,97.038,94.829,92.907,89.324,93.872
"141","134","        Miscellaneous household products","DMHPRA3",19.883,19.016,20.612,22.126,24.254,26.945,29.058,32.305,33.635,35.146,37.074,36.194,34.47,35.354,41.171,41.844,38.157,44.329,43.842,50.013,54.511,52.037,50.48,49.936,54.715,61.41,64.013,68.959,72.389,76.329,76.701,77.204,75.45,81.749,86.367,93.655,94.662,99.281,103.345,102.257,105.959,104.444,101.444,98.283,98.935,100.586,100,97.555,92.379,90.483,87.854,95.589
"142","135","      Personal care products (part of 118)","DOPCRA3",12.889,14.237,15.674,17.069,18.191,19.559,21.283,23.806,25.344,26.784,27.426,28.441,28.843,30.232,32.84,33.072,32.454,33.807,36.27,38.473,40.221,40.54,40.636,39.692,41.397,44.434,46.465,48.488,51.14,52.559,54.057,55.439,55.034,55.316,57.896,61.201,64.696,68.709,72.348,75.708,80.285,84.23,86.506,89.246,92.872,96.397,100,103.858,106.191,108.028,104.95,112.284
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRA3",10.67,12.03,12.796,13.989,15.915,17.004,18.376,20.423,21.944,22.58,23.193,24.285,24.363,24.237,25.052,24.831,23.032,23.938,26.352,27.878,29.484,29.755,29.417,28.904,30.096,32.113,33.401,34.63,35.933,38.301,40.725,43.718,45.857,47.045,51.035,55.593,60.077,65.704,71.501,76.262,82.433,86.565,90.193,93.132,95.764,98.089,100,101.753,102.591,104.88,102.95,109.735
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRA3",17.08,18.48,21.025,22.799,22.75,24.626,26.971,30.361,32.041,34.831,35.578,36.527,37.48,41.325,46.845,47.795,48.99,51.134,53.912,57.315,59.412,59.843,60.65,58.986,61.566,66.343,69.615,72.956,77.83,77.78,77.824,76.657,72.19,71.023,71.471,73.017,75.186,76.954,77.539,78.568,80.543,83.845,83.756,85.579,90.052,94.711,100,106.323,110.368,111.88,107.601,115.578
"145","138","        Electric appliances for personal care","DEAPRA3",6.64,7.541,8.102,8.936,10.153,10.843,11.858,13.24,14.03,14.253,14.488,15.219,15.088,14.748,15.302,15.111,13.765,14.196,15.088,15.862,16.671,16.713,16.405,15.998,16.869,18.273,19.297,20.322,21.397,23.034,24.779,26.869,28.434,29.391,32.042,34.797,37.439,40.746,44.425,50.599,58.456,65.238,71.46,78.836,85.927,92.674,100,105.613,109.419,109.393,104.472,112.148
"146","139","      Tobacco (127)","DTOBRA3",131.342,133.257,137.388,137.831,138.936,136.886,140.479,140.479,141.742,140.734,138.868,141.207,142.335,145.13,153.354,155.714,155.339,166.019,160.217,163.465,162.151,163.822,166.255,159.454,151.267,151.086,150.557,147.268,147.975,136.663,134.841,129.96,120.576,125.862,123.26,124.803,126.624,128.414,128.774,124.12,115.806,113.047,110.989,107.062,105.168,104.292,100,98.366,94.093,90.985,85.434,82.705
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",38.596,39.216,37.14,40.807,42.006,41.596,43.165,49.333,48.674,49.421,52.21,52.726,50.732,54.116,57.519,53.964,51.884,54.164,56.524,64.262,70.678,71.284,71.479,70.671,71.236,75.578,75.635,77.092,81.275,86.538,89.443,92.769,90.376,88.144,90.143,93.563,93.319,93.473,95.313,96.34,99.726,103.404,99.39,97.767,97.46,99.412,100,100.908,98.228,97.485,93.771,102.116
"148","141","        Newspapers and periodicals","DMAGRA3",51.923,52.076,47.678,53.233,53.635,50.561,52.321,59.689,59.101,58.27,59.753,61.903,61.569,65.065,70.233,68.42,65.626,69.597,72.432,81.786,91.931,91.552,90.495,89.339,88.664,92.364,89.939,90.104,92.56,97.433,97.704,101.671,95.742,90.338,92.902,97.473,99.011,101.426,106.345,106.23,107.927,110.481,107.957,106.587,103.341,101.95,100,98.233,92.161,91.722,87.413,98.041
"149","142","        Stationery and miscellaneous printed materials","DSTYRA3",24.105,25.029,25.021,26.802,28.565,30.538,31.824,36.469,35.792,37.932,41.761,40.688,37.164,40.267,41.707,36.661,35.398,35.903,37.657,43.358,45.747,47.304,48.773,48.359,50.206,55.077,57.797,60.623,66.629,72.219,78.091,80.61,82.432,84.077,85.352,87.285,84.786,82.061,80.018,82.426,87.849,92.916,86.988,85.042,88.781,95.575,100,105.002,107.502,106.295,103.537,108.08
"150","143","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","144","        Expenditures abroad by U.S. residents","DABDRA3",221.626,214.52,196.895,199.403,192.447,209.816,223.901,254.71,273.197,282.231,291.304,299.543,293.737,266.024,182.841,132.814,95.123,79.344,64.441,62.503,63.841,68.192,85.254,102.878,110.297,119.317,136,99.566,90.653,76.591,80.69,71.424,65.794,45.376,49.283,49.999,46.445,47.279,75.022,81.147,81.819,92.132,98.986,105.345,105.861,102.378,100,103.195,105.303,110.118,125.087,133.561
"152","145","          Government employees' expenditures abroad","DARTRA3",223.831,216.346,197.92,200.495,193.243,211.294,225.982,257.923,277.195,286.534,295.986,304.795,298.81,269.648,184.644,133.728,95.229,78.96,64.453,62.367,63.881,68.743,86.274,105.155,112.773,122.08,139.473,102.004,92.924,78.009,81.632,71.747,65.581,44.871,48.874,49.707,46.275,47.197,75.019,81.149,81.817,92.132,98.984,105.348,105.865,102.382,100,103.198,105.306,110.121,125.091,133.565
"153","146","          Private employees' expenditures abroad","DARSRA3",168.178,170.276,172.134,172.992,173.235,174.031,173.462,176.735,176.129,177.763,177.617,171.982,170.548,178.048,139.088,110.638,92.618,88.769,64.192,65.859,62.907,54.854,60.505,47.598,50.178,52.233,51.631,40.352,35.493,42.188,57.835,63.604,70.975,57.664,59.22,57.095,50.569,49.268,75.092,81.091,81.872,92.135,99.027,105.258,105.773,102.289,100,103.125,105.225,110.038,125,133.47
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRA3",20.048,24.618,23.385,21.044,23.537,25.936,29.79,28.904,38.731,37.65,33.341,39.124,32.563,31.719,35.137,32.791,28.448,26.197,22.821,20.149,24.26,27.363,27.539,25.753,29.003,31.669,44.912,44.827,49.35,57.635,51.6,57.009,59.861,84.758,81.968,74.312,67.357,58.348,55.875,56.787,65.018,65.118,71.863,72.126,83.361,90.103,100,115.93,130.59,145.843,133.214,205.476
"155","148","Services","DSERRA3",19.164,19.915,20.648,21.624,22.543,23.885,25.204,26.453,27.541,29.009,30.303,31.487,32.574,34.458,36.091,36.783,38.164,39.802,41.447,43.375,44.7,45.389,46.203,47.103,49.568,51.508,54.173,55.784,58.007,60.469,62.301,64.151,65.11,67.431,69.589,71.666,73.488,75.64,77.973,81.409,84.744,88.944,91.134,92.87,94.611,97.134,100,102.599,104.599,105.067,103.644,104.628
"156","149","  Household consumption expenditures (for services)","DHCERA3",20.11,20.846,21.622,22.658,23.626,24.992,26.381,27.698,28.826,30.347,31.732,32.956,34.071,36.037,37.795,38.57,40.062,41.763,43.526,45.54,46.926,47.598,48.353,49.074,51.486,53.311,56.02,57.502,59.728,62.059,63.714,65.253,65.966,67.967,70.035,71.999,73.778,75.857,78.468,81.794,85.054,89.178,91.191,92.651,94.276,96.917,100,102.276,104.172,104.18,102.637,103.607
"157","150","    Housing and utilities","DHUTRA3",21.452,22.598,23.708,25.081,26.252,27.525,28.983,30.307,31.672,33.26,35.088,36.435,38.004,40.036,41.908,43.889,45.295,46.577,47.874,50.152,51.933,53.616,54.503,54.866,56.085,58.072,60.271,61.557,63.428,65.563,67.244,68.45,69.98,71.38,73.271,75.984,78.023,79.717,81.532,84.018,86.673,89.32,91.71,92.374,93.528,95.591,100,102.166,102.78,103.49,104.568,105.474
"158","151","      Housing","DHSGRA3",20.351,21.41,22.457,23.708,24.774,25.955,27.361,28.599,29.869,31.365,33.069,34.287,35.89,37.77,39.647,41.766,42.96,44.176,45.265,47.526,49.457,51.091,52.386,52.697,53.765,55.989,58.177,59.732,61.464,63.359,65.007,66.64,68.15,69.943,71.458,74.371,76.556,78.044,80.22,82.822,85.687,88.356,91.334,91.757,92.787,95.127,100,102.873,103.324,104.436,105.629,106.154
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,108.878,111.561,116.698,118.588
"160","153","          Tenant-occupied mobile homes","DTMHRA3",2.276,2.453,2.811,3.381,4.192,5.133,6.371,7.736,9.34,11.446,14.027,16.533,18.02,21.32,25.191,29.385,34.675,37.715,39.215,40.664,45.5,43.82,43.298,46.21,49.848,49.966,50.308,52.223,54.29,56.091,57.654,65.12,70.375,77.269,80.068,85.163,90.413,89.214,87.231,83.305,78.448,83.027,94.133,99.694,101.372,101.671,100,91.004,81.769,72.502,68.8,67.578
"161","154","          Tenant-occupied stationary homes","DTSPRA3",30.127,31.479,33.167,35.04,36.809,38.756,40.899,42.726,44.504,47.246,49.661,51.461,53.894,56.458,59.103,60.389,61.336,62.718,63.82,64.847,65.298,66.406,69.163,70.687,72.388,76.043,81.959,85.07,86.492,87.573,88.051,90.533,91.156,92.022,92.381,94.353,96.951,96.963,98.364,100.195,102.038,102.439,103.784,102.639,98.676,98.679,100,103.817,109.958,113.125,118.74,120.784
"162","155","          Tenant landlord durables","DTLDRA3",32.031,32.818,33.09,33.519,34.048,34.748,35.535,36.264,36.936,37.251,37.351,37.051,36.564,36.421,37.68,40.182,43.342,44,44.701,47.089,49.42,51.222,52.208,53.295,52.98,51.593,50.65,50.149,51.207,52.68,56.37,57.785,58.657,60.213,61.029,61.981,66.07,69.081,72.25,75.191,78.508,82.685,86.796,89.08,91.932,96.268,100,104.336,105.419,106.274,105.415,105.676
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.138,102.929,103.13,103.32
"164","157","          Owner-occupied mobile homes","DOMHRA3",7.425,8.007,8.522,9.332,10.452,12.112,14.103,16.104,18.265,21.176,24.795,27.733,30.939,37.087,45.017,52.91,53.586,51.424,53.923,58.597,59.909,58.453,66.473,66.825,69.802,72.725,75.638,76.759,78.014,79.774,81.193,82.276,87.143,89.421,88.481,88.733,88.645,90.611,92.817,93.57,94.349,98.363,112.492,111.003,107.283,104.134,100,88.574,77.891,71.514,69.442,68.363
"165","158","          Owner-occupied stationary homes","DOSTRA3",17.403,18.448,19.391,20.557,21.489,22.487,23.721,24.813,25.926,27.102,28.595,29.654,31.083,32.727,34.269,36.411,37.639,38.952,40.041,42.608,44.958,46.905,47.695,47.702,48.594,50.548,51.906,53.153,55.01,57.142,59.079,60.492,62.101,64.108,66.01,69.294,71.447,73.299,75.694,78.601,81.86,84.843,87.842,88.669,91.037,93.96,100,103.265,102.931,103.957,104.232,104.464
"166","159","        Rental value of farm dwellings (22)","DFARRA3",55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,91.356,88.135,87.783,87.315
"167","160","        Group housing (23)","DGRHRA3",240.385,224.531,217.689,198.921,184.438,195.878,209.527,215.567,252.853,265.595,294.158,293.634,281.516,272.045,271.399,288.023,302.104,292.664,251.604,211.89,191.1,165.785,147.847,141.305,115.595,117.399,106.319,93.917,89.858,97.549,105.505,113.925,119.198,104.497,108.925,107.449,112.16,120.443,118.247,124.151,124.892,124.051,118.906,108.004,107.703,103.687,100,100.389,104.001,105.305,106.507,108.047
"168","161","      Household utilities","DUTLRA3",27.16,28.8,30.245,32.315,34.101,35.886,37.574,39.376,41.265,43.352,45.875,47.991,49.193,52.086,53.785,54.79,57.38,59.001,61.394,63.756,64.753,66.695,65.648,66.258,68.192,69.195,71.506,71.559,74.149,77.533,79.403,78.361,80.006,79.336,83.213,84.886,86.155,88.969,88.821,90.663,92.097,94.606,93.68,95.722,97.591,98.092,100,98.536,99.97,98.707,99.219,102.003
"169","162","        Water supply and sanitation (25)","DWRSRA3",23.847,26.181,27.421,29.212,31.962,33.363,34.807,35.176,35.399,36.687,39.228,41.672,42.395,46.073,48.375,50.557,51.14,50.583,50.687,51.283,54.689,57.184,56.871,56.491,58.574,62.542,66.96,71.115,74.163,76.018,78.854,79.163,78.02,76.554,80.222,83.842,86.982,89.81,91.791,93.265,96.231,97.2,98.107,99.088,100.412,99.654,100,103.262,103.759,104.09,102.975,101.965
"170","163","          Water supply and sewage maintenance","DWSMRA3",26.167,28.732,30.082,32.048,35.083,36.621,38.217,38.607,38.862,40.258,43.045,45.735,46.53,50.58,53.086,55.501,56.13,55.521,55.634,56.156,59.76,62.266,61.964,61.426,64.502,68.792,73.613,77.836,80.88,83.35,85.668,85.078,84.268,82.49,85.543,88.854,91.727,93.653,94.675,94.8,96.934,97.703,99.178,101.15,101.824,99.908,100,102.391,103.347,103.403,103.491,102.383
"171","164","          Garbage and trash collection","DREFRA3",15.693,17.211,18.072,19.245,20.989,21.904,22.808,23.11,23.217,24.132,25.811,27.383,27.856,30.214,31.817,33.163,33.593,33.217,33.292,34.218,37.005,39.599,39.223,39.47,37.587,40.459,43.473,47.568,50.751,50.332,55.116,58.651,56.339,55.944,61.667,66.305,70.322,76.207,81.498,87.696,93.582,95.251,94.154,91.603,95.255,98.709,100,106.533,105.303,106.671,100.924,100.306
"172","165","        Electricity and gas","DELGRA3",27.871,29.388,30.875,33.006,34.607,36.474,38.215,40.321,42.573,44.838,47.354,49.384,50.702,53.383,54.923,55.642,58.676,60.774,63.67,66.427,66.879,68.707,67.513,68.316,70.226,70.648,72.537,71.714,74.201,77.959,79.586,78.186,80.605,80.167,84.107,85.171,85.835,88.642,87.786,89.754,90.638,93.7,92.149,94.556,96.617,97.556,100,96.98,98.72,96.938,97.998,102.197
"173","166","          Electricity (27)","DELCRA3",18.709,19.793,20.756,22.123,23.27,24.697,26.023,27.74,29.437,31.415,33.321,35.338,36.658,38.836,41.216,42.224,45.048,47.161,51.465,53.953,54.957,57.391,57.014,57.424,60.993,61.494,63.587,64.216,67.205,70.052,71.044,71.55,73.614,72.342,76.473,78.066,79.123,80.419,80.179,85.89,86.726,89.705,88.033,92.111,93.703,95.574,100,97.693,98.972,97.496,95.518,102.023
"174","167","          Natural gas (28)","DGHERA3",62.701,65.775,69.3,74.41,77.652,80.978,84.12,87.361,91.512,94.341,98.926,100.278,101.13,105.323,102.247,101.24,104.166,105.567,102.016,105.416,103.772,103.323,99.37,101.455,98.357,98.56,99.817,94.33,95.014,101.779,105.567,97.415,100.979,103.669,106.667,105.803,104.994,113.261,110.242,99.244,100.254,103.489,102.289,99.986,103.311,101.974,100,95.413,98.236,95.741,104.64,101.873
"175","168","    Health care","DHLCRA3",16.108,16.314,17.038,18.573,19.801,22.044,23.049,24.305,25.439,27.413,29.446,31.026,33.258,35.536,38.091,39.401,41.43,43.243,45.341,47.418,49.015,50.425,52.856,52.984,54.567,55.451,57.143,58.928,61.378,63.791,64.52,66.692,67.97,70.022,70.377,70.928,72.397,73.894,76.188,78.663,79.892,82.638,86.758,91.868,93.845,96.833,100,101.839,104.213,106.691,108.729,110.235
"176","169","      Outpatient services","DOUTRA3",15.091,15.599,16.073,17.394,18.249,20.902,21.621,21.799,21.659,22.449,23.45,24.512,24.829,26.228,28.829,29.412,30.529,31.173,32.696,33.525,34.702,35.896,38.489,38.477,40.858,42.943,45.231,47.018,50.756,53.84,55.485,59.054,60.992,64.312,64.627,65.329,67.59,69.45,71.092,73.373,74.794,78.324,82.758,88.256,92.308,96.631,100,102.404,104.398,107.752,108.488,108.541
"177","170","        Physician services (44)","DPHYRA3",19.201,19.542,19.679,21.005,21.877,25.079,25.384,25.376,26.3,27.099,28.66,30.107,30.89,32.497,34.901,35.297,36.363,35.868,37.701,38.344,39.868,41.972,44.587,44.619,46.594,48.466,50.758,52.132,56.386,59.694,60.277,62.173,63.123,65.035,62.922,62.215,63.272,64.795,66.539,68.948,70.817,75.234,79.553,85.943,91.269,96.108,100,102.999,103.697,107.655,107.866,106.399
"178","171","        Dental services (45)","DDENRA3",26.652,27.179,28.189,29.435,29.101,32.971,33.878,34.579,37.148,38.688,42.015,44.815,44.407,46.873,53.013,54.291,55.698,58.838,60.856,62.779,62.75,62.688,67.194,67.198,68.409,69.085,71.185,72.367,74.905,74.514,74.944,75.208,73.631,76.256,76.252,77.713,79.699,80.23,81.699,84.053,85.979,89.375,93.662,97.739,97.147,99.556,100,99.455,100.707,100.7,97.767,96.568
"179","172","        Paramedical services (46)","DPMSRA3",5.331,6.036,6.756,8.043,9.226,10.657,11.829,12.076,9.692,10.199,9.689,9.653,9.562,10.288,11.924,12.51,13.542,14.906,15.772,16.475,17.444,17.691,19.537,19.462,22.617,25.322,27.561,30.047,33.247,36.98,40.612,47.795,52.406,58.194,62.651,65.468,69.858,72.752,74.266,76.291,76.76,78.834,83.502,88.083,91.944,96.227,100,102.75,107.153,111.096,114.393,117.477
"180","173","          Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.495,34.593,39.227,47.761,54.686,64.32,73.539,81.325,90.686,95.172,93.101,89.924,84.985,81.211,83.986,85.034,89.615,95.142,100,105.678,112.808,118.277,125.473,133.669
