"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"102","80","        Nonfinancial","W300RC1","-3,210.0","-3,104.0","-2,470.0","-2,705.0","-4,664.0","-5,623.0","-1,500.0","-4,361.0","-5,496.0","-8,244.0","-12,421.0","-16,032.0","-20,321.0","-15,685.0","-6,804.0","-14,089.0","-8,209.0","-7,127.0","-8,824.0","-10,923.0","-12,694.0","-13,504.0","-11,888.0","-11,094.0","-11,971.0","-14,112.0","-14,962.0","-16,839.0","-19,271.0","-23,266.0","-26,671.0","-30,811.0","-30,861.0","-27,885.0","-27,770.0","-26,959.0","-30,315.0","-34,828.0","-41,343.0","-45,893.0","-41,523.0","-39,008.0","-37,527.0","-40,318.0","-45,746.0","-49,371.0"
"103","81","      Sole proprietorships and partnerships","W301RC1","-555.0","-519.0","-417.0","-461.0","-933.0","-1,363.0","-391.0","-1,255.0","-1,638.0","-2,527.0","-4,050.0","-5,157.0","-6,259.0","-4,215.0","-1,617.0","-3,232.0","-1,632.0","-1,292.0","-1,197.0","-1,372.0","-1,760.0","-1,961.0","-2,055.0","-2,073.0","-2,164.0","-2,477.0","-2,692.0","-3,256.0","-4,183.0","-5,076.0","-6,126.0","-7,528.0","-8,080.0","-8,230.0","-8,134.0","-8,256.0","-10,010.0","-13,393.0","-16,803.0","-16,610.0","-15,568.0","-14,298.0","-15,288.0","-18,156.0","-21,143.0","-23,175.0"
"104","82","        Farm","W302RC1","-269.0","-251.0","-208.0","-233.0","-402.0","-484.0","-133.0","-452.0","-603.0","-853.0","-1,247.0","-1,527.0","-1,803.0","-1,277.0","-543.0","-1,055.0","-372.0","-263.0","-216.0","-232.0","-285.0","-315.0","-347.0","-356.0","-373.0","-431.0","-451.0","-512.0","-590.0","-684.0","-737.0","-801.0","-800.0","-753.0","-704.0","-694.0","-745.0","-875.0","-995.0","-897.0","-857.0","-883.0","-865.0","-1,029.0","-1,176.0","-1,305.0"
"105","83","        Nonfarm","W303RC1","-286.0","-268.0","-209.0","-228.0","-531.0","-879.0","-258.0","-803.0","-1,035.0","-1,674.0","-2,803.0","-3,630.0","-4,456.0","-2,938.0","-1,074.0","-2,177.0","-1,260.0","-1,029.0","-981.0","-1,140.0","-1,475.0","-1,646.0","-1,708.0","-1,717.0","-1,791.0","-2,046.0","-2,241.0","-2,744.0","-3,593.0","-4,392.0","-5,389.0","-6,727.0","-7,280.0","-7,477.0","-7,430.0","-7,562.0","-9,265.0","-12,518.0","-15,808.0","-15,713.0","-14,711.0","-13,415.0","-14,423.0","-17,127.0","-19,967.0","-21,870.0"
"106","84","      Other private business","W304RC1","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-961.0","-858.0","-844.0","-1,028.0","-1,349.0","-1,467.0","-1,453.0","-1,278.0","-1,191.0","-1,221.0","-1,244.0","-1,364.0","-1,508.0","-1,633.0","-1,818.0","-2,117.0","-2,060.0","-2,062.0","-2,275.0","-2,501.0","-2,890.0","-3,343.0","-3,776.0","-3,480.0","-3,192.0","-3,159.0","-3,079.0","-3,461.0","-3,872.0","-4,091.0"
"107","85","        Rental income of persons and proprietors' income","W304RC1","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-961.0","-858.0","-844.0","-1,028.0","-1,349.0","-1,467.0","-1,453.0","-1,278.0","-1,191.0","-1,221.0","-1,244.0","-1,364.0","-1,508.0","-1,633.0","-1,818.0","-2,117.0","-2,060.0","-2,062.0","-2,275.0","-2,501.0","-2,890.0","-3,343.0","-3,776.0","-3,480.0","-3,192.0","-3,159.0","-3,079.0","-3,461.0","-3,872.0","-4,091.0"
"108","86","    Households and nonprofit institutions","W305RC1","-2,591.0","-2,354.0","-1,924.0","-2,250.0","-3,911.0","-4,608.0","-1,272.0","-4,114.0","-5,528.0","-8,617.0","-13,244.0","-16,451.0","-19,325.0","-13,305.0","-5,479.0","-10,992.0","-9,389.0","-8,151.0","-7,915.0","-9,386.0","-12,105.0","-13,224.0","-13,134.0","-12,798.0","-13,638.0","-15,615.0","-17,652.0","-20,916.0","-24,352.0","-27,076.0","-30,296.0","-35,355.0","-35,962.0","-36,092.0","-39,082.0","-42,776.0","-49,995.0","-60,013.0","-67,802.0","-59,630.0","-52,524.0","-56,998.0","-53,367.0","-58,234.0","-63,691.0","-67,322.0"
"109","87","      Households","W306RC1","-2,518.0","-2,286.0","-1,868.0","-2,183.0","-3,792.0","-4,462.0","-1,232.0","-3,985.0","-5,362.0","-8,363.0","-12,863.0","-15,960.0","-18,717.0","-12,855.0","-5,278.0","-10,549.0","-9,010.0","-7,799.0","-7,526.0","-8,929.0","-11,515.0","-12,598.0","-12,509.0","-12,210.0","-13,057.0","-15,009.0","-17,026.0","-20,194.0","-23,516.0","-26,129.0","-29,159.0","-33,967.0","-34,492.0","-34,554.0","-37,478.0","-41,066.0","-47,992.0","-57,513.0","-64,888.0","-56,876.0","-49,866.0","-54,384.0","-50,971.0","-55,691.0","-60,837.0","-64,208.0"
"110","88","        Owner-occupied housing","W307RC1","-795.0","-716.0","-578.0","-674.0","-1,170.0","-1,414.0","-388.0","-1,246.0","-1,716.0","-2,784.0","-4,530.0","-5,878.0","-7,141.0","-4,950.0","-2,000.0","-3,885.0","-5,670.0","-4,797.0","-4,610.0","-5,560.0","-7,290.0","-8,183.0","-8,148.0","-8,040.0","-8,527.0","-9,548.0","-10,684.0","-12,617.0","-14,918.0","-16,990.0","-19,448.0","-23,259.0","-23,802.0","-24,242.0","-27,091.0","-29,841.0","-35,945.0","-43,529.0","-48,927.0","-42,086.0","-36,511.0","-35,327.0","-33,104.0","-35,461.0","-37,378.0","-37,119.0"
"111","89","        Persons","W308RC1","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-3,340.0","-3,002.0","-2,916.0","-3,369.0","-4,225.0","-4,415.0","-4,361.0","-4,170.0","-4,530.0","-5,461.0","-6,342.0","-7,577.0","-8,598.0","-9,139.0","-9,711.0","-10,708.0","-10,690.0","-10,312.0","-10,387.0","-11,225.0","-12,047.0","-13,984.0","-15,961.0","-14,790.0","-13,355.0","-19,057.0","-17,867.0","-20,230.0","-23,459.0","-27,089.0"
"112","90","      Nonprofit institutions","W309RC1","-73.0","-68.0","-56.0","-67.0","-119.0","-146.0","-40.0","-129.0","-166.0","-254.0","-381.0","-491.0","-608.0","-450.0","-201.0","-443.0","-379.0","-352.0","-389.0","-457.0","-590.0","-626.0","-625.0","-588.0","-581.0","-606.0","-626.0","-722.0","-836.0","-947.0","-1,137.0","-1,388.0","-1,470.0","-1,538.0","-1,604.0","-1,710.0","-2,003.0","-2,500.0","-2,914.0","-2,754.0","-2,658.0","-2,614.0","-2,396.0","-2,543.0","-2,854.0","-3,114.0"
"113","91","    Government","W310RC1","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-103.0","-102.0","-106.0","-124.0","-158.0","-177.0","-193.0","-203.0","-220.0","-232.0","-223.0","-241.0","-271.0","-311.0","-355.0","-385.0","-393.0","-367.0","-372.0","-409.0","-481.0","-605.0","-777.0","-828.0","-886.0","-953.0","-1,119.0","-1,478.0","-1,988.0","-2,382.0"
"114","92","      Federal","W311RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"115","93","      State and local","W312RC1","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-103.0","-102.0","-106.0","-124.0","-158.0","-177.0","-193.0","-203.0","-220.0","-232.0","-223.0","-241.0","-271.0","-311.0","-355.0","-385.0","-393.0","-367.0","-372.0","-409.0","-481.0","-605.0","-777.0","-828.0","-886.0","-953.0","-1,119.0","-1,478.0","-1,988.0","-2,382.0"
"116","94","    Rest of the world","W313RC1","-159.0","-136.0","-107.0","-147.0","-299.0","-434.0","-131.0","-495.0","-666.0","-1,160.0","-2,125.0","-2,709.0","-3,618.0","-1,428.0","-538.0","-913.0","-276.0","-213.0","-181.0","-177.0","-206.0","-194.0","-205.0","-247.0","-266.0","-290.0","-342.0","-506.0","-658.0","-840.0","-985.0","-1,157.0","-1,174.0","-1,121.0","-1,056.0","-1,003.0","-1,168.0","-1,552.0","-1,624.0","-1,758.0","-1,515.0","-1,590.0","-2,923.0","-3,838.0","-4,769.0","-5,707.0"
"117","95","  Imputed interest received","W360RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-21,692.0","-18,421.0","-19,407.0","-23,468.0","-28,815.0","-31,424.0","-30,388.0","-29,776.0","-31,053.0","-35,385.0","-38,384.0","-44,471.0","-52,527.0","-61,005.0","-69,836.0","-81,833.0","-84,048.0","-82,100.0","-84,546.0","-89,155.0","-102,151.0","-122,700.0","-143,492.0","-139,107.0","-122,069.0","-123,179.0","-120,660.0","-133,850.0","-150,446.0","-161,813.0"
"118","96","    Domestic corporate business, financial","W361RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-21,692.0","-18,421.0","-19,407.0","-23,468.0","-28,815.0","-31,424.0","-30,388.0","-29,776.0","-31,053.0","-35,385.0","-38,384.0","-44,471.0","-52,527.0","-61,005.0","-69,836.0","-81,833.0","-84,048.0","-82,100.0","-84,546.0","-89,155.0","-102,151.0","-122,700.0","-143,492.0","-139,107.0","-122,069.0","-123,179.0","-120,660.0","-133,850.0","-150,446.0","-161,813.0"
"119","97","      Banks, credit agencies, and investment companies","W362RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-21,692.0","-18,421.0","-19,407.0","-23,468.0","-28,815.0","-31,424.0","-30,388.0","-29,776.0","-31,053.0","-35,385.0","-38,384.0","-44,471.0","-52,527.0","-61,005.0","-69,836.0","-81,833.0","-84,048.0","-82,100.0","-84,546.0","-89,155.0","-102,151.0","-122,700.0","-143,492.0","-139,107.0","-122,069.0","-123,179.0","-120,660.0","-133,850.0","-150,446.0","-161,813.0"
"120",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","98","  Net interest (99+103+104+105)","B060RC1","32,491.0","39,248.0","43,817.0","47,791.0","55,459.0","71,360.0","83,564.0","87,493.0","103,351.0","115,928.0","137,033.0","180,023.0","230,619.0","268,910.0","283,152.0","326,224.0","338,123.0","355,690.0","361,102.0","387,483.0","435,567.0","442,410.0","400,213.0","375,504.0","363,067.0","357,861.0","369,000.0","373,111.0","405,383.0","468,990.0","478,804.0","552,442.0","551,585.0","477,476.0","451,527.0","386,360.0","477,322.0","560,638.0","640,800.0","667,544.0","545,142.0","470,198.0","466,393.0","505,217.0","491,867.0","508,526.0"
"122","99","    Domestic business (2+42+77-26-55-96)","A1626C1","17,910.0","23,351.0","25,148.0","26,940.0","32,758.0","44,682.0","51,715.0","49,645.0","57,977.0","64,916.0","77,100.0","106,715.0","140,190.0","160,739.0","162,320.0","193,039.0","203,866.0","212,513.0","214,773.0","233,076.0","273,557.0","264,687.0","219,399.0","188,963.0","180,433.0","181,645.0","182,728.0","184,909.0","216,092.0","270,124.0","271,269.0","333,023.0","320,594.0","234,859.0","207,447.0","156,569.0","233,498.0","306,402.0","385,142.0","408,046.0","300,980.0","252,133.0","268,096.0","333,950.0","342,665.0","357,208.0"
"123","100","      Corporate (3+42+78-27-56-96)","W499RC1","7,530.0","11,388.0","11,401.0","11,203.0","13,268.0","21,309.0","25,357.0","20,750.0","25,598.0","28,416.0","33,046.0","53,787.0","75,517.0","87,367.0","83,832.0","97,331.0","96,786.0","95,916.0","99,279.0","106,058.0","127,114.0","119,902.0","80,676.0","63,582.0","62,532.0","59,532.0","63,183.0","61,694.0","84,205.0","125,212.0","131,377.0","174,100.0","155,589.0","94,668.0","72,692.0","22,057.0","53,467.0","99,837.0","150,288.0","208,626.0","139,289.0","109,923.0","127,473.0","186,800.0","194,580.0","202,576.0"
"124","101","      Sole proprietorships and partnerships (8+81-30-59)","B1649C1","5,058.0","6,049.0","7,177.0","8,408.0","11,227.0","14,002.0","15,484.0","17,091.0","19,291.0","22,145.0","28,074.0","34,845.0","44,481.0","51,270.0","54,701.0","69,321.0","77,545.0","83,016.0","79,330.0","88,185.0","104,486.0","101,415.0","94,702.0","85,273.0","82,460.0","88,710.0","86,631.0","91,441.0","100,260.0","113,425.0","107,559.0","124,610.0","130,644.0","106,129.0","101,790.0","100,983.0","143,695.0","167,152.0","191,559.0","152,374.0","115,445.0","98,569.0","98,320.0","105,788.0","107,575.0","112,557.0"
"125","102","      Other private business (11+84-31-62)","B1657C1","5,323.0","5,914.0","6,570.0","7,329.0","8,263.0","9,371.0","10,874.0","11,804.0","13,087.0","14,355.0","15,980.0","18,082.0","20,192.0","22,102.0","23,787.0","26,387.0","29,535.0","33,581.0","36,164.0","38,834.0","41,956.0","43,370.0","44,021.0","40,108.0","35,441.0","33,403.0","32,915.0","31,773.0","31,627.0","31,487.0","32,333.0","34,312.0","34,360.0","34,063.0","32,964.0","33,529.0","36,336.0","39,414.0","43,296.0","47,045.0","46,249.0","43,641.0","42,303.0","41,362.0","40,510.0","42,076.0"
"126","103","    Owner-occupied housing (16+88-65)","W318RC1","14,516.0","15,945.0","18,182.0","20,979.0","24,023.0","27,514.0","32,056.0","36,084.0","42,618.0","50,310.0","60,193.0","71,542.0","83,273.0","99,284.0","112,722.0","125,571.0","139,322.0","155,167.0","166,407.0","177,596.0","191,990.0","205,568.0","211,244.0","213,364.0","209,983.0","213,054.0","232,289.0","239,293.0","252,757.0","262,840.0","279,084.0","305,843.0","326,252.0","329,310.0","320,328.0","322,142.0","365,676.0","418,596.0","460,617.0","470,331.0","430,087.0","388,476.0","355,238.0","325,973.0","295,454.0","288,162.0"
"127","104","    Nonprofit institutions (18+90)","B1131C1","567.0","682.0","769.0","843.0","946.0","1,104.0","1,388.0","1,428.0","1,515.0","1,891.0","2,343.0","2,954.0","3,744.0","4,787.0","5,910.0","7,713.0","7,459.0","8,745.0","9,090.0","10,270.0","11,075.0","11,244.0","11,703.0","12,227.0","14,263.0","13,247.0","14,084.0","14,974.0","15,585.0","15,992.0","16,153.0","16,183.0","16,129.0","15,667.0","15,025.0","14,304.0","13,539.0","12,838.0","12,333.0","12,151.0","11,534.0","10,768.0","10,248.0","9,413.0","9,102.0","8,842.0"
"128","105","    Rest of the world (22+53+94-36-75)","A1627C1","-502.0","-730.0","-282.0","-971.0","-2,268.0","-1,940.0","-1,595.0","336.0","1,241.0","-1,189.0","-2,603.0","-1,188.0","3,412.0","4,100.0","2,200.0","-100.0","-12,525.0","-20,735.0","-29,168.0","-33,460.0","-41,055.0","-39,089.0","-42,132.0","-39,050.0","-41,612.0","-50,086.0","-60,101.0","-66,065.0","-79,051.0","-79,966.0","-87,702.0","-102,607.0","-111,390.0","-102,360.0","-91,273.0","-106,654.0","-135,392.0","-177,199.0","-217,292.0","-222,983.0","-197,459.0","-181,179.0","-167,188.0","-164,119.0","-155,354.0","-145,685.0"
"129","106","  Net interest paid by government (19+50+91-33-72)","A085RC1","27,966.0","33,882.0","36,946.0","40,532.0","45,491.0","49,656.0","55,095.0","62,248.0","68,328.0","79,423.0","87,674.0","98,760.0","119,398.0","135,446.0","149,097.0","171,638.0","185,325.0","194,611.0","207,674.0","219,008.0","243,813.0","259,844.0","283,292.0","299,509.0","304,846.0","314,368.0","344,477.0","342,088.0","343,062.0","334,715.0","314,300.0","300,196.0","297,380.0","301,311.0","326,864.0","333,545.0","362,036.0","378,959.0","403,447.0","404,451.0","445,175.0","474,060.0","523,855.0","542,966.0","535,322.0","539,258.0"
"130","107","  Personal interest payments (17+89)","B069RC1","13,990.0","15,213.0","16,551.0","18,140.0","19,805.0","21,152.0","23,692.0","23,904.0","27,018.0","31,903.0","36,201.0","43,234.0","49,212.0","59,332.0","68,750.0","76,562.0","91,970.0","99,011.0","98,925.0","103,134.0","114,770.0","120,107.0","121,792.0","118,083.0","115,956.0","121,956.0","142,565.0","159,094.0","172,079.0","183,392.0","190,164.0","217,544.0","223,195.0","213,009.0","209,842.0","221,761.0","248,783.0","275,133.0","305,887.0","289,619.0","273,934.0","250,770.0","241,374.0","240,642.0","244,156.0","254,248.0"
"131","108","  Personal interest income (98+106+107) or (32+66+71)","A064RC1","74,447.0","88,343.0","97,314.0","106,461.0","120,756.0","142,170.0","162,352.0","173,646.0","198,697.0","227,254.0","260,907.0","322,017.0","399,229.0","463,688.0","500,999.0","574,424.0","615,417.0","649,314.0","667,701.0","709,626.0","794,151.0","822,362.0","805,297.0","793,096.0","783,869.0","794,185.0","856,042.0","874,296.0","920,526.0","987,099.0","983,270.0","1,070,184.0","1,072,159.0","991,795.0","988,235.0","941,667.0","1,088,141.0","1,214,730.0","1,350,133.0","1,361,614.0","1,264,253.0","1,195,028.0","1,231,621.0","1,288,826.0","1,271,345.0","1,302,033.0"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","1. Excludes interest paid or received by government enterprises, which is included in the government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Consists of interest paid on the deposit liabilities of commercial and mutual savings banks, savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","and loan associations, and credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","4. Includes monetary interest received by employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","5. Interest received by nonfinancial sole proprietorships and partnerships is considered interest received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","by persons and is included in line 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","6. Includes interest imputed to persons from employee pension plans and imputed interest income attributable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","to under- or over-funded defined benefit employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","7. Consists of the imputed interest attributable to the under- or over-funded defined benefit employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","pension plans of other financial entities, including those establishments providing nondepository credit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","intermediation services; securities, commodity contracts, and other financial investment services; insurance,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","brokerage, and related services; and real estate investment trust services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","8. Consists of the imputed interest attributable to the under- or over-funded defined benefit employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Note. In this table, imputed interest paid (line 39) is the sum of (1) premium supplements paid to property",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and casualty insurance carriers by households and institutions, governments, domestic business, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","the rest of the world as a measure of imputed services provided to these sectors by the property and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","casualty insurance providers, (2) the difference between the property income received by financial intermediaries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","from the investment of depositors' or beneficiaries' funds and the interest paid by them to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","households and institutions, governments, and the rest of the world, and (3) the imputed services provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","to these sectors in the role of borrowers of financial services; these services are included as negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","amounts paid by the borrowers and received by the financial intermediaries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
