"","Table 8#21# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"92","82","  Personal consumption expenditures","A002RC",77.5,70.2,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.2,67.2,71.2,81,88.9,99.7,108.5,119.8,144.2,162.3,175.4,178.8,192.7,208.6,219.7,233.4,240.5,259,271.9,287,296.6,318.1,332.3,342.7,363.8,383.1,411.7,444.3,481.8,508.7,558.7,605.5,648.9,702.4,770.7,852.5,932.4,1030.3,1149.8,1278.4,1430.4,1596.3,1762.9,1944.2,2079.3,2286.4,2498.4,2712.6,2895.2,3105.3,3356.6,3596.7,3831.5,3971.2,4209.7,4454.7,4716.4,4969,5237.5,5529.3,5856,6246.5,6683.7,6987
"93","83","    Imputations (5)","A2042C",6.6,6.8,6.3,5.9,5.3,5,5.1,5,5.2,5,4.5,4.4,4.9,8,10.5,11.7,12.3,5.7,2.6,0.8,2.4,-1.4,3,5.1,6.6,6.7,5.2,8.9,12.6,15.9,13.4,17.9,21.5,23.3,24,25.9,28.8,34.6,38.7,40.7,46.4,55.8,53,51.6,57,77,91.8,90.6,86,101.4,130,179.9,216,255.5,254.2,264.9,302.3,313.8,352.1,391,436.1,501.8,569.8,586.8,611.2,629.5,676.5,683.7,703.3,731.4,774.2,845.3,875.3
"94","84","    Excluding imputations (82-83)","A2086C",70.8,63.4,54.4,42.9,40.6,46.5,50.8,57.2,61.6,59.2,62.6,66.8,76.2,80.9,89.2,96.8,107.5,138.6,159.6,174.6,176.4,194.1,205.6,214.6,226.8,233.8,253.7,263,274.3,280.7,304.7,314.4,321.2,340.4,359.2,385.9,415.5,447.2,470,518,559.1,593.2,649.4,719.2,795.5,855.4,938.6,1059.2,1192.4,1329,1466.2,1583.1,1728.1,1823.8,2032.2,2233.5,2410.3,2581.3,2753.2,2965.6,3160.5,3329.7,3401.4,3622.9,3843.5,4086.9,4292.4,4553.8,4826,5124.7,5472.3,5838.4,6111.7
"95","85","  Interest paid by persons","B069RC",1.5,0.9,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.7,0.5,0.5,0.5,0.7,1.1,1.4,1.8,2.3,2.5,2.9,3.6,3.8,4.4,5.1,5.5,5.6,6.1,7,7.3,7.8,8.9,10,11.1,12,12.5,13.8,15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,49.4,54.6,58.8,65,75,83.2,90.6,91.5,92.9,106.4,115.8,118.9,118.7,115.4,117.9,134.7,149.9,164.8,173.7,179.5,205.4,205.4
"96","86","    Imputations (-118-131)","A2109C",-1.1,-1.1,-1.1,-1,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-0.9,-1.1,-1.3,-1.5,-1.7,-1.9,-2.2,-2.5,-2.9,-3.3,-3.7,-4.4,-5.1,-5.8,-6.5,-7.2,-7.9,-8.8,-9.5,-10.5,-11.5,-12.5,-13.3,-14.5,-16,-17.5,-19.7,-22.7,-26.4,-30.3,-34,-39.1,-46.2,-55.4,-67.7,-81.1,-95.1,-109.8,-121.3,-136.6,-153.2,-168.2,-180.7,-194.2,-210.7,-225.3,-232.8,-234.5,-229.5,-229.9,-249.2,-257,-270.9,-283.2,-300.6,-329.9,-349.4
"97","87","    Excluding imputations (85-86)","A2110C",2.6,2,1.7,1.5,1.4,1.4,1.4,1.5,1.6,1.5,1.5,1.6,1.7,1.6,1.4,1.4,1.4,1.8,2.3,2.9,3.4,4.2,4.7,5.4,6.4,7.1,8.2,9.5,10.5,11.3,12.6,14.2,15.2,16.6,18.4,20.5,22.7,24.5,25.9,28.3,31.7,34.3,37.5,42.3,48.8,54.5,58.6,65.7,76.9,92.9,112.2,130.5,149.7,168.6,186.2,211.6,236.4,258.8,272.2,287.1,317.1,341.1,351.7,353.3,344.9,347.8,383.9,406.8,435.7,456.9,480,535.2,554.8
"98","88","Personal saving","A071RC",3.9,3.2,2.6,-0.4,-0.7,0.6,2.6,4.3,4.5,1.5,3.4,4.5,11.7,29,34.9,39,31.4,16.3,8.1,14.1,10,15.2,19.7,20.6,21.3,19.8,19.5,25.4,26.8,28.2,26.5,26.4,31.9,33.5,33.1,40.5,42.7,44.5,54,52.7,52.6,69.5,80.1,76.9,102.5,114.3,125.2,122.1,125.6,145.4,165.8,205.6,243.7,262.2,227.8,306.5,282.6,267.8,252.8,292.3,301.8,334.3,371.7,413.7,350.8,315.5,302.4,272.1,252.9,301.5,174,201.5,169.7
"99","89","  Imputations (149+150+151-125-133)","A2121C",1.5,0.7,0.4,-0.2,-0.4,-0.2,0,0.3,0.4,0.4,0.9,1.2,1.6,0.2,-0.4,-0.5,-0.1,5.1,8.3,11.3,10.5,15.8,13.8,13.5,14,15.6,18.7,17.1,15.5,14.7,19.6,18,17,18.2,19.9,21.2,21.7,19.9,19.7,22.5,23.6,21.4,30.8,39.5,44.3,36,35.1,51.5,73.2,84.7,82.1,62.5,56.9,47.1,84.9,106.1,105.9,130,141.5,148,145,132.4,111.1,135.1,159.5,182.6,166.2,192.8,206.8,240.7,261.7,277.7,285.8
"100","90","  Excluding imputations (88-89)","A2122C",2.4,2.5,2.2,-0.2,-0.3,0.8,2.6,4.1,4.1,1.1,2.5,3.3,10,28.8,35.4,39.5,31.5,11.2,-0.2,2.8,-0.5,-0.5,5.9,7.1,7.4,4.2,0.8,8.2,11.3,13.5,6.9,8.4,14.9,15.3,13.2,19.4,21,24.5,34.3,30.1,29.1,48.1,49.3,37.4,58.2,78.4,90.2,70.6,52.4,60.7,83.7,143.1,186.8,215.1,142.8,200.4,176.7,137.7,111.3,144.3,156.8,202,260.6,278.6,191.4,132.9,136.2,79.4,46.1,60.8,-87.6,-76.1,-116
"101",NA,"          Government current receipts, expenditures, and surplus or deficit"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","91","Government current receipts","A315RC",10.6,10,8.7,8.2,8.7,9.8,10.5,11.9,14.3,13.9,14.3,16.7,23.8,31.3,47.7,49.5,51.4,50.5,55.5,56.9,53.7,66.2,82,86.6,90.9,86.1,96.8,104.3,110,108.3,122.1,131.2,135.8,147,157.9,162.1,175.4,197.8,212.1,245.3,276.3,279.6,295.9,338.1,380.3,419.6,430.5,492.6,552.8,626,702.7,767.1,877.6,890.3,944.5,1047.8,1135.8,1206.7,1322.5,1410.9,1530.9,1607.7,1656.6,1744.4,1857.9,1993,2117.1,2269.1,2440,2613.8,2780.3,3000.6,2992.3
"103","92","  Imputations (147)","A1676C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,0.8,0.4,0.4,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.4,0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.6,3.3,3.2,3.1,3.1,3,3.1,3.2
"104","93","  Excluding imputations (91-92)","A1677C",10.6,10,8.7,8.2,8.7,9.8,10.5,11.9,14.3,13.9,14.3,16.7,23.8,31.3,47.7,49.5,51.3,49,54.7,56.4,53.3,66.1,82,86.5,90.9,85.9,96.7,104.2,109.8,108.1,121.9,131,135.6,146.8,157.7,161.9,175.3,197.6,211.8,245,275.9,279,295.1,337.2,379.5,418.7,429.2,491.1,551.4,624.8,701.4,765.6,876,888.7,942.7,1046.1,1133.9,1204.6,1320.3,1408.4,1528.2,1604.7,1653.3,1740.2,1853.7,1989.4,2113.8,2265.9,2436.9,2610.7,2777.3,2997.5,2989.1
"105","94","Government current expenditures","A954RC",8.1,8.5,9.9,8.9,9.2,10.7,11.3,12.9,12.1,13.3,14.4,15.1,19.7,38.5,60.4,74.9,79,54.2,48.9,52.1,58,59.4,69.9,79.9,85.7,84.6,87.7,92.5,102.6,111,115.1,119.9,129.1,139.4,147,154.9,165.7,187.3,213.4,239.2,258.7,286.9,316.3,345,375.8,424.2,497.4,538.3,584.8,634.3,701.1,812,923.7,1025.1,1113.5,1192.1,1290.7,1378.1,1458.2,1532.7,1641.6,1778,1879.7,2046.9,2130.5,2196.7,2293.7,2384.5,2462.4,2529.3,2630.1,2775.8,2951.6
"106","95","  Imputations (147+153-154)","A2047C",-2,-2.4,-2.2,-1.5,-1.2,-1.8,-1.8,-3.1,-2.7,-3,-3.3,-3.1,-9,-25.3,-33.1,-28,-14.1,8.6,6.4,2.7,-1,-2.3,-9.5,-13.3,-14.1,-11.9,-9.8,-10.8,-11.5,-13.3,-15.5,-14,-16.6,-17.7,-17.1,-17.6,-17.8,-21.6,-23.6,-22.8,-21,-19.4,-16.8,-17,-18.4,-22.9,-26.4,-26,-24.9,-31.8,-39.3,-44.9,-44.3,-42.7,-49.3,-61,-75.9,-84.1,-88.9,-84.2,-88.7,-98.8,-95.8,-93.4,-85.2,-84.5,-90.6,-97.7,-106.8,-113.9,-133,-137.2,-144.9
"107","96","  Excluding imputations (94-95)","A2114C",10.1,10.8,12.1,10.4,10.4,12.5,13.1,16,14.8,16.4,17.7,18.2,28.8,63.8,93.5,102.9,93,45.6,42.4,49.5,59,61.7,79.4,93.2,99.8,96.5,97.5,103.3,114.1,124.3,130.6,133.9,145.6,157.1,164.1,172.4,183.6,208.9,237,262,279.7,306.2,333,362,394.2,447,523.9,564.3,609.8,666,740.4,856.9,968,1067.8,1162.8,1253,1366.5,1462.2,1547.1,1616.9,1730.3,1876.9,1975.5,2140.3,2215.8,2281.3,2384.3,2482.2,2569.2,2643.3,2763.1,2913,3096.5
"108","97","Government current surplus or deficit","A922RC",2.5,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.7,-25.4,-27.5,-3.7,6.6,4.7,-4.3,6.8,12.1,6.6,5.2,1.5,9.1,11.8,7.3,-2.7,7,11.3,6.8,7.6,10.9,7.2,9.7,10.5,-1.4,6.2,17.6,-7.3,-20.4,-6.9,4.5,-4.6,-66.9,-45.7,-32,-8.2,1.7,-44.9,-46.2,-134.8,-169.1,-144.2,-154.9,-171.4,-135.7,-121.8,-110.7,-170.3,-223.1,-302.5,-272.7,-203.7,-176.7,-115.4,-22.3,84.5,150.2,224.8,40.7
"109","98","  Imputations (154-153)","A2010C",2,2.4,2.2,1.5,1.2,1.8,1.8,3.1,2.7,3,3.3,3.1,9,25.3,33.1,28,14.2,-7.1,-5.7,-2.3,1.4,2.3,9.5,13.4,14.2,12,9.9,10.9,11.6,13.5,15.7,14.2,16.8,17.9,17.3,17.8,18,21.8,23.9,23.2,21.4,20,17.6,17.9,19.1,23.8,27.8,27.5,26.3,33,40.6,46.3,45.9,44.2,51,62.7,77.8,86.2,91.1,86.7,91.4,101.8,99.1,97.6,89.4,88.1,93.9,100.9,110,117,136,140.3,148.2
"110","99","  Excluding imputations (97-98)","A2011C",0.5,-0.8,-3.3,-2.2,-1.7,-2.7,-2.6,-4,-0.5,-2.4,-3.4,-1.5,-4.9,-32.5,-45.8,-53.4,-41.7,3.4,12.3,7,-5.7,4.4,2.6,-6.7,-9,-10.5,-0.8,0.9,-4.2,-16.2,-8.7,-2.9,-10,-10.3,-6.4,-10.6,-8.3,-11.3,-25.2,-17,-3.8,-27.2,-38,-24.8,-14.7,-28.4,-94.7,-73.2,-58.4,-41.2,-38.9,-91.3,-92,-179,-220.1,-206.9,-232.6,-257.5,-226.8,-208.5,-202.1,-272.2,-322.3,-400.1,-362,-291.8,-270.6,-216.3,-132.3,-32.5,14.2,84.5,-107.5
"111",NA,"          Gross saving or gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","100","Gross investment, or gross saving and statistical discrepancy","A928RC",20.1,14.6,9.1,3.6,3.8,6.8,9.4,12.7,16.2,12.4,14.9,19.6,30.2,38.9,43.1,42.5,33.6,39.6,48.8,57.5,47.4,62,78.7,77,79.2,76.6,90.5,97.7,99.6,91.9,106.7,110.4,113.8,125.3,132.4,144.2,160,175.6,175.9,187.6,202.7,201.2,222.7,250.3,302.6,314,316.1,367.2,419.8,502.6,580.6,589.5,684,628.2,655,787.9,784.2,779.8,813.8,894,983.9,1008.2,1035.4,1051.1,1103.2,1214.4,1284,1382.1,1532.1,1616.2,1665.4,1679.4,1545.1
"113","101","  Imputations (148+154)","A2087C",2.6,1.9,1.4,0.7,0.5,0.7,0.9,1.2,1.5,1.5,2,2.4,2.9,1.6,1.1,1.1,1.6,7.1,10.8,14.2,13.6,19.2,17.8,17.8,18.5,20.4,23.9,22.8,21.6,21,26.1,24.8,24,25.4,27.5,29.2,30.4,29.3,29.7,33.5,35.7,34.4,45.2,56.3,62.6,57,58.8,77.5,102.6,118.7,121.6,107.4,106.5,100.9,141.2,164.9,169.5,196.3,212.5,224.2,230.8,219.8,204.6,244.8,264.4,296.4,284,314,335.2,376.8,407.6,431.7,453.9
"114","102","  Excluding imputations (100-101)","A2124C",17.5,12.7,7.7,2.9,3.3,6.1,8.5,11.5,14.7,10.9,12.8,17.2,27.3,37.3,42,41.3,32,32.4,38,43.3,33.8,42.8,60.9,59.2,60.6,56.2,66.5,74.9,78.1,70.8,80.5,85.6,89.7,99.9,104.9,115,129.6,146.3,146.2,154.1,166.9,166.7,177.5,194.1,240,257,257.4,289.7,317.2,383.9,458.9,482.1,577.5,527.3,513.8,623,614.7,583.5,601.2,669.8,753.1,788.5,830.8,806.3,838.7,918.1,1000,1068.1,1196.8,1239.4,1257.8,1247.7,1091.2
"115","103","Personal saving","A071RC",3.9,3.2,2.6,-0.4,-0.7,0.6,2.6,4.3,4.5,1.5,3.4,4.5,11.7,29,34.9,39,31.4,16.3,8.1,14.1,10,15.2,19.7,20.6,21.3,19.8,19.5,25.4,26.8,28.2,26.5,26.4,31.9,33.5,33.1,40.5,42.7,44.5,54,52.7,52.6,69.5,80.1,76.9,102.5,114.3,125.2,122.1,125.6,145.4,165.8,205.6,243.7,262.2,227.8,306.5,282.6,267.8,252.8,292.3,301.8,334.3,371.7,413.7,350.8,315.5,302.4,272.1,252.9,301.5,174,201.5,169.7
"116","104","  Imputations (148-125-133)","A2121C",1.5,0.7,0.4,-0.2,-0.4,-0.2,0,0.3,0.4,0.4,0.9,1.2,1.6,0.2,-0.4,-0.5,-0.1,5.1,8.3,11.3,10.5,15.8,13.8,13.5,14,15.6,18.7,17.1,15.5,14.7,19.6,18,17,18.2,19.9,21.2,21.7,19.9,19.7,22.5,23.6,21.4,30.8,39.5,44.3,36,35.1,51.5,73.2,84.7,82.1,62.5,56.9,47.1,84.9,106.1,105.9,130,141.5,148,145,132.4,111.1,135.1,159.5,182.6,166.2,192.8,206.8,240.7,261.7,277.7,285.8
"117","105","  Excluding imputations (103-104)","A2122C",2.4,2.5,2.2,-0.2,-0.3,0.8,2.6,4.1,4.1,1.1,2.5,3.3,10,28.8,35.4,39.5,31.5,11.2,-0.2,2.8,-0.5,-0.5,5.9,7.1,7.4,4.2,0.8,8.2,11.3,13.5,6.9,8.4,14.9,15.3,13.2,19.4,21,24.5,34.3,30.1,29.1,48.1,49.3,37.4,58.2,78.4,90.2,70.6,52.4,60.7,83.7,143.1,186.8,215.1,142.8,200.4,176.7,137.7,111.3,144.3,156.8,202,260.6,278.6,191.4,132.9,136.2,79.4,46.1,60.8,-87.6,-76.1,-116
"118","106","Consumption of fixed capital","A262RC",9.4,9.2,8.6,7.6,7.2,7.7,7.7,7.9,8.8,9.2,9.1,9.6,11.1,13.7,16.4,19.4,21,23.6,26.2,28.1,28.8,29.7,33.7,36.2,38.6,40.5,42.8,47.3,51.1,52.8,54.8,56.9,58.5,61,63.6,66.6,70.8,76.5,83.1,90.9,99.8,109.1,118.9,130.9,142.9,164.8,190.9,209,231.6,261.5,300.4,345.2,394.8,436.5,456.1,482.4,516.5,551.6,586.1,627.4,677.2,711.3,748,787.5,812.8,874.9,911.7,956.2,1013.3,1072,1145.2,1228.9,1329.3
"119","107","  Imputations (125+133+153)","A2092C",2,1.9,1.8,1.5,1.6,1.8,1.8,2,2.2,2.3,2.3,2.5,3.1,4.7,7.5,10.3,11.7,12.6,12.8,12.2,11.4,10.9,12.1,13.2,14.4,15.3,16.2,17.7,18.8,19.3,20.1,20.9,21.6,22.7,23.9,24.9,26.2,27.9,30,32.4,35.2,37.9,40.8,45.2,48.6,54.7,60.4,64.9,70.7,78.1,87.4,98.8,110.7,121.9,128.1,135.5,144.7,153.3,164.2,175.6,192.1,201.3,214.7,235.2,236.5,251.2,262.1,270.5,283.1,296.1,314.6,333.6,355.8
"120","108","  Excluding imputations (106-107)","A2093C",7.4,7.3,6.8,6,5.6,5.9,5.8,6,6.6,6.9,6.8,7.1,8,9,8.9,9.1,9.3,11,13.4,15.9,17.4,18.8,21.6,22.9,24.2,25.2,26.5,29.6,32.2,33.4,34.7,36.1,36.9,38.3,39.7,41.7,44.6,48.6,53.1,58.4,64.6,71.2,78.1,85.8,94.3,110.1,130.5,144.1,160.9,183.4,213,246.4,284.2,314.5,327.9,346.8,371.9,398.3,421.8,451.8,485.1,510,533.3,552.3,576.3,623.7,649.7,685.7,730.3,775.8,830.6,895.3,973.5
"121","109","Government current surplus or deficit","A922RC",2.5,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.7,-25.4,-27.5,-3.7,6.6,4.7,-4.3,6.8,12.1,6.6,5.2,1.5,9.1,11.8,7.3,-2.7,7,11.3,6.8,7.6,10.9,7.2,9.7,10.5,-1.4,6.2,17.6,-7.3,-20.4,-6.9,4.5,-4.6,-66.9,-45.7,-32,-8.2,1.7,-44.9,-46.2,-134.8,-169.1,-144.2,-154.9,-171.4,-135.7,-121.8,-110.7,-170.3,-223.1,-302.5,-272.7,-203.7,-176.7,-115.4,-22.3,84.5,150.2,224.8,40.7
"122","110","  Imputations (154-153)","A2010C",2,2.4,2.2,1.5,1.2,1.8,1.8,3.1,2.7,3,3.3,3.1,9,25.3,33.1,28,14.2,-7.1,-5.7,-2.3,1.4,2.3,9.5,13.4,14.2,12,9.9,10.9,11.6,13.5,15.7,14.2,16.8,17.9,17.3,17.8,18,21.8,23.9,23.2,21.4,20,17.6,17.9,19.1,23.8,27.8,27.5,26.3,33,40.6,46.3,45.9,44.2,51,62.7,77.8,86.2,91.1,86.7,91.4,101.8,99.1,97.6,89.4,88.1,93.9,100.9,110,117,136,140.3,148.2
"123","111","  Excluding imputations (109-110)","A2011C",0.5,-0.8,-3.3,-2.2,-1.7,-2.7,-2.6,-4,-0.5,-2.4,-3.4,-1.5,-4.9,-32.5,-45.8,-53.4,-41.7,3.4,12.3,7,-5.7,4.4,2.6,-6.7,-9,-10.5,-0.8,0.9,-4.2,-16.2,-8.7,-2.9,-10,-10.3,-6.4,-10.6,-8.3,-11.3,-25.2,-17,-3.8,-27.2,-38,-24.8,-14.7,-28.4,-94.7,-73.2,-58.4,-41.2,-38.9,-91.3,-92,-179,-220.1,-206.9,-232.6,-257.5,-226.8,-208.5,-202.1,-272.2,-322.3,-400.1,-362,-291.8,-270.6,-216.3,-132.3,-32.5,14.2,84.5,-107.5
"124",NA,"          Specific imputations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,"Owner-occupied housing:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","112","  Space rent","A2013C",6.7,6.4,5.8,5,4.4,4.2,4.3,4.4,4.6,4.8,4.9,5,5.4,6,6.4,6.9,7.5,8.6,9.8,11.1,12.3,13.7,15.6,17.5,19.5,21.3,23,24.8,26.7,28.7,30.9,33.2,35.3,37.8,39.9,42.2,44.9,47.7,50.8,54.5,59.4,64.3,70.5,77.1,84.5,93.3,102.4,112.4,125.3,142.4,161.4,183.1,205.8,222.6,240.3,261.9,284,307.6,332.8,360.6,387.8,415.5,439,457.3,480.4,508.1,534.9,561.3,591.6,631.4,673.3,712.1,758.5
"127","113","    Nonfarm","AOWNRC",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,200.9,217.9,235.6,257.2,279.3,303.1,328.2,356.1,383.1,410.7,434.1,452.3,475.2,502.6,529.3,555.4,585.5,625,666.4,704.9,751
"128","114","    Farm","B1159C",0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.9,2,2,2.1,2.2,2.3,2.4,2.5,2.6,2.8,3,3.2,3.4,3.5,3.6,3.7,3.8,4,4.3,4.5,4.7,4.9,4.7,4.7,4.7,4.6,4.5,4.6,4.5,4.6,4.8,4.9,5,5.2,5.5,5.6,5.8,6.1,6.4,6.8,7.2,7.6
"129","115","  Intermediate inputs","A2014C",0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.8,0.7,0.8,0.8,0.9,1,0.9,1,1,1.9,2.4,2.8,2.9,3.2,3.4,3.5,3.7,3.6,3.7,3.9,3.9,3.9,4,4,4.1,4.2,4.3,4.6,4.8,4.9,5.2,6.1,7.1,8.2,9,10.5,11.7,13.5,15.9,18,21.6,24.9,26.7,25.7,26.2,26.1,31.1,33.8,38,44.3,48,49.3,49.7,53.2,58,59.1,66.6,68.4,70.5,74.1,82.5,90.4,91.4,90.7,110
"130","116","    Nonfarm","B1151C",0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1.5,2,2.4,2.6,2.8,3,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.6,3.7,3.9,4.1,4.2,4.5,5.3,6.3,7.4,8.1,9.5,10.7,12.4,15,17,20.6,23.7,25.6,24.6,25.1,25.3,30.4,33,37.2,43.6,47.1,48.5,48.8,52.4,57.1,58.2,65.7,67.3,69.5,73.1,81.5,89.4,90.2,89.4,108.7
"131","117","    Farm","B1475C",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.9,1,1,1,1,1,1,1.1,1.1,1.1,1,0.8,0.8,0.8,0.8,0.7,1,0.8,0.9,0.8,0.9,1,0.9,1.1,1,1,1,1,1.2,1.3,1.4
"132","118","  Net interest","A2015C",1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.4,1.6,1.8,2.1,2.5,2.8,3.2,3.6,4.3,5,5.7,6.3,7.1,7.7,8.6,9.4,10.3,11.3,12.2,12.9,14,15.4,16.7,18.9,21.8,25.3,29.1,32.6,37.5,44.5,53.3,65,77.7,90.7,104.6,115.2,129.9,145.3,159.9,171.2,183.5,199,213.4,220.4,221.7,214.7,216.1,234.4,241.6,255.1,267.2,284.2,313.2,332.7
"133","119","    Nonfarm","B1155C",1,1,1,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.2,1.4,1.5,1.8,2.1,2.4,2.7,3.1,3.6,4.2,4.9,5.6,6.3,7,7.6,8.5,9.3,10.2,11.1,12,12.7,13.8,15.2,16.6,18.7,21.6,25.1,28.8,32.3,37.2,44.2,52.9,64.5,77.1,90,103.8,114.4,129.1,144.5,159.2,170.8,183,198.5,212.8,219.9,221.2,214.2,215.5,233.9,241,254.5,266.6,283.6,312.6,332.1
"134","120","    Farm","B1164C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.7,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7
"135","121","  Indirect business tax and nontax liability","A2016C",1.1,1.1,1.1,1,0.9,0.9,1,0.9,0.9,1,0.9,1,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.7,1.8,2,2.3,2.5,2.7,3.1,3.6,4.1,4.5,4.9,5.4,5.9,6.4,7.1,7.7,8.4,9.1,10.1,11.4,12.8,14.5,15.9,17.2,18.6,19.9,21.9,24.2,26.7,27.3,28.2,30.8,34.2,37.5,40.2,43.4,46.2,49.2,51.6,54.2,60.1,64.1,68.6,72.6,75.9,78.6,81,84.2,87.8,92,95.6,99.1,102.9
"136","122","    Nonfarm","B1153C",1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.6,3,3.5,3.9,4.4,4.7,5.2,5.8,6.3,6.9,7.6,8.2,8.9,10,11.2,12.6,14.3,15.7,16.9,18.3,19.6,21.6,23.9,26.4,27.1,27.9,30.5,33.9,37.2,39.8,43,45.8,48.7,51.1,53.7,59.5,63.5,68,72,75.3,77.8,80.2,83.3,87,91.1,94.7,98.2,101.9
